#                                                                                                              --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                          accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                  ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
10915at50557_286306_0:002151|STRG.9826.1:1-3933|+      -           1065 10915at50557         -            974  3.9e-231  768.5   3.8   1   1  4.7e-232    2e-230  766.1   3.8   309   913     1   721     1   747 0.87 -
40115at50557_7370_0:002473|STRG.931.2:264-1381|+       -            291 10915at50557         -            974   5.2e-24   83.0   0.7   2   3   5.7e-05    0.0025   14.5   0.0    33    89   112   168   108   174 0.90 -
40115at50557_7370_0:002473|STRG.931.2:264-1381|+       -            291 10915at50557         -            974   5.2e-24   83.0   0.7   3   3   7.2e-10   3.1e-08   30.7   0.2    12   114   175   283   164   291 0.83 -
80377at50557_121845_0:0030d4|STRG.931.1:117-983|+      -            289 10915at50557         -            974   5.4e-24   82.9   0.5   1   3   2.2e-11   9.5e-10   35.7   0.0    13   113     6   109     2   112 0.90 -
80377at50557_121845_0:0030d4|STRG.931.1:117-983|+      -            289 10915at50557         -            974   5.4e-24   82.9   0.5   2   3     6e-05    0.0026   14.5   0.0    33    89   111   167   108   173 0.90 -
80377at50557_121845_0:0030d4|STRG.931.1:117-983|+      -            289 10915at50557         -            974   5.4e-24   82.9   0.5   3   3   9.1e-10   3.9e-08   30.4   0.2    12   114   174   282   164   286 0.83 -
33043at50557_454923_0:001231|STRG.13622.1:2758-4128|+  -            457 10915at50557         -            974   7.6e-20   69.2   1.8   1   4    0.0013     0.058   10.0   0.0    24    84    55   116    42   156 0.77 -
33043at50557_454923_0:001231|STRG.13622.1:2758-4128|+  -            457 10915at50557         -            974   7.6e-20   69.2   1.8   2   4   3.9e-06   0.00017   18.4   0.0    15    99   181   267   172   326 0.80 -
33043at50557_454923_0:001231|STRG.13622.1:2758-4128|+  -            457 10915at50557         -            974   7.6e-20   69.2   1.8   3   4   1.5e-06   6.3e-05   19.8   0.2    13    82   343   414   333   417 0.85 -
33043at50557_454923_0:001231|STRG.13622.1:2758-4128|+  -            457 10915at50557         -            974   7.6e-20   69.2   1.8   4   4   3.2e-08   1.4e-06   25.3   0.1    32    83   406   457   396   457 0.86 -
33043at50557_454923_0:001231|STRG.13622.2:2961-4331|+  -            457 10915at50557         -            974   7.6e-20   69.2   1.8   1   4    0.0013     0.058   10.0   0.0    24    84    55   116    42   156 0.77 -
33043at50557_454923_0:001231|STRG.13622.2:2961-4331|+  -            457 10915at50557         -            974   7.6e-20   69.2   1.8   2   4   3.9e-06   0.00017   18.4   0.0    15    99   181   267   172   326 0.80 -
33043at50557_454923_0:001231|STRG.13622.2:2961-4331|+  -            457 10915at50557         -            974   7.6e-20   69.2   1.8   3   4   1.5e-06   6.3e-05   19.8   0.2    13    82   343   414   333   417 0.85 -
33043at50557_454923_0:001231|STRG.13622.2:2961-4331|+  -            457 10915at50557         -            974   7.6e-20   69.2   1.8   4   4   3.2e-08   1.4e-06   25.3   0.1    32    83   406   457   396   457 0.86 -
33043at50557_454923_0:001231|STRG.13622.3:2811-4181|+  -            457 10915at50557         -            974   7.6e-20   69.2   1.8   1   4    0.0013     0.058   10.0   0.0    24    84    55   116    42   156 0.77 -
33043at50557_454923_0:001231|STRG.13622.3:2811-4181|+  -            457 10915at50557         -            974   7.6e-20   69.2   1.8   2   4   3.9e-06   0.00017   18.4   0.0    15    99   181   267   172   326 0.80 -
33043at50557_454923_0:001231|STRG.13622.3:2811-4181|+  -            457 10915at50557         -            974   7.6e-20   69.2   1.8   3   4   1.5e-06   6.3e-05   19.8   0.2    13    82   343   414   333   417 0.85 -
33043at50557_454923_0:001231|STRG.13622.3:2811-4181|+  -            457 10915at50557         -            974   7.6e-20   69.2   1.8   4   4   3.2e-08   1.4e-06   25.3   0.1    32    83   406   457   396   457 0.86 -
40115at50557_108931_0:001d6b|STRG.9325.1:276-1313|+    -            346 10915at50557         -            974   2.5e-19   67.5   1.7   1   4      0.28        12    2.3   0.0    47    82     6    41     2    47 0.90 -
40115at50557_108931_0:001d6b|STRG.9325.1:276-1313|+    -            346 10915at50557         -            974   2.5e-19   67.5   1.7   2   4   1.4e-05   0.00062   16.5   0.0    14    83    69   138    63   151 0.90 -
40115at50557_108931_0:001d6b|STRG.9325.1:276-1313|+    -            346 10915at50557         -            974   2.5e-19   67.5   1.7   3   4   0.00021     0.009   12.7   0.8    66   144   162   245   136   248 0.68 -
40115at50557_108931_0:001d6b|STRG.9325.1:276-1313|+    -            346 10915at50557         -            974   2.5e-19   67.5   1.7   4   4   1.7e-10   7.5e-09   32.8   0.0    32    91   263   323   225   344 0.76 -
22030at50557_104452_0:001960|STRG.11310.1:0-965|+      -            242 10915at50557         -            974   6.2e-19   66.1   0.6   1   3   3.7e-05    0.0016   15.2   0.1     8    83     9    88     4    93 0.87 -
22030at50557_104452_0:001960|STRG.11310.1:0-965|+      -            242 10915at50557         -            974   6.2e-19   66.1   0.6   2   3   2.1e-11   9.1e-10   35.8   0.4    11    92    57   139    49   150 0.86 -
22030at50557_104452_0:001960|STRG.11310.1:0-965|+      -            242 10915at50557         -            974   6.2e-19   66.1   0.6   3   3   1.5e-08   6.4e-07   26.4   0.0    12    86   151   226   145   241 0.90 -
14512at50557_56086_0:000590|STRG.7692.1:647-1114|+     -            156 10915at50557         -            974     7e-18   62.7   0.1   1   2     0.066       2.9    4.4   0.0    17    52     6    42     2    45 0.49 -
14512at50557_56086_0:000590|STRG.7692.1:647-1114|+     -            156 10915at50557         -            974     7e-18   62.7   0.1   2   2   7.2e-18   3.1e-16   57.2   0.0    14   114    45   148    34   155 0.86 -
80377at50557_456900_0:000374|STRG.2435.1:0-1046|+      -            349 10915at50557         -            974   9.7e-18   62.2   0.0   1   3     0.082       3.5    4.1   0.0    44    82    48    86    25    96 0.90 -
80377at50557_456900_0:000374|STRG.2435.1:0-1046|+      -            349 10915at50557         -            974   9.7e-18   62.2   0.0   2   3   8.8e-14   3.8e-12   43.7   0.0    14   148   102   242    96   254 0.84 -
80377at50557_456900_0:000374|STRG.2435.1:0-1046|+      -            349 10915at50557         -            974   9.7e-18   62.2   0.0   3   3    0.0016     0.069    9.7   0.0    13    77   277   342   265   346 0.76 -
31374at50557_103372_0:0017b9|STRG.8335.1:0-1955|+      -            652 10915at50557         -            974   3.5e-17   60.3   0.0   1   2   6.9e-08     3e-06   24.2   0.0    14   115   398   501   389   511 0.86 -
31374at50557_103372_0:0017b9|STRG.8335.1:0-1955|+      -            652 10915at50557         -            974   3.5e-17   60.3   0.0   2   2     8e-11   3.5e-09   33.9   0.0    14    81   524   592   512   608 0.90 -
58729at50557_103372_0:00194e|STRG.1025.1:0-1571|+      -            524 10915at50557         -            974     5e-17   59.8   0.1   1   2   1.2e-10   5.1e-09   33.3   0.0     6   109    74   180    69   199 0.87 -
58729at50557_103372_0:00194e|STRG.1025.1:0-1571|+      -            524 10915at50557         -            974     5e-17   59.8   0.1   2   2   6.2e-08   2.7e-06   24.3   0.0    11    82   204   277   194   295 0.85 -
80377at50557_30019_0:0008bb|STRG.6991.1:27-794|+       -            256 10915at50557         -            974   3.8e-16   56.9   5.0   1   3   1.7e-08   7.3e-07   26.2   0.1    14   122     8   120     2   128 0.59 -
80377at50557_30019_0:0008bb|STRG.6991.1:27-794|+       -            256 10915at50557         -            974   3.8e-16   56.9   5.0   2   3   2.6e-11   1.1e-09   35.5   0.3    13   163    49   203    47   206 0.80 -
80377at50557_30019_0:0008bb|STRG.6991.1:27-794|+       -            256 10915at50557         -            974   3.8e-16   56.9   5.0   3   3    0.0013     0.055   10.0   0.0    11    83   171   246   161   254 0.81 -
80377at50557_116153_0:0002e6|STRG.6991.2:180-1013|+    -            278 10915at50557         -            974   4.4e-16   56.7   4.2   1   3   2.5e-08   1.1e-06   25.6   0.1    37   122    27   115     1   125 0.49 -
80377at50557_116153_0:0002e6|STRG.6991.2:180-1013|+    -            278 10915at50557         -            974   4.4e-16   56.7   4.2   2   3   2.6e-11   1.1e-09   35.5   0.3    13   164    44   199    41   202 0.80 -
80377at50557_116153_0:0002e6|STRG.6991.2:180-1013|+    -            278 10915at50557         -            974   4.4e-16   56.7   4.2   3   3    0.0013     0.058   10.0   0.0    11    84   166   242   156   251 0.80 -
42371at50557_520822_0:00190c|STRG.12385.5:90-1665|+    -            467 10915at50557         -            974   6.1e-16   56.2   0.0   1   2   7.9e-10   3.4e-08   30.6   0.0    44   149   138   257   133   272 0.75 -
42371at50557_520822_0:00190c|STRG.12385.5:90-1665|+    -            467 10915at50557         -            974   6.1e-16   56.2   0.0   2   2     1e-07   4.4e-06   23.6   0.0    24   118   333   432   317   440 0.78 -
42371at50557_520822_0:00190c|STRG.12385.1:496-2316|+   -            607 10915at50557         -            974   1.4e-15   55.0   0.0   1   2   1.2e-09   5.3e-08   30.0   0.0    44   149   278   397   273   412 0.75 -
42371at50557_520822_0:00190c|STRG.12385.1:496-2316|+   -            607 10915at50557         -            974   1.4e-15   55.0   0.0   2   2   1.6e-07   7.1e-06   22.9   0.0    24   118   473   572   458   580 0.78 -
42371at50557_520822_0:00190c|STRG.12385.2:496-2319|+   -            608 10915at50557         -            974   1.4e-15   55.0   0.0   1   2   1.2e-09   5.4e-08   30.0   0.0    44   149   279   398   274   413 0.75 -
42371at50557_520822_0:00190c|STRG.12385.2:496-2319|+   -            608 10915at50557         -            974   1.4e-15   55.0   0.0   2   2   1.6e-07   7.1e-06   22.9   0.0    24   118   474   573   459   581 0.78 -
42371at50557_520822_0:00190c|STRG.12385.3:496-2340|+   -            608 10915at50557         -            974   1.4e-15   55.0   0.0   1   2   1.2e-09   5.4e-08   30.0   0.0    44   149   279   398   274   413 0.75 -
42371at50557_520822_0:00190c|STRG.12385.3:496-2340|+   -            608 10915at50557         -            974   1.4e-15   55.0   0.0   2   2   1.6e-07   7.1e-06   22.9   0.0    24   118   474   573   459   581 0.78 -
42371at50557_520822_0:00190c|STRG.12385.4:496-2316|+   -            607 10915at50557         -            974   1.4e-15   55.0   0.0   1   2   1.2e-09   5.3e-08   30.0   0.0    44   149   278   397   273   412 0.75 -
42371at50557_520822_0:00190c|STRG.12385.4:496-2316|+   -            607 10915at50557         -            974   1.4e-15   55.0   0.0   2   2   1.6e-07   7.1e-06   22.9   0.0    24   118   473   572   458   580 0.78 -
80377at50557_568069_0:004eea|STRG.4106.1:60-914|+      -            285 10915at50557         -            974   2.3e-15   54.3   0.1   1   2     3e-10   1.3e-08   32.0   0.1    49   158     4   120     1   130 0.83 -
80377at50557_568069_0:004eea|STRG.4106.1:60-914|+      -            285 10915at50557         -            974   2.3e-15   54.3   0.1   2   2   9.8e-07   4.2e-05   20.4   0.0    10   102   133   228   125   277 0.79 -
78072at50557_7070_0:002a52|STRG.19597.1:483-1325|+     -            281 10915at50557         -            974   2.6e-15   54.1   0.0   1   3   2.5e-08   1.1e-06   25.6   0.0    15   113     1   101     1   111 0.91 -
78072at50557_7070_0:002a52|STRG.19597.1:483-1325|+     -            281 10915at50557         -            974   2.6e-15   54.1   0.0   2   3   0.00061     0.026   11.1   0.0    15    75   126   189   111   198 0.81 -
78072at50557_7070_0:002a52|STRG.19597.1:483-1325|+     -            281 10915at50557         -            974   2.6e-15   54.1   0.0   3   3   9.1e-08   3.9e-06   23.8   0.0    13   113   168   274   162   281 0.84 -
77772at50557_121845_0:003bba|STRG.14135.1:2659-3565|-  -            300 10915at50557         -            974   2.6e-15   54.1   0.1   1   2   2.5e-07   1.1e-05   22.3   0.1    10   121    18   135    11   181 0.78 -
77772at50557_121845_0:003bba|STRG.14135.1:2659-3565|-  -            300 10915at50557         -            974   2.6e-15   54.1   0.1   2   2   1.3e-09   5.4e-08   29.9   0.0    18   120   186   294   179   298 0.86 -
77772at50557_121845_0:003bba|STRG.14137.1:4588-5494|-  -            300 10915at50557         -            974   2.6e-15   54.1   0.1   1   2   2.5e-07   1.1e-05   22.3   0.1    10   121    18   135    11   181 0.78 -
77772at50557_121845_0:003bba|STRG.14137.1:4588-5494|-  -            300 10915at50557         -            974   2.6e-15   54.1   0.1   2   2   1.3e-09   5.4e-08   29.9   0.0    18   120   186   294   179   298 0.86 -
80377at50557_38123_0:002ff9|STRG.12642.1:488-2089|+    -            534 10915at50557         -            974   3.5e-15   53.7   1.1   1   4   0.00077     0.033   10.8   0.1    23    77    21    75    14    79 0.93 -
80377at50557_38123_0:002ff9|STRG.12642.1:488-2089|+    -            534 10915at50557         -            974   3.5e-15   53.7   1.1   2   4   1.1e-07   4.9e-06   23.5   0.1    35   153    75   198    73   217 0.82 -
80377at50557_38123_0:002ff9|STRG.12642.1:488-2089|+    -            534 10915at50557         -            974   3.5e-15   53.7   1.1   3   4       1.4        61   -0.0   0.0    50    79   384   412   376   427 0.81 -
80377at50557_38123_0:002ff9|STRG.12642.1:488-2089|+    -            534 10915at50557         -            974   3.5e-15   53.7   1.1   4   4   2.4e-05    0.0011   15.7   0.0    16    83   430   498   415   501 0.91 -
80377at50557_38123_0:002ff9|STRG.12642.2:42-1643|+     -            534 10915at50557         -            974   3.5e-15   53.7   1.1   1   4   0.00077     0.033   10.8   0.1    23    77    21    75    14    79 0.93 -
80377at50557_38123_0:002ff9|STRG.12642.2:42-1643|+     -            534 10915at50557         -            974   3.5e-15   53.7   1.1   2   4   1.1e-07   4.9e-06   23.5   0.1    35   153    75   198    73   217 0.82 -
80377at50557_38123_0:002ff9|STRG.12642.2:42-1643|+     -            534 10915at50557         -            974   3.5e-15   53.7   1.1   3   4       1.4        61   -0.0   0.0    50    79   384   412   376   427 0.81 -
80377at50557_38123_0:002ff9|STRG.12642.2:42-1643|+     -            534 10915at50557         -            974   3.5e-15   53.7   1.1   4   4   2.4e-05    0.0011   15.7   0.0    16    83   430   498   415   501 0.91 -
31374at50557_197043_0:003de5|STRG.13802.1:192-809|+    -            206 10915at50557         -            974   1.1e-14   52.1   0.0   1   2      0.28        12    2.3   0.0    46    91    12    55     4    59 0.82 -
31374at50557_197043_0:003de5|STRG.13802.1:192-809|+    -            206 10915at50557         -            974   1.1e-14   52.1   0.0   2   2   8.1e-10   3.5e-08   30.6   0.0    15   110   106   203   103   206 0.90 -
25500at50557_13686_0:0020f5|STRG.5321.1:216-2021|+     -            602 10915at50557         -            974   1.2e-14   51.9   0.0   1   3    0.0031      0.13    8.8   0.0    21    92    26    98    22   125 0.85 -
25500at50557_13686_0:0020f5|STRG.5321.1:216-2021|+     -            602 10915at50557         -            974   1.2e-14   51.9   0.0   2   3   3.1e-06   0.00014   18.7   0.0    47   140   183   286   143   353 0.80 -
25500at50557_13686_0:0020f5|STRG.5321.1:216-2021|+     -            602 10915at50557         -            974   1.2e-14   51.9   0.0   3   3   8.4e-07   3.6e-05   20.6   0.0    15    92   486   569   445   594 0.66 -
49370at50557_2015173_0:001990|STRG.18790.1:60-1046|+   -            329 10915at50557         -            974   2.8e-14   50.7   0.2   1   4    0.0015     0.066    9.8   0.1    48   145    36   142    25   147 0.61 -
49370at50557_2015173_0:001990|STRG.18790.1:60-1046|+   -            329 10915at50557         -            974   2.8e-14   50.7   0.2   2   4   8.4e-09   3.6e-07   27.2   0.0    17   105   133   227   118   235 0.77 -
49370at50557_2015173_0:001990|STRG.18790.1:60-1046|+   -            329 10915at50557         -            974   2.8e-14   50.7   0.2   3   4   0.00029     0.013   12.2   0.0    35    83   197   245   197   261 0.86 -
49370at50557_2015173_0:001990|STRG.18790.1:60-1046|+   -            329 10915at50557         -            974   2.8e-14   50.7   0.2   4   4    0.0014      0.06    9.9   0.0    34    80   282   328   263   329 0.88 -
71739at50557_7375_0:001d21|STRG.15382.1:21-878|+       -            286 10915at50557         -            974   1.5e-13   48.3   0.0   1   2   7.2e-08   3.1e-06   24.1   0.0    35   113    35   114     8   125 0.85 -
71739at50557_7375_0:001d21|STRG.15382.1:21-878|+       -            286 10915at50557         -            974   1.5e-13   48.3   0.0   2   2     4e-07   1.7e-05   21.7   0.0    13    75   219   282   207   285 0.88 -
33043at50557_103372_0:000263|STRG.1509.2:423-2690|+    -            756 10915at50557         -            974   1.9e-13   48.0   5.6   1   5      0.13       5.4    3.5   0.0    37    86    62   112    29   131 0.77 -
33043at50557_103372_0:000263|STRG.1509.2:423-2690|+    -            756 10915at50557         -            974   1.9e-13   48.0   5.6   2   5     0.021      0.92    6.0   0.0    20    82   130   194   117   202 0.85 -
33043at50557_103372_0:000263|STRG.1509.2:423-2690|+    -            756 10915at50557         -            974   1.9e-13   48.0   5.6   3   5       9.2     4e+02   -2.7   0.3   446   510   311   374   276   383 0.69 -
33043at50557_103372_0:000263|STRG.1509.2:423-2690|+    -            756 10915at50557         -            974   1.9e-13   48.0   5.6   4   5   9.3e-07     4e-05   20.4   0.1    47   122   448   526   440   542 0.83 -
33043at50557_103372_0:000263|STRG.1509.2:423-2690|+    -            756 10915at50557         -            974   1.9e-13   48.0   5.6   5   5   7.4e-06   0.00032   17.5   0.0    20    87   546   614   532   628 0.87 -
40115at50557_1629725_0:001335|STRG.19880.1:1438-2241|+ -            268 10915at50557         -            974   2.1e-13   47.9   0.3   1   2     2e-07   8.6e-06   22.7   0.1    33   121    10    97     1   113 0.82 -
40115at50557_1629725_0:001335|STRG.19880.1:1438-2241|+ -            268 10915at50557         -            974   2.1e-13   47.9   0.3   2   2     1e-07   4.5e-06   23.6   0.0    23   112   122   210   112   222 0.84 -
33043at50557_103372_0:000263|STRG.1509.3:118-2418|+    -            767 10915at50557         -            974   2.1e-13   47.8   5.7   1   5      0.13       5.5    3.4   0.0    37    86    91   141    57   159 0.76 -
33043at50557_103372_0:000263|STRG.1509.3:118-2418|+    -            767 10915at50557         -            974   2.1e-13   47.8   5.7   2   5     0.021      0.92    6.0   0.0    20    82   159   223   145   231 0.85 -
33043at50557_103372_0:000263|STRG.1509.3:118-2418|+    -            767 10915at50557         -            974   2.1e-13   47.8   5.7   3   5       9.4   4.1e+02   -2.7   0.3   446   510   340   403   305   412 0.69 -
33043at50557_103372_0:000263|STRG.1509.3:118-2418|+    -            767 10915at50557         -            974   2.1e-13   47.8   5.7   4   5   9.5e-07   4.1e-05   20.4   0.1    47   122   477   555   469   571 0.83 -
33043at50557_103372_0:000263|STRG.1509.3:118-2418|+    -            767 10915at50557         -            974   2.1e-13   47.8   5.7   5   5   7.6e-06   0.00033   17.4   0.0    20    87   575   643   561   657 0.87 -
33043at50557_103372_0:000263|STRG.1509.1:147-2474|+    -            776 10915at50557         -            974   2.4e-13   47.7   5.8   1   5      0.15       6.5    3.2   0.0    37    86    82   132    48   143 0.76 -
33043at50557_103372_0:000263|STRG.1509.1:147-2474|+    -            776 10915at50557         -            974   2.4e-13   47.7   5.8   2   5     0.022      0.93    6.0   0.0    20    82   150   214   136   222 0.85 -
33043at50557_103372_0:000263|STRG.1509.1:147-2474|+    -            776 10915at50557         -            974   2.4e-13   47.7   5.8   3   5       9.9   4.3e+02   -2.8   0.4   446   510   331   394   297   403 0.70 -
33043at50557_103372_0:000263|STRG.1509.1:147-2474|+    -            776 10915at50557         -            974   2.4e-13   47.7   5.8   4   5   9.6e-07   4.2e-05   20.4   0.1    47   122   468   546   460   562 0.83 -
33043at50557_103372_0:000263|STRG.1509.1:147-2474|+    -            776 10915at50557         -            974   2.4e-13   47.7   5.8   5   5   7.7e-06   0.00033   17.4   0.0    20    87   566   634   552   648 0.87 -
40115at50557_144034_0:000898|STRG.1723.1:967-1836|+    -            290 10915at50557         -            974   4.2e-13   46.8   0.0   1   4    0.0002    0.0084   12.8   0.1    14   120     8   121     2   125 0.81 -
40115at50557_144034_0:000898|STRG.1723.1:967-1836|+    -            290 10915at50557         -            974   4.2e-13   46.8   0.0   2   4   0.00099     0.043   10.4   0.0    18    81    99   163    93   165 0.88 -
40115at50557_144034_0:000898|STRG.1723.1:967-1836|+    -            290 10915at50557         -            974   4.2e-13   46.8   0.0   3   4   4.2e-07   1.8e-05   21.6   0.0    15    97   138   222   134   231 0.87 -
40115at50557_144034_0:000898|STRG.1723.1:967-1836|+    -            290 10915at50557         -            974   4.2e-13   46.8   0.0   4   4    0.0031      0.13    8.8   0.0    14    80   223   290   218   290 0.89 -
40115at50557_123851_0:00295a|STRG.12074.1:1953-2921|+  -            323 10915at50557         -            974   1.3e-12   45.3   0.0   1   3   0.00012    0.0051   13.5   0.0    45    79    58    92    51   104 0.86 -
40115at50557_123851_0:00295a|STRG.12074.1:1953-2921|+  -            323 10915at50557         -            974   1.3e-12   45.3   0.0   2   3   4.1e-06   0.00018   18.3   0.0    13    86   113   192   106   202 0.79 -
40115at50557_123851_0:00295a|STRG.12074.1:1953-2921|+  -            323 10915at50557         -            974   1.3e-12   45.3   0.0   3   3    0.0022     0.094    9.3   0.0    10   114   206   317   204   323 0.74 -
40115at50557_123851_0:00295a|STRG.12074.2:1875-2843|+  -            323 10915at50557         -            974   1.3e-12   45.3   0.0   1   3   0.00012    0.0051   13.5   0.0    45    79    58    92    51   104 0.86 -
40115at50557_123851_0:00295a|STRG.12074.2:1875-2843|+  -            323 10915at50557         -            974   1.3e-12   45.3   0.0   2   3   4.1e-06   0.00018   18.3   0.0    13    86   113   192   106   202 0.79 -
40115at50557_123851_0:00295a|STRG.12074.2:1875-2843|+  -            323 10915at50557         -            974   1.3e-12   45.3   0.0   3   3    0.0022     0.094    9.3   0.0    10   114   206   317   204   323 0.74 -
40115at50557_123851_0:00295a|STRG.12074.4:1792-2760|+  -            323 10915at50557         -            974   1.3e-12   45.3   0.0   1   3   0.00012    0.0051   13.5   0.0    45    79    58    92    51   104 0.86 -
40115at50557_123851_0:00295a|STRG.12074.4:1792-2760|+  -            323 10915at50557         -            974   1.3e-12   45.3   0.0   2   3   4.1e-06   0.00018   18.3   0.0    13    86   113   192   106   202 0.79 -
40115at50557_123851_0:00295a|STRG.12074.4:1792-2760|+  -            323 10915at50557         -            974   1.3e-12   45.3   0.0   3   3    0.0022     0.094    9.3   0.0    10   114   206   317   204   323 0.74 -
80377at50557_30019_0:0008bb|STRG.3746.1:1380-2240|+    -            287 10915at50557         -            974   2.5e-12   44.3   2.2   1   3   5.3e-05    0.0023   14.6   0.1    14   101    16   104     6   106 0.85 -
80377at50557_30019_0:0008bb|STRG.3746.1:1380-2240|+    -            287 10915at50557         -            974   2.5e-12   44.3   2.2   2   3     4e-08   1.7e-06   25.0   0.1    19   123   101   205   100   209 0.84 -
80377at50557_30019_0:0008bb|STRG.3746.1:1380-2240|+    -            287 10915at50557         -            974   2.5e-12   44.3   2.2   3   3   0.00024      0.01   12.5   0.1    13   104   177   270   172   286 0.79 -
31374at50557_133901_0:001035|STRG.16923.1:1137-2681|+  -            515 10915at50557         -            974   5.8e-12   43.1   0.0   1   3       4.5   1.9e+02   -1.7   0.0    49   100   267   320   260   345 0.71 -
31374at50557_133901_0:001035|STRG.16923.1:1137-2681|+  -            515 10915at50557         -            974   5.8e-12   43.1   0.0   2   3    0.0065      0.28    7.7   0.0    50    88   352   390   345   396 0.87 -
31374at50557_133901_0:001035|STRG.16923.1:1137-2681|+  -            515 10915at50557         -            974   5.8e-12   43.1   0.0   3   3   2.2e-10   9.6e-09   32.4   0.0    11    82   396   468   390   484 0.89 -
31374at50557_133901_0:001035|STRG.16923.2:335-1879|+   -            515 10915at50557         -            974   5.8e-12   43.1   0.0   1   3       4.5   1.9e+02   -1.7   0.0    49   100   267   320   260   345 0.71 -
31374at50557_133901_0:001035|STRG.16923.2:335-1879|+   -            515 10915at50557         -            974   5.8e-12   43.1   0.0   2   3    0.0065      0.28    7.7   0.0    50    88   352   390   345   396 0.87 -
31374at50557_133901_0:001035|STRG.16923.2:335-1879|+   -            515 10915at50557         -            974   5.8e-12   43.1   0.0   3   3   2.2e-10   9.6e-09   32.4   0.0    11    82   396   468   390   484 0.89 -
80377at50557_454923_0:001015|STRG.15839.1:158-937|+    -            260 10915at50557         -            974   6.3e-12   43.0   0.0   1   2   2.3e-07   9.8e-06   22.5   0.0    15   104    56   149    49   161 0.88 -
80377at50557_454923_0:001015|STRG.15839.1:158-937|+    -            260 10915at50557         -            974   6.3e-12   43.0   0.0   2   2     5e-07   2.1e-05   21.3   0.0    15   124   141   254   138   258 0.84 -
14512at50557_103372_0:0005b9|STRG.17919.1:396-2972|+   -            859 10915at50557         -            974   8.6e-12   42.5   0.0   1   3      0.49        21    1.5   0.0    46   103    11    71     4    83 0.77 -
14512at50557_103372_0:0005b9|STRG.17919.1:396-2972|+   -            859 10915at50557         -            974   8.6e-12   42.5   0.0   2   3   2.9e-07   1.3e-05   22.1   0.0    28   109    75   161    64   162 0.82 -
