#                                                                                                              --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                          accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                  ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
98332at50557_103372_0:00196c|STRG.1008.1:0-632|+       -            211 98332at50557         -            180   3.9e-99  328.4   0.4   1   1  2.6e-100   1.9e-98  326.2   0.4     1   180     1   209     1   209 0.94 -
91571at50557_2015173_0:000792|STRG.12457.1:887-1714|+  -            276 98332at50557         -            180   4.5e-15   54.5   0.3   2   2     0.014         1    7.7   0.0   140   178   223   263   194   265 0.80 -
98332at50557_77166_0:00193f|STRG.16330.2:1224-1625|+   -            134 98332at50557         -            180   3.9e-14   51.4   0.0   1   2   6.6e-09   4.8e-07   28.3   0.0   131   177    23    71    18    74 0.87 -
98332at50557_77166_0:00193f|STRG.16330.2:1224-1625|+   -            134 98332at50557         -            180   3.9e-14   51.4   0.0   2   2   9.5e-07   6.9e-05   21.3   0.0   129   177    84   134    80   134 0.90 -
98332at50557_77166_0:00193f|STRG.16330.3:924-1325|+    -            134 98332at50557         -            180   3.9e-14   51.4   0.0   1   2   6.6e-09   4.8e-07   28.3   0.0   131   177    23    71    18    74 0.87 -
98332at50557_77166_0:00193f|STRG.16330.3:924-1325|+    -            134 98332at50557         -            180   3.9e-14   51.4   0.0   2   2   9.5e-07   6.9e-05   21.3   0.0   129   177    84   134    80   134 0.90 -
98332at50557_77166_0:00193f|STRG.16330.4:1594-1995|+   -            134 98332at50557         -            180   3.9e-14   51.4   0.0   1   2   6.6e-09   4.8e-07   28.3   0.0   131   177    23    71    18    74 0.87 -
98332at50557_77166_0:00193f|STRG.16330.4:1594-1995|+   -            134 98332at50557         -            180   3.9e-14   51.4   0.0   2   2   9.5e-07   6.9e-05   21.3   0.0   129   177    84   134    80   134 0.90 -
98332at50557_77166_0:00193f|STRG.16330.5:1302-1703|+   -            134 98332at50557         -            180   3.9e-14   51.4   0.0   1   2   6.6e-09   4.8e-07   28.3   0.0   131   177    23    71    18    74 0.87 -
98332at50557_77166_0:00193f|STRG.16330.5:1302-1703|+   -            134 98332at50557         -            180   3.9e-14   51.4   0.0   2   2   9.5e-07   6.9e-05   21.3   0.0   129   177    84   134    80   134 0.90 -
68581at50557_1629725_0:001166|STRG.6686.2:1452-2651|+  -            143 98332at50557         -            180   1.5e-13   49.6   1.1   1   2   4.7e-06   0.00034   19.0   0.1   131   178     3    54     1    56 0.79 -
68581at50557_1629725_0:001166|STRG.6686.2:1452-2651|+  -            143 98332at50557         -            180   1.5e-13   49.6   1.1   2   2   3.7e-10   2.7e-08   32.4   0.1    31   111    41   141    38   143 0.80 -
91571at50557_7038_0:00203c|STRG.5992.1:1105-2019|+     -            305 98332at50557         -            180   2.1e-13   49.0   2.8   1   3    0.0061      0.44    8.9   0.1    55   121    29    98     2   107 0.82 -
91571at50557_7038_0:00203c|STRG.5992.1:1105-2019|+     -            305 98332at50557         -            180   2.1e-13   49.0   2.8   2   3   3.2e-05    0.0023   16.3   0.1    54   113   136   194   111   205 0.86 -
91571at50557_7038_0:00203c|STRG.5992.1:1105-2019|+     -            305 98332at50557         -            180   2.1e-13   49.0   2.8   3   3   6.6e-07   4.8e-05   21.8   0.1   128   178   240   293   234   295 0.85 -
91571at50557_7038_0:00203c|STRG.5992.2:1184-2098|+     -            305 98332at50557         -            180   2.1e-13   49.0   2.8   1   3    0.0061      0.44    8.9   0.1    55   121    29    98     2   107 0.82 -
91571at50557_7038_0:00203c|STRG.5992.2:1184-2098|+     -            305 98332at50557         -            180   2.1e-13   49.0   2.8   2   3   3.2e-05    0.0023   16.3   0.1    54   113   136   194   111   205 0.86 -
91571at50557_7038_0:00203c|STRG.5992.2:1184-2098|+     -            305 98332at50557         -            180   2.1e-13   49.0   2.8   3   3   6.6e-07   4.8e-05   21.8   0.1   128   178   240   293   234   295 0.85 -
98332at50557_133901_0:000b7a|STRG.6686.1:1458-1874|+   -            139 98332at50557         -            180   3.3e-13   48.4   1.1   1   2   8.1e-06   0.00059   18.3   0.2   132   178     2    52     1    54 0.79 -
98332at50557_133901_0:000b7a|STRG.6686.1:1458-1874|+   -            139 98332at50557         -            180   3.3e-13   48.4   1.1   2   2   4.6e-10   3.3e-08   32.1   0.1    31   110    39   138    35   139 0.80 -
98332at50557_133901_0:000b7a|STRG.6686.4:1458-1874|+   -            139 98332at50557         -            180   3.3e-13   48.4   1.1   1   2   8.1e-06   0.00059   18.3   0.2   132   178     2    52     1    54 0.79 -
98332at50557_133901_0:000b7a|STRG.6686.4:1458-1874|+   -            139 98332at50557         -            180   3.3e-13   48.4   1.1   2   2   4.6e-10   3.3e-08   32.1   0.1    31   110    39   138    35   139 0.80 -
98332at50557_1155016_0:002d21|STRG.16465.1:3739-3891|+ -             51 98332at50557         -            180   1.1e-10   40.2   0.0   1   1   1.6e-12   1.1e-10   40.1   0.0   130   177     1    50     1    51 0.89 -
98332at50557_1218281_0:000683|STRG.8434.1:367-531|+    -             55 98332at50557         -            180     3e-10   38.8   0.1   1   1   4.4e-12   3.2e-10   38.7   0.1   130   180     1    53     1    53 0.91 -
98332at50557_1218281_0:000683|STRG.8434.2:367-531|+    -             55 98332at50557         -            180     3e-10   38.8   0.1   1   1   4.4e-12   3.2e-10   38.7   0.1   130   180     1    53     1    53 0.91 -
96740at50557_34720_0:001539|STRG.16264.3:24-1151|+     -            376 98332at50557         -            180   4.8e-10   38.1   0.7   1   3   1.5e-05    0.0011   17.4   0.0   132   180    59   110    52   110 0.86 -
96740at50557_34720_0:001539|STRG.16264.3:24-1151|+     -            376 98332at50557         -            180   4.8e-10   38.1   0.7   2   3    0.0012     0.086   11.2   0.0   132   177   209   258   203   261 0.75 -
96740at50557_34720_0:001539|STRG.16264.3:24-1151|+     -            376 98332at50557         -            180   4.8e-10   38.1   0.7   3   3     0.036       2.6    6.4   0.0   132   177   317   368   306   371 0.72 -
96740at50557_34720_0:001539|STRG.16264.2:529-1707|+    -            393 98332at50557         -            180   5.8e-10   37.8   0.7   1   3   1.6e-05    0.0012   17.3   0.0   132   180    76   127    69   127 0.86 -
96740at50557_34720_0:001539|STRG.16264.2:529-1707|+    -            393 98332at50557         -            180   5.8e-10   37.8   0.7   2   3    0.0013     0.092   11.1   0.0   132   177   226   275   220   278 0.75 -
96740at50557_34720_0:001539|STRG.16264.2:529-1707|+    -            393 98332at50557         -            180   5.8e-10   37.8   0.7   3   3     0.039       2.8    6.3   0.0   132   177   334   385   323   388 0.72 -
96740at50557_34720_0:001539|STRG.16264.1:529-1734|+    -            402 98332at50557         -            180   7.7e-10   37.4   0.9   1   3   1.7e-05    0.0012   17.2   0.0   132   180    76   127    69   127 0.86 -
96740at50557_34720_0:001539|STRG.16264.1:529-1734|+    -            402 98332at50557         -            180   7.7e-10   37.4   0.9   2   3    0.0014       0.1   11.0   0.0   132   177   235   284   232   287 0.74 -
96740at50557_34720_0:001539|STRG.16264.1:529-1734|+    -            402 98332at50557         -            180   7.7e-10   37.4   0.9   3   3      0.04       2.9    6.2   0.0   132   177   343   394   332   397 0.72 -
98332at50557_1218281_0:000683|STRG.1041.1:980-1123|+   -             48 98332at50557         -            180   7.7e-10   37.4   0.0   1   1   1.1e-11   8.3e-10   37.3   0.0   132   177     1    48     1    48 0.93 -
98332at50557_1218281_0:000683|STRG.1041.2:1049-1192|+  -             48 98332at50557         -            180   7.7e-10   37.4   0.0   1   1   1.1e-11   8.3e-10   37.3   0.0   132   177     1    48     1    48 0.93 -
98332at50557_1218281_0:000683|STRG.1041.3:965-1108|+   -             48 98332at50557         -            180   7.7e-10   37.4   0.0   1   1   1.1e-11   8.3e-10   37.3   0.0   132   177     1    48     1    48 0.93 -
98332at50557_1218281_0:000683|STRG.1041.4:944-1087|+   -             48 98332at50557         -            180   7.7e-10   37.4   0.0   1   1   1.1e-11   8.3e-10   37.3   0.0   132   177     1    48     1    48 0.93 -
98332at50557_1218281_0:000683|STRG.1041.5:1121-1264|+  -             48 98332at50557         -            180   7.7e-10   37.4   0.0   1   1   1.1e-11   8.3e-10   37.3   0.0   132   177     1    48     1    48 0.93 -
98332at50557_37001_0:001c0d|STRG.13455.10:2486-2758|+  -             91 98332at50557         -            180   4.1e-09   35.1   0.1   1   2      0.02       1.5    7.2   0.0    27    51     2    29     1    39 0.64 -
98332at50557_37001_0:001c0d|STRG.13455.10:2486-2758|+  -             91 98332at50557         -            180   4.1e-09   35.1   0.1   2   2   2.3e-08   1.7e-06   26.5   0.0   131   177    43    91    35    91 0.91 -
98332at50557_37001_0:001c0d|STRG.13455.11:2340-2612|+  -             91 98332at50557         -            180   4.1e-09   35.1   0.1   1   2      0.02       1.5    7.2   0.0    27    51     2    29     1    39 0.64 -
98332at50557_37001_0:001c0d|STRG.13455.11:2340-2612|+  -             91 98332at50557         -            180   4.1e-09   35.1   0.1   2   2   2.3e-08   1.7e-06   26.5   0.0   131   177    43    91    35    91 0.91 -
98332at50557_37001_0:001c0d|STRG.13455.1:1711-1983|+   -             91 98332at50557         -            180   4.1e-09   35.1   0.1   1   2      0.02       1.5    7.2   0.0    27    51     2    29     1    39 0.64 -
98332at50557_37001_0:001c0d|STRG.13455.1:1711-1983|+   -             91 98332at50557         -            180   4.1e-09   35.1   0.1   2   2   2.3e-08   1.7e-06   26.5   0.0   131   177    43    91    35    91 0.91 -
98332at50557_37001_0:001c0d|STRG.13455.2:1174-1446|+   -             91 98332at50557         -            180   4.1e-09   35.1   0.1   1   2      0.02       1.5    7.2   0.0    27    51     2    29     1    39 0.64 -
98332at50557_37001_0:001c0d|STRG.13455.2:1174-1446|+   -             91 98332at50557         -            180   4.1e-09   35.1   0.1   2   2   2.3e-08   1.7e-06   26.5   0.0   131   177    43    91    35    91 0.91 -
98332at50557_37001_0:001c0d|STRG.13455.3:1744-2016|+   -             91 98332at50557         -            180   4.1e-09   35.1   0.1   1   2      0.02       1.5    7.2   0.0    27    51     2    29     1    39 0.64 -
98332at50557_37001_0:001c0d|STRG.13455.3:1744-2016|+   -             91 98332at50557         -            180   4.1e-09   35.1   0.1   2   2   2.3e-08   1.7e-06   26.5   0.0   131   177    43    91    35    91 0.91 -
98332at50557_37001_0:001c0d|STRG.13455.4:2343-2615|+   -             91 98332at50557         -            180   4.1e-09   35.1   0.1   1   2      0.02       1.5    7.2   0.0    27    51     2    29     1    39 0.64 -
98332at50557_37001_0:001c0d|STRG.13455.4:2343-2615|+   -             91 98332at50557         -            180   4.1e-09   35.1   0.1   2   2   2.3e-08   1.7e-06   26.5   0.0   131   177    43    91    35    91 0.91 -
98332at50557_37001_0:001c0d|STRG.13455.5:2497-2769|+   -             91 98332at50557         -            180   4.1e-09   35.1   0.1   1   2      0.02       1.5    7.2   0.0    27    51     2    29     1    39 0.64 -
98332at50557_37001_0:001c0d|STRG.13455.5:2497-2769|+   -             91 98332at50557         -            180   4.1e-09   35.1   0.1   2   2   2.3e-08   1.7e-06   26.5   0.0   131   177    43    91    35    91 0.91 -
98332at50557_37001_0:001c0d|STRG.13455.6:6148-6420|+   -             91 98332at50557         -            180   4.1e-09   35.1   0.1   1   2      0.02       1.5    7.2   0.0    27    51     2    29     1    39 0.64 -
98332at50557_37001_0:001c0d|STRG.13455.6:6148-6420|+   -             91 98332at50557         -            180   4.1e-09   35.1   0.1   2   2   2.3e-08   1.7e-06   26.5   0.0   131   177    43    91    35    91 0.91 -
98332at50557_37001_0:001c0d|STRG.13455.7:1066-1338|+   -             91 98332at50557         -            180   4.1e-09   35.1   0.1   1   2      0.02       1.5    7.2   0.0    27    51     2    29     1    39 0.64 -
98332at50557_37001_0:001c0d|STRG.13455.7:1066-1338|+   -             91 98332at50557         -            180   4.1e-09   35.1   0.1   2   2   2.3e-08   1.7e-06   26.5   0.0   131   177    43    91    35    91 0.91 -
98332at50557_37001_0:001c0d|STRG.13455.8:7803-8075|+   -             91 98332at50557         -            180   4.1e-09   35.1   0.1   1   2      0.02       1.5    7.2   0.0    27    51     2    29     1    39 0.64 -
98332at50557_37001_0:001c0d|STRG.13455.8:7803-8075|+   -             91 98332at50557         -            180   4.1e-09   35.1   0.1   2   2   2.3e-08   1.7e-06   26.5   0.0   131   177    43    91    35    91 0.91 -
98332at50557_37001_0:001c0d|STRG.13455.9:827-1099|+    -             91 98332at50557         -            180   4.1e-09   35.1   0.1   1   2      0.02       1.5    7.2   0.0    27    51     2    29     1    39 0.64 -
98332at50557_37001_0:001c0d|STRG.13455.9:827-1099|+    -             91 98332at50557         -            180   4.1e-09   35.1   0.1   2   2   2.3e-08   1.7e-06   26.5   0.0   131   177    43    91    35    91 0.91 -
98332at50557_1155016_0:002d21|STRG.19575.1:1710-1868|+ -             53 98332at50557         -            180   5.3e-09   34.7   0.0   1   1   7.6e-11   5.6e-09   34.6   0.0   132   178     2    50     1    52 0.90 -
98332at50557_1155016_0:002d21|STRG.19575.2:1903-2061|+ -             53 98332at50557         -            180   5.3e-09   34.7   0.0   1   1   7.6e-11   5.6e-09   34.6   0.0   132   178     2    50     1    52 0.90 -
98332at50557_1155016_0:002d21|STRG.19575.3:3294-3452|+ -             53 98332at50557         -            180   5.3e-09   34.7   0.0   1   1   7.6e-11   5.6e-09   34.6   0.0   132   178     2    50     1    52 0.90 -
98332at50557_197043_0:002812|STRG.17727.1:1996-2169|+  -             58 98332at50557         -            180   5.8e-09   34.6   0.0   1   1   9.2e-11   6.7e-09   34.4   0.0   132   178     5    53     2    55 0.89 -
98332at50557_197043_0:002812|STRG.17727.2:1996-2169|+  -             58 98332at50557         -            180   5.8e-09   34.6   0.0   1   1   9.2e-11   6.7e-09   34.4   0.0   132   178     5    53     2    55 0.89 -
98332at50557_197043_0:002812|STRG.17727.3:1996-2169|+  -             58 98332at50557         -            180   5.8e-09   34.6   0.0   1   1   9.2e-11   6.7e-09   34.4   0.0   132   178     5    53     2    55 0.89 -
98332at50557_77166_0:00193f|STRG.10987.1:444-986|+     -            181 98332at50557         -            180     1e-08   33.7   0.0   1   2   0.00045     0.033   12.6   0.0   139   178     2    44     1    46 0.80 -
98332at50557_77166_0:00193f|STRG.10987.1:444-986|+     -            181 98332at50557         -            180     1e-08   33.7   0.0   2   2   3.7e-06   0.00027   19.4   0.0   131   177   133   181   113   181 0.84 -
98332at50557_7004_0:00518d|STRG.18297.3:461-724|+      -             88 98332at50557         -            180     2e-08   32.8   0.0   1   1     3e-10   2.2e-08   32.7   0.0    56   119    21    85     1    88 0.85 -
98332at50557_1155016_0:002d21|STRG.19630.1:488-640|+   -             51 98332at50557         -            180   2.3e-08   32.6   0.2   1   1   3.3e-10   2.4e-08   32.6   0.2   130   177     2    51     1    51 0.84 -
98332at50557_1155016_0:002d21|STRG.19630.2:5376-5528|+ -             51 98332at50557         -            180   2.3e-08   32.6   0.2   1   1   3.3e-10   2.4e-08   32.6   0.2   130   177     2    51     1    51 0.84 -
98332at50557_1155016_0:002d21|STRG.13360.1:837-998|+   -             54 98332at50557         -            180   3.1e-08   32.2   0.0   1   1   4.3e-10   3.1e-08   32.2   0.0   130   175     1    48     1    54 0.80 -
98332at50557_1155016_0:002d21|STRG.13360.2:837-998|+   -             54 98332at50557         -            180   3.1e-08   32.2   0.0   1   1   4.3e-10   3.1e-08   32.2   0.0   130   175     1    48     1    54 0.80 -
98332at50557_1155016_0:002d21|STRG.13360.3:837-998|+   -             54 98332at50557         -            180   3.1e-08   32.2   0.0   1   1   4.3e-10   3.1e-08   32.2   0.0   130   175     1    48     1    54 0.80 -
68581at50557_104452_0:00171a|STRG.16955.2:2997-3407|+  -            137 98332at50557         -            180   1.2e-07   30.3   0.0   1   1   2.5e-09   1.9e-07   29.7   0.0   130   178    12    63     6    65 0.89 -
68581at50557_104452_0:00171a|STRG.16955.4:536-946|+    -            137 98332at50557         -            180   1.2e-07   30.3   0.0   1   1   2.5e-09   1.9e-07   29.7   0.0   130   178    12    63     6    65 0.89 -
98332at50557_1218281_0:000683|STRG.16330.1:2049-2192|+ -             48 98332at50557         -            180   1.2e-07   30.3   0.0   1   1   1.7e-09   1.2e-07   30.2   0.0   132   177     1    48     1    48 0.87 -
98332at50557_197043_0:002812|STRG.4324.1:651-815|-     -             55 98332at50557         -            180   1.7e-07   29.8   0.0   1   1   2.5e-09   1.8e-07   29.7   0.0   132   178     1    54     1    55 0.83 -
98332at50557_1218281_0:000683|STRG.11435.1:1076-1225|- -             50 98332at50557         -            180   2.1e-07   29.5   0.0   1   1   3.1e-09   2.2e-07   29.4   0.0   132   177     1    50     1    50 0.85 -
71152at50557_103372_0:00095c|STRG.460.1:0-1415|+       -            472 98332at50557         -            180   2.3e-07   29.4   0.0   1   1   7.4e-09   5.4e-07   28.2   0.0   130   178   414   465   409   467 0.87 -
98332at50557_13164_0:002b29|STRG.9118.1:207-626|+      -            140 98332at50557         -            180   4.2e-07   28.5   0.0   1   2   2.3e-05    0.0017   16.8   0.1   132   177     1    50     1    53 0.80 -
98332at50557_13164_0:002b29|STRG.9118.1:207-626|+      -            140 98332at50557         -            180   4.2e-07   28.5   0.0   2   2    0.0043      0.32    9.4   0.0    57   108    83   140    37   140 0.76 -
98332at50557_1629725_0:002182|STRG.6915.1:577-864|+    -             96 98332at50557         -            180   6.4e-07   27.9   0.0   1   1   7.2e-08   5.2e-06   24.9   0.0    44   122     3    91     1    96 0.77 -
98332at50557_1629725_0:002182|STRG.6915.2:691-978|+    -             96 98332at50557         -            180   6.4e-07   27.9   0.0   1   1   7.2e-08   5.2e-06   24.9   0.0    44   122     3    91     1    96 0.77 -
98332at50557_1629725_0:002182|STRG.6915.3:604-891|+    -             96 98332at50557         -            180   6.4e-07   27.9   0.0   1   1   7.2e-08   5.2e-06   24.9   0.0    44   122     3    91     1    96 0.77 -
30640at50557_103372_0:0017a1|STRG.12164.1:0-2381|+     -            794 98332at50557         -            180   6.8e-07   27.8   0.0   1   1   2.6e-08   1.9e-06   26.4   0.0   130   178   532   582   490   584 0.84 -
98332at50557_56086_0:001f9f|STRG.18297.3:109-381|+     -             91 98332at50557         -            180   1.4e-06   26.8   0.0   1   1   2.3e-08   1.7e-06   26.5   0.0    55   112    20    77     1    85 0.85 -
98332at50557_133901_0:000b7a|STRG.18297.4:109-456|+    -            116 98332at50557         -            180   1.6e-06   26.7   0.0   1   2   4.7e-08   3.4e-06   25.5   0.0    55   112    20    77     1    86 0.85 -
98332at50557_133901_0:000b7a|STRG.18297.4:109-456|+    -            116 98332at50557         -            180   1.6e-06   26.7   0.0   2   2       6.8   4.9e+02   -1.0   0.0   142   166    81   112    74   115 0.48 -
68581at50557_45779_0:003c15|STRG.2755.1:3231-3365|+    -             45 98332at50557         -            180     2e-06   26.3   0.0   1   1     3e-08   2.2e-06   26.2   0.0   134   176     1    45     1    45 0.89 -
68581at50557_45779_0:003c15|STRG.2755.2:3229-3363|+    -             45 98332at50557         -            180     2e-06   26.3   0.0   1   1     3e-08   2.2e-06   26.2   0.0   134   176     1    45     1    45 0.89 -
68581at50557_45779_0:003c15|STRG.2755.3:2937-3071|+    -             45 98332at50557         -            180     2e-06   26.3   0.0   1   1     3e-08   2.2e-06   26.2   0.0   134   176     1    45     1    45 0.89 -
68581at50557_45779_0:003c15|STRG.19126.1:1318-1458|+   -             47 98332at50557         -            180   2.8e-06   25.8   0.1   1   1   4.1e-08     3e-06   25.7   0.1   134   177     1    46     1    47 0.89 -
68581at50557_45779_0:003c15|STRG.19126.2:1617-1757|+   -             47 98332at50557         -            180   2.8e-06   25.8   0.1   1   1   4.1e-08     3e-06   25.7   0.1   134   177     1    46     1    47 0.89 -
68581at50557_45779_0:003c15|STRG.19126.3:1377-1517|+   -             47 98332at50557         -            180   2.8e-06   25.8   0.1   1   1   4.1e-08     3e-06   25.7   0.1   134   177     1    46     1    47 0.89 -
68581at50557_45779_0:003c15|STRG.19126.4:1315-1455|+   -             47 98332at50557         -            180   2.8e-06   25.8   0.1   1   1   4.1e-08     3e-06   25.7   0.1   134   177     1    46     1    47 0.89 -
68581at50557_45779_0:003c15|STRG.19126.5:1203-1343|+   -             47 98332at50557         -            180   2.8e-06   25.8   0.1   1   1   4.1e-08     3e-06   25.7   0.1   134   177     1    46     1    47 0.89 -
68581at50557_45779_0:003c15|STRG.19126.6:1374-1514|+   -             47 98332at50557         -            180   2.8e-06   25.8   0.1   1   1   4.1e-08     3e-06   25.7   0.1   134   177     1    46     1    47 0.89 -
98332at50557_1629725_0:002182|STRG.15211.1:3101-3352|+ -             84 98332at50557         -            180   7.1e-06   24.5   0.0   1   1   1.4e-06    0.0001   20.7   0.0    46    91     7    62     3    83 0.77 -
98332at50557_1155016_0:002d21|STRG.4309.1:491-634|+    -             48 98332at50557         -            180   7.6e-06   24.4   0.0   1   1   1.1e-07     8e-06   24.3   0.0   132   173     2    48     1    48 0.82 -
15817at50557_610380_0:002a13|STRG.11472.1:10-2959|+    -            689 98332at50557         -            180   2.6e-05   22.7   0.0   1   2     0.034       2.5    6.5   0.0   101   165     5    80     3    98 0.63 -
15817at50557_610380_0:002a13|STRG.11472.1:10-2959|+    -            689 98332at50557         -            180   2.6e-05   22.7   0.0   2   2   0.00027     0.019   13.3   0.0    57   115   130   187    96   199 0.79 -
30640at50557_1629725_0:002003|STRG.12164.2:35-1032|+   -            325 98332at50557         -            180   5.8e-05   21.5   0.0   1   1   2.6e-06   0.00019   19.8   0.0   130   167   283   321   239   325 0.81 -
35377at50557_456900_0:0025de|STRG.16415.1:742-2346|+   -            535 98332at50557         -            180   0.00026   19.4   0.0   1   1   9.1e-06   0.00066   18.1   0.0   129   178     5    59     1    61 0.81 -
35377at50557_456900_0:0025de|STRG.16415.2:742-2911|+   -            537 98332at50557         -            180   0.00026   19.4   0.0   1   1   9.2e-06   0.00067   18.1   0.0   129   178     5    59     1    61 0.81 -
68581at50557_29031_0:00220d|STRG.2409.1:638-892|+      -             85 98332at50557         -            180   0.00046   18.6   0.0   1   1   6.6e-06   0.00048   18.6   0.0   129   174    35    85    15    85 0.79 -
35377at50557_456900_0:0025de|STRG.16415.3:0-1589|+     -            530 98332at50557         -            180   0.00065   18.1   0.0   1   1   2.3e-05    0.0017   16.8   0.0   130   178     1    54     1    56 0.82 -
