#                                                                                                              --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                          accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                  ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
15817at50557_610380_0:002a13|STRG.11472.1:10-2959|+    -            689 15817at50557         -            797         0 1230.2   2.1   1   1         0         0 1228.7   2.1    65   696     1   681     1   684 0.96 -
68581at50557_1629725_0:001166|STRG.6686.2:1452-2651|+  -            143 15817at50557         -            797   8.8e-12   43.0   0.2   1   2    0.0001     0.013   12.7   0.0   109   163     4    57     1    63 0.81 -
68581at50557_1629725_0:001166|STRG.6686.2:1452-2651|+  -            143 15817at50557         -            797   8.8e-12   43.0   0.2   2   2   1.1e-09   1.4e-07   29.2   0.1     7    80    63   142    57   143 0.89 -
98332at50557_133901_0:000b7a|STRG.6686.1:1458-1874|+   -            139 15817at50557         -            797     5e-11   40.5   0.2   1   2   0.00013     0.017   12.3   0.0   115   163     8    55     1    61 0.81 -
98332at50557_133901_0:000b7a|STRG.6686.1:1458-1874|+   -            139 15817at50557         -            797     5e-11   40.5   0.2   2   2   4.6e-09     6e-07   27.1   0.1     7    79    61   139    56   139 0.89 -
98332at50557_133901_0:000b7a|STRG.6686.4:1458-1874|+   -            139 15817at50557         -            797     5e-11   40.5   0.2   1   2   0.00013     0.017   12.3   0.0   115   163     8    55     1    61 0.81 -
98332at50557_133901_0:000b7a|STRG.6686.4:1458-1874|+   -            139 15817at50557         -            797     5e-11   40.5   0.2   2   2   4.6e-09     6e-07   27.1   0.1     7    79    61   139    56   139 0.89 -
98332at50557_56086_0:001f9f|STRG.18297.3:109-381|+     -             91 15817at50557         -            797   6.5e-11   40.2   0.1   1   1   1.2e-12   1.5e-10   39.0   0.1   174   248     1    77     1    86 0.92 -
68581at50557_166423_0:000f4f|STRG.7529.1:0-863|+       -            288 15817at50557         -            797   1.3e-10   39.1   0.0   1   3       1.8   2.3e+02   -1.3   0.0   115   141    23    49     6    57 0.79 -
68581at50557_166423_0:000f4f|STRG.7529.1:0-863|+       -            288 15817at50557         -            797   1.3e-10   39.1   0.0   2   3      0.33        43    1.1   0.0   107   164    88   145    74   150 0.71 -
68581at50557_166423_0:000f4f|STRG.7529.1:0-863|+       -            288 15817at50557         -            797   1.3e-10   39.1   0.0   3   3   2.2e-11   2.8e-09   34.7   0.0   173   252   183   263   153   276 0.87 -
91571at50557_2015173_0:000792|STRG.12457.2:0-860|+     -            287 15817at50557         -            797   5.3e-10   37.2   0.1   1   1   6.7e-12   8.6e-10   36.5   0.1     7   164    12   167     8   176 0.86 -
91571at50557_2015173_0:000792|STRG.12457.1:887-1714|+  -            276 15817at50557         -            797   7.8e-10   36.6   0.1   1   1   9.3e-12   1.2e-09   36.0   0.1     7   164     1   156     1   165 0.86 -
98332at50557_13164_0:002b29|STRG.9118.1:207-626|+      -            140 15817at50557         -            797   9.3e-09   33.0   0.1   1   1   7.2e-11   9.3e-09   33.0   0.1   112   211     4   100     1   136 0.88 -
98332at50557_1629725_0:002182|STRG.15211.1:3101-3352|+ -             84 15817at50557         -            797   1.4e-07   29.2   0.0   1   1   1.1e-09   1.4e-07   29.1   0.0     7    57     7    59     3    82 0.85 -
54067at50557_168631_0:001e78|STRG.10722.1:5525-5803|+  -             93 15817at50557         -            797     4e-07   27.6   0.0   1   1   3.4e-09   4.4e-07   27.5   0.0   168   210    48    90    35    93 0.86 -
54067at50557_168631_0:001e78|STRG.10722.2:1934-2212|+  -             93 15817at50557         -            797     4e-07   27.6   0.0   1   1   3.4e-09   4.4e-07   27.5   0.0   168   210    48    90    35    93 0.86 -
54067at50557_168631_0:001e78|STRG.10722.3:1429-1707|+  -             93 15817at50557         -            797     4e-07   27.6   0.0   1   1   3.4e-09   4.4e-07   27.5   0.0   168   210    48    90    35    93 0.86 -
54067at50557_168631_0:001e78|STRG.10722.4:360-638|+    -             93 15817at50557         -            797     4e-07   27.6   0.0   1   1   3.4e-09   4.4e-07   27.5   0.0   168   210    48    90    35    93 0.86 -
54067at50557_168631_0:001e78|STRG.10722.5:2615-2893|+  -             93 15817at50557         -            797     4e-07   27.6   0.0   1   1   3.4e-09   4.4e-07   27.5   0.0   168   210    48    90    35    93 0.86 -
54067at50557_168631_0:001e78|STRG.10722.6:2615-2893|+  -             93 15817at50557         -            797     4e-07   27.6   0.0   1   1   3.4e-09   4.4e-07   27.5   0.0   168   210    48    90    35    93 0.86 -
54067at50557_168631_0:001e78|STRG.10722.7:3391-3669|+  -             93 15817at50557         -            797     4e-07   27.6   0.0   1   1   3.4e-09   4.4e-07   27.5   0.0   168   210    48    90    35    93 0.86 -
54067at50557_168631_0:001e78|STRG.10722.8:1978-2256|+  -             93 15817at50557         -            797     4e-07   27.6   0.0   1   1   3.4e-09   4.4e-07   27.5   0.0   168   210    48    90    35    93 0.86 -
54067at50557_168631_0:001e78|STRG.10722.9:3567-3845|+  -             93 15817at50557         -            797     4e-07   27.6   0.0   1   1   3.4e-09   4.4e-07   27.5   0.0   168   210    48    90    35    93 0.86 -
65263at50557_103372_0:0008c5|STRG.15838.1:221-1543|+   -            441 15817at50557         -            797   4.3e-07   27.6   0.0   1   1   4.8e-09   6.2e-07   27.0   0.0     7    79   343   415   338   429 0.92 -
65263at50557_103372_0:0008c5|STRG.15838.2:0-1322|+     -            441 15817at50557         -            797   4.3e-07   27.6   0.0   1   1   4.8e-09   6.2e-07   27.0   0.0     7    79   343   415   338   429 0.92 -
98332at50557_1629725_0:002182|STRG.6915.1:577-864|+    -             96 15817at50557         -            797     3e-06   24.7   0.1   1   1   2.7e-08   3.5e-06   24.5   0.1     7    83     5    84     2    92 0.85 -
98332at50557_1629725_0:002182|STRG.6915.2:691-978|+    -             96 15817at50557         -            797     3e-06   24.7   0.1   1   1   2.7e-08   3.5e-06   24.5   0.1     7    83     5    84     2    92 0.85 -
98332at50557_1629725_0:002182|STRG.6915.3:604-891|+    -             96 15817at50557         -            797     3e-06   24.7   0.1   1   1   2.7e-08   3.5e-06   24.5   0.1     7    83     5    84     2    92 0.85 -
54067at50557_168631_0:001e78|STRG.1974.1:597-836|+     -             80 15817at50557         -            797   7.1e-06   23.5   0.0   1   1   5.9e-08   7.6e-06   23.4   0.0   172   212    33    73    26    80 0.83 -
54067at50557_168631_0:001e78|STRG.1974.2:1204-1443|+   -             80 15817at50557         -            797   7.1e-06   23.5   0.0   1   1   5.9e-08   7.6e-06   23.4   0.0   172   212    33    73    26    80 0.83 -
54067at50557_168631_0:001e78|STRG.1974.3:291-530|+     -             80 15817at50557         -            797   7.1e-06   23.5   0.0   1   1   5.9e-08   7.6e-06   23.4   0.0   172   212    33    73    26    80 0.83 -
98332at50557_7004_0:00518d|STRG.18738.1:1914-2168|+    -             85 15817at50557         -            797   2.6e-05   21.6   0.1   1   1   2.1e-07   2.7e-05   21.6   0.1     8    79     1    84     1    85 0.77 -
98332at50557_7004_0:00518d|STRG.18738.2:1336-1590|+    -             85 15817at50557         -            797   2.6e-05   21.6   0.1   1   1   2.1e-07   2.7e-05   21.6   0.1     8    79     1    84     1    85 0.77 -
98332at50557_7004_0:00518d|STRG.18738.3:1385-1639|+    -             85 15817at50557         -            797   2.6e-05   21.6   0.1   1   1   2.1e-07   2.7e-05   21.6   0.1     8    79     1    84     1    85 0.77 -
98332at50557_7004_0:00518d|STRG.18738.4:2038-2292|+    -             85 15817at50557         -            797   2.6e-05   21.6   0.1   1   1   2.1e-07   2.7e-05   21.6   0.1     8    79     1    84     1    85 0.77 -
98332at50557_7004_0:00518d|STRG.18738.6:1366-1620|+    -             85 15817at50557         -            797   2.6e-05   21.6   0.1   1   1   2.1e-07   2.7e-05   21.6   0.1     8    79     1    84     1    85 0.77 -
98332at50557_1218281_0:000683|STRG.11435.1:1076-1225|- -             50 15817at50557         -            797   0.00035   17.9   0.0   1   1   2.7e-06   0.00035   17.9   0.0   111   153     3    44     1    50 0.87 -
96740at50557_34720_0:001539|STRG.16264.1:529-1734|+    -            402 15817at50557         -            797   0.00061   17.1   0.1   1   3       4.7   6.1e+02   -2.7   0.0   110   153    77   118    69   122 0.74 -
96740at50557_34720_0:001539|STRG.16264.1:529-1734|+    -            402 15817at50557         -            797   0.00061   17.1   0.1   2   3    0.0028      0.36    7.9   0.0    94   154   222   279   203   286 0.77 -
96740at50557_34720_0:001539|STRG.16264.1:529-1734|+    -            402 15817at50557         -            797   0.00061   17.1   0.1   3   3    0.0079         1    6.5   0.0   115   154   348   389   338   394 0.80 -
54067at50557_103372_0:001461|STRG.4963.3:1244-3379|+   -            712 15817at50557         -            797    0.0013   16.0   0.0   1   1   1.3e-05    0.0017   15.6   0.0     6    82    65   153    61   176 0.77 -
78158at50557_456900_0:002177|STRG.13804.3:912-2729|+   -            606 15817at50557         -            797    0.0013   16.0   0.0   1   2       1.4   1.8e+02   -1.0   0.0   294   332   267   305   245   324 0.81 -
78158at50557_456900_0:002177|STRG.13804.3:912-2729|+   -            606 15817at50557         -            797    0.0013   16.0   0.0   2   2     4e-05    0.0051   14.1   0.0   172   223   462   516   454   546 0.71 -
96740at50557_34720_0:001539|STRG.16264.3:24-1151|+     -            376 15817at50557         -            797    0.0014   15.9   0.1   1   3       4.3   5.6e+02   -2.6   0.0   109   153    59   101    52   105 0.74 -
96740at50557_34720_0:001539|STRG.16264.3:24-1151|+     -            376 15817at50557         -            797    0.0014   15.9   0.1   2   3    0.0076      0.98    6.5   0.0   113   154   211   253   200   260 0.85 -
96740at50557_34720_0:001539|STRG.16264.3:24-1151|+     -            376 15817at50557         -            797    0.0014   15.9   0.1   3   3    0.0072      0.93    6.6   0.0   115   154   322   363   312   368 0.80 -
78158at50557_520822_0:0011dd|STRG.13804.1:0-2012|+     -            643 15817at50557         -            797    0.0014   15.9   0.0   1   2       1.5     2e+02   -1.1   0.0   294   332   267   305   245   323 0.81 -
78158at50557_520822_0:0011dd|STRG.13804.1:0-2012|+     -            643 15817at50557         -            797    0.0014   15.9   0.0   2   2   4.3e-05    0.0056   13.9   0.0   172   223   462   516   454   546 0.71 -
78158at50557_520822_0:0011dd|STRG.13804.2:0-1928|+     -            643 15817at50557         -            797    0.0015   15.9   0.0   1   2       1.5     2e+02   -1.1   0.0   294   332   267   305   245   323 0.81 -
78158at50557_520822_0:0011dd|STRG.13804.2:0-1928|+     -            643 15817at50557         -            797    0.0015   15.9   0.0   2   2   4.3e-05    0.0056   13.9   0.0   172   223   462   516   454   546 0.71 -
54067at50557_103372_0:001461|STRG.4963.1:213-2567|+    -            785 15817at50557         -            797    0.0015   15.9   0.0   1   1   1.5e-05     0.002   15.4   0.0     6    82   138   226   134   249 0.77 -
54067at50557_456900_0:002501|STRG.4963.2:1877-4318|+   -            814 15817at50557         -            797    0.0015   15.8   0.0   1   1   1.6e-05    0.0021   15.4   0.0     6    82   167   255   163   278 0.77 -
96740at50557_34720_0:001539|STRG.16264.2:529-1707|+    -            393 15817at50557         -            797    0.0016   15.7   0.1   1   3       4.6   5.9e+02   -2.7   0.0   110   153    77   118    69   122 0.74 -
96740at50557_34720_0:001539|STRG.16264.2:529-1707|+    -            393 15817at50557         -            797    0.0016   15.7   0.1   2   3     0.008         1    6.4   0.0   113   154   228   270   217   277 0.85 -
96740at50557_34720_0:001539|STRG.16264.2:529-1707|+    -            393 15817at50557         -            797    0.0016   15.7   0.1   3   3    0.0076      0.99    6.5   0.0   115   154   339   380   329   385 0.80 -
68581at50557_680683_0:0014ea|STRG.11293.1:3673-4479|+  -            269 15817at50557         -            797    0.0059   13.9   0.0   1   3      0.24        31    1.6   0.0   117   147    11    41     2    85 0.82 -
68581at50557_680683_0:0014ea|STRG.11293.1:3673-4479|+  -            269 15817at50557         -            797    0.0059   13.9   0.0   2   3       5.1   6.6e+02   -2.8   0.0   109   140   132   162   125   168 0.79 -
68581at50557_680683_0:0014ea|STRG.11293.1:3673-4479|+  -            269 15817at50557         -            797    0.0059   13.9   0.0   3   3    0.0009      0.12    9.6   0.0   104   140   210   245   199   255 0.82 -
98332at50557_197043_0:002812|STRG.4324.1:651-815|-     -             55 15817at50557         -            797     0.055   10.6   0.0   1   1   0.00043     0.055   10.6   0.0   117   150     8    43     2    54 0.73 -
98332at50557_1155016_0:002d21|STRG.4309.1:491-634|+    -             48 15817at50557         -            797     0.079   10.1   0.0   1   1   0.00068     0.088   10.0   0.0   119   153    11    46     3    47 0.72 -
98332at50557_1155016_0:002d21|STRG.19575.1:1710-1868|+ -             53 15817at50557         -            797     0.096    9.9   0.0   1   1   0.00074     0.096    9.9   0.0   119   147    11    38     2    52 0.77 -
98332at50557_1155016_0:002d21|STRG.19575.2:1903-2061|+ -             53 15817at50557         -            797     0.096    9.9   0.0   1   1   0.00074     0.096    9.9   0.0   119   147    11    38     2    52 0.77 -
98332at50557_1155016_0:002d21|STRG.19575.3:3294-3452|+ -             53 15817at50557         -            797     0.096    9.9   0.0   1   1   0.00074     0.096    9.9   0.0   119   147    11    38     2    52 0.77 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/15817at50557.hmm
# Target file:     annotation_analysis/annotation_gca/T_zeteki/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas
# Option settings: hmmsearch --domtblout annotation_analysis/annotation_gca/T_zeteki/busco_output/run_insecta_odb10/hmmer_output/initial_run_results/15817at50557.out --cpu 1 /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/15817at50557.hmm annotation_analysis/annotation_gca/T_zeteki/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas 
# Current dir:     /data/projet1/projet_tutore
# Date:            Sun Dec  1 17:33:36 2024
# [ok]
