#                                                                                                               --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                           accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                   ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
83902at50557_13686_0:0017a1|STRG.4680.1:0-851|+         -            284 83902at50557         -            211  6.9e-106  351.1  11.0   1   1  3.8e-107  2.9e-105  349.1  11.0     1   211    15   256    15   256 0.93 -
25718at50557_29031_0:000108|STRG.19900.3:130-2838|+     -            903 83902at50557         -            211   1.3e-35  121.5  54.1   7   8   8.7e-06   0.00067   17.9   0.3   118   178   747   811   743   816 0.86 -
25718at50557_29031_0:000108|STRG.19900.3:130-2838|+     -            903 83902at50557         -            211   1.3e-35  121.5  54.1   8   8    0.0013     0.098   10.8   0.3    96   172   772   854   766   860 0.74 -
25718at50557_7493_0:0009f9|STRG.19896.1:447-3734|+      -           1096 83902at50557         -            211   6.3e-34  116.0  51.2   1   8       2.4   1.8e+02    0.1   0.1    38    73    10    46     4    60 0.67 -
25718at50557_7493_0:0009f9|STRG.19896.1:447-3734|+      -           1096 83902at50557         -            211   6.3e-34  116.0  51.2   2   8   1.1e-05   0.00081   17.6   1.7    34   137    53   167    30   190 0.70 -
25718at50557_7493_0:0009f9|STRG.19896.1:447-3734|+      -           1096 83902at50557         -            211   6.3e-34  116.0  51.2   3   8   4.1e-09   3.1e-07   28.8   1.8    16   174    80   256    75   265 0.77 -
25718at50557_7493_0:0009f9|STRG.19896.1:447-3734|+      -           1096 83902at50557         -            211   6.3e-34  116.0  51.2   4   8   1.9e-06   0.00014   20.1   1.5    41   177   228   379   227   387 0.77 -
25718at50557_7493_0:0009f9|STRG.19896.1:447-3734|+      -           1096 83902at50557         -            211   6.3e-34  116.0  51.2   5   8     1e-05   0.00078   17.7   4.1    91   176   465   555   415   565 0.84 -
25718at50557_7493_0:0009f9|STRG.19896.1:447-3734|+      -           1096 83902at50557         -            211   6.3e-34  116.0  51.2   6   8    0.0038      0.29    9.3   5.2    52   180   513   654   512   661 0.69 -
25718at50557_7493_0:0009f9|STRG.19896.1:447-3734|+      -           1096 83902at50557         -            211   6.3e-34  116.0  51.2   7   8   9.6e-10   7.3e-08   30.8   1.5    34   177   661   822   656   825 0.74 -
25718at50557_7493_0:0009f9|STRG.19896.1:447-3734|+      -           1096 83902at50557         -            211   6.3e-34  116.0  51.2   8   8   1.6e-10   1.2e-08   33.4   2.8    38   174   836   987   832  1003 0.78 -
8280at50557_609295_0:000daa|STRG.6089.1:51-3371|+       -           1107 83902at50557         -            211   6.4e-31  106.2  62.6   1  10   0.00032     0.025   12.8   1.0    91   187    62   167    11   168 0.75 -
8280at50557_609295_0:000daa|STRG.6089.1:51-3371|+       -           1107 83902at50557         -            211   6.4e-31  106.2  62.6   2  10   0.00035     0.027   12.7   0.4   104   179   167   247   158   254 0.84 -
8280at50557_609295_0:000daa|STRG.6089.1:51-3371|+       -           1107 83902at50557         -            211   6.4e-31  106.2  62.6   3  10   7.9e-06   0.00061   18.1   2.7    34   177   254   413   248   417 0.79 -
8280at50557_609295_0:000daa|STRG.6089.1:51-3371|+       -           1107 83902at50557         -            211   6.4e-31  106.2  62.6   4  10    0.0001    0.0078   14.4   2.8    33   158   350   491   319   501 0.72 -
8280at50557_609295_0:000daa|STRG.6089.1:51-3371|+       -           1107 83902at50557         -            211   6.4e-31  106.2  62.6   5  10   0.00062     0.047   11.9   0.5    82   178   482   586   482   602 0.80 -
8280at50557_609295_0:000daa|STRG.6089.1:51-3371|+       -           1107 83902at50557         -            211   6.4e-31  106.2  62.6   6  10   0.00023     0.017   13.3   1.0    36   135   549   657   544   660 0.78 -
8280at50557_609295_0:000daa|STRG.6089.1:51-3371|+       -           1107 83902at50557         -            211   6.4e-31  106.2  62.6   7  10   2.1e-16   1.6e-14   52.6   3.4    38   179   600   752   598   759 0.85 -
8280at50557_609295_0:000daa|STRG.6089.1:51-3371|+       -           1107 83902at50557         -            211   6.4e-31  106.2  62.6   8  10   1.7e-05    0.0013   17.0   4.0    38   135   740   847   738   854 0.78 -
8280at50557_609295_0:000daa|STRG.6089.1:51-3371|+       -           1107 83902at50557         -            211   6.4e-31  106.2  62.6   9  10   9.5e-05    0.0072   14.5   3.3    97   170   854   929   843   939 0.84 -
8280at50557_609295_0:000daa|STRG.6089.1:51-3371|+       -           1107 83902at50557         -            211   6.4e-31  106.2  62.6  10  10       6.7   5.1e+02   -1.3   0.0   162   180   995  1013   977  1041 0.61 -
54603at50557_224129_0:0029b4|STRG.4378.1:620-1834|+     -            405 83902at50557         -            211   3.3e-29  100.6  24.8   1   4   1.8e-05    0.0014   16.9   0.1   127   185    24    82     5   102 0.76 -
54603at50557_224129_0:0029b4|STRG.4378.1:620-1834|+     -            405 83902at50557         -            211   3.3e-29  100.6  24.8   2   4     3e-07   2.3e-05   22.7   1.2    23    75    97   149    84   156 0.87 -
54603at50557_224129_0:0029b4|STRG.4378.1:620-1834|+     -            405 83902at50557         -            211   3.3e-29  100.6  24.8   3   4   7.4e-14   5.7e-12   44.3  12.5    33   174   154   307   149   307 0.83 -
54603at50557_224129_0:0029b4|STRG.4378.1:620-1834|+     -            405 83902at50557         -            211   3.3e-29  100.6  24.8   4   4   6.1e-16   4.7e-14   51.1   5.6    45   184   215   365   213   389 0.74 -
25718at50557_29058_0:000d02|STRG.11068.1:501-2891|+     -            797 83902at50557         -            211   7.1e-26   89.7  29.2   1   6   2.7e-11     2e-09   35.9   1.8    61   181     4   143     1   166 0.71 -
25718at50557_29058_0:000d02|STRG.11068.1:501-2891|+     -            797 83902at50557         -            211   7.1e-26   89.7  29.2   2   6   6.5e-06    0.0005   18.3   0.2    92   178   171   262   166   267 0.88 -
25718at50557_29058_0:000d02|STRG.11068.1:501-2891|+     -            797 83902at50557         -            211   7.1e-26   89.7  29.2   3   6   3.7e-05    0.0028   15.9   1.5    31   105   268   351   265   353 0.82 -
25718at50557_29058_0:000d02|STRG.11068.1:501-2891|+     -            797 83902at50557         -            211   7.1e-26   89.7  29.2   4   6   0.00043     0.033   12.4   1.6    35   142   319   416   310   455 0.62 -
25718at50557_29058_0:000d02|STRG.11068.1:501-2891|+     -            797 83902at50557         -            211   7.1e-26   89.7  29.2   5   6     0.033       2.6    6.2   0.3    27    89   450   514   437   526 0.79 -
25718at50557_29058_0:000d02|STRG.11068.1:501-2891|+     -            797 83902at50557         -            211   7.1e-26   89.7  29.2   6   6     6e-05    0.0045   15.2   0.2    88   154   675   745   655   755 0.84 -
7376at50557_121225_0:001986|STRG.11035.1:411-2795|+     -            795 83902at50557         -            211     1e-24   85.9  35.3   1   6     2e-10   1.5e-08   33.1   0.5    33   181    17   161    11   166 0.81 -
7376at50557_121225_0:001986|STRG.11035.1:411-2795|+     -            795 83902at50557         -            211     1e-24   85.9  35.3   2   6   4.9e-06   0.00037   18.7   2.4    94   177   165   255   161   258 0.82 -
7376at50557_121225_0:001986|STRG.11035.1:411-2795|+     -            795 83902at50557         -            211     1e-24   85.9  35.3   3   6   2.4e-11   1.8e-09   36.1   5.8    32   185   239   406   236   416 0.84 -
7376at50557_121225_0:001986|STRG.11035.1:411-2795|+     -            795 83902at50557         -            211     1e-24   85.9  35.3   4   6      0.21        16    3.6   0.6    34   134   407   514   397   524 0.60 -
7376at50557_121225_0:001986|STRG.11035.1:411-2795|+     -            795 83902at50557         -            211     1e-24   85.9  35.3   5   6   0.00012    0.0092   14.2   0.4   105   177   663   740   656   747 0.84 -
7376at50557_121225_0:001986|STRG.11035.1:411-2795|+     -            795 83902at50557         -            211     1e-24   85.9  35.3   6   6     0.016       1.2    7.2   0.1    35    73   727   766   717   778 0.75 -
83902at50557_319348_0:0019ae|STRG.14336.1:471-1037|+    -            189 83902at50557         -            211   1.4e-23   82.2   9.5   1   2   1.7e-11   1.3e-09   36.6   0.8   102   178    13    91     5    94 0.81 -
83902at50557_319348_0:0019ae|STRG.14336.1:471-1037|+    -            189 83902at50557         -            211   1.4e-23   82.2   9.5   2   2   4.5e-16   3.4e-14   51.5   2.0    84   184    87   189    83   189 0.90 -
8280at50557_103372_0:001996|STRG.2904.1:2-2926|+        -            951 83902at50557         -            211   8.2e-21   73.2  47.1   1   7    0.0031      0.24    9.6   0.3   119   179     7    73     2    82 0.78 -
8280at50557_103372_0:001996|STRG.2904.1:2-2926|+        -            951 83902at50557         -            211   8.2e-21   73.2  47.1   2   7       2.3   1.8e+02    0.2   0.1   114   151   108   145    95   169 0.79 -
8280at50557_103372_0:001996|STRG.2904.1:2-2926|+        -            951 83902at50557         -            211   8.2e-21   73.2  47.1   3   7   6.2e-06   0.00047   18.4   3.2    51   157   201   322   169   326 0.77 -
8280at50557_103372_0:001996|STRG.2904.1:2-2926|+        -            951 83902at50557         -            211   8.2e-21   73.2  47.1   4   7    0.0009     0.069   11.3   0.6    91   123   324   356   321   372 0.83 -
8280at50557_103372_0:001996|STRG.2904.1:2-2926|+        -            951 83902at50557         -            211   8.2e-21   73.2  47.1   5   7   4.6e-07   3.5e-05   22.1   2.9    96   180   389   479   359   481 0.83 -
8280at50557_103372_0:001996|STRG.2904.1:2-2926|+        -            951 83902at50557         -            211   8.2e-21   73.2  47.1   6   7   1.4e-05    0.0011   17.2   2.3    95   178   437   524   435   552 0.59 -
8280at50557_103372_0:001996|STRG.2904.1:2-2926|+        -            951 83902at50557         -            211   8.2e-21   73.2  47.1   7   7   4.1e-08   3.1e-06   25.5   5.1    35   198   510   698   505   711 0.73 -
8280at50557_103372_0:001996|STRG.2904.2:2-3049|+        -            951 83902at50557         -            211   1.1e-20   72.8  47.4   1   7    0.0033      0.25    9.5   0.4   119   179     7    73     2    87 0.78 -
8280at50557_103372_0:001996|STRG.2904.2:2-3049|+        -            951 83902at50557         -            211   1.1e-20   72.8  47.4   2   7       1.8   1.4e+02    0.6   0.1   113   151   107   145    76   177 0.79 -
8280at50557_103372_0:001996|STRG.2904.2:2-3049|+        -            951 83902at50557         -            211   1.1e-20   72.8  47.4   3   7   6.7e-06   0.00051   18.3   3.1    51   157   201   322   180   325 0.77 -
8280at50557_103372_0:001996|STRG.2904.2:2-3049|+        -            951 83902at50557         -            211   1.1e-20   72.8  47.4   4   7   0.00087     0.066   11.4   0.6    91   124   324   357   320   373 0.83 -
8280at50557_103372_0:001996|STRG.2904.2:2-3049|+        -            951 83902at50557         -            211   1.1e-20   72.8  47.4   5   7   4.2e-07   3.2e-05   22.2   2.9    96   180   389   479   359   482 0.83 -
8280at50557_103372_0:001996|STRG.2904.2:2-3049|+        -            951 83902at50557         -            211   1.1e-20   72.8  47.4   6   7   0.00067     0.051   11.8   0.2   136   180   458   503   453   508 0.84 -
8280at50557_103372_0:001996|STRG.2904.2:2-3049|+        -            951 83902at50557         -            211   1.1e-20   72.8  47.4   7   7   1.4e-07     1e-05   23.8   7.3    34   198   509   698   490   711 0.74 -
83902at50557_7165_0:002695|STRG.3556.1:165-677|+        -            171 83902at50557         -            211   2.6e-20   71.5   3.5   1   2   0.00037     0.028   12.6   0.0   134   184    11    62     5    70 0.85 -
83902at50557_7165_0:002695|STRG.3556.1:165-677|+        -            171 83902at50557         -            211   2.6e-20   71.5   3.5   2   2   6.3e-18   4.8e-16   57.6   2.4    82   178    73   171    64   171 0.93 -
54603at50557_116153_0:001d7a|STRG.14138.3:956-1822|+    -            289 83902at50557         -            211   3.9e-20   70.9  12.5   1   2     4e-07   3.1e-05   22.3   0.3    35    83     6    54     2    59 0.93 -
54603at50557_116153_0:001d7a|STRG.14138.3:956-1822|+    -            289 83902at50557         -            211   3.9e-20   70.9  12.5   2   2   3.9e-16     3e-14   51.7   5.8    33   172   139   289   124   289 0.87 -
83902at50557_568069_0:000a01|STRG.11078.2:405-995|+     -            197 83902at50557         -            211   1.9e-19   68.7   9.7   1   2   5.3e-13   4.1e-11   41.5   3.2    61   184     4   137     1   138 0.52 -
83902at50557_568069_0:000a01|STRG.11078.2:405-995|+     -            197 83902at50557         -            211   1.9e-19   68.7   9.7   2   2   5.3e-10   4.1e-08   31.7   0.7   118   172   137   194   136   197 0.53 -
83902at50557_568069_0:000a01|STRG.11078.3:126-716|+     -            197 83902at50557         -            211   1.9e-19   68.7   9.7   1   2   5.3e-13   4.1e-11   41.5   3.2    61   184     4   137     1   138 0.52 -
83902at50557_568069_0:000a01|STRG.11078.3:126-716|+     -            197 83902at50557         -            211   1.9e-19   68.7   9.7   2   2   5.3e-10   4.1e-08   31.7   0.7   118   172   137   194   136   197 0.53 -
109776at50557_13249_0:0026b7|STRG.14138.3:391-858|+     -            156 83902at50557         -            211   9.1e-19   66.5  10.5   1   2   1.8e-11   1.3e-09   36.5   6.1    97   185     4    94     2    96 0.87 -
109776at50557_13249_0:0026b7|STRG.14138.3:391-858|+     -            156 83902at50557         -            211   9.1e-19   66.5  10.5   2   2   6.7e-10   5.1e-08   31.4   0.2    32    85    93   146    92   155 0.94 -
109776at50557_13249_0:0026b7|STRG.14138.4:99-716|+      -            206 83902at50557         -            211   1.1e-18   66.2  10.9   1   3   1.5e-05    0.0012   17.1   1.4   139   184    52    97     8    99 0.65 -
109776at50557_13249_0:0026b7|STRG.14138.4:99-716|+      -            206 83902at50557         -            211   1.1e-18   66.2  10.9   2   3     3e-11   2.3e-09   35.8   6.0    97   185    54   144    51   146 0.87 -
109776at50557_13249_0:0026b7|STRG.14138.4:99-716|+      -            206 83902at50557         -            211   1.1e-18   66.2  10.9   3   3   1.2e-09   9.4e-08   30.5   0.2    32    85   143   196   142   203 0.94 -
83902at50557_568069_0:000a01|STRG.11078.1:405-1016|+    -            204 83902at50557         -            211   2.6e-18   65.0   8.8   1   2   1.1e-08   8.7e-07   27.3   2.2    38   142     4   115     1   121 0.83 -
83902at50557_568069_0:000a01|STRG.11078.1:405-1016|+    -            204 83902at50557         -            211   2.6e-18   65.0   8.8   2   2   1.7e-15   1.3e-13   49.6   5.4    38   185    49   191    46   203 0.74 -
8280at50557_121225_0:0005bf|STRG.9002.1:160-1965|+      -            602 83902at50557         -            211   3.1e-18   64.7  24.8   1   4   0.00074     0.057   11.6   1.4    74   154    29   110     5   137 0.65 -
8280at50557_121225_0:0005bf|STRG.9002.1:160-1965|+      -            602 83902at50557         -            211   3.1e-18   64.7  24.8   2   4     3e-08   2.3e-06   26.0   3.9    41   180   241   384   207   388 0.80 -
8280at50557_121225_0:0005bf|STRG.9002.1:160-1965|+      -            602 83902at50557         -            211   3.1e-18   64.7  24.8   3   4   1.4e-08   1.1e-06   27.1   3.2    32   135   413   522   395   532 0.82 -
8280at50557_121225_0:0005bf|STRG.9002.1:160-1965|+      -            602 83902at50557         -            211   3.1e-18   64.7  24.8   4   4    0.0016      0.12   10.5   0.0    30    71   529   569   522   579 0.83 -
8280at50557_121225_0:0005bf|STRG.9002.2:78-1883|+       -            602 83902at50557         -            211   3.1e-18   64.7  24.8   1   4   0.00074     0.057   11.6   1.4    74   154    29   110     5   137 0.65 -
8280at50557_121225_0:0005bf|STRG.9002.2:78-1883|+       -            602 83902at50557         -            211   3.1e-18   64.7  24.8   2   4     3e-08   2.3e-06   26.0   3.9    41   180   241   384   207   388 0.80 -
8280at50557_121225_0:0005bf|STRG.9002.2:78-1883|+       -            602 83902at50557         -            211   3.1e-18   64.7  24.8   3   4   1.4e-08   1.1e-06   27.1   3.2    32   135   413   522   395   532 0.82 -
8280at50557_121225_0:0005bf|STRG.9002.2:78-1883|+       -            602 83902at50557         -            211   3.1e-18   64.7  24.8   4   4    0.0016      0.12   10.5   0.0    30    71   529   569   522   579 0.83 -
25718at50557_166361_0:002b27|STRG.9972.1:438-3005|+     -            856 83902at50557         -            211   8.1e-18   63.4  43.8   1   9       0.1       7.7    4.6   0.1   138   175    64   102    38   115 0.68 -
25718at50557_166361_0:002b27|STRG.9972.1:438-3005|+     -            856 83902at50557         -            211   8.1e-18   63.4  43.8   2   9   1.4e-05     0.001   17.3   3.0    43   180    75   213    63   220 0.79 -
25718at50557_166361_0:002b27|STRG.9972.1:438-3005|+     -            856 83902at50557         -            211   8.1e-18   63.4  43.8   3   9   1.1e-06   8.5e-05   20.8   7.7    30   177   144   308   136   312 0.80 -
25718at50557_166361_0:002b27|STRG.9972.1:438-3005|+     -            856 83902at50557         -            211   8.1e-18   63.4  43.8   4   9     1e-07   7.9e-06   24.2   7.4    38   184   200   363   196   365 0.79 -
25718at50557_166361_0:002b27|STRG.9972.1:438-3005|+     -            856 83902at50557         -            211   8.1e-18   63.4  43.8   5   9     1e-09   7.6e-08   30.8   4.5    30   174   290   448   286   451 0.85 -
25718at50557_166361_0:002b27|STRG.9972.1:438-3005|+     -            856 83902at50557         -            211   8.1e-18   63.4  43.8   6   9     0.048       3.7    5.7   0.4    97   179   438   522   432   529 0.69 -
25718at50557_166361_0:002b27|STRG.9972.1:438-3005|+     -            856 83902at50557         -            211   8.1e-18   63.4  43.8   7   9      0.44        33    2.6   0.3    26    71   519   566   504   588 0.50 -
25718at50557_166361_0:002b27|STRG.9972.1:438-3005|+     -            856 83902at50557         -            211   8.1e-18   63.4  43.8   8   9   3.5e-06   0.00027   19.2   2.5   105   175   714   789   702   799 0.84 -
25718at50557_166361_0:002b27|STRG.9972.1:438-3005|+     -            856 83902at50557         -            211   8.1e-18   63.4  43.8   9   9       1.9   1.5e+02    0.4   0.0   138   172   799   834   793   853 0.72 -
109776at50557_29053_0:002e6b|STRG.3094.1:297-887|+      -            197 83902at50557         -            211   5.5e-17   60.6   5.0   1   2   3.3e-14   2.5e-12   45.5   0.8    79   184    41   146    27   149 0.90 -
