#                                                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
35897at50557_456900_0:001f92|STRG.4160.1:146-1348|+  -            401 35897at50557         -            554  1.5e-143  474.0   8.8   1   1    7e-145  2.2e-143  473.5   8.8   212   554     3   386     1   386 0.89 -
35897at50557_568069_0:0003b4|STRG.12610.3:794-2206|+ -            471 35897at50557         -            554     3e-15   50.5  10.9   4   5   7.6e-05    0.0024   11.2   0.0   246   308   275   339   268   347 0.72 -
35897at50557_568069_0:0003b4|STRG.12610.3:794-2206|+ -            471 35897at50557         -            554     3e-15   50.5  10.9   5   5   8.8e-06   0.00028   14.3   0.1   272   346   370   449   340   452 0.80 -
35897at50557_568069_0:0003b4|STRG.12610.4:932-2344|+ -            471 35897at50557         -            554     3e-15   50.5  10.9   1   5     0.032         1    2.6   0.0   314   346     8    43     1    56 0.71 -
35897at50557_568069_0:0003b4|STRG.12610.4:932-2344|+ -            471 35897at50557         -            554     3e-15   50.5  10.9   2   5   2.6e-06   8.2e-05   16.1   0.5   250   359    67   184    63   189 0.76 -
35897at50557_568069_0:0003b4|STRG.12610.4:932-2344|+ -            471 35897at50557         -            554     3e-15   50.5  10.9   3   5   0.00061     0.019    8.2   1.1   290   343   190   247   178   252 0.83 -
35897at50557_568069_0:0003b4|STRG.12610.4:932-2344|+ -            471 35897at50557         -            554     3e-15   50.5  10.9   4   5   7.6e-05    0.0024   11.2   0.0   246   308   275   339   268   347 0.72 -
35897at50557_568069_0:0003b4|STRG.12610.4:932-2344|+ -            471 35897at50557         -            554     3e-15   50.5  10.9   5   5   8.8e-06   0.00028   14.3   0.1   272   346   370   449   340   452 0.80 -
35897at50557_125945_0:002f6e|STRG.3028.1:1885-2970|+ -            362 35897at50557         -            554     3e-08   27.4   1.7   1   1   8.3e-06   0.00026   14.4   0.0   196   343    44   208    24   220 0.77 -
35897at50557_125945_0:002f6e|STRG.3028.2:1787-2872|+ -            362 35897at50557         -            554     3e-08   27.4   1.7   1   1   8.3e-06   0.00026   14.4   0.0   196   343    44   208    24   220 0.77 -
35897at50557_125945_0:002f6e|STRG.3028.3:1735-2820|+ -            362 35897at50557         -            554     3e-08   27.4   1.7   1   1   8.3e-06   0.00026   14.4   0.0   196   343    44   208    24   220 0.77 -
35897at50557_125945_0:002f6e|STRG.3028.4:1854-2942|+ -            363 35897at50557         -            554   5.5e-08   26.5   3.0   1   3   0.00024    0.0075    9.6   0.4   121   199    13    90     2   103 0.81 -
35897at50557_125945_0:002f6e|STRG.3028.4:1854-2942|+ -            363 35897at50557         -            554   5.5e-08   26.5   3.0   2   3   2.7e-05   0.00084   12.7   0.0   197   342    45   208    42   218 0.73 -
35897at50557_125945_0:002f6e|STRG.3028.4:1854-2942|+ -            363 35897at50557         -            554   5.5e-08   26.5   3.0   3   3   7.3e-05    0.0023   11.3   0.3   251   357   238   350   221   361 0.72 -
35897at50557_197043_0:000e6c|STRG.5251.1:520-1722|+  -            401 35897at50557         -            554   1.5e-06   21.8   0.1   1   4   0.00013    0.0042   10.4   0.0   105   201     4   103     1   113 0.81 -
35897at50557_197043_0:000e6c|STRG.5251.1:520-1722|+  -            401 35897at50557         -            554   1.5e-06   21.8   0.1   2   4    0.0019      0.06    6.6   0.0   248   347   118   224   111   285 0.72 -
35897at50557_197043_0:000e6c|STRG.5251.1:520-1722|+  -            401 35897at50557         -            554   1.5e-06   21.8   0.1   3   4      0.11       3.6    0.7   0.0    53   128   247   324   230   350 0.76 -
35897at50557_197043_0:000e6c|STRG.5251.1:520-1722|+  -            401 35897at50557         -            554   1.5e-06   21.8   0.1   4   4      0.25         8   -0.4   0.0   302   326   344   368   272   389 0.53 -
35897at50557_197043_0:000e6c|STRG.5251.2:508-1710|+  -            401 35897at50557         -            554   1.5e-06   21.8   0.1   1   4   0.00013    0.0042   10.4   0.0   105   201     4   103     1   113 0.81 -
35897at50557_197043_0:000e6c|STRG.5251.2:508-1710|+  -            401 35897at50557         -            554   1.5e-06   21.8   0.1   2   4    0.0019      0.06    6.6   0.0   248   347   118   224   111   285 0.72 -
35897at50557_197043_0:000e6c|STRG.5251.2:508-1710|+  -            401 35897at50557         -            554   1.5e-06   21.8   0.1   3   4      0.11       3.6    0.7   0.0    53   128   247   324   230   350 0.76 -
35897at50557_197043_0:000e6c|STRG.5251.2:508-1710|+  -            401 35897at50557         -            554   1.5e-06   21.8   0.1   4   4      0.25         8   -0.4   0.0   302   326   344   368   272   389 0.53 -
35897at50557_197043_0:000e6c|STRG.5251.3:436-1638|+  -            401 35897at50557         -            554   1.5e-06   21.8   0.1   1   4   0.00013    0.0042   10.4   0.0   105   201     4   103     1   113 0.81 -
35897at50557_197043_0:000e6c|STRG.5251.3:436-1638|+  -            401 35897at50557         -            554   1.5e-06   21.8   0.1   2   4    0.0019      0.06    6.6   0.0   248   347   118   224   111   285 0.72 -
35897at50557_197043_0:000e6c|STRG.5251.3:436-1638|+  -            401 35897at50557         -            554   1.5e-06   21.8   0.1   3   4      0.11       3.6    0.7   0.0    53   128   247   324   230   350 0.76 -
35897at50557_197043_0:000e6c|STRG.5251.3:436-1638|+  -            401 35897at50557         -            554   1.5e-06   21.8   0.1   4   4      0.25         8   -0.4   0.0   302   326   344   368   272   389 0.53 -
35897at50557_7004_0:0007c4|STRG.5922.1:635-1597|+    -            321 35897at50557         -            554   2.1e-06   21.3   0.1   1   3       1.3        40   -2.7   0.0   252   276     2    26     1    29 0.89 -
35897at50557_7004_0:0007c4|STRG.5922.1:635-1597|+    -            321 35897at50557         -            554   2.1e-06   21.3   0.1   2   3   4.5e-06   0.00014   15.3   0.0   179   348    36   223    13   231 0.73 -
35897at50557_7004_0:0007c4|STRG.5922.1:635-1597|+    -            321 35897at50557         -            554   2.1e-06   21.3   0.1   3   3   0.00028     0.009    9.3   0.1    35   132   188   284   186   304 0.76 -
35897at50557_7536_0:000f2f|STRG.10711.1:506-1174|+   -            223 35897at50557         -            554     7e-06   19.6   0.4   1   3    0.0018     0.056    6.7   0.0   298   348    28    82    14   136 0.59 -
35897at50557_7536_0:000f2f|STRG.10711.1:506-1174|+   -            223 35897at50557         -            554     7e-06   19.6   0.4   2   3   0.00028    0.0089    9.3   0.4   381   462    86   168    77   184 0.80 -
35897at50557_7536_0:000f2f|STRG.10711.1:506-1174|+   -            223 35897at50557         -            554     7e-06   19.6   0.4   3   3   0.00064      0.02    8.1   0.1    54   127   148   223   140   223 0.83 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/justine/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/35897at50557.hmm
# Target file:     annotation_analysis/annotation_gcf/T_cornetzi/busco_output/run_insecta_odb10/metaeuk_output/rerun_results/assembled_transcripts.fasta.modified.fas
# Option settings: hmmsearch --domtblout annotation_analysis/annotation_gcf/T_cornetzi/busco_output/run_insecta_odb10/hmmer_output/rerun_results/35897at50557.out --cpu 1 /home/justine/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/35897at50557.hmm annotation_analysis/annotation_gcf/T_cornetzi/busco_output/run_insecta_odb10/metaeuk_output/rerun_results/assembled_transcripts.fasta.modified.fas 
# Current dir:     /home/justine/projet_tutore
# Date:            Sun Dec  1 20:43:20 2024
# [ok]
