#                                                                                                              --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                          accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                  ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
31374at50557_103372_0:0017b9|STRG.5061.1:0-1955|+      -            652 31374at50557         -            569  1.9e-289  959.7  17.0   1   1  1.1e-289  3.3e-288  955.5  17.0     1   569     4   647     4   647 0.93 -
40115at50557_103372_0:0021d6|STRG.12708.2:0-1445|+     -            482 31374at50557         -            569   1.5e-46  157.7   8.4   3   4   1.6e-07   4.7e-06   24.0   0.0   362   419   341   399   335   404 0.77 -
40115at50557_103372_0:0021d6|STRG.12708.2:0-1445|+     -            482 31374at50557         -            569   1.5e-46  157.7   8.4   4   4   1.5e-15   4.4e-14   50.5   0.1   342   417   406   481   398   482 0.96 -
40115at50557_28612_0:000941|STRG.21446.1:0-911|+       -            304 31374at50557         -            569     2e-45  154.0   1.1   1   2   7.3e-21   2.2e-19   68.1   0.2   338   476    16   155     3   157 0.87 -
40115at50557_28612_0:000941|STRG.21446.1:0-911|+       -            304 31374at50557         -            569     2e-45  154.0   1.1   2   2   5.9e-28   1.8e-26   91.5   0.3   342   485   147   295   144   297 0.91 -
40115at50557_28612_0:000941|STRG.21446.3:39-890|+      -            284 31374at50557         -            569   1.2e-44  151.5   1.1   1   2   4.8e-20   1.4e-18   65.4   0.2   343   476     1   135     1   138 0.90 -
40115at50557_28612_0:000941|STRG.21446.3:39-890|+      -            284 31374at50557         -            569   1.2e-44  151.5   1.1   2   2   4.3e-28   1.3e-26   91.9   0.2   342   486   127   276   124   278 0.91 -
49370at50557_456900_0:00265d|STRG.24170.1:236-1804|+   -            523 31374at50557         -            569     6e-44  149.1   4.0   1   3   1.3e-07   3.8e-06   24.3   0.0   376   446   208   281   188   293 0.78 -
49370at50557_456900_0:00265d|STRG.24170.1:236-1804|+   -            523 31374at50557         -            569     6e-44  149.1   4.0   2   3   8.4e-16   2.5e-14   51.3   0.1   361   476   294   411   289   412 0.93 -
49370at50557_456900_0:00265d|STRG.24170.1:236-1804|+   -            523 31374at50557         -            569     6e-44  149.1   4.0   3   3   2.6e-24   7.7e-23   79.5   0.3   343   458   404   520   402   522 0.97 -
49370at50557_456900_0:00265d|STRG.24170.2:212-1780|+   -            523 31374at50557         -            569     6e-44  149.1   4.0   1   3   1.3e-07   3.8e-06   24.3   0.0   376   446   208   281   188   293 0.78 -
49370at50557_456900_0:00265d|STRG.24170.2:212-1780|+   -            523 31374at50557         -            569     6e-44  149.1   4.0   2   3   8.4e-16   2.5e-14   51.3   0.1   361   476   294   411   289   412 0.93 -
49370at50557_456900_0:00265d|STRG.24170.2:212-1780|+   -            523 31374at50557         -            569     6e-44  149.1   4.0   3   3   2.6e-24   7.7e-23   79.5   0.3   343   458   404   520   402   522 0.97 -
49370at50557_456900_0:00265d|STRG.24170.3:0-1568|+     -            523 31374at50557         -            569     6e-44  149.1   4.0   1   3   1.3e-07   3.8e-06   24.3   0.0   376   446   208   281   188   293 0.78 -
49370at50557_456900_0:00265d|STRG.24170.3:0-1568|+     -            523 31374at50557         -            569     6e-44  149.1   4.0   2   3   8.4e-16   2.5e-14   51.3   0.1   361   476   294   411   289   412 0.93 -
49370at50557_456900_0:00265d|STRG.24170.3:0-1568|+     -            523 31374at50557         -            569     6e-44  149.1   4.0   3   3   2.6e-24   7.7e-23   79.5   0.3   343   458   404   520   402   522 0.97 -
80377at50557_121845_0:0030d4|STRG.11971.1:117-983|+    -            289 31374at50557         -            569   1.5e-41  141.2   5.1   1   2   2.9e-13   8.5e-12   43.0   0.2   387   473     3    89     1    90 0.97 -
80377at50557_121845_0:0030d4|STRG.11971.1:117-983|+    -            289 31374at50557         -            569   1.5e-41  141.2   5.1   2   2   2.5e-31   7.4e-30  102.6   0.9   343   527    85   284    82   289 0.89 -
31374at50557_116153_0:0023e9|STRG.21446.2:60-665|+     -            202 31374at50557         -            569   1.8e-40  137.7   0.9   1   2   2.5e-20   7.4e-19   66.3   0.1   343   476     1   135     1   136 0.90 -
31374at50557_116153_0:0023e9|STRG.21446.2:60-665|+     -            202 31374at50557         -            569   1.8e-40  137.7   0.9   2   2   1.5e-23   4.6e-22   76.9   0.0   339   459    82   202    73   202 0.97 -
33043at50557_103372_0:000263|STRG.20912.1:0-1922|+     -            641 31374at50557         -            569   2.1e-40  137.4   5.6   1   3   5.3e-09   1.6e-07   28.9   0.0   416   474    24    82    13   102 0.82 -
33043at50557_103372_0:000263|STRG.20912.1:0-1922|+     -            641 31374at50557         -            569   2.1e-40  137.4   5.6   2   3   3.4e-14     1e-12   46.1   0.2   337   474   218   371   197   372 0.79 -
33043at50557_103372_0:000263|STRG.20912.1:0-1922|+     -            641 31374at50557         -            569   2.1e-40  137.4   5.6   3   3   2.2e-20   6.4e-19   66.5   0.2   343   475   366   498   357   513 0.92 -
40115at50557_108931_0:001d6b|STRG.22478.1:942-1979|+   -            346 31374at50557         -            569   4.8e-39  132.9  11.6   1   3   8.5e-09   2.5e-07   28.2   0.2   339   420     4    98     2   104 0.78 -
40115at50557_108931_0:001d6b|STRG.22478.1:942-1979|+   -            346 31374at50557         -            569   4.8e-39  132.9  11.6   2   3     2e-18   5.8e-17   60.0   1.6   343   475   104   235    98   241 0.94 -
40115at50557_108931_0:001d6b|STRG.22478.1:942-1979|+   -            346 31374at50557         -            569   4.8e-39  132.9  11.6   3   3   5.5e-15   1.6e-13   48.7   0.2   356   429   250   324   247   334 0.90 -
40115at50557_108931_0:001d6b|STRG.22478.2:438-1475|+   -            346 31374at50557         -            569   4.8e-39  132.9  11.6   1   3   8.5e-09   2.5e-07   28.2   0.2   339   420     4    98     2   104 0.78 -
40115at50557_108931_0:001d6b|STRG.22478.2:438-1475|+   -            346 31374at50557         -            569   4.8e-39  132.9  11.6   2   3     2e-18   5.8e-17   60.0   1.6   343   475   104   235    98   241 0.94 -
40115at50557_108931_0:001d6b|STRG.22478.2:438-1475|+   -            346 31374at50557         -            569   4.8e-39  132.9  11.6   3   3   5.5e-15   1.6e-13   48.7   0.2   356   429   250   324   247   334 0.90 -
14512at50557_103372_0:0005b9|STRG.3816.1:368-2947|+    -            860 31374at50557         -            569   1.3e-38  131.6   0.0   1   3     1e-18   3.1e-17   60.9   0.0   341   460    12   132     5   136 0.92 -
14512at50557_103372_0:0005b9|STRG.3816.1:368-2947|+    -            860 31374at50557         -            569   1.3e-38  131.6   0.0   2   3     1e-23     3e-22   77.5   0.0   353   461   109   217   106   224 0.96 -
14512at50557_103372_0:0005b9|STRG.3816.1:368-2947|+    -            860 31374at50557         -            569   1.3e-38  131.6   0.0   3   3      0.21       6.2    3.8   0.0   501   530   227   255   219   266 0.83 -
14512at50557_103372_0:0005b9|STRG.3816.2:368-3004|+    -            879 31374at50557         -            569   1.4e-38  131.4   0.0   1   3   1.1e-18   3.2e-17   60.9   0.0   341   460    12   132     5   136 0.92 -
14512at50557_103372_0:0005b9|STRG.3816.2:368-3004|+    -            879 31374at50557         -            569   1.4e-38  131.4   0.0   2   3   1.1e-23   3.2e-22   77.4   0.0   353   461   109   217   106   223 0.96 -
14512at50557_103372_0:0005b9|STRG.3816.2:368-3004|+    -            879 31374at50557         -            569   1.4e-38  131.4   0.0   3   3      0.21       6.2    3.8   0.0   501   530   227   255   218   266 0.83 -
57752at50557_103372_0:000c5a|STRG.2014.2:0-1361|+      -            454 31374at50557         -            569   6.3e-36  122.6   4.2   1   3     4e-08   1.2e-06   26.0   0.0   424   474   137   187   130   188 0.93 -
57752at50557_103372_0:000c5a|STRG.2014.2:0-1361|+      -            454 31374at50557         -            569   6.3e-36  122.6   4.2   2   3   1.9e-30   5.6e-29   99.7   2.6   341   534   180   382   177   390 0.92 -
57752at50557_103372_0:000c5a|STRG.2014.2:0-1361|+      -            454 31374at50557         -            569   6.3e-36  122.6   4.2   3   3       7.9   2.3e+02   -1.4   0.0   392   420   405   433   401   438 0.67 -
57752at50557_103372_0:000c5a|STRG.2014.1:555-1919|+    -            455 31374at50557         -            569   6.4e-36  122.6   4.2   1   3     4e-08   1.2e-06   26.0   0.0   424   474   138   188   131   189 0.93 -
57752at50557_103372_0:000c5a|STRG.2014.1:555-1919|+    -            455 31374at50557         -            569   6.4e-36  122.6   4.2   2   3   1.9e-30   5.6e-29   99.7   2.6   341   534   181   383   178   391 0.92 -
57752at50557_103372_0:000c5a|STRG.2014.1:555-1919|+    -            455 31374at50557         -            569   6.4e-36  122.6   4.2   3   3       7.9   2.3e+02   -1.4   0.0   392   420   406   434   402   439 0.67 -
78072at50557_34720_0:000cf9|STRG.17034.2:9-1019|+      -            337 31374at50557         -            569   1.2e-35  121.8  18.9   1   4   3.4e-14     1e-12   46.1   0.4   341   420    11    93     6    96 0.91 -
78072at50557_34720_0:000cf9|STRG.17034.2:9-1019|+      -            337 31374at50557         -            569   1.2e-35  121.8  18.9   2   4   7.1e-14   2.1e-12   45.0   0.2   379   459    96   178    93   185 0.93 -
78072at50557_34720_0:000cf9|STRG.17034.2:9-1019|+      -            337 31374at50557         -            569   1.2e-35  121.8  18.9   3   4   2.3e-06   6.9e-05   20.2   0.7   379   418   186   225   182   229 0.95 -
78072at50557_34720_0:000cf9|STRG.17034.2:9-1019|+      -            337 31374at50557         -            569   1.2e-35  121.8  18.9   4   4   4.5e-07   1.3e-05   22.5   1.0   378   458   242   333   240   336 0.86 -
80377at50557_456900_0:000374|STRG.10678.3:0-1046|+     -            349 31374at50557         -            569   1.3e-35  121.6   0.6   1   2   2.8e-21   8.3e-20   69.4   0.1   381   538    49   218    25   221 0.86 -
80377at50557_456900_0:000374|STRG.10678.3:0-1046|+     -            349 31374at50557         -            569   1.3e-35  121.6   0.6   2   2     5e-16   1.5e-14   52.1   0.0   337   457   216   344   214   349 0.90 -
78072at50557_34720_0:000cf9|STRG.17034.1:162-1169|+    -            336 31374at50557         -            569   1.5e-35  121.5  19.0   1   4   3.4e-14     1e-12   46.1   0.4   341   420    12    94     7    97 0.91 -
78072at50557_34720_0:000cf9|STRG.17034.1:162-1169|+    -            336 31374at50557         -            569   1.5e-35  121.5  19.0   2   4     7e-14   2.1e-12   45.0   0.2   379   459    97   179    94   186 0.93 -
78072at50557_34720_0:000cf9|STRG.17034.1:162-1169|+    -            336 31374at50557         -            569   1.5e-35  121.5  19.0   3   4   2.3e-06   6.9e-05   20.2   0.7   379   418   187   226   183   230 0.95 -
78072at50557_34720_0:000cf9|STRG.17034.1:162-1169|+    -            336 31374at50557         -            569   1.5e-35  121.5  19.0   4   4   5.1e-07   1.5e-05   22.4   1.0   378   458   243   334   241   336 0.86 -
80377at50557_166361_0:002fc1|STRG.21442.2:1270-2037|+  -            256 31374at50557         -            569   3.3e-35  120.3   4.3   1   2   4.1e-23   1.2e-21   75.5   1.7   344   475    19   149     3   154 0.94 -
80377at50557_166361_0:002fc1|STRG.21442.2:1270-2037|+  -            256 31374at50557         -            569   3.3e-35  120.3   4.3   2   2   1.9e-15   5.6e-14   50.2   0.4   343   456   143   254   138   255 0.89 -
49370at50557_2015173_0:001990|STRG.14034.2:465-1451|+  -            329 31374at50557         -            569   4.4e-35  119.9   3.9   1   2   1.2e-05   0.00037   17.8   0.0   420   465    30    75    21   103 0.90 -
49370at50557_2015173_0:001990|STRG.14034.2:465-1451|+  -            329 31374at50557         -            569   4.4e-35  119.9   3.9   2   2   5.7e-31   1.7e-29  101.4   2.2   333   531   115   328   103   329 0.88 -
49370at50557_2015173_0:001990|STRG.14034.4:60-1046|+   -            329 31374at50557         -            569   4.4e-35  119.9   3.9   1   2   1.2e-05   0.00037   17.8   0.0   420   465    30    75    21   103 0.90 -
49370at50557_2015173_0:001990|STRG.14034.4:60-1046|+   -            329 31374at50557         -            569   4.4e-35  119.9   3.9   2   2   5.7e-31   1.7e-29  101.4   2.2   333   531   115   328   103   329 0.88 -
33043at50557_454923_0:001231|STRG.11184.1:4335-5705|+  -            457 31374at50557         -            569   8.1e-34  115.7   9.0   1   5   5.8e-07   1.7e-05   22.2   0.0   346   479     1   133     1   144 0.90 -
33043at50557_454923_0:001231|STRG.11184.1:4335-5705|+  -            457 31374at50557         -            569   8.1e-34  115.7   9.0   2   5       4.1   1.2e+02   -0.4   0.0   486   536   107   159   101   164 0.80 -
33043at50557_454923_0:001231|STRG.11184.1:4335-5705|+  -            457 31374at50557         -            569   8.1e-34  115.7   9.0   3   5   5.4e-05    0.0016   15.7   0.0   503   537   177   211   169   215 0.90 -
33043at50557_454923_0:001231|STRG.11184.1:4335-5705|+  -            457 31374at50557         -            569   8.1e-34  115.7   9.0   4   5   1.7e-11   5.1e-10   37.1   0.1   342   459   215   328   212   336 0.91 -
33043at50557_454923_0:001231|STRG.11184.1:4335-5705|+  -            457 31374at50557         -            569   8.1e-34  115.7   9.0   5   5   9.2e-15   2.7e-13   47.9   4.1   345   533   259   456   257   457 0.85 -
33043at50557_454923_0:001231|STRG.11184.2:2811-4181|+  -            457 31374at50557         -            569   8.1e-34  115.7   9.0   1   5   5.8e-07   1.7e-05   22.2   0.0   346   479     1   133     1   144 0.90 -
33043at50557_454923_0:001231|STRG.11184.2:2811-4181|+  -            457 31374at50557         -            569   8.1e-34  115.7   9.0   2   5       4.1   1.2e+02   -0.4   0.0   486   536   107   159   101   164 0.80 -
33043at50557_454923_0:001231|STRG.11184.2:2811-4181|+  -            457 31374at50557         -            569   8.1e-34  115.7   9.0   3   5   5.4e-05    0.0016   15.7   0.0   503   537   177   211   169   215 0.90 -
33043at50557_454923_0:001231|STRG.11184.2:2811-4181|+  -            457 31374at50557         -            569   8.1e-34  115.7   9.0   4   5   1.7e-11   5.1e-10   37.1   0.1   342   459   215   328   212   336 0.91 -
33043at50557_454923_0:001231|STRG.11184.2:2811-4181|+  -            457 31374at50557         -            569   8.1e-34  115.7   9.0   5   5   9.2e-15   2.7e-13   47.9   4.1   345   533   259   456   257   457 0.85 -
40115at50557_1629725_0:001335|STRG.17179.1:654-1457|+  -            268 31374at50557         -            569   4.3e-33  113.3  10.1   1   2   2.9e-12   8.5e-11   39.7   0.4   406   476     5    73     2    78 0.90 -
40115at50557_1629725_0:001335|STRG.17179.1:654-1457|+  -            268 31374at50557         -            569   4.3e-33  113.3  10.1   2   2     0.038       1.1    6.3   0.1   342   374   237   267   230   268 0.88 -
40115at50557_1629725_0:001335|STRG.17179.2:621-1424|+  -            268 31374at50557         -            569   4.3e-33  113.3  10.1   1   2   2.9e-12   8.5e-11   39.7   0.4   406   476     5    73     2    78 0.90 -
40115at50557_1629725_0:001335|STRG.17179.2:621-1424|+  -            268 31374at50557         -            569   4.3e-33  113.3  10.1   2   2     0.038       1.1    6.3   0.1   342   374   237   267   230   268 0.88 -
80377at50557_30019_0:0008bb|STRG.7095.1:1945-2805|+    -            287 31374at50557         -            569   8.9e-33  112.3  16.0   1   2   5.5e-20   1.6e-18   65.2   4.1   343   476    11   139     6   141 0.91 -
80377at50557_30019_0:0008bb|STRG.7095.1:1945-2805|+    -            287 31374at50557         -            569   8.9e-33  112.3  16.0   2   2   5.4e-07   1.6e-05   22.3   0.7   405   460   230   286   228   287 0.93 -
80377at50557_30019_0:0008bb|STRG.7095.2:1343-2203|+    -            287 31374at50557         -            569   8.9e-33  112.3  16.0   1   2   5.5e-20   1.6e-18   65.2   4.1   343   476    11   139     6   141 0.91 -
80377at50557_30019_0:0008bb|STRG.7095.2:1343-2203|+    -            287 31374at50557         -            569   8.9e-33  112.3  16.0   2   2   5.4e-07   1.6e-05   22.3   0.7   405   460   230   286   228   287 0.93 -
80377at50557_30019_0:0008bb|STRG.7095.3:1343-2203|+    -            287 31374at50557         -            569   8.9e-33  112.3  16.0   1   2   5.5e-20   1.6e-18   65.2   4.1   343   476    11   139     6   141 0.91 -
80377at50557_30019_0:0008bb|STRG.7095.3:1343-2203|+    -            287 31374at50557         -            569   8.9e-33  112.3  16.0   2   2   5.4e-07   1.6e-05   22.3   0.7   405   460   230   286   228   287 0.93 -
80377at50557_30019_0:0008bb|STRG.7095.4:921-1781|+     -            287 31374at50557         -            569   8.9e-33  112.3  16.0   1   2   5.5e-20   1.6e-18   65.2   4.1   343   476    11   139     6   141 0.91 -
80377at50557_30019_0:0008bb|STRG.7095.4:921-1781|+     -            287 31374at50557         -            569   8.9e-33  112.3  16.0   2   2   5.4e-07   1.6e-05   22.3   0.7   405   460   230   286   228   287 0.93 -
80377at50557_454923_0:001015|STRG.19738.1:30-809|+     -            260 31374at50557         -            569   1.1e-32  112.0   7.1   1   2   8.9e-19   2.6e-17   61.2   0.5   343   462     1   126     1   132 0.89 -
80377at50557_454923_0:001015|STRG.19738.1:30-809|+     -            260 31374at50557         -            569   1.1e-32  112.0   7.1   2   2   7.4e-19   2.2e-17   61.4   1.2   339   502    87   260    84   260 0.86 -
40115at50557_77166_0:00051d|STRG.21442.1:283-705|+     -            141 31374at50557         -            569   1.1e-32  111.9   3.2   1   2   6.7e-21     2e-19   68.2   0.2   362   472     3   113     1   113 0.96 -
40115at50557_77166_0:00051d|STRG.21442.1:283-705|+     -            141 31374at50557         -            569   1.1e-32  111.9   3.2   2   2   1.3e-15   3.9e-14   50.7   0.3   346   416    71   141    71   141 0.58 -
40115at50557_29053_0:0017ce|STRG.10646.3:162-1034|+    -            291 31374at50557         -            569   1.1e-32  111.9   4.2   1   3   1.2e-05   0.00034   17.9   0.1   428   487     2    66     1    67 0.79 -
40115at50557_29053_0:0017ce|STRG.10646.3:162-1034|+    -            291 31374at50557         -            569   1.1e-32  111.9   4.2   2   3   0.00018    0.0052   14.0   0.0   392   460    50   123    46   125 0.85 -
40115at50557_29053_0:0017ce|STRG.10646.3:162-1034|+    -            291 31374at50557         -            569   1.1e-32  111.9   4.2   3   3   4.8e-28   1.4e-26   91.8   0.5   339   531    87   291    74   291 0.88 -
80377at50557_456900_0:000374|STRG.10678.2:98-1102|+    -            335 31374at50557         -            569   1.7e-31  108.0   0.6   1   2   2.5e-21   7.4e-20   69.6   0.1   381   538    49   218    25   221 0.86 -
80377at50557_456900_0:000374|STRG.10678.2:98-1102|+    -            335 31374at50557         -            569   1.7e-31  108.0   0.6   2   2   8.2e-12   2.4e-10   38.2   0.0   337   442   216   329   214   332 0.89 -
25500at50557_13686_0:0020f5|STRG.18788.1:208-2013|+    -            602 31374at50557         -            569   8.5e-31  105.7   1.0   1   5   1.7e-05   0.00049   17.4   0.0   384   422    53    91    47   118 0.89 -
25500at50557_13686_0:0020f5|STRG.18788.1:208-2013|+    -            602 31374at50557         -            569   8.5e-31  105.7   1.0   2   5   4.8e-05    0.0014   15.8   0.0   335   413   134   213   124   224 0.88 -
25500at50557_13686_0:0020f5|STRG.18788.1:208-2013|+    -            602 31374at50557         -            569   8.5e-31  105.7   1.0   3   5   1.3e-12   3.8e-11   40.8   0.0   346   473   232   362   226   399 0.86 -
25500at50557_13686_0:0020f5|STRG.18788.1:208-2013|+    -            602 31374at50557         -            569   8.5e-31  105.7   1.0   4   5   7.4e-08   2.2e-06   25.1   0.1   388   468   482   564   480   572 0.88 -
25500at50557_13686_0:0020f5|STRG.18788.1:208-2013|+    -            602 31374at50557         -            569   8.5e-31  105.7   1.0   5   5         4   1.2e+02   -0.4   0.0   498   534   564   600   558   601 0.67 -
43553at50557_136037_0:001d49|STRG.10646.1:84-893|+     -            270 31374at50557         -            569   1.2e-30  105.3   0.8   1   2   0.00095     0.028   11.6   0.0   486   539     6    61     3    67 0.85 -
43553at50557_136037_0:001d49|STRG.10646.1:84-893|+     -            270 31374at50557         -            569   1.2e-30  105.3   0.8   2   2   5.5e-28   1.6e-26   91.6   0.4   341   531    68   270    62   270 0.89 -
14512at50557_29053_0:0002b6|STRG.9710.1:49-759|+       -            237 31374at50557         -            569   3.1e-30  103.9   5.7   1   2   6.6e-23     2e-21   74.8   1.5   344   461     5   122     2   130 0.96 -
14512at50557_29053_0:0002b6|STRG.9710.1:49-759|+       -            237 31374at50557         -            569   3.1e-30  103.9   5.7   2   2   1.1e-09   3.3e-08   31.1   0.1   404   460   179   237   154   237 0.84 -
40115at50557_144034_0:000898|STRG.15013.1:1204-2073|+  -            290 31374at50557         -            569   4.3e-30  103.4   6.6   1   3   6.9e-11     2e-09   35.1   1.7   343   465     2   127     1   130 0.83 -
40115at50557_144034_0:000898|STRG.15013.1:1204-2073|+  -            290 31374at50557         -            569   4.3e-30  103.4   6.6   2   3   9.7e-21   2.9e-19   67.7   0.1   341   474   129   264   127   267 0.93 -
40115at50557_144034_0:000898|STRG.15013.1:1204-2073|+  -            290 31374at50557         -            569   4.3e-30  103.4   6.6   3   3     3e-05   0.00089   16.5   0.1   391   458   223   290   213   290 0.94 -
14512at50557_29053_0:0002b6|STRG.14034.3:998-1678|+    -            227 31374at50557         -            569   4.7e-30  103.3   1.7   1   1   1.9e-31   5.6e-30  103.0   1.7   332   531    13   227     2   227 0.88 -
13625at50557_34720_0:001854|STRG.23081.1:24-2051|+     -            676 31374at50557         -            569   7.6e-30  102.6  12.1   1   5   1.2e-05   0.00035   17.8   0.1   354   472    57   183    33   192 0.79 -
13625at50557_34720_0:001854|STRG.23081.1:24-2051|+     -            676 31374at50557         -            569   7.6e-30  102.6  12.1   2   5   0.00014    0.0041   14.3   1.4   345   416   138   211   135   217 0.63 -
13625at50557_34720_0:001854|STRG.23081.1:24-2051|+     -            676 31374at50557         -            569   7.6e-30  102.6  12.1   3   5      0.59        18    2.3   0.9   205   304   240   336   233   351 0.70 -
13625at50557_34720_0:001854|STRG.23081.1:24-2051|+     -            676 31374at50557         -            569   7.6e-30  102.6  12.1   4   5   9.4e-16   2.8e-14   51.2   0.9   361   488   364   497   351   503 0.85 -
13625at50557_34720_0:001854|STRG.23081.1:24-2051|+     -            676 31374at50557         -            569   7.6e-30  102.6  12.1   5   5   1.3e-10   3.9e-09   34.2   0.0   359   533   489   655   478   669 0.82 -
43553at50557_319348_0:003bc4|STRG.10646.2:527-1252|+   -            242 31374at50557         -            569   1.3e-28   98.5   0.9   1   2      0.28       8.2    3.4   0.0   436   461     3    28     1    36 0.64 -
43553at50557_319348_0:003bc4|STRG.10646.2:527-1252|+   -            242 31374at50557         -            569   1.3e-28   98.5   0.9   2   2   3.5e-28     1e-26   92.2   0.3   341   531    40   242    33   242 0.89 -
49370at50557_79782_0:001886|STRG.18791.1:930-1919|+    -            330 31374at50557         -            569   1.9e-28   98.0   8.9   1   2   4.5e-16   1.3e-14   52.2   1.4   322   462    19   160    17   220 0.91 -
49370at50557_79782_0:001886|STRG.18791.1:930-1919|+    -            330 31374at50557         -            569   1.9e-28   98.0   8.9   2   2   1.9e-13   5.6e-12   43.6   1.4   285   417   203   325   181   329 0.73 -
71739at50557_30019_0:000544|STRG.17058.1:21-878|+      -            286 31374at50557         -            569   2.2e-28   97.7   0.5   1   3   1.5e-09   4.3e-08   30.8   0.0   386   467     5    89     2    93 0.93 -
71739at50557_30019_0:000544|STRG.17058.1:21-878|+      -            286 31374at50557         -            569   2.2e-28   97.7   0.5   2   3   8.7e-13   2.6e-11   41.4   0.1   388   534    93   248    89   252 0.82 -
