#                                                                                                             --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                         accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                 ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
37657at50557_307658_0:001de5|STRG.5444.1:107-1756|+   -            550 37657at50557         -            403  1.8e-211  701.1   0.2   1   1  8.6e-213  1.6e-210  697.9   0.2     1   402    66   549    66   550 0.90 -
37657at50557_76194_0:0021a4|STRG.12225.2:1107-1376|+  -             90 37657at50557         -            403    0.0028   15.4   0.1   1   1   1.5e-05    0.0028   15.4   0.1    53    93    39    79     1    90 0.84 -
37657at50557_76194_0:0021a4|STRG.12225.3:1107-1376|+  -             90 37657at50557         -            403    0.0028   15.4   0.1   1   1   1.5e-05    0.0028   15.4   0.1    53    93    39    79     1    90 0.84 -
37657at50557_76194_0:0021a4|STRG.12225.4:1107-1376|+  -             90 37657at50557         -            403    0.0028   15.4   0.1   1   1   1.5e-05    0.0028   15.4   0.1    53    93    39    79     1    90 0.84 -
37657at50557_76194_0:0021a4|STRG.12225.5:1107-1376|+  -             90 37657at50557         -            403    0.0028   15.4   0.1   1   1   1.5e-05    0.0028   15.4   0.1    53    93    39    79     1    90 0.84 -
37657at50557_76194_0:0021a4|STRG.12225.6:1435-1704|+  -             90 37657at50557         -            403    0.0028   15.4   0.1   1   1   1.5e-05    0.0028   15.4   0.1    53    93    39    79     1    90 0.84 -
37657at50557_76194_0:0021a4|STRG.12225.7:798-1067|+   -             90 37657at50557         -            403    0.0028   15.4   0.1   1   1   1.5e-05    0.0028   15.4   0.1    53    93    39    79     1    90 0.84 -
45452at50557_7091_0:000393|STRG.20678.1:240-1364|+    -            375 37657at50557         -            403    0.0036   15.1   0.1   1   1     3e-05    0.0056   14.5   0.1   136   218    38   125    18   158 0.87 -
48837at50557_166423_0:0025f8|STRG.16707.1:1517-2209|+ -            231 37657at50557         -            403    0.0075   14.1   0.0   1   1   5.3e-05      0.01   13.6   0.0     5    85    58   133    54   151 0.75 -
48837at50557_166423_0:0025f8|STRG.16707.2:1544-2236|+ -            231 37657at50557         -            403    0.0075   14.1   0.0   1   1   5.3e-05      0.01   13.6   0.0     5    85    58   133    54   151 0.75 -
118659at50557_143995_0:001dd5|STRG.23694.1:0-488|+    -            163 37657at50557         -            403     0.015   13.1   0.0   1   1   9.6e-05     0.018   12.8   0.0   139   215    67   152    45   159 0.77 -
110125at50557_69820_0:0005bb|STRG.1271.1:1558-1890|+  -            111 37657at50557         -            403     0.044   11.5   0.0   1   1   0.00027     0.051   11.3   0.0    22    83    19    81     5    84 0.87 -
110125at50557_69820_0:0005bb|STRG.1271.2:1218-1550|+  -            111 37657at50557         -            403     0.044   11.5   0.0   1   1   0.00027     0.051   11.3   0.0    22    83    19    81     5    84 0.87 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/justine/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/37657at50557.hmm
# Target file:     annotation_analysis/annotation_gca/T_cornetzi/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas
# Option settings: hmmsearch --domtblout annotation_analysis/annotation_gca/T_cornetzi/busco_output/run_insecta_odb10/hmmer_output/initial_run_results/37657at50557.out --cpu 1 /home/justine/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/37657at50557.hmm annotation_analysis/annotation_gca/T_cornetzi/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas 
# Current dir:     /home/justine/projet_tutore
# Date:            Sun Dec  1 22:17:05 2024
# [ok]
