#                                                                                                              --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                          accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                  ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
109776at50557_456900_0:0015c4|STRG.19571.1:0-713|+     -            238 109776at50557        -            209     3e-87  290.2   4.7   1   1     5e-89   4.2e-87  289.7   4.7     1   209     1   234     1   234 0.94 -
54603at50557_217634_0:0030bb|STRG.19126.2:136-1236|+   -            367 109776at50557        -            209   4.4e-36  123.0  27.1   2   4   1.6e-14   1.4e-12   46.3   4.8    26   131    67   183    65   185 0.84 -
54603at50557_217634_0:0030bb|STRG.19126.2:136-1236|+   -            367 109776at50557        -            209   4.4e-36  123.0  27.1   3   4   5.5e-09   4.6e-07   28.2   0.0    26    76   182   235   179   237 0.86 -
54603at50557_217634_0:0030bb|STRG.19126.2:136-1236|+   -            367 109776at50557        -            209   4.4e-36  123.0  27.1   4   4   1.7e-15   1.4e-13   49.5   8.8    18   130   213   343   210   347 0.59 -
8280at50557_83485_0:001d33|STRG.22786.1:33-3467|+      -           1145 109776at50557        -            209   1.1e-31  108.7  59.3   1   8     4e-07   3.3e-05   22.2   1.3    50   163   104   232    66   240 0.54 -
8280at50557_83485_0:001d33|STRG.22786.1:33-3467|+      -           1145 109776at50557        -            209   1.1e-31  108.7  59.3   2   8   2.1e-06   0.00018   19.8   7.4    45   163   263   400   232   448 0.49 -
8280at50557_83485_0:001d33|STRG.22786.1:33-3467|+      -           1145 109776at50557        -            209   1.1e-31  108.7  59.3   3   8   0.00019     0.015   13.5   0.3    20   120   353   470   351   477 0.69 -
8280at50557_83485_0:001d33|STRG.22786.1:33-3467|+      -           1145 109776at50557        -            209   1.1e-31  108.7  59.3   4   8   4.5e-07   3.7e-05   22.0   1.3    26   166   482   623   474   695 0.60 -
8280at50557_83485_0:001d33|STRG.22786.1:33-3467|+      -           1145 109776at50557        -            209   1.1e-31  108.7  59.3   5   8   1.4e-10   1.2e-08   33.4   2.4    20   162   598   761   590   762 0.78 -
8280at50557_83485_0:001d33|STRG.22786.1:33-3467|+      -           1145 109776at50557        -            209   1.1e-31  108.7  59.3   6   8   3.5e-09   2.9e-07   28.9   1.4    29   128   701   790   698   797 0.84 -
8280at50557_83485_0:001d33|STRG.22786.1:33-3467|+      -           1145 109776at50557        -            209   1.1e-31  108.7  59.3   7   8   0.00042     0.034   12.3   8.6    31   140   799   902   775   909 0.41 -
8280at50557_83485_0:001d33|STRG.22786.1:33-3467|+      -           1145 109776at50557        -            209   1.1e-31  108.7  59.3   8   8       0.2        16    3.6   3.9    24   132   908  1020   903  1096 0.62 -
8280at50557_83485_0:001d33|STRG.22786.2:221-3655|+     -           1145 109776at50557        -            209   1.1e-31  108.7  59.3   1   8     4e-07   3.3e-05   22.2   1.3    50   163   104   232    66   240 0.54 -
8280at50557_83485_0:001d33|STRG.22786.2:221-3655|+     -           1145 109776at50557        -            209   1.1e-31  108.7  59.3   2   8   2.1e-06   0.00018   19.8   7.4    45   163   263   400   232   448 0.49 -
8280at50557_83485_0:001d33|STRG.22786.2:221-3655|+     -           1145 109776at50557        -            209   1.1e-31  108.7  59.3   3   8   0.00019     0.015   13.5   0.3    20   120   353   470   351   477 0.69 -
8280at50557_83485_0:001d33|STRG.22786.2:221-3655|+     -           1145 109776at50557        -            209   1.1e-31  108.7  59.3   4   8   4.5e-07   3.7e-05   22.0   1.3    26   166   482   623   474   695 0.60 -
8280at50557_83485_0:001d33|STRG.22786.2:221-3655|+     -           1145 109776at50557        -            209   1.1e-31  108.7  59.3   5   8   1.4e-10   1.2e-08   33.4   2.4    20   162   598   761   590   762 0.78 -
8280at50557_83485_0:001d33|STRG.22786.2:221-3655|+     -           1145 109776at50557        -            209   1.1e-31  108.7  59.3   6   8   3.5e-09   2.9e-07   28.9   1.4    29   128   701   790   698   797 0.84 -
8280at50557_83485_0:001d33|STRG.22786.2:221-3655|+     -           1145 109776at50557        -            209   1.1e-31  108.7  59.3   7   8   0.00042     0.034   12.3   8.6    31   140   799   902   775   909 0.41 -
8280at50557_83485_0:001d33|STRG.22786.2:221-3655|+     -           1145 109776at50557        -            209   1.1e-31  108.7  59.3   8   8       0.2        16    3.6   3.9    24   132   908  1020   903  1096 0.62 -
7376at50557_121225_0:001986|STRG.21028.1:411-2795|+    -            795 109776at50557        -            209   1.1e-31  108.7  27.9   1   8    0.0019      0.16   10.1   0.0    87   126    15    56     5    63 0.77 -
7376at50557_121225_0:001986|STRG.21028.1:411-2795|+    -            795 109776at50557        -            209   1.1e-31  108.7  27.9   2   8   3.2e-11   2.6e-09   35.6   4.6    29   164    68   229    63   231 0.72 -
7376at50557_121225_0:001986|STRG.21028.1:411-2795|+    -            795 109776at50557        -            209   1.1e-31  108.7  27.9   3   8   8.1e-08   6.7e-06   24.4   4.1    50   163   192   323   183   329 0.68 -
7376at50557_121225_0:001986|STRG.21028.1:411-2795|+    -            795 109776at50557        -            209   1.1e-31  108.7  27.9   4   8   2.9e-11   2.4e-09   35.7   0.6    23   164   257   419   254   428 0.80 -
7376at50557_121225_0:001986|STRG.21028.1:411-2795|+    -            795 109776at50557        -            209   1.1e-31  108.7  27.9   5   8   2.6e-11   2.2e-09   35.8   3.6    25   187   306   487   300   491 0.76 -
7376at50557_121225_0:001986|STRG.21028.1:411-2795|+    -            795 109776at50557        -            209   1.1e-31  108.7  27.9   6   8    0.0028      0.23    9.6   0.6   112   163   454   511   436   525 0.74 -
7376at50557_121225_0:001986|STRG.21028.1:411-2795|+    -            795 109776at50557        -            209   1.1e-31  108.7  27.9   7   8       0.2        17    3.5   0.0   121   162   645   688   633   693 0.78 -
7376at50557_121225_0:001986|STRG.21028.1:411-2795|+    -            795 109776at50557        -            209   1.1e-31  108.7  27.9   8   8   1.7e-06   0.00014   20.1   0.2    89   185   677   780   665   792 0.74 -
54603at50557_224129_0:0029b4|STRG.15062.1:867-1997|+   -            377 109776at50557        -            209   1.7e-30  104.8  31.0   1   4   6.5e-12   5.4e-10   37.8   6.4    51   146     9   120     2   122 0.75 -
54603at50557_224129_0:0029b4|STRG.15062.1:867-1997|+   -            377 109776at50557        -            209   1.7e-30  104.8  31.0   2   4   5.7e-07   4.7e-05   21.7   5.1    78   156    91   178    90   183 0.75 -
54603at50557_224129_0:0029b4|STRG.15062.1:867-1997|+   -            377 109776at50557        -            209   1.7e-30  104.8  31.0   3   4   5.2e-18   4.3e-16   57.7  12.3    29   178   125   294   120   298 0.80 -
54603at50557_224129_0:0029b4|STRG.15062.1:867-1997|+   -            377 109776at50557        -            209   1.7e-30  104.8  31.0   4   4   6.2e-06   0.00052   18.3   0.1    29    79   291   344   287   353 0.86 -
25718at50557_197043_0:00510d|STRG.7495.1:102-1781|+    -            560 109776at50557        -            209   1.1e-29  102.2  35.4   1   4   4.5e-07   3.7e-05   22.0   3.3    75   168    32   136     1   139 0.78 -
25718at50557_197043_0:00510d|STRG.7495.1:102-1781|+    -            560 109776at50557        -            209   1.1e-29  102.2  35.4   2   4   1.6e-10   1.3e-08   33.2   4.5    29   144   141   278   137   278 0.76 -
25718at50557_197043_0:00510d|STRG.7495.1:102-1781|+    -            560 109776at50557        -            209   1.1e-29  102.2  35.4   3   4   6.1e-05     0.005   15.0   0.4    84   128   281   327   278   352 0.81 -
25718at50557_197043_0:00510d|STRG.7495.1:102-1781|+    -            560 109776at50557        -            209   1.1e-29  102.2  35.4   4   4   5.4e-13   4.5e-11   41.3   5.0    16   130   395   523   389   534 0.81 -
8280at50557_166423_0:002d2f|STRG.12134.1:9-3240|+      -            868 109776at50557        -            209   1.3e-28   98.7  47.7   1   7   7.1e-08   5.8e-06   24.6   2.6    32   129    95   209    68   212 0.76 -
8280at50557_166423_0:002d2f|STRG.12134.1:9-3240|+      -            868 109776at50557        -            209   1.3e-28   98.7  47.7   2   7   5.3e-10   4.4e-08   31.6   1.6    25   163   137   305   135   325 0.68 -
8280at50557_166423_0:002d2f|STRG.12134.1:9-3240|+      -            868 109776at50557        -            209   1.3e-28   98.7  47.7   3   7    0.0013      0.11   10.7   3.9    19   163   329   475   324   479 0.73 -
8280at50557_166423_0:002d2f|STRG.12134.1:9-3240|+      -            868 109776at50557        -            209   1.3e-28   98.7  47.7   4   7   3.1e-05    0.0025   16.0   4.5    34   129   426   533   399   567 0.64 -
8280at50557_166423_0:002d2f|STRG.12134.1:9-3240|+      -            868 109776at50557        -            209   1.3e-28   98.7  47.7   5   7   5.4e-06   0.00044   18.5   7.4    20   127   505   629   487   684 0.65 -
8280at50557_166423_0:002d2f|STRG.12134.1:9-3240|+      -            868 109776at50557        -            209   1.3e-28   98.7  47.7   6   7   0.00051     0.042   12.0   0.3   112   163   698   758   687   770 0.77 -
8280at50557_166423_0:002d2f|STRG.12134.1:9-3240|+      -            868 109776at50557        -            209   1.3e-28   98.7  47.7   7   7   1.8e-07   1.5e-05   23.3   0.5    21    89   785   856   779   863 0.83 -
25718at50557_54969_0:001d6b|STRG.20998.1:501-2948|+    -            816 109776at50557        -            209   1.9e-27   94.8  36.5   1   7     0.016       1.3    7.2   0.2    32    66     1    39     1    43 0.72 -
25718at50557_54969_0:001d6b|STRG.20998.1:501-2948|+    -            816 109776at50557        -            209   1.9e-27   94.8  36.5   2   7   3.4e-08   2.8e-06   25.6   4.7    30   124    52   161    48   164 0.79 -
25718at50557_54969_0:001d6b|STRG.20998.1:501-2948|+    -            816 109776at50557        -            209   1.9e-27   94.8  36.5   3   7     1e-06   8.6e-05   20.8   3.9    23   130    93   193    90   195 0.75 -
25718at50557_54969_0:001d6b|STRG.20998.1:501-2948|+    -            816 109776at50557        -            209   1.9e-27   94.8  36.5   4   7   1.5e-11   1.2e-09   36.7   3.9    21   163   189   353   188   358 0.79 -
25718at50557_54969_0:001d6b|STRG.20998.1:501-2948|+    -            816 109776at50557        -            209   1.9e-27   94.8  36.5   5   7   3.4e-06   0.00028   19.1   6.0    20   164   331   494   327   506 0.75 -
25718at50557_54969_0:001d6b|STRG.20998.1:501-2948|+    -            816 109776at50557        -            209   1.9e-27   94.8  36.5   6   7     0.064       5.3    5.2   0.0   124   161   630   668   616   680 0.82 -
25718at50557_54969_0:001d6b|STRG.20998.1:501-2948|+    -            816 109776at50557        -            209   1.9e-27   94.8  36.5   7   7   0.00063     0.052   11.7   0.1   108   161   679   740   671   746 0.53 -
8280at50557_103372_0:001996|STRG.12134.2:748-3193|+    -            718 109776at50557        -            209   4.6e-26   90.3  41.4   1   8   0.00077     0.064   11.4   0.0    90   129    18    59     4    62 0.81 -
8280at50557_103372_0:001996|STRG.12134.2:748-3193|+    -            718 109776at50557        -            209   4.6e-26   90.3  41.4   2   8   9.4e-08   7.8e-06   24.2   0.6    52   163    19   155    18   174 0.65 -
8280at50557_103372_0:001996|STRG.12134.2:748-3193|+    -            718 109776at50557        -            209   4.6e-26   90.3  41.4   3   8   0.00076     0.063   11.4   3.8    19   163   179   325   172   332 0.73 -
8280at50557_103372_0:001996|STRG.12134.2:748-3193|+    -            718 109776at50557        -            209   4.6e-26   90.3  41.4   4   8   5.2e-05    0.0043   15.3   5.1    34   129   276   383   255   410 0.64 -
8280at50557_103372_0:001996|STRG.12134.2:748-3193|+    -            718 109776at50557        -            209   4.6e-26   90.3  41.4   5   8   7.5e-05    0.0062   14.7   2.6    21    93   356   432   349   457 0.65 -
8280at50557_103372_0:001996|STRG.12134.2:748-3193|+    -            718 109776at50557        -            209   4.6e-26   90.3  41.4   6   8   8.4e-06    0.0007   17.8   3.4    24   130   383   506   380   534 0.68 -
8280at50557_103372_0:001996|STRG.12134.2:748-3193|+    -            718 109776at50557        -            209   4.6e-26   90.3  41.4   7   8   0.00042     0.034   12.3   0.4   112   163   548   608   536   620 0.77 -
8280at50557_103372_0:001996|STRG.12134.2:748-3193|+    -            718 109776at50557        -            209   4.6e-26   90.3  41.4   8   8   1.7e-07   1.4e-05   23.4   0.7    21    89   635   706   630   713 0.83 -
25718at50557_7536_0:0032ee|STRG.21023.1:1047-2792|+    -            582 109776at50557        -            209   1.6e-25   88.5  32.0   1   5   1.7e-08   1.4e-06   26.6   1.7    18   126    48   173    33   175 0.66 -
25718at50557_7536_0:0032ee|STRG.21023.1:1047-2792|+    -            582 109776at50557        -            209   1.6e-25   88.5  32.0   2   5   3.2e-09   2.7e-07   29.0   2.3    84   164   153   244   149   251 0.79 -
25718at50557_7536_0:0032ee|STRG.21023.1:1047-2792|+    -            582 109776at50557        -            209   1.6e-25   88.5  32.0   3   5   1.4e-05    0.0012   17.1   1.2   107   165   253   319   250   344 0.76 -
25718at50557_7536_0:0032ee|STRG.21023.1:1047-2792|+    -            582 109776at50557        -            209   1.6e-25   88.5  32.0   4   5   4.4e-11   3.6e-09   35.1   4.9    27   164   278   437   277   440 0.79 -
25718at50557_7536_0:0032ee|STRG.21023.1:1047-2792|+    -            582 109776at50557        -            209   1.6e-25   88.5  32.0   5   5   4.9e-05     0.004   15.4   4.2    19   146   413   555   408   573 0.77 -
25718at50557_7536_0:0032ee|STRG.21023.2:315-2060|+     -            582 109776at50557        -            209   1.6e-25   88.5  32.0   1   5   1.7e-08   1.4e-06   26.6   1.7    18   126    48   173    33   175 0.66 -
25718at50557_7536_0:0032ee|STRG.21023.2:315-2060|+     -            582 109776at50557        -            209   1.6e-25   88.5  32.0   2   5   3.2e-09   2.7e-07   29.0   2.3    84   164   153   244   149   251 0.79 -
25718at50557_7536_0:0032ee|STRG.21023.2:315-2060|+     -            582 109776at50557        -            209   1.6e-25   88.5  32.0   3   5   1.4e-05    0.0012   17.1   1.2   107   165   253   319   250   344 0.76 -
25718at50557_7536_0:0032ee|STRG.21023.2:315-2060|+     -            582 109776at50557        -            209   1.6e-25   88.5  32.0   4   5   4.4e-11   3.6e-09   35.1   4.9    27   164   278   437   277   440 0.79 -
25718at50557_7536_0:0032ee|STRG.21023.2:315-2060|+     -            582 109776at50557        -            209   1.6e-25   88.5  32.0   5   5   4.9e-05     0.004   15.4   4.2    19   146   413   555   408   573 0.77 -
54603at50557_116153_0:001d7a|STRG.22447.2:1053-1919|+  -            289 109776at50557        -            209   3.6e-25   87.4  20.2   1   3   2.4e-10     2e-08   32.7   3.3    88   157     3    79     1   124 0.82 -
54603at50557_116153_0:001d7a|STRG.22447.2:1053-1919|+  -            289 109776at50557        -            209   3.6e-25   87.4  20.2   2   3   1.7e-06   0.00014   20.1   0.1    21    71   128   183   118   188 0.79 -
54603at50557_116153_0:001d7a|STRG.22447.2:1053-1919|+  -            289 109776at50557        -            209   3.6e-25   87.4  20.2   3   3   2.1e-13   1.8e-11   42.7   6.1    30   121   186   289   183   289 0.80 -
25718at50557_1629725_0:002070|STRG.5764.1:106-1182|+   -            359 109776at50557        -            209   1.4e-23   82.2   9.4   1   4     1e-07   8.3e-06   24.1   0.1    22   127    14   133     8   133 0.71 -
25718at50557_1629725_0:002070|STRG.5764.1:106-1182|+   -            359 109776at50557        -            209   1.4e-23   82.2   9.4   2   4   1.4e-10   1.2e-08   33.4   0.3    30   128   117   230   110   233 0.79 -
25718at50557_1629725_0:002070|STRG.5764.1:106-1182|+   -            359 109776at50557        -            209   1.4e-23   82.2   9.4   3   4   1.3e-10   1.1e-08   33.6   0.5    78   165   225   322   225   326 0.86 -
25718at50557_1629725_0:002070|STRG.5764.1:106-1182|+   -            359 109776at50557        -            209   1.4e-23   82.2   9.4   4   4      0.32        26    2.9   0.0    22    47   324   349   322   358 0.79 -
109776at50557_7176_0:003c1e|STRG.24052.1:340-966|+     -            209 109776at50557        -            209   1.7e-21   75.4   7.1   1   3     4e-08   3.3e-06   25.4   0.1    12    78     2    84     1    84 0.76 -
109776at50557_7176_0:003c1e|STRG.24052.1:340-966|+     -            209 109776at50557        -            209   1.7e-21   75.4   7.1   2   3   2.3e-09   1.9e-07   29.5   0.2    31    79    80   130    77   141 0.83 -
109776at50557_7176_0:003c1e|STRG.24052.1:340-966|+     -            209 109776at50557        -            209   1.7e-21   75.4   7.1   3   3   5.8e-08   4.8e-06   24.9   0.5    25    76   142   195   139   206 0.87 -
109776at50557_7176_0:003c1e|STRG.24052.2:340-966|+     -            209 109776at50557        -            209   1.7e-21   75.4   7.1   1   3     4e-08   3.3e-06   25.4   0.1    12    78     2    84     1    84 0.76 -
109776at50557_7176_0:003c1e|STRG.24052.2:340-966|+     -            209 109776at50557        -            209   1.7e-21   75.4   7.1   2   3   2.3e-09   1.9e-07   29.5   0.2    31    79    80   130    77   141 0.83 -
109776at50557_7176_0:003c1e|STRG.24052.2:340-966|+     -            209 109776at50557        -            209   1.7e-21   75.4   7.1   3   3   5.8e-08   4.8e-06   24.9   0.5    25    76   142   195   139   206 0.87 -
8280at50557_7160_0:00112a|STRG.13990.1:1303-2487|+     -            395 109776at50557        -            209   5.5e-21   73.7  11.2   1   4   7.9e-08   6.5e-06   24.5   0.1    26   127    21   113    11   118 0.69 -
8280at50557_7160_0:00112a|STRG.13990.1:1303-2487|+     -            395 109776at50557        -            209   5.5e-21   73.7  11.2   2   4   5.5e-06   0.00045   18.5   0.4    33   118   100   176    87   184 0.40 -
8280at50557_7160_0:00112a|STRG.13990.1:1303-2487|+     -            395 109776at50557        -            209   5.5e-21   73.7  11.2   3   4   7.7e-06   0.00064   18.0   0.4    20    88   183   256   179   260 0.83 -
8280at50557_7160_0:00112a|STRG.13990.1:1303-2487|+     -            395 109776at50557        -            209   5.5e-21   73.7  11.2   4   4   9.3e-06   0.00077   17.7   0.1    21    60   256   298   249   324 0.82 -
8280at50557_7160_0:00112a|STRG.13990.2:1244-2428|+     -            395 109776at50557        -            209   5.5e-21   73.7  11.2   1   4   7.9e-08   6.5e-06   24.5   0.1    26   127    21   113    11   118 0.69 -
8280at50557_7160_0:00112a|STRG.13990.2:1244-2428|+     -            395 109776at50557        -            209   5.5e-21   73.7  11.2   2   4   5.5e-06   0.00045   18.5   0.4    33   118   100   176    87   184 0.40 -
8280at50557_7160_0:00112a|STRG.13990.2:1244-2428|+     -            395 109776at50557        -            209   5.5e-21   73.7  11.2   3   4   7.7e-06   0.00064   18.0   0.4    20    88   183   256   179   260 0.83 -
8280at50557_7160_0:00112a|STRG.13990.2:1244-2428|+     -            395 109776at50557        -            209   5.5e-21   73.7  11.2   4   4   9.3e-06   0.00077   17.7   0.1    21    60   256   298   249   324 0.82 -
25718at50557_197043_0:00510d|STRG.16035.1:222-1487|+   -            422 109776at50557        -            209   4.6e-20   70.7  36.7   1   4   7.8e-08   6.4e-06   24.5  14.6    21   168    16   161     9   165 0.72 -
25718at50557_197043_0:00510d|STRG.16035.1:222-1487|+   -            422 109776at50557        -            209   4.6e-20   70.7  36.7   2   4   7.6e-06   0.00063   18.0   8.5    84   164   138   227   133   230 0.71 -
25718at50557_197043_0:00510d|STRG.16035.1:222-1487|+   -            422 109776at50557        -            209   4.6e-20   70.7  36.7   3   4   8.4e-11   6.9e-09   34.2   9.9    28   164   164   323   159   330 0.75 -
25718at50557_197043_0:00510d|STRG.16035.1:222-1487|+   -            422 109776at50557        -            209   4.6e-20   70.7  36.7   4   4   0.00029     0.024   12.8   0.3    79   127   327   377   323   382 0.85 -
8280at50557_113334_0:00096f|STRG.7494.1:329-1528|+     -            400 109776at50557        -            209   1.6e-19   68.9  12.2   1   3   6.1e-07   5.1e-05   21.6   0.2    80   165    39   136    24   140 0.77 -
8280at50557_113334_0:00096f|STRG.7494.1:329-1528|+     -            400 109776at50557        -            209   1.6e-19   68.9  12.2   2   3   1.1e-08   9.4e-07   27.2   3.4    31   162   123   276   121   279 0.76 -
8280at50557_113334_0:00096f|STRG.7494.1:329-1528|+     -            400 109776at50557        -            209   1.6e-19   68.9  12.2   3   3   3.1e-11   2.6e-09   35.6   1.0    30   163   242   397   233   400 0.77 -
8280at50557_1155016_0:002e71|STRG.17467.1:563-1699|+   -            379 109776at50557        -            209   2.4e-19   68.4  21.6   1   3     4e-09   3.3e-07   28.7   1.5    72   163    25   131    18   140 0.82 -
8280at50557_1155016_0:002e71|STRG.17467.1:563-1699|+   -            379 109776at50557        -            209   2.4e-19   68.4  21.6   2   3   1.3e-10   1.1e-08   33.5   4.9    26   188    91   275    89   280 0.72 -
8280at50557_1155016_0:002e71|STRG.17467.1:563-1699|+   -            379 109776at50557        -            209   2.4e-19   68.4  21.6   3   3   1.9e-06   0.00016   19.9   4.9    20   126   252   373   251   376 0.74 -
109776at50557_199890_0:001686|STRG.6137.1:602-1102|+   -            167 109776at50557        -            209   9.7e-19   66.4  10.4   1   2   6.1e-10     5e-08   31.4   0.4    77   129     7    60     3    65 0.91 -
109776at50557_199890_0:001686|STRG.6137.1:602-1102|+   -            167 109776at50557        -            209   9.7e-19   66.4  10.4   2   2   7.3e-12     6e-10   37.6   4.3    77   161    76   167    67   167 0.85 -
109776at50557_199890_0:001686|STRG.6137.2:141-641|+    -            167 109776at50557        -            209   9.7e-19   66.4  10.4   1   2   6.1e-10     5e-08   31.4   0.4    77   129     7    60     3    65 0.91 -
109776at50557_199890_0:001686|STRG.6137.2:141-641|+    -            167 109776at50557        -            209   9.7e-19   66.4  10.4   2   2   7.3e-12     6e-10   37.6   4.3    77   161    76   167    67   167 0.85 -
8280at50557_7200_0:000e97|STRG.18179.1:117-1196|+      -            360 109776at50557        -            209   3.1e-18   64.7  20.8   1   4   1.3e-07   1.1e-05   23.7   1.3    84   163    77   169    39   170 0.74 -
8280at50557_7200_0:000e97|STRG.18179.1:117-1196|+      -            360 109776at50557        -            209   3.1e-18   64.7  20.8   2   4   4.6e-09   3.8e-07   28.5   0.9    77   165   168   268   156   271 0.76 -
8280at50557_7200_0:000e97|STRG.18179.1:117-1196|+      -            360 109776at50557        -            209   3.1e-18   64.7  20.8   3   4    0.0011     0.087   11.0   0.4    24    66   272   319   268   319 0.79 -
8280at50557_7200_0:000e97|STRG.18179.1:117-1196|+      -            360 109776at50557        -            209   3.1e-18   64.7  20.8   4   4   7.4e-05    0.0061   14.8   3.5    94   134   308   350   303   355 0.81 -
25718at50557_13249_0:001bb5|STRG.7524.1:417-1703|+     -            429 109776at50557        -            209   5.9e-18   63.8  17.0   1   4   1.8e-08   1.5e-06   26.6   1.5    31   168     3   166     1   172 0.69 -
25718at50557_13249_0:001bb5|STRG.7524.1:417-1703|+     -            429 109776at50557        -            209   5.9e-18   63.8  17.0   2   4   1.8e-06   0.00015   20.0   0.0    80   168    67   166    61   211 0.65 -
25718at50557_13249_0:001bb5|STRG.7524.1:417-1703|+     -            429 109776at50557        -            209   5.9e-18   63.8  17.0   3   4   6.3e-09   5.2e-07   28.1   5.4    21   127   210   328   204   333 0.80 -
25718at50557_13249_0:001bb5|STRG.7524.1:417-1703|+     -            429 109776at50557        -            209   5.9e-18   63.8  17.0   4   4    0.0022      0.19    9.9   0.1   129   161   396   429   367   429 0.90 -
83902at50557_535359_0:00161f|STRG.3040.1:462-977|+     -            172 109776at50557        -            209   6.9e-18   63.6   7.1   1   2   7.6e-08   6.3e-06   24.5   0.1    81   130    35    85    18    89 0.83 -
83902at50557_535359_0:00161f|STRG.3040.1:462-977|+     -            172 109776at50557        -            209   6.9e-18   63.6   7.1   2   2   8.1e-15   6.7e-13   47.3   3.4    26   123    62   170    60   172 0.85 -
25718at50557_13249_0:001bb5|STRG.10255.2:102-1400|+    -            433 109776at50557        -            209     8e-18   63.4  30.8   1   6   1.2e-08     1e-06   27.1   5.9    26   126     6   115     3   135 0.75 -
25718at50557_13249_0:001bb5|STRG.10255.2:102-1400|+    -            433 109776at50557        -            209     8e-18   63.4  30.8   2   6     0.035       2.9    6.0   0.2    23    83   138   200   120   222 0.72 -
25718at50557_13249_0:001bb5|STRG.10255.2:102-1400|+    -            433 109776at50557        -            209     8e-18   63.4  30.8   3   6   3.5e-05    0.0029   15.8   3.4    20   126   226   299   177   304 0.49 -
25718at50557_13249_0:001bb5|STRG.10255.2:102-1400|+    -            433 109776at50557        -            209     8e-18   63.4  30.8   4   6   2.6e-08   2.2e-06   26.0   6.9    20   164   226   365   219   366 0.83 -
