#                                                                                                              --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                          accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                  ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
74932at50557_103372_0:0007c3|STRG.4120.1:0-1115|+      -            372 74932at50557         -            280  1.2e-153  509.0   1.1   1   1  7.7e-156  1.5e-153  508.7   1.1     1   280    36   342    36   342 0.94 -
109756at50557_378494_0:003794|STRG.14902.1:3336-3527|+ -             64 74932at50557         -            280   0.00072   17.6   0.1   1   1   4.2e-06   0.00079   17.5   0.1    12    53    15    59     5    63 0.80 -
109756at50557_378494_0:003794|STRG.14902.2:3365-3556|+ -             64 74932at50557         -            280   0.00072   17.6   0.1   1   1   4.2e-06   0.00079   17.5   0.1    12    53    15    59     5    63 0.80 -
2744at50557_103372_0:002a6a|STRG.23569.1:323-7012|+    -           2230 74932at50557         -            280   0.00083   17.4   0.0   1   1   8.6e-06    0.0016   16.4   0.0    11    50  1309  1345  1306  1348 0.90 -
2744at50557_103372_0:002a6a|STRG.23569.3:323-7012|+    -           2230 74932at50557         -            280   0.00083   17.4   0.0   1   1   8.6e-06    0.0016   16.4   0.0    11    50  1309  1345  1306  1348 0.90 -
2744at50557_103372_0:002a6a|STRG.23569.2:323-7087|+    -           2255 74932at50557         -            280   0.00084   17.4   0.0   1   1   8.7e-06    0.0016   16.4   0.0    11    50  1334  1370  1331  1373 0.90 -
60993at50557_1155016_0:000fc6|STRG.9257.2:0-164|+      -             55 74932at50557         -            280    0.0012   16.9   0.3   1   1   6.5e-06    0.0012   16.9   0.3     2    39     7    48     6    55 0.67 -
60993at50557_1155016_0:000fc6|STRG.9257.1:237-407|+    -             57 74932at50557         -            280    0.0014   16.7   0.3   1   1   7.3e-06    0.0014   16.7   0.3     2    39     9    50     8    57 0.67 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/justine/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/74932at50557.hmm
# Target file:     annotation_analysis/annotation_gca/T_cornetzi/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas
# Option settings: hmmsearch --domtblout annotation_analysis/annotation_gca/T_cornetzi/busco_output/run_insecta_odb10/hmmer_output/initial_run_results/74932at50557.out --cpu 1 /home/justine/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/74932at50557.hmm annotation_analysis/annotation_gca/T_cornetzi/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas 
# Current dir:     /home/justine/projet_tutore
# Date:            Sun Dec  1 22:19:51 2024
# [ok]
