#                                                                                                             --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                         accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                 ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
72085at50557_520822_0:002380|STRG.18971.1:93-1544|+   -            484 94143at50557         -            358   1.9e-35  121.5   0.2   1   1   5.5e-34   4.3e-32  110.5   0.2     2   340    47   481    46   484 0.73 -
94143at50557_54969_0:002985|STRG.10579.1:131-1315|+   -            395 94143at50557         -            358   2.3e-12   45.6   1.0   2   2   1.7e-12   1.3e-10   39.8   0.2   239   343   247   366   187   380 0.78 -
94143at50557_54969_0:002985|STRG.10579.3:432-1616|+   -            395 94143at50557         -            358   2.3e-12   45.6   1.0   1   2       4.9   3.8e+02   -1.2   0.0   115   155    51    94    10   126 0.62 -
94143at50557_54969_0:002985|STRG.10579.3:432-1616|+   -            395 94143at50557         -            358   2.3e-12   45.6   1.0   2   2   1.7e-12   1.3e-10   39.8   0.2   239   343   247   366   187   380 0.78 -
108140at50557_7070_0:0020e2|STRG.8041.1:78-1553|+     -            492 94143at50557         -            358   2.3e-12   45.6   0.0   1   1   1.3e-13   9.7e-12   43.6   0.0   169   345   246   465   212   468 0.69 -
94143at50557_54969_0:002985|STRG.10579.4:15-1181|+    -            389 94143at50557         -            358   2.4e-12   45.5   1.1   1   2       5.5   4.3e+02   -1.3   0.0   116   155    46    88     8   119 0.63 -
94143at50557_54969_0:002985|STRG.10579.4:15-1181|+    -            389 94143at50557         -            358   2.4e-12   45.5   1.1   2   2   1.7e-12   1.3e-10   39.9   0.2   239   343   241   360   181   374 0.78 -
94143at50557_54969_0:002985|STRG.10579.2:49-1224|+    -            392 94143at50557         -            358   2.5e-12   45.5   1.1   1   2       5.4   4.2e+02   -1.3   0.0   115   155    48    91    10   122 0.62 -
94143at50557_54969_0:002985|STRG.10579.2:49-1224|+    -            392 94143at50557         -            358   2.5e-12   45.5   1.1   2   2   1.7e-12   1.3e-10   39.8   0.2   239   343   244   363   184   377 0.78 -
72085at50557_64793_0:002c2e|STRG.10921.3:323-1033|+   -            237 94143at50557         -            358   2.7e-12   45.4   0.0   1   2      0.14        11    3.9   0.1   212   244    45    78    31    91 0.77 -
72085at50557_64793_0:002c2e|STRG.10921.3:323-1033|+   -            237 94143at50557         -            358   2.7e-12   45.4   0.0   2   2   2.1e-12   1.6e-10   39.6   0.0   240   343    93   211    83   233 0.79 -
94143at50557_125945_0:00352d|STRG.2927.7:73-1338|+    -            422 94143at50557         -            358   3.2e-12   45.1   0.3   1   1   5.8e-13   4.5e-11   41.4   0.0   236   343   282   404   231   417 0.76 -
94143at50557_125945_0:00352d|STRG.2927.9:73-1338|+    -            422 94143at50557         -            358   3.2e-12   45.1   0.3   1   1   5.8e-13   4.5e-11   41.4   0.0   236   343   282   404   231   417 0.76 -
94143at50557_125945_0:00352d|STRG.2927.13:73-1338|+   -            422 94143at50557         -            358   3.6e-12   45.0   0.3   1   2      0.52        40    2.1   0.0   216   245   242   272   230   279 0.77 -
94143at50557_125945_0:00352d|STRG.2927.13:73-1338|+   -            422 94143at50557         -            358   3.6e-12   45.0   0.3   2   2     1e-12     8e-11   40.5   0.0   238   343   284   404   272   417 0.78 -
94143at50557_125945_0:00352d|STRG.2927.8:73-1338|+    -            422 94143at50557         -            358   3.6e-12   45.0   0.3   1   2      0.52        40    2.1   0.0   216   245   242   272   230   279 0.77 -
94143at50557_125945_0:00352d|STRG.2927.8:73-1338|+    -            422 94143at50557         -            358   3.6e-12   45.0   0.3   2   2     1e-12     8e-11   40.5   0.0   238   343   284   404   272   417 0.78 -
94143at50557_7038_0:001312|STRG.2927.4:92-1510|+      -            473 94143at50557         -            358   4.4e-12   44.7   0.0   1   3       4.1   3.2e+02   -0.9   0.0    82   119   101   137    23   187 0.53 -
94143at50557_7038_0:001312|STRG.2927.4:92-1510|+      -            473 94143at50557         -            358   4.4e-12   44.7   0.0   2   3       1.1        85    1.0   0.0   215   244   292   322   281   327 0.76 -
94143at50557_7038_0:001312|STRG.2927.4:92-1510|+      -            473 94143at50557         -            358   4.4e-12   44.7   0.0   3   3   1.5e-12   1.2e-10   40.0   0.0   239   343   336   455   320   468 0.77 -
94143at50557_7038_0:001312|STRG.2927.5:597-2015|+     -            473 94143at50557         -            358   4.4e-12   44.7   0.0   1   3       4.1   3.2e+02   -0.9   0.0    82   119   101   137    23   187 0.53 -
94143at50557_7038_0:001312|STRG.2927.5:597-2015|+     -            473 94143at50557         -            358   4.4e-12   44.7   0.0   2   3       1.1        85    1.0   0.0   215   244   292   322   281   327 0.76 -
94143at50557_7038_0:001312|STRG.2927.5:597-2015|+     -            473 94143at50557         -            358   4.4e-12   44.7   0.0   3   3   1.5e-12   1.2e-10   40.0   0.0   239   343   336   455   320   468 0.77 -
72085at50557_64459_0:00143b|STRG.2927.2:317-1516|+    -            400 94143at50557         -            358   5.2e-12   44.4   0.2   1   1   8.4e-13   6.5e-11   40.8   0.0   239   343   254   373   199   387 0.80 -
94143at50557_7038_0:001312|STRG.2927.1:58-1335|+      -            426 94143at50557         -            358   6.5e-12   44.1   0.2   1   2      0.85        66    1.4   0.0   215   244   245   275   234   284 0.77 -
94143at50557_7038_0:001312|STRG.2927.1:58-1335|+      -            426 94143at50557         -            358   6.5e-12   44.1   0.2   2   2   1.3e-12     1e-10   40.2   0.0   239   343   289   408   276   421 0.77 -
94143at50557_319348_0:0040ff|STRG.10922.2:332-1489|+  -            386 94143at50557         -            358   8.6e-12   43.7   0.0   1   1   3.1e-13   2.4e-11   42.3   0.0   242   343   241   357   220   368 0.80 -
94143at50557_7029_0:006933|STRG.10922.1:138-1577|+    -            480 94143at50557         -            358   1.1e-11   43.3   0.0   1   1   4.2e-13   3.3e-11   41.8   0.0   242   343   337   453   288   464 0.83 -
72085at50557_37001_0:00073c|STRG.19506.1:330-1127|+   -            266 94143at50557         -            358   1.3e-11   43.1   0.2   1   1     1e-11   7.9e-10   37.3   0.1   208   342    76   245    52   248 0.74 -
72085at50557_597456_0:002100|STRG.2927.6:667-1386|+   -            240 94143at50557         -            358   1.9e-11   42.6   0.0   1   1   3.7e-12   2.8e-10   38.7   0.0   239   340   124   240    69   240 0.79 -
126811at50557_39758_0:001e02|STRG.11885.1:269-1642|+  -            458 94143at50557         -            358   2.4e-11   42.3   0.0   1   1   5.2e-13     4e-11   41.5   0.0   243   344   322   440   268   451 0.80 -
126811at50557_39758_0:001e02|STRG.11885.2:269-1642|+  -            458 94143at50557         -            358   2.4e-11   42.3   0.0   1   1   5.2e-13     4e-11   41.5   0.0   243   344   322   440   268   451 0.80 -
72085at50557_123851_0:002e3b|STRG.1233.1:304-1197|+   -            298 94143at50557         -            358   3.8e-11   41.6   0.2   1   1   9.2e-13   7.1e-11   40.7   0.2    10   149    39   202    33   277 0.70 -
72085at50557_64459_0:00143b|STRG.11094.1:333-1637|+   -            435 94143at50557         -            358   4.1e-11   41.5   0.1   1   2      0.49        38    2.1   0.0    27    56    49    76    22   189 0.56 -
72085at50557_64459_0:00143b|STRG.11094.1:333-1637|+   -            435 94143at50557         -            358   4.1e-11   41.5   0.1   2   2   1.2e-10   9.1e-09   33.8   0.0   235   323   333   435   284   435 0.75 -
72085at50557_168631_0:0016c7|STRG.11094.2:449-1159|+  -            237 94143at50557         -            358   7.9e-11   40.6   0.0   1   1   3.1e-11   2.4e-09   35.7   0.0   234   323   134   237    84   237 0.74 -
72085at50557_609295_0:00048d|STRG.20111.2:40-816|+    -            259 94143at50557         -            358   1.6e-10   39.5   0.3   1   1   5.4e-12   4.2e-10   38.2   0.1   240   342   136   249   123   254 0.80 -
138762at50557_13249_0:0030f7|STRG.6185.1:1139-2629|+  -            497 94143at50557         -            358   1.7e-09   36.2   0.1   1   2    0.0013       0.1   10.6   0.0    81   175   114   218   102   247 0.76 -
138762at50557_13249_0:0030f7|STRG.6185.1:1139-2629|+  -            497 94143at50557         -            358   1.7e-09   36.2   0.1   2   2   2.4e-06   0.00019   19.6   0.0   193   329   284   453   260   471 0.70 -
72085at50557_307658_0:001bcf|STRG.10919.1:154-1359|+  -            402 94143at50557         -            358   1.7e-09   36.1   0.1   1   2       5.8   4.5e+02   -1.4   0.0    95   156    39   110    15   139 0.52 -
72085at50557_307658_0:001bcf|STRG.10919.1:154-1359|+  -            402 94143at50557         -            358   1.7e-09   36.1   0.1   2   2   1.8e-10   1.4e-08   33.2   0.0   240   343   264   384   201   393 0.80 -
72085at50557_307658_0:001bcf|STRG.10919.2:27-1232|+   -            402 94143at50557         -            358   1.7e-09   36.1   0.1   1   2       5.8   4.5e+02   -1.4   0.0    95   156    39   110    15   139 0.52 -
72085at50557_307658_0:001bcf|STRG.10919.2:27-1232|+   -            402 94143at50557         -            358   1.7e-09   36.1   0.1   2   2   1.8e-10   1.4e-08   33.2   0.0   240   343   264   384   201   393 0.80 -
72085at50557_64793_0:002c2e|STRG.11406.1:6-575|+      -            190 94143at50557         -            358   1.9e-09   36.0   0.0   1   1   3.3e-11   2.6e-09   35.6   0.0   243   345    48   163    31   170 0.78 -
138762at50557_13249_0:0030f7|STRG.1491.1:445-1866|+   -            474 94143at50557         -            358   2.5e-09   35.6   0.4   1   2      0.12       8.9    4.2   0.0     7   119    36   142    23   162 0.75 -
138762at50557_13249_0:0030f7|STRG.1491.1:445-1866|+   -            474 94143at50557         -            358   2.5e-09   35.6   0.4   2   2   1.3e-08     1e-06   27.1   0.1   240   343   322   445   262   451 0.77 -
72085at50557_7227_0:001699|STRG.18063.2:243-1133|+    -            297 94143at50557         -            358   3.5e-09   35.1   0.3   1   1     4e-09   3.1e-07   28.7   0.1   202   341   121   295   108   297 0.73 -
72085at50557_178035_0:001a2e|STRG.2927.3:404-1402|+   -            333 94143at50557         -            358     8e-09   34.0   0.0   1   1   1.3e-09     1e-07   30.3   0.0   239   327   224   326   169   333 0.77 -
126811at50557_39758_0:001e02|STRG.3668.1:282-1532|+   -            417 94143at50557         -            358   8.2e-09   33.9   0.0   1   2       8.6   6.6e+02   -2.0   0.0   176   203    21    47     5   114 0.66 -
126811at50557_39758_0:001e02|STRG.3668.1:282-1532|+   -            417 94143at50557         -            358   8.2e-09   33.9   0.0   2   2   3.4e-10   2.6e-08   32.3   0.0   209   343   248   400   222   406 0.67 -
126811at50557_39758_0:001e02|STRG.3668.2:171-1421|+   -            417 94143at50557         -            358   8.2e-09   33.9   0.0   1   2       8.6   6.6e+02   -2.0   0.0   176   203    21    47     5   114 0.66 -
126811at50557_39758_0:001e02|STRG.3668.2:171-1421|+   -            417 94143at50557         -            358   8.2e-09   33.9   0.0   2   2   3.4e-10   2.6e-08   32.3   0.0   209   343   248   400   222   406 0.67 -
72085at50557_110193_0:00079d|STRG.18074.1:126-1562|+  -            479 94143at50557         -            358   1.1e-08   33.5   0.1   1   2       1.3        97    0.8   0.0     9    50    26    67     9   153 0.73 -
72085at50557_110193_0:00079d|STRG.18074.1:126-1562|+  -            479 94143at50557         -            358   1.1e-08   33.5   0.1   2   2   1.2e-09   9.3e-08   30.5   0.0   243   341   363   478   346   479 0.77 -
72085at50557_286306_0:003fb5|STRG.4232.1:132-935|+    -            268 94143at50557         -            358   2.5e-08   32.3   0.2   1   2       7.7     6e+02   -1.8   0.0   213   243    71   102    32   113 0.65 -
72085at50557_286306_0:003fb5|STRG.4232.1:132-935|+    -            268 94143at50557         -            358   2.5e-08   32.3   0.2   2   2   2.7e-09   2.1e-07   29.3   0.0   243   345   124   240   111   264 0.68 -
138762at50557_13249_0:0030f7|STRG.1475.1:588-2003|-   -            472 94143at50557         -            358   2.7e-08   32.2   0.1   1   2      0.64        49    1.8   0.0    75   128    95   150    84   155 0.76 -
138762at50557_13249_0:0030f7|STRG.1475.1:588-2003|-   -            472 94143at50557         -            358   2.7e-08   32.2   0.1   2   2   5.7e-07   4.4e-05   21.7   0.0   242   328   323   427   245   447 0.68 -
138762at50557_13249_0:0030f7|STRG.1492.2:108-1457|+   -            450 94143at50557         -            358   4.4e-08   31.5   0.2   1   2       1.3     1e+02    0.7   0.0    74   116    74   115     6   145 0.72 -
138762at50557_13249_0:0030f7|STRG.1492.2:108-1457|+   -            450 94143at50557         -            358   4.4e-08   31.5   0.2   2   2   4.3e-08   3.3e-06   25.4   0.1   241   343   299   421   238   426 0.73 -
72085at50557_7244_0:002fc3|STRG.22810.1:123-1061|+    -            313 94143at50557         -            358   4.7e-08   31.4   0.3   1   2       2.3   1.8e+02   -0.1   0.1   209   244   145   181   130   196 0.80 -
72085at50557_7244_0:002fc3|STRG.22810.1:123-1061|+    -            313 94143at50557         -            358   4.7e-08   31.4   0.3   2   2   3.4e-09   2.7e-07   29.0   0.0   243   340   202   313   182   313 0.79 -
72085at50557_609295_0:00048d|STRG.20111.3:40-831|+    -            264 94143at50557         -            358   5.4e-08   31.2   0.4   1   1   1.5e-09   1.2e-07   30.1   0.4   239   322   135   228    85   258 0.79 -
72085at50557_197043_0:003e79|STRG.16045.1:452-937|+   -            162 94143at50557         -            358   5.6e-08   31.2   0.0   1   2       6.7   5.2e+02   -1.6   0.0   223   246     5    29     2    40 0.76 -
72085at50557_197043_0:003e79|STRG.16045.1:452-937|+   -            162 94143at50557         -            358   5.6e-08   31.2   0.0   2   2   1.9e-09   1.4e-07   29.8   0.0   243   340    48   162    37   162 0.73 -
138762at50557_13249_0:0030f7|STRG.3784.1:42-1430|+    -            463 94143at50557         -            358   6.5e-08   31.0   0.0   1   1   3.4e-09   2.6e-07   29.0   0.0   241   344   335   458   281   461 0.78 -
138762at50557_13249_0:0030f7|STRG.1488.2:27-1478|+    -            484 94143at50557         -            358   7.2e-08   30.8   1.5   1   2      0.41        31    2.4   0.0    75   116   110   150   101   158 0.82 -
138762at50557_13249_0:0030f7|STRG.1488.2:27-1478|+    -            484 94143at50557         -            358   7.2e-08   30.8   1.5   2   2   1.4e-07   1.1e-05   23.7   0.1   240   336   332   448   272   459 0.64 -
72085at50557_197043_0:003e79|STRG.1492.1:1462-1992|+  -            177 94143at50557         -            358   9.7e-08   30.4   0.3   1   1     4e-08   3.1e-06   25.4   0.3   241   326    62   165     1   176 0.71 -
138762at50557_13249_0:0030f7|STRG.3791.1:22-1401|+    -            460 94143at50557         -            358   1.1e-07   30.3   0.0   1   2      0.19        14    3.5   0.0    31   131    66   165    47   170 0.82 -
138762at50557_13249_0:0030f7|STRG.3791.1:22-1401|+    -            460 94143at50557         -            358   1.1e-07   30.3   0.0   2   2   8.7e-08   6.7e-06   24.3   0.0   221   344   314   456   297   459 0.76 -
138762at50557_13249_0:0030f7|STRG.8350.1:133-1359|+   -            409 94143at50557         -            358   1.1e-07   30.2   0.0   1   2       5.5   4.2e+02   -1.3   0.0    75   115    32    74    24    86 0.61 -
138762at50557_13249_0:0030f7|STRG.8350.1:133-1359|+   -            409 94143at50557         -            358   1.1e-07   30.2   0.0   2   2   1.6e-07   1.2e-05   23.5   0.0   230   332   249   369   198   385 0.69 -
138762at50557_13249_0:0030f7|STRG.1497.1:469-1887|+   -            473 94143at50557         -            358   1.3e-07   30.0   0.2   1   2       1.5   1.2e+02    0.5   0.0    75   101    99   125    28   149 0.74 -
138762at50557_13249_0:0030f7|STRG.1497.1:469-1887|+   -            473 94143at50557         -            358   1.3e-07   30.0   0.2   2   2   1.8e-07   1.4e-05   23.3   0.1   238   342   319   443   261   448 0.69 -
138762at50557_13249_0:0030f7|STRG.1489.1:66-1484|+    -            473 94143at50557         -            358   1.5e-07   29.7   0.9   1   2       4.1   3.1e+02   -0.9   0.0    77   115   100   137    39   170 0.79 -
138762at50557_13249_0:0030f7|STRG.1489.1:66-1484|+    -            473 94143at50557         -            358   1.5e-07   29.7   0.9   2   2   4.5e-08   3.5e-06   25.3   0.4   242   345   322   445   258   456 0.76 -
138762at50557_13249_0:0030f7|STRG.3786.1:42-1505|+    -            488 94143at50557         -            358   1.7e-07   29.6   0.0   1   1   7.9e-09   6.1e-07   27.8   0.0   241   345   335   459   277   470 0.78 -
138762at50557_13249_0:0030f7|STRG.18307.1:27-1505|+   -            493 94143at50557         -            358   2.4e-07   29.1   0.6   1   2       3.6   2.8e+02   -0.7   0.0    77   116   120   158    80   171 0.83 -
138762at50557_13249_0:0030f7|STRG.18307.1:27-1505|+   -            493 94143at50557         -            358   2.4e-07   29.1   0.6   2   2   2.8e-07   2.2e-05   22.7   0.3   234   342   334   462   279   465 0.67 -
96248at50557_74873_0:000ac6|STRG.15010.1:105-1430|+   -            442 94143at50557         -            358   4.1e-07   28.4   0.0   1   1   8.5e-09   6.5e-07   27.7   0.0   244   341   331   441   318   442 0.76 -
72085at50557_224129_0:0015e5|STRG.1488.1:743-1234|+   -            164 94143at50557         -            358   4.3e-07   28.3   0.0   1   2       1.3     1e+02    0.7   0.0   215   245     3    34     1    44 0.79 -
72085at50557_224129_0:0015e5|STRG.1488.1:743-1234|+   -            164 94143at50557         -            358   4.3e-07   28.3   0.0   2   2   4.6e-08   3.5e-06   25.3   0.0   242   328    50   155    34   163 0.67 -
138762at50557_13249_0:0030f7|STRG.1490.1:158-1576|+   -            473 94143at50557         -            358   4.5e-07   28.2   0.2   1   2       1.5   1.1e+02    0.6   0.0    77   119   101   142    41   158 0.83 -
138762at50557_13249_0:0030f7|STRG.1490.1:158-1576|+   -            473 94143at50557         -            358   4.5e-07   28.2   0.2   2   2   1.8e-07   1.4e-05   23.3   0.1   238   343   320   445   262   452 0.79 -
138762at50557_13249_0:0030f7|STRG.18286.1:9-1487|+    -            493 94143at50557         -            358   4.6e-07   28.2   0.6   1   2       4.4   3.4e+02   -1.0   0.0    78   116   121   158   113   170 0.77 -
138762at50557_13249_0:0030f7|STRG.18286.1:9-1487|+    -            493 94143at50557         -            358   4.6e-07   28.2   0.6   2   2   3.7e-07   2.9e-05   22.3   0.2   234   342   334   462   279   465 0.66 -
138762at50557_13249_0:0030f7|STRG.3789.1:100-1584|+   -            495 94143at50557         -            358   5.4e-07   27.9   0.0   1   2         1        81    1.1   0.1    82   130   124   171   115   177 0.80 -
138762at50557_13249_0:0030f7|STRG.3789.1:100-1584|+   -            495 94143at50557         -            358   5.4e-07   27.9   0.0   2   2   1.1e-07   8.8e-06   24.0   0.0   237   345   339   466   282   473 0.69 -
138762at50557_13249_0:0030f7|STRG.8351.1:413-1837|+   -            475 94143at50557         -            358     6e-07   27.8   0.1   1   2       7.9   6.1e+02   -1.8   0.0    76   114    98   138    90   153 0.59 -
138762at50557_13249_0:0030f7|STRG.8351.1:413-1837|+   -            475 94143at50557         -            358     6e-07   27.8   0.1   2   2   1.1e-06   8.6e-05   20.7   0.0   230   332   315   435   248   450 0.66 -
138762at50557_13249_0:0030f7|STRG.22735.1:119-1576|+  -            486 94143at50557         -            358   9.1e-07   27.2   1.3   1   2       2.6     2e+02   -0.2   0.0    75   116   112   152   108   164 0.79 -
138762at50557_13249_0:0030f7|STRG.22735.1:119-1576|+  -            486 94143at50557         -            358   9.1e-07   27.2   1.3   2   2   5.5e-07   4.3e-05   21.7   0.4   236   342   330   456   272   462 0.64 -
28429at50557_568069_0:004765|STRG.4808.1:49-1728|+    -            560 94143at50557         -            358   1.2e-06   26.8   0.0   1   2       1.6   1.2e+02    0.4   0.0   315   341   262   288   255   295 0.90 -
28429at50557_568069_0:004765|STRG.4808.1:49-1728|+    -            560 94143at50557         -            358   1.2e-06   26.8   0.0   2   2   2.7e-07   2.1e-05   22.7   0.0   244   343   422   536   362   539 0.79 -
138762at50557_13249_0:0030f7|STRG.3792.1:85-1545|+    -            487 94143at50557         -            358   1.4e-06   26.6   0.1   1   2       5.6   4.3e+02   -1.3   0.0    70   130   105   164    55   168 0.76 -
138762at50557_13249_0:0030f7|STRG.3792.1:85-1545|+    -            487 94143at50557         -            358   1.4e-06   26.6   0.1   2   2   6.2e-08   4.8e-06   24.8   0.0   225   344   320   458   284   467 0.72 -
138762at50557_13249_0:0030f7|STRG.1477.1:130-1545|-   -            472 94143at50557         -            358   1.7e-06   26.3   0.1   1   1   2.1e-06   0.00016   19.8   0.0   242   327   323   426   197   447 0.74 -
72085at50557_197043_0:003e79|STRG.1494.1:706-1239|+   -            178 94143at50557         -            358   1.9e-06   26.1   0.0   1   1   4.6e-07   3.5e-05   22.0   0.0   238   327    59   167     1   177 0.77 -
72085at50557_1041015_0:000150|STRG.18063.1:647-1228|+ -            194 94143at50557         -            358   2.6e-06   25.7   0.1   1   1   2.2e-06   0.00017   19.7   0.1   202   307    46   176    31   194 0.73 -
138762at50557_13249_0:0030f7|STRG.1479.1:24-1487|-    -            488 94143at50557         -            358   4.1e-06   25.0   0.1   1   1   1.6e-06   0.00012   20.2   0.0   235   341   320   444   264   455 0.72 -
138762at50557_13249_0:0030f7|STRG.3794.1:48-1505|+    -            486 94143at50557         -            358     7e-06   24.3   0.1   1   2       5.1   3.9e+02   -1.2   0.0    69   131   102   163    61   166 0.76 -
138762at50557_13249_0:0030f7|STRG.3794.1:48-1505|+    -            486 94143at50557         -            358     7e-06   24.3   0.1   2   2   4.1e-07   3.1e-05   22.1   0.0   239   344   332   456   275   462 0.71 -
138762at50557_13249_0:0030f7|STRG.22730.1:794-2260|+  -            489 94143at50557         -            358   1.1e-05   23.7   0.0   1   2       9.8   7.6e+02   -2.1   0.0    92   124   303   335   299   344 0.86 -
