#                                                                                                             --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                         accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                 ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
35897at50557_456900_0:001f92|STRG.4764.1:146-1321|+   -            392 35897at50557         -            554  2.1e-142  474.1   8.8   1   1  3.8e-145  3.1e-142  473.6   8.8   212   554     3   386     1   386 0.89 -
35897at50557_136037_0:00227d|STRG.14724.6:483-1979|+  -            499 35897at50557         -            554   9.5e-15   52.7  17.2   2   5   1.5e-06    0.0013   16.0   0.6   250   359   118   235   114   244 0.77 -
35897at50557_136037_0:00227d|STRG.14724.6:483-1979|+  -            499 35897at50557         -            554   9.5e-15   52.7  17.2   3   5   0.00043      0.35    8.0   0.9   291   343   242   298   237   303 0.84 -
35897at50557_136037_0:00227d|STRG.14724.6:483-1979|+  -            499 35897at50557         -            554   9.5e-15   52.7  17.2   4   5   5.1e-05     0.041   11.0   0.0   246   308   326   390   321   398 0.71 -
35897at50557_136037_0:00227d|STRG.14724.6:483-1979|+  -            499 35897at50557         -            554   9.5e-15   52.7  17.2   5   5   1.6e-05     0.013   12.7   0.1   272   344   421   498   391   499 0.78 -
35897at50557_29031_0:00079e|STRG.2242.1:803-2221|+    -            473 35897at50557         -            554   1.7e-13   48.6   0.2   1   3   0.00056      0.45    7.6   0.0   304   357    51   110    35   119 0.52 -
35897at50557_29031_0:00079e|STRG.2242.1:803-2221|+    -            473 35897at50557         -            554   1.7e-13   48.6   0.2   2   3   2.5e-08     2e-05   22.0   0.0    48   110   118   181   113   264 0.88 -
35897at50557_29031_0:00079e|STRG.2242.1:803-2221|+    -            473 35897at50557         -            554   1.7e-13   48.6   0.2   3   3   1.9e-06    0.0016   15.7   0.1   258   342   338   431   328   437 0.79 -
35897at50557_29031_0:00079e|STRG.2242.2:492-1910|+    -            473 35897at50557         -            554   1.7e-13   48.6   0.2   1   3   0.00056      0.45    7.6   0.0   304   357    51   110    35   119 0.52 -
35897at50557_29031_0:00079e|STRG.2242.2:492-1910|+    -            473 35897at50557         -            554   1.7e-13   48.6   0.2   2   3   2.5e-08     2e-05   22.0   0.0    48   110   118   181   113   264 0.88 -
35897at50557_29031_0:00079e|STRG.2242.2:492-1910|+    -            473 35897at50557         -            554   1.7e-13   48.6   0.2   3   3   1.9e-06    0.0016   15.7   0.1   258   342   338   431   328   437 0.79 -
35897at50557_29031_0:00079e|STRG.2242.3:504-1922|+    -            473 35897at50557         -            554   1.7e-13   48.6   0.2   1   3   0.00056      0.45    7.6   0.0   304   357    51   110    35   119 0.52 -
35897at50557_29031_0:00079e|STRG.2242.3:504-1922|+    -            473 35897at50557         -            554   1.7e-13   48.6   0.2   2   3   2.5e-08     2e-05   22.0   0.0    48   110   118   181   113   264 0.88 -
35897at50557_29031_0:00079e|STRG.2242.3:504-1922|+    -            473 35897at50557         -            554   1.7e-13   48.6   0.2   3   3   1.9e-06    0.0016   15.7   0.1   258   342   338   431   328   437 0.79 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/justine/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/35897at50557.hmm
# Target file:     annotation_analysis/annotation_gca/T_cornetzi/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas
# Option settings: hmmsearch --domtblout annotation_analysis/annotation_gca/T_cornetzi/busco_output/run_insecta_odb10/hmmer_output/initial_run_results/35897at50557.out --cpu 1 /home/justine/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/35897at50557.hmm annotation_analysis/annotation_gca/T_cornetzi/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas 
# Current dir:     /home/justine/projet_tutore
# Date:            Sun Dec  1 22:16:59 2024
# [ok]
