#                                                                                                              --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                          accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                  ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
107216at50557_6973_0:00524c|STRG.20984.1:1-273|-       -             91 107216at50557        -            149   8.8e-51  170.4   0.2   1   1   1.6e-52   9.8e-51  170.3   0.2    55   138     1    91     1    91 0.96 -
109573at50557_103372_0:0023c7|STRG.24272.1:0-653|+     -            218 107216at50557        -            149   9.9e-34  115.1   0.2   1   2     3e-05    0.0019   16.8   0.1     3    31     6    31     4    39 0.90 -
109573at50557_103372_0:0023c7|STRG.24272.1:0-653|+     -            218 107216at50557        -            149   9.9e-34  115.1   0.2   2   2   8.2e-30   5.1e-28   96.6   0.0    24   144    48   179    33   183 0.82 -
104262at50557_103372_0:002a03|STRG.2103.1:166-825|+    -            220 107216at50557        -            149   2.3e-33  113.9   3.2   1   2   0.00011    0.0071   15.0   0.1     2    27    13    38    12    52 0.90 -
104262at50557_103372_0:002a03|STRG.2103.1:166-825|+    -            220 107216at50557        -            149   2.3e-33  113.9   3.2   2   2     1e-30   6.2e-29   99.5   0.8    29   141    60   179    42   185 0.88 -
106023at50557_456900_0:0019f7|STRG.8622.2:0-641|+      -            214 107216at50557        -            149   5.9e-31  106.1   1.5   1   1   8.1e-30   5.1e-28   96.6   1.5     7   137    21   178    17   185 0.79 -
106023at50557_34720_0:001fd2|STRG.8622.1:919-1578|+    -            220 107216at50557        -            149   6.5e-31  105.9   1.5   1   1   8.9e-30   5.5e-28   96.4   1.5     7   137    27   184    23   191 0.79 -
109573at50557_7004_0:003472|STRG.13165.2:144-521|+     -            126 107216at50557        -            149   3.2e-30  103.7   0.4   1   1   6.1e-32   3.8e-30  103.5   0.4    45   144     1   107     1   111 0.92 -
104262at50557_29053_0:001062|STRG.2854.2:3-623|+       -            207 107216at50557        -            149     9e-30  102.2   0.7   1   2   0.00024     0.015   13.9   0.1     2    27     1    26     1    53 0.82 -
104262at50557_29053_0:001062|STRG.2854.2:3-623|+       -            207 107216at50557        -            149     9e-30  102.2   0.7   2   2   4.3e-27   2.7e-25   87.7   0.1    31   142    55   174    27   179 0.81 -
104262at50557_132113_0:00109a|STRG.9789.2:3-431|+      -            143 107216at50557        -            149   3.5e-28   97.1   0.4   1   1   7.9e-30   4.9e-28   96.6   0.4    26   133    30   143     1   143 0.88 -
104262at50557_28612_0:0030d7|STRG.10720.3:135-857|+    -            219 107216at50557        -            149     7e-28   96.1   0.9   1   2   0.00036     0.023   13.3   0.0     2    27     5    30     2    46 0.87 -
104262at50557_28612_0:0030d7|STRG.10720.3:135-857|+    -            219 107216at50557        -            149     7e-28   96.1   0.9   2   2     3e-25   1.9e-23   81.7   0.2    27   141    50   171    37   175 0.86 -
104262at50557_411798_0:001745|STRG.10720.1:188-832|+   -            215 107216at50557        -            149   1.4e-27   95.1   0.8   1   2     0.001     0.063   11.9   0.0     3    27     2    26     1    32 0.90 -
104262at50557_411798_0:001745|STRG.10720.1:188-832|+   -            215 107216at50557        -            149   1.4e-27   95.1   0.8   2   2   2.7e-25   1.7e-23   81.9   0.2    27   141    46   167    30   171 0.86 -
104262at50557_411798_0:001745|STRG.10720.2:147-791|+   -            215 107216at50557        -            149   1.4e-27   95.1   0.8   1   2     0.001     0.063   11.9   0.0     3    27     2    26     1    32 0.90 -
104262at50557_411798_0:001745|STRG.10720.2:147-791|+   -            215 107216at50557        -            149   1.4e-27   95.1   0.8   2   2   2.7e-25   1.7e-23   81.9   0.2    27   141    46   167    30   171 0.86 -
109797at50557_83485_0:000ec1|STRG.19056.1:0-887|+      -            296 107216at50557        -            149   3.4e-26   90.6   0.0   1   1   1.2e-25   7.5e-24   83.0   0.0     2   135    16   173    15   181 0.83 -
106023at50557_37001_0:0016d5|STRG.21730.3:3-512|+      -            170 107216at50557        -            149   4.2e-25   87.1   0.0   1   2   7.3e-05    0.0046   15.6   0.1     4    38     5    39     2    46 0.78 -
106023at50557_37001_0:0016d5|STRG.21730.3:3-512|+      -            170 107216at50557        -            149   4.2e-25   87.1   0.0   2   2   1.5e-21   9.5e-20   69.7   0.0    27   136    48   168    42   170 0.84 -
106023at50557_7176_0:002083|STRG.21730.2:639-1157|+    -            173 107216at50557        -            149   4.5e-25   87.0   0.0   1   2   7.3e-05    0.0046   15.6   0.1     4    38     8    42     5    50 0.78 -
106023at50557_7176_0:002083|STRG.21730.2:639-1157|+    -            173 107216at50557        -            149   4.5e-25   87.0   0.0   2   2   1.4e-21   8.8e-20   69.8   0.0    27   136    51   171    42   173 0.83 -
129498at50557_166361_0:0004c6|STRG.16916.2:185-733|+   -            183 107216at50557        -            149   4.8e-25   86.9   1.0   1   2     0.052       3.3    6.3   0.0     8    29     1    22     1    38 0.78 -
129498at50557_166361_0:0004c6|STRG.16916.2:185-733|+   -            183 107216at50557        -            149   4.8e-25   86.9   1.0   2   2     1e-24   6.2e-23   80.1   0.2    27   146    38   164    26   166 0.89 -
106023at50557_104688_0:002b29|STRG.21730.1:69-605|+    -            179 107216at50557        -            149   5.3e-25   86.8   0.0   1   2     8e-05     0.005   15.5   0.1     4    38    14    48    11    55 0.78 -
106023at50557_104688_0:002b29|STRG.21730.1:69-605|+    -            179 107216at50557        -            149   5.3e-25   86.8   0.0   2   2   1.6e-21   9.8e-20   69.7   0.0    27   136    57   177    48   179 0.83 -
108755at50557_7130_0:000dd5|STRG.915.3:6-449|+         -            148 107216at50557        -            149     6e-24   83.3   0.1   1   1   1.2e-25   7.2e-24   83.1   0.1    27   137    12   129     4   139 0.87 -
108755at50557_178035_0:0020de|STRG.915.1:152-1049|+    -            187 107216at50557        -            149   8.2e-24   82.9   0.6   1   1     3e-25   1.9e-23   81.7   0.4    27   137    32   149    22   158 0.87 -
108755at50557_178035_0:0020de|STRG.915.2:1-555|+       -            185 107216at50557        -            149     1e-23   82.6   0.2   1   1   2.1e-25   1.3e-23   82.3   0.2    27   137    30   147     4   156 0.88 -
129498at50557_103372_0:001a9c|STRG.21646.1:1126-1903|+ -            233 107216at50557        -            149   2.7e-23   81.2   1.0   1   2      0.02       1.2    7.7   0.0     5    27    10    32     7    48 0.81 -
129498at50557_103372_0:001a9c|STRG.21646.1:1126-1903|+ -            233 107216at50557        -            149   2.7e-23   81.2   1.0   2   2   2.1e-22   1.3e-20   72.5   0.2    27   142    52   174    41   181 0.86 -
129498at50557_103372_0:001a9c|STRG.21646.2:0-698|+     -            233 107216at50557        -            149   2.8e-23   81.2   1.0   1   2      0.02       1.2    7.7   0.0     5    27    10    32     7    48 0.81 -
129498at50557_103372_0:001a9c|STRG.21646.2:0-698|+     -            233 107216at50557        -            149   2.8e-23   81.2   1.0   2   2   2.2e-22   1.4e-20   72.4   0.2    27   142    52   174    41   181 0.86 -
129498at50557_166361_0:0004c6|STRG.16916.4:3-524|+     -            174 107216at50557        -            149   3.3e-23   80.9   0.1   1   1   7.5e-25   4.6e-23   80.5   0.1    27   146    29   155    15   157 0.89 -
106023at50557_7038_0:002188|STRG.16916.3:297-839|+     -            181 107216at50557        -            149   4.2e-23   80.6   0.5   1   2      0.71        44    2.6   0.0     9    29    25    45    20    60 0.72 -
106023at50557_7038_0:002188|STRG.16916.3:297-839|+     -            181 107216at50557        -            149   4.2e-23   80.6   0.5   2   2   9.3e-24   5.8e-22   76.9   0.2    27   136    61   177    48   181 0.87 -
129498at50557_7222_0:00242d|STRG.16916.1:367-827|+     -            151 107216at50557        -            149   1.8e-21   75.3   0.4   1   1   3.6e-22   2.2e-20   71.8   0.4     8   133     5   151     2   151 0.76 -
107216at50557_121225_0:0005b8|STRG.20985.1:2-205|-     -             68 107216at50557        -            149   8.2e-21   73.2   1.6   1   1   7.4e-19   4.6e-17   61.0   1.6     7    54     1    68     1    68 0.85 -
108271at50557_64793_0:001833|STRG.23319.3:0-602|+      -            201 107216at50557        -            149   9.4e-21   73.0   0.3   1   1   2.3e-20   1.4e-18   65.9   0.3    25   141    49   173     7   181 0.77 -
108271at50557_64793_0:001833|STRG.23319.2:655-1272|+   -            206 107216at50557        -            149     1e-20   72.8   0.3   1   1   2.5e-20   1.6e-18   65.8   0.3    25   141    54   178    12   186 0.77 -
108271at50557_64793_0:001833|STRG.23319.1:74-697|+     -            208 107216at50557        -            149   1.1e-20   72.8   0.3   1   1   2.6e-20   1.6e-18   65.7   0.3    25   141    56   180    14   188 0.77 -
104262at50557_178035_0:0010ce|STRG.11564.1:158-469|+   -            104 107216at50557        -            149   2.9e-20   71.4   0.2   1   1   9.8e-20   6.1e-18   63.9   0.2    27    83    41    99     1   102 0.80 -
129498at50557_307491_0:002504|STRG.6440.1:5439-6320|+  -            191 107216at50557        -            149   1.3e-19   69.3   0.8   1   1   6.7e-19   4.2e-17   61.1   0.8     7   138     1   162     1   168 0.72 -
107216at50557_51655_0:0016fc|STRG.6522.1:601-1104|+    -            168 107216at50557        -            149   1.8e-19   68.8   0.0   1   2   0.00016    0.0098   14.5   0.0     5    27     7    29     3    46 0.86 -
107216at50557_51655_0:0016fc|STRG.6522.1:601-1104|+    -            168 107216at50557        -            149   1.8e-19   68.8   0.0   2   2   2.9e-16   1.8e-14   52.6   0.0    27   133    49   168    41   168 0.79 -
108271at50557_28612_0:005172|STRG.18922.2:234-803|+    -            190 107216at50557        -            149     3e-19   68.1   0.4   1   1     1e-18   6.3e-17   60.6   0.4     7   140     4   165     1   169 0.76 -
108271at50557_28612_0:005172|STRG.18922.1:247-720|+    -            158 107216at50557        -            149   6.7e-18   63.7   0.3   1   2    0.0029      0.18   10.4   0.1     6    27     3    24     1    43 0.87 -
108271at50557_28612_0:005172|STRG.18922.1:247-720|+    -            158 107216at50557        -            149   6.7e-18   63.7   0.3   2   2   3.3e-16     2e-14   52.4   0.0    28   133    44   158    22   158 0.85 -
129498at50557_37001_0:002409|STRG.21070.2:15-705|+     -            186 107216at50557        -            149   1.7e-17   62.4   0.9   1   1   2.2e-17   1.4e-15   56.2   0.9    24   103    36   116     1   167 0.72 -
129498at50557_37001_0:002409|STRG.21070.1:15-587|+     -            191 107216at50557        -            149   2.1e-17   62.1   0.9   1   2      0.13       8.3    5.0   0.0     7    27     2    22     1    30 0.90 -
129498at50557_37001_0:002409|STRG.21070.1:15-587|+     -            191 107216at50557        -            149   2.1e-17   62.1   0.9   2   2   3.7e-17   2.3e-15   55.5   0.3    25   103    42   121    33   171 0.78 -
108755at50557_121225_0:0004e7|STRG.11232.1:310-801|+   -            164 107216at50557        -            149   4.8e-17   61.0   0.1   1   2   0.00072     0.045   12.4   0.0     7    49     4    46     2    52 0.87 -
108755at50557_121225_0:0004e7|STRG.11232.1:310-801|+   -            164 107216at50557        -            149   4.8e-17   61.0   0.1   2   2   1.5e-14   9.2e-13   47.0   0.0    36   103    53   122    44   148 0.85 -
104262at50557_64793_0:001dc9|STRG.10063.2:2031-2738|+  -            236 107216at50557        -            149   5.2e-17   60.8   0.0   1   2     0.016         1    7.9   0.0     3    37    29    63    27    70 0.83 -
104262at50557_64793_0:001dc9|STRG.10063.2:2031-2738|+  -            236 107216at50557        -            149   5.2e-17   60.8   0.0   2   2     1e-15   6.2e-14   50.8   0.0    33   141    80   201    62   208 0.78 -
108755at50557_326594_0:001f82|STRG.11232.2:249-707|+   -            153 107216at50557        -            149   5.2e-17   60.8   0.0   1   2   0.00054     0.034   12.8   0.0     6    49    22    65    19    71 0.87 -
108755at50557_326594_0:001f82|STRG.11232.2:249-707|+   -            153 107216at50557        -            149   5.2e-17   60.8   0.0   2   2     2e-14   1.2e-12   46.6   0.0    36   102    72   140    62   151 0.87 -
104262at50557_88501_0:0010fe|STRG.10063.3:311-868|+    -            186 107216at50557        -            149   6.4e-17   60.5   0.0   1   2     0.011       0.7    8.5   0.0     3    37    15    49    13    56 0.84 -
104262at50557_88501_0:0010fe|STRG.10063.3:311-868|+    -            186 107216at50557        -            149   6.4e-17   60.5   0.0   2   2   1.4e-15   8.5e-14   50.4   0.0    33   137    66   183    48   186 0.77 -
104262at50557_88501_0:0010fe|STRG.10063.1:190-765|+    -            192 107216at50557        -            149   7.2e-17   60.4   0.0   1   2     0.012      0.74    8.4   0.0     3    37    21    55    19    62 0.84 -
104262at50557_88501_0:0010fe|STRG.10063.1:190-765|+    -            192 107216at50557        -            149   7.2e-17   60.4   0.0   2   2   1.5e-15   9.3e-14   50.3   0.0    33   137    72   189    54   192 0.77 -
108271at50557_166361_0:003235|STRG.16131.1:301-855|+   -            185 107216at50557        -            149     8e-17   60.2   0.5   1   2      0.71        44    2.6   0.1     7    25     1    19     1    33 0.85 -
108271at50557_166361_0:003235|STRG.16131.1:301-855|+   -            185 107216at50557        -            149     8e-17   60.2   0.5   2   2   2.5e-17   1.6e-15   56.0   0.0    26   142    39   163    32   167 0.86 -
108271at50557_166361_0:003235|STRG.16131.2:9-563|+     -            185 107216at50557        -            149     8e-17   60.2   0.5   1   2      0.71        44    2.6   0.1     7    25     1    19     1    33 0.85 -
108271at50557_166361_0:003235|STRG.16131.2:9-563|+     -            185 107216at50557        -            149     8e-17   60.2   0.5   2   2   2.5e-17   1.6e-15   56.0   0.0    26   142    39   163    32   167 0.86 -
129498at50557_7493_0:00132e|STRG.9199.1:27-503|+       -            159 107216at50557        -            149   1.2e-16   59.7   0.1   1   2      0.12       7.7    5.1   0.0     7    26     1    20     1    37 0.80 -
129498at50557_7493_0:00132e|STRG.9199.1:27-503|+       -            159 107216at50557        -            149   1.2e-16   59.7   0.1   2   2   2.3e-16   1.4e-14   52.9   0.0    34   133    48   151    37   157 0.87 -
129498at50557_7493_0:00132e|STRG.9199.2:380-856|+      -            159 107216at50557        -            149   1.2e-16   59.7   0.1   1   2      0.12       7.7    5.1   0.0     7    26     1    20     1    37 0.80 -
129498at50557_7493_0:00132e|STRG.9199.2:380-856|+      -            159 107216at50557        -            149   1.2e-16   59.7   0.1   2   2   2.3e-16   1.4e-14   52.9   0.0    34   133    48   151    37   157 0.87 -
129498at50557_7493_0:00132e|STRG.9199.3:1385-1861|+    -            159 107216at50557        -            149   1.2e-16   59.7   0.1   1   2      0.12       7.7    5.1   0.0     7    26     1    20     1    37 0.80 -
129498at50557_7493_0:00132e|STRG.9199.3:1385-1861|+    -            159 107216at50557        -            149   1.2e-16   59.7   0.1   2   2   2.3e-16   1.4e-14   52.9   0.0    34   133    48   151    37   157 0.87 -
129498at50557_7493_0:00132e|STRG.9199.4:993-1469|+     -            159 107216at50557        -            149   1.2e-16   59.7   0.1   1   2      0.12       7.7    5.1   0.0     7    26     1    20     1    37 0.80 -
129498at50557_7493_0:00132e|STRG.9199.4:993-1469|+     -            159 107216at50557        -            149   1.2e-16   59.7   0.1   2   2   2.3e-16   1.4e-14   52.9   0.0    34   133    48   151    37   157 0.87 -
108271at50557_7200_0:001897|STRG.16131.3:313-792|+     -            160 107216at50557        -            149   3.3e-16   58.2   0.3   1   1   9.8e-17   6.1e-15   54.1   0.3    25   137    38   158     1   160 0.84 -
108271at50557_7460_0:001bde|STRG.9703.1:714-1249|+     -            163 107216at50557        -            149   9.7e-16   56.7   0.1   1   1   2.6e-15   1.6e-13   49.5   0.1     7   140     2   159     1   162 0.74 -
108271at50557_43151_0:001e01|STRG.2259.1:39-596|+      -            186 107216at50557        -            149   1.7e-15   55.9   0.3   1   1   7.2e-16   4.5e-14   51.3   0.3    29   140    42   160     1   168 0.78 -
108271at50557_224129_0:0005ad|STRG.11743.1:9-551|+     -            181 107216at50557        -            149     3e-15   55.1   1.2   1   1   1.2e-14   7.3e-13   47.4   1.2    25   148    38   169     1   170 0.79 -
107216at50557_1155016_0:002124|STRG.15417.1:2-226|+    -             75 107216at50557        -            149   7.1e-15   53.9   0.0   1   1   1.3e-16     8e-15   53.7   0.0    56   123     1    75     1    75 0.91 -
104262at50557_132113_0:00109a|STRG.4787.1:599-1147|+   -            183 107216at50557        -            149   7.8e-15   53.8   0.2   1   2      0.01      0.63    8.6   0.0     2    28     9    35     8    50 0.80 -
104262at50557_132113_0:00109a|STRG.4787.1:599-1147|+   -            183 107216at50557        -            149   7.8e-15   53.8   0.2   2   2   1.7e-13     1e-11   43.6   0.0    27   109    54   137    43   177 0.79 -
104262at50557_132113_0:00109a|STRG.4787.3:599-1147|+   -            183 107216at50557        -            149   7.8e-15   53.8   0.2   1   2      0.01      0.63    8.6   0.0     2    28     9    35     8    50 0.80 -
104262at50557_132113_0:00109a|STRG.4787.3:599-1147|+   -            183 107216at50557        -            149   7.8e-15   53.8   0.2   2   2   1.7e-13     1e-11   43.6   0.0    27   109    54   137    43   177 0.79 -
108271at50557_40932_0:00088c|STRG.9703.2:144-644|+     -            167 107216at50557        -            149     1e-14   53.4   0.1   1   2     0.017         1    7.9   0.1     7    26     2    21     1    35 0.89 -
108271at50557_40932_0:00088c|STRG.9703.2:144-644|+     -            167 107216at50557        -            149     1e-14   53.4   0.1   2   2   1.4e-13   8.5e-12   43.9   0.0    27   140    41   162    30   165 0.83 -
107216at50557_51655_0:0016fc|STRG.4787.2:614-985|+     -            124 107216at50557        -            149   2.1e-14   52.4   0.2   1   2    0.0049      0.31    9.6   0.0     2    28     4    30     3    47 0.80 -
107216at50557_51655_0:0016fc|STRG.4787.2:614-985|+     -            124 107216at50557        -            149   2.1e-14   52.4   0.2   2   2   7.9e-13   4.9e-11   41.4   0.0    27   101    49   124    41   124 0.82 -
108755at50557_28612_0:002c6d|STRG.19337.1:27-620|+     -            198 107216at50557        -            149   2.3e-13   49.0   0.1   1   2      0.24        15    4.2   0.0     8    27     1    20     1    31 0.90 -
108755at50557_28612_0:002c6d|STRG.19337.1:27-620|+     -            198 107216at50557        -            149   2.3e-13   49.0   0.1   2   2   2.3e-13   1.5e-11   43.1   0.0    16   106    33   122    24   172 0.78 -
108271at50557_197043_0:002be2|STRG.2933.2:12-521|+     -            170 107216at50557        -            149   3.9e-13   48.3   0.3   1   2      0.13       8.3    5.0   0.1     8    27     1    20     1    27 0.91 -
108271at50557_197043_0:002be2|STRG.2933.2:12-521|+     -            170 107216at50557        -            149   3.9e-13   48.3   0.3   2   2   7.1e-13   4.4e-11   41.6   0.0    25   140    37   160    30   166 0.85 -
104262at50557_6973_0:00268c|STRG.2854.1:419-924|+      -            163 107216at50557        -            149   3.3e-12   45.2   0.5   1   2   0.00016      0.01   14.4   0.1     2    27     1    26     1    51 0.82 -
104262at50557_6973_0:00268c|STRG.2854.1:419-924|+      -            163 107216at50557        -            149   3.3e-12   45.2   0.5   2   2   4.2e-09   2.6e-07   29.3   0.0    91   142    74   130    50   135 0.81 -
115559at50557_103372_0:001d92|STRG.8886.3:0-545|+      -            182 107216at50557        -            149   2.3e-11   42.5   0.8   1   2       5.5   3.4e+02   -0.3   0.0     8    27     7    26     5    44 0.83 -
115559at50557_103372_0:001d92|STRG.8886.3:0-545|+      -            182 107216at50557        -            149   2.3e-11   42.5   0.8   2   2   1.1e-12     7e-11   40.9   0.3    29   143    47   169    36   175 0.85 -
41766at50557_286306_0:004435|STRG.6952.4:666-4248|+    -            459 107216at50557        -            149   2.3e-11   42.5   0.3   1   2     0.012      0.72    8.4   0.0     7    27   233   253   227   270 0.86 -
41766at50557_286306_0:004435|STRG.6952.4:666-4248|+    -            459 107216at50557        -            149   2.3e-11   42.5   0.3   2   2   9.7e-10   6.1e-08   31.4   0.0    33   129   280   386   265   405 0.81 -
115559at50557_286306_0:000620|STRG.8886.1:150-755|+    -            202 107216at50557        -            149   3.2e-11   42.0   0.8   1   2       6.4     4e+02   -0.5   0.0     8    27    28    47    26    65 0.83 -
115559at50557_286306_0:000620|STRG.8886.1:150-755|+    -            202 107216at50557        -            149   3.2e-11   42.0   0.8   2   2   1.3e-12   8.3e-11   40.7   0.3    29   143    68   190    47   196 0.86 -
115559at50557_286306_0:000620|STRG.8886.2:157-762|+    -            202 107216at50557        -            149   3.2e-11   42.0   0.8   1   2       6.4     4e+02   -0.5   0.0     8    27    28    47    26    65 0.83 -
115559at50557_286306_0:000620|STRG.8886.2:157-762|+    -            202 107216at50557        -            149   3.2e-11   42.0   0.8   2   2   1.3e-12   8.3e-11   40.7   0.3    29   143    68   190    47   196 0.86 -
41766at50557_286306_0:004435|STRG.6952.3:462-4175|+    -            553 107216at50557        -            149   3.9e-11   41.8   0.2   1   1   3.6e-10   2.2e-08   32.8   0.1     7   129   327   480   321   495 0.70 -
41766at50557_535359_0:0018b4|STRG.6952.3:185-4175|+    -            637 107216at50557        -            149   5.6e-11   41.2   0.2   1   2     0.017       1.1    7.9   0.0     7    27   411   431   405   448 0.86 -
41766at50557_535359_0:0018b4|STRG.6952.3:185-4175|+    -            637 107216at50557        -            149   5.6e-11   41.2   0.2   2   2     2e-09   1.2e-07   30.4   0.0    33   129   458   564   449   579 0.81 -
140221at50557_568069_0:001a32|STRG.5112.1:100-564|+    -            155 107216at50557        -            149   5.7e-11   41.2   0.0   1   2         2   1.3e+02    1.1   0.0     8    27     1    20     1    26 0.89 -
140221at50557_568069_0:001a32|STRG.5112.1:100-564|+    -            155 107216at50557        -            149   5.7e-11   41.2   0.0   2   2   8.7e-12   5.4e-10   38.0   0.0    27   103    39   117    26   130 0.84 -
140221at50557_568069_0:001a32|STRG.5112.2:696-1160|+   -            155 107216at50557        -            149   5.7e-11   41.2   0.0   1   2         2   1.3e+02    1.1   0.0     8    27     1    20     1    26 0.89 -
140221at50557_568069_0:001a32|STRG.5112.2:696-1160|+   -            155 107216at50557        -            149   5.7e-11   41.2   0.0   2   2   8.7e-12   5.4e-10   38.0   0.0    27   103    39   117    26   130 0.84 -
140221at50557_568069_0:001a32|STRG.5112.3:235-699|+    -            155 107216at50557        -            149   5.7e-11   41.2   0.0   1   2         2   1.3e+02    1.1   0.0     8    27     1    20     1    26 0.89 -
