#                                                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
75144at50557_34720_0:000d74|STRG.14406.1:0-1172|+    -            391 75144at50557         -            307  5.9e-148  490.7   1.1   1   1  8.2e-149  2.8e-146  485.2   1.1     1   307     7   381     7   381 0.87 -
75144at50557_28612_0:003734|STRG.4219.1:247-1374|+   -            376 75144at50557         -            307   4.9e-60  202.0   0.0   1   1   1.1e-60   3.6e-58  195.8   0.0     1   307    10   367    10   367 0.80 -
75144at50557_28612_0:003734|STRG.4219.2:0-1127|+     -            376 75144at50557         -            307   4.9e-60  202.0   0.0   1   1   1.1e-60   3.6e-58  195.8   0.0     1   307    10   367    10   367 0.80 -
75144at50557_28612_0:003734|STRG.22087.2:386-1375|+  -            330 75144at50557         -            307   3.4e-56  189.4   0.0   1   1   8.4e-57   2.8e-54  183.0   0.0     1   281    10   321    10   329 0.85 -
75144at50557_28612_0:003734|STRG.22087.1:9-986|+     -            326 75144at50557         -            307   4.2e-56  189.0   0.0   1   1   1.2e-56     4e-54  182.6   0.0    29   307     3   317     1   317 0.84 -
75144at50557_28612_0:003734|STRG.3208.1:147-1327|+   -            367 75144at50557         -            307   1.3e-43  148.0   0.0   1   1   5.4e-45   1.8e-42  144.2   0.0     1   297     4   339     4   358 0.79 -
75144at50557_28612_0:003734|STRG.3208.2:18-1031|+    -            338 75144at50557         -            307   1.3e-41  141.5   0.0   1   1   4.5e-43   1.5e-40  137.9   0.0    32   297    18   310    10   329 0.82 -
57613at50557_610380_0:00141b|STRG.13319.1:57-1398|+  -            341 75144at50557         -            307   5.6e-40  136.1   0.1   1   2   1.3e-40   4.4e-38  129.9   0.0    33   279     3   272     1   285 0.82 -
57613at50557_610380_0:00141b|STRG.13319.1:57-1398|+  -            341 75144at50557         -            307   5.6e-40  136.1   0.1   2   2      0.43   1.5e+02    0.1   0.0   293   307   315   329   276   329 0.84 -
52703at50557_103372_0:001b91|STRG.15608.1:0-1250|+   -            417 75144at50557         -            307   8.8e-26   89.5   0.1   1   1   1.3e-26   4.2e-24   83.9   0.1    33   280    61   343    40   353 0.74 -
75144at50557_28612_0:003734|STRG.2512.1:136-717|+    -            194 75144at50557         -            307   3.2e-20   71.2   0.0   1   1   1.1e-22   3.7e-20   71.0   0.0     1   161     9   193     9   194 0.77 -
75144at50557_7539_0:003503|STRG.22762.1:213-1502|+   -            430 75144at50557         -            307   4.1e-19   67.5   0.1   1   3   3.7e-15   1.2e-12   46.3   0.0    53   145    87   187    78   213 0.86 -
75144at50557_7539_0:003503|STRG.22762.1:213-1502|+   -            430 75144at50557         -            307   4.1e-19   67.5   0.1   2   3    0.0059         2    6.2   0.0   225   244   297   316   256   327 0.86 -
75144at50557_7539_0:003503|STRG.22762.1:213-1502|+   -            430 75144at50557         -            307   4.1e-19   67.5   0.1   3   3   0.00018     0.062   11.1   0.0   240   283   334   378   329   422 0.80 -
75144at50557_7539_0:003503|STRG.19019.1:24-1256|+    -            411 75144at50557         -            307     6e-18   63.7   0.1   1   2     4e-14   1.3e-11   42.9   0.0    53   161    75   196    59   213 0.82 -
75144at50557_7539_0:003503|STRG.19019.1:24-1256|+    -            411 75144at50557         -            307     6e-18   63.7   0.1   2   2   5.7e-06    0.0019   16.1   0.0   239   307   316   405   282   405 0.70 -
52703at50557_1155016_0:00193c|STRG.23201.1:51-1058|+ -            336 75144at50557         -            307   3.6e-12   44.7   0.0   1   2   9.5e-10   3.2e-07   28.5   0.0     2   188     2   187     1   198 0.69 -
52703at50557_1155016_0:00193c|STRG.23201.1:51-1058|+ -            336 75144at50557         -            307   3.6e-12   44.7   0.0   2   2   5.4e-05     0.018   12.9   0.0   252   281   258   287   238   311 0.88 -
57613at50557_7536_0:002bce|STRG.2512.1:1600-1956|+   -            119 75144at50557         -            307   2.5e-11   42.0   0.0   1   1   9.8e-12   3.3e-09   35.0   0.0   223   286     2    81     1   119 0.66 -
75144at50557_132113_0:003254|STRG.24270.1:792-1577|+ -            262 75144at50557         -            307   1.3e-09   36.4   0.0   1   1   4.6e-12   1.5e-09   36.1   0.0    65   283     3   247     1   259 0.75 -
150643at50557_315563_0:0000a6|STRG.4217.1:904-1200|+ -             99 75144at50557         -            307   1.7e-06   26.1   0.0   1   1   1.1e-08   3.7e-06   25.0   0.0   251   307    17    90     5    90 0.73 -
45419at50557_51655_0:002e4f|STRG.19776.5:2362-2616|+ -             85 75144at50557         -            307     0.025   12.4   0.0   1   1   7.5e-05     0.025   12.4   0.0    85   132     2    49     1    81 0.73 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/justine/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/75144at50557.hmm
# Target file:     annotation_analysis/annotation_gca/T_cornetzi/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas
# Option settings: hmmsearch --domtblout annotation_analysis/annotation_gca/T_cornetzi/busco_output/run_insecta_odb10/hmmer_output/initial_run_results/75144at50557.out --cpu 1 /home/justine/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/75144at50557.hmm annotation_analysis/annotation_gca/T_cornetzi/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas 
# Current dir:     /home/justine/projet_tutore
# Date:            Sun Dec  1 22:19:51 2024
# [ok]
