#                                                                                                             --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                         accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                 ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
108301at50557_103372_0:000620|STRG.14014.1:0-800|+    -            267 108301at50557        -            228  1.4e-109  363.7  12.3   1   1  8.7e-112  1.7e-109  363.4  12.3     1   227    13   266    13   267 0.98 -
35300at50557_103372_0:000d33|STRG.4489.1:1-432|+      -            144 108301at50557        -            228   1.2e-05   23.7   2.2   1   2     1e-06    0.0002   19.7   1.1    91   132    23    64     3    83 0.71 -
35300at50557_103372_0:000d33|STRG.4489.1:1-432|+      -            144 108301at50557        -            228   1.2e-05   23.7   2.2   2   2     0.067        13    3.9   0.0    65   107    70   110    65   115 0.73 -
57156at50557_197043_0:0019bd|STRG.7582.1:489-806|+    -            106 108301at50557        -            228   0.00011   20.6   0.0   1   1     6e-07   0.00012   20.4   0.0    62   163     2    98     1   106 0.86 -
89121at50557_34720_0:000746|STRG.21194.3:127-996|+    -            290 108301at50557        -            228     0.029   12.6   0.1   1   2      0.53     1e+02    1.0   0.1    52    86    99   133    80   211 0.64 -
89121at50557_34720_0:000746|STRG.21194.3:127-996|+    -            290 108301at50557        -            228     0.029   12.6   0.1   2   2    0.0013      0.27    9.5   0.0   104   155   214   265   183   272 0.79 -
89121at50557_34720_0:000746|STRG.21194.4:127-996|+    -            290 108301at50557        -            228     0.029   12.6   0.1   1   2      0.53     1e+02    1.0   0.1    52    86    99   133    80   211 0.64 -
89121at50557_34720_0:000746|STRG.21194.4:127-996|+    -            290 108301at50557        -            228     0.029   12.6   0.1   2   2    0.0013      0.27    9.5   0.0   104   155   214   265   183   272 0.79 -
65980at50557_103372_0:0003b3|STRG.14599.2:135-1308|+  -            333 108301at50557        -            228     0.071   11.4   0.1   1   1   0.00089      0.18   10.1   0.0   106   167   252   313   248   322 0.93 -
65980at50557_103372_0:0003b3|STRG.14599.3:135-1479|+  -            333 108301at50557        -            228     0.071   11.4   0.1   1   1   0.00089      0.18   10.1   0.0   106   167   252   313   248   322 0.93 -
27499at50557_35570_0:0022cb|STRG.7094.1:1200-2708|+   -            503 108301at50557        -            228       2.7    6.2   5.8   1   4         3   5.9e+02   -1.5   0.0    66   122    24    41     6    76 0.66 -
27499at50557_35570_0:0022cb|STRG.7094.1:1200-2708|+   -            503 108301at50557        -            228       2.7    6.2   5.8   2   4     0.016       3.2    6.0   0.1   109   166   195   252   181   268 0.89 -
27499at50557_35570_0:0022cb|STRG.7094.1:1200-2708|+   -            503 108301at50557        -            228       2.7    6.2   5.8   3   4       1.6   3.2e+02   -0.6   0.3    78   118   362   401   348   407 0.78 -
27499at50557_35570_0:0022cb|STRG.7094.1:1200-2708|+   -            503 108301at50557        -            228       2.7    6.2   5.8   4   4       1.4   2.8e+02   -0.4   0.0    87   141   433   487   416   499 0.79 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/justine/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/108301at50557.hmm
# Target file:     annotation_analysis/annotation_gca/T_cornetzi/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas
# Option settings: hmmsearch --domtblout annotation_analysis/annotation_gca/T_cornetzi/busco_output/run_insecta_odb10/hmmer_output/initial_run_results/108301at50557.out --cpu 1 /home/justine/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/108301at50557.hmm annotation_analysis/annotation_gca/T_cornetzi/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas 
# Current dir:     /home/justine/projet_tutore
# Date:            Sun Dec  1 22:14:15 2024
# [ok]
