#                                                                                                             --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                         accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                 ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
104469at50557_123851_0:002509|STRG.8750.1:309-1169|+  -            287 104469at50557        -            153   3.6e-41  139.5   0.2   1   1   9.6e-44     6e-41  138.8   0.2     5   153   143   286   138   286 0.91 -
1859at50557_34720_0:002187|STRG.15338.2:1-4974|+      -           1658 104469at50557        -            153   1.4e-16   59.7   4.5   4   4   5.8e-05     0.036   12.9   0.0    96   153  1454  1511  1445  1511 0.94 -
1859at50557_34720_0:002187|STRG.15338.3:0-8789|+      -           2930 104469at50557        -            153   1.6e-15   56.2   4.4   1   4   5.9e-06    0.0037   16.1   0.2    85   151  1860  1926  1849  1930 0.88 -
1859at50557_34720_0:002187|STRG.15338.3:0-8789|+      -           2930 104469at50557        -            153   1.6e-15   56.2   4.4   2   4     0.004       2.5    6.9   0.0    95   152  2128  2185  2118  2186 0.90 -
1859at50557_34720_0:002187|STRG.15338.3:0-8789|+      -           2930 104469at50557        -            153   1.6e-15   56.2   4.4   3   4   8.4e-07   0.00052   18.8   0.1    95   152  2435  2492  2418  2493 0.89 -
1859at50557_34720_0:002187|STRG.15338.3:0-8789|+      -           2930 104469at50557        -            153   1.6e-15   56.2   4.4   4   4   0.00011     0.068   12.0   0.0    96   153  2726  2783  2717  2783 0.94 -
104469at50557_7397_0:004245|STRG.19595.1:325-489|+    -             55 104469at50557        -            153   3.8e-07   29.0   0.5   1   1   6.5e-10   4.1e-07   28.9   0.5   100   153     1    54     1    54 0.95 -
104469at50557_7397_0:004245|STRG.19595.2:325-489|+    -             55 104469at50557        -            153   3.8e-07   29.0   0.5   1   1   6.5e-10   4.1e-07   28.9   0.5   100   153     1    54     1    54 0.95 -
27606at50557_104421_0:001136|STRG.10256.2:342-1844|+  -            493 104469at50557        -            153    0.0014   17.5   0.2   1   2     0.001      0.65    8.8   0.0    84   153   193   273   183   273 0.75 -
27606at50557_104421_0:001136|STRG.10256.2:342-1844|+  -            493 104469at50557        -            153    0.0014   17.5   0.2   2   2    0.0068       4.2    6.2   0.1    89   153   399   474   391   474 0.75 -
27606at50557_104421_0:001136|STRG.10256.3:342-1825|+  -            493 104469at50557        -            153    0.0014   17.5   0.2   1   2     0.001      0.65    8.8   0.0    84   153   193   273   183   273 0.75 -
27606at50557_104421_0:001136|STRG.10256.3:342-1825|+  -            493 104469at50557        -            153    0.0014   17.5   0.2   2   2    0.0068       4.2    6.2   0.1    89   153   399   474   391   474 0.75 -
27606at50557_456900_0:0021fb|STRG.10256.1:1149-2042|+ -            298 104469at50557        -            153    0.0014   17.5   0.6   1   2    0.0017       1.1    8.1   0.0    88   153     2    78     1    78 0.73 -
27606at50557_456900_0:0021fb|STRG.10256.1:1149-2042|+ -            298 104469at50557        -            153    0.0014   17.5   0.6   2   2    0.0031       1.9    7.3   0.1    89   153   204   279   196   279 0.75 -
57812at50557_520822_0:00002d|STRG.13059.1:1-1467|+    -            489 104469at50557        -            153     0.012   14.4   0.2   1   1   3.5e-05     0.022   13.6   0.2    89   140   437   488   412   489 0.79 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/justine/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/104469at50557.hmm
# Target file:     annotation_analysis/annotation_gca/T_cornetzi/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas
# Option settings: hmmsearch --domtblout annotation_analysis/annotation_gca/T_cornetzi/busco_output/run_insecta_odb10/hmmer_output/initial_run_results/104469at50557.out --cpu 1 /home/justine/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/104469at50557.hmm annotation_analysis/annotation_gca/T_cornetzi/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas 
# Current dir:     /home/justine/projet_tutore
# Date:            Sun Dec  1 22:14:08 2024
# [ok]
