#                                                                                                              --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                          accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                  ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
92898at50557_103372_0:00055a|STRG.3812.1:518-1321|+    -            268 92898at50557         -            222  6.1e-109  361.3   4.1   1   1  1.7e-110  4.6e-108  358.4   4.1     1   222     3   249     3   249 0.95 -
60961at50557_41427_0:00202e|STRG.4503.1:62-937|+       -            292 92898at50557         -            222   2.3e-08   32.4   0.3   2   3   8.5e-08   2.3e-05   22.6   0.0   117   176   109   168    98   193 0.91 -
60961at50557_41427_0:00202e|STRG.4503.1:62-937|+       -            292 92898at50557         -            222   2.3e-08   32.4   0.3   3   3     0.024       6.5    4.8   0.0   117   147   218   248   200   266 0.81 -
65618at50557_520822_0:000026|STRG.6475.3:115-1630|+    -            409 92898at50557         -            222   4.8e-08   31.4   0.0   1   1   3.7e-10   9.9e-08   30.3   0.0   115   183    23    85    13   112 0.86 -
65618at50557_103372_0:000ad6|STRG.6475.1:124-1365|+    -            414 92898at50557         -            222   4.9e-08   31.3   0.0   1   1   3.7e-10     1e-07   30.3   0.0   115   183    20    82    10   109 0.86 -
65618at50557_520822_0:000026|STRG.6475.2:115-1566|+    -            417 92898at50557         -            222     5e-08   31.3   0.0   1   1   3.8e-10     1e-07   30.3   0.0   115   183    23    85    13   112 0.86 -
65618at50557_29031_0:0021aa|STRG.17835.1:580-939|+     -            120 92898at50557         -            222   5.7e-08   31.1   0.0   1   1   2.4e-10   6.5e-08   30.9   0.0   116   199    14    92     4   109 0.81 -
65618at50557_29031_0:0021aa|STRG.17835.2:87-446|+      -            120 92898at50557         -            222   5.7e-08   31.1   0.0   1   1   2.4e-10   6.5e-08   30.9   0.0   116   199    14    92     4   109 0.81 -
60961at50557_54969_0:0007af|STRG.5880.1:421-1119|+     -            233 92898at50557         -            222     5e-06   24.7   0.0   1   2   6.1e-05     0.017   13.2   0.0   120   195    21    91     8   105 0.81 -
60961at50557_54969_0:0007af|STRG.5880.1:421-1119|+     -            233 92898at50557         -            222     5e-06   24.7   0.0   2   2   0.00086      0.23    9.5   0.0   123   194   149   217   131   229 0.82 -
60961at50557_54969_0:0007af|STRG.5880.2:957-1655|+     -            233 92898at50557         -            222     5e-06   24.7   0.0   1   2   6.1e-05     0.017   13.2   0.0   120   195    21    91     8   105 0.81 -
60961at50557_54969_0:0007af|STRG.5880.2:957-1655|+     -            233 92898at50557         -            222     5e-06   24.7   0.0   2   2   0.00086      0.23    9.5   0.0   123   194   149   217   131   229 0.82 -
60961at50557_54969_0:0007af|STRG.5880.3:294-992|+      -            233 92898at50557         -            222     5e-06   24.7   0.0   1   2   6.1e-05     0.017   13.2   0.0   120   195    21    91     8   105 0.81 -
60961at50557_54969_0:0007af|STRG.5880.3:294-992|+      -            233 92898at50557         -            222     5e-06   24.7   0.0   2   2   0.00086      0.23    9.5   0.0   123   194   149   217   131   229 0.82 -
138527at50557_7029_0:001a95|STRG.19970.1:18-317|+      -            100 92898at50557         -            222   5.8e-05   21.3   0.0   1   1   2.5e-07   6.7e-05   21.1   0.0   119   176    16    71     5    79 0.84 -
138527at50557_217634_0:002b14|STRG.17857.1:151-390|+   -             80 92898at50557         -            222   9.2e-05   20.6   0.0   1   1   3.7e-07   9.9e-05   20.5   0.0   119   192     6    73     1    78 0.84 -
60961at50557_30025_0:002fae|STRG.5880.4:530-1210|+     -            227 92898at50557         -            222    0.0001   20.5   0.0   1   2    0.0045       1.2    7.1   0.0   119   160    35    78     7   104 0.83 -
60961at50557_30025_0:002fae|STRG.5880.4:530-1210|+     -            227 92898at50557         -            222    0.0001   20.5   0.0   2   2   0.00019     0.052   11.6   0.0   119   173   159   214   133   227 0.78 -
138527at50557_29053_0:0022e2|STRG.9932.2:0-287|+       -             96 92898at50557         -            222   0.00059   18.0   0.0   1   1   2.5e-06   0.00067   17.8   0.0   120   193    13    78     3    93 0.83 -
138527at50557_29053_0:0022e2|STRG.9932.1:225-524|+     -            100 92898at50557         -            222   0.00061   17.9   0.0   1   1   2.5e-06   0.00069   17.8   0.0   119   193    16    82     5    97 0.83 -
65618at50557_64459_0:000660|STRG.19361.2:102-995|+     -            298 92898at50557         -            222   0.00075   17.6   0.1   1   2   6.6e-06    0.0018   16.4   0.1   111   197     7    92     2   122 0.78 -
65618at50557_64459_0:000660|STRG.19361.2:102-995|+     -            298 92898at50557         -            222   0.00075   17.6   0.1   2   2       7.2     2e+03   -3.3   0.0   104   134   142   172   140   173 0.82 -
138527at50557_7160_0:0018e6|STRG.9932.3:3-230|+        -             76 92898at50557         -            222   0.00078   17.6   0.0   1   1   3.1e-06   0.00083   17.5   0.0   119   190    11    74     2    76 0.82 -
65618at50557_64459_0:000660|STRG.19361.1:238-1083|+    -            282 92898at50557         -            222   0.00086   17.4   0.1   1   1   5.9e-06    0.0016   16.6   0.1   111   197     7    92     2   122 0.78 -
60961at50557_104452_0:000511|STRG.20824.1:383-706|+    -            108 92898at50557         -            222    0.0017   16.4   0.2   1   1   7.4e-06     0.002   16.3   0.2   116   146    29    59    10    76 0.87 -
60961at50557_104452_0:000511|STRG.20824.2:111-434|+    -            108 92898at50557         -            222    0.0017   16.4   0.2   1   1   7.4e-06     0.002   16.3   0.2   116   146    29    59    10    76 0.87 -
138527at50557_1049336_0:004c49|STRG.5109.1:1035-1319|+ -             95 92898at50557         -            222     0.007   14.5   0.0   1   1   2.7e-05    0.0074   14.4   0.0   117   159    35    77    17    92 0.84 -
65618at50557_110193_0:0020cd|STRG.17666.1:99-788|+     -            230 92898at50557         -            222     0.013   13.6   0.0   1   1   7.7e-05     0.021   12.9   0.0   116   173     7    66     2    82 0.79 -
65618at50557_29031_0:0021aa|STRG.5880.4:1351-1644|+    -             98 92898at50557         -            222     0.023   12.8   0.0   1   1    0.0001     0.028   12.5   0.0   123   195    14    83     5    95 0.82 -
65618at50557_29053_0:00095b|STRG.5109.1:3-677|+        -            225 92898at50557         -            222     0.024   12.7   0.0   1   1   0.00012     0.033   12.3   0.0   111   145    29    63     5   101 0.83 -
138527at50557_7070_0:000af3|STRG.5880.1:868-1104|+     -             79 92898at50557         -            222     0.042   11.9   0.0   1   1   0.00018     0.049   11.7   0.0   124   194     1    68     1    77 0.82 -
138527at50557_7070_0:000af3|STRG.5880.3:741-977|+      -             79 92898at50557         -            222     0.042   11.9   0.0   1   1   0.00018     0.049   11.7   0.0   124   194     1    68     1    77 0.82 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/justine/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/92898at50557.hmm
# Target file:     annotation_analysis/annotation_gca/T_cornetzi/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas
# Option settings: hmmsearch --domtblout annotation_analysis/annotation_gca/T_cornetzi/busco_output/run_insecta_odb10/hmmer_output/initial_run_results/92898at50557.out --cpu 1 /home/justine/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/92898at50557.hmm annotation_analysis/annotation_gca/T_cornetzi/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas 
# Current dir:     /home/justine/projet_tutore
# Date:            Sun Dec  1 22:20:39 2024
# [ok]
