#                                                                                                              --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                          accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                  ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
56099at50557_34720_0:001a91|STRG.22631.1:0-1331|+      -            444 56099at50557         -            397  4.1e-204  676.6   1.9   1   1  1.4e-205  4.9e-204  676.3   1.9     1   397     1   440     1   440 0.95 -
80377at50557_121845_0:0030d4|STRG.11971.1:117-983|+    -            289 56099at50557         -            397   8.1e-24   82.9   1.0   2   5     3e-05     0.001   16.7   0.0    60    98    83   120    79   127 0.87 -
80377at50557_121845_0:0030d4|STRG.11971.1:117-983|+    -            289 56099at50557         -            397   8.1e-24   82.9   1.0   3   5    0.0041      0.14    9.7   0.0    61    98   126   162   122   170 0.83 -
80377at50557_121845_0:0030d4|STRG.11971.1:117-983|+    -            289 56099at50557         -            397   8.1e-24   82.9   1.0   4   5    0.0007     0.024   12.2   0.0   245   313   175   249   164   253 0.74 -
80377at50557_121845_0:0030d4|STRG.11971.1:117-983|+    -            289 56099at50557         -            397   8.1e-24   82.9   1.0   5   5     0.016      0.55    7.7   0.0    56    90   251   284   247   288 0.88 -
33043at50557_454923_0:001231|STRG.11184.1:4335-5705|+  -            457 56099at50557         -            397   2.6e-19   68.1   1.5   1   7     0.047       1.6    6.2   0.0    70   100     6    35     1    56 0.79 -
33043at50557_454923_0:001231|STRG.11184.1:4335-5705|+  -            457 56099at50557         -            397   2.6e-19   68.1   1.5   2   7       8.7     3e+02   -1.3   0.0    59    98    78   116    75   123 0.74 -
33043at50557_454923_0:001231|STRG.11184.1:4335-5705|+  -            457 56099at50557         -            397   2.6e-19   68.1   1.5   3   7      0.72        25    2.3   0.0    62   100   174   211   172   213 0.85 -
33043at50557_454923_0:001231|STRG.11184.1:4335-5705|+  -            457 56099at50557         -            397   2.6e-19   68.1   1.5   4   7   1.9e-07   6.6e-06   23.9   0.0   226   316   202   294   198   300 0.86 -
33043at50557_454923_0:001231|STRG.11184.1:4335-5705|+  -            457 56099at50557         -            397   2.6e-19   68.1   1.5   5   7   7.1e-05    0.0024   15.5   0.0   260   312   316   371   307   380 0.78 -
33043at50557_454923_0:001231|STRG.11184.1:4335-5705|+  -            457 56099at50557         -            397   2.6e-19   68.1   1.5   6   7    0.0013     0.043   11.4   0.1    62    98   380   416   375   421 0.92 -
33043at50557_454923_0:001231|STRG.11184.1:4335-5705|+  -            457 56099at50557         -            397   2.6e-19   68.1   1.5   7   7      0.41        14    3.1   0.0   238   268   421   451   416   457 0.79 -
33043at50557_454923_0:001231|STRG.11184.2:2811-4181|+  -            457 56099at50557         -            397   2.6e-19   68.1   1.5   1   7     0.047       1.6    6.2   0.0    70   100     6    35     1    56 0.79 -
33043at50557_454923_0:001231|STRG.11184.2:2811-4181|+  -            457 56099at50557         -            397   2.6e-19   68.1   1.5   2   7       8.7     3e+02   -1.3   0.0    59    98    78   116    75   123 0.74 -
33043at50557_454923_0:001231|STRG.11184.2:2811-4181|+  -            457 56099at50557         -            397   2.6e-19   68.1   1.5   3   7      0.72        25    2.3   0.0    62   100   174   211   172   213 0.85 -
33043at50557_454923_0:001231|STRG.11184.2:2811-4181|+  -            457 56099at50557         -            397   2.6e-19   68.1   1.5   4   7   1.9e-07   6.6e-06   23.9   0.0   226   316   202   294   198   300 0.86 -
33043at50557_454923_0:001231|STRG.11184.2:2811-4181|+  -            457 56099at50557         -            397   2.6e-19   68.1   1.5   5   7   7.1e-05    0.0024   15.5   0.0   260   312   316   371   307   380 0.78 -
33043at50557_454923_0:001231|STRG.11184.2:2811-4181|+  -            457 56099at50557         -            397   2.6e-19   68.1   1.5   6   7    0.0013     0.043   11.4   0.1    62    98   380   416   375   421 0.92 -
33043at50557_454923_0:001231|STRG.11184.2:2811-4181|+  -            457 56099at50557         -            397   2.6e-19   68.1   1.5   7   7      0.41        14    3.1   0.0   238   268   421   451   416   457 0.79 -
57752at50557_121225_0:0018b6|STRG.12706.1:309-1223|+   -            305 56099at50557         -            397     3e-19   67.8   7.1   1   6    0.0069      0.24    8.9   0.0    62    98     1    36     1    40 0.92 -
57752at50557_121225_0:0018b6|STRG.12706.1:309-1223|+   -            305 56099at50557         -            397     3e-19   67.8   7.1   2   6    0.0061      0.21    9.1   0.1    61   104    42    84    38    87 0.82 -
57752at50557_121225_0:0018b6|STRG.12706.1:309-1223|+   -            305 56099at50557         -            397     3e-19   67.8   7.1   3   6   0.00082     0.028   12.0   0.1   236   271    82   117    76   123 0.88 -
57752at50557_121225_0:0018b6|STRG.12706.1:309-1223|+   -            305 56099at50557         -            397     3e-19   67.8   7.1   4   6   0.00062     0.021   12.4   0.0   237   295   125   186   120   196 0.86 -
57752at50557_121225_0:0018b6|STRG.12706.1:309-1223|+   -            305 56099at50557         -            397     3e-19   67.8   7.1   5   6     0.033       1.1    6.7   0.0    77   120   203   240   197   244 0.79 -
57752at50557_121225_0:0018b6|STRG.12706.1:309-1223|+   -            305 56099at50557         -            397     3e-19   67.8   7.1   6   6   7.4e-07   2.5e-05   22.0   0.1   242   310   233   304   227   305 0.83 -
40115at50557_1629725_0:001335|STRG.17179.1:654-1457|+  -            268 56099at50557         -            397   1.7e-18   65.4   7.1   1   4   0.00014    0.0049   14.5   0.2   258   323     2    68     1    76 0.69 -
40115at50557_1629725_0:001335|STRG.17179.1:654-1457|+  -            268 56099at50557         -            397   1.7e-18   65.4   7.1   2   4   0.00018    0.0062   14.1   0.7   237   314    63   142    62   144 0.72 -
40115at50557_1629725_0:001335|STRG.17179.1:654-1457|+  -            268 56099at50557         -            397   1.7e-18   65.4   7.1   3   4     2e-05   0.00067   17.3   0.0    58    98   145   182   143   187 0.89 -
40115at50557_1629725_0:001335|STRG.17179.1:654-1457|+  -            268 56099at50557         -            397   1.7e-18   65.4   7.1   4   4   2.5e-06   8.7e-05   20.2   0.0    61    98   188   222   184   238 0.89 -
40115at50557_1629725_0:001335|STRG.17179.2:621-1424|+  -            268 56099at50557         -            397   1.7e-18   65.4   7.1   1   4   0.00014    0.0049   14.5   0.2   258   323     2    68     1    76 0.69 -
40115at50557_1629725_0:001335|STRG.17179.2:621-1424|+  -            268 56099at50557         -            397   1.7e-18   65.4   7.1   2   4   0.00018    0.0062   14.1   0.7   237   314    63   142    62   144 0.72 -
40115at50557_1629725_0:001335|STRG.17179.2:621-1424|+  -            268 56099at50557         -            397   1.7e-18   65.4   7.1   3   4     2e-05   0.00067   17.3   0.0    58    98   145   182   143   187 0.89 -
40115at50557_1629725_0:001335|STRG.17179.2:621-1424|+  -            268 56099at50557         -            397   1.7e-18   65.4   7.1   4   4   2.5e-06   8.7e-05   20.2   0.0    61    98   188   222   184   238 0.89 -
40115at50557_108931_0:001d6b|STRG.22478.1:942-1979|+   -            346 56099at50557         -            397   2.8e-18   64.7   0.2   1   3     0.074       2.5    5.5   0.0    61    97     7    42     5    57 0.84 -
40115at50557_108931_0:001d6b|STRG.22478.1:942-1979|+   -            346 56099at50557         -            397   2.8e-18   64.7   0.2   2   3   0.00021    0.0071   13.9   0.0   246   316    69   141    61   154 0.88 -
40115at50557_108931_0:001d6b|STRG.22478.1:942-1979|+   -            346 56099at50557         -            397   2.8e-18   64.7   0.2   3   3   4.4e-12   1.5e-10   39.2   0.1   136   277   162   318   157   346 0.67 -
40115at50557_108931_0:001d6b|STRG.22478.2:438-1475|+   -            346 56099at50557         -            397   2.8e-18   64.7   0.2   1   3     0.074       2.5    5.5   0.0    61    97     7    42     5    57 0.84 -
40115at50557_108931_0:001d6b|STRG.22478.2:438-1475|+   -            346 56099at50557         -            397   2.8e-18   64.7   0.2   2   3   0.00021    0.0071   13.9   0.0   246   316    69   141    61   154 0.88 -
40115at50557_108931_0:001d6b|STRG.22478.2:438-1475|+   -            346 56099at50557         -            397   2.8e-18   64.7   0.2   3   3   4.4e-12   1.5e-10   39.2   0.1   136   277   162   318   157   346 0.67 -
40115at50557_29053_0:0017ce|STRG.10646.3:162-1034|+    -            291 56099at50557         -            397   4.7e-18   63.9   0.3   1   5     0.016      0.53    7.8   0.0   283   324     5    46     2    54 0.87 -
40115at50557_29053_0:0017ce|STRG.10646.3:162-1034|+    -            291 56099at50557         -            397   4.7e-18   63.9   0.3   2   5    0.0021     0.072   10.6   0.0   247   319    50   130    46   135 0.69 -
40115at50557_29053_0:0017ce|STRG.10646.3:162-1034|+    -            291 56099at50557         -            397   4.7e-18   63.9   0.3   3   5    0.0033      0.11   10.0   0.1   242   270   134   162   129   168 0.89 -
40115at50557_29053_0:0017ce|STRG.10646.3:162-1034|+    -            291 56099at50557         -            397   4.7e-18   63.9   0.3   4   5   5.1e-09   1.7e-07   29.1   0.0   236   326   170   265   161   270 0.80 -
40115at50557_29053_0:0017ce|STRG.10646.3:162-1034|+    -            291 56099at50557         -            397   4.7e-18   63.9   0.3   5   5      0.23       7.8    3.9   0.0    60    94   258   291   256   291 0.81 -
80377at50557_456900_0:000374|STRG.10678.3:0-1046|+     -            349 56099at50557         -            397   7.5e-18   63.3   0.1   1   5    0.0035      0.12    9.9   0.0    59    97    50    87    47    93 0.87 -
80377at50557_456900_0:000374|STRG.10678.3:0-1046|+     -            349 56099at50557         -            397   7.5e-18   63.3   0.1   2   5     0.014      0.48    7.9   0.0   236   268    92   124    86   128 0.89 -
80377at50557_456900_0:000374|STRG.10678.3:0-1046|+     -            349 56099at50557         -            397   7.5e-18   63.3   0.1   3   5   2.5e-05   0.00086   17.0   0.0   223   313   119   214   118   220 0.80 -
80377at50557_456900_0:000374|STRG.10678.3:0-1046|+     -            349 56099at50557         -            397   7.5e-18   63.3   0.1   4   5   0.00021     0.007   14.0   0.0    60   108   220   267   215   273 0.87 -
80377at50557_456900_0:000374|STRG.10678.3:0-1046|+     -            349 56099at50557         -            397   7.5e-18   63.3   0.1   5   5    0.0054      0.18    9.3   0.0   210   269   283   343   276   348 0.84 -
40115at50557_77166_0:00051d|STRG.21442.1:283-705|+     -            141 56099at50557         -            397   2.3e-16   58.4   0.2   1   3       3.3   1.1e+02    0.1   0.0    82    98     3    19     1    29 0.79 -
40115at50557_77166_0:00051d|STRG.21442.1:283-705|+     -            141 56099at50557         -            397   2.3e-16   58.4   0.2   2   3   1.5e-06   5.3e-05   20.9   0.0   238   270    24    56    19    68 0.87 -
40115at50557_77166_0:00051d|STRG.21442.1:283-705|+     -            141 56099at50557         -            397   2.3e-16   58.4   0.2   3   3   1.6e-10   5.4e-09   34.1   0.0   241   310    69   141    61   141 0.86 -
25500at50557_13686_0:0020f5|STRG.18788.1:208-2013|+    -            602 56099at50557         -            397   2.9e-16   58.0   0.2   1   3      0.16       5.4    4.4   0.0   237   296    51   115    30   151 0.63 -
25500at50557_13686_0:0020f5|STRG.18788.1:208-2013|+    -            602 56099at50557         -            397   2.9e-16   58.0   0.2   2   3   3.6e-05    0.0012   16.4   0.0   212   313   155   263   147   274 0.74 -
25500at50557_13686_0:0020f5|STRG.18788.1:208-2013|+    -            602 56099at50557         -            397   2.9e-16   58.0   0.2   3   3   2.1e-09   7.3e-08   30.4   1.0    59   312   312   599   309   601 0.72 -
43553at50557_136037_0:001d49|STRG.10646.1:84-893|+     -            270 56099at50557         -            397   5.9e-16   57.0   0.1   1   4     0.001     0.035   11.7   0.0   245   319    27   109     3   113 0.71 -
43553at50557_136037_0:001d49|STRG.10646.1:84-893|+     -            270 56099at50557         -            397   5.9e-16   57.0   0.1   2   4    0.0034      0.12    9.9   0.1   242   269   113   140   108   145 0.89 -
43553at50557_136037_0:001d49|STRG.10646.1:84-893|+     -            270 56099at50557         -            397   5.9e-16   57.0   0.1   3   4   4.6e-09   1.6e-07   29.3   0.0   235   325   148   243   139   247 0.79 -
43553at50557_136037_0:001d49|STRG.10646.1:84-893|+     -            270 56099at50557         -            397   5.9e-16   57.0   0.1   4   4      0.18       6.2    4.2   0.0    60    94   237   270   231   270 0.81 -
31374at50557_133901_0:001035|STRG.11576.4:1018-1998|+  -            327 56099at50557         -            397   6.4e-16   56.9   0.3   1   3    0.0089       0.3    8.6   0.1   239   311    78   153    62   157 0.77 -
31374at50557_133901_0:001035|STRG.11576.4:1018-1998|+  -            327 56099at50557         -            397   6.4e-16   56.9   0.3   2   3   3.6e-09   1.2e-07   29.6   0.0   227   316   150   242   142   252 0.84 -
31374at50557_133901_0:001035|STRG.11576.4:1018-1998|+  -            327 56099at50557         -            397   6.4e-16   56.9   0.3   3   3   5.2e-09   1.8e-07   29.1   0.0   239   314   204   282   201   291 0.85 -
43553at50557_319348_0:003bc4|STRG.10646.2:527-1252|+   -            242 56099at50557         -            397   1.1e-15   56.1   0.1   1   4    0.0024     0.082   10.4   0.0   247   320     1    82     1    87 0.65 -
43553at50557_319348_0:003bc4|STRG.10646.2:527-1252|+   -            242 56099at50557         -            397   1.1e-15   56.1   0.1   2   4    0.0022     0.077   10.5   0.1   241   270    84   113    78   120 0.88 -
43553at50557_319348_0:003bc4|STRG.10646.2:527-1252|+   -            242 56099at50557         -            397   1.1e-15   56.1   0.1   3   4   3.4e-09   1.2e-07   29.7   0.0   235   325   120   215   110   219 0.79 -
43553at50557_319348_0:003bc4|STRG.10646.2:527-1252|+   -            242 56099at50557         -            397   1.1e-15   56.1   0.1   4   4      0.16       5.6    4.4   0.0    60    94   209   242   205   242 0.81 -
71739at50557_30019_0:000544|STRG.17058.1:21-878|+      -            286 56099at50557         -            397   1.4e-15   55.7   0.0   1   3      0.15       5.2    4.5   0.0    58    96    45    82    44    88 0.90 -
71739at50557_30019_0:000544|STRG.17058.1:21-878|+      -            286 56099at50557         -            397   1.4e-15   55.7   0.0   2   3     4e-06   0.00014   19.6   0.0   211   321    61   175    56   179 0.80 -
71739at50557_30019_0:000544|STRG.17058.1:21-878|+      -            286 56099at50557         -            397   1.4e-15   55.7   0.0   3   3   9.2e-12   3.1e-10   38.2   0.0   136   270   150   286   140   286 0.80 -
31374at50557_116153_0:0023e9|STRG.21446.2:60-665|+     -            202 56099at50557         -            397   1.6e-15   55.6   0.3   1   4    0.0059       0.2    9.2   0.0    63    97     2    36     1    41 0.83 -
31374at50557_116153_0:0023e9|STRG.21446.2:60-665|+     -            202 56099at50557         -            397   1.6e-15   55.6   0.3   2   4     0.031       1.1    6.8   0.0   240   272    46    77    36    85 0.78 -
31374at50557_116153_0:0023e9|STRG.21446.2:60-665|+     -            202 56099at50557         -            397   1.6e-15   55.6   0.3   3   4   5.9e-11     2e-09   35.5   0.0   240   316    86   165    79   175 0.83 -
31374at50557_116153_0:0023e9|STRG.21446.2:60-665|+     -            202 56099at50557         -            397   1.6e-15   55.6   0.3   4   4       5.2   1.8e+02   -0.5   0.0   239   269   169   199   164   201 0.75 -
80377at50557_456900_0:000374|STRG.10678.2:98-1102|+    -            335 56099at50557         -            397   3.7e-15   54.4   0.1   1   5    0.0033      0.11   10.0   0.0    59    97    50    87    47    93 0.87 -
80377at50557_456900_0:000374|STRG.10678.2:98-1102|+    -            335 56099at50557         -            397   3.7e-15   54.4   0.1   2   5     0.014      0.49    7.9   0.0   237   268    93   124    87   130 0.89 -
80377at50557_456900_0:000374|STRG.10678.2:98-1102|+    -            335 56099at50557         -            397   3.7e-15   54.4   0.1   3   5   7.8e-05    0.0027   15.3   0.0   237   313   135   214   126   221 0.83 -
80377at50557_456900_0:000374|STRG.10678.2:98-1102|+    -            335 56099at50557         -            397   3.7e-15   54.4   0.1   4   5    0.0002    0.0068   14.0   0.0    60   108   220   267   215   272 0.87 -
80377at50557_456900_0:000374|STRG.10678.2:98-1102|+    -            335 56099at50557         -            397   3.7e-15   54.4   0.1   5   5       5.2   1.8e+02   -0.5   0.0   210   254   283   328   274   330 0.55 -
31374at50557_133901_0:001035|STRG.11576.1:443-1987|+   -            515 56099at50557         -            397   4.1e-15   54.2   0.2   1   3      0.02      0.67    7.4   0.1   239   311   266   341   256   345 0.76 -
31374at50557_133901_0:001035|STRG.11576.1:443-1987|+   -            515 56099at50557         -            397   4.1e-15   54.2   0.2   2   3   8.5e-09   2.9e-07   28.4   0.0   227   316   338   430   332   440 0.84 -
31374at50557_133901_0:001035|STRG.11576.1:443-1987|+   -            515 56099at50557         -            397   4.1e-15   54.2   0.2   3   3   1.2e-08   4.1e-07   27.9   0.0   239   314   392   470   390   477 0.85 -
31374at50557_133901_0:001035|STRG.11576.2:539-2083|+   -            515 56099at50557         -            397   4.1e-15   54.2   0.2   1   3      0.02      0.67    7.4   0.1   239   311   266   341   256   345 0.76 -
31374at50557_133901_0:001035|STRG.11576.2:539-2083|+   -            515 56099at50557         -            397   4.1e-15   54.2   0.2   2   3   8.5e-09   2.9e-07   28.4   0.0   227   316   338   430   332   440 0.84 -
31374at50557_133901_0:001035|STRG.11576.2:539-2083|+   -            515 56099at50557         -            397   4.1e-15   54.2   0.2   3   3   1.2e-08   4.1e-07   27.9   0.0   239   314   392   470   390   477 0.85 -
31374at50557_133901_0:001035|STRG.11576.3:443-1987|+   -            515 56099at50557         -            397   4.1e-15   54.2   0.2   1   3      0.02      0.67    7.4   0.1   239   311   266   341   256   345 0.76 -
31374at50557_133901_0:001035|STRG.11576.3:443-1987|+   -            515 56099at50557         -            397   4.1e-15   54.2   0.2   2   3   8.5e-09   2.9e-07   28.4   0.0   227   316   338   430   332   440 0.84 -
31374at50557_133901_0:001035|STRG.11576.3:443-1987|+   -            515 56099at50557         -            397   4.1e-15   54.2   0.2   3   3   1.2e-08   4.1e-07   27.9   0.0   239   314   392   470   390   477 0.85 -
14512at50557_29053_0:0002b6|STRG.9710.1:49-759|+       -            237 56099at50557         -            397   8.7e-15   53.2   2.1   1   5    0.0055      0.19    9.2   0.0    97   126     5    40     1    56 0.80 -
14512at50557_29053_0:0002b6|STRG.9710.1:49-759|+       -            237 56099at50557         -            397   8.7e-15   53.2   2.1   2   5     0.094       3.2    5.2   0.1   295   314    62    81    49    88 0.74 -
14512at50557_29053_0:0002b6|STRG.9710.1:49-759|+       -            237 56099at50557         -            397   8.7e-15   53.2   2.1   3   5   5.9e-05     0.002   15.7   0.0    59    97    85   122    81   127 0.88 -
14512at50557_29053_0:0002b6|STRG.9710.1:49-759|+       -            237 56099at50557         -            397   8.7e-15   53.2   2.1   4   5    0.0043      0.15    9.6   0.0    62    97   160   194   155   204 0.88 -
14512at50557_29053_0:0002b6|STRG.9710.1:49-759|+       -            237 56099at50557         -            397   8.7e-15   53.2   2.1   5   5    0.0036      0.12    9.9   0.0    62    96   204   237   196   237 0.90 -
80377at50557_454923_0:001015|STRG.19738.1:30-809|+     -            260 56099at50557         -            397   1.2e-14   52.8   0.4   1   4      0.12         4    4.9   0.0    62    98     1    37     1    44 0.92 -
80377at50557_454923_0:001015|STRG.19738.1:30-809|+     -            260 56099at50557         -            397   1.2e-14   52.8   0.4   2   4   2.9e-08   9.9e-07   26.6   0.1   238   315    47   127    40   133 0.79 -
80377at50557_454923_0:001015|STRG.19738.1:30-809|+     -            260 56099at50557         -            397   1.2e-14   52.8   0.4   3   4   0.00075     0.025   12.1   0.0    63    97   135   170   129   176 0.88 -
80377at50557_454923_0:001015|STRG.19738.1:30-809|+     -            260 56099at50557         -            397   1.2e-14   52.8   0.4   4   4      0.74        25    2.2   0.0    65   100   222   255   215   259 0.86 -
57752at50557_69319_0:000ee5|STRG.11571.1:79-882|+      -            268 56099at50557         -            397   1.4e-14   52.5   1.3   1   4   9.7e-05    0.0033   15.0   0.2   226   314    12   103     6   109 0.80 -
57752at50557_69319_0:000ee5|STRG.11571.1:79-882|+      -            268 56099at50557         -            397   1.4e-14   52.5   1.3   2   4    0.0039      0.13    9.7   0.0    62    98   111   147   101   152 0.86 -
57752at50557_69319_0:000ee5|STRG.11571.1:79-882|+      -            268 56099at50557         -            397   1.4e-14   52.5   1.3   3   4    0.0036      0.12    9.9   0.0    61    97   153   190   151   193 0.90 -
57752at50557_69319_0:000ee5|STRG.11571.1:79-882|+      -            268 56099at50557         -            397   1.4e-14   52.5   1.3   4   4   0.00024    0.0082   13.7   0.0    56    95   192   230   190   236 0.90 -
80377at50557_30019_0:0008bb|STRG.7095.1:1945-2805|+    -            287 56099at50557         -            397   4.4e-14   50.8   6.0   1   4    0.0031      0.11   10.1   0.1   239   318    13    89     4    93 0.69 -
80377at50557_30019_0:0008bb|STRG.7095.1:1945-2805|+    -            287 56099at50557         -            397   4.4e-14   50.8   6.0   2   4    0.0092      0.31    8.5   0.0    60    98    90   125    87   128 0.90 -
80377at50557_30019_0:0008bb|STRG.7095.1:1945-2805|+    -            287 56099at50557         -            397   4.4e-14   50.8   6.0   3   4   2.7e-08   9.1e-07   26.8   0.0   232   315   124   206   122   219 0.87 -
80377at50557_30019_0:0008bb|STRG.7095.1:1945-2805|+    -            287 56099at50557         -            397   4.4e-14   50.8   6.0   4   4     0.095       3.3    5.2   0.3    99   310   258   284   210   287 0.42 -
80377at50557_30019_0:0008bb|STRG.7095.2:1343-2203|+    -            287 56099at50557         -            397   4.4e-14   50.8   6.0   1   4    0.0031      0.11   10.1   0.1   239   318    13    89     4    93 0.69 -
80377at50557_30019_0:0008bb|STRG.7095.2:1343-2203|+    -            287 56099at50557         -            397   4.4e-14   50.8   6.0   2   4    0.0092      0.31    8.5   0.0    60    98    90   125    87   128 0.90 -
80377at50557_30019_0:0008bb|STRG.7095.2:1343-2203|+    -            287 56099at50557         -            397   4.4e-14   50.8   6.0   3   4   2.7e-08   9.1e-07   26.8   0.0   232   315   124   206   122   219 0.87 -
80377at50557_30019_0:0008bb|STRG.7095.2:1343-2203|+    -            287 56099at50557         -            397   4.4e-14   50.8   6.0   4   4     0.095       3.3    5.2   0.3    99   310   258   284   210   287 0.42 -
80377at50557_30019_0:0008bb|STRG.7095.3:1343-2203|+    -            287 56099at50557         -            397   4.4e-14   50.8   6.0   1   4    0.0031      0.11   10.1   0.1   239   318    13    89     4    93 0.69 -
