#                                                                                                              --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                          accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                  ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
69548at50557_378494_0:000ec9|STRG.13704.1:101-673|-    -            125 69548at50557         -            348   6.2e-56  188.8   2.7   1   1   2.2e-57   6.9e-56  188.7   2.7   188   306     1   125     1   125 0.98 -
40115at50557_108931_0:001d6b|STRG.22478.2:438-1475|+   -            346 69548at50557         -            348   1.4e-28   98.9   7.7   2   3   4.2e-19   1.3e-17   62.7   4.0   168   328    79   242    63   245 0.91 -
40115at50557_108931_0:001d6b|STRG.22478.2:438-1475|+   -            346 69548at50557         -            348   1.4e-28   98.9   7.7   3   3   7.4e-08   2.3e-06   25.8   0.0   241   309   252   317   248   343 0.80 -
40115at50557_1629725_0:001335|STRG.17179.1:654-1457|+  -            268 69548at50557         -            348   3.7e-27   94.2   6.4   1   1   1.3e-26   4.2e-25   87.4   6.4    93   344     3   266     2   268 0.72 -
40115at50557_1629725_0:001335|STRG.17179.2:621-1424|+  -            268 69548at50557         -            348   3.7e-27   94.2   6.4   1   1   1.3e-26   4.2e-25   87.4   6.4    93   344     3   266     2   268 0.72 -
80377at50557_456900_0:000374|STRG.10678.2:98-1102|+    -            335 69548at50557         -            348   5.9e-27   93.5   0.1   1   2   4.4e-25   1.4e-23   82.4   0.0   151   346    47   254    24   256 0.83 -
80377at50557_456900_0:000374|STRG.10678.2:98-1102|+    -            335 69548at50557         -            348   5.9e-27   93.5   0.1   2   2      0.01      0.33    8.8   0.0   281   328   282   327   261   332 0.78 -
80377at50557_7220_0:002af5|STRG.21442.3:143-1000|+     -            286 69548at50557         -            348     1e-26   92.7   5.1   1   2   4.3e-14   1.3e-12   46.3   1.0   195   330     4   142     1   148 0.80 -
80377at50557_7220_0:002af5|STRG.21442.3:143-1000|+     -            286 69548at50557         -            348     1e-26   92.7   5.1   2   2   8.4e-15   2.7e-13   48.6   0.1   205   346   145   283   142   285 0.88 -
25500at50557_13686_0:0020f5|STRG.18788.1:208-2013|+    -            602 69548at50557         -            348     2e-26   91.8   0.4   1   5   6.9e-06   0.00022   19.3   0.0   249   346    74   175    60   177 0.89 -
25500at50557_13686_0:0020f5|STRG.18788.1:208-2013|+    -            602 69548at50557         -            348     2e-26   91.8   0.4   2   5     0.002     0.062   11.2   0.0   268   305   182   218   179   242 0.82 -
25500at50557_13686_0:0020f5|STRG.18788.1:208-2013|+    -            602 69548at50557         -            348     2e-26   91.8   0.4   3   5     0.005      0.16    9.9   0.1   273   332   231   291   215   299 0.66 -
25500at50557_13686_0:0020f5|STRG.18788.1:208-2013|+    -            602 69548at50557         -            348     2e-26   91.8   0.4   4   5   9.8e-05    0.0031   15.5   0.0   149   225   307   394   300   424 0.80 -
25500at50557_13686_0:0020f5|STRG.18788.1:208-2013|+    -            602 69548at50557         -            348     2e-26   91.8   0.4   5   5   5.4e-09   1.7e-07   29.5   0.3   225   346   476   598   438   600 0.83 -
40115at50557_28612_0:000941|STRG.21446.1:0-911|+       -            304 69548at50557         -            348   5.5e-26   90.3   2.5   1   3   1.9e-05   0.00059   17.9   0.0   271   345    21    96    13    99 0.89 -
40115at50557_28612_0:000941|STRG.21446.1:0-911|+       -            304 69548at50557         -            348   5.5e-26   90.3   2.5   2   3   1.3e-08   4.2e-07   28.2   0.1   240   309   119   185    96   202 0.88 -
40115at50557_28612_0:000941|STRG.21446.1:0-911|+       -            304 69548at50557         -            348   5.5e-26   90.3   2.5   3   3   1.8e-17   5.8e-16   57.4   0.1   193   344   148   304   145   304 0.81 -
40115at50557_28612_0:000941|STRG.21446.3:39-890|+      -            284 69548at50557         -            348   1.2e-25   89.2   2.6   1   3   3.4e-05    0.0011   17.0   0.0   272   345     2    76     1    79 0.89 -
40115at50557_28612_0:000941|STRG.21446.3:39-890|+      -            284 69548at50557         -            348   1.2e-25   89.2   2.6   2   3   2.1e-08   6.5e-07   27.6   0.1   240   309    99   165    97   175 0.88 -
40115at50557_28612_0:000941|STRG.21446.3:39-890|+      -            284 69548at50557         -            348   1.2e-25   89.2   2.6   3   3   1.5e-17   4.8e-16   57.6   0.1   193   344   128   284   125   284 0.81 -
31374at50557_103372_0:0017b9|STRG.5061.1:0-1955|+      -            652 69548at50557         -            348   1.6e-25   88.8   5.5   1   2   3.9e-12   1.2e-10   39.8   0.5   171   345   339   508   330   510 0.86 -
31374at50557_103372_0:0017b9|STRG.5061.1:0-1955|+      -            652 69548at50557         -            348   1.6e-25   88.8   5.5   2   2   2.9e-18   9.2e-17   60.0   0.5   115   305   393   594   384   608 0.82 -
49370at50557_2015173_0:001990|STRG.14034.2:465-1451|+  -            329 69548at50557         -            348   2.1e-24   85.1   5.2   1   3   6.3e-13     2e-11   42.5   0.6   181   346    25   201    13   203 0.80 -
49370at50557_2015173_0:001990|STRG.14034.2:465-1451|+  -            329 69548at50557         -            348   2.1e-24   85.1   5.2   2   3   6.8e-10   2.2e-08   32.5   0.0   244   346   142   243   141   245 0.86 -
49370at50557_2015173_0:001990|STRG.14034.2:465-1451|+  -            329 69548at50557         -            348   2.1e-24   85.1   5.2   3   3   8.4e-08   2.6e-06   25.6   0.1   216   345   198   328   196   329 0.81 -
49370at50557_2015173_0:001990|STRG.14034.4:60-1046|+   -            329 69548at50557         -            348   2.1e-24   85.1   5.2   1   3   6.3e-13     2e-11   42.5   0.6   181   346    25   201    13   203 0.80 -
49370at50557_2015173_0:001990|STRG.14034.4:60-1046|+   -            329 69548at50557         -            348   2.1e-24   85.1   5.2   2   3   6.8e-10   2.2e-08   32.5   0.0   244   346   142   243   141   245 0.86 -
49370at50557_2015173_0:001990|STRG.14034.4:60-1046|+   -            329 69548at50557         -            348   2.1e-24   85.1   5.2   3   3   8.4e-08   2.6e-06   25.6   0.1   216   345   198   328   196   329 0.81 -
43553at50557_103372_0:0013d1|STRG.16625.1:0-1127|+     -            376 69548at50557         -            348   9.6e-24   83.0   3.7   1   3    0.0012     0.038   11.9   0.0   251   346    19   114     7   116 0.67 -
43553at50557_103372_0:0013d1|STRG.16625.1:0-1127|+     -            376 69548at50557         -            348   9.6e-24   83.0   3.7   2   3   1.7e-21   5.5e-20   70.6   2.8    92   317    58   293    56   300 0.77 -
43553at50557_103372_0:0013d1|STRG.16625.1:0-1127|+     -            376 69548at50557         -            348   9.6e-24   83.0   3.7   3   3      0.02      0.64    7.9   0.0   245   304   307   369   289   374 0.71 -
57752at50557_103372_0:000c5a|STRG.2014.2:0-1361|+      -            454 69548at50557         -            348   3.7e-23   81.0   6.9   1   3   5.5e-16   1.7e-14   52.5   1.4   154   320   137   313   130   320 0.80 -
57752at50557_103372_0:000c5a|STRG.2014.2:0-1361|+      -            454 69548at50557         -            348   3.7e-23   81.0   6.9   2   3   4.4e-12   1.4e-10   39.6   0.4   202   344   239   378   235   382 0.84 -
57752at50557_103372_0:000c5a|STRG.2014.2:0-1361|+      -            454 69548at50557         -            348   3.7e-23   81.0   6.9   3   3         3        94    0.8   0.0   237   260   407   431   390   439 0.71 -
33043at50557_454923_0:001231|STRG.11184.1:4335-5705|+  -            457 69548at50557         -            348   7.3e-23   80.1   0.1   1   4    0.0097      0.31    8.9   0.0   204   309    15   118     4   150 0.79 -
33043at50557_454923_0:001231|STRG.11184.1:4335-5705|+  -            457 69548at50557         -            348   7.3e-23   80.1   0.1   2   4     3e-06   9.6e-05   20.5   0.1   157   229   174   258   164   282 0.62 -
33043at50557_454923_0:001231|STRG.11184.1:4335-5705|+  -            457 69548at50557         -            348   7.3e-23   80.1   0.1   3   4   2.3e-05   0.00072   17.6   0.0   207   306   277   372   274   378 0.85 -
33043at50557_454923_0:001231|STRG.11184.1:4335-5705|+  -            457 69548at50557         -            348   7.3e-23   80.1   0.1   4   4   2.3e-08   7.3e-07   27.4   0.1   269   347   378   456   371   457 0.90 -
33043at50557_454923_0:001231|STRG.11184.2:2811-4181|+  -            457 69548at50557         -            348   7.3e-23   80.1   0.1   1   4    0.0097      0.31    8.9   0.0   204   309    15   118     4   150 0.79 -
33043at50557_454923_0:001231|STRG.11184.2:2811-4181|+  -            457 69548at50557         -            348   7.3e-23   80.1   0.1   2   4     3e-06   9.6e-05   20.5   0.1   157   229   174   258   164   282 0.62 -
33043at50557_454923_0:001231|STRG.11184.2:2811-4181|+  -            457 69548at50557         -            348   7.3e-23   80.1   0.1   3   4   2.3e-05   0.00072   17.6   0.0   207   306   277   372   274   378 0.85 -
33043at50557_454923_0:001231|STRG.11184.2:2811-4181|+  -            457 69548at50557         -            348   7.3e-23   80.1   0.1   4   4   2.3e-08   7.3e-07   27.4   0.1   269   347   378   456   371   457 0.90 -
57752at50557_103372_0:000c5a|STRG.2014.1:555-1919|+    -            455 69548at50557         -            348   1.2e-22   79.4   6.6   1   3   1.5e-15   4.7e-14   51.1   1.0   154   308   138   303   131   306 0.80 -
57752at50557_103372_0:000c5a|STRG.2014.1:555-1919|+    -            455 69548at50557         -            348   1.2e-22   79.4   6.6   2   3   5.3e-12   1.7e-10   39.4   0.5   202   344   240   379   238   383 0.84 -
57752at50557_103372_0:000c5a|STRG.2014.1:555-1919|+    -            455 69548at50557         -            348   1.2e-22   79.4   6.6   3   3       2.6        83    0.9   0.1   235   260   406   432   376   440 0.72 -
40115at50557_2015173_0:000ce2|STRG.14884.1:18-776|+    -            253 69548at50557         -            348   1.6e-22   78.9   4.2   1   1   7.2e-24   2.3e-22   78.4   4.2   114   345     5   253     1   253 0.84 -
57752at50557_69319_0:000ee5|STRG.11571.1:79-882|+      -            268 69548at50557         -            348   1.7e-22   78.9   5.4   1   2   1.2e-18   3.7e-17   61.3   5.9   200   345    39   187     8   189 0.85 -
57752at50557_69319_0:000ee5|STRG.11571.1:79-882|+      -            268 69548at50557         -            348   1.7e-22   78.9   5.4   2   2   8.2e-07   2.6e-05   22.3   0.0   171   227   175   238   172   243 0.84 -
78072at50557_7070_0:002a52|STRG.22048.1:429-1271|+     -            281 69548at50557         -            348   4.9e-22   77.3  10.0   1   2   4.7e-13   1.5e-11   42.9   5.5   171   330    13   178    10   181 0.84 -
78072at50557_7070_0:002a52|STRG.22048.1:429-1271|+     -            281 69548at50557         -            348   4.9e-22   77.3  10.0   2   2   2.2e-11   7.1e-10   37.3   0.2   244   343   180   279   176   281 0.87 -
14512at50557_103372_0:0005b9|STRG.3816.1:368-2947|+    -            860 69548at50557         -            348   1.1e-21   76.2   0.0   1   1   5.8e-23   1.8e-21   75.4   0.0    81   298    22   252    10   283 0.81 -
14512at50557_103372_0:0005b9|STRG.3816.2:368-3004|+    -            879 69548at50557         -            348   1.1e-21   76.2   0.0   1   1   6.1e-23   1.9e-21   75.4   0.0    81   298    22   252    10   283 0.81 -
43553at50557_103372_0:0013d1|STRG.16625.2:2-1177|+     -            392 69548at50557         -            348   2.2e-21   75.2   7.2   1   3   0.00062      0.02   12.9   0.3   246   346    56   156    27   167 0.74 -
43553at50557_103372_0:0013d1|STRG.16625.2:2-1177|+     -            392 69548at50557         -            348   2.2e-21   75.2   7.2   2   3     7e-19   2.2e-17   62.0   1.2   185   318   198   336   196   346 0.85 -
43553at50557_103372_0:0013d1|STRG.16625.2:2-1177|+     -            392 69548at50557         -            348   2.2e-21   75.2   7.2   3   3      0.75        24    2.7   0.0   250   283   354   389   332   392 0.63 -
69548at50557_116153_0:002191|STRG.8782.1:477-1175|+    -            233 69548at50557         -            348   1.1e-20   72.9   2.2   1   2   7.9e-11   2.5e-09   35.5   0.2   237   310    72   150    58   153 0.85 -
69548at50557_116153_0:002191|STRG.8782.1:477-1175|+    -            233 69548at50557         -            348   1.1e-20   72.9   2.2   2   2   2.6e-11   8.2e-10   37.1   0.2   270   344   156   232   153   233 0.93 -
69548at50557_116153_0:002191|STRG.8782.2:504-1202|+    -            233 69548at50557         -            348   1.1e-20   72.9   2.2   1   2   7.9e-11   2.5e-09   35.5   0.2   237   310    72   150    58   153 0.85 -
69548at50557_116153_0:002191|STRG.8782.2:504-1202|+    -            233 69548at50557         -            348   1.1e-20   72.9   2.2   2   2   2.6e-11   8.2e-10   37.1   0.2   270   344   156   232   153   233 0.93 -
69548at50557_116153_0:002191|STRG.8782.3:648-1346|+    -            233 69548at50557         -            348   1.1e-20   72.9   2.2   1   2   7.9e-11   2.5e-09   35.5   0.2   237   310    72   150    58   153 0.85 -
69548at50557_116153_0:002191|STRG.8782.3:648-1346|+    -            233 69548at50557         -            348   1.1e-20   72.9   2.2   2   2   2.6e-11   8.2e-10   37.1   0.2   270   344   156   232   153   233 0.93 -
69548at50557_116153_0:002191|STRG.8782.4:1005-1703|+   -            233 69548at50557         -            348   1.1e-20   72.9   2.2   1   2   7.9e-11   2.5e-09   35.5   0.2   237   310    72   150    58   153 0.85 -
69548at50557_116153_0:002191|STRG.8782.4:1005-1703|+   -            233 69548at50557         -            348   1.1e-20   72.9   2.2   2   2   2.6e-11   8.2e-10   37.1   0.2   270   344   156   232   153   233 0.93 -
69548at50557_116153_0:002191|STRG.8782.5:555-1253|+    -            233 69548at50557         -            348   1.1e-20   72.9   2.2   1   2   7.9e-11   2.5e-09   35.5   0.2   237   310    72   150    58   153 0.85 -
69548at50557_116153_0:002191|STRG.8782.5:555-1253|+    -            233 69548at50557         -            348   1.1e-20   72.9   2.2   2   2   2.6e-11   8.2e-10   37.1   0.2   270   344   156   232   153   233 0.93 -
49370at50557_456900_0:00265d|STRG.24170.1:236-1804|+   -            523 69548at50557         -            348   1.5e-20   72.5   1.5   1   3      0.19       6.1    4.7   0.0   171   205   239   274   233   283 0.84 -
49370at50557_456900_0:00265d|STRG.24170.1:236-1804|+   -            523 69548at50557         -            348   1.5e-20   72.5   1.5   2   3    0.0019      0.06   11.3   0.0   170   223   294   356   286   362 0.81 -
49370at50557_456900_0:00265d|STRG.24170.1:236-1804|+   -            523 69548at50557         -            348   1.5e-20   72.5   1.5   3   3   9.6e-18     3e-16   58.3   1.0   172   345   340   520   336   523 0.84 -
49370at50557_456900_0:00265d|STRG.24170.2:212-1780|+   -            523 69548at50557         -            348   1.5e-20   72.5   1.5   1   3      0.19       6.1    4.7   0.0   171   205   239   274   233   283 0.84 -
49370at50557_456900_0:00265d|STRG.24170.2:212-1780|+   -            523 69548at50557         -            348   1.5e-20   72.5   1.5   2   3    0.0019      0.06   11.3   0.0   170   223   294   356   286   362 0.81 -
49370at50557_456900_0:00265d|STRG.24170.2:212-1780|+   -            523 69548at50557         -            348   1.5e-20   72.5   1.5   3   3   9.6e-18     3e-16   58.3   1.0   172   345   340   520   336   523 0.84 -
49370at50557_456900_0:00265d|STRG.24170.3:0-1568|+     -            523 69548at50557         -            348   1.5e-20   72.5   1.5   1   3      0.19       6.1    4.7   0.0   171   205   239   274   233   283 0.84 -
49370at50557_456900_0:00265d|STRG.24170.3:0-1568|+     -            523 69548at50557         -            348   1.5e-20   72.5   1.5   2   3    0.0019      0.06   11.3   0.0   170   223   294   356   286   362 0.81 -
49370at50557_456900_0:00265d|STRG.24170.3:0-1568|+     -            523 69548at50557         -            348   1.5e-20   72.5   1.5   3   3   9.6e-18     3e-16   58.3   1.0   172   345   340   520   336   523 0.84 -
78072at50557_34720_0:000cf9|STRG.17034.1:162-1169|+    -            336 69548at50557         -            348   2.7e-20   71.6  31.7   1   2   1.3e-08     4e-07   28.3   6.5   112   220    11   136     3   138 0.78 -
78072at50557_34720_0:000cf9|STRG.17034.1:162-1169|+    -            336 69548at50557         -            348   2.7e-20   71.6  31.7   2   2   2.7e-17   8.4e-16   56.8  17.3    93   303    78   334    75   336 0.76 -
78072at50557_34720_0:000cf9|STRG.17034.2:9-1019|+      -            337 69548at50557         -            348   3.1e-20   71.4  27.8   1   2   2.1e-08   6.7e-07   27.6   2.5   112   209    10   118     5   120 0.81 -
78072at50557_34720_0:000cf9|STRG.17034.2:9-1019|+      -            337 69548at50557         -            348   3.1e-20   71.4  27.8   2   2   2.2e-17   6.9e-16   57.1  17.5    93   303    77   333    73   337 0.76 -
80377at50557_454923_0:001015|STRG.19738.1:30-809|+     -            260 69548at50557         -            348   7.4e-20   70.2   7.8   1   2   3.2e-18     1e-16   59.8   4.4   171   309    21   173     1   181 0.79 -
80377at50557_454923_0:001015|STRG.19738.1:30-809|+     -            260 69548at50557         -            348   7.4e-20   70.2   7.8   2   2    0.0021     0.068   11.1   0.1   158   228   179   259   170   260 0.72 -
80377at50557_166361_0:002fc1|STRG.21442.2:1270-2037|+  -            256 69548at50557         -            348   8.3e-20   70.0   3.0   1   3   7.7e-14   2.4e-12   45.4   1.1   194   328    19   156    12   158 0.81 -
80377at50557_166361_0:002fc1|STRG.21442.2:1270-2037|+  -            256 69548at50557         -            348   8.3e-20   70.0   3.0   2   3   1.3e-06   4.1e-05   21.7   0.1   270   315   142   187   137   194 0.84 -
80377at50557_166361_0:002fc1|STRG.21442.2:1270-2037|+  -            256 69548at50557         -            348   8.3e-20   70.0   3.0   3   3       0.2       6.2    4.6   0.0   290   343   202   254   187   255 0.71 -
40115at50557_29053_0:0017ce|STRG.10646.3:162-1034|+    -            291 69548at50557         -            348   5.5e-19   67.3   6.5   1   2   3.3e-15     1e-13   50.0   0.9   118   309     4   211     2   217 0.70 -
40115at50557_29053_0:0017ce|STRG.10646.3:162-1034|+    -            291 69548at50557         -            348   5.5e-19   67.3   6.5   2   2   7.9e-05    0.0025   15.8   0.6    93   142   237   291   231   291 0.76 -
43553at50557_319348_0:003bc4|STRG.10646.2:527-1252|+   -            242 69548at50557         -            348   2.2e-18   65.3   1.1   1   2   2.5e-14   7.8e-13   47.1   0.0   172   309    14   162     8   169 0.76 -
43553at50557_319348_0:003bc4|STRG.10646.2:527-1252|+   -            242 69548at50557         -            348   2.2e-18   65.3   1.1   2   2     6e-05    0.0019   16.2   0.6    93   142   188   242   182   242 0.76 -
56099at50557_34720_0:001a91|STRG.22631.1:0-1331|+      -            444 69548at50557         -            348   2.8e-18   65.0   2.0   1   1   8.5e-13   2.7e-11   42.0   0.1   243   347   208   310   173   311 0.88 -
43553at50557_136037_0:001d49|STRG.10646.1:84-893|+     -            270 69548at50557         -            348     3e-18   64.9   4.8   1   2   5.7e-16   1.8e-14   52.5   1.2   168   345    38   228     1   230 0.67 -
43553at50557_136037_0:001d49|STRG.10646.1:84-893|+     -            270 69548at50557         -            348     3e-18   64.9   4.8   2   2   6.9e-05    0.0022   16.0   0.6    93   142   216   270   210   270 0.76 -
40115at50557_144034_0:000898|STRG.15013.1:1204-2073|+  -            290 69548at50557         -            348   5.5e-18   64.0   0.6   1   3     0.006      0.19    9.6   0.2   272   346     3    76     1    80 0.80 -
40115at50557_144034_0:000898|STRG.15013.1:1204-2073|+  -            290 69548at50557         -            348   5.5e-18   64.0   0.6   2   3   1.5e-09   4.9e-08   31.3   0.0   227   345    88   204    77   206 0.79 -
40115at50557_144034_0:000898|STRG.15013.1:1204-2073|+  -            290 69548at50557         -            348   5.5e-18   64.0   0.6   3   3   9.3e-08     3e-06   25.4   0.0    95   183   194   290   190   290 0.83 -
31374at50557_133901_0:001035|STRG.11576.4:1018-1998|+  -            327 69548at50557         -            348   1.7e-17   62.4   0.1   1   1     1e-18   3.2e-17   61.5   0.1   114   306    78   281    69   287 0.82 -
14512at50557_29053_0:0002b6|STRG.9710.1:49-759|+       -            237 69548at50557         -            348   2.3e-17   62.0   4.2   1   3   2.2e-07   6.8e-06   24.2   0.0   271   345     4    77     2    78 0.84 -
14512at50557_29053_0:0002b6|STRG.9710.1:49-759|+       -            237 69548at50557         -            348   2.3e-17   62.0   4.2   2   3   2.3e-07   7.1e-06   24.2   0.7   246   306    65   122    59   130 0.77 -
14512at50557_29053_0:0002b6|STRG.9710.1:49-759|+       -            237 69548at50557         -            348   2.3e-17   62.0   4.2   3   3   1.8e-06   5.7e-05   21.2   0.2   265   345   154   235   149   237 0.70 -
78072at50557_7038_0:0021a3|STRG.3821.1:789-1637|+      -            283 69548at50557         -            348   3.4e-17   61.4   1.2   1   3   0.00013    0.0042   15.1   0.0   268   316    40    88     8    93 0.75 -
78072at50557_7038_0:0021a3|STRG.3821.1:789-1637|+      -            283 69548at50557         -            348   3.4e-17   61.4   1.2   2   3   3.3e-08     1e-06   26.9   0.1   280   346    95   162    89   164 0.90 -
78072at50557_7038_0:0021a3|STRG.3821.1:789-1637|+      -            283 69548at50557         -            348   3.4e-17   61.4   1.2   3   3   3.1e-05   0.00098   17.1   0.0   298   346   204   258   201   260 0.84 -
78072at50557_7038_0:0021a3|STRG.3821.3:789-1637|+      -            283 69548at50557         -            348   3.4e-17   61.4   1.2   1   3   0.00013    0.0042   15.1   0.0   268   316    40    88     8    93 0.75 -
78072at50557_7038_0:0021a3|STRG.3821.3:789-1637|+      -            283 69548at50557         -            348   3.4e-17   61.4   1.2   2   3   3.3e-08     1e-06   26.9   0.1   280   346    95   162    89   164 0.90 -
78072at50557_7038_0:0021a3|STRG.3821.3:789-1637|+      -            283 69548at50557         -            348   3.4e-17   61.4   1.2   3   3   3.1e-05   0.00098   17.1   0.0   298   346   204   258   201   260 0.84 -
78072at50557_7038_0:0021a3|STRG.3821.4:180-1028|+      -            283 69548at50557         -            348   3.4e-17   61.4   1.2   1   3   0.00013    0.0042   15.1   0.0   268   316    40    88     8    93 0.75 -
78072at50557_7038_0:0021a3|STRG.3821.4:180-1028|+      -            283 69548at50557         -            348   3.4e-17   61.4   1.2   2   3   3.3e-08     1e-06   26.9   0.1   280   346    95   162    89   164 0.90 -
78072at50557_7038_0:0021a3|STRG.3821.4:180-1028|+      -            283 69548at50557         -            348   3.4e-17   61.4   1.2   3   3   3.1e-05   0.00098   17.1   0.0   298   346   204   258   201   260 0.84 -
80377at50557_30019_0:0008bb|STRG.1919.1:27-794|+       -            256 69548at50557         -            348   3.5e-17   61.4   0.1   1   2   1.3e-09   4.1e-08   31.5   0.0   245   344    20   116    10   120 0.87 -
80377at50557_30019_0:0008bb|STRG.1919.1:27-794|+       -            256 69548at50557         -            348   3.5e-17   61.4   0.1   2   2   1.7e-08   5.3e-07   27.9   0.0   186   310   123   250   116   255 0.88 -
