#                                                                                                              --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                          accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                  ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
68043at50557_34720_0:001307|STRG.4770.1:0-1676|+       -            559 68043at50557         -            302  2.1e-145  482.2   0.0   1   1  8.3e-147  7.3e-145  480.5   0.0     8   302   144   481   138   481 0.91 -
46658at50557_28612_0:0048c7|STRG.17951.2:78-2450|+     -            395 68043at50557         -            302   8.4e-36  122.4   1.2   1   1   2.3e-37     2e-35  121.1   1.2     7   300    25   356    22   358 0.79 -
35385at50557_37001_0:001231|STRG.3703.4:296-1375|+     -            360 68043at50557         -            302   2.2e-34  117.7   0.0   1   1   5.6e-36   4.8e-34  116.6   0.0    12   266    63   360    54   360 0.75 -
35385at50557_37001_0:001231|STRG.3703.5:236-1315|+     -            360 68043at50557         -            302   2.2e-34  117.7   0.0   1   1   5.6e-36   4.8e-34  116.6   0.0    12   266    63   360    54   360 0.75 -
43304at50557_34720_0:00174e|STRG.8305.1:74-2281|+      -            736 68043at50557         -            302   1.4e-33  115.0   1.5   1   3   4.1e-11   3.6e-09   34.9   0.0     5    60   146   203   143   207 0.86 -
43304at50557_34720_0:00174e|STRG.8305.1:74-2281|+      -            736 68043at50557         -            302   1.4e-33  115.0   1.5   2   3   5.8e-12     5e-10   37.7   0.2    61   147   257   360   251   418 0.73 -
43304at50557_34720_0:00174e|STRG.8305.1:74-2281|+      -            736 68043at50557         -            302   1.4e-33  115.0   1.5   3   3   1.3e-12   1.1e-10   39.8   0.0   232   300   491   559   463   561 0.93 -
43304at50557_34720_0:00174e|STRG.8305.2:0-2207|+       -            736 68043at50557         -            302   1.4e-33  115.0   1.5   1   3   4.1e-11   3.6e-09   34.9   0.0     5    60   146   203   143   207 0.86 -
43304at50557_34720_0:00174e|STRG.8305.2:0-2207|+       -            736 68043at50557         -            302   1.4e-33  115.0   1.5   2   3   5.8e-12     5e-10   37.7   0.2    61   147   257   360   251   418 0.73 -
43304at50557_34720_0:00174e|STRG.8305.2:0-2207|+       -            736 68043at50557         -            302   1.4e-33  115.0   1.5   3   3   1.3e-12   1.1e-10   39.8   0.0   232   300   491   559   463   561 0.93 -
46658at50557_7260_0:0034ab|STRG.10755.1:222-1331|+     -            370 68043at50557         -            302   4.6e-33  113.4   0.2   1   1   9.3e-35   8.1e-33  112.6   0.2     8   300     9   344     4   346 0.78 -
57791at50557_34720_0:001e64|STRG.11632.1:76-2064|+     -            663 68043at50557         -            302   6.1e-33  113.0   0.3   1   2   2.8e-13   2.4e-11   42.0   0.4    39   135   241   367   233   372 0.70 -
57791at50557_34720_0:001e64|STRG.11632.1:76-2064|+     -            663 68043at50557         -            302   6.1e-33  113.0   0.3   2   2   1.5e-20   1.3e-18   65.9   0.0   193   302   469   582   453   582 0.87 -
57791at50557_34720_0:001e64|STRG.11632.2:0-1988|+      -            663 68043at50557         -            302   6.1e-33  113.0   0.3   1   2   2.8e-13   2.4e-11   42.0   0.4    39   135   241   367   233   372 0.70 -
57791at50557_34720_0:001e64|STRG.11632.2:0-1988|+      -            663 68043at50557         -            302   6.1e-33  113.0   0.3   2   2   1.5e-20   1.3e-18   65.9   0.0   193   302   469   582   453   582 0.87 -
25910at50557_103372_0:001a63|STRG.12378.3:3-2177|+     -            725 68043at50557         -            302   7.5e-33  112.7   0.0   1   3   1.4e-10   1.2e-08   33.2   0.0     9    58    10    59     3    64 0.91 -
25910at50557_103372_0:001a63|STRG.12378.3:3-2177|+     -            725 68043at50557         -            302   7.5e-33  112.7   0.0   2   3   2.9e-08   2.6e-06   25.5   0.0    60   138   284   377   281   388 0.71 -
25910at50557_103372_0:001a63|STRG.12378.3:3-2177|+     -            725 68043at50557         -            302   7.5e-33  112.7   0.0   3   3   1.5e-15   1.3e-13   49.5   0.0   228   300   531   603   491   605 0.87 -
25910at50557_103372_0:001a63|STRG.12378.1:114-2363|+   -            728 68043at50557         -            302   7.5e-33  112.7   0.0   1   3   1.4e-10   1.2e-08   33.2   0.0     9    58    13    62     6    67 0.91 -
25910at50557_103372_0:001a63|STRG.12378.1:114-2363|+   -            728 68043at50557         -            302   7.5e-33  112.7   0.0   2   3     3e-08   2.6e-06   25.5   0.0    60   138   287   380   284   391 0.71 -
25910at50557_103372_0:001a63|STRG.12378.1:114-2363|+   -            728 68043at50557         -            302   7.5e-33  112.7   0.0   3   3   1.5e-15   1.3e-13   49.5   0.0   228   300   534   606   494   608 0.87 -
25910at50557_103372_0:001a63|STRG.12378.2:114-2297|+   -            728 68043at50557         -            302   7.5e-33  112.7   0.0   1   3   1.4e-10   1.2e-08   33.2   0.0     9    58    13    62     6    67 0.91 -
25910at50557_103372_0:001a63|STRG.12378.2:114-2297|+   -            728 68043at50557         -            302   7.5e-33  112.7   0.0   2   3     3e-08   2.6e-06   25.5   0.0    60   138   287   380   284   391 0.71 -
25910at50557_103372_0:001a63|STRG.12378.2:114-2297|+   -            728 68043at50557         -            302   7.5e-33  112.7   0.0   3   3   1.5e-15   1.3e-13   49.5   0.0   228   300   534   606   494   608 0.87 -
35385at50557_37001_0:001231|STRG.10459.2:188-1380|+    -            360 68043at50557         -            302   4.3e-32  110.2   0.1   1   1   1.1e-33   9.5e-32  109.0   0.1    13   266    66   360    58   360 0.78 -
123578at50557_7168_0:0013fb|STRG.13638.1:408-1772|+    -            455 68043at50557         -            302   1.1e-31  108.8   1.1   1   2   5.3e-16   4.6e-14   51.0   0.3     7   145    81   243    77   249 0.76 -
123578at50557_7168_0:0013fb|STRG.13638.1:408-1772|+    -            455 68043at50557         -            302   1.1e-31  108.8   1.1   2   2   1.9e-17   1.7e-15   55.7   0.0   159   298   288   428   265   431 0.75 -
41619at50557_34720_0:0004fb|STRG.3402.1:90-1721|+      -            544 68043at50557         -            302   3.9e-31  107.0   3.1   1   2   1.3e-22   1.1e-20   72.7   1.1    10   148    24   187    19   320 0.70 -
41619at50557_34720_0:0004fb|STRG.3402.1:90-1721|+      -            544 68043at50557         -            302   3.9e-31  107.0   3.1   2   2   1.8e-10   1.6e-08   32.8   0.0   262   300   340   378   335   380 0.94 -
41619at50557_34720_0:0004fb|STRG.3402.2:90-1955|+      -            544 68043at50557         -            302   3.9e-31  107.0   3.1   1   2   1.3e-22   1.1e-20   72.7   1.1    10   148    24   187    19   320 0.70 -
41619at50557_34720_0:0004fb|STRG.3402.2:90-1955|+      -            544 68043at50557         -            302   3.9e-31  107.0   3.1   2   2   1.8e-10   1.6e-08   32.8   0.0   262   300   340   378   335   380 0.94 -
41619at50557_34720_0:0004fb|STRG.3402.3:90-2170|+      -            544 68043at50557         -            302   3.9e-31  107.0   3.1   1   2   1.3e-22   1.1e-20   72.7   1.1    10   148    24   187    19   320 0.70 -
41619at50557_34720_0:0004fb|STRG.3402.3:90-2170|+      -            544 68043at50557         -            302   3.9e-31  107.0   3.1   2   2   1.8e-10   1.6e-08   32.8   0.0   262   300   340   378   335   380 0.94 -
29312at50557_34720_0:0009c1|STRG.1227.2:255-1672|+     -            418 68043at50557         -            302   1.7e-25   88.6   0.0   1   1   2.9e-27   2.6e-25   87.9   0.0    10   137   266   417   259   418 0.77 -
46658at50557_219809_0:0017ae|STRG.6283.2:442-1200|+    -            253 68043at50557         -            302   4.3e-24   83.9   0.1   1   1     7e-26   6.1e-24   83.4   0.1    17   147   103   250    94   253 0.80 -
35385at50557_1155016_0:002498|STRG.10628.2:39-404|+    -            122 68043at50557         -            302   7.7e-23   79.8   0.0   1   1     1e-24   8.8e-23   79.6   0.0   205   300     1    96     1    98 0.97 -
35385at50557_1155016_0:002498|STRG.10628.3:160-525|+   -            122 68043at50557         -            302   7.7e-23   79.8   0.0   1   1     1e-24   8.8e-23   79.6   0.0   205   300     1    96     1    98 0.97 -
35385at50557_1155016_0:002498|STRG.10628.4:39-404|+    -            122 68043at50557         -            302   7.7e-23   79.8   0.0   1   1     1e-24   8.8e-23   79.6   0.0   205   300     1    96     1    98 0.97 -
35385at50557_1155016_0:002498|STRG.10628.1:160-534|+   -            125 68043at50557         -            302   8.3e-23   79.7   0.0   1   1   1.1e-24   9.5e-23   79.5   0.0   205   300     1    96     1    98 0.97 -
65449at50557_103372_0:002499|STRG.10112.4:2-583|+      -            194 68043at50557         -            302   5.5e-20   70.4   0.6   1   1   1.2e-20     1e-18   66.2   0.6    28   176     3   185     1   188 0.65 -
29312at50557_29031_0:001a6d|STRG.11872.1:181-730|+     -            178 68043at50557         -            302     1e-19   69.5   0.5   1   1   1.4e-21   1.3e-19   69.2   0.5   122   281     1   175     1   178 0.83 -
29312at50557_29031_0:001a6d|STRG.11872.2:2-530|+       -            171 68043at50557         -            302   3.3e-17   61.3   0.2   1   1   4.2e-19   3.6e-17   61.2   0.2   156   281    40   168     7   171 0.88 -
29312at50557_29031_0:001a6d|STRG.12210.1:641-1189|+    -            183 68043at50557         -            302     1e-16   59.7   0.0   1   1   1.4e-18   1.2e-16   59.4   0.0   180   302    50   175     5   175 0.85 -
19244at50557_116153_0:001e22|STRG.5665.1:3-1052|+      -            350 68043at50557         -            302   1.1e-16   59.6   0.8   1   2   9.6e-11   8.4e-09   33.7   0.4    22   145    16   160     4   196 0.65 -
19244at50557_116153_0:001e22|STRG.5665.1:3-1052|+      -            350 68043at50557         -            302   1.1e-16   59.6   0.8   2   2   1.1e-07   9.6e-06   23.7   0.0   207   299   252   344   244   346 0.92 -
35385at50557_1155016_0:002498|STRG.17784.2:700-1089|+  -            130 68043at50557         -            302     9e-16   56.6   0.0   1   1     1e-17     9e-16   56.6   0.0   230   301    48   119     9   120 0.90 -
68043at50557_197043_0:0006b9|STRG.19083.3:167-607|+    -            147 68043at50557         -            302   1.1e-15   56.3   0.0   1   1   2.2e-17   1.9e-15   55.5   0.0    14    84    56   137    47   143 0.82 -
65449at50557_34720_0:000b83|STRG.10112.2:326-1258|+    -            311 68043at50557         -            302   4.7e-15   54.2   0.0   1   1   9.2e-17     8e-15   53.5   0.0   226   302     4    79     1    79 0.94 -
65449at50557_42026_0:002fbc|STRG.12646.3:220-1631|+    -            351 68043at50557         -            302   5.6e-15   54.0   0.6   1   3   1.6e-10   1.4e-08   33.0   0.1     8    58    16    66    11    89 0.91 -
65449at50557_42026_0:002fbc|STRG.12646.3:220-1631|+    -            351 68043at50557         -            302   5.6e-15   54.0   0.6   2   3    0.0016      0.14    9.9   0.1    93   135    89   133    80   149 0.78 -
65449at50557_42026_0:002fbc|STRG.12646.3:220-1631|+    -            351 68043at50557         -            302   5.6e-15   54.0   0.6   3   3    0.0064      0.56    8.0   0.0   272   298   200   226   190   231 0.87 -
65449at50557_42026_0:002fbc|STRG.12646.5:292-1703|+    -            351 68043at50557         -            302   5.6e-15   54.0   0.6   1   3   1.6e-10   1.4e-08   33.0   0.1     8    58    16    66    11    89 0.91 -
65449at50557_42026_0:002fbc|STRG.12646.5:292-1703|+    -            351 68043at50557         -            302   5.6e-15   54.0   0.6   2   3    0.0016      0.14    9.9   0.1    93   135    89   133    80   149 0.78 -
65449at50557_42026_0:002fbc|STRG.12646.5:292-1703|+    -            351 68043at50557         -            302   5.6e-15   54.0   0.6   3   3    0.0064      0.56    8.0   0.0   272   298   200   226   190   231 0.87 -
65449at50557_7220_0:002055|STRG.12646.6:98-1509|+      -            351 68043at50557         -            302   5.6e-15   54.0   0.6   1   3   1.6e-10   1.4e-08   33.0   0.1     8    58    16    66    11    89 0.91 -
65449at50557_7220_0:002055|STRG.12646.6:98-1509|+      -            351 68043at50557         -            302   5.6e-15   54.0   0.6   2   3    0.0016      0.14    9.9   0.1    93   135    89   133    80   149 0.78 -
65449at50557_7220_0:002055|STRG.12646.6:98-1509|+      -            351 68043at50557         -            302   5.6e-15   54.0   0.6   3   3    0.0064      0.56    8.0   0.0   272   298   200   226   190   231 0.87 -
19244at50557_116153_0:001e22|STRG.5665.2:222-1193|+    -            324 68043at50557         -            302   1.1e-14   53.0   0.3   1   2   1.2e-08   1.1e-06   26.8   0.1    33   145     2   134     1   170 0.64 -
19244at50557_116153_0:001e22|STRG.5665.2:222-1193|+    -            324 68043at50557         -            302   1.1e-14   53.0   0.3   2   2   9.5e-08   8.3e-06   23.9   0.0   207   299   226   318   218   320 0.92 -
19244at50557_29053_0:002948|STRG.9934.1:1760-2947|+    -            396 68043at50557         -            302   1.1e-12   46.5   0.2   1   2   0.00015     0.013   13.4   0.1    23    98     9    85     2   173 0.73 -
19244at50557_29053_0:002948|STRG.9934.1:1760-2947|+    -            396 68043at50557         -            302   1.1e-12   46.5   0.2   2   2     1e-09     9e-08   30.3   0.0   205   298   230   323   207   326 0.90 -
19244at50557_29053_0:002948|STRG.9934.2:1566-2753|+    -            396 68043at50557         -            302   1.1e-12   46.5   0.2   1   2   0.00015     0.013   13.4   0.1    23    98     9    85     2   173 0.73 -
19244at50557_29053_0:002948|STRG.9934.2:1566-2753|+    -            396 68043at50557         -            302   1.1e-12   46.5   0.2   2   2     1e-09     9e-08   30.3   0.0   205   298   230   323   207   326 0.90 -
19244at50557_29053_0:002948|STRG.9934.3:1539-2726|+    -            396 68043at50557         -            302   1.1e-12   46.5   0.2   1   2   0.00015     0.013   13.4   0.1    23    98     9    85     2   173 0.73 -
19244at50557_29053_0:002948|STRG.9934.3:1539-2726|+    -            396 68043at50557         -            302   1.1e-12   46.5   0.2   2   2     1e-09     9e-08   30.3   0.0   205   298   230   323   207   326 0.90 -
46658at50557_56086_0:000311|STRG.13047.1:177-671|+     -            165 68043at50557         -            302     5e-12   44.3   0.0   1   1   7.4e-14   6.4e-12   43.9   0.0    13   129    30   165    21   165 0.77 -
19244at50557_34720_0:002014|STRG.595.1:0-4565|+        -           1522 68043at50557         -            302   1.8e-10   39.1   1.7   1   2      0.02       1.7    6.4   0.1    16   109   824   932   811   972 0.61 -
19244at50557_34720_0:002014|STRG.595.1:0-4565|+        -           1522 68043at50557         -            302   1.8e-10   39.1   1.7   2   2   1.3e-09   1.1e-07   30.0   0.1   231   298  1096  1163  1091  1167 0.94 -
19244at50557_116153_0:001e22|STRG.3397.3:318-1253|+    -            312 68043at50557         -            302   4.9e-10   37.8   0.2   1   2     0.003      0.26    9.1   0.1    33    96     2    65     1   138 0.69 -
19244at50557_116153_0:001e22|STRG.3397.3:318-1253|+    -            312 68043at50557         -            302   4.9e-10   37.8   0.2   2   2   1.5e-08   1.3e-06   26.5   0.0   193   300   202   310   193   312 0.88 -
68043at50557_133901_0:001e43|STRG.14064.2:1281-2504|+  -            408 68043at50557         -            302   1.3e-09   36.4   1.4   1   2     1e-06   8.8e-05   20.5   0.8    34   134    30   156     5   177 0.68 -
68043at50557_133901_0:001e43|STRG.14064.2:1281-2504|+  -            408 68043at50557         -            302   1.3e-09   36.4   1.4   2   2    0.0015      0.13   10.1   0.0   221   275   310   362   234   380 0.84 -
68043at50557_133901_0:001e43|STRG.14064.3:1290-2513|+  -            408 68043at50557         -            302   1.3e-09   36.4   1.4   1   2     1e-06   8.8e-05   20.5   0.8    34   134    30   156     5   177 0.68 -
68043at50557_133901_0:001e43|STRG.14064.3:1290-2513|+  -            408 68043at50557         -            302   1.3e-09   36.4   1.4   2   2    0.0015      0.13   10.1   0.0   221   275   310   362   234   380 0.84 -
68043at50557_319348_0:001081|STRG.14064.1:3320-4429|+  -            370 68043at50557         -            302   5.5e-08   31.0   0.1   1   2   1.7e-07   1.5e-05   23.0   0.0    18   136     2   139     1   185 0.73 -
68043at50557_319348_0:001081|STRG.14064.1:3320-4429|+  -            370 68043at50557         -            302   5.5e-08   31.0   0.1   2   2     0.034         3    5.6   0.0   230   275   295   340   278   347 0.89 -
68043at50557_319348_0:001081|STRG.14064.2:3855-4964|+  -            370 68043at50557         -            302   5.5e-08   31.0   0.1   1   2   1.7e-07   1.5e-05   23.0   0.0    18   136     2   139     1   185 0.73 -
68043at50557_319348_0:001081|STRG.14064.2:3855-4964|+  -            370 68043at50557         -            302   5.5e-08   31.0   0.1   2   2     0.034         3    5.6   0.0   230   275   295   340   278   347 0.89 -
68043at50557_319348_0:001081|STRG.14064.3:3864-4973|+  -            370 68043at50557         -            302   5.5e-08   31.0   0.1   1   2   1.7e-07   1.5e-05   23.0   0.0    18   136     2   139     1   185 0.73 -
68043at50557_319348_0:001081|STRG.14064.3:3864-4973|+  -            370 68043at50557         -            302   5.5e-08   31.0   0.1   2   2     0.034         3    5.6   0.0   230   275   295   340   278   347 0.89 -
68043at50557_286306_0:0022d4|STRG.13516.1:56-1162|+    -            369 68043at50557         -            302   2.8e-06   25.4   0.1   1   3     0.044       3.8    5.3   0.1    31    57     1    27     1   129 0.63 -
