#                                                                                                              --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                          accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                  ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
83902at50557_13686_0:0017a1|STRG.8777.1:0-851|+        -            284 83902at50557         -            211  2.4e-106  352.7  11.0   1   1  1.3e-107    1e-105  350.6  11.0     1   211    15   256    15   256 0.93 -
25718at50557_197043_0:00510d|STRG.7495.1:102-1781|+    -            560 83902at50557         -            211   9.4e-28   95.9  33.7   2   6   9.2e-06   0.00075   17.8   0.7   116   181   139   209   111   216 0.77 -
25718at50557_197043_0:00510d|STRG.7495.1:102-1781|+    -            560 83902at50557         -            211   9.4e-28   95.9  33.7   3   6   4.8e-13   3.9e-11   41.6   5.8    34   177   215   376   211   379 0.75 -
25718at50557_197043_0:00510d|STRG.7495.1:102-1781|+    -            560 83902at50557         -            211   9.4e-28   95.9  33.7   4   6   1.3e-06   0.00011   20.6   0.5    90   155   380   449   373   455 0.89 -
25718at50557_197043_0:00510d|STRG.7495.1:102-1781|+    -            560 83902at50557         -            211   9.4e-28   95.9  33.7   5   6   4.4e-06   0.00036   18.9   0.3   118   178   432   496   427   501 0.86 -
25718at50557_197043_0:00510d|STRG.7495.1:102-1781|+    -            560 83902at50557         -            211   9.4e-28   95.9  33.7   6   6       0.2        16    3.6   0.2    33    74   480   522   478   535 0.76 -
25718at50557_54969_0:001d6b|STRG.20998.1:501-2948|+    -            816 83902at50557         -            211   4.6e-26   90.4  29.9   1   5     3e-11   2.4e-09   35.8   1.8    81   181    38   143     1   167 0.72 -
25718at50557_54969_0:001d6b|STRG.20998.1:501-2948|+    -            816 83902at50557         -            211   4.6e-26   90.4  29.9   2   5   5.4e-06   0.00044   18.6   0.1    91   178   170   262   165   266 0.88 -
25718at50557_54969_0:001d6b|STRG.20998.1:501-2948|+    -            816 83902at50557         -            211   4.6e-26   90.4  29.9   3   5   0.00045     0.036   12.3   1.2    35   138   319   412   312   447 0.61 -
25718at50557_54969_0:001d6b|STRG.20998.1:501-2948|+    -            816 83902at50557         -            211   4.6e-26   90.4  29.9   4   5     0.027       2.1    6.5   0.4    28    89   451   514   440   524 0.79 -
25718at50557_54969_0:001d6b|STRG.20998.1:501-2948|+    -            816 83902at50557         -            211   4.6e-26   90.4  29.9   5   5   4.4e-05    0.0036   15.6   0.3    88   154   675   745   658   756 0.84 -
8280at50557_166423_0:002d2f|STRG.12134.1:9-3240|+      -            868 83902at50557         -            211   5.7e-26   90.1  51.0   1   9   2.1e-10   1.7e-08   33.0   3.6    71   178   116   232    62   239 0.74 -
8280at50557_166423_0:002d2f|STRG.12134.1:9-3240|+      -            868 83902at50557         -            211   5.7e-26   90.1  51.0   2   9   3.2e-06   0.00026   19.3   0.3    91   154   187   255   184   263 0.85 -
8280at50557_166423_0:002d2f|STRG.12134.1:9-3240|+      -            868 83902at50557         -            211   5.7e-26   90.1  51.0   3   9   3.6e-05    0.0029   15.9   1.6    67   181   241   360   233   368 0.84 -
8280at50557_166423_0:002d2f|STRG.12134.1:9-3240|+      -            868 83902at50557         -            211   5.7e-26   90.1  51.0   4   9     0.073       5.9    5.1   3.1    39   146   322   449   316   486 0.51 -
8280at50557_166423_0:002d2f|STRG.12134.1:9-3240|+      -            868 83902at50557         -            211   5.7e-26   90.1  51.0   5   9    0.0095      0.77    8.0   0.7    85   134   504   554   433   568 0.71 -
8280at50557_166423_0:002d2f|STRG.12134.1:9-3240|+      -            868 83902at50557         -            211   5.7e-26   90.1  51.0   6   9    0.0003     0.024   12.9   3.4    44   157   502   631   486   635 0.74 -
8280at50557_166423_0:002d2f|STRG.12134.1:9-3240|+      -            868 83902at50557         -            211   5.7e-26   90.1  51.0   7   9   0.00061      0.05   11.9   0.6    90   123   632   665   623   682 0.83 -
8280at50557_166423_0:002d2f|STRG.12134.1:9-3240|+      -            868 83902at50557         -            211   5.7e-26   90.1  51.0   8   9   3.2e-07   2.6e-05   22.6   2.8    96   180   698   788   688   794 0.83 -
8280at50557_166423_0:002d2f|STRG.12134.1:9-3240|+      -            868 83902at50557         -            211   5.7e-26   90.1  51.0   9   9     3e-05    0.0025   16.1   0.3    35    87   796   848   789   862 0.81 -
7376at50557_121225_0:001986|STRG.21028.1:411-2795|+    -            795 83902at50557         -            211     5e-25   87.0  34.2   1   7   1.9e-10   1.5e-08   33.2   0.5    33   181    17   161    12   168 0.81 -
7376at50557_121225_0:001986|STRG.21028.1:411-2795|+    -            795 83902at50557         -            211     5e-25   87.0  34.2   2   7   4.4e-06   0.00035   18.9   2.2    94   177   165   255   161   258 0.82 -
7376at50557_121225_0:001986|STRG.21028.1:411-2795|+    -            795 83902at50557         -            211     5e-25   87.0  34.2   3   7   2.2e-11   1.7e-09   36.2   5.6    33   189   240   410   237   417 0.84 -
7376at50557_121225_0:001986|STRG.21028.1:411-2795|+    -            795 83902at50557         -            211     5e-25   87.0  34.2   4   7       0.2        16    3.7   0.7    34   135   407   515   397   530 0.63 -
7376at50557_121225_0:001986|STRG.21028.1:411-2795|+    -            795 83902at50557         -            211     5e-25   87.0  34.2   5   7    0.0069      0.56    8.4   0.2   119   177   654   716   634   725 0.78 -
7376at50557_121225_0:001986|STRG.21028.1:411-2795|+    -            795 83902at50557         -            211     5e-25   87.0  34.2   6   7   0.00013     0.011   14.1   0.4   105   177   663   740   655   745 0.84 -
7376at50557_121225_0:001986|STRG.21028.1:411-2795|+    -            795 83902at50557         -            211     5e-25   87.0  34.2   7   7     0.016       1.3    7.2   0.1    35    73   727   766   717   776 0.76 -
8280at50557_103372_0:001996|STRG.12134.2:748-3193|+    -            718 83902at50557         -            211   1.4e-22   79.0  46.1   1  10   2.5e-07     2e-05   23.0   0.5    82   154    27   105     2   111 0.81 -
8280at50557_103372_0:001996|STRG.12134.2:748-3193|+    -            718 83902at50557         -            211   1.4e-22   79.0  46.1   2  10   3.4e-05    0.0027   16.0   2.0    67   181    91   210    84   221 0.84 -
8280at50557_103372_0:001996|STRG.12134.2:748-3193|+    -            718 83902at50557         -            211   1.4e-22   79.0  46.1   3  10     0.011      0.91    7.8   0.2   118   179   165   232   156   238 0.76 -
8280at50557_103372_0:001996|STRG.12134.2:748-3193|+    -            718 83902at50557         -            211   1.4e-22   79.0  46.1   4  10       1.4   1.1e+02    0.9   0.3   114   152   267   305   236   329 0.79 -
8280at50557_103372_0:001996|STRG.12134.2:748-3193|+    -            718 83902at50557         -            211   1.4e-22   79.0  46.1   5  10     0.008      0.65    8.2   0.1    87   134   356   404   318   412 0.75 -
8280at50557_103372_0:001996|STRG.12134.2:748-3193|+    -            718 83902at50557         -            211   1.4e-22   79.0  46.1   6  10   0.00028     0.023   13.0   3.4    45   157   353   481   340   484 0.73 -
8280at50557_103372_0:001996|STRG.12134.2:748-3193|+    -            718 83902at50557         -            211   1.4e-22   79.0  46.1   7  10   0.00047     0.038   12.2   5.7    39   123   421   515   416   531 0.70 -
8280at50557_103372_0:001996|STRG.12134.2:748-3193|+    -            718 83902at50557         -            211   1.4e-22   79.0  46.1   8  10   2.5e-07     2e-05   23.0   2.8    96   180   548   638   518   641 0.83 -
8280at50557_103372_0:001996|STRG.12134.2:748-3193|+    -            718 83902at50557         -            211   1.4e-22   79.0  46.1   9  10   0.00025      0.02   13.2   0.2   136   180   617   662   612   665 0.85 -
8280at50557_103372_0:001996|STRG.12134.2:748-3193|+    -            718 83902at50557         -            211   1.4e-22   79.0  46.1  10  10   2.3e-05    0.0019   16.5   0.4    35    87   646   698   638   712 0.81 -
54603at50557_116153_0:001d7a|STRG.22447.2:1053-1919|+  -            289 83902at50557         -            211   3.5e-20   71.2  14.9   1   2   5.4e-07   4.4e-05   21.9   2.0    35    84     6    55     2   138 0.94 -
54603at50557_116153_0:001d7a|STRG.22447.2:1053-1919|+  -            289 83902at50557         -            211   3.5e-20   71.2  14.9   2   2     1e-16   8.2e-15   53.6   5.5    33   172   139   289   133   289 0.87 -
83902at50557_54969_0:002595|STRG.5281.1:919-1383|+     -            155 83902at50557         -            211   1.4e-18   66.0   3.9   1   1   9.4e-18   7.6e-16   57.0   3.2    32   150    26   153    17   155 0.65 -
8280at50557_168631_0:001eed|STRG.22447.2:491-949|+     -            153 83902at50557         -            211   5.7e-18   64.0  11.2   1   2   4.2e-06   0.00034   18.9   2.1    38    85     6    53     2    54 0.94 -
8280at50557_168631_0:001eed|STRG.22447.2:491-949|+     -            153 83902at50557         -            211   5.7e-18   64.0  11.2   2   2   3.9e-10   3.2e-08   32.1   0.2    33    85    93   145    91   149 0.93 -
109776at50557_7176_0:003c1e|STRG.24052.1:340-966|+     -            209 83902at50557         -            211   6.5e-17   60.5   4.8   1   2   3.9e-14   3.2e-12   45.2   0.7    79   184    41   146    29   151 0.90 -
109776at50557_7176_0:003c1e|STRG.24052.1:340-966|+     -            209 83902at50557         -            211   6.5e-17   60.5   4.8   2   2   1.6e-05    0.0013   17.0   0.3   138   184   146   191   145   202 0.89 -
109776at50557_7176_0:003c1e|STRG.24052.2:340-966|+     -            209 83902at50557         -            211   6.5e-17   60.5   4.8   1   2   3.9e-14   3.2e-12   45.2   0.7    79   184    41   146    29   151 0.90 -
109776at50557_7176_0:003c1e|STRG.24052.2:340-966|+     -            209 83902at50557         -            211   6.5e-17   60.5   4.8   2   2   1.6e-05    0.0013   17.0   0.3   138   184   146   191   145   202 0.89 -
83902at50557_535359_0:00161f|STRG.3040.1:462-977|+     -            172 83902at50557         -            211   7.2e-17   60.4   4.7   1   1     1e-16   8.5e-15   53.6   4.7    41   176    26   172    21   172 0.87 -
83902at50557_37344_0:000f03|STRG.5280.1:0-488|+        -            163 83902at50557         -            211   1.7e-16   59.1   1.4   1   1     1e-16   8.4e-15   53.6   1.4    32   184     2   163     1   163 0.89 -
83902at50557_37344_0:000f03|STRG.5280.2:0-488|+        -            163 83902at50557         -            211   1.7e-16   59.1   1.4   1   1     1e-16   8.4e-15   53.6   1.4    32   184     2   163     1   163 0.89 -
109776at50557_456900_0:0015c4|STRG.19571.1:0-713|+     -            238 83902at50557         -            211   2.1e-16   58.8   4.7   1   3   3.6e-08   2.9e-06   25.7   0.1   126   185    21    84     3    92 0.79 -
109776at50557_456900_0:0015c4|STRG.19571.1:0-713|+     -            238 83902at50557         -            211   2.1e-16   58.8   4.7   2   3     1e-06   8.1e-05   21.0   0.1    38    84    89   135    83   136 0.90 -
109776at50557_456900_0:0015c4|STRG.19571.1:0-713|+     -            238 83902at50557         -            211   2.1e-16   58.8   4.7   3   3   4.7e-05    0.0038   15.5   0.2    36    85   133   181   128   231 0.76 -
25718at50557_197043_0:00510d|STRG.16035.1:222-1487|+   -            422 83902at50557         -            211   2.7e-16   58.5  35.0   1   4     0.013         1    7.6   0.3   138   179    24    66     5    70 0.76 -
25718at50557_197043_0:00510d|STRG.16035.1:222-1487|+   -            422 83902at50557         -            211   2.7e-16   58.5  35.0   2   4   3.4e-05    0.0028   16.0   1.1    32    71    70   110    66   125 0.85 -
25718at50557_197043_0:00510d|STRG.16035.1:222-1487|+   -            422 83902at50557         -            211   2.7e-16   58.5  35.0   3   4     3e-09   2.4e-07   29.2  14.6    29   205   138   329   122   331 0.82 -
25718at50557_197043_0:00510d|STRG.16035.1:222-1487|+   -            422 83902at50557         -            211   2.7e-16   58.5  35.0   4   4   0.00018     0.015   13.6   0.8    34    82   338   391   327   396 0.77 -
8280at50557_7200_0:000e97|STRG.18179.1:117-1196|+      -            360 83902at50557         -            211   3.4e-16   58.2  19.9   1   3    0.0015      0.12   10.6   0.6    35    71    85   122    77   133 0.90 -
8280at50557_7200_0:000e97|STRG.18179.1:117-1196|+      -            360 83902at50557         -            211   3.4e-16   58.2  19.9   2   3   4.6e-13   3.7e-11   41.7   4.2    36   180   134   296   121   299 0.81 -
8280at50557_7200_0:000e97|STRG.18179.1:117-1196|+      -            360 83902at50557         -            211   3.4e-16   58.2  19.9   3   3   4.1e-05    0.0033   15.7   1.0    34    76   304   347   302   357 0.87 -
8280at50557_113334_0:00096f|STRG.7494.1:329-1528|+     -            400 83902at50557         -            211   3.5e-16   58.1  10.5   1   3      0.02       1.6    7.0   0.0    34    85    26    80     8    83 0.86 -
8280at50557_113334_0:00096f|STRG.7494.1:329-1528|+     -            400 83902at50557         -            211   3.5e-16   58.1  10.5   2   3   4.9e-07     4e-05   22.0   0.7    35   154    99   233    91   245 0.77 -
8280at50557_113334_0:00096f|STRG.7494.1:329-1528|+     -            400 83902at50557         -            211   3.5e-16   58.1  10.5   3   3   7.2e-10   5.8e-08   31.3   1.4    37   175   246   398   237   400 0.82 -
8280at50557_1155016_0:002e71|STRG.17467.1:563-1699|+   -            379 83902at50557         -            211   4.2e-16   57.8  19.3   1   5      0.28        22    3.2   0.1    54    85    21    53    14    56 0.83 -
8280at50557_1155016_0:002e71|STRG.17467.1:563-1699|+   -            379 83902at50557         -            211   4.2e-16   57.8  19.3   2   5   3.3e-08   2.7e-06   25.8   0.3    35   132    49   156    45   162 0.85 -
8280at50557_1155016_0:002e71|STRG.17467.1:563-1699|+   -            379 83902at50557         -            211   4.2e-16   57.8  19.3   3   5   0.00011    0.0086   14.4   0.4    26    71   207   253   188   262 0.82 -
8280at50557_1155016_0:002e71|STRG.17467.1:563-1699|+   -            379 83902at50557         -            211   4.2e-16   57.8  19.3   4   5   1.5e-07   1.2e-05   23.7   5.8    31   136   236   351   235   353 0.75 -
8280at50557_1155016_0:002e71|STRG.17467.1:563-1699|+   -            379 83902at50557         -            211   4.2e-16   57.8  19.3   5   5   2.2e-07   1.8e-05   23.1   4.4    24   113   277   376   261   378 0.75 -
8280at50557_1155016_0:002e71|STRG.17712.1:148-915|+    -            256 83902at50557         -            211   8.1e-16   56.9  11.4   1   2     1e-07   8.3e-06   24.2   2.4    97   179     5    89     2    91 0.89 -
8280at50557_1155016_0:002e71|STRG.17712.1:148-915|+    -            256 83902at50557         -            211   8.1e-16   56.9  11.4   2   2   6.5e-12   5.3e-10   37.9   4.2    33   178    72   212    70   249 0.76 -
8280at50557_7160_0:00112a|STRG.13990.1:1303-2487|+     -            395 83902at50557         -            211   2.1e-15   55.6  12.8   1   2   6.2e-09   5.1e-07   28.2   0.3    91   179    21   114     3   124 0.85 -
8280at50557_7160_0:00112a|STRG.13990.1:1303-2487|+     -            395 83902at50557         -            211   2.1e-15   55.6  12.8   2   2   1.6e-09   1.3e-07   30.1   7.3    36   186   124   289   119   304 0.74 -
8280at50557_7160_0:00112a|STRG.13990.2:1244-2428|+     -            395 83902at50557         -            211   2.1e-15   55.6  12.8   1   2   6.2e-09   5.1e-07   28.2   0.3    91   179    21   114     3   124 0.85 -
8280at50557_7160_0:00112a|STRG.13990.2:1244-2428|+     -            395 83902at50557         -            211   2.1e-15   55.6  12.8   2   2   1.6e-09   1.3e-07   30.1   7.3    36   186   124   289   119   304 0.74 -
25718at50557_1629725_0:002070|STRG.5764.1:106-1182|+   -            359 83902at50557         -            211   1.8e-14   52.5  15.3   1   3   0.00022     0.018   13.3   0.5    88   179    15   108     2   122 0.63 -
25718at50557_1629725_0:002070|STRG.5764.1:106-1182|+   -            359 83902at50557         -            211   1.8e-14   52.5  15.3   2   3   3.8e-09   3.1e-07   28.9   1.6    55   182   116   257   108   260 0.80 -
25718at50557_1629725_0:002070|STRG.5764.1:106-1182|+   -            359 83902at50557         -            211   1.8e-14   52.5  15.3   3   3   9.6e-07   7.8e-05   21.1   1.6    82   179   247   349   247   357 0.87 -
109776at50557_199890_0:001686|STRG.6137.1:602-1102|+   -            167 83902at50557         -            211   2.9e-14   51.8   6.5   1   3   6.5e-08   5.3e-06   24.9   0.1   136   182    16    62     5    70 0.89 -
109776at50557_199890_0:001686|STRG.6137.1:602-1102|+   -            167 83902at50557         -            211   2.9e-14   51.8   6.5   2   3    0.0067      0.54    8.5   0.1    35    72    67   103    63   108 0.88 -
109776at50557_199890_0:001686|STRG.6137.1:602-1102|+   -            167 83902at50557         -            211   2.9e-14   51.8   6.5   3   3   7.5e-07     6e-05   21.4   0.2    31    84   109   162   104   167 0.90 -
109776at50557_199890_0:001686|STRG.6137.2:141-641|+    -            167 83902at50557         -            211   2.9e-14   51.8   6.5   1   3   6.5e-08   5.3e-06   24.9   0.1   136   182    16    62     5    70 0.89 -
109776at50557_199890_0:001686|STRG.6137.2:141-641|+    -            167 83902at50557         -            211   2.9e-14   51.8   6.5   2   3    0.0067      0.54    8.5   0.1    35    72    67   103    63   108 0.88 -
109776at50557_199890_0:001686|STRG.6137.2:141-641|+    -            167 83902at50557         -            211   2.9e-14   51.8   6.5   3   3   7.5e-07     6e-05   21.4   0.2    31    84   109   162   104   167 0.90 -
8280at50557_74869_0:001375|STRG.4312.1:344-1906|+      -            521 83902at50557         -            211   3.8e-14   51.5  29.1   1   5     0.057       4.6    5.4   0.1   129   178     7    57     4    63 0.78 -
8280at50557_74869_0:001375|STRG.4312.1:344-1906|+      -            521 83902at50557         -            211   3.8e-14   51.5  29.1   2   5   6.5e-06   0.00053   18.3   4.0    38   157    94   227    86   252 0.56 -
8280at50557_74869_0:001375|STRG.4312.1:344-1906|+      -            521 83902at50557         -            211   3.8e-14   51.5  29.1   3   5   1.2e-06   9.6e-05   20.7   0.6    29   111   255   348   245   353 0.78 -
8280at50557_74869_0:001375|STRG.4312.1:344-1906|+      -            521 83902at50557         -            211   3.8e-14   51.5  29.1   4   5   2.7e-05    0.0021   16.3   0.6    95   205   356   476   351   481 0.75 -
8280at50557_74869_0:001375|STRG.4312.1:344-1906|+      -            521 83902at50557         -            211   3.8e-14   51.5  29.1   5   5     0.048       3.9    5.7   1.4    32    69   480   519   460   521 0.63 -
