#                                                                                                              --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                          accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                  ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
98332at50557_132113_0:00196c|STRG.1391.1:0-803|+       -            257 98332at50557         -            180   2.4e-98  325.9   0.6   1   1   1.5e-99   1.1e-97  323.7   0.6     1   179     1   208     1   209 0.94 -
98332at50557_133901_0:000b7a|STRG.4785.2:1416-1832|+   -            139 98332at50557         -            180   3.5e-13   48.4   1.1   1   2   8.4e-06   0.00063   18.3   0.2   132   178     2    52     1    54 0.79 -
98332at50557_133901_0:000b7a|STRG.4785.2:1416-1832|+   -            139 98332at50557         -            180   3.5e-13   48.4   1.1   2   2   4.8e-10   3.5e-08   32.1   0.1    31   110    39   138    35   139 0.80 -
98332at50557_133901_0:000b7a|STRG.4785.3:1416-1832|+   -            139 98332at50557         -            180   3.5e-13   48.4   1.1   1   2   8.4e-06   0.00063   18.3   0.2   132   178     2    52     1    54 0.79 -
98332at50557_133901_0:000b7a|STRG.4785.3:1416-1832|+   -            139 98332at50557         -            180   3.5e-13   48.4   1.1   2   2   4.8e-10   3.5e-08   32.1   0.1    31   110    39   138    35   139 0.80 -
15817at50557_610380_0:002a13|STRG.16128.2:0-2786|+     -            929 98332at50557         -            180     3e-11   42.1   0.0   1   2   3.1e-08   2.3e-06   26.2   0.0    45   165    60   201    50   218 0.74 -
15817at50557_610380_0:002a13|STRG.16128.2:0-2786|+     -            929 98332at50557         -            180     3e-11   42.1   0.0   2   2   0.00041     0.031   12.8   0.0    57   115   251   308   217   320 0.79 -
15817at50557_610380_0:002a13|STRG.16128.1:175-3009|+   -            945 98332at50557         -            180   3.2e-11   42.0   0.0   1   2   3.2e-08   2.4e-06   26.1   0.0    45   165    76   217    66   234 0.74 -
15817at50557_610380_0:002a13|STRG.16128.1:175-3009|+   -            945 98332at50557         -            180   3.2e-11   42.0   0.0   2   2   0.00042     0.031   12.7   0.0    57   115   267   324   233   336 0.79 -
98332at50557_1218281_0:000683|STRG.24326.1:302-466|+   -             55 98332at50557         -            180   2.1e-10   39.4   0.1   1   1     3e-12   2.2e-10   39.3   0.1   130   180     1    53     1    53 0.91 -
98332at50557_1155016_0:002d21|STRG.9420.5:3354-3506|+  -             51 98332at50557         -            180   2.3e-10   39.2   0.0   1   1   3.3e-12   2.5e-10   39.1   0.0   130   177     1    50     1    51 0.88 -
96740at50557_34720_0:001539|STRG.2682.2:0-959|+        -            320 98332at50557         -            180   4.6e-10   38.2   0.8   1   3   1.8e-05    0.0014   17.1   0.0   133   180     4    54     1    54 0.86 -
96740at50557_34720_0:001539|STRG.2682.2:0-959|+        -            320 98332at50557         -            180   4.6e-10   38.2   0.8   2   3   0.00097     0.072   11.5   0.0   132   177   153   202   147   205 0.75 -
96740at50557_34720_0:001539|STRG.2682.2:0-959|+        -            320 98332at50557         -            180   4.6e-10   38.2   0.8   3   3      0.03       2.2    6.7   0.0   132   177   261   312   250   315 0.72 -
96740at50557_34720_0:001539|STRG.2682.1:3-1171|+       -            384 98332at50557         -            180   6.8e-10   37.7   0.9   1   3   1.6e-05    0.0012   17.3   0.0   132   180    59   110    52   110 0.86 -
96740at50557_34720_0:001539|STRG.2682.1:3-1171|+       -            384 98332at50557         -            180   6.8e-10   37.7   0.9   2   3    0.0014       0.1   11.0   0.0   132   177   218   267   215   270 0.74 -
96740at50557_34720_0:001539|STRG.2682.1:3-1171|+       -            384 98332at50557         -            180   6.8e-10   37.7   0.9   3   3     0.039       2.9    6.3   0.0   132   177   325   376   314   379 0.72 -
98332at50557_1218281_0:000683|STRG.1422.1:1183-1326|+  -             48 98332at50557         -            180   8.2e-10   37.4   0.0   1   1   1.2e-11   8.8e-10   37.3   0.0   132   177     1    48     1    48 0.93 -
98332at50557_1218281_0:000683|STRG.1422.2:1111-1254|+  -             48 98332at50557         -            180   8.2e-10   37.4   0.0   1   1   1.2e-11   8.8e-10   37.3   0.0   132   177     1    48     1    48 0.93 -
98332at50557_1218281_0:000683|STRG.1422.3:1126-1269|+  -             48 98332at50557         -            180   8.2e-10   37.4   0.0   1   1   1.2e-11   8.8e-10   37.3   0.0   132   177     1    48     1    48 0.93 -
98332at50557_1218281_0:000683|STRG.1422.4:1482-1625|+  -             48 98332at50557         -            180   8.2e-10   37.4   0.0   1   1   1.2e-11   8.8e-10   37.3   0.0   132   177     1    48     1    48 0.93 -
98332at50557_1218281_0:000683|STRG.1422.5:253-396|+    -             48 98332at50557         -            180   8.2e-10   37.4   0.0   1   1   1.2e-11   8.8e-10   37.3   0.0   132   177     1    48     1    48 0.93 -
98332at50557_1155016_0:002d21|STRG.3153.1:848-997|+    -             50 98332at50557         -            180   1.1e-09   37.0   0.0   1   1   1.6e-11   1.2e-09   36.9   0.0   130   177     1    50     1    50 0.90 -
98332at50557_1155016_0:002d21|STRG.3153.2:687-836|+    -             50 98332at50557         -            180   1.1e-09   37.0   0.0   1   1   1.6e-11   1.2e-09   36.9   0.0   130   177     1    50     1    50 0.90 -
98332at50557_1155016_0:002d21|STRG.3153.3:1072-1221|+  -             50 98332at50557         -            180   1.1e-09   37.0   0.0   1   1   1.6e-11   1.2e-09   36.9   0.0   130   177     1    50     1    50 0.90 -
98332at50557_1155016_0:002d21|STRG.3153.4:848-997|+    -             50 98332at50557         -            180   1.1e-09   37.0   0.0   1   1   1.6e-11   1.2e-09   36.9   0.0   130   177     1    50     1    50 0.90 -
98332at50557_1155016_0:002d21|STRG.3153.5:654-803|+    -             50 98332at50557         -            180   1.1e-09   37.0   0.0   1   1   1.6e-11   1.2e-09   36.9   0.0   130   177     1    50     1    50 0.90 -
68581at50557_168631_0:0016a9|STRG.13585.1:1238-1768|+  -            177 98332at50557         -            180   3.4e-09   35.4   0.0   1   2       0.2        15    4.0   0.0   132   177     1    50     1    53 0.70 -
68581at50557_168631_0:0016a9|STRG.13585.1:1238-1768|+  -            177 98332at50557         -            180   3.4e-09   35.4   0.0   2   2   2.9e-09   2.1e-07   29.5   0.0   130   179   114   169    93   170 0.83 -
68581at50557_168631_0:0016a9|STRG.13585.3:1238-1768|+  -            177 98332at50557         -            180   3.4e-09   35.4   0.0   1   2       0.2        15    4.0   0.0   132   177     1    50     1    53 0.70 -
68581at50557_168631_0:0016a9|STRG.13585.3:1238-1768|+  -            177 98332at50557         -            180   3.4e-09   35.4   0.0   2   2   2.9e-09   2.1e-07   29.5   0.0   130   179   114   169    93   170 0.83 -
98332at50557_37001_0:001c0d|STRG.3726.1:2335-2607|+    -             91 98332at50557         -            180   3.4e-09   35.4   0.1   1   2     0.021       1.6    7.2   0.0    27    51     2    29     1    39 0.64 -
98332at50557_37001_0:001c0d|STRG.3726.1:2335-2607|+    -             91 98332at50557         -            180   3.4e-09   35.4   0.1   2   2   1.9e-08   1.4e-06   26.8   0.0   131   177    43    91    35    91 0.91 -
98332at50557_37001_0:001c0d|STRG.3726.3:5004-5276|+    -             91 98332at50557         -            180   3.4e-09   35.4   0.1   1   2     0.021       1.6    7.2   0.0    27    51     2    29     1    39 0.64 -
98332at50557_37001_0:001c0d|STRG.3726.3:5004-5276|+    -             91 98332at50557         -            180   3.4e-09   35.4   0.1   2   2   1.9e-08   1.4e-06   26.8   0.0   131   177    43    91    35    91 0.91 -
98332at50557_37001_0:001c0d|STRG.3726.4:5052-5324|+    -             91 98332at50557         -            180   3.4e-09   35.4   0.1   1   2     0.021       1.6    7.2   0.0    27    51     2    29     1    39 0.64 -
98332at50557_37001_0:001c0d|STRG.3726.4:5052-5324|+    -             91 98332at50557         -            180   3.4e-09   35.4   0.1   2   2   1.9e-08   1.4e-06   26.8   0.0   131   177    43    91    35    91 0.91 -
98332at50557_37001_0:001c0d|STRG.3726.5:4752-5024|+    -             91 98332at50557         -            180   3.4e-09   35.4   0.1   1   2     0.021       1.6    7.2   0.0    27    51     2    29     1    39 0.64 -
98332at50557_37001_0:001c0d|STRG.3726.5:4752-5024|+    -             91 98332at50557         -            180   3.4e-09   35.4   0.1   2   2   1.9e-08   1.4e-06   26.8   0.0   131   177    43    91    35    91 0.91 -
98332at50557_37001_0:001c0d|STRG.3726.6:1895-2167|+    -             91 98332at50557         -            180   3.4e-09   35.4   0.1   1   2     0.021       1.6    7.2   0.0    27    51     2    29     1    39 0.64 -
98332at50557_37001_0:001c0d|STRG.3726.6:1895-2167|+    -             91 98332at50557         -            180   3.4e-09   35.4   0.1   2   2   1.9e-08   1.4e-06   26.8   0.0   131   177    43    91    35    91 0.91 -
98332at50557_37001_0:001c0d|STRG.3726.7:892-1164|+     -             91 98332at50557         -            180   3.4e-09   35.4   0.1   1   2     0.021       1.6    7.2   0.0    27    51     2    29     1    39 0.64 -
98332at50557_37001_0:001c0d|STRG.3726.7:892-1164|+     -             91 98332at50557         -            180   3.4e-09   35.4   0.1   2   2   1.9e-08   1.4e-06   26.8   0.0   131   177    43    91    35    91 0.91 -
98332at50557_37001_0:001c0d|STRG.3726.8:2886-3158|+    -             91 98332at50557         -            180   3.4e-09   35.4   0.1   1   2     0.021       1.6    7.2   0.0    27    51     2    29     1    39 0.64 -
98332at50557_37001_0:001c0d|STRG.3726.8:2886-3158|+    -             91 98332at50557         -            180   3.4e-09   35.4   0.1   2   2   1.9e-08   1.4e-06   26.8   0.0   131   177    43    91    35    91 0.91 -
98332at50557_37001_0:001c0d|STRG.3726.9:1471-1743|+    -             91 98332at50557         -            180   3.4e-09   35.4   0.1   1   2     0.021       1.6    7.2   0.0    27    51     2    29     1    39 0.64 -
98332at50557_37001_0:001c0d|STRG.3726.9:1471-1743|+    -             91 98332at50557         -            180   3.4e-09   35.4   0.1   2   2   1.9e-08   1.4e-06   26.8   0.0   131   177    43    91    35    91 0.91 -
98332at50557_1155016_0:002d21|STRG.22025.1:1714-1872|+ -             53 98332at50557         -            180   4.2e-09   35.1   0.0   1   1     6e-11   4.4e-09   35.0   0.0   132   178     2    50     1    52 0.90 -
98332at50557_1155016_0:002d21|STRG.22025.2:1722-1880|+ -             53 98332at50557         -            180   4.2e-09   35.1   0.0   1   1     6e-11   4.4e-09   35.0   0.0   132   178     2    50     1    52 0.90 -
98332at50557_1155016_0:002d21|STRG.22025.3:3300-3458|+ -             53 98332at50557         -            180   4.2e-09   35.1   0.0   1   1     6e-11   4.4e-09   35.0   0.0   132   178     2    50     1    52 0.90 -
98332at50557_197043_0:002812|STRG.2390.1:3276-3449|+   -             58 98332at50557         -            180   6.1e-09   34.6   0.0   1   1   9.5e-11   7.1e-09   34.4   0.0   132   178     5    53     2    55 0.89 -
98332at50557_197043_0:002812|STRG.2390.2:3276-3449|+   -             58 98332at50557         -            180   6.1e-09   34.6   0.0   1   1   9.5e-11   7.1e-09   34.4   0.0   132   178     5    53     2    55 0.89 -
98332at50557_197043_0:002812|STRG.2390.3:3077-3250|+   -             58 98332at50557         -            180   6.1e-09   34.6   0.0   1   1   9.5e-11   7.1e-09   34.4   0.0   132   178     5    53     2    55 0.89 -
98332at50557_197043_0:002812|STRG.2390.4:3077-3250|+   -             58 98332at50557         -            180   6.1e-09   34.6   0.0   1   1   9.5e-11   7.1e-09   34.4   0.0   132   178     5    53     2    55 0.89 -
98332at50557_197043_0:002812|STRG.2390.5:3252-3425|+   -             58 98332at50557         -            180   6.1e-09   34.6   0.0   1   1   9.5e-11   7.1e-09   34.4   0.0   132   178     5    53     2    55 0.89 -
98332at50557_197043_0:002812|STRG.2390.6:1761-1934|+   -             58 98332at50557         -            180   6.1e-09   34.6   0.0   1   1   9.5e-11   7.1e-09   34.4   0.0   132   178     5    53     2    55 0.89 -
98332at50557_7004_0:00518d|STRG.18487.2:163-459|+      -             99 98332at50557         -            180     1e-08   33.8   0.0   1   1   3.7e-10   2.7e-08   32.5   0.0    56   119    32    96     5    99 0.82 -
98332at50557_1155016_0:002d21|STRG.11852.1:3196-3348|+ -             51 98332at50557         -            180   1.6e-08   33.2   0.2   1   1   2.3e-10   1.7e-08   33.1   0.2   130   177     2    51     1    51 0.85 -
98332at50557_1155016_0:002d21|STRG.11852.2:3193-3345|+ -             51 98332at50557         -            180   1.6e-08   33.2   0.2   1   1   2.3e-10   1.7e-08   33.1   0.2   130   177     2    51     1    51 0.85 -
98332at50557_1155016_0:002d21|STRG.11852.3:1867-2019|+ -             51 98332at50557         -            180   1.6e-08   33.2   0.2   1   1   2.3e-10   1.7e-08   33.1   0.2   130   177     2    51     1    51 0.85 -
98332at50557_1155016_0:002d21|STRG.11852.4:1864-2016|+ -             51 98332at50557         -            180   1.6e-08   33.2   0.2   1   1   2.3e-10   1.7e-08   33.1   0.2   130   177     2    51     1    51 0.85 -
98332at50557_1155016_0:002d21|STRG.11852.5:431-583|+   -             51 98332at50557         -            180   1.6e-08   33.2   0.2   1   1   2.3e-10   1.7e-08   33.1   0.2   130   177     2    51     1    51 0.85 -
98332at50557_1155016_0:002d21|STRG.11852.6:431-583|+   -             51 98332at50557         -            180   1.6e-08   33.2   0.2   1   1   2.3e-10   1.7e-08   33.1   0.2   130   177     2    51     1    51 0.85 -
98332at50557_7004_0:00518d|STRG.18487.3:230-493|+      -             88 98332at50557         -            180   2.1e-08   32.8   0.0   1   1   3.1e-10   2.3e-08   32.7   0.0    56   119    21    85     1    88 0.85 -
98332at50557_166361_0:0021b3|STRG.13585.2:1224-1613|+  -            130 98332at50557         -            180     9e-08   30.8   0.0   1   1   1.9e-09   1.4e-07   30.1   0.0   130   178    75   129    49   130 0.84 -
68581at50557_104452_0:00171a|STRG.2095.1:1041-1451|+   -            137 98332at50557         -            180   1.2e-07   30.3   0.0   1   1   2.6e-09     2e-07   29.7   0.0   130   178    12    63     6    65 0.89 -
98332at50557_1218281_0:000683|STRG.9301.1:1232-1375|+  -             48 98332at50557         -            180   2.2e-07   29.5   0.0   1   1   3.1e-09   2.3e-07   29.5   0.0   132   176     1    47     1    48 0.87 -
98332at50557_1218281_0:000683|STRG.9301.2:1893-2036|+  -             48 98332at50557         -            180   2.2e-07   29.5   0.0   1   1   3.1e-09   2.3e-07   29.5   0.0   132   176     1    47     1    48 0.87 -
71152at50557_103372_0:00095c|STRG.2548.1:0-1412|+      -            471 98332at50557         -            180   2.5e-07   29.3   0.0   1   1   7.6e-09   5.7e-07   28.2   0.0   130   178   413   464   408   466 0.87 -
98332at50557_13164_0:002b29|STRG.9510.1:476-895|+      -            140 98332at50557         -            180   4.5e-07   28.5   0.0   1   2   2.4e-05    0.0018   16.8   0.1   132   177     1    50     1    53 0.80 -
98332at50557_13164_0:002b29|STRG.9510.1:476-895|+      -            140 98332at50557         -            180   4.5e-07   28.5   0.0   2   2    0.0045      0.33    9.4   0.0    57   108    83   140    37   140 0.76 -
98332at50557_13164_0:002b29|STRG.9510.2:207-626|+      -            140 98332at50557         -            180   4.5e-07   28.5   0.0   1   2   2.4e-05    0.0018   16.8   0.1   132   177     1    50     1    53 0.80 -
98332at50557_13164_0:002b29|STRG.9510.2:207-626|+      -            140 98332at50557         -            180   4.5e-07   28.5   0.0   2   2    0.0045      0.33    9.4   0.0    57   108    83   140    37   140 0.76 -
98332at50557_1629725_0:002182|STRG.2912.1:2493-2780|+  -             96 98332at50557         -            180   6.8e-07   27.9   0.0   1   1   7.4e-08   5.5e-06   24.9   0.0    44   122     3    91     1    96 0.77 -
30640at50557_103372_0:0017a1|STRG.18724.2:0-2381|+     -            794 98332at50557         -            180   7.4e-07   27.8   0.0   1   1   2.8e-08   2.1e-06   26.3   0.0   130   178   532   582   491   584 0.85 -
98332at50557_77166_0:00193f|STRG.14669.1:441-983|+     -            181 98332at50557         -            180     1e-06   27.3   0.0   1   2     0.063       4.7    5.6   0.0   139   177     2    43     1    46 0.78 -
98332at50557_77166_0:00193f|STRG.14669.1:441-983|+     -            181 98332at50557         -            180     1e-06   27.3   0.0   2   2   2.7e-06    0.0002   19.8   0.0   123   177   127   181   113   181 0.81 -
68581at50557_45779_0:003c15|STRG.12586.1:2629-2763|+   -             45 98332at50557         -            180   2.2e-06   26.3   0.0   1   1   3.1e-08   2.3e-06   26.2   0.0   134   176     1    45     1    45 0.89 -
68581at50557_45779_0:003c15|STRG.12586.2:3214-3348|+   -             45 98332at50557         -            180   2.2e-06   26.3   0.0   1   1   3.1e-08   2.3e-06   26.2   0.0   134   176     1    45     1    45 0.89 -
68581at50557_45779_0:003c15|STRG.12586.3:2937-3071|+   -             45 98332at50557         -            180   2.2e-06   26.3   0.0   1   1   3.1e-08   2.3e-06   26.2   0.0   134   176     1    45     1    45 0.89 -
68581at50557_45779_0:003c15|STRG.11585.1:1383-1523|+   -             47 98332at50557         -            180     3e-06   25.8   0.1   1   1   4.3e-08   3.2e-06   25.7   0.1   134   177     1    46     1    47 0.89 -
68581at50557_45779_0:003c15|STRG.11585.2:1206-1346|+   -             47 98332at50557         -            180     3e-06   25.8   0.1   1   1   4.3e-08   3.2e-06   25.7   0.1   134   177     1    46     1    47 0.89 -
68581at50557_45779_0:003c15|STRG.11585.3:1008-1148|+   -             47 98332at50557         -            180     3e-06   25.8   0.1   1   1   4.3e-08   3.2e-06   25.7   0.1   134   177     1    46     1    47 0.89 -
19423at50557_144034_0:001c3e|STRG.2609.1:912-3923|+    -           1004 98332at50557         -            180   4.3e-06   25.3   0.0   1   1   1.1e-07     8e-06   24.4   0.0   130   178   945  1000   936  1002 0.81 -
19423at50557_144034_0:001c3e|STRG.2609.2:0-3080|+      -           1027 98332at50557         -            180   4.5e-06   25.2   0.0   1   1   1.1e-07   8.5e-06   24.3   0.0   130   178   968  1023   960  1025 0.81 -
98332at50557_1629725_0:002182|STRG.6261.1:3108-3359|+  -             84 98332at50557         -            180   7.5e-06   24.5   0.0   1   1   1.5e-06   0.00011   20.7   0.0    46    91     7    62     3    83 0.77 -
98332at50557_1155016_0:002d21|STRG.20965.1:476-619|+   -             48 98332at50557         -            180   8.1e-06   24.4   0.0   1   1   1.1e-07   8.5e-06   24.3   0.0   132   173     2    48     1    48 0.82 -
30640at50557_13249_0:00301f|STRG.18724.1:40-897|+      -            258 98332at50557         -            180   2.1e-05   23.0   0.0   1   1   4.9e-07   3.6e-05   22.3   0.0   135   178     1    46     1    48 0.86 -
31374at50557_286306_0:0033df|STRG.5060.1:406-2346|+    -            647 98332at50557         -            180   9.5e-05   20.9   0.1   1   1   4.4e-06   0.00033   19.2   0.0   129   179     8    63     4    64 0.82 -
98332at50557_1218281_0:000683|STRG.12225.1:1458-1607|+ -             50 98332at50557         -            180   0.00021   19.8   0.0   1   1   3.1e-06   0.00023   19.7   0.0   130   164     3    43     1    49 0.77 -
98332at50557_1218281_0:000683|STRG.12225.2:1461-1610|+ -             50 98332at50557         -            180   0.00021   19.8   0.0   1   1   3.1e-06   0.00023   19.7   0.0   130   164     3    43     1    49 0.77 -
