#                                                                                                              --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                          accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                  ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
54603at50557_103372_0:00290d|STRG.8711.1:0-1844|+      -            615 54603at50557         -            483  5.3e-232  769.4  24.4   1   1  8.5e-234  6.8e-232  769.0  24.4     1   481    96   613    96   615 0.95 -
8280at50557_83485_0:001d33|STRG.22786.2:221-3655|+     -           1145 54603at50557         -            483   5.1e-43  146.1  54.9   5   8   7.4e-06   0.00059   17.3   3.7    75   221   555   717   537   720 0.67 -
8280at50557_83485_0:001d33|STRG.22786.2:221-3655|+     -           1145 54603at50557         -            483   5.1e-43  146.1  54.9   6   8   2.2e-09   1.7e-07   29.0   0.4    39   120   705   790   696   801 0.83 -
8280at50557_83485_0:001d33|STRG.22786.2:221-3655|+     -           1145 54603at50557         -            483   5.1e-43  146.1  54.9   7   8   7.5e-08     6e-06   23.9  10.5   252   435   780   970   778   997 0.76 -
8280at50557_83485_0:001d33|STRG.22786.2:221-3655|+     -           1145 54603at50557         -            483   5.1e-43  146.1  54.9   8   8       1.2        96    0.1   0.1    92   123  1078  1106  1017  1115 0.55 -
7376at50557_121225_0:001986|STRG.21028.1:411-2795|+    -            795 54603at50557         -            483   7.5e-38  129.1  37.4   1   7    0.0061      0.49    7.7   0.0    79   121    16    59     9    65 0.80 -
7376at50557_121225_0:001986|STRG.21028.1:411-2795|+    -            795 54603at50557         -            483   7.5e-38  129.1  37.4   2   7   1.8e-07   1.4e-05   22.7   0.3    76   138    65   129    59   132 0.88 -
7376at50557_121225_0:001986|STRG.21028.1:411-2795|+    -            795 54603at50557         -            483   7.5e-38  129.1  37.4   3   7   9.7e-22   7.7e-20   69.7  11.3    56   306   116   372   112   376 0.83 -
7376at50557_121225_0:001986|STRG.21028.1:411-2795|+    -            795 54603at50557         -            483   7.5e-38  129.1  37.4   4   7   6.2e-08   4.9e-06   24.2   0.4   355   415   358   420   357   425 0.92 -
7376at50557_121225_0:001986|STRG.21028.1:411-2795|+    -            795 54603at50557         -            483   7.5e-38  129.1  37.4   5   7   9.2e-05    0.0073   13.7   1.1   229   308   437   514   422   519 0.90 -
7376at50557_121225_0:001986|STRG.21028.1:411-2795|+    -            795 54603at50557         -            483   7.5e-38  129.1  37.4   6   7   2.2e-06   0.00018   19.0   0.3   316   433   633   758   626   760 0.79 -
7376at50557_121225_0:001986|STRG.21028.1:411-2795|+    -            795 54603at50557         -            483   7.5e-38  129.1  37.4   7   7    0.0089      0.71    7.2   0.1   271   308   727   764   719   780 0.64 -
25718at50557_197043_0:00510d|STRG.7495.1:102-1781|+    -            560 54603at50557         -            483   1.4e-36  125.0  32.2   1   4   2.1e-07   1.7e-05   22.4   0.7   337   420     2    90     1    97 0.78 -
25718at50557_197043_0:00510d|STRG.7495.1:102-1781|+    -            560 54603at50557         -            483   1.4e-36  125.0  32.2   2   4   8.3e-05    0.0066   13.8   0.2   271   307    97   133    91   137 0.93 -
25718at50557_197043_0:00510d|STRG.7495.1:102-1781|+    -            560 54603at50557         -            483   1.4e-36  125.0  32.2   3   4   1.6e-17   1.3e-15   55.8   6.6    46   221   155   351   150   375 0.79 -
25718at50557_197043_0:00510d|STRG.7495.1:102-1781|+    -            560 54603at50557         -            483   1.4e-36  125.0  32.2   4   4   6.7e-14   5.4e-12   43.8   5.5    55   179   383   522   363   538 0.82 -
54603at50557_224129_0:0029b4|STRG.15062.1:867-1997|+   -            377 54603at50557         -            483   1.2e-34  118.5  38.5   1   3   1.8e-17   1.4e-15   55.6  16.5    53   226     4   195     3   196 0.84 -
54603at50557_224129_0:0029b4|STRG.15062.1:867-1997|+   -            377 54603at50557         -            483   1.2e-34  118.5  38.5   2   3   1.5e-18   1.2e-16   59.2  10.1   268   421   148   312   146   317 0.89 -
54603at50557_224129_0:0029b4|STRG.15062.1:867-1997|+   -            377 54603at50557         -            483   1.2e-34  118.5  38.5   3   3   9.3e-09   7.4e-07   26.9   0.1   351   413   287   350   280   362 0.63 -
8280at50557_166423_0:002d2f|STRG.12134.1:9-3240|+      -            868 54603at50557         -            483   4.8e-33  113.2  50.8   1   8   6.8e-06   0.00054   17.4   0.3   347   418    61   135    52   137 0.86 -
8280at50557_166423_0:002d2f|STRG.12134.1:9-3240|+      -            868 54603at50557         -            483   4.8e-33  113.2  50.8   2   8   1.9e-11   1.5e-09   35.8   0.4    40   124   122   212   116   222 0.85 -
8280at50557_166423_0:002d2f|STRG.12134.1:9-3240|+      -            868 54603at50557         -            483   4.8e-33  113.2  50.8   3   8   3.7e-05    0.0029   15.0   0.2    81   139   217   282   212   290 0.79 -
8280at50557_166423_0:002d2f|STRG.12134.1:9-3240|+      -            868 54603at50557         -            483   4.8e-33  113.2  50.8   4   8    0.0045      0.36    8.1   0.5    58   118   317   380   312   397 0.82 -
8280at50557_166423_0:002d2f|STRG.12134.1:9-3240|+      -            868 54603at50557         -            483   4.8e-33  113.2  50.8   5   8     0.037       2.9    5.1   0.2   349   418   407   480   394   489 0.72 -
8280at50557_166423_0:002d2f|STRG.12134.1:9-3240|+      -            868 54603at50557         -            483   4.8e-33  113.2  50.8   6   8   1.5e-06   0.00012   19.6   7.4   280   416   502   652   489   682 0.51 -
8280at50557_166423_0:002d2f|STRG.12134.1:9-3240|+      -            868 54603at50557         -            483   4.8e-33  113.2  50.8   7   8    0.0012     0.095   10.0   0.3    94   139   685   735   662   739 0.72 -
8280at50557_166423_0:002d2f|STRG.12134.1:9-3240|+      -            868 54603at50557         -            483   4.8e-33  113.2  50.8   8   8   7.3e-12   5.8e-10   37.1   6.1    81   202   723   861   719   868 0.79 -
25718at50557_54969_0:001d6b|STRG.20998.1:501-2948|+    -            816 54603at50557         -            483   1.7e-31  108.1  41.2   1   9     0.034       2.7    5.2   0.2   164   200     2    39     1    45 0.57 -
25718at50557_54969_0:001d6b|STRG.20998.1:501-2948|+    -            816 54603at50557         -            483   1.7e-31  108.1  41.2   2   9   1.3e-05     0.001   16.5   0.3    78   137    50   111    41   112 0.88 -
25718at50557_54969_0:001d6b|STRG.20998.1:501-2948|+    -            816 54603at50557         -            483   1.7e-31  108.1  41.2   3   9   2.6e-07   2.1e-05   22.1   2.5    54   138    97   186    89   195 0.84 -
25718at50557_54969_0:001d6b|STRG.20998.1:501-2948|+    -            816 54603at50557         -            483   1.7e-31  108.1  41.2   4   9   1.6e-06   0.00013   19.5   4.1    57   139   124   211   122   215 0.87 -
25718at50557_54969_0:001d6b|STRG.20998.1:501-2948|+    -            816 54603at50557         -            483   1.7e-31  108.1  41.2   5   9   3.3e-05    0.0026   15.2   0.1   270   307   199   236   195   243 0.91 -
25718at50557_54969_0:001d6b|STRG.20998.1:501-2948|+    -            816 54603at50557         -            483   1.7e-31  108.1  41.2   6   9   3.3e-10   2.6e-08   31.7   2.5    56   156   245   356   238   361 0.81 -
25718at50557_54969_0:001d6b|STRG.20998.1:501-2948|+    -            816 54603at50557         -            483   1.7e-31  108.1  41.2   7   9   4.8e-06   0.00038   17.9   0.4   340   414   323   401   318   416 0.81 -
25718at50557_54969_0:001d6b|STRG.20998.1:501-2948|+    -            816 54603at50557         -            483   1.7e-31  108.1  41.2   8   9    0.0014      0.11    9.9   0.3   270   308   458   496   452   501 0.93 -
25718at50557_54969_0:001d6b|STRG.20998.1:501-2948|+    -            816 54603at50557         -            483   1.7e-31  108.1  41.2   9   9     1e-06   8.2e-05   20.1   0.1    40   153   617   742   612   749 0.81 -
8280at50557_103372_0:001996|STRG.12134.2:748-3193|+    -            718 54603at50557         -            483     4e-27   93.7  44.6   1   7   3.8e-07     3e-05   21.6   0.1    66   133     1    73     1    74 0.81 -
8280at50557_103372_0:001996|STRG.12134.2:748-3193|+    -            718 54603at50557         -            483     4e-27   93.7  44.6   2   7   3.3e-05    0.0026   15.2   0.3    81   139    67   132    63   136 0.78 -
8280at50557_103372_0:001996|STRG.12134.2:748-3193|+    -            718 54603at50557         -            483     4e-27   93.7  44.6   3   7    0.0031      0.25    8.7   0.5    58   118   167   230   156   248 0.83 -
8280at50557_103372_0:001996|STRG.12134.2:748-3193|+    -            718 54603at50557         -            483     4e-27   93.7  44.6   4   7     0.032       2.5    5.3   0.2   349   418   257   330   247   337 0.71 -
8280at50557_103372_0:001996|STRG.12134.2:748-3193|+    -            718 54603at50557         -            483     4e-27   93.7  44.6   5   7   1.5e-06   0.00012   19.6   7.1   280   416   352   502   349   526 0.59 -
8280at50557_103372_0:001996|STRG.12134.2:748-3193|+    -            718 54603at50557         -            483     4e-27   93.7  44.6   6   7     0.001     0.081   10.3   0.3   102   139   546   585   516   589 0.74 -
8280at50557_103372_0:001996|STRG.12134.2:748-3193|+    -            718 54603at50557         -            483     4e-27   93.7  44.6   7   7   1.7e-11   1.4e-09   35.9   6.8    82   202   574   711   573   718 0.78 -
8280at50557_113334_0:00096f|STRG.7494.1:329-1528|+     -            400 54603at50557         -            483   1.6e-25   88.4   9.0   1   4   1.4e-09   1.1e-07   29.6   0.3   335   429    51   148    43   151 0.81 -
8280at50557_113334_0:00096f|STRG.7494.1:329-1528|+     -            400 54603at50557         -            483   1.6e-25   88.4   9.0   2   4     3e-05    0.0024   15.3   0.4   139   201   144   211   140   231 0.73 -
8280at50557_113334_0:00096f|STRG.7494.1:329-1528|+     -            400 54603at50557         -            483   1.6e-25   88.4   9.0   3   4   1.7e-12   1.3e-10   39.2   0.9   251   393   200   352   197   363 0.63 -
8280at50557_113334_0:00096f|STRG.7494.1:329-1528|+     -            400 54603at50557         -            483   1.6e-25   88.4   9.0   4   4   0.00037      0.03   11.7   0.0   268   307   360   399   354   400 0.89 -
8280at50557_7160_0:00112a|STRG.13990.1:1303-2487|+     -            395 54603at50557         -            483   4.2e-25   87.0  14.2   1   3   6.6e-16   5.2e-14   50.5   0.0   279   417    11   161     2   162 0.86 -
8280at50557_7160_0:00112a|STRG.13990.1:1303-2487|+     -            395 54603at50557         -            483   4.2e-25   87.0  14.2   2   3   2.6e-10   2.1e-08   32.0   1.1    58   197    98   230    95   234 0.57 -
8280at50557_7160_0:00112a|STRG.13990.1:1303-2487|+     -            395 54603at50557         -            483   4.2e-25   87.0  14.2   3   3   1.7e-08   1.4e-06   26.0   3.2   269   389   169   299   166   307 0.84 -
8280at50557_7160_0:00112a|STRG.13990.2:1244-2428|+     -            395 54603at50557         -            483   4.2e-25   87.0  14.2   1   3   6.6e-16   5.2e-14   50.5   0.0   279   417    11   161     2   162 0.86 -
8280at50557_7160_0:00112a|STRG.13990.2:1244-2428|+     -            395 54603at50557         -            483   4.2e-25   87.0  14.2   2   3   2.6e-10   2.1e-08   32.0   1.1    58   197    98   230    95   234 0.57 -
8280at50557_7160_0:00112a|STRG.13990.2:1244-2428|+     -            395 54603at50557         -            483   4.2e-25   87.0  14.2   3   3   1.7e-08   1.4e-06   26.0   3.2   269   389   169   299   166   307 0.84 -
83902at50557_13686_0:0017a1|STRG.8777.1:0-851|+        -            284 54603at50557         -            483   4.8e-25   86.9  18.7   1   2   1.8e-09   1.4e-07   29.2   2.4    35   143    27   139    11   143 0.72 -
83902at50557_13686_0:0017a1|STRG.8777.1:0-851|+        -            284 54603at50557         -            483   4.8e-25   86.9  18.7   2   2     5e-22     4e-20   70.6   8.6   265   426    49   218    41   230 0.89 -
54603at50557_116153_0:001d7a|STRG.22447.2:1053-1919|+  -            289 54603at50557         -            483   1.6e-23   81.9  16.1   1   3   1.4e-08   1.1e-06   26.3   0.7   380   435     6    61     2    92 0.67 -
54603at50557_116153_0:001d7a|STRG.22447.2:1053-1919|+  -            289 54603at50557         -            483   1.6e-23   81.9  16.1   2   3     5e-07     4e-05   21.2   0.1   140   205   117   183   108   186 0.78 -
54603at50557_116153_0:001d7a|STRG.22447.2:1053-1919|+  -            289 54603at50557         -            483   1.6e-23   81.9  16.1   3   3   1.6e-12   1.3e-10   39.3   5.3   336   433   188   288   186   289 0.92 -
109776at50557_199890_0:001686|STRG.6137.1:602-1102|+   -            167 54603at50557         -            483   1.4e-22   78.7   7.2   1   2   4.1e-09   3.2e-07   28.1   0.3    69   120     8    59     2    63 0.60 -
109776at50557_199890_0:001686|STRG.6137.1:602-1102|+   -            167 54603at50557         -            483   1.4e-22   78.7   7.2   2   2   4.3e-17   3.4e-15   54.4   2.1   330   434    61   167    59   167 0.93 -
109776at50557_199890_0:001686|STRG.6137.2:141-641|+    -            167 54603at50557         -            483   1.4e-22   78.7   7.2   1   2   4.1e-09   3.2e-07   28.1   0.3    69   120     8    59     2    63 0.60 -
109776at50557_199890_0:001686|STRG.6137.2:141-641|+    -            167 54603at50557         -            483   1.4e-22   78.7   7.2   2   2   4.3e-17   3.4e-15   54.4   2.1   330   434    61   167    59   167 0.93 -
109776at50557_7176_0:003c1e|STRG.24052.1:340-966|+     -            209 54603at50557         -            483   1.9e-22   78.3   7.4   1   3   5.9e-05    0.0047   14.3   0.0   162   206    34    78    23    80 0.83 -
109776at50557_7176_0:003c1e|STRG.24052.1:340-966|+     -            209 54603at50557         -            483   1.9e-22   78.3   7.4   2   3   1.2e-16   9.2e-15   53.0   0.5   336   429    58   152    58   152 0.95 -
109776at50557_7176_0:003c1e|STRG.24052.1:340-966|+     -            209 54603at50557         -            483   1.9e-22   78.3   7.4   3   3     7e-09   5.6e-07   27.3   0.2   350   415   141   206   141   209 0.95 -
109776at50557_7176_0:003c1e|STRG.24052.2:340-966|+     -            209 54603at50557         -            483   1.9e-22   78.3   7.4   1   3   5.9e-05    0.0047   14.3   0.0   162   206    34    78    23    80 0.83 -
109776at50557_7176_0:003c1e|STRG.24052.2:340-966|+     -            209 54603at50557         -            483   1.9e-22   78.3   7.4   2   3   1.2e-16   9.2e-15   53.0   0.5   336   429    58   152    58   152 0.95 -
109776at50557_7176_0:003c1e|STRG.24052.2:340-966|+     -            209 54603at50557         -            483   1.9e-22   78.3   7.4   3   3     7e-09   5.6e-07   27.3   0.2   350   415   141   206   141   209 0.95 -
25718at50557_7536_0:0032ee|STRG.21023.1:1047-2792|+    -            582 54603at50557         -            483   2.2e-22   78.1  30.3   1   3    0.0019      0.15    9.4   0.1    59   155     8   114     3   122 0.59 -
25718at50557_7536_0:0032ee|STRG.21023.1:1047-2792|+    -            582 54603at50557         -            483   2.2e-22   78.1  30.3   2   3   3.7e-07     3e-05   21.6   0.1   240   312   129   201   115   207 0.76 -
25718at50557_7536_0:0032ee|STRG.21023.1:1047-2792|+    -            582 54603at50557         -            483   2.2e-22   78.1  30.3   3   3   3.3e-17   2.6e-15   54.8  22.6    39   391   185   574   178   580 0.79 -
25718at50557_7536_0:0032ee|STRG.21023.2:315-2060|+     -            582 54603at50557         -            483   2.2e-22   78.1  30.3   1   3    0.0019      0.15    9.4   0.1    59   155     8   114     3   122 0.59 -
25718at50557_7536_0:0032ee|STRG.21023.2:315-2060|+     -            582 54603at50557         -            483   2.2e-22   78.1  30.3   2   3   3.7e-07     3e-05   21.6   0.1   240   312   129   201   115   207 0.76 -
25718at50557_7536_0:0032ee|STRG.21023.2:315-2060|+     -            582 54603at50557         -            483   2.2e-22   78.1  30.3   3   3   3.3e-17   2.6e-15   54.8  22.6    39   391   185   574   178   580 0.79 -
25718at50557_1629725_0:002070|STRG.5764.1:106-1182|+   -            359 54603at50557         -            483   7.1e-22   76.4  15.9   1   3   2.2e-05    0.0018   15.7   0.1   340   417     4    87     1    96 0.81 -
25718at50557_1629725_0:002070|STRG.5764.1:106-1182|+   -            359 54603at50557         -            483   7.1e-22   76.4  15.9   2   3   1.1e-10   8.6e-09   33.3   0.9    59   179    93   231    89   238 0.82 -
25718at50557_1629725_0:002070|STRG.5764.1:106-1182|+   -            359 54603at50557         -            483   7.1e-22   76.4  15.9   3   3   1.2e-11   9.7e-10   36.4   6.3    55   178   211   349   209   353 0.82 -
8280at50557_1155016_0:002e71|STRG.17467.1:563-1699|+   -            379 54603at50557         -            483   1.5e-21   75.4  20.2   1   1   7.4e-18   5.9e-16   56.9  20.3    77   392    20   372     5   375 0.61 -
83902at50557_54969_0:002595|STRG.5281.1:919-1383|+     -            155 54603at50557         -            483   2.8e-21   74.4   2.0   1   2   1.1e-08     9e-07   26.6   0.1   379   429     5    55     1    58 0.89 -
83902at50557_54969_0:002595|STRG.5281.1:919-1383|+     -            155 54603at50557         -            483   2.8e-21   74.4   2.0   2   2   4.2e-10   3.3e-08   31.3   0.2    55   114    94   153    91   155 0.93 -
83902at50557_37344_0:000f03|STRG.5280.1:0-488|+        -            163 54603at50557         -            483   5.1e-21   73.6   2.2   1   2   2.4e-15   1.9e-13   48.6   0.5   332   434     1   105     1   110 0.94 -
83902at50557_37344_0:000f03|STRG.5280.1:0-488|+        -            163 54603at50557         -            483   5.1e-21   73.6   2.2   2   2   4.2e-10   3.3e-08   31.3   0.3   336   400    97   163    96   163 0.84 -
83902at50557_37344_0:000f03|STRG.5280.2:0-488|+        -            163 54603at50557         -            483   5.1e-21   73.6   2.2   1   2   2.4e-15   1.9e-13   48.6   0.5   332   434     1   105     1   110 0.94 -
83902at50557_37344_0:000f03|STRG.5280.2:0-488|+        -            163 54603at50557         -            483   5.1e-21   73.6   2.2   2   2   4.2e-10   3.3e-08   31.3   0.3   336   400    97   163    96   163 0.84 -
25718at50557_13249_0:001bb5|STRG.10255.2:102-1400|+    -            433 54603at50557         -            483   1.6e-20   72.0  26.6   1   3   1.6e-11   1.2e-09   36.0   5.4    41   201    13   162     7   182 0.67 -
25718at50557_13249_0:001bb5|STRG.10255.2:102-1400|+    -            433 54603at50557         -            483   1.6e-20   72.0  26.6   2   3     0.018       1.4    6.1   0.2   335   403   146   215   138   228 0.64 -
25718at50557_13249_0:001bb5|STRG.10255.2:102-1400|+    -            433 54603at50557         -            483   1.6e-20   72.0  26.6   3   3   2.8e-12   2.2e-10   38.5  12.6    37   220   216   412   209   422 0.84 -
83902at50557_535359_0:00161f|STRG.3040.1:462-977|+     -            172 54603at50557         -            483   2.3e-20   71.4   6.3   1   1   3.3e-21   2.6e-19   67.9   6.4   295   435    20   169    19   171 0.92 -
7376at50557_139723_0:002c9a|STRG.15098.1:30-1910|+     -            627 54603at50557         -            483   2.9e-20   71.1  21.6   1   3     0.012      0.93    6.8   0.2   275   310     2    37     1    47 0.88 -
7376at50557_139723_0:002c9a|STRG.15098.1:30-1910|+     -            627 54603at50557         -            483   2.9e-20   71.1  21.6   2   3   9.9e-11   7.9e-09   33.4   9.7    44   228    55   255    40   302 0.55 -
7376at50557_139723_0:002c9a|STRG.15098.1:30-1910|+     -            627 54603at50557         -            483   2.9e-20   71.1  21.6   3   3   2.8e-10   2.2e-08   31.9   0.8    40   173   414   549   406   558 0.85 -
8280at50557_168631_0:001eed|STRG.22447.2:491-949|+     -            153 54603at50557         -            483   4.2e-20   70.6  15.4   1   2   1.6e-18   1.3e-16   59.1  11.2   332   429    22   121     5   121 0.90 -
8280at50557_168631_0:001eed|STRG.22447.2:491-949|+     -            153 54603at50557         -            483   4.2e-20   70.6  15.4   2   2   1.1e-06   9.1e-05   20.0   0.1    72   116   108   152   107   153 0.92 -
25718at50557_197043_0:00510d|STRG.16035.1:222-1487|+   -            422 54603at50557         -            483   6.3e-20   70.0  38.4   1   4   1.4e-08   1.1e-06   26.2  18.2   274   434     6   176     3   178 0.88 -
25718at50557_197043_0:00510d|STRG.16035.1:222-1487|+   -            422 54603at50557         -            483   6.3e-20   70.0  38.4   2   4   1.8e-11   1.4e-09   35.8  13.9    59   200   121   278   117   281 0.82 -
25718at50557_197043_0:00510d|STRG.16035.1:222-1487|+   -            422 54603at50557         -            483   6.3e-20   70.0  38.4   3   4   1.6e-07   1.2e-05   22.8   0.3   249   312   266   329   264   334 0.94 -
25718at50557_197043_0:00510d|STRG.16035.1:222-1487|+   -            422 54603at50557         -            483   6.3e-20   70.0  38.4   4   4   4.6e-06   0.00037   18.0   1.5   260   343   300   389   299   400 0.82 -
109776at50557_456900_0:0015c4|STRG.19571.1:0-713|+     -            238 54603at50557         -            483   8.8e-20   69.5   7.2   1   2   6.7e-16   5.3e-14   50.4   0.8   339   444    19   127    13   129 0.87 -
109776at50557_456900_0:0015c4|STRG.19571.1:0-713|+     -            238 54603at50557         -            483   8.8e-20   69.5   7.2   2   2   1.6e-07   1.2e-05   22.8   0.9   355   416   129   190   127   219 0.69 -
8280at50557_113334_0:00096f|STRG.10252.1:902-2122|+    -            407 54603at50557         -            483     3e-19   67.8  21.8   1   3       1.6   1.3e+02   -0.3   0.1   274   306     4    36     1    41 0.76 -
8280at50557_113334_0:00096f|STRG.10252.1:902-2122|+    -            407 54603at50557         -            483     3e-19   67.8  21.8   2   3   1.2e-15   9.6e-14   49.6   8.2   271   437    53   228    50   245 0.84 -
8280at50557_113334_0:00096f|STRG.10252.1:902-2122|+    -            407 54603at50557         -            483     3e-19   67.8  21.8   3   3   5.6e-07   4.4e-05   21.0   2.4   250   370   273   402   269   405 0.78 -
8280at50557_113334_0:00096f|STRG.10252.2:893-2113|+    -            407 54603at50557         -            483     3e-19   67.8  21.8   1   3       1.6   1.3e+02   -0.3   0.1   274   306     4    36     1    41 0.76 -
8280at50557_113334_0:00096f|STRG.10252.2:893-2113|+    -            407 54603at50557         -            483     3e-19   67.8  21.8   2   3   1.2e-15   9.6e-14   49.6   8.2   271   437    53   228    50   245 0.84 -
8280at50557_113334_0:00096f|STRG.10252.2:893-2113|+    -            407 54603at50557         -            483     3e-19   67.8  21.8   3   3   5.6e-07   4.4e-05   21.0   2.4   250   370   273   402   269   405 0.78 -
8280at50557_113334_0:00096f|STRG.10252.4:1157-2377|+   -            407 54603at50557         -            483     3e-19   67.8  21.8   1   3       1.6   1.3e+02   -0.3   0.1   274   306     4    36     1    41 0.76 -
