#                                                                                                           --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                       accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                               ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
30983at50557_103372_0:001d08|STRG.1537.1:101-2116|+ -            672 30983at50557         -            589         0 1094.0  37.9   1   1         0         0 1093.7  37.9     1   589     7   663     7   663 0.93 -
15589at50557_456900_0:000a2c|STRG.19873.2:0-2444|+  -            778 30983at50557         -            589   1.9e-22   78.4  33.1   2   5   1.4e-08   1.2e-05   22.9   2.6    91   196    80   186    75   206 0.85 -
15589at50557_456900_0:000a2c|STRG.19873.2:0-2444|+  -            778 30983at50557         -            589   1.9e-22   78.4  33.1   3   5   6.2e-08   5.6e-05   20.7   5.6   304   419   332   456   240   506 0.59 -
15589at50557_456900_0:000a2c|STRG.19873.2:0-2444|+  -            778 30983at50557         -            589   1.9e-22   78.4  33.1   4   5   1.1e-10   9.5e-08   29.8   2.8    72   230   379   550   374   560 0.76 -
15589at50557_456900_0:000a2c|STRG.19873.2:0-2444|+  -            778 30983at50557         -            589   1.9e-22   78.4  33.1   5   5   1.9e-12   1.7e-09   35.6   1.9   383   539   524   689   523   708 0.70 -
19158at50557_103372_0:000dad|STRG.4545.1:0-3212|+   -           1071 30983at50557         -            589   7.7e-13   46.6  13.5   1   2   1.9e-08   1.7e-05   22.4   1.7   299   439   443   590   419   603 0.81 -
19158at50557_103372_0:000dad|STRG.4545.1:0-3212|+   -           1071 30983at50557         -            589   7.7e-13   46.6  13.5   2   2   3.6e-10   3.3e-07   28.1   4.4    66   230   707   882   689   910 0.82 -
30983at50557_7394_0:001634|STRG.2354.1:3270-4067|+  -            266 30983at50557         -            589   9.8e-10   36.4   0.7   1   1   5.5e-12     5e-09   34.1   0.6   191   421    18   254     7   258 0.76 -
18461at50557_103372_0:0023e3|STRG.5677.1:154-1950|+ -            599 30983at50557         -            589   9.8e-07   26.5  20.2   1   4   0.00011       0.1    9.9   1.7   118   182    42   107    20   151 0.64 -
18461at50557_103372_0:0023e3|STRG.5677.1:154-1950|+ -            599 30983at50557         -            589   9.8e-07   26.5  20.2   2   4    0.0065       5.8    4.1   2.7   116   168   158   211   117   280 0.73 -
18461at50557_103372_0:0023e3|STRG.5677.1:154-1950|+ -            599 30983at50557         -            589   9.8e-07   26.5  20.2   3   4     7e-06    0.0063   13.9   3.6   120   230   311   400   241   441 0.51 -
18461at50557_103372_0:0023e3|STRG.5677.1:154-1950|+ -            599 30983at50557         -            589   9.8e-07   26.5  20.2   4   4    0.0035       3.1    5.0   0.1   416   462   446   497   406   510 0.84 -
35300at50557_103372_0:002ae9|STRG.16120.1:0-1757|+  -            586 30983at50557         -            589    0.0068   13.8   0.9   1   2     0.017        15    2.7   0.1   102   173   330   401   306   430 0.70 -
35300at50557_103372_0:002ae9|STRG.16120.1:0-1757|+  -            586 30983at50557         -            589    0.0068   13.8   0.9   2   2   0.00034      0.31    8.3   0.2    69   138   443   513   424   560 0.64 -
57156at50557_77166_0:0029c4|STRG.14492.1:524-1729|+ -            402 30983at50557         -            589    0.0078   13.6   0.1   1   3      0.25   2.3e+02   -1.1   0.0   415   473    54   115    40   127 0.66 -
57156at50557_77166_0:0029c4|STRG.14492.1:524-1729|+ -            402 30983at50557         -            589    0.0078   13.6   0.1   2   3   0.00022       0.2    9.0   0.0    83   234   134   289   123   318 0.75 -
57156at50557_77166_0:0029c4|STRG.14492.1:524-1729|+ -            402 30983at50557         -            589    0.0078   13.6   0.1   3   3    0.0063       5.7    4.2   0.0    80   198   267   387   263   394 0.72 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/justine/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/30983at50557.hmm
# Target file:     annotation_analysis/annotation_gca/T_cornetzi/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas
# Option settings: hmmsearch --domtblout annotation_analysis/annotation_gca/T_cornetzi/busco_output/run_insecta_odb10/hmmer_output/initial_run_results/30983at50557.out --cpu 1 /home/justine/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/30983at50557.hmm annotation_analysis/annotation_gca/T_cornetzi/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas 
# Current dir:     /home/justine/projet_tutore
# Date:            Sun Dec  1 22:16:42 2024
# [ok]
