#                                                                                                              --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                          accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                  ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
25718at50557_1629725_0:002070|STRG.5764.1:106-1182|+   -            359 25718at50557         -            825   2.5e-96  322.1  14.9   1   1   3.3e-98   2.9e-96  321.9  14.9   317   625     1   359     1   359 0.89 -
25718at50557_197043_0:00510d|STRG.7495.1:102-1781|+    -            560 25718at50557         -            825   5.2e-75  251.6  34.9   1   4   1.8e-19   1.6e-17   61.5   5.8   271   397     2   133     1   139 0.92 -
25718at50557_197043_0:00510d|STRG.7495.1:102-1781|+    -            560 25718at50557         -            825   5.2e-75  251.6  34.9   2   4   1.8e-11   1.5e-09   35.1   0.4   123   211   138   224   134   225 0.92 -
25718at50557_197043_0:00510d|STRG.7495.1:102-1781|+    -            560 25718at50557         -            825   5.2e-75  251.6  34.9   3   4     8e-18   6.9e-16   56.0   6.4   252   375   222   352   221   353 0.87 -
25718at50557_197043_0:00510d|STRG.7495.1:102-1781|+    -            560 25718at50557         -            825   5.2e-75  251.6  34.9   4   4   1.4e-37   1.2e-35  121.4   3.9   553   762   334   557   325   559 0.89 -
25718at50557_54969_0:001d6b|STRG.20998.1:501-2948|+    -            816 25718at50557         -            825     1e-69  234.1  41.0   1   6   1.4e-14   1.2e-12   45.3   2.0   624   722     1   112     1   116 0.89 -
25718at50557_54969_0:001d6b|STRG.20998.1:501-2948|+    -            816 25718at50557         -            825     1e-69  234.1  41.0   2   6   5.3e-06   0.00046   17.0   0.2   351   397   116   162   113   167 0.92 -
25718at50557_54969_0:001d6b|STRG.20998.1:501-2948|+    -            816 25718at50557         -            825     1e-69  234.1  41.0   3   6   1.5e-20   1.3e-18   65.1   4.6   238   388   168   322   164   322 0.92 -
25718at50557_54969_0:001d6b|STRG.20998.1:501-2948|+    -            816 25718at50557         -            825     1e-69  234.1  41.0   4   6   8.7e-20   7.6e-18   62.5   3.2   552   679   290   427   287   433 0.87 -
25718at50557_54969_0:001d6b|STRG.20998.1:501-2948|+    -            816 25718at50557         -            825     1e-69  234.1  41.0   5   6   1.5e-08   1.3e-06   25.4   0.6   664   757   437   533   428   548 0.80 -
25718at50557_54969_0:001d6b|STRG.20998.1:501-2948|+    -            816 25718at50557         -            825     1e-69  234.1  41.0   6   6   5.5e-16   4.8e-14   50.0   0.2   627   773   639   800   636   813 0.77 -
7376at50557_121225_0:001986|STRG.21028.1:411-2795|+    -            795 25718at50557         -            825   1.5e-69  233.6  33.2   1   5   4.7e-08   4.1e-06   23.7   0.6   240   305    13    82     6    83 0.87 -
7376at50557_121225_0:001986|STRG.21028.1:411-2795|+    -            795 25718at50557         -            825   1.5e-69  233.6  33.2   2   5   1.2e-26   1.1e-24   85.2   7.6   554   728    68   258    61   264 0.89 -
7376at50557_121225_0:001986|STRG.21028.1:411-2795|+    -            795 25718at50557         -            825   1.5e-69  233.6  33.2   3   5   1.1e-12   9.3e-11   39.1   0.1   577   661   265   350   258   352 0.92 -
7376at50557_121225_0:001986|STRG.21028.1:411-2795|+    -            795 25718at50557         -            825   1.5e-69  233.6  33.2   4   5   2.4e-20   2.1e-18   64.4   4.9   553   766   333   560   330   570 0.82 -
7376at50557_121225_0:001986|STRG.21028.1:411-2795|+    -            795 25718at50557         -            825   1.5e-69  233.6  33.2   5   5     2e-17   1.8e-15   54.7   0.3   626   753   657   789   642   795 0.84 -
8280at50557_166423_0:002d2f|STRG.12134.1:9-3240|+      -            868 25718at50557         -            825   2.9e-63  212.8  54.7   1   3   3.2e-05    0.0028   14.3   0.0   154   199   270   315   263   325 0.89 -
8280at50557_166423_0:002d2f|STRG.12134.1:9-3240|+      -            868 25718at50557         -            825   2.9e-63  212.8  54.7   2   3   7.6e-24   6.6e-22   76.0  21.2   439   722   317   625   316   626 0.86 -
8280at50557_166423_0:002d2f|STRG.12134.1:9-3240|+      -            868 25718at50557         -            825   2.9e-63  212.8  54.7   3   3   1.4e-31   1.2e-29  101.5  20.2   128   398   566   858   563   862 0.83 -
8280at50557_103372_0:001996|STRG.12134.2:748-3193|+    -            718 25718at50557         -            825   2.2e-59  199.9  55.4   1   3   3.1e-15   2.7e-13   47.5   0.3   586   732     2   166     1   167 0.83 -
8280at50557_103372_0:001996|STRG.12134.2:748-3193|+    -            718 25718at50557         -            825   2.2e-59  199.9  55.4   2   3   2.9e-24   2.6e-22   77.3  20.9   439   723   167   476   164   481 0.86 -
8280at50557_103372_0:001996|STRG.12134.2:748-3193|+    -            718 25718at50557         -            825   2.2e-59  199.9  55.4   3   3   9.3e-32   8.1e-30  102.1  20.4   127   398   415   708   412   713 0.83 -
25718at50557_7536_0:0032ee|STRG.21023.1:1047-2792|+    -            582 25718at50557         -            825   3.2e-53  179.6  39.3   1   5   1.7e-08   1.5e-06   25.2   0.1   613   677    51   115     7   126 0.81 -
25718at50557_7536_0:0032ee|STRG.21023.1:1047-2792|+    -            582 25718at50557         -            825   3.2e-53  179.6  39.3   2   5     4e-15   3.4e-13   47.1   6.5   556   660   135   245   119   250 0.87 -
25718at50557_7536_0:0032ee|STRG.21023.1:1047-2792|+    -            582 25718at50557         -            825   3.2e-53  179.6  39.3   3   5   3.3e-28   2.8e-26   90.4   9.2   553   727   255   441   248   442 0.89 -
25718at50557_7536_0:0032ee|STRG.21023.1:1047-2792|+    -            582 25718at50557         -            825   3.2e-53  179.6  39.3   4   5   2.4e-13   2.1e-11   41.3   1.4   269   381   425   537   424   542 0.88 -
25718at50557_7536_0:0032ee|STRG.21023.1:1047-2792|+    -            582 25718at50557         -            825   3.2e-53  179.6  39.3   5   5     0.019       1.6    5.2   0.3   155   198   539   582   532   582 0.77 -
25718at50557_7536_0:0032ee|STRG.21023.2:315-2060|+     -            582 25718at50557         -            825   3.2e-53  179.6  39.3   1   5   1.7e-08   1.5e-06   25.2   0.1   613   677    51   115     7   126 0.81 -
25718at50557_7536_0:0032ee|STRG.21023.2:315-2060|+     -            582 25718at50557         -            825   3.2e-53  179.6  39.3   2   5     4e-15   3.4e-13   47.1   6.5   556   660   135   245   119   250 0.87 -
25718at50557_7536_0:0032ee|STRG.21023.2:315-2060|+     -            582 25718at50557         -            825   3.2e-53  179.6  39.3   3   5   3.3e-28   2.8e-26   90.4   9.2   553   727   255   441   248   442 0.89 -
25718at50557_7536_0:0032ee|STRG.21023.2:315-2060|+     -            582 25718at50557         -            825   3.2e-53  179.6  39.3   4   5   2.4e-13   2.1e-11   41.3   1.4   269   381   425   537   424   542 0.88 -
25718at50557_7536_0:0032ee|STRG.21023.2:315-2060|+     -            582 25718at50557         -            825   3.2e-53  179.6  39.3   5   5     0.019       1.6    5.2   0.3   155   198   539   582   532   582 0.77 -
8280at50557_113334_0:00096f|STRG.7494.1:329-1528|+     -            400 25718at50557         -            825   4.1e-48  162.7  11.2   1   4   0.00088     0.077    9.6   0.0   153   201     2    49     1    59 0.85 -
8280at50557_113334_0:00096f|STRG.7494.1:329-1528|+     -            400 25718at50557         -            825   4.1e-48  162.7  11.2   2   4   1.2e-18   1.1e-16   58.8   0.7   538   660   123   256   117   260 0.86 -
8280at50557_113334_0:00096f|STRG.7494.1:329-1528|+     -            400 25718at50557         -            825   4.1e-48  162.7  11.2   3   4   1.7e-24   1.5e-22   78.1   1.5   152   305   169   326   165   333 0.89 -
8280at50557_113334_0:00096f|STRG.7494.1:329-1528|+     -            400 25718at50557         -            825   4.1e-48  162.7  11.2   4   4   2.5e-14   2.2e-12   44.5   0.2   151   211   335   395   328   399 0.94 -
8280at50557_1155016_0:002e71|STRG.17467.1:563-1699|+   -            379 25718at50557         -            825   9.5e-47  158.1  18.4   1   2   8.3e-14   7.2e-12   42.8   0.7   105   211    23   129    13   129 0.93 -
8280at50557_1155016_0:002e71|STRG.17467.1:563-1699|+   -            379 25718at50557         -            825   9.5e-47  158.1  18.4   2   2   1.9e-39   1.7e-37  127.6  13.9   154   399   120   374   118   377 0.94 -
25718at50557_197043_0:00510d|STRG.16035.1:222-1487|+   -            422 25718at50557         -            825   2.6e-46  156.7  44.0   1   3   1.4e-15   1.2e-13   48.6  15.8   156   306     4   157     1   159 0.71 -
25718at50557_197043_0:00510d|STRG.16035.1:222-1487|+   -            422 25718at50557         -            825   2.6e-46  156.7  44.0   2   3     5e-29   4.4e-27   93.1  15.4   550   724   138   324   134   330 0.91 -
25718at50557_197043_0:00510d|STRG.16035.1:222-1487|+   -            422 25718at50557         -            825   2.6e-46  156.7  44.0   3   3   1.1e-11   9.7e-10   35.7   3.7   681   762   332   413   326   418 0.88 -
8280at50557_74869_0:001375|STRG.4312.1:344-1906|+      -            521 25718at50557         -            825   1.1e-45  154.6  33.8   1   3     9e-25   7.8e-23   79.0   5.8   245   398    42   199     7   208 0.92 -
8280at50557_74869_0:001375|STRG.4312.1:344-1906|+      -            521 25718at50557         -            825   1.1e-45  154.6  33.8   2   3   2.6e-20   2.3e-18   64.3  14.0   246   472   186   414   186   445 0.87 -
8280at50557_74869_0:001375|STRG.4312.1:344-1906|+      -            521 25718at50557         -            825   1.1e-45  154.6  33.8   3   3   4.7e-09   4.1e-07   27.0   2.0   660   723   455   519   450   521 0.87 -
8280at50557_74869_0:001375|STRG.4312.2:569-2131|+      -            521 25718at50557         -            825   1.1e-45  154.6  33.8   1   3     9e-25   7.8e-23   79.0   5.8   245   398    42   199     7   208 0.92 -
8280at50557_74869_0:001375|STRG.4312.2:569-2131|+      -            521 25718at50557         -            825   1.1e-45  154.6  33.8   2   3   2.6e-20   2.3e-18   64.3  14.0   246   472   186   414   186   445 0.87 -
8280at50557_74869_0:001375|STRG.4312.2:569-2131|+      -            521 25718at50557         -            825   1.1e-45  154.6  33.8   3   3   4.7e-09   4.1e-07   27.0   2.0   660   723   455   519   450   521 0.87 -
8280at50557_74869_0:001375|STRG.4312.3:194-1756|+      -            521 25718at50557         -            825   1.1e-45  154.6  33.8   1   3     9e-25   7.8e-23   79.0   5.8   245   398    42   199     7   208 0.92 -
8280at50557_74869_0:001375|STRG.4312.3:194-1756|+      -            521 25718at50557         -            825   1.1e-45  154.6  33.8   2   3   2.6e-20   2.3e-18   64.3  14.0   246   472   186   414   186   445 0.87 -
8280at50557_74869_0:001375|STRG.4312.3:194-1756|+      -            521 25718at50557         -            825   1.1e-45  154.6  33.8   3   3   4.7e-09   4.1e-07   27.0   2.0   660   723   455   519   450   521 0.87 -
7376at50557_139723_0:002c9a|STRG.15098.1:30-1910|+     -            627 25718at50557         -            825   3.1e-43  146.5  27.7   1   3     2e-17   1.8e-15   54.7   3.4   581   701     1   130     1   133 0.90 -
7376at50557_139723_0:002c9a|STRG.15098.1:30-1910|+     -            627 25718at50557         -            825   3.1e-43  146.5  27.7   2   3   3.1e-18   2.7e-16   57.4   9.9   553   763   113   336   112   353 0.84 -
7376at50557_139723_0:002c9a|STRG.15098.1:30-1910|+     -            627 25718at50557         -            825   3.1e-43  146.5  27.7   3   3   4.7e-16   4.1e-14   50.2   0.8   625   768   434   586   428   590 0.86 -
7376at50557_456900_0:001c8a|STRG.4928.1:2-3328|+       -           1109 25718at50557         -            825   4.4e-43  146.0  23.5   1   5   2.2e-12   1.9e-10   38.1   0.2   674   762     2    90     1   123 0.86 -
7376at50557_456900_0:001c8a|STRG.4928.1:2-3328|+       -           1109 25718at50557         -            825   4.4e-43  146.0  23.5   2   5   1.1e-14   9.8e-13   45.6   1.2   226   309   173   255   165   263 0.88 -
7376at50557_456900_0:001c8a|STRG.4928.1:2-3328|+       -           1109 25718at50557         -            825   4.4e-43  146.0  23.5   3   5   5.4e-06   0.00047   16.9   0.1   736   773   264   306   261   324 0.76 -
7376at50557_456900_0:001c8a|STRG.4928.1:2-3328|+       -           1109 25718at50557         -            825   4.4e-43  146.0  23.5   4   5   3.6e-19   3.1e-17   60.5   0.3   657   762   379   484   346   506 0.93 -
7376at50557_456900_0:001c8a|STRG.4928.1:2-3328|+       -           1109 25718at50557         -            825   4.4e-43  146.0  23.5   5   5       9.2     8e+02   -3.7   0.6   743   767  1016  1039  1015  1042 0.85 -
8280at50557_121225_0:0005bf|STRG.16582.1:72-1877|+     -            602 25718at50557         -            825   2.9e-42  143.3  37.7   1   4   6.5e-09   5.6e-07   26.6   9.4   580   708     6   141     2   183 0.79 -
8280at50557_121225_0:0005bf|STRG.16582.1:72-1877|+     -            602 25718at50557         -            825   2.9e-42  143.3  37.7   2   4   9.7e-06   0.00084   16.1   2.3   661   719   245   305   223   305 0.85 -
8280at50557_121225_0:0005bf|STRG.16582.1:72-1877|+     -            602 25718at50557         -            825   2.9e-42  143.3  37.7   3   4   1.7e-18   1.5e-16   58.3   8.9   555   702   296   454   291   460 0.84 -
8280at50557_121225_0:0005bf|STRG.16582.1:72-1877|+     -            602 25718at50557         -            825   2.9e-42  143.3  37.7   4   4   3.9e-18   3.4e-16   57.1   0.3   153   286   460   598   454   602 0.85 -
7376at50557_1507135_0:001a56|STRG.5591.1:699-3095|+    -            799 25718at50557         -            825   9.6e-42  141.6   4.4   1   4   4.6e-10     4e-08   30.4   0.0   194   302    14   127     2   145 0.50 -
7376at50557_1507135_0:001a56|STRG.5591.1:699-3095|+    -            799 25718at50557         -            825   9.6e-42  141.6   4.4   2   4   3.9e-10   3.4e-08   30.6   0.1   245   348   235   341   215   356 0.92 -
7376at50557_1507135_0:001a56|STRG.5591.1:699-3095|+    -            799 25718at50557         -            825   9.6e-42  141.6   4.4   3   4   1.3e-14   1.1e-12   45.5   0.6   255   656   468   589   433   613 0.49 -
7376at50557_1507135_0:001a56|STRG.5591.1:699-3095|+    -            799 25718at50557         -            825   9.6e-42  141.6   4.4   4   4   8.8e-11   7.7e-09   32.7   0.0   574   659   712   798   693   799 0.93 -
8280at50557_116153_0:002979|STRG.16582.2:162-1946|+    -            595 25718at50557         -            825   1.5e-41  140.9  38.3   1   4   6.3e-09   5.5e-07   26.6   9.4   580   708     6   141     2   183 0.79 -
8280at50557_116153_0:002979|STRG.16582.2:162-1946|+    -            595 25718at50557         -            825   1.5e-41  140.9  38.3   2   4   1.7e-06   0.00015   18.5   3.0   661   720   245   306   222   306 0.87 -
8280at50557_116153_0:002979|STRG.16582.2:162-1946|+    -            595 25718at50557         -            825   1.5e-41  140.9  38.3   3   4   1.8e-18   1.5e-16   58.2   9.1   555   702   296   454   290   460 0.84 -
8280at50557_116153_0:002979|STRG.16582.2:162-1946|+    -            595 25718at50557         -            825   1.5e-41  140.9  38.3   4   4     2e-17   1.7e-15   54.7   0.4   153   280   460   592   454   595 0.83 -
7376at50557_67767_0:001053|STRG.17468.1:168-1142|+     -            325 25718at50557         -            825   2.4e-39  133.7  11.1   1   2   4.7e-22     4e-20   70.1   5.9   245   396     3   166     1   169 0.87 -
7376at50557_67767_0:001053|STRG.17468.1:168-1142|+     -            325 25718at50557         -            825   2.4e-39  133.7  11.1   2   2   1.2e-22     1e-20   72.0   0.2   623   762   154   302   150   308 0.89 -
8280at50557_113334_0:00096f|STRG.10252.1:902-2122|+    -            407 25718at50557         -            825   2.4e-38  130.3  29.4   1   5    0.0011     0.096    9.3   0.1   363   398     3    38     1    45 0.73 -
8280at50557_113334_0:00096f|STRG.10252.1:902-2122|+    -            407 25718at50557         -            825   2.4e-38  130.3  29.4   2   5   1.6e-10   1.4e-08   31.9   1.2   331   401    44   117    28   121 0.85 -
8280at50557_113334_0:00096f|STRG.10252.1:902-2122|+    -            407 25718at50557         -            825   2.4e-38  130.3  29.4   3   5   4.6e-16     4e-14   50.2   3.9   556   675   123   245   115   259 0.93 -
8280at50557_113334_0:00096f|STRG.10252.1:902-2122|+    -            407 25718at50557         -            825   2.4e-38  130.3  29.4   4   5     1e-14   9.1e-13   45.7   3.3   309   398   263   355   256   358 0.92 -
8280at50557_113334_0:00096f|STRG.10252.1:902-2122|+    -            407 25718at50557         -            825   2.4e-38  130.3  29.4   5   5    0.0018      0.16    8.6   0.0   621   658   363   400   355   404 0.55 -
8280at50557_113334_0:00096f|STRG.10252.2:893-2113|+    -            407 25718at50557         -            825   2.4e-38  130.3  29.4   1   5    0.0011     0.096    9.3   0.1   363   398     3    38     1    45 0.73 -
8280at50557_113334_0:00096f|STRG.10252.2:893-2113|+    -            407 25718at50557         -            825   2.4e-38  130.3  29.4   2   5   1.6e-10   1.4e-08   31.9   1.2   331   401    44   117    28   121 0.85 -
8280at50557_113334_0:00096f|STRG.10252.2:893-2113|+    -            407 25718at50557         -            825   2.4e-38  130.3  29.4   3   5   4.6e-16     4e-14   50.2   3.9   556   675   123   245   115   259 0.93 -
8280at50557_113334_0:00096f|STRG.10252.2:893-2113|+    -            407 25718at50557         -            825   2.4e-38  130.3  29.4   4   5     1e-14   9.1e-13   45.7   3.3   309   398   263   355   256   358 0.92 -
8280at50557_113334_0:00096f|STRG.10252.2:893-2113|+    -            407 25718at50557         -            825   2.4e-38  130.3  29.4   5   5    0.0018      0.16    8.6   0.0   621   658   363   400   355   404 0.55 -
8280at50557_113334_0:00096f|STRG.10252.4:1157-2377|+   -            407 25718at50557         -            825   2.4e-38  130.3  29.4   1   5    0.0011     0.096    9.3   0.1   363   398     3    38     1    45 0.73 -
8280at50557_113334_0:00096f|STRG.10252.4:1157-2377|+   -            407 25718at50557         -            825   2.4e-38  130.3  29.4   2   5   1.6e-10   1.4e-08   31.9   1.2   331   401    44   117    28   121 0.85 -
8280at50557_113334_0:00096f|STRG.10252.4:1157-2377|+   -            407 25718at50557         -            825   2.4e-38  130.3  29.4   3   5   4.6e-16     4e-14   50.2   3.9   556   675   123   245   115   259 0.93 -
8280at50557_113334_0:00096f|STRG.10252.4:1157-2377|+   -            407 25718at50557         -            825   2.4e-38  130.3  29.4   4   5     1e-14   9.1e-13   45.7   3.3   309   398   263   355   256   358 0.92 -
8280at50557_113334_0:00096f|STRG.10252.4:1157-2377|+   -            407 25718at50557         -            825   2.4e-38  130.3  29.4   5   5    0.0018      0.16    8.6   0.0   621   658   363   400   355   404 0.55 -
8280at50557_113334_0:00096f|STRG.10252.5:883-2103|+    -            407 25718at50557         -            825   2.4e-38  130.3  29.4   1   5    0.0011     0.096    9.3   0.1   363   398     3    38     1    45 0.73 -
8280at50557_113334_0:00096f|STRG.10252.5:883-2103|+    -            407 25718at50557         -            825   2.4e-38  130.3  29.4   2   5   1.6e-10   1.4e-08   31.9   1.2   331   401    44   117    28   121 0.85 -
8280at50557_113334_0:00096f|STRG.10252.5:883-2103|+    -            407 25718at50557         -            825   2.4e-38  130.3  29.4   3   5   4.6e-16     4e-14   50.2   3.9   556   675   123   245   115   259 0.93 -
8280at50557_113334_0:00096f|STRG.10252.5:883-2103|+    -            407 25718at50557         -            825   2.4e-38  130.3  29.4   4   5     1e-14   9.1e-13   45.7   3.3   309   398   263   355   256   358 0.92 -
8280at50557_113334_0:00096f|STRG.10252.5:883-2103|+    -            407 25718at50557         -            825   2.4e-38  130.3  29.4   5   5    0.0018      0.16    8.6   0.0   621   658   363   400   355   404 0.55 -
25718at50557_13249_0:001bb5|STRG.7524.1:417-1703|+     -            429 25718at50557         -            825   1.2e-36  124.7  20.5   1   3   1.2e-26   1.1e-24   85.2   6.9   402   612    14   255     2   262 0.53 -
25718at50557_13249_0:001bb5|STRG.7524.1:417-1703|+     -            429 25718at50557         -            825   1.2e-36  124.7  20.5   2   3   5.1e-17   4.5e-15   53.4   5.7   153   300   195   344   143   356 0.73 -
25718at50557_13249_0:001bb5|STRG.7524.1:417-1703|+     -            429 25718at50557         -            825   1.2e-36  124.7  20.5   3   3    0.0022      0.19    8.3   0.1   666   720   371   429   362   429 0.69 -
8280at50557_7160_0:00112a|STRG.13990.1:1303-2487|+     -            395 25718at50557         -            825   1.8e-35  120.9   7.5   1   2   3.3e-13   2.9e-11   40.8   0.1   563   661     9   112     2   118 0.85 -
8280at50557_7160_0:00112a|STRG.13990.1:1303-2487|+     -            395 25718at50557         -            825   1.8e-35  120.9   7.5   2   2   3.6e-28   3.1e-26   90.3   2.9   552   761    94   315    92   324 0.92 -
8280at50557_7160_0:00112a|STRG.13990.2:1244-2428|+     -            395 25718at50557         -            825   1.8e-35  120.9   7.5   1   2   3.3e-13   2.9e-11   40.8   0.1   563   661     9   112     2   118 0.85 -
8280at50557_7160_0:00112a|STRG.13990.2:1244-2428|+     -            395 25718at50557         -            825   1.8e-35  120.9   7.5   2   2   3.6e-28   3.1e-26   90.3   2.9   552   761    94   315    92   324 0.92 -
8280at50557_7200_0:000e97|STRG.18179.1:117-1196|+      -            360 25718at50557         -            825   1.3e-34  118.0  17.1   1   2   1.8e-14   1.6e-12   45.0   0.7   628   730    41   152    21   157 0.76 -
8280at50557_7200_0:000e97|STRG.18179.1:117-1196|+      -            360 25718at50557         -            825   1.3e-34  118.0  17.1   2   2     9e-24   7.9e-22   75.7  10.1   555   741   157   359   154   360 0.88 -
25718at50557_13249_0:001bb5|STRG.10255.2:102-1400|+    -            433 25718at50557         -            825   1.3e-34  118.0  42.2   1   3   4.6e-24     4e-22   76.7  18.3   109   398    12   299     3   303 0.85 -
25718at50557_13249_0:001bb5|STRG.10255.2:102-1400|+    -            433 25718at50557         -            825   1.3e-34  118.0  42.2   2   3   6.7e-16   5.9e-14   49.7   7.9   578   699   238   365   237   370 0.90 -
25718at50557_13249_0:001bb5|STRG.10255.2:102-1400|+    -            433 25718at50557         -            825   1.3e-34  118.0  42.2   3   3     2e-06   0.00017   18.4   1.0   154   211   375   433   367   433 0.69 -
25718at50557_13249_0:001bb5|STRG.10255.1:428-1627|+    -            400 25718at50557         -            825   3.9e-34  116.4  44.8   1   3   4.3e-22   3.7e-20   70.2  18.3   132   398     1   266     1   269 0.85 -
25718at50557_13249_0:001bb5|STRG.10255.1:428-1627|+    -            400 25718at50557         -            825   3.9e-34  116.4  44.8   2   3   2.7e-17   2.4e-15   54.3  10.5   557   722   184   353   183   353 0.86 -
25718at50557_13249_0:001bb5|STRG.10255.1:428-1627|+    -            400 25718at50557         -            825   3.9e-34  116.4  44.8   3   3   1.8e-06   0.00015   18.5   1.0   154   211   342   400   334   400 0.69 -
109776at50557_83485_0:00245b|STRG.16467.3:19-1029|+    -            337 25718at50557         -            825   1.3e-30  104.8  12.2   1   2   6.3e-22   5.5e-20   69.6   8.0   113   306    57   255    52   260 0.85 -
109776at50557_83485_0:00245b|STRG.16467.3:19-1029|+    -            337 25718at50557         -            825   1.3e-30  104.8  12.2   2   2   1.8e-11   1.5e-09   35.1   0.1   148   211   260   323   258   327 0.95 -
109776at50557_83485_0:00245b|STRG.16468.1:632-1642|-   -            337 25718at50557         -            825   1.3e-30  104.8  12.2   1   2   6.3e-22   5.5e-20   69.6   8.0   113   306    57   255    52   260 0.85 -
109776at50557_83485_0:00245b|STRG.16468.1:632-1642|-   -            337 25718at50557         -            825   1.3e-30  104.8  12.2   2   2   1.8e-11   1.5e-09   35.1   0.1   148   211   260   323   258   327 0.95 -
8280at50557_7160_0:00112a|STRG.4311.1:347-1375|+       -            343 25718at50557         -            825   1.7e-29  101.1  28.3   1   1   1.9e-07   1.6e-05   21.8   2.1   338   398    20    82     7    86 0.87 -
