#                                                                                                              --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                          accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                  ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
35385at50557_88501_0:000e58|STRG.24363.1:1-930|+       -            310 35385at50557         -            530  5.1e-182  605.3   0.6   1   1  6.8e-184  6.7e-182  604.9   0.6   245   530     1   310     1   310 0.95 -
46658at50557_28612_0:0048c7|STRG.17951.3:78-1259|+     -            394 35385at50557         -            530   5.1e-44  149.9   2.0   1   1   6.6e-46   6.4e-44  149.6   2.0   129   469    16   375     3   386 0.83 -
46658at50557_28612_0:0048c7|STRG.17951.1:78-1262|+     -            395 35385at50557         -            530   5.2e-44  149.9   2.0   1   1   6.6e-46   6.5e-44  149.6   2.0   129   469    16   375     3   386 0.83 -
46658at50557_28612_0:0048c7|STRG.17951.2:78-2450|+     -            395 35385at50557         -            530   5.2e-44  149.9   2.0   1   1   6.6e-46   6.5e-44  149.6   2.0   129   469    16   375     3   386 0.83 -
65449at50557_34720_0:000b83|STRG.10112.1:2-1669|+      -            556 35385at50557         -            530   2.3e-43  147.8   0.1   1   1     4e-45   3.9e-43  147.0   0.1   157   452     1   320     1   367 0.84 -
65449at50557_34720_0:000b83|STRG.10112.3:2-1917|+      -            556 35385at50557         -            530   2.3e-43  147.8   0.1   1   1     4e-45   3.9e-43  147.0   0.1   157   452     1   320     1   367 0.84 -
65449at50557_42026_0:002fbc|STRG.7438.1:1334-3142|+    -            603 35385at50557         -            530   1.6e-42  145.0   0.9   1   3   2.4e-28   2.4e-26   91.6   0.0   146   297     2   164     1   169 0.84 -
65449at50557_42026_0:002fbc|STRG.7438.1:1334-3142|+    -            603 35385at50557         -            530   1.6e-42  145.0   0.9   2   3      0.13        12    3.4   0.0   298   329   271   302   250   310 0.82 -
65449at50557_42026_0:002fbc|STRG.7438.1:1334-3142|+    -            603 35385at50557         -            530   1.6e-42  145.0   0.9   3   3   8.5e-15   8.3e-13   46.9   0.1   389   477   402   496   385   520 0.76 -
18450at50557_197043_0:00065e|STRG.16102.1:1090-2196|+  -            304 35385at50557         -            530   1.3e-40  138.6   0.0   1   2   2.2e-28   2.1e-26   91.8   0.0   128   291     1   168     1   192 0.86 -
18450at50557_197043_0:00065e|STRG.16102.1:1090-2196|+  -            304 35385at50557         -            530   1.3e-40  138.6   0.0   2   2   2.5e-14   2.4e-12   45.4   0.0   389   452   228   294   182   302 0.87 -
25910at50557_103372_0:001a63|STRG.12378.1:114-2363|+   -            728 35385at50557         -            530   1.5e-40  138.4   0.0   1   3     9e-08   8.8e-06   23.7   0.0   129   208     2    81     1    88 0.89 -
25910at50557_103372_0:001a63|STRG.12378.1:114-2363|+   -            728 35385at50557         -            530   1.5e-40  138.4   0.0   2   3   3.4e-18   3.4e-16   58.1   0.0   200   292   283   387   257   433 0.83 -
25910at50557_103372_0:001a63|STRG.12378.1:114-2363|+   -            728 35385at50557         -            530   1.5e-40  138.4   0.0   3   3   1.3e-16   1.2e-14   52.9   0.0   365   464   507   619   474   624 0.85 -
25910at50557_103372_0:001a63|STRG.12378.2:114-2297|+   -            728 35385at50557         -            530   1.5e-40  138.4   0.0   1   3     9e-08   8.8e-06   23.7   0.0   129   208     2    81     1    88 0.89 -
25910at50557_103372_0:001a63|STRG.12378.2:114-2297|+   -            728 35385at50557         -            530   1.5e-40  138.4   0.0   2   3   3.4e-18   3.4e-16   58.1   0.0   200   292   283   387   257   433 0.83 -
25910at50557_103372_0:001a63|STRG.12378.2:114-2297|+   -            728 35385at50557         -            530   1.5e-40  138.4   0.0   3   3   1.3e-16   1.2e-14   52.9   0.0   365   464   507   619   474   624 0.85 -
25910at50557_103372_0:001a63|STRG.12378.3:3-2177|+     -            725 35385at50557         -            530   8.1e-40  136.0   0.0   1   3   4.8e-07   4.7e-05   21.3   0.0   137   208     7    78     1    85 0.85 -
25910at50557_103372_0:001a63|STRG.12378.3:3-2177|+     -            725 35385at50557         -            530   8.1e-40  136.0   0.0   2   3   3.4e-18   3.3e-16   58.1   0.0   200   292   280   384   254   430 0.83 -
25910at50557_103372_0:001a63|STRG.12378.3:3-2177|+     -            725 35385at50557         -            530   8.1e-40  136.0   0.0   3   3   1.3e-16   1.2e-14   52.9   0.0   365   464   504   616   471   621 0.85 -
65449at50557_174628_0:0019f8|STRG.12210.1:246-1213|+   -            312 35385at50557         -            530     2e-39  134.7   0.1   1   2   1.2e-17   1.1e-15   56.4   0.0   133   256     2   129     1   130 0.84 -
65449at50557_174628_0:0019f8|STRG.12210.1:246-1213|+   -            312 35385at50557         -            530     2e-39  134.7   0.1   2   2   4.5e-24   4.4e-22   77.5   0.0   300   468   130   311   129   312 0.81 -
43304at50557_34720_0:00174e|STRG.8305.1:74-2281|+      -            736 35385at50557         -            530   3.3e-39  134.0   0.0   1   3   8.2e-11     8e-09   33.8   0.0   128   192   139   204   125   216 0.87 -
43304at50557_34720_0:00174e|STRG.8305.1:74-2281|+      -            736 35385at50557         -            530   3.3e-39  134.0   0.0   2   3   2.4e-13   2.3e-11   42.1   0.0   203   310   255   380   235   389 0.75 -
43304at50557_34720_0:00174e|STRG.8305.1:74-2281|+      -            736 35385at50557         -            530   3.3e-39  134.0   0.0   3   3   7.3e-17   7.1e-15   53.7   0.0   389   461   491   569   443   586 0.77 -
43304at50557_34720_0:00174e|STRG.8305.2:0-2207|+       -            736 35385at50557         -            530   3.3e-39  134.0   0.0   1   3   8.2e-11     8e-09   33.8   0.0   128   192   139   204   125   216 0.87 -
43304at50557_34720_0:00174e|STRG.8305.2:0-2207|+       -            736 35385at50557         -            530   3.3e-39  134.0   0.0   2   3   2.4e-13   2.3e-11   42.1   0.0   203   310   255   380   235   389 0.75 -
43304at50557_34720_0:00174e|STRG.8305.2:0-2207|+       -            736 35385at50557         -            530   3.3e-39  134.0   0.0   3   3   7.3e-17   7.1e-15   53.7   0.0   389   461   491   569   443   586 0.77 -
41619at50557_34720_0:0004fb|STRG.3402.1:90-1721|+      -            544 35385at50557         -            530   6.4e-38  129.8   0.3   1   2   3.8e-30   3.7e-28   97.6   0.1   126   327     9   221     3   272 0.87 -
41619at50557_34720_0:0004fb|STRG.3402.1:90-1721|+      -            544 35385at50557         -            530   6.4e-38  129.8   0.3   2   2   8.3e-10   8.1e-08   30.4   0.0   417   495   341   427   323   463 0.79 -
41619at50557_34720_0:0004fb|STRG.3402.2:90-1955|+      -            544 35385at50557         -            530   6.4e-38  129.8   0.3   1   2   3.8e-30   3.7e-28   97.6   0.1   126   327     9   221     3   272 0.87 -
41619at50557_34720_0:0004fb|STRG.3402.2:90-1955|+      -            544 35385at50557         -            530   6.4e-38  129.8   0.3   2   2   8.3e-10   8.1e-08   30.4   0.0   417   495   341   427   323   463 0.79 -
41619at50557_34720_0:0004fb|STRG.3402.3:90-2170|+      -            544 35385at50557         -            530   6.4e-38  129.8   0.3   1   2   3.8e-30   3.7e-28   97.6   0.1   126   327     9   221     3   272 0.87 -
41619at50557_34720_0:0004fb|STRG.3402.3:90-2170|+      -            544 35385at50557         -            530   6.4e-38  129.8   0.3   2   2   8.3e-10   8.1e-08   30.4   0.0   417   495   341   427   323   463 0.79 -
29312at50557_34720_0:0009c1|STRG.1227.2:255-1672|+     -            418 35385at50557         -            530   1.8e-34  118.4   0.0   1   1   2.4e-36   2.3e-34  118.0   0.0   115   285   236   418   221   418 0.85 -
65449at50557_103372_0:002499|STRG.10112.4:2-583|+      -            194 35385at50557         -            530   5.2e-31  107.0   0.0   1   1     6e-33   5.8e-31  106.8   0.0   157   330     1   186     1   193 0.88 -
123578at50557_7168_0:0013fb|STRG.13638.1:408-1772|+    -            455 35385at50557         -            530     1e-30  106.0   0.1   1   1   2.3e-32   2.3e-30  104.9   0.1   124   452    67   428    48   445 0.80 -
46658at50557_7260_0:0034ab|STRG.10755.1:222-1331|+     -            370 35385at50557         -            530     1e-29  102.7   0.3   1   1   1.4e-31   1.4e-29  102.3   0.3   133   462     3   352     1   364 0.80 -
29312at50557_29031_0:001a6d|STRG.11872.1:181-730|+     -            178 35385at50557         -            530   1.2e-29  102.5   0.6   1   1   1.3e-31   1.3e-29  102.4   0.6   270   438     2   178     1   178 0.88 -
35385at50557_1155016_0:002498|STRG.10628.1:160-534|+   -            125 35385at50557         -            530   3.8e-28   97.5   0.2   1   1   4.3e-30   4.2e-28   97.4   0.2   366   480     1   125     1   125 0.91 -
35385at50557_1155016_0:002498|STRG.10628.2:39-404|+    -            122 35385at50557         -            530   1.4e-26   92.3   0.3   1   1   1.6e-28   1.6e-26   92.2   0.3   366   477     1   122     1   122 0.90 -
35385at50557_1155016_0:002498|STRG.10628.3:160-525|+   -            122 35385at50557         -            530   1.4e-26   92.3   0.3   1   1   1.6e-28   1.6e-26   92.2   0.3   366   477     1   122     1   122 0.90 -
35385at50557_1155016_0:002498|STRG.10628.4:39-404|+    -            122 35385at50557         -            530   1.4e-26   92.3   0.3   1   1   1.6e-28   1.6e-26   92.2   0.3   366   477     1   122     1   122 0.90 -
29312at50557_29031_0:001a6d|STRG.11872.2:2-530|+       -            171 35385at50557         -            530   1.9e-26   91.9   0.5   1   1   2.2e-28   2.1e-26   91.8   0.5   276   438     1   171     1   171 0.88 -
57791at50557_34720_0:001e64|STRG.11632.1:76-2064|+     -            663 35385at50557         -            530   3.1e-25   87.9   2.1   1   2   9.9e-12   9.6e-10   36.8   0.4   165   282   236   367    23   426 0.75 -
57791at50557_34720_0:001e64|STRG.11632.1:76-2064|+     -            663 35385at50557         -            530   3.1e-25   87.9   2.1   2   2   7.7e-16   7.5e-14   50.3   0.1   397   522   520   651   464   660 0.73 -
57791at50557_34720_0:001e64|STRG.11632.2:0-1988|+      -            663 35385at50557         -            530   3.1e-25   87.9   2.1   1   2   9.9e-12   9.6e-10   36.8   0.4   165   282   236   367    23   426 0.75 -
57791at50557_34720_0:001e64|STRG.11632.2:0-1988|+      -            663 35385at50557         -            530   3.1e-25   87.9   2.1   2   2   7.7e-16   7.5e-14   50.3   0.1   397   522   520   651   464   660 0.73 -
46658at50557_219809_0:0017ae|STRG.6283.2:442-1200|+    -            253 35385at50557         -            530   5.5e-23   80.5   0.4   1   1   6.3e-25   6.2e-23   80.3   0.4   123   286    78   244    21   252 0.83 -
29312at50557_29031_0:001a6d|STRG.12210.1:641-1189|+    -            183 35385at50557         -            530   1.4e-22   79.2   0.0   1   1   1.6e-24   1.6e-22   79.0   0.0   299   456     8   175     5   183 0.83 -
35385at50557_1155016_0:002498|STRG.17784.2:700-1089|+  -            130 35385at50557         -            530   1.2e-16   59.6   0.0   1   1   1.2e-18   1.2e-16   59.6   0.0   346   461     2   128     1   130 0.74 -
68043at50557_197043_0:0006b9|STRG.19083.3:167-607|+    -            147 35385at50557         -            530     7e-15   53.7   0.1   1   1   8.6e-17   8.3e-15   53.5   0.1   112   224    23   133     2   144 0.83 -
46658at50557_56086_0:000311|STRG.13047.1:177-671|+     -            165 35385at50557         -            530   2.2e-14   52.1   0.4   1   1   2.5e-16   2.5e-14   51.9   0.4   129   275    15   164     2   165 0.81 -
65449at50557_42026_0:002fbc|STRG.12646.3:220-1631|+    -            351 35385at50557         -            530   2.5e-14   51.9   0.1   1   3   8.5e-11   8.3e-09   33.7   0.0   141   215    18    90     3    96 0.88 -
65449at50557_42026_0:002fbc|STRG.12646.3:220-1631|+    -            351 35385at50557         -            530   2.5e-14   51.9   0.1   2   3     0.064       6.3    4.4   0.0   247   291    96   142    90   150 0.81 -
65449at50557_42026_0:002fbc|STRG.12646.3:220-1631|+    -            351 35385at50557         -            530   2.5e-14   51.9   0.1   3   3   0.00099     0.097   10.4   0.0   428   450   202   224   193   258 0.84 -
65449at50557_42026_0:002fbc|STRG.12646.5:292-1703|+    -            351 35385at50557         -            530   2.5e-14   51.9   0.1   1   3   8.5e-11   8.3e-09   33.7   0.0   141   215    18    90     3    96 0.88 -
65449at50557_42026_0:002fbc|STRG.12646.5:292-1703|+    -            351 35385at50557         -            530   2.5e-14   51.9   0.1   2   3     0.064       6.3    4.4   0.0   247   291    96   142    90   150 0.81 -
65449at50557_42026_0:002fbc|STRG.12646.5:292-1703|+    -            351 35385at50557         -            530   2.5e-14   51.9   0.1   3   3   0.00099     0.097   10.4   0.0   428   450   202   224   193   258 0.84 -
65449at50557_7220_0:002055|STRG.12646.6:98-1509|+      -            351 35385at50557         -            530   2.5e-14   51.9   0.1   1   3   8.5e-11   8.3e-09   33.7   0.0   141   215    18    90     3    96 0.88 -
65449at50557_7220_0:002055|STRG.12646.6:98-1509|+      -            351 35385at50557         -            530   2.5e-14   51.9   0.1   2   3     0.064       6.3    4.4   0.0   247   291    96   142    90   150 0.81 -
65449at50557_7220_0:002055|STRG.12646.6:98-1509|+      -            351 35385at50557         -            530   2.5e-14   51.9   0.1   3   3   0.00099     0.097   10.4   0.0   428   450   202   224   193   258 0.84 -
65449at50557_34720_0:000b83|STRG.10112.2:326-1258|+    -            311 35385at50557         -            530   2.1e-09   35.7   0.0   1   1   2.2e-11   2.1e-09   35.7   0.0   391   452    11    75     5   124 0.82 -
19244at50557_34720_0:002014|STRG.595.1:0-4565|+        -           1522 35385at50557         -            530     1e-05   23.5   0.0   1   2      0.74        73    0.9   0.0   143   189   820   866   789   877 0.82 -
19244at50557_34720_0:002014|STRG.595.1:0-4565|+        -           1522 35385at50557         -            530     1e-05   23.5   0.0   2   2   1.4e-06   0.00014   19.8   0.0   408   468  1119  1182  1096  1212 0.78 -
19244at50557_29053_0:002948|STRG.9934.1:1760-2947|+    -            396 35385at50557         -            530   1.9e-05   22.6   0.1   1   2       0.1       9.7    3.8   0.0   153   188     8    43     3    55 0.89 -
19244at50557_29053_0:002948|STRG.9934.1:1760-2947|+    -            396 35385at50557         -            530   1.9e-05   22.6   0.1   2   2   1.2e-05    0.0012   16.7   0.0   409   494   280   368   250   380 0.78 -
19244at50557_29053_0:002948|STRG.9934.2:1566-2753|+    -            396 35385at50557         -            530   1.9e-05   22.6   0.1   1   2       0.1       9.7    3.8   0.0   153   188     8    43     3    55 0.89 -
19244at50557_29053_0:002948|STRG.9934.2:1566-2753|+    -            396 35385at50557         -            530   1.9e-05   22.6   0.1   2   2   1.2e-05    0.0012   16.7   0.0   409   494   280   368   250   380 0.78 -
19244at50557_29053_0:002948|STRG.9934.3:1539-2726|+    -            396 35385at50557         -            530   1.9e-05   22.6   0.1   1   2       0.1       9.7    3.8   0.0   153   188     8    43     3    55 0.89 -
19244at50557_29053_0:002948|STRG.9934.3:1539-2726|+    -            396 35385at50557         -            530   1.9e-05   22.6   0.1   2   2   1.2e-05    0.0012   16.7   0.0   409   494   280   368   250   380 0.78 -
19244at50557_116153_0:001e22|STRG.5665.1:3-1052|+      -            350 35385at50557         -            530   0.00059   17.7   0.0   1   2     0.021         2    6.0   0.0   154   193    17    55    13    71 0.78 -
19244at50557_116153_0:001e22|STRG.5665.1:3-1052|+      -            350 35385at50557         -            530   0.00059   17.7   0.0   2   2     0.002       0.2    9.4   0.0   367   451   251   342   244   346 0.79 -
19244at50557_116153_0:001e22|STRG.3397.3:318-1253|+    -            312 35385at50557         -            530    0.0023   15.7   0.1   1   2      0.48        46    1.5   0.0   164   189     2    27     1   122 0.90 -
19244at50557_116153_0:001e22|STRG.3397.3:318-1253|+    -            312 35385at50557         -            530    0.0023   15.7   0.1   2   2   0.00026     0.026   12.3   0.0   407   451   263   307   239   311 0.90 -
19244at50557_116153_0:001e22|STRG.5665.2:222-1193|+    -            324 35385at50557         -            530    0.0057   14.4   0.0   1   2      0.22        22    2.6   0.0   166   193     4    29     1    45 0.78 -
19244at50557_116153_0:001e22|STRG.5665.2:222-1193|+    -            324 35385at50557         -            530    0.0057   14.4   0.0   2   2    0.0018      0.17    9.6   0.0   367   451   225   316   218   320 0.79 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/justine/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/35385at50557.hmm
# Target file:     annotation_analysis/annotation_gca/T_cornetzi/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas
# Option settings: hmmsearch --domtblout annotation_analysis/annotation_gca/T_cornetzi/busco_output/run_insecta_odb10/hmmer_output/initial_run_results/35385at50557.out --cpu 1 /home/justine/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/35385at50557.hmm annotation_analysis/annotation_gca/T_cornetzi/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas 
# Current dir:     /home/justine/projet_tutore
# Date:            Sun Dec  1 22:16:56 2024
# [ok]
