#                                                                                                              --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                          accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                  ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
135254at50557_103372_0:002a85|STRG.8240.1:0-374|+      -            125 135254at50557        -            104   1.1e-58  194.6   1.6   1   1   8.2e-61   1.3e-58  194.4   1.6     1   104     7   120     7   120 0.92 -
117816at50557_69004_0:00324f|STRG.17660.1:659-1702|+   -            348 135254at50557        -            104     8e-08   31.2   1.2   3   4   0.00015     0.024   13.6   0.1    17   102   184   271   166   273 0.74 -
117816at50557_69004_0:00324f|STRG.17660.1:659-1702|+   -            348 135254at50557        -            104     8e-08   31.2   1.2   4   4      0.72   1.2e+02    1.8   0.0    14    68   285   343   273   347 0.71 -
117816at50557_69004_0:00324f|STRG.17660.2:659-1702|+   -            348 135254at50557        -            104     8e-08   31.2   1.2   1   4     0.092        15    4.6   0.0    17    69     3    61     1    84 0.68 -
117816at50557_69004_0:00324f|STRG.17660.2:659-1702|+   -            348 135254at50557        -            104     8e-08   31.2   1.2   2   4     0.011       1.8    7.6   0.1    16    72    90   151    76   179 0.80 -
117816at50557_69004_0:00324f|STRG.17660.2:659-1702|+   -            348 135254at50557        -            104     8e-08   31.2   1.2   3   4   0.00015     0.024   13.6   0.1    17   102   184   271   166   273 0.74 -
117816at50557_69004_0:00324f|STRG.17660.2:659-1702|+   -            348 135254at50557        -            104     8e-08   31.2   1.2   4   4      0.72   1.2e+02    1.8   0.0    14    68   285   343   273   347 0.71 -
117816at50557_69004_0:00324f|STRG.17660.3:659-1702|+   -            348 135254at50557        -            104     8e-08   31.2   1.2   1   4     0.092        15    4.6   0.0    17    69     3    61     1    84 0.68 -
117816at50557_69004_0:00324f|STRG.17660.3:659-1702|+   -            348 135254at50557        -            104     8e-08   31.2   1.2   2   4     0.011       1.8    7.6   0.1    16    72    90   151    76   179 0.80 -
117816at50557_69004_0:00324f|STRG.17660.3:659-1702|+   -            348 135254at50557        -            104     8e-08   31.2   1.2   3   4   0.00015     0.024   13.6   0.1    17   102   184   271   166   273 0.74 -
117816at50557_69004_0:00324f|STRG.17660.3:659-1702|+   -            348 135254at50557        -            104     8e-08   31.2   1.2   4   4      0.72   1.2e+02    1.8   0.0    14    68   285   343   273   347 0.71 -
117816at50557_29058_0:000b65|STRG.15439.1:928-1401|+   -            158 135254at50557        -            104   9.3e-07   27.8   0.1   1   2   8.6e-05     0.014   14.4   0.1    26    83     9    69     3    79 0.77 -
117816at50557_29058_0:000b65|STRG.15439.1:928-1401|+   -            158 135254at50557        -            104   9.3e-07   27.8   0.1   2   2   0.00056     0.091   11.8   0.0    15    71    81   143    72   145 0.76 -
117816at50557_29058_0:000b65|STRG.15439.2:481-954|+    -            158 135254at50557        -            104   9.3e-07   27.8   0.1   1   2   8.6e-05     0.014   14.4   0.1    26    83     9    69     3    79 0.77 -
117816at50557_29058_0:000b65|STRG.15439.2:481-954|+    -            158 135254at50557        -            104   9.3e-07   27.8   0.1   2   2   0.00056     0.091   11.8   0.0    15    71    81   143    72   145 0.76 -
117816at50557_29058_0:000b65|STRG.15439.3:400-873|+    -            158 135254at50557        -            104   9.3e-07   27.8   0.1   1   2   8.6e-05     0.014   14.4   0.1    26    83     9    69     3    79 0.77 -
117816at50557_29058_0:000b65|STRG.15439.3:400-873|+    -            158 135254at50557        -            104   9.3e-07   27.8   0.1   2   2   0.00056     0.091   11.8   0.0    15    71    81   143    72   145 0.76 -
117816at50557_29058_0:000b65|STRG.15439.5:876-1349|+   -            158 135254at50557        -            104   9.3e-07   27.8   0.1   1   2   8.6e-05     0.014   14.4   0.1    26    83     9    69     3    79 0.77 -
117816at50557_29058_0:000b65|STRG.15439.5:876-1349|+   -            158 135254at50557        -            104   9.3e-07   27.8   0.1   2   2   0.00056     0.091   11.8   0.0    15    71    81   143    72   145 0.76 -
117816at50557_29058_0:000b65|STRG.15439.6:518-991|+    -            158 135254at50557        -            104   9.3e-07   27.8   0.1   1   2   8.6e-05     0.014   14.4   0.1    26    83     9    69     3    79 0.77 -
117816at50557_29058_0:000b65|STRG.15439.6:518-991|+    -            158 135254at50557        -            104   9.3e-07   27.8   0.1   2   2   0.00056     0.091   11.8   0.0    15    71    81   143    72   145 0.76 -
83433at50557_166361_0:0030d8|STRG.15439.4:2552-3112|+  -            187 135254at50557        -            104   2.2e-06   26.6   0.1   1   2   0.00013     0.021   13.8   0.1    26    84     6    67     1    78 0.77 -
83433at50557_166361_0:0030d8|STRG.15439.4:2552-3112|+  -            187 135254at50557        -            104   2.2e-06   26.6   0.1   2   2   0.00078      0.13   11.3   0.0    15    71    78   140    67   142 0.76 -
117816at50557_7200_0:0014c2|STRG.24179.2:1392-2324|+   -            311 135254at50557        -            104   4.1e-06   25.7   0.0   1   2    0.0058      0.94    8.5   0.0    28    86    10    68     4    78 0.86 -
117816at50557_7200_0:0014c2|STRG.24179.2:1392-2324|+   -            311 135254at50557        -            104   4.1e-06   25.7   0.0   2   2   8.8e-05     0.014   14.4   0.0    28    83   245   303   220   310 0.78 -
101501at50557_103372_0:00154d|STRG.6004.1:497-2818|+   -            774 135254at50557        -            104   2.2e-05   23.4   2.0   1   3       8.1   1.3e+03   -1.6   0.0    10    64    37    95    29   100 0.66 -
101501at50557_103372_0:00154d|STRG.6004.1:497-2818|+   -            774 135254at50557        -            104   2.2e-05   23.4   2.0   2   3   0.00019     0.032   13.2   0.1    15    93   185   268   170   278 0.77 -
101501at50557_103372_0:00154d|STRG.6004.1:497-2818|+   -            774 135254at50557        -            104   2.2e-05   23.4   2.0   3   3     0.011       1.8    7.6   0.0    14    66   386   444   372   478 0.62 -
101501at50557_103372_0:00154d|STRG.6004.2:0-2339|+     -            780 135254at50557        -            104   2.2e-05   23.4   2.0   1   3       8.1   1.3e+03   -1.6   0.0    10    64    43   101    35   106 0.66 -
101501at50557_103372_0:00154d|STRG.6004.2:0-2339|+     -            780 135254at50557        -            104   2.2e-05   23.4   2.0   2   3    0.0002     0.032   13.2   0.1    15    93   191   274   176   284 0.77 -
101501at50557_103372_0:00154d|STRG.6004.2:0-2339|+     -            780 135254at50557        -            104   2.2e-05   23.4   2.0   3   3     0.011       1.8    7.6   0.0    14    66   392   450   378   484 0.62 -
129956at50557_13686_0:0011f5|STRG.2869.1:774-1001|+    -             76 135254at50557        -            104   0.00014   20.8   0.0   1   1   9.4e-07   0.00015   20.7   0.0    27    78    18    69     1    73 0.72 -
129956at50557_13686_0:0011f5|STRG.2869.2:674-901|+     -             76 135254at50557        -            104   0.00014   20.8   0.0   1   1   9.4e-07   0.00015   20.7   0.0    27    78    18    69     1    73 0.72 -
108346at50557_113334_0:0032e8|STRG.11279.4:12-1420|+   -            433 135254at50557        -            104    0.0002   20.3   0.1   1   2       7.2   1.2e+03   -1.4   0.0    63    85    50    72    18    87 0.76 -
108346at50557_113334_0:0032e8|STRG.11279.4:12-1420|+   -            433 135254at50557        -            104    0.0002   20.3   0.1   2   2   5.5e-06   0.00089   18.2   0.1    14    82   361   430   353   433 0.87 -
129956at50557_441921_0:0017da|STRG.12014.1:173-415|+   -             81 135254at50557        -            104    0.0007   18.6   0.0   1   1   4.9e-06   0.00079   18.4   0.0    17    76    15    75     7    80 0.82 -
129956at50557_441921_0:0017da|STRG.12014.3:173-415|+   -             81 135254at50557        -            104    0.0007   18.6   0.0   1   1   4.9e-06   0.00079   18.4   0.0    17    76    15    75     7    80 0.82 -
129956at50557_441921_0:0017da|STRG.12014.4:173-415|+   -             81 135254at50557        -            104    0.0007   18.6   0.0   1   1   4.9e-06   0.00079   18.4   0.0    17    76    15    75     7    80 0.82 -
129956at50557_441921_0:0017da|STRG.12014.5:173-415|+   -             81 135254at50557        -            104    0.0007   18.6   0.0   1   1   4.9e-06   0.00079   18.4   0.0    17    76    15    75     7    80 0.82 -
129956at50557_441921_0:0017da|STRG.12014.6:173-415|+   -             81 135254at50557        -            104    0.0007   18.6   0.0   1   1   4.9e-06   0.00079   18.4   0.0    17    76    15    75     7    80 0.82 -
129956at50557_441921_0:0017da|STRG.12014.7:105-347|+   -             81 135254at50557        -            104    0.0007   18.6   0.0   1   1   4.9e-06   0.00079   18.4   0.0    17    76    15    75     7    80 0.82 -
129956at50557_7160_0:003f5c|STRG.17827.1:392-604|+     -             71 135254at50557        -            104    0.0016   17.4   0.0   1   1   1.1e-05    0.0018   17.3   0.0    26    77    12    66     4    70 0.80 -
129956at50557_7160_0:003f5c|STRG.17827.2:392-604|+     -             71 135254at50557        -            104    0.0016   17.4   0.0   1   1   1.1e-05    0.0018   17.3   0.0    26    77    12    66     4    70 0.80 -
129956at50557_7160_0:003f5c|STRG.17827.3:392-604|+     -             71 135254at50557        -            104    0.0016   17.4   0.0   1   1   1.1e-05    0.0018   17.3   0.0    26    77    12    66     4    70 0.80 -
129956at50557_7160_0:003f5c|STRG.17827.4:392-604|+     -             71 135254at50557        -            104    0.0016   17.4   0.0   1   1   1.1e-05    0.0018   17.3   0.0    26    77    12    66     4    70 0.80 -
129956at50557_34720_0:00189a|STRG.12488.1:0-416|+      -            139 135254at50557        -            104    0.0017   17.3   0.1   1   1   1.4e-05    0.0023   16.9   0.1    25    94    51   120    21   129 0.76 -
129956at50557_7176_0:003daf|STRG.24179.4:1005-1232|+   -             76 135254at50557        -            104    0.0026   16.7   0.0   1   1   1.7e-05    0.0028   16.6   0.0    28    81    20    76     4    76 0.77 -
129956at50557_7176_0:003daf|STRG.24179.5:1494-1721|+   -             76 135254at50557        -            104    0.0026   16.7   0.0   1   1   1.7e-05    0.0028   16.6   0.0    28    81    20    76     4    76 0.77 -
129956at50557_441921_0:0017da|STRG.22981.1:175-450|+   -             92 135254at50557        -            104    0.0035   16.3   0.0   1   1   3.2e-05    0.0052   15.8   0.0    22    78    34    88    12    91 0.86 -
59099at50557_64793_0:000fa7|STRG.1381.1:180-1115|+     -            312 135254at50557        -            104    0.0059   15.6   0.0   1   2    0.0021      0.33   10.0   0.0    12    81    52   127    42   133 0.76 -
59099at50557_64793_0:000fa7|STRG.1381.1:180-1115|+     -            312 135254at50557        -            104    0.0059   15.6   0.0   2   2      0.22        36    3.4   0.0    16    57   225   269   217   302 0.67 -
101501at50557_1218281_0:0033ae|STRG.8896.1:252-470|+   -             73 135254at50557        -            104     0.012   14.6   0.0   1   1   7.1e-05     0.012   14.6   0.0    28    72    15    59     1    71 0.79 -
101501at50557_1218281_0:0033ae|STRG.8896.2:252-470|+   -             73 135254at50557        -            104     0.012   14.6   0.0   1   1   7.1e-05     0.012   14.6   0.0    28    72    15    59     1    71 0.79 -
101501at50557_1218281_0:0033ae|STRG.8896.3:252-470|+   -             73 135254at50557        -            104     0.012   14.6   0.0   1   1   7.1e-05     0.012   14.6   0.0    28    72    15    59     1    71 0.79 -
129956at50557_441921_0:0017da|STRG.17660.4:1205-1435|+ -             77 135254at50557        -            104     0.013   14.5   0.0   1   1     8e-05     0.013   14.5   0.0    26    74    14    64     1    72 0.75 -
129956at50557_441921_0:0017da|STRG.17660.5:1166-1396|+ -             77 135254at50557        -            104     0.013   14.5   0.0   1   1     8e-05     0.013   14.5   0.0    26    74    14    64     1    72 0.75 -
129956at50557_441921_0:0017da|STRG.17660.1:1205-1435|+ -             77 135254at50557        -            104     0.014   14.3   0.0   1   1   9.1e-05     0.015   14.3   0.0    26    74    14    64     1    72 0.76 -
129956at50557_441921_0:0017da|STRG.17660.2:1205-1435|+ -             77 135254at50557        -            104     0.014   14.3   0.0   1   1   9.1e-05     0.015   14.3   0.0    26    74    14    64     1    72 0.76 -
129956at50557_441921_0:0017da|STRG.17660.3:1205-1435|+ -             77 135254at50557        -            104     0.014   14.3   0.0   1   1   9.1e-05     0.015   14.3   0.0    26    74    14    64     1    72 0.76 -
117816at50557_121225_0:000cee|STRG.3372.1:27-530|+     -            168 135254at50557        -            104     0.015   14.3   0.0   1   1   0.00021     0.035   13.1   0.0    17    83    94   167    78   168 0.73 -
108346at50557_113334_0:0032e8|STRG.11279.3:12-1340|+   -            443 135254at50557        -            104     0.016   14.2   0.0   1   2       7.8   1.3e+03   -1.6   0.0    63    85    50    72    19    87 0.77 -
108346at50557_113334_0:0032e8|STRG.11279.3:12-1340|+   -            443 135254at50557        -            104     0.016   14.2   0.0   2   2   0.00054     0.088   11.8   0.0    12    82   368   440   356   443 0.78 -
117816at50557_123851_0:00306e|STRG.24179.1:1392-2000|+ -            203 135254at50557        -            104     0.017   14.1   0.0   1   2    0.0026      0.42    9.6   0.0    27    86     9    68     4    79 0.86 -
117816at50557_123851_0:00306e|STRG.24179.1:1392-2000|+ -            203 135254at50557        -            104     0.017   14.1   0.0   2   2      0.44        70    2.5   0.0    27    71    92   139    76   141 0.66 -
117816at50557_7200_0:0014c2|STRG.24179.3:1392-2135|+   -            248 135254at50557        -            104      0.03   13.3   0.0   1   2    0.0039      0.63    9.1   0.0    28    86    10    68     4    78 0.86 -
117816at50557_7200_0:0014c2|STRG.24179.3:1392-2135|+   -            248 135254at50557        -            104      0.03   13.3   0.0   2   2      0.63     1e+02    2.0   0.0    27    71    92   139    76   141 0.66 -
129956at50557_7425_0:001fb1|STRG.22970.1:809-1051|+    -             81 135254at50557        -            104     0.035   13.1   0.0   1   1   0.00026     0.042   12.8   0.0    26    81    17    72     7    77 0.89 -
129956at50557_7425_0:001fb1|STRG.22970.4:771-1013|+    -             81 135254at50557        -            104     0.035   13.1   0.0   1   1   0.00026     0.042   12.8   0.0    26    81    17    72     7    77 0.89 -
104832at50557_315563_0:002a5b|STRG.2520.1:3278-3901|+  -            208 135254at50557        -            104     0.047   12.7   0.0   1   2     0.043       6.9    5.7   0.0    10    67    50   110    44   122 0.81 -
104832at50557_315563_0:002a5b|STRG.2520.1:3278-3901|+  -            208 135254at50557        -            104     0.047   12.7   0.0   2   2     0.077        12    4.9   0.0    33    81   155   200   143   205 0.77 -
104832at50557_315563_0:002a5b|STRG.2520.2:3278-3901|+  -            208 135254at50557        -            104     0.047   12.7   0.0   1   2     0.043       6.9    5.7   0.0    10    67    50   110    44   122 0.81 -
104832at50557_315563_0:002a5b|STRG.2520.2:3278-3901|+  -            208 135254at50557        -            104     0.047   12.7   0.0   2   2     0.077        12    4.9   0.0    33    81   155   200   143   205 0.77 -
129956at50557_37344_0:0029cb|STRG.12907.1:167-502|+    -            112 135254at50557        -            104     0.076   12.0   0.0   1   1   0.00059     0.095   11.7   0.0    10    81    21    98    13   110 0.80 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/justine/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/135254at50557.hmm
# Target file:     annotation_analysis/annotation_gca/T_cornetzi/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas
# Option settings: hmmsearch --domtblout annotation_analysis/annotation_gca/T_cornetzi/busco_output/run_insecta_odb10/hmmer_output/initial_run_results/135254at50557.out --cpu 1 /home/justine/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/135254at50557.hmm annotation_analysis/annotation_gca/T_cornetzi/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas 
# Current dir:     /home/justine/projet_tutore
# Date:            Sun Dec  1 22:15:00 2024
# [ok]
