#                                                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
42193at50557_103372_0:0016db|STRG.4679.1:0-1571|+    -            524 42193at50557         -            414    7e-218  722.4   9.3   1   1    7e-220  1.6e-217  721.2   9.3     1   406     1   454     1   462 0.92 -
42193at50557_7539_0:00337e|STRG.13996.3:630-932|+    -            101 42193at50557         -            414   8.7e-23   79.8   0.1   1   1   4.1e-25   9.3e-23   79.7   0.1   289   382     1    98     1   101 0.91 -
120478at50557_7237_0:001615|STRG.13996.1:271-673|+   -            119 42193at50557         -            414   4.9e-22   77.3   0.1   1   1   2.6e-24   5.9e-22   77.1   0.1   256   373     2   118     1   119 0.87 -
42193at50557_7539_0:00337e|STRG.2579.2:517-879|+     -            121 42193at50557         -            414   1.1e-18   66.3   0.3   1   1   5.1e-21   1.2e-18   66.2   0.3   265   371     6   121     1   121 0.88 -
42193at50557_7539_0:00337e|STRG.2579.4:555-917|+     -            121 42193at50557         -            414   1.1e-18   66.3   0.3   1   1   5.1e-21   1.2e-18   66.2   0.3   265   371     6   121     1   121 0.88 -
42193at50557_7539_0:00337e|STRG.2579.3:517-945|+     -            113 42193at50557         -            414   1.3e-18   66.0   0.1   1   1   6.4e-21   1.4e-18   65.9   0.1   265   371     6   113     1   113 0.91 -
42193at50557_7539_0:00337e|STRG.2579.1:667-945|+     -             93 42193at50557         -            414   5.9e-15   54.0   0.2   1   1   2.8e-17   6.3e-15   53.9   0.2   284   371     2    93     1    93 0.93 -
42193at50557_7539_0:00337e|STRG.5036.2:145-375|+     -             77 42193at50557         -            414   2.2e-11   42.3   0.2   1   1   1.1e-13   2.4e-11   42.1   0.2   263   325     5    76     2    77 0.84 -
96808at50557_13686_0:002dfc|STRG.20009.1:177-1113|+  -            287 42193at50557         -            414   4.6e-10   37.9   0.5   1   2   4.6e-06     0.001   17.0   0.1    30    66    41    79    19   117 0.86 -
96808at50557_13686_0:002dfc|STRG.20009.1:177-1113|+  -            287 42193at50557         -            414   4.6e-10   37.9   0.5   2   2   1.1e-06   0.00025   19.0   0.0    66   148   170   263   162   271 0.76 -
96808at50557_13686_0:002dfc|STRG.20009.4:177-1037|+  -            287 42193at50557         -            414   4.6e-10   37.9   0.5   1   2   4.6e-06     0.001   17.0   0.1    30    66    41    79    19   117 0.86 -
96808at50557_13686_0:002dfc|STRG.20009.4:177-1037|+  -            287 42193at50557         -            414   4.6e-10   37.9   0.5   2   2   1.1e-06   0.00025   19.0   0.0    66   148   170   263   162   271 0.76 -
42193at50557_197043_0:007f2e|STRG.5608.1:0-197|-     -             66 42193at50557         -            414   1.3e-09   36.4   0.1   1   1     6e-12   1.3e-09   36.3   0.1   264   318     1    64     1    66 0.78 -
42193at50557_197043_0:007f2e|STRG.19187.1:111-284|+  -             58 42193at50557         -            414   1.5e-08   32.9   0.0   1   1   6.9e-11   1.5e-08   32.9   0.0   264   303    10    54     1    57 0.83 -
96808at50557_7375_0:002473|STRG.23726.1:169-1096|+   -            263 42193at50557         -            414   1.5e-07   29.6   1.0   1   2   3.1e-06   0.00069   17.5   0.1    30    66    40    78    25    93 0.84 -
96808at50557_7375_0:002473|STRG.23726.1:169-1096|+   -            263 42193at50557         -            414   1.5e-07   29.6   1.0   2   2   0.00035      0.08   10.7   0.0    66   113   155   212   149   240 0.71 -
96808at50557_103372_0:001cff|STRG.23738.1:183-1034|+ -            214 42193at50557         -            414   1.9e-06   25.9   0.1   1   2     0.013       2.9    5.6   0.0    31    66    42    78    17    89 0.80 -
96808at50557_103372_0:001cff|STRG.23738.1:183-1034|+ -            214 42193at50557         -            414   1.9e-06   25.9   0.1   2   2   1.4e-06   0.00032   18.6   0.0    87   149   130   191   107   199 0.84 -
96808at50557_13686_0:002dfc|STRG.20009.2:281-1109|+  -            251 42193at50557         -            414   8.3e-06   23.9   0.4   1   2      0.12        27    2.4   0.1    45    66    22    43     6    86 0.76 -
96808at50557_13686_0:002dfc|STRG.20009.2:281-1109|+  -            251 42193at50557         -            414   8.3e-06   23.9   0.4   2   2   8.4e-07   0.00019   19.4   0.0    66   148   134   227   126   235 0.76 -
96808at50557_13686_0:002dfc|STRG.20009.3:281-1033|+  -            251 42193at50557         -            414   8.3e-06   23.9   0.4   1   2      0.12        27    2.4   0.1    45    66    22    43     6    86 0.76 -
96808at50557_13686_0:002dfc|STRG.20009.3:281-1033|+  -            251 42193at50557         -            414   8.3e-06   23.9   0.4   2   2   8.4e-07   0.00019   19.4   0.0    66   148   134   227   126   235 0.76 -
96808at50557_7130_0:003200|STRG.23733.1:157-390|+    -             78 42193at50557         -            414   9.4e-05   20.4   0.2   1   1   4.2e-07   9.5e-05   20.4   0.2    23    62    34    75    14    78 0.80 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/justine/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/42193at50557.hmm
# Target file:     annotation_analysis/annotation_gca/T_cornetzi/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas
# Option settings: hmmsearch --domtblout annotation_analysis/annotation_gca/T_cornetzi/busco_output/run_insecta_odb10/hmmer_output/initial_run_results/42193at50557.out --cpu 1 /home/justine/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/42193at50557.hmm annotation_analysis/annotation_gca/T_cornetzi/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas 
# Current dir:     /home/justine/projet_tutore
# Date:            Sun Dec  1 22:17:20 2024
# [ok]
