#                                                                                                              --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                          accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                  ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
102553at50557_103372_0:001320|STRG.5622.1:9-746|+      -            246 102553at50557        -            200   7.1e-96  318.3   5.9   1   1   1.3e-95     1e-93  311.3   5.9     1   200     1   226     1   226 0.90 -
7376at50557_121225_0:001986|STRG.21028.1:411-2795|+    -            795 102553at50557        -            200   3.2e-21   74.6  38.1   3   9   1.5e-05    0.0012   17.2   2.5    21   122   145   251   129   254 0.84 -
7376at50557_121225_0:001986|STRG.21028.1:411-2795|+    -            795 102553at50557        -            200   3.2e-21   74.6  38.1   4   9   0.00041     0.033   12.5   0.8    35   121   234   321   232   325 0.81 -
7376at50557_121225_0:001986|STRG.21028.1:411-2795|+    -            795 102553at50557        -            200   3.2e-21   74.6  38.1   5   9     0.014       1.1    7.5   0.1    59   121   284   345   264   348 0.75 -
7376at50557_121225_0:001986|STRG.21028.1:411-2795|+    -            795 102553at50557        -            200   3.2e-21   74.6  38.1   6   9   2.9e-05    0.0023   16.3   1.8    21   116   314   411   309   425 0.76 -
7376at50557_121225_0:001986|STRG.21028.1:411-2795|+    -            795 102553at50557        -            200   3.2e-21   74.6  38.1   7   9   2.2e-05    0.0018   16.7   1.0    23   103   433   515   425   522 0.84 -
7376at50557_121225_0:001986|STRG.21028.1:411-2795|+    -            795 102553at50557        -            200   3.2e-21   74.6  38.1   8   9     3e-06   0.00025   19.5   1.0    46   124   658   738   651   739 0.87 -
7376at50557_121225_0:001986|STRG.21028.1:411-2795|+    -            795 102553at50557        -            200   3.2e-21   74.6  38.1   9   9   8.3e-06   0.00067   18.0   0.3    42   103   702   765   699   794 0.81 -
8280at50557_166423_0:002d2f|STRG.12134.1:9-3240|+      -            868 102553at50557        -            200     7e-21   73.5  50.0   1   8   4.3e-06   0.00035   19.0   0.5    41   122   118   202   105   207 0.82 -
8280at50557_166423_0:002d2f|STRG.12134.1:9-3240|+      -            868 102553at50557        -            200     7e-21   73.5  50.0   2   8   0.00012    0.0096   14.3   0.4    23   125   196   307   192   311 0.79 -
8280at50557_166423_0:002d2f|STRG.12134.1:9-3240|+      -            868 102553at50557        -            200     7e-21   73.5  50.0   3   8    0.0044      0.35    9.2   3.7    15   146   313   451   306   469 0.74 -
8280at50557_166423_0:002d2f|STRG.12134.1:9-3240|+      -            868 102553at50557        -            200     7e-21   73.5  50.0   4   8       2.3   1.9e+02    0.3   0.1    42    80   443   480   429   497 0.60 -
8280at50557_166423_0:002d2f|STRG.12134.1:9-3240|+      -            868 102553at50557        -            200     7e-21   73.5  50.0   5   8   6.3e-06   0.00051   18.4   2.8    40   117   514   595   501   596 0.83 -
8280at50557_166423_0:002d2f|STRG.12134.1:9-3240|+      -            868 102553at50557        -            200     7e-21   73.5  50.0   6   8   7.3e-08   5.9e-06   24.8   3.2    42   102   590   652   582   677 0.87 -
8280at50557_166423_0:002d2f|STRG.12134.1:9-3240|+      -            868 102553at50557        -            200     7e-21   73.5  50.0   7   8    0.0003     0.024   13.0   5.0    42   122   723   805   694   809 0.79 -
8280at50557_166423_0:002d2f|STRG.12134.1:9-3240|+      -            868 102553at50557        -            200     7e-21   73.5  50.0   8   8     0.048       3.9    5.8   0.3    39   100   792   856   785   865 0.63 -
25718at50557_7536_0:0032ee|STRG.21023.1:1047-2792|+    -            582 102553at50557        -            200   1.1e-20   72.8  29.4   1   6     0.018       1.5    7.1   0.0    60   105    57   102    52   113 0.89 -
25718at50557_7536_0:0032ee|STRG.21023.1:1047-2792|+    -            582 102553at50557        -            200   1.1e-20   72.8  29.4   2   6   1.7e-10   1.3e-08   33.4   1.0    43   125   136   221   130   223 0.89 -
25718at50557_7536_0:0032ee|STRG.21023.1:1047-2792|+    -            582 102553at50557        -            200   1.1e-20   72.8  29.4   3   6   2.4e-06   0.00019   19.8   5.5    20   124   209   318   199   336 0.88 -
25718at50557_7536_0:0032ee|STRG.21023.1:1047-2792|+    -            582 102553at50557        -            200   1.1e-20   72.8  29.4   4   6   5.7e-05    0.0046   15.3   1.0    21   118   356   455   347   464 0.83 -
25718at50557_7536_0:0032ee|STRG.21023.1:1047-2792|+    -            582 102553at50557        -            200   1.1e-20   72.8  29.4   5   6    0.0047      0.38    9.1   0.3    57   105   418   466   404   490 0.86 -
25718at50557_7536_0:0032ee|STRG.21023.1:1047-2792|+    -            582 102553at50557        -            200   1.1e-20   72.8  29.4   6   6   0.00034     0.027   12.8   1.3    18   100   493   574   476   578 0.78 -
25718at50557_7536_0:0032ee|STRG.21023.2:315-2060|+     -            582 102553at50557        -            200   1.1e-20   72.8  29.4   1   6     0.018       1.5    7.1   0.0    60   105    57   102    52   113 0.89 -
25718at50557_7536_0:0032ee|STRG.21023.2:315-2060|+     -            582 102553at50557        -            200   1.1e-20   72.8  29.4   2   6   1.7e-10   1.3e-08   33.4   1.0    43   125   136   221   130   223 0.89 -
25718at50557_7536_0:0032ee|STRG.21023.2:315-2060|+     -            582 102553at50557        -            200   1.1e-20   72.8  29.4   3   6   2.4e-06   0.00019   19.8   5.5    20   124   209   318   199   336 0.88 -
25718at50557_7536_0:0032ee|STRG.21023.2:315-2060|+     -            582 102553at50557        -            200   1.1e-20   72.8  29.4   4   6   5.7e-05    0.0046   15.3   1.0    21   118   356   455   347   464 0.83 -
25718at50557_7536_0:0032ee|STRG.21023.2:315-2060|+     -            582 102553at50557        -            200   1.1e-20   72.8  29.4   5   6    0.0047      0.38    9.1   0.3    57   105   418   466   404   490 0.86 -
25718at50557_7536_0:0032ee|STRG.21023.2:315-2060|+     -            582 102553at50557        -            200   1.1e-20   72.8  29.4   6   6   0.00034     0.027   12.8   1.3    18   100   493   574   476   578 0.78 -
7376at50557_139723_0:002c9a|STRG.15098.1:30-1910|+     -            627 102553at50557        -            200   5.2e-18   64.1  22.7   1   6   5.6e-05    0.0046   15.3   1.5    46   121     1    78     1    82 0.64 -
7376at50557_139723_0:002c9a|STRG.15098.1:30-1910|+     -            627 102553at50557        -            200   5.2e-18   64.1  22.7   2   6   3.7e-07     3e-05   22.5   1.2    13   104    62   156    59   178 0.75 -
7376at50557_139723_0:002c9a|STRG.15098.1:30-1910|+     -            627 102553at50557        -            200   5.2e-18   64.1  22.7   3   6     0.019       1.5    7.1   0.3    62   121   138   196   133   203 0.77 -
7376at50557_139723_0:002c9a|STRG.15098.1:30-1910|+     -            627 102553at50557        -            200   5.2e-18   64.1  22.7   4   6    0.0041      0.33    9.3   0.2    42   123   164   244   151   246 0.86 -
7376at50557_139723_0:002c9a|STRG.15098.1:30-1910|+     -            627 102553at50557        -            200   5.2e-18   64.1  22.7   5   6   2.2e-05    0.0018   16.7   0.6    18   108   208   298   202   319 0.82 -
7376at50557_139723_0:002c9a|STRG.15098.1:30-1910|+     -            627 102553at50557        -            200   5.2e-18   64.1  22.7   6   6   2.6e-08   2.1e-06   26.2   0.4    26   125   463   565   433   569 0.82 -
25718at50557_197043_0:00510d|STRG.7495.1:102-1781|+    -            560 102553at50557        -            200   6.1e-18   63.9  30.8   1   7     0.017       1.4    7.3   0.0    66   116     2    52     1    53 0.80 -
25718at50557_197043_0:00510d|STRG.7495.1:102-1781|+    -            560 102553at50557        -            200   6.1e-18   63.9  30.8   2   7   1.8e-05    0.0015   17.0   1.5    39   103    45   111    37   126 0.82 -
25718at50557_197043_0:00510d|STRG.7495.1:102-1781|+    -            560 102553at50557        -            200   6.1e-18   63.9  30.8   3   7   0.00012      0.01   14.2   2.5    22   123    99   202    97   206 0.87 -
25718at50557_197043_0:00510d|STRG.7495.1:102-1781|+    -            560 102553at50557        -            200   6.1e-18   63.9  30.8   4   7     0.072       5.8    5.2   1.0    58   101   209   252   197   264 0.77 -
25718at50557_197043_0:00510d|STRG.7495.1:102-1781|+    -            560 102553at50557        -            200   6.1e-18   63.9  30.8   5   7   0.00012    0.0096   14.3   0.5    38   124   259   349   250   354 0.66 -
25718at50557_197043_0:00510d|STRG.7495.1:102-1781|+    -            560 102553at50557        -            200   6.1e-18   63.9  30.8   6   7   9.6e-05    0.0078   14.6   0.1    57   121   379   443   362   444 0.87 -
25718at50557_197043_0:00510d|STRG.7495.1:102-1781|+    -            560 102553at50557        -            200   6.1e-18   63.9  30.8   7   7   6.2e-05     0.005   15.2   2.2    40   121   432   514   423   526 0.82 -
8280at50557_103372_0:001996|STRG.12134.2:748-3193|+    -            718 102553at50557        -            200   1.6e-17   62.5  47.2   1   8   0.00048     0.039   12.3   0.7    37   124    13   103     1   105 0.88 -
8280at50557_103372_0:001996|STRG.12134.2:748-3193|+    -            718 102553at50557        -            200   1.6e-17   62.5  47.2   2   8   9.3e-05    0.0075   14.6   0.5    23   125    46   157    41   160 0.79 -
8280at50557_103372_0:001996|STRG.12134.2:748-3193|+    -            718 102553at50557        -            200   1.6e-17   62.5  47.2   3   8    0.0027      0.22    9.9   3.4    15   134   163   287   156   318 0.74 -
8280at50557_103372_0:001996|STRG.12134.2:748-3193|+    -            718 102553at50557        -            200   1.6e-17   62.5  47.2   4   8       1.6   1.3e+02    0.8   0.1    42    80   293   330   273   353 0.64 -
8280at50557_103372_0:001996|STRG.12134.2:748-3193|+    -            718 102553at50557        -            200   1.6e-17   62.5  47.2   5   8   9.3e-06   0.00075   17.9   1.6    40   104   364   432   351   442 0.82 -
8280at50557_103372_0:001996|STRG.12134.2:748-3193|+    -            718 102553at50557        -            200   1.6e-17   62.5  47.2   6   8   6.1e-08   4.9e-06   25.0   3.3    42   102   440   502   432   527 0.87 -
8280at50557_103372_0:001996|STRG.12134.2:748-3193|+    -            718 102553at50557        -            200   1.6e-17   62.5  47.2   7   8   0.00023     0.018   13.4   4.6    42   121   573   654   543   657 0.78 -
8280at50557_103372_0:001996|STRG.12134.2:748-3193|+    -            718 102553at50557        -            200   1.6e-17   62.5  47.2   8   8    0.0056      0.45    8.8   1.7    41   102   620   682   614   710 0.78 -
7376at50557_1507135_0:001a56|STRG.5591.1:699-3095|+    -            799 102553at50557        -            200   2.9e-17   61.7   0.9   1   4   0.00048     0.039   12.3   0.0    57   122    63   128    16   136 0.78 -
7376at50557_1507135_0:001a56|STRG.5591.1:699-3095|+    -            799 102553at50557        -            200   2.9e-17   61.7   0.9   2   4   5.2e-05    0.0042   15.4   0.0    20   125   236   345   229   358 0.86 -
7376at50557_1507135_0:001a56|STRG.5591.1:699-3095|+    -            799 102553at50557        -            200   2.9e-17   61.7   0.9   3   4   2.5e-07     2e-05   23.0   0.1    21   122   485   590   475   594 0.82 -
7376at50557_1507135_0:001a56|STRG.5591.1:699-3095|+    -            799 102553at50557        -            200   2.9e-17   61.7   0.9   4   4     0.048       3.9    5.8   0.0    22    74   742   796   733   798 0.84 -
102553at50557_116153_0:00114a|STRG.1078.2:744-1136|+   -            131 102553at50557        -            200   3.5e-17   61.4   6.0   1   1   1.2e-18     1e-16   59.9   6.0    23   150     1   127     1   130 0.91 -
8280at50557_7160_0:00112a|STRG.4311.1:347-1375|+       -            343 102553at50557        -            200   3.6e-17   61.4  21.1   1   3   4.5e-07   3.6e-05   22.2   2.4    16   104    18   108    16   110 0.93 -
8280at50557_7160_0:00112a|STRG.4311.1:347-1375|+       -            343 102553at50557        -            200   3.6e-17   61.4  21.1   2   3   2.8e-08   2.3e-06   26.1   4.6    40   102   114   178   108   180 0.89 -
8280at50557_7160_0:00112a|STRG.4311.1:347-1375|+       -            343 102553at50557        -            200   3.6e-17   61.4  21.1   3   3   5.4e-10   4.4e-08   31.7   2.6    42   147   164   269   157   299 0.86 -
54603at50557_217634_0:0030bb|STRG.19126.1:566-1666|+   -            367 102553at50557        -            200   1.4e-16   59.5  22.9   1   5     8e-05    0.0064   14.8   0.4    41   102    25    86     6    88 0.88 -
54603at50557_217634_0:0030bb|STRG.19126.1:566-1666|+   -            367 102553at50557        -            200   1.4e-16   59.5  22.9   2   5   7.1e-07   5.7e-05   21.5   0.7    22   104    75   157    71   168 0.88 -
54603at50557_217634_0:0030bb|STRG.19126.1:566-1666|+   -            367 102553at50557        -            200   1.4e-16   59.5  22.9   3   5    0.0011     0.093   11.1   0.1    41   104   163   226   158   236 0.80 -
54603at50557_217634_0:0030bb|STRG.19126.1:566-1666|+   -            367 102553at50557        -            200   1.4e-16   59.5  22.9   4   5   3.6e-08   2.9e-06   25.8   6.4    43   114   234   304   227   319 0.81 -
54603at50557_217634_0:0030bb|STRG.19126.1:566-1666|+   -            367 102553at50557        -            200   1.4e-16   59.5  22.9   5   5       0.7        57    2.0   0.5    46    99   306   359   299   363 0.61 -
54603at50557_217634_0:0030bb|STRG.19126.2:136-1236|+   -            367 102553at50557        -            200   1.4e-16   59.5  22.9   1   5     8e-05    0.0064   14.8   0.4    41   102    25    86     6    88 0.88 -
54603at50557_217634_0:0030bb|STRG.19126.2:136-1236|+   -            367 102553at50557        -            200   1.4e-16   59.5  22.9   2   5   7.1e-07   5.7e-05   21.5   0.7    22   104    75   157    71   168 0.88 -
54603at50557_217634_0:0030bb|STRG.19126.2:136-1236|+   -            367 102553at50557        -            200   1.4e-16   59.5  22.9   3   5    0.0011     0.093   11.1   0.1    41   104   163   226   158   236 0.80 -
54603at50557_217634_0:0030bb|STRG.19126.2:136-1236|+   -            367 102553at50557        -            200   1.4e-16   59.5  22.9   4   5   3.6e-08   2.9e-06   25.8   6.4    43   114   234   304   227   319 0.81 -
54603at50557_217634_0:0030bb|STRG.19126.2:136-1236|+   -            367 102553at50557        -            200   1.4e-16   59.5  22.9   5   5       0.7        57    2.0   0.5    46    99   306   359   299   363 0.61 -
54603at50557_116153_0:001d7a|STRG.22447.1:316-1761|+   -            482 102553at50557        -            200   1.7e-16   59.2  36.1   1   6   0.00068     0.055   11.8   6.9    32   121     5    98     1   100 0.81 -
54603at50557_116153_0:001d7a|STRG.22447.1:316-1761|+   -            482 102553at50557        -            200   1.7e-16   59.2  36.1   2   6   9.5e-05    0.0077   14.6   1.7    21   108    63   150    57   154 0.86 -
54603at50557_116153_0:001d7a|STRG.22447.1:316-1761|+   -            482 102553at50557        -            200   1.7e-16   59.2  36.1   3   6   6.7e-07   5.4e-05   21.6   3.1    40   154   150   262   140   291 0.82 -
54603at50557_116153_0:001d7a|STRG.22447.1:316-1761|+   -            482 102553at50557        -            200   1.7e-16   59.2  36.1   4   6    0.0011      0.09   11.1   0.1    14   102   302   394   286   410 0.85 -
54603at50557_116153_0:001d7a|STRG.22447.1:316-1761|+   -            482 102553at50557        -            200   1.7e-16   59.2  36.1   5   6   0.00016     0.013   13.8   0.2    34   101   372   439   358   442 0.89 -
54603at50557_116153_0:001d7a|STRG.22447.1:316-1761|+   -            482 102553at50557        -            200   1.7e-16   59.2  36.1   6   6   7.2e-07   5.8e-05   21.5   3.7    41    97   425   482   403   482 0.84 -
7376at50557_456900_0:001c8a|STRG.4928.1:2-3328|+       -           1109 102553at50557        -            200   3.3e-16   58.2  11.2   1   3   2.3e-06   0.00019   19.9   0.7    59   123    10    74     6    89 0.94 -
7376at50557_456900_0:001c8a|STRG.4928.1:2-3328|+       -           1109 102553at50557        -            200   3.3e-16   58.2  11.2   2   3   2.3e-07   1.8e-05   23.2   0.1    45   124   169   251   162   284 0.77 -
7376at50557_456900_0:001c8a|STRG.4928.1:2-3328|+       -           1109 102553at50557        -            200   3.3e-16   58.2  11.2   3   3   1.3e-06    0.0001   20.7   0.7    18   123   360   468   346   477 0.86 -
102553at50557_116153_0:00114a|STRG.21795.3:196-642|+   -            149 102553at50557        -            200   1.2e-15   56.4   0.7   1   1   1.9e-17   1.6e-15   56.0   0.7    44   152    29   146     6   148 0.86 -
102553at50557_7165_0:000b28|STRG.21795.2:300-677|+     -            126 102553at50557        -            200   1.4e-15   56.2   1.0   1   1   2.5e-17     2e-15   55.7   1.0    45   152     7   123     2   125 0.86 -
102553at50557_38123_0:0035fb|STRG.21795.1:198-557|+    -            120 102553at50557        -            200   2.6e-15   55.3   1.1   1   1   4.3e-17   3.5e-15   54.9   1.1    45   152     1   117     1   119 0.85 -
25718at50557_197043_0:00510d|STRG.16035.1:222-1487|+   -            422 102553at50557        -            200   4.8e-15   54.4  41.4   1   5   0.00044     0.035   12.4   6.2    22   124     5   108     1   111 0.82 -
25718at50557_197043_0:00510d|STRG.16035.1:222-1487|+   -            422 102553at50557        -            200   4.8e-15   54.4  41.4   2   5   1.6e-06   0.00013   20.4   8.6    40   121    94   176    85   182 0.81 -
25718at50557_197043_0:00510d|STRG.16035.1:222-1487|+   -            422 102553at50557        -            200   4.8e-15   54.4  41.4   3   5     1e-05   0.00083   17.8   3.5    20   100   168   251   162   257 0.50 -
25718at50557_197043_0:00510d|STRG.16035.1:222-1487|+   -            422 102553at50557        -            200   4.8e-15   54.4  41.4   4   5   7.7e-06   0.00063   18.2   0.3    45   102   266   325   256   334 0.89 -
25718at50557_197043_0:00510d|STRG.16035.1:222-1487|+   -            422 102553at50557        -            200   4.8e-15   54.4  41.4   5   5   0.00068     0.055   11.8   0.9    59   118   333   392   325   399 0.87 -
102553at50557_74869_0:000218|STRG.6097.1:825-1307|+    -            161 102553at50557        -            200   5.9e-14   50.9   3.4   1   2   4.2e-08   3.4e-06   25.5   1.3    46   104     1    58     1    64 0.82 -
102553at50557_74869_0:000218|STRG.6097.1:825-1307|+    -            161 102553at50557        -            200   5.9e-14   50.9   3.4   2   2   3.6e-08   2.9e-06   25.8   0.0    45   105    69   130    58   140 0.86 -
109776at50557_13164_0:002971|STRG.6821.1:729-1238|+    -            170 102553at50557        -            200   8.7e-14   50.3  13.5   1   2   3.8e-12   3.1e-10   38.7   6.0    40   124    22   102     2   109 0.85 -
109776at50557_13164_0:002971|STRG.6821.1:729-1238|+    -            170 102553at50557        -            200   8.7e-14   50.3  13.5   2   2   3.1e-05    0.0025   16.2   0.8    21    64   116   158   113   170 0.83 -
8280at50557_83485_0:001d33|STRG.22786.1:33-3467|+      -           1145 102553at50557        -            200   1.1e-13   50.0  61.4   1  12      0.95        77    1.5   0.1    65   102    81   119    57   142 0.63 -
8280at50557_83485_0:001d33|STRG.22786.1:33-3467|+      -           1145 102553at50557        -            200   1.1e-13   50.0  61.4   2  12       0.3        24    3.2   0.0    36   102    99   167    84   175 0.82 -
8280at50557_83485_0:001d33|STRG.22786.1:33-3467|+      -           1145 102553at50557        -            200   1.1e-13   50.0  61.4   3  12     0.097       7.9    4.8   1.5    43   103   154   213   133   237 0.74 -
8280at50557_83485_0:001d33|STRG.22786.1:33-3467|+      -           1145 102553at50557        -            200   1.1e-13   50.0  61.4   4  12       1.1        91    1.3   0.2    25   100   227   304   219   308 0.67 -
8280at50557_83485_0:001d33|STRG.22786.1:33-3467|+      -           1145 102553at50557        -            200   1.1e-13   50.0  61.4   5  12   4.1e-05    0.0033   15.8   0.8    23   121   296   398   287   404 0.70 -
8280at50557_83485_0:001d33|STRG.22786.1:33-3467|+      -           1145 102553at50557        -            200   1.1e-13   50.0  61.4   6  12     0.018       1.4    7.2   0.3    45   104   392   453   382   470 0.64 -
8280at50557_83485_0:001d33|STRG.22786.1:33-3467|+      -           1145 102553at50557        -            200   1.1e-13   50.0  61.4   7  12     0.001     0.081   11.3   1.0    28   127   496   600   486   624 0.75 -
8280at50557_83485_0:001d33|STRG.22786.1:33-3467|+      -           1145 102553at50557        -            200   1.1e-13   50.0  61.4   8  12      0.22        17    3.6   0.1    84   122   652   690   637   695 0.65 -
8280at50557_83485_0:001d33|STRG.22786.1:33-3467|+      -           1145 102553at50557        -            200   1.1e-13   50.0  61.4   9  12   4.2e-08   3.4e-06   25.6   2.1    17   121   678   783   676   793 0.87 -
8280at50557_83485_0:001d33|STRG.22786.1:33-3467|+      -           1145 102553at50557        -            200   1.1e-13   50.0  61.4  10  12      0.19        15    3.8   3.4    30   125   810   904   796   910 0.73 -
8280at50557_83485_0:001d33|STRG.22786.1:33-3467|+      -           1145 102553at50557        -            200   1.1e-13   50.0  61.4  11  12    0.0047      0.38    9.1   3.5    42   118   891   966   885   973 0.83 -
8280at50557_83485_0:001d33|STRG.22786.1:33-3467|+      -           1145 102553at50557        -            200   1.1e-13   50.0  61.4  12  12      0.28        23    3.3   0.5     3    79  1017  1101  1015  1118 0.75 -
8280at50557_83485_0:001d33|STRG.22786.2:221-3655|+     -           1145 102553at50557        -            200   1.1e-13   50.0  61.4   1  12      0.95        77    1.5   0.1    65   102    81   119    57   142 0.63 -
8280at50557_83485_0:001d33|STRG.22786.2:221-3655|+     -           1145 102553at50557        -            200   1.1e-13   50.0  61.4   2  12       0.3        24    3.2   0.0    36   102    99   167    84   175 0.82 -
8280at50557_83485_0:001d33|STRG.22786.2:221-3655|+     -           1145 102553at50557        -            200   1.1e-13   50.0  61.4   3  12     0.097       7.9    4.8   1.5    43   103   154   213   133   237 0.74 -
8280at50557_83485_0:001d33|STRG.22786.2:221-3655|+     -           1145 102553at50557        -            200   1.1e-13   50.0  61.4   4  12       1.1        91    1.3   0.2    25   100   227   304   219   308 0.67 -
8280at50557_83485_0:001d33|STRG.22786.2:221-3655|+     -           1145 102553at50557        -            200   1.1e-13   50.0  61.4   5  12   4.1e-05    0.0033   15.8   0.8    23   121   296   398   287   404 0.70 -
8280at50557_83485_0:001d33|STRG.22786.2:221-3655|+     -           1145 102553at50557        -            200   1.1e-13   50.0  61.4   6  12     0.018       1.4    7.2   0.3    45   104   392   453   382   470 0.64 -
8280at50557_83485_0:001d33|STRG.22786.2:221-3655|+     -           1145 102553at50557        -            200   1.1e-13   50.0  61.4   7  12     0.001     0.081   11.3   1.0    28   127   496   600   486   624 0.75 -
8280at50557_83485_0:001d33|STRG.22786.2:221-3655|+     -           1145 102553at50557        -            200   1.1e-13   50.0  61.4   8  12      0.22        17    3.6   0.1    84   122   652   690   637   695 0.65 -
8280at50557_83485_0:001d33|STRG.22786.2:221-3655|+     -           1145 102553at50557        -            200   1.1e-13   50.0  61.4   9  12   4.2e-08   3.4e-06   25.6   2.1    17   121   678   783   676   793 0.87 -
8280at50557_83485_0:001d33|STRG.22786.2:221-3655|+     -           1145 102553at50557        -            200   1.1e-13   50.0  61.4  10  12      0.19        15    3.8   3.4    30   125   810   904   796   910 0.73 -
8280at50557_83485_0:001d33|STRG.22786.2:221-3655|+     -           1145 102553at50557        -            200   1.1e-13   50.0  61.4  11  12    0.0047      0.38    9.1   3.5    42   118   891   966   885   973 0.83 -
8280at50557_83485_0:001d33|STRG.22786.2:221-3655|+     -           1145 102553at50557        -            200   1.1e-13   50.0  61.4  12  12      0.28        23    3.3   0.5     3    79  1017  1101  1015  1118 0.75 -
25718at50557_13249_0:001bb5|STRG.7524.1:417-1703|+     -            429 102553at50557        -            200     5e-13   47.8  16.8   1   5   1.3e-06    0.0001   20.7   2.0    19   121     3   111     1   115 0.85 -
25718at50557_13249_0:001bb5|STRG.7524.1:417-1703|+     -            429 102553at50557        -            200     5e-13   47.8  16.8   2   5     0.011      0.87    7.9   0.0    42   101   102   163    96   179 0.89 -
