#                                                                                                               --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                           accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                   ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
117213at50557_77166_0:002bfc|STRG.4410.1:597-1073|+     -            159 966at50557           -           1751   2.3e-68  229.5   0.0   1   1     2e-69   2.5e-68  229.4   0.0    15   163     5   159     1   159 0.96 -
2648at50557_103372_0:001fc5|STRG.21544.5:0-5040|+       -           1677 966at50557           -           1751   4.8e-42  142.2  13.5   3   8   2.2e-10   2.8e-09   33.6   0.1    21   255   280   542   277   574 0.60 -
2648at50557_103372_0:001fc5|STRG.21544.5:0-5040|+       -           1677 966at50557           -           1751   4.8e-42  142.2  13.5   4   8   6.9e-06   8.7e-05   18.7   0.1    22   115   635   728   614   736 0.87 -
2648at50557_103372_0:001fc5|STRG.21544.5:0-5040|+       -           1677 966at50557           -           1751   4.8e-42  142.2  13.5   5   8   4.2e-08   5.2e-07   26.1   0.1    23   118   736   832   727   842 0.91 -
2648at50557_103372_0:001fc5|STRG.21544.5:0-5040|+       -           1677 966at50557           -           1751   4.8e-42  142.2  13.5   6   8    0.0037     0.046    9.7   0.0    25   113   841   929   831   940 0.72 -
2648at50557_103372_0:001fc5|STRG.21544.5:0-5040|+       -           1677 966at50557           -           1751   4.8e-42  142.2  13.5   7   8   4.9e-06   6.2e-05   19.2   0.0    62   116   957  1013   912  1024 0.83 -
2648at50557_103372_0:001fc5|STRG.21544.5:0-5040|+       -           1677 966at50557           -           1751   4.8e-42  142.2  13.5   8   8     1e-06   1.3e-05   21.5   0.0    28   132  1025  1130  1016  1141 0.84 -
2648at50557_103372_0:001fc5|STRG.21544.1:283-5340|+     -           1686 966at50557           -           1751   5.7e-42  142.0  12.2   1  10     0.051      0.63    5.9   0.0    27    82   112   168    87   176 0.86 -
2648at50557_103372_0:001fc5|STRG.21544.1:283-5340|+     -           1686 966at50557           -           1751   5.7e-42  142.0  12.2   2  10      0.17       2.2    4.1   0.0   196   256   214   281   185   284 0.75 -
2648at50557_103372_0:001fc5|STRG.21544.1:283-5340|+     -           1686 966at50557           -           1751   5.7e-42  142.0  12.2   3  10   1.2e-07   1.5e-06   24.6   0.0    21   116   280   376   278   390 0.93 -
2648at50557_103372_0:001fc5|STRG.21544.1:283-5340|+     -           1686 966at50557           -           1751   5.7e-42  142.0  12.2   4  10     0.024      0.29    7.0   0.0   179   242   397   467   385   486 0.57 -
2648at50557_103372_0:001fc5|STRG.21544.1:283-5340|+     -           1686 966at50557           -           1751   5.7e-42  142.0  12.2   5  10      0.24       3.1    3.6   0.0    22    82   482   543   481   558 0.84 -
2648at50557_103372_0:001fc5|STRG.21544.1:283-5340|+     -           1686 966at50557           -           1751   5.7e-42  142.0  12.2   6  10   7.1e-06   8.9e-05   18.7   0.1    22   115   640   733   620   740 0.87 -
2648at50557_103372_0:001fc5|STRG.21544.1:283-5340|+     -           1686 966at50557           -           1751   5.7e-42  142.0  12.2   7  10   4.3e-08   5.4e-07   26.0   0.1    25   118   743   837   735   848 0.91 -
2648at50557_103372_0:001fc5|STRG.21544.1:283-5340|+     -           1686 966at50557           -           1751   5.7e-42  142.0  12.2   8  10    0.0038     0.048    9.6   0.0    26   113   847   934   837   946 0.72 -
2648at50557_103372_0:001fc5|STRG.21544.1:283-5340|+     -           1686 966at50557           -           1751   5.7e-42  142.0  12.2   9  10     5e-06   6.2e-05   19.2   0.0    62   116   962  1018   917  1029 0.83 -
2648at50557_103372_0:001fc5|STRG.21544.1:283-5340|+     -           1686 966at50557           -           1751   5.7e-42  142.0  12.2  10  10     1e-06   1.3e-05   21.5   0.0    28   132  1030  1135  1020  1145 0.84 -
2648at50557_64793_0:001655|STRG.1785.1:1146-2867|+      -            574 966at50557           -           1751   3.7e-41  139.3   4.6   1   4   1.8e-06   2.2e-05   20.7   0.0    28   252    15   106     7   112 0.54 -
2648at50557_64793_0:001655|STRG.1785.1:1146-2867|+      -            574 966at50557           -           1751   3.7e-41  139.3   4.6   2   4   6.7e-07   8.4e-06   22.1   0.0   200   259   115   179   107   189 0.82 -
2648at50557_64793_0:001655|STRG.1785.1:1146-2867|+      -            574 966at50557           -           1751   3.7e-41  139.3   4.6   3   4     4e-06   4.9e-05   19.5   0.0    33   115   192   274   175   279 0.65 -
2648at50557_64793_0:001655|STRG.1785.1:1146-2867|+      -            574 966at50557           -           1751   3.7e-41  139.3   4.6   4   4   5.8e-22   7.2e-21   72.0   0.7    19   298   277   562   274   569 0.80 -
2648at50557_64793_0:001655|STRG.1785.2:897-2618|+       -            574 966at50557           -           1751   3.7e-41  139.3   4.6   1   4   1.8e-06   2.2e-05   20.7   0.0    28   252    15   106     7   112 0.54 -
2648at50557_64793_0:001655|STRG.1785.2:897-2618|+       -            574 966at50557           -           1751   3.7e-41  139.3   4.6   2   4   6.7e-07   8.4e-06   22.1   0.0   200   259   115   179   107   189 0.82 -
2648at50557_64793_0:001655|STRG.1785.2:897-2618|+       -            574 966at50557           -           1751   3.7e-41  139.3   4.6   3   4     4e-06   4.9e-05   19.5   0.0    33   115   192   274   175   279 0.65 -
2648at50557_64793_0:001655|STRG.1785.2:897-2618|+       -            574 966at50557           -           1751   3.7e-41  139.3   4.6   4   4   5.8e-22   7.2e-21   72.0   0.7    19   298   277   562   274   569 0.80 -
2648at50557_1629725_0:0018e5|STRG.2812.1:108-2408|+     -            767 966at50557           -           1751   1.3e-36  124.2   0.0   1   4     4e-17     5e-16   56.0   0.0    32   293     7   282     4   292 0.72 -
2648at50557_1629725_0:0018e5|STRG.2812.1:108-2408|+     -            767 966at50557           -           1751   1.3e-36  124.2   0.0   2   4    0.0039     0.049    9.6   0.2   193   272   324   412   309   428 0.71 -
2648at50557_1629725_0:0018e5|STRG.2812.1:108-2408|+     -            767 966at50557           -           1751   1.3e-36  124.2   0.0   3   4   8.7e-10   1.1e-08   31.6   0.0    26   164   490   632   457   644 0.80 -
2648at50557_1629725_0:0018e5|STRG.2812.1:108-2408|+     -            767 966at50557           -           1751   1.3e-36  124.2   0.0   4   4   6.2e-07   7.7e-06   22.2   0.0    24   125   641   742   612   758 0.77 -
54603at50557_103372_0:00290d|STRG.8711.1:0-1844|+       -            615 966at50557           -           1751   7.7e-36  121.6  22.7   1   4   1.7e-10   2.1e-09   34.0   2.3   340   438   135   239   126   244 0.92 -
54603at50557_103372_0:00290d|STRG.8711.1:0-1844|+       -            615 966at50557           -           1751   7.7e-36  121.6  22.7   2   4   1.8e-13   2.3e-12   43.9   0.2   336   483   246   395   239   397 0.89 -
54603at50557_103372_0:00290d|STRG.8711.1:0-1844|+       -            615 966at50557           -           1751   7.7e-36  121.6  22.7   3   4   6.9e-11   8.6e-10   35.3   4.3   344   442   394   499   389   508 0.90 -
54603at50557_103372_0:00290d|STRG.8711.1:0-1844|+       -            615 966at50557           -           1751   7.7e-36  121.6  22.7   4   4   1.9e-06   2.4e-05   20.6   0.2   340   421   506   594   499   601 0.87 -
2648at50557_1629725_0:0018e5|STRG.2812.2:81-2423|+      -            781 966at50557           -           1751   1.3e-35  120.9   0.1   1   4   6.3e-16   7.8e-15   52.0   0.0     3   290     6   290     4   299 0.65 -
2648at50557_1629725_0:0018e5|STRG.2812.2:81-2423|+      -            781 966at50557           -           1751   1.3e-35  120.9   0.1   2   4   4.9e-10   6.2e-09   32.5   0.3    23   262   185   412   157   441 0.71 -
2648at50557_1629725_0:0018e5|STRG.2812.2:81-2423|+      -            781 966at50557           -           1751   1.3e-35  120.9   0.1   3   4   8.2e-10     1e-08   31.7   0.0    26   164   504   646   471   659 0.80 -
2648at50557_1629725_0:0018e5|STRG.2812.2:81-2423|+      -            781 966at50557           -           1751   1.3e-35  120.9   0.1   4   4   6.4e-07   7.9e-06   22.2   0.0    24   125   655   756   626   772 0.77 -
8280at50557_83485_0:001d33|STRG.22786.1:33-3467|+       -           1145 966at50557           -           1751   3.6e-33  112.8  45.9   1   7   9.2e-06   0.00011   18.3   0.9   341   442   106   214    86   230 0.82 -
8280at50557_83485_0:001d33|STRG.22786.1:33-3467|+       -           1145 966at50557           -           1751   3.6e-33  112.8  45.9   2   7   8.4e-09     1e-07   28.4   3.8   343   489   247   400   239   404 0.84 -
8280at50557_83485_0:001d33|STRG.22786.1:33-3467|+       -           1145 966at50557           -           1751   3.6e-33  112.8  45.9   3   7    0.0095      0.12    8.3   0.1   403   441   413   452   408   480 0.86 -
8280at50557_83485_0:001d33|STRG.22786.1:33-3467|+       -           1145 966at50557           -           1751   3.6e-33  112.8  45.9   4   7   5.8e-07   7.2e-06   22.3   1.5   385   514   491   622   479   632 0.83 -
8280at50557_83485_0:001d33|STRG.22786.1:33-3467|+       -           1145 966at50557           -           1751   3.6e-33  112.8  45.9   5   7     2e-05   0.00025   17.2   0.0   345   420   639   720   636   724 0.77 -
8280at50557_83485_0:001d33|STRG.22786.1:33-3467|+       -           1145 966at50557           -           1751   3.6e-33  112.8  45.9   6   7   1.6e-11     2e-10   37.4  10.3   359   560   723   926   719   930 0.84 -
8280at50557_83485_0:001d33|STRG.22786.1:33-3467|+       -           1145 966at50557           -           1751   3.6e-33  112.8  45.9   7   7     0.088       1.1    5.1   4.2   338   441   844   951   839   974 0.78 -
8280at50557_83485_0:001d33|STRG.22786.2:221-3655|+      -           1145 966at50557           -           1751   3.6e-33  112.8  45.9   1   7   9.2e-06   0.00011   18.3   0.9   341   442   106   214    86   230 0.82 -
8280at50557_83485_0:001d33|STRG.22786.2:221-3655|+      -           1145 966at50557           -           1751   3.6e-33  112.8  45.9   2   7   8.4e-09     1e-07   28.4   3.8   343   489   247   400   239   404 0.84 -
8280at50557_83485_0:001d33|STRG.22786.2:221-3655|+      -           1145 966at50557           -           1751   3.6e-33  112.8  45.9   3   7    0.0095      0.12    8.3   0.1   403   441   413   452   408   480 0.86 -
8280at50557_83485_0:001d33|STRG.22786.2:221-3655|+      -           1145 966at50557           -           1751   3.6e-33  112.8  45.9   4   7   5.8e-07   7.2e-06   22.3   1.5   385   514   491   622   479   632 0.83 -
8280at50557_83485_0:001d33|STRG.22786.2:221-3655|+      -           1145 966at50557           -           1751   3.6e-33  112.8  45.9   5   7     2e-05   0.00025   17.2   0.0   345   420   639   720   636   724 0.77 -
8280at50557_83485_0:001d33|STRG.22786.2:221-3655|+      -           1145 966at50557           -           1751   3.6e-33  112.8  45.9   6   7   1.6e-11     2e-10   37.4  10.3   359   560   723   926   719   930 0.84 -
8280at50557_83485_0:001d33|STRG.22786.2:221-3655|+      -           1145 966at50557           -           1751   3.6e-33  112.8  45.9   7   7     0.088       1.1    5.1   4.2   338   441   844   951   839   974 0.78 -
2648at50557_38123_0:000f4f|STRG.13085.1:175-1293|+      -            373 966at50557           -           1751   3.9e-33  112.7   8.6   1   5     0.021      0.26    7.2   0.1   224   257     9    42     2    46 0.44 -
2648at50557_38123_0:000f4f|STRG.13085.1:175-1293|+      -            373 966at50557           -           1751   3.9e-33  112.7   8.6   2   5   5.8e-11   7.3e-10   35.5   0.2    23   116    42   135    40   139 0.88 -
2648at50557_38123_0:000f4f|STRG.13085.1:175-1293|+      -            373 966at50557           -           1751   3.9e-33  112.7   8.6   3   5   0.00032     0.004   13.2   0.1   203   256   115   169   105   174 0.87 -
2648at50557_38123_0:000f4f|STRG.13085.1:175-1293|+      -            373 966at50557           -           1751   3.9e-33  112.7   8.6   4   5   2.2e-12   2.7e-11   40.3   0.1    22   119   169   266   145   289 0.84 -
2648at50557_38123_0:000f4f|STRG.13085.1:175-1293|+      -            373 966at50557           -           1751   3.9e-33  112.7   8.6   5   5     5e-10   6.2e-09   32.5   0.1   198   259   304   370   287   373 0.83 -
2648at50557_38123_0:000f4f|STRG.13085.3:200-1318|+      -            373 966at50557           -           1751   3.9e-33  112.7   8.6   1   5     0.021      0.26    7.2   0.1   224   257     9    42     2    46 0.44 -
2648at50557_38123_0:000f4f|STRG.13085.3:200-1318|+      -            373 966at50557           -           1751   3.9e-33  112.7   8.6   2   5   5.8e-11   7.3e-10   35.5   0.2    23   116    42   135    40   139 0.88 -
2648at50557_38123_0:000f4f|STRG.13085.3:200-1318|+      -            373 966at50557           -           1751   3.9e-33  112.7   8.6   3   5   0.00032     0.004   13.2   0.1   203   256   115   169   105   174 0.87 -
2648at50557_38123_0:000f4f|STRG.13085.3:200-1318|+      -            373 966at50557           -           1751   3.9e-33  112.7   8.6   4   5   2.2e-12   2.7e-11   40.3   0.1    22   119   169   266   145   289 0.84 -
2648at50557_38123_0:000f4f|STRG.13085.3:200-1318|+      -            373 966at50557           -           1751   3.9e-33  112.7   8.6   5   5     5e-10   6.2e-09   32.5   0.1   198   259   304   370   287   373 0.83 -
54603at50557_224129_0:0029b4|STRG.15062.1:867-1997|+    -            377 966at50557           -           1751   5.3e-33  112.3  34.7   1   3   2.3e-17   2.9e-16   56.7   5.2   338   489     7   161     2   162 0.90 -
54603at50557_224129_0:0029b4|STRG.15062.1:867-1997|+    -            377 966at50557           -           1751   5.3e-33  112.3  34.7   2   3   3.8e-12   4.8e-11   39.5  13.8   338   489   125   279   120   279 0.82 -
54603at50557_224129_0:0029b4|STRG.15062.1:867-1997|+    -            377 966at50557           -           1751   5.3e-33  112.3  34.7   3   3   5.6e-13     7e-12   42.2   0.9   338   442   220   332   218   348 0.89 -
54603at50557_116153_0:001d7a|STRG.22447.1:316-1761|+    -            482 966at50557           -           1751   1.9e-29  100.5  33.0   1   4   2.5e-16   3.1e-15   53.3   9.8   338   511    13   184     5   185 0.81 -
54603at50557_116153_0:001d7a|STRG.22447.1:316-1761|+    -            482 966at50557           -           1751   1.9e-29  100.5  33.0   2   4   8.8e-07   1.1e-05   21.7   2.2   339   440   151   258   147   281 0.83 -
54603at50557_116153_0:001d7a|STRG.22447.1:316-1761|+    -            482 966at50557           -           1751   1.9e-29  100.5  33.0   3   4   2.3e-10   2.8e-09   33.6   0.7   290   455   282   431   258   444 0.75 -
54603at50557_116153_0:001d7a|STRG.22447.1:316-1761|+    -            482 966at50557           -           1751   1.9e-29  100.5  33.0   4   4     0.018      0.22    7.4   3.0   585   634   432   481   424   482 0.74 -
54603at50557_217634_0:0030bb|STRG.19126.1:566-1666|+    -            367 966at50557           -           1751   2.5e-29  100.1  16.8   1   3   1.3e-07   1.7e-06   24.4   0.9   345   430    31   122    22   136 0.78 -
54603at50557_217634_0:0030bb|STRG.19126.1:566-1666|+    -            367 966at50557           -           1751   2.5e-29  100.1  16.8   2   3     1e-13   1.3e-12   44.7   0.1   337   421   138   228   133   230 0.92 -
54603at50557_217634_0:0030bb|STRG.19126.1:566-1666|+    -            367 966at50557           -           1751   2.5e-29  100.1  16.8   3   3   4.5e-11   5.7e-10   35.9   4.0   338   469   231   363   229   366 0.85 -
54603at50557_217634_0:0030bb|STRG.19126.2:136-1236|+    -            367 966at50557           -           1751   2.5e-29  100.1  16.8   1   3   1.3e-07   1.7e-06   24.4   0.9   345   430    31   122    22   136 0.78 -
54603at50557_217634_0:0030bb|STRG.19126.2:136-1236|+    -            367 966at50557           -           1751   2.5e-29  100.1  16.8   2   3     1e-13   1.3e-12   44.7   0.1   337   421   138   228   133   230 0.92 -
54603at50557_217634_0:0030bb|STRG.19126.2:136-1236|+    -            367 966at50557           -           1751   2.5e-29  100.1  16.8   3   3   4.5e-11   5.7e-10   35.9   4.0   338   469   231   363   229   366 0.85 -
57980at50557_28588_0:000968|STRG.12704.2:724-1569|+     -            282 966at50557           -           1751   2.6e-27   93.4   0.0   1   1   2.5e-28   3.1e-27   93.1   0.0  1325  1528    55   266    27   269 0.82 -
8547at50557_1629725_0:00090b|STRG.16992.3:331-1389|+    -            353 966at50557           -           1751   8.2e-27   91.7   0.0   1   2     0.078      0.98    5.3   0.0  1200  1288    61   148    36   157 0.77 -
8547at50557_1629725_0:00090b|STRG.16992.3:331-1389|+    -            353 966at50557           -           1751   8.2e-27   91.7   0.0   2   2   6.1e-26   7.6e-25   85.2   0.0  1330  1522   155   349   146   353 0.81 -
12555at50557_166423_0:002c53|STRG.12356.3:93-944|+      -            284 966at50557           -           1751   1.3e-25   87.8   0.2   1   3   1.6e-06     2e-05   20.8   0.0    28   115     2    89     1   100 0.84 -
12555at50557_166423_0:002c53|STRG.12356.3:93-944|+      -            284 966at50557           -           1751   1.3e-25   87.8   0.2   2   3   1.5e-06   1.9e-05   20.9   0.0   198   257    99   160    92   165 0.87 -
12555at50557_166423_0:002c53|STRG.12356.3:93-944|+      -            284 966at50557           -           1751   1.3e-25   87.8   0.2   3   3   2.2e-13   2.8e-12   43.6   0.0    26   123   163   261   158   272 0.90 -
2648at50557_6973_0:005209|STRG.12356.1:5137-6036|+      -            300 966at50557           -           1751   1.4e-25   87.7   0.1   1   2   0.00044    0.0055   12.7   0.0    39    87     2    51     1    56 0.70 -
2648at50557_6973_0:005209|STRG.12356.1:5137-6036|+      -            300 966at50557           -           1751   1.4e-25   87.7   0.1   2   2   5.3e-21   6.7e-20   68.8   0.0    26   263    56   295    50   299 0.82 -
2648at50557_6973_0:005209|STRG.12356.2:5137-6036|+      -            300 966at50557           -           1751   1.4e-25   87.7   0.1   1   2   0.00044    0.0055   12.7   0.0    39    87     2    51     1    56 0.70 -
2648at50557_6973_0:005209|STRG.12356.2:5137-6036|+      -            300 966at50557           -           1751   1.4e-25   87.7   0.1   2   2   5.3e-21   6.7e-20   68.8   0.0    26   263    56   295    50   299 0.82 -
2648at50557_6973_0:005209|STRG.12356.3:3571-4443|+      -            291 966at50557           -           1751   2.6e-25   86.8   0.0   1   2   0.00042    0.0052   12.8   0.0    39    87     2    51     1    56 0.70 -
2648at50557_6973_0:005209|STRG.12356.3:3571-4443|+      -            291 966at50557           -           1751   2.6e-25   86.8   0.0   2   2   1.6e-20     2e-19   67.3   0.0    26   256    56   288    49   291 0.83 -
2648at50557_38123_0:000f4f|STRG.13085.2:474-1289|+      -            272 966at50557           -           1751   2.7e-25   86.7   2.8   1   3   0.00018    0.0022   14.0   0.1   203   256    17    71     7    78 0.87 -
2648at50557_38123_0:000f4f|STRG.13085.2:474-1289|+      -            272 966at50557           -           1751   2.7e-25   86.7   2.8   2   3   2.4e-12   2.9e-11   40.2   0.0    27   119    76   168    71   197 0.87 -
2648at50557_38123_0:000f4f|STRG.13085.2:474-1289|+      -            272 966at50557           -           1751   2.7e-25   86.7   2.8   3   3   5.3e-10   6.7e-09   32.3   0.1   198   256   206   269   192   272 0.83 -
2648at50557_7536_0:00180e|STRG.17526.2:2-1660|+         -            553 966at50557           -           1751   2.9e-25   86.6   4.2   1   6    0.0024     0.029   10.3   0.0    23   117    18   117     5   130 0.82 -
2648at50557_7536_0:00180e|STRG.17526.2:2-1660|+         -            553 966at50557           -           1751   2.9e-25   86.6   4.2   2   6   8.8e-08   1.1e-06   25.0   0.0    29   115   140   227   134   232 0.91 -
2648at50557_7536_0:00180e|STRG.17526.2:2-1660|+         -            553 966at50557           -           1751   2.9e-25   86.6   4.2   3   6   9.6e-10   1.2e-08   31.5   0.2    20   167   234   367   228   370 0.88 -
2648at50557_7536_0:00180e|STRG.17526.2:2-1660|+         -            553 966at50557           -           1751   2.9e-25   86.6   4.2   4   6     0.011      0.14    8.1   0.0    25   120   340   438   334   449 0.77 -
2648at50557_7536_0:00180e|STRG.17526.2:2-1660|+         -            553 966at50557           -           1751   2.9e-25   86.6   4.2   5   6   0.00012    0.0014   14.7   0.0    26    85   447   506   441   527 0.86 -
2648at50557_7536_0:00180e|STRG.17526.2:2-1660|+         -            553 966at50557           -           1751   2.9e-25   86.6   4.2   6   6       5.3        66   -0.8   0.0    19    48   524   553   514   553 0.86 -
25718at50557_197043_0:00510d|STRG.7495.1:102-1781|+     -            560 966at50557           -           1751     4e-24   82.8  27.6   1   4   1.4e-08   1.7e-07   27.6   0.3   342   423     2    92     1   110 0.83 -
25718at50557_197043_0:00510d|STRG.7495.1:102-1781|+     -            560 966at50557           -           1751     4e-24   82.8  27.6   2   4   1.1e-09   1.4e-08   31.3   8.2   341   516   121   302   114   307 0.87 -
25718at50557_197043_0:00510d|STRG.7495.1:102-1781|+     -            560 966at50557           -           1751     4e-24   82.8  27.6   3   4   1.2e-10   1.5e-09   34.5   2.6   341   512   312   492   304   497 0.78 -
25718at50557_197043_0:00510d|STRG.7495.1:102-1781|+     -            560 966at50557           -           1751     4e-24   82.8  27.6   4   4      0.69       8.6    2.1   0.2   338   388   479   530   475   542 0.76 -
8280at50557_166423_0:002d2f|STRG.12134.1:9-3240|+       -            868 966at50557           -           1751   4.4e-24   82.7  34.2   1   5     0.001     0.012   11.6   0.2   578   612   118   153    40   165 0.71 -
8280at50557_166423_0:002d2f|STRG.12134.1:9-3240|+       -            868 966at50557           -           1751   4.4e-24   82.7  34.2   2   5     1e-05   0.00012   18.2   0.4   342   438   170   275   164   287 0.81 -
8280at50557_166423_0:002d2f|STRG.12134.1:9-3240|+       -            868 966at50557           -           1751   4.4e-24   82.7  34.2   3   5     3e-05   0.00037   16.6   1.6   314   514   316   529   293   535 0.72 -
8280at50557_166423_0:002d2f|STRG.12134.1:9-3240|+       -            868 966at50557           -           1751   4.4e-24   82.7  34.2   4   5   3.9e-06   4.9e-05   19.5   0.8   338   490   538   710   531   715 0.80 -
8280at50557_166423_0:002d2f|STRG.12134.1:9-3240|+       -            868 966at50557           -           1751   4.4e-24   82.7  34.2   5   5   7.4e-11   9.2e-10   35.2   5.7   337   469   720   859   713   864 0.81 -
8547at50557_74869_0:0028a5|STRG.3754.1:78-800|+         -            241 966at50557           -           1751   1.4e-23   81.0   0.0   1   1   1.3e-24   1.6e-23   80.8   0.0  1314  1526    11   234     2   239 0.79 -
8547at50557_74869_0:0028a5|STRG.3754.2:78-800|+         -            241 966at50557           -           1751   1.4e-23   81.0   0.0   1   1   1.3e-24   1.6e-23   80.8   0.0  1314  1526    11   234     2   239 0.79 -
17813at50557_378494_0:006207|STRG.16992.1:888-1469|+    -            194 966at50557           -           1751   1.6e-23   80.8   0.0   1   2         3        37    0.0   0.0  1259  1288    10    40     3    48 0.74 -
17813at50557_378494_0:006207|STRG.16992.1:888-1469|+    -            194 966at50557           -           1751   1.6e-23   80.8   0.0   2   2   4.4e-24   5.5e-23   79.0   0.0  1329  1479    46   190    32   194 0.88 -
17813at50557_378494_0:006207|STRG.16992.2:879-1460|+    -            194 966at50557           -           1751   1.6e-23   80.8   0.0   1   2         3        37    0.0   0.0  1259  1288    10    40     3    48 0.74 -
