#                                                                                                              --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                          accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                  ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
107413at50557_103372_0:00285a|STRG.9016.1:151-1075|+   -            297 107413at50557        -             88   2.4e-35  119.6   2.4   1   1   2.4e-36   1.5e-34  117.1   2.4     1    88   179   285   179   285 0.85 -
107413at50557_211228_0:00176b|STRG.12207.6:969-1706|+  -            246 107413at50557        -             88     4e-18   64.4   1.3   1   1   7.4e-18   4.6e-16   57.8   1.3     4    88   138   241   135   241 0.72 -
98621at50557_104688_0:00243e|STRG.19197.1:38-529|+     -            164 107413at50557        -             88   5.1e-18   64.1   0.4   1   1   4.2e-18   2.6e-16   58.6   0.4     4    88    52   159    49   159 0.67 -
98621at50557_136037_0:0009c4|STRG.19192.1:2547-3347|+  -            267 107413at50557        -             88   1.3e-17   62.8   0.5   1   1   1.7e-17   1.1e-15   56.7   0.5    11    88   187   267   158   267 0.80 -
98621at50557_136037_0:0009c4|STRG.19192.2:2670-3470|+  -            267 107413at50557        -             88   1.3e-17   62.8   0.5   1   1   1.7e-17   1.1e-15   56.7   0.5    11    88   187   267   158   267 0.80 -
17536at50557_116153_0:000f8b|STRG.8644.1:1739-3514|+   -            592 107413at50557        -             88   1.7e-17   62.4   0.4   1   1     4e-17   2.5e-15   55.5   0.4    21    88   513   584   474   584 0.73 -
107413at50557_13249_0:002cfe|STRG.14152.2:1386-1997|+  -            204 107413at50557        -             88   3.5e-17   61.4   0.5   1   1   3.5e-18   2.2e-16   58.9   0.5     1    88    95   204    95   204 0.76 -
98621at50557_136037_0:0009c4|STRG.21615.1:1956-2687|+  -            244 107413at50557        -             88   3.8e-17   61.3   3.2   1   1   5.2e-17   3.2e-15   55.1   1.7     3    88   133   240   131   240 0.69 -
98621at50557_7425_0:001b7b|STRG.7684.1:807-1562|+      -            252 107413at50557        -             88   4.8e-17   61.0   3.0   1   1   3.3e-18     2e-16   58.9   3.0    28    88   188   247   143   247 0.90 -
107413at50557_79782_0:001336|STRG.14152.1:1273-2025|+  -            251 107413at50557        -             88   6.3e-17   60.6   0.5   1   1     6e-18   3.7e-16   58.1   0.5     1    88   142   251   142   251 0.76 -
107413at50557_79782_0:001336|STRG.14152.3:645-1397|+   -            251 107413at50557        -             88   6.3e-17   60.6   0.5   1   1     6e-18   3.7e-16   58.1   0.5     1    88   142   251   142   251 0.76 -
98621at50557_13249_0:0015dd|STRG.3097.1:231-944|+      -            238 107413at50557        -             88   6.3e-17   60.6   2.2   1   1   2.8e-17   1.8e-15   56.0   2.2    17    88   164   237   132   237 0.78 -
98621at50557_79782_0:0026bc|STRG.2173.1:54-578|+       -            175 107413at50557        -             88   1.3e-16   59.6   3.1   1   1   1.2e-16   7.7e-15   53.9   3.1    27    88   103   169    58   169 0.87 -
107413at50557_108931_0:000e8f|STRG.19862.1:242-1041|+  -            240 107413at50557        -             88   1.5e-16   59.4   3.3   1   1   4.8e-18     3e-16   58.4   3.3    26    88   169   233   130   233 0.90 -
107413at50557_211228_0:00176b|STRG.5456.1:421-885|+    -            155 107413at50557        -             88   2.1e-16   58.9   2.3   1   1   1.4e-17   8.8e-16   56.9   2.3     3    88    53   155    51   155 0.78 -
107413at50557_91411_0:001705|STRG.5456.3:739-1446|+    -            236 107413at50557        -             88   6.7e-16   57.3   2.3   1   1   4.4e-17   2.7e-15   55.3   2.3     3    88   129   231   127   231 0.78 -
107413at50557_108931_0:000e8f|STRG.13593.1:987-1958|+  -            248 107413at50557        -             88     9e-16   56.9   1.8   1   1   6.1e-17   3.8e-15   54.9   1.8     4    88   144   243   141   243 0.74 -
107413at50557_1155016_0:001042|STRG.16201.1:65-265|+   -             67 107413at50557        -             88   1.2e-15   56.5   1.3   1   1   2.1e-17   1.3e-15   56.4   1.3    30    88     3    66     1    66 0.90 -
107413at50557_108931_0:000e8f|STRG.13593.2:987-1815|+  -            239 107413at50557        -             88   1.5e-15   56.2   1.3   1   1   7.4e-17   4.6e-15   54.6   1.3    25    88   169   234   132   234 0.83 -
107413at50557_108931_0:000e8f|STRG.13593.3:986-1732|+  -            249 107413at50557        -             88   1.7e-15   56.0   1.3   1   1   8.1e-17     5e-15   54.5   1.3    25    88   179   244   142   244 0.83 -
107413at50557_108931_0:000e8f|STRG.13593.4:825-1571|+  -            249 107413at50557        -             88   1.7e-15   56.0   1.3   1   1   8.1e-17     5e-15   54.5   1.3    25    88   179   244   142   244 0.83 -
98621at50557_286706_0:000660|STRG.19752.1:63-731|+     -            223 107413at50557        -             88   3.4e-15   55.0   3.9   1   2       2.8   1.7e+02    1.5   0.0    25    39    19    33     4    62 0.70 -
98621at50557_286706_0:000660|STRG.19752.1:63-731|+     -            223 107413at50557        -             88   3.4e-15   55.0   3.9   2   2   4.7e-16     3e-14   52.0   2.0     1    88   121   217   121   217 0.74 -
93746at50557_54969_0:0026b9|STRG.12821.1:595-1473|+    -            293 107413at50557        -             88   5.6e-15   54.3   2.0   1   1   6.7e-16   4.2e-14   51.6   2.0    28    88   221   288   174   288 0.85 -
93746at50557_54969_0:0026b9|STRG.12821.2:513-1391|+    -            293 107413at50557        -             88   5.6e-15   54.3   2.0   1   1   6.7e-16   4.2e-14   51.6   2.0    28    88   221   288   174   288 0.85 -
98621at50557_286706_0:000660|STRG.12821.3:395-1215|+   -            246 107413at50557        -             88     7e-15   54.0   2.1   1   1   5.4e-16   3.4e-14   51.8   2.1    28    88   178   245   131   245 0.85 -
98621at50557_286706_0:000660|STRG.12821.4:724-1544|+   -            246 107413at50557        -             88     7e-15   54.0   2.1   1   1   5.4e-16   3.4e-14   51.8   2.1    28    88   178   245   131   245 0.85 -
98621at50557_286706_0:000660|STRG.12821.5:377-1164|+   -            246 107413at50557        -             88     7e-15   54.0   2.1   1   1   5.4e-16   3.4e-14   51.8   2.1    28    88   178   245   131   245 0.85 -
98621at50557_516756_0:0020aa|STRG.5545.1:213-953|+     -            247 107413at50557        -             88   9.4e-15   53.6   0.2   1   1   4.4e-16   2.8e-14   52.1   0.2    30    88   180   243   171   243 0.85 -
98621at50557_516756_0:0020aa|STRG.5545.2:278-1018|+    -            247 107413at50557        -             88   9.4e-15   53.6   0.2   1   1   4.4e-16   2.8e-14   52.1   0.2    30    88   180   243   171   243 0.85 -
98621at50557_7038_0:0003d0|STRG.19171.2:1739-2497|+    -            253 107413at50557        -             88     1e-14   53.5   2.4   1   1   1.3e-15     8e-14   50.6   2.4    28    88   191   253   144   253 0.91 -
98621at50557_38123_0:000655|STRG.19194.1:497-808|+     -            104 107413at50557        -             88   1.4e-14   53.1   0.6   1   1   3.3e-16     2e-14   52.6   0.4    14    88    21    99    14    99 0.84 -
98621at50557_38123_0:000655|STRG.1683.2:329-646|+      -            106 107413at50557        -             88     2e-14   52.6   2.9   1   1   3.7e-15   2.3e-13   49.2   2.9    23    88    43   106     4   106 0.82 -
98621at50557_1041015_0:000047|STRG.11492.1:3412-4140|+ -            243 107413at50557        -             88   2.3e-14   52.4   2.1   1   1   1.8e-15   1.1e-13   50.2   2.1    29    88   178   239   130   239 0.84 -
98621at50557_28612_0:002b49|STRG.19753.1:386-1051|+    -            222 107413at50557        -             88   6.7e-14   50.9   3.1   1   2       2.1   1.3e+02    1.9   0.0    25    36    18    29    11    42 0.80 -
98621at50557_28612_0:002b49|STRG.19753.1:386-1051|+    -            222 107413at50557        -             88   6.7e-14   50.9   3.1   2   2   1.7e-14     1e-12   47.1   1.3     1    88   121   217   121   217 0.72 -
98621at50557_28612_0:002b49|STRG.19753.2:82-747|+      -            222 107413at50557        -             88   6.7e-14   50.9   3.1   1   2       2.1   1.3e+02    1.9   0.0    25    36    18    29    11    42 0.80 -
98621at50557_28612_0:002b49|STRG.19753.2:82-747|+      -            222 107413at50557        -             88   6.7e-14   50.9   3.1   2   2   1.7e-14     1e-12   47.1   1.3     1    88   121   217   121   217 0.72 -
98621at50557_28612_0:002b49|STRG.19753.3:311-976|+     -            222 107413at50557        -             88   6.7e-14   50.9   3.1   1   2       2.1   1.3e+02    1.9   0.0    25    36    18    29    11    42 0.80 -
98621at50557_28612_0:002b49|STRG.19753.3:311-976|+     -            222 107413at50557        -             88   6.7e-14   50.9   3.1   2   2   1.7e-14     1e-12   47.1   1.3     1    88   121   217   121   217 0.72 -
107413at50557_454923_0:0008d7|STRG.12207.2:395-1138|+  -            248 107413at50557        -             88   7.2e-14   50.8   0.3   1   1   1.3e-13   8.4e-12   44.2   0.3     4    88   141   248   138   248 0.67 -
107413at50557_454923_0:0008d7|STRG.12207.4:522-1265|+  -            248 107413at50557        -             88   7.2e-14   50.8   0.3   1   1   1.3e-13   8.4e-12   44.2   0.3     4    88   141   248   138   248 0.67 -
107413at50557_454923_0:0008d7|STRG.12207.5:960-1703|+  -            248 107413at50557        -             88   7.2e-14   50.8   0.3   1   1   1.3e-13   8.4e-12   44.2   0.3     4    88   141   248   138   248 0.67 -
98621at50557_166361_0:000283|STRG.1683.1:59-523|+      -            155 107413at50557        -             88   8.2e-14   50.6   2.9   1   1   1.1e-14     7e-13   47.6   2.9    23    88    92   155    53   155 0.83 -
98621at50557_136037_0:0009c4|STRG.21615.2:2316-3011|+  -            232 107413at50557        -             88   4.6e-13   48.2   4.7   1   1   5.9e-13   3.7e-11   42.1   3.0     3    79   133   231   131   232 0.64 -
98621at50557_79782_0:0026bc|STRG.3108.3:294-980|+      -            229 107413at50557        -             88   8.3e-13   47.4   1.8   1   1   5.6e-14   3.5e-12   45.4   1.8     3    88   128   229   126   229 0.72 -
98621at50557_79782_0:0026bc|STRG.3108.2:166-882|+      -            239 107413at50557        -             88   8.9e-13   47.3   1.8   1   1     6e-14   3.8e-12   45.3   1.8     3    88   138   239   136   239 0.72 -
98621at50557_79782_0:0026bc|STRG.3108.1:96-869|+       -            258 107413at50557        -             88     1e-12   47.1   1.7   1   1   6.7e-14   4.2e-12   45.1   1.7     3    88   157   258   155   258 0.72 -
45935at50557_136037_0:001135|STRG.17934.1:878-1549|+   -            224 107413at50557        -             88   1.4e-12   46.7   5.2   1   2     0.091       5.7    6.3   0.0     1    23   111   137   111   144 0.78 -
45935at50557_136037_0:001135|STRG.17934.1:878-1549|+   -            224 107413at50557        -             88   1.4e-12   46.7   5.2   2   2   7.1e-12   4.4e-10   38.7   4.9    27    88   159   222   140   222 0.83 -
45935at50557_136037_0:001135|STRG.17934.2:225-896|+    -            224 107413at50557        -             88   1.4e-12   46.7   5.2   1   2     0.091       5.7    6.3   0.0     1    23   111   137   111   144 0.78 -
45935at50557_136037_0:001135|STRG.17934.2:225-896|+    -            224 107413at50557        -             88   1.4e-12   46.7   5.2   2   2   7.1e-12   4.4e-10   38.7   4.9    27    88   159   222   140   222 0.83 -
107413at50557_211228_0:00176b|STRG.3099.1:25-585|+     -            187 107413at50557        -             88   1.5e-12   46.6   1.5   1   1   4.6e-13   2.9e-11   42.5   1.5     2    88    71   182    70   182 0.71 -
107413at50557_1155016_0:001042|STRG.433.1:0-143|+      -             48 107413at50557        -             88   4.6e-12   45.0   0.1   1   1   8.1e-14     5e-12   44.9   0.1    45    88     1    48     1    48 0.88 -
45935at50557_34720_0:00050a|STRG.5784.1:0-2276|+       -            759 107413at50557        -             88     5e-12   44.9   4.8   1   1   1.9e-13   1.2e-11   43.7   3.3    29    88   690   750   675   750 0.88 -
98621at50557_286706_0:000660|STRG.22693.1:377-1051|+   -            225 107413at50557        -             88   6.8e-12   44.5   0.4   1   1   5.8e-13   3.6e-11   42.1   0.1    28    88   163   219   144   219 0.86 -
98621at50557_286706_0:000660|STRG.22693.2:12-686|+     -            225 107413at50557        -             88   6.8e-12   44.5   0.4   1   1   5.8e-13   3.6e-11   42.1   0.1    28    88   163   219   144   219 0.86 -
107413at50557_29053_0:002c88|STRG.19750.1:449-763|+    -            105 107413at50557        -             88   7.1e-12   44.4   2.9   1   1   2.9e-13   1.8e-11   43.1   2.9    23    88    32    94     1    94 0.70 -
93746at50557_568069_0:0045cd|STRG.5544.1:72-1199|+     -            376 107413at50557        -             88   1.2e-11   43.6   1.5   1   1     2e-13   1.2e-11   43.6   1.5    26    88   307   371   298   371 0.82 -
107413at50557_64838_0:000425|STRG.6264.3:25-564|+      -            180 107413at50557        -             88   1.3e-11   43.5   0.1   1   1   3.9e-13   2.4e-11   42.7   0.1    26    88   110   173    93   173 0.80 -
98621at50557_166361_0:000283|STRG.24278.1:292-999|+    -            236 107413at50557        -             88   1.9e-11   43.0   1.6   1   2       4.3   2.7e+02    0.9   0.1    23    36    31    43    21    58 0.77 -
98621at50557_166361_0:000283|STRG.24278.1:292-999|+    -            236 107413at50557        -             88   1.9e-11   43.0   1.6   2   2   3.1e-12     2e-10   39.8   0.3     3    88   139   235   137   235 0.70 -
98621at50557_6973_0:005d28|STRG.23867.1:64-402|+       -            113 107413at50557        -             88   2.2e-11   42.8   2.0   1   1   1.6e-12   9.9e-11   40.7   2.0    28    88    49   111     1   111 0.87 -
98621at50557_28612_0:00515f|STRG.19759.1:19-669|+      -            217 107413at50557        -             88   2.3e-11   42.8   0.8   1   1   3.7e-13   2.3e-11   42.8   0.8     1    84   124   216   124   217 0.69 -
98621at50557_568069_0:004daa|STRG.19750.1:68-742|+     -            225 107413at50557        -             88   3.4e-11   42.2   4.2   1   1   1.3e-12     8e-11   41.0   2.7     4    88   128   221   126   221 0.70 -
93746at50557_568069_0:0045cd|STRG.4689.1:166-1296|+    -            377 107413at50557        -             88   3.5e-11   42.2   4.5   1   2       6.4     4e+02    0.3   0.0    40    59   195   214   180   220 0.77 -
93746at50557_568069_0:0045cd|STRG.4689.1:166-1296|+    -            377 107413at50557        -             88   3.5e-11   42.2   4.5   2   2   1.9e-11   1.2e-09   37.3   3.0    26    88   308   377   267   377 0.69 -
93746at50557_568069_0:0045cd|STRG.4689.2:82-1164|+     -            361 107413at50557        -             88   3.6e-11   42.1   4.5   1   2         6   3.7e+02    0.4   0.0    40    59   179   198   163   204 0.77 -
93746at50557_568069_0:0045cd|STRG.4689.2:82-1164|+     -            361 107413at50557        -             88   3.6e-11   42.1   4.5   2   2   1.8e-11   1.1e-09   37.4   3.0    26    88   292   361   251   361 0.69 -
98621at50557_166361_0:000283|STRG.4687.1:601-1398|+    -            266 107413at50557        -             88   3.6e-11   42.1   2.7   1   1   9.3e-12   5.8e-10   38.3   2.7     2    88   154   262   153   262 0.65 -
98621at50557_91411_0:0016b8|STRG.23868.2:110-821|+     -            234 107413at50557        -             88   5.9e-11   41.5   1.2   1   2       5.1   3.2e+02    0.6   0.0    28    37    25    34    18    75 0.76 -
98621at50557_91411_0:0016b8|STRG.23868.2:110-821|+     -            234 107413at50557        -             88   5.9e-11   41.5   1.2   2   2   6.3e-12   3.9e-10   38.8   0.3    28    88   167   230   159   230 0.87 -
98621at50557_7038_0:0003d0|STRG.23868.1:98-820|+       -            241 107413at50557        -             88   6.8e-11   41.3   1.2   1   2       5.5   3.4e+02    0.6   0.0    28    37    29    38    22    77 0.76 -
98621at50557_7038_0:0003d0|STRG.23868.1:98-820|+       -            241 107413at50557        -             88   6.8e-11   41.3   1.2   2   2   6.6e-12   4.1e-10   38.7   0.3    28    88   177   240   169   240 0.87 -
93746at50557_568069_0:0045cd|STRG.4687.3:48-1127|+     -            360 107413at50557        -             88   7.9e-11   41.0   2.7   1   1   1.7e-11     1e-09   37.5   2.7     2    88   252   360   251   360 0.65 -
98621at50557_79782_0:0026bc|STRG.16419.2:66-701|+      -            212 107413at50557        -             88   7.9e-11   41.0   0.3   1   1   3.5e-12   2.2e-10   39.6   0.3    35    88   158   212   146   212 0.84 -
93746at50557_568069_0:0045cd|STRG.4687.2:36-1127|+     -            364 107413at50557        -             88   8.2e-11   41.0   2.7   1   1   1.7e-11   1.1e-09   37.4   2.7     2    88   256   364   255   364 0.65 -
98621at50557_29053_0:002033|STRG.16419.1:107-1451|+    -            241 107413at50557        -             88   9.3e-11   40.8   0.3   1   1   4.1e-12   2.5e-10   39.4   0.3    35    88   187   241   174   241 0.84 -
107413at50557_1155016_0:001042|STRG.6320.1:2-187|+     -             62 107413at50557        -             88   9.3e-11   40.8   0.0   1   1   1.7e-12     1e-10   40.7   0.0    30    88     3    58     1    58 0.84 -
107413at50557_1155016_0:001042|STRG.11553.1:5-154|+    -             50 107413at50557        -             88     1e-10   40.7   0.2   1   1   1.8e-12   1.1e-10   40.6   0.2    42    88     2    50     1    50 0.91 -
107413at50557_1155016_0:001042|STRG.3359.2:4424-4675|+ -             84 107413at50557        -             88   1.1e-10   40.6   0.8   1   1   2.1e-12   1.3e-10   40.4   0.8    29    88    22    80     7    80 0.85 -
107413at50557_1155016_0:001042|STRG.3359.3:4763-5014|+ -             84 107413at50557        -             88   1.1e-10   40.6   0.8   1   1   2.1e-12   1.3e-10   40.4   0.8    29    88    22    80     7    80 0.85 -
107413at50557_1155016_0:001042|STRG.3359.4:3331-3582|+ -             84 107413at50557        -             88   1.1e-10   40.6   0.8   1   1   2.1e-12   1.3e-10   40.4   0.8    29    88    22    80     7    80 0.85 -
107413at50557_1155016_0:001042|STRG.3359.6:385-636|+   -             84 107413at50557        -             88   1.1e-10   40.6   0.8   1   1   2.1e-12   1.3e-10   40.4   0.8    29    88    22    80     7    80 0.85 -
98621at50557_568069_0:004daa|STRG.19750.2:68-741|+     -            213 107413at50557        -             88     3e-10   39.2   0.8   1   1   1.2e-11   7.8e-10   37.9   0.3     3    88   127   209   125   209 0.76 -
98621at50557_7160_0:003e24|STRG.6319.1:74-355|+        -             94 107413at50557        -             88   3.5e-10   39.0   0.5   1   1   6.4e-12     4e-10   38.8   0.5    27    88    31    92     8    92 0.86 -
98621at50557_1218281_0:001f07|STRG.6319.2:85-426|+     -            114 107413at50557        -             88   9.1e-10   37.6   1.2   1   1   1.8e-11   1.1e-09   37.4   1.2    27    88    51   112    19   112 0.87 -
98621at50557_156304_0:000097|STRG.6267.3:33-641|+      -            203 107413at50557        -             88   1.5e-09   37.0   5.0   1   1   1.1e-10   6.9e-09   34.8   5.0    29    88   143   200    98   200 0.87 -
98621at50557_13249_0:0015dd|STRG.23248.1:24-725|+      -            234 107413at50557        -             88   1.6e-09   36.9   2.2   1   1   6.5e-11     4e-09   35.6   1.0    41    88   181   230   129   230 0.72 -
98621at50557_7375_0:002f5e|STRG.3359.1:5220-6087|+     -            226 107413at50557        -             88   1.7e-09   36.7   3.7   1   1   3.5e-11   2.2e-09   36.4   1.6    29    88   166   224   121   224 0.86 -
107413at50557_108931_0:000e8f|STRG.23869.1:3-782|+     -            260 107413at50557        -             88   1.9e-09   36.7   0.9   1   1   9.4e-11   5.9e-09   35.0   0.2    28    88   191   256   173   256 0.84 -
45935at50557_136037_0:001135|STRG.5507.1:488-1330|+    -            281 107413at50557        -             88   2.3e-09   36.4   3.4   1   2      0.33        21    4.5   0.0     1    25   158   187   158   195 0.69 -
45935at50557_136037_0:001135|STRG.5507.1:488-1330|+    -            281 107413at50557        -             88   2.3e-09   36.4   3.4   2   2   1.9e-09   1.2e-07   30.9   1.7    28    88   208   272   195   272 0.86 -
45935at50557_136037_0:001135|STRG.5507.2:524-1366|+    -            281 107413at50557        -             88   2.3e-09   36.4   3.4   1   2      0.33        21    4.5   0.0     1    25   158   187   158   195 0.69 -
45935at50557_136037_0:001135|STRG.5507.2:524-1366|+    -            281 107413at50557        -             88   2.3e-09   36.4   3.4   2   2   1.9e-09   1.2e-07   30.9   1.7    28    88   208   272   195   272 0.86 -
45935at50557_136037_0:001135|STRG.5507.3:432-1274|+    -            281 107413at50557        -             88   2.3e-09   36.4   3.4   1   2      0.33        21    4.5   0.0     1    25   158   187   158   195 0.69 -
45935at50557_136037_0:001135|STRG.5507.3:432-1274|+    -            281 107413at50557        -             88   2.3e-09   36.4   3.4   2   2   1.9e-09   1.2e-07   30.9   1.7    28    88   208   272   195   272 0.86 -
98621at50557_79782_0:0026bc|STRG.6319.3:66-743|+       -            226 107413at50557        -             88   2.6e-09   36.2   5.7   1   1   1.3e-10   7.8e-09   34.7   3.8     3    88   125   226   123   226 0.69 -
98621at50557_7539_0:000d61|STRG.6264.5:253-672|+       -            140 107413at50557        -             88   3.1e-09   35.9   0.1   1   1   7.8e-11   4.9e-09   35.3   0.1    26    88    74   137    57   137 0.78 -
107413at50557_108931_0:000e8f|STRG.6264.1:24-713|+     -            230 107413at50557        -             88   3.5e-09   35.8   0.9   1   2       7.7   4.8e+02    0.1   0.0    20    36    16    32    13    48 0.79 -
107413at50557_108931_0:000e8f|STRG.6264.1:24-713|+     -            230 107413at50557        -             88   3.5e-09   35.8   0.9   2   2   2.4e-10   1.5e-08   33.7   0.1    26    88   166   229   149   229 0.78 -
107413at50557_108931_0:000e8f|STRG.6264.7:155-844|+    -            230 107413at50557        -             88   3.5e-09   35.8   0.9   1   2       7.7   4.8e+02    0.1   0.0    20    36    16    32    13    48 0.79 -
107413at50557_108931_0:000e8f|STRG.6264.7:155-844|+    -            230 107413at50557        -             88   3.5e-09   35.8   0.9   2   2   2.4e-10   1.5e-08   33.7   0.1    26    88   166   229   149   229 0.78 -
98621at50557_156304_0:000097|STRG.6267.1:28-714|+      -            229 107413at50557        -             88   3.5e-09   35.8   6.3   1   1   1.1e-10   7.1e-09   34.8   4.7    29    88   169   226   124   226 0.87 -
107413at50557_91411_0:001705|STRG.24281.1:475-1185|+   -            237 107413at50557        -             88   3.8e-09   35.7   0.8   1   1   1.5e-10   9.5e-09   34.4   0.5    28    88   173   231   156   231 0.82 -
107413at50557_91411_0:001705|STRG.24281.2:69-779|+     -            237 107413at50557        -             88   3.8e-09   35.7   0.8   1   1   1.5e-10   9.5e-09   34.4   0.5    28    88   173   231   156   231 0.82 -
107413at50557_108931_0:000e8f|STRG.6264.4:22-546|+     -            175 107413at50557        -             88   4.5e-09   35.4   0.1   1   1   1.4e-10   8.4e-09   34.5   0.1    26    88   111   174    94   174 0.78 -
107413at50557_108931_0:000e8f|STRG.6264.2:136-780|+    -            215 107413at50557        -             88     5e-09   35.3   1.0   1   1   2.1e-10   1.3e-08   33.9   0.1    26    88   151   214   134   214 0.78 -
107413at50557_2015173_0:00166d|STRG.6249.1:1544-2314|+ -            257 107413at50557        -             88   5.5e-09   35.2   4.0   1   1   3.6e-09   2.2e-07   30.0   4.0    27    88   185   250   142   250 0.72 -
98621at50557_7460_0:000221|STRG.4690.1:47-826|+        -            260 107413at50557        -             88   1.9e-08   33.4   1.8   1   1   5.4e-10   3.4e-08   32.6   1.8    27    88   193   260   151   260 0.83 -
107413at50557_1155016_0:001933|STRG.19750.2:607-741|+  -             45 107413at50557        -             88   2.1e-08   33.3   0.1   1   1   3.4e-10   2.1e-08   33.3   0.1    58    88    10    41     1    41 0.83 -
107413at50557_29053_0:002c88|STRG.8670.2:1654-1995|+   -            114 107413at50557        -             88   3.8e-08   32.4   1.8   1   1   8.4e-10   5.3e-08   32.0   1.8    28    88    42   110     3   110 0.82 -
107413at50557_29053_0:002c88|STRG.8670.3:1638-1979|+   -            114 107413at50557        -             88   3.8e-08   32.4   1.8   1   1   8.4e-10   5.3e-08   32.0   1.8    28    88    42   110     3   110 0.82 -
98621at50557_7260_0:001c8c|STRG.8670.2:1226-1995|+     -            247 107413at50557        -             88     7e-08   31.6   0.3   1   1   2.6e-09   1.6e-07   30.4   0.3    29    88   176   243   163   243 0.78 -
98621at50557_29029_0:001d93|STRG.8670.1:1196-1954|+    -            253 107413at50557        -             88   7.1e-08   31.6   0.3   1   1   2.7e-09   1.7e-07   30.4   0.3    29    88   182   249   169   249 0.78 -
98621at50557_29029_0:001d93|STRG.8670.4:1290-2048|+    -            253 107413at50557        -             88   7.1e-08   31.6   0.3   1   1   2.7e-09   1.7e-07   30.4   0.3    29    88   182   249   169   249 0.78 -
98621at50557_7260_0:001c8c|STRG.8670.3:1153-1979|+     -            266 107413at50557        -             88   8.1e-08   31.4   0.3   1   1     3e-09   1.9e-07   30.2   0.3    29    88   195   262   182   262 0.78 -
98621at50557_211228_0:0004ca|STRG.6267.2:28-922|+      -            229 107413at50557        -             88   2.3e-07   30.0   6.0   1   1   7.4e-09   4.6e-07   29.0   4.4    29    88   169   228   124   228 0.85 -
98621at50557_121845_0:003451|STRG.11365.3:3520-3987|+  -            156 107413at50557        -             88   2.6e-07   29.8   3.3   1   2       7.1   4.4e+02    0.2   0.0    36    53    40    57    29    70 0.61 -
