#                                                                                                              --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                          accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                  ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
65618at50557_103372_0:000ad6|STRG.6475.1:124-1365|+    -            414 65618at50557         -            344  2.1e-154  512.5   2.0   1   1  3.4e-156  7.9e-154  510.6   2.0     2   340     9   404     8   408 0.90 -
60961at50557_54969_0:0007af|STRG.5880.1:421-1119|+     -            233 65618at50557         -            344   1.4e-39  135.0   0.0   1   2   4.1e-25   9.4e-23   79.6   0.0     5    98     7   111     4   125 0.83 -
60961at50557_54969_0:0007af|STRG.5880.1:421-1119|+     -            233 65618at50557         -            344   1.4e-39  135.0   0.0   2   2   3.5e-17   8.1e-15   53.5   0.0     9    92   137   232   129   233 0.81 -
60961at50557_54969_0:0007af|STRG.5880.2:957-1655|+     -            233 65618at50557         -            344   1.4e-39  135.0   0.0   1   2   4.1e-25   9.4e-23   79.6   0.0     5    98     7   111     4   125 0.83 -
60961at50557_54969_0:0007af|STRG.5880.2:957-1655|+     -            233 65618at50557         -            344   1.4e-39  135.0   0.0   2   2   3.5e-17   8.1e-15   53.5   0.0     9    92   137   232   129   233 0.81 -
60961at50557_54969_0:0007af|STRG.5880.3:294-992|+      -            233 65618at50557         -            344   1.4e-39  135.0   0.0   1   2   4.1e-25   9.4e-23   79.6   0.0     5    98     7   111     4   125 0.83 -
60961at50557_54969_0:0007af|STRG.5880.3:294-992|+      -            233 65618at50557         -            344   1.4e-39  135.0   0.0   2   2   3.5e-17   8.1e-15   53.5   0.0     9    92   137   232   129   233 0.81 -
60961at50557_41427_0:00202e|STRG.4503.2:242-1339|+     -            366 65618at50557         -            344   7.9e-35  119.3   4.7   1   3     1e-11   2.3e-09   35.6   0.1    16   107    51   149    39   156 0.82 -
60961at50557_41427_0:00202e|STRG.4503.2:242-1339|+     -            366 65618at50557         -            344   7.9e-35  119.3   4.7   2   3   2.9e-14   6.6e-12   44.0   0.1    15    74   159   221   149   228 0.88 -
60961at50557_41427_0:00202e|STRG.4503.2:242-1339|+     -            366 65618at50557         -            344   7.9e-35  119.3   4.7   3   3   2.9e-13   6.7e-11   40.7   0.1    13   101   270   364   259   366 0.78 -
60961at50557_41427_0:00202e|STRG.4503.1:62-937|+       -            292 65618at50557         -            344   9.7e-27   92.7   1.1   1   3    0.0005      0.12   10.3   0.0    16   112     4   105     1   108 0.78 -
60961at50557_41427_0:00202e|STRG.4503.1:62-937|+       -            292 65618at50557         -            344   9.7e-27   92.7   1.1   2   3   6.7e-12   1.6e-09   36.2   0.1    16   107   111   209   101   216 0.82 -
60961at50557_41427_0:00202e|STRG.4503.1:62-937|+       -            292 65618at50557         -            344   9.7e-27   92.7   1.1   3   3   1.7e-14   3.8e-12   44.7   0.2    15    74   219   281   202   285 0.86 -
65618at50557_29053_0:00095b|STRG.5109.1:3-677|+        -            225 65618at50557         -            344   6.9e-21   73.5   0.0   1   2   1.8e-22   4.1e-20   70.9   0.0     3   108    21   140    19   147 0.84 -
65618at50557_29053_0:00095b|STRG.5109.1:3-677|+        -            225 65618at50557         -            344   6.9e-21   73.5   0.0   2   2      0.58   1.3e+02    0.2   0.1   258   289   172   203   163   216 0.78 -
65618at50557_110193_0:0020cd|STRG.17666.1:99-788|+     -            230 65618at50557         -            344   1.1e-19   69.5   0.0   1   1   6.6e-22   1.5e-19   69.1   0.0    16   108    10   111     1   150 0.86 -
65618at50557_29031_0:0021aa|STRG.17835.1:580-939|+     -            120 65618at50557         -            344     2e-17   62.1   0.0   1   1   8.9e-20   2.1e-17   62.1   0.0    10    96    10   104     1   118 0.77 -
65618at50557_29031_0:0021aa|STRG.17835.2:87-446|+      -            120 65618at50557         -            344     2e-17   62.1   0.0   1   1   8.9e-20   2.1e-17   62.1   0.0    10    96    10   104     1   118 0.77 -
60961at50557_7536_0:0031ae|STRG.4504.1:581-934|+       -            118 65618at50557         -            344   4.2e-17   61.1   0.1   1   1   2.1e-19   4.8e-17   60.9   0.1    16    93    24   109     8   117 0.84 -
65618at50557_29031_0:0021aa|STRG.5880.4:1351-1644|+    -             98 65618at50557         -            344   1.1e-15   56.4   0.0   1   1   4.9e-18   1.1e-15   56.4   0.0    13    92     7    97     1    98 0.82 -
65618at50557_64459_0:000660|STRG.19361.1:238-1083|+    -            282 65618at50557         -            344   2.6e-13   48.6   0.0   1   1   1.8e-15   4.1e-13   48.0   0.0    16   140    15   161     1   171 0.73 -
65618at50557_64459_0:000660|STRG.19361.2:102-995|+     -            298 65618at50557         -            344   3.5e-13   48.2   0.1   1   1   2.4e-15   5.5e-13   47.5   0.1    16   113    15   126     1   167 0.75 -
138527at50557_7070_0:000af3|STRG.5880.1:868-1104|+     -             79 65618at50557         -            344   4.8e-13   47.7   0.0   1   1   2.2e-15   5.1e-13   47.6   0.0    21    87     1    78     1    79 0.80 -
138527at50557_7070_0:000af3|STRG.5880.3:741-977|+      -             79 65618at50557         -            344   4.8e-13   47.7   0.0   1   1   2.2e-15   5.1e-13   47.6   0.0    21    87     1    78     1    79 0.80 -
138527at50557_1049336_0:004c49|STRG.5109.1:1035-1319|+ -             95 65618at50557         -            344   2.3e-12   45.5   0.0   1   1   1.1e-14   2.5e-12   45.3   0.0    15    73    36    95    23    95 0.84 -
138527at50557_7160_0:0018e6|STRG.9932.3:3-230|+        -             76 65618at50557         -            344   1.9e-11   42.4   0.0   1   1   9.3e-14   2.1e-11   42.3   0.0     9    78     4    73     1    75 0.92 -
138527at50557_29053_0:0022e2|STRG.9932.1:225-524|+     -            100 65618at50557         -            344   2.8e-11   41.9   0.0   1   1   1.4e-13   3.4e-11   41.7   0.0     8    78     8    78     3    86 0.91 -
138527at50557_29053_0:0022e2|STRG.9932.2:0-287|+       -             96 65618at50557         -            344   3.1e-11   41.8   0.0   1   1   1.6e-13   3.7e-11   41.5   0.0    10    78     6    74     2    82 0.92 -
60961at50557_104452_0:000511|STRG.20824.1:383-706|+    -            108 65618at50557         -            344   6.6e-10   37.4   0.4   1   1   3.4e-12   7.8e-10   37.2   0.4    16    76    32    98    17   103 0.82 -
60961at50557_104452_0:000511|STRG.20824.2:111-434|+    -            108 65618at50557         -            344   6.6e-10   37.4   0.4   1   1   3.4e-12   7.8e-10   37.2   0.4    16    76    32    98    17   103 0.82 -
138527at50557_7029_0:001a95|STRG.19970.1:18-317|+      -            100 65618at50557         -            344   2.5e-08   32.2   0.1   1   1   1.3e-10   3.1e-08   31.9   0.1    17    77    17    77     6    82 0.90 -
138527at50557_1049336_0:004c49|STRG.23409.1:322-519|+  -             66 65618at50557         -            344     5e-08   31.2   0.2   1   1   2.4e-10   5.5e-08   31.1   0.2    20    77     4    61     1    64 0.96 -
138527at50557_103372_0:00284e|STRG.23411.1:0-416|+     -            139 65618at50557         -            344   9.3e-08   30.3   0.0   1   1   4.4e-10     1e-07   30.2   0.0    19    78    54   114    34   135 0.87 -
60961at50557_104452_0:000511|STRG.23409.2:354-770|+    -            139 65618at50557         -            344   1.2e-07   29.9   0.0   1   1   6.1e-10   1.4e-07   29.7   0.0    19    78    24    83    13   111 0.91 -
92898at50557_103372_0:00055a|STRG.3812.1:518-1321|+    -            268 65618at50557         -            344     3e-07   28.6   0.0   1   1   2.4e-09   5.5e-07   27.8   0.0    17    72   144   201   133   236 0.80 -
138527at50557_217634_0:002b14|STRG.17857.1:151-390|+   -             80 65618at50557         -            344   8.9e-07   27.1   0.0   1   1   4.1e-09   9.4e-07   27.0   0.0    19    78     9    70     1    77 0.88 -
138527at50557_121225_0:001e16|STRG.3902.1:66-422|+     -            119 65618at50557         -            344   1.5e-05   23.1   0.0   1   1   6.8e-08   1.6e-05   23.0   0.0    19    77    23    81     5   111 0.87 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/justine/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/65618at50557.hmm
# Target file:     annotation_analysis/annotation_gca/T_cornetzi/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas
# Option settings: hmmsearch --domtblout annotation_analysis/annotation_gca/T_cornetzi/busco_output/run_insecta_odb10/hmmer_output/initial_run_results/65618at50557.out --cpu 1 /home/justine/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/65618at50557.hmm annotation_analysis/annotation_gca/T_cornetzi/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas 
# Current dir:     /home/justine/projet_tutore
# Date:            Sun Dec  1 22:19:22 2024
# [ok]
