#                                                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
118659at50557_143995_0:001dd5|STRG.23694.1:0-488|+   -            163 118659at50557        -            141     1e-87  290.0   2.1   1   1   5.1e-90     3e-87  288.5   2.1     1   141     8   163     8   163 0.97 -
35377at50557_103372_0:001618|STRG.9369.3:0-1589|+    -            530 118659at50557        -            141   1.2e-07   30.5   0.5   1   2   4.1e-10   2.3e-07   29.5   0.1    54   125   218   292   209   305 0.81 -
35377at50557_103372_0:001618|STRG.9369.3:0-1589|+    -            530 118659at50557        -            141   1.2e-07   30.5   0.5   2   2         5   2.9e+03   -3.2   0.0    55    85   447   478   436   510 0.50 -
35377at50557_103372_0:001618|STRG.9369.1:412-2016|+  -            535 118659at50557        -            141   1.2e-07   30.5   0.5   1   2   4.1e-10   2.4e-07   29.5   0.1    54   125   223   297   214   310 0.81 -
35377at50557_103372_0:001618|STRG.9369.1:412-2016|+  -            535 118659at50557        -            141   1.2e-07   30.5   0.5   2   2         5   2.9e+03   -3.2   0.0    55    85   452   483   441   515 0.50 -
45452at50557_535359_0:0001d3|STRG.16213.1:368-1441|+ -            358 118659at50557        -            141   1.6e-06   26.9   0.3   1   2   1.5e-08   8.6e-06   24.5   0.1    36   127     1   106     1   115 0.74 -
45452at50557_535359_0:0001d3|STRG.16213.1:368-1441|+ -            358 118659at50557        -            141   1.6e-06   26.9   0.3   2   2       5.6   3.2e+03   -3.3   0.0    38    63   147   173   139   179 0.68 -
45452at50557_211228_0:001c06|STRG.24112.1:330-1484|+ -            385 118659at50557        -            141     1e-05   24.2   1.1   1   2   3.6e-06    0.0021   16.7   0.1     9    74    15    80     8    84 0.88 -
45452at50557_211228_0:001c06|STRG.24112.1:330-1484|+ -            385 118659at50557        -            141     1e-05   24.2   1.1   2   2     0.011       6.2    5.5   0.1   101   125   141   165   100   176 0.84 -
45452at50557_211228_0:001c06|STRG.24112.2:215-1351|+ -            379 118659at50557        -            141     1e-05   24.2   1.1   1   2   3.8e-06    0.0022   16.7   0.1    12    74    12    74     4    78 0.88 -
45452at50557_211228_0:001c06|STRG.24112.2:215-1351|+ -            379 118659at50557        -            141     1e-05   24.2   1.1   2   2      0.01         6    5.5   0.1   101   125   135   159    94   170 0.84 -
45452at50557_45779_0:0017c6|STRG.3236.1:733-1467|+   -            245 118659at50557        -            141   0.00049   18.8   0.0   1   1   1.3e-06   0.00075   18.2   0.0    54   124    21    93    10   106 0.87 -
45452at50557_45779_0:0017c6|STRG.3236.2:605-1339|+   -            245 118659at50557        -            141   0.00049   18.8   0.0   1   1   1.3e-06   0.00075   18.2   0.0    54   124    21    93    10   106 0.87 -
118659at50557_121845_0:0048fb|STRG.20409.1:576-866|+ -             97 118659at50557        -            141    0.0012   17.5   0.0   1   1   2.7e-06    0.0015   17.2   0.0    56   123    20    91     1    96 0.78 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/justine/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/118659at50557.hmm
# Target file:     annotation_analysis/annotation_gca/T_cornetzi/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas
# Option settings: hmmsearch --domtblout annotation_analysis/annotation_gca/T_cornetzi/busco_output/run_insecta_odb10/hmmer_output/initial_run_results/118659at50557.out --cpu 1 /home/justine/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/118659at50557.hmm annotation_analysis/annotation_gca/T_cornetzi/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas 
# Current dir:     /home/justine/projet_tutore
# Date:            Sun Dec  1 22:14:39 2024
# [ok]
