#                                                                                                              --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                          accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                  ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
104832at50557_34720_0:0019e7|STRG.18733.1:0-812|+      -            271 104832at50557        -            207   6.7e-77  256.5  14.3   1   1   2.3e-77   4.2e-75  250.7  14.3     1   205     1   257     1   261 0.84 -
117816at50557_7200_0:0014c2|STRG.24179.2:1392-2324|+   -            311 104832at50557        -            207   2.1e-06   26.3   0.0   3   3     0.094        17    3.7   0.0   132   165   259   292   252   310 0.76 -
117816at50557_123851_0:00306e|STRG.24179.1:1392-2000|+ -            203 104832at50557        -            207   1.1e-05   24.0   0.0   1   2   0.00064      0.12   10.8   0.0   144   177    33    70    19    92 0.79 -
117816at50557_123851_0:00306e|STRG.24179.1:1392-2000|+ -            203 104832at50557        -            207   1.1e-05   24.0   0.0   2   2   0.00046     0.084   11.2   0.0   140   167   115   142    92   163 0.79 -
117816at50557_7200_0:0014c2|STRG.24179.3:1392-2135|+   -            248 104832at50557        -            207     2e-05   23.1   0.0   1   2    0.0009      0.16   10.3   0.0   144   176    33    69    17    91 0.79 -
117816at50557_7200_0:0014c2|STRG.24179.3:1392-2135|+   -            248 104832at50557        -            207     2e-05   23.1   0.0   2   2   0.00065      0.12   10.8   0.0   140   167   115   142    92   163 0.79 -
104832at50557_315563_0:002a5b|STRG.2520.1:3278-3901|+  -            208 104832at50557        -            207   6.3e-05   21.4   0.1   1   2      0.21        38    2.5   0.0   106   165    46   115    36   138 0.70 -
104832at50557_315563_0:002a5b|STRG.2520.1:3278-3901|+  -            208 104832at50557        -            207   6.3e-05   21.4   0.1   2   2   7.8e-06    0.0014   17.0   0.0   127   176   153   206   138   208 0.81 -
104832at50557_315563_0:002a5b|STRG.2520.2:3278-3901|+  -            208 104832at50557        -            207   6.3e-05   21.4   0.1   1   2      0.21        38    2.5   0.0   106   165    46   115    36   138 0.70 -
104832at50557_315563_0:002a5b|STRG.2520.2:3278-3901|+  -            208 104832at50557        -            207   6.3e-05   21.4   0.1   2   2   7.8e-06    0.0014   17.0   0.0   127   176   153   206   138   208 0.81 -
129956at50557_441921_0:0017da|STRG.17660.4:1205-1435|+ -             77 104832at50557        -            207   0.00025   19.5   0.0   1   1   1.6e-06   0.00029   19.3   0.0   124   165    16    62     6    71 0.75 -
129956at50557_441921_0:0017da|STRG.17660.5:1166-1396|+ -             77 104832at50557        -            207   0.00025   19.5   0.0   1   1   1.6e-06   0.00029   19.3   0.0   124   165    16    62     6    71 0.75 -
49780at50557_45779_0:0017cf|STRG.2520.3:1047-13184|+   -            436 104832at50557        -            207    0.0005   18.5   0.0   1   3       8.6   1.5e+03   -2.7   0.0   142   161    58    77    43    91 0.75 -
49780at50557_45779_0:0017cf|STRG.2520.3:1047-13184|+   -            436 104832at50557        -            207    0.0005   18.5   0.0   2   3      0.93   1.7e+02    0.5   0.0   106   165   111   180   101   189 0.66 -
49780at50557_45779_0:0017cf|STRG.2520.3:1047-13184|+   -            436 104832at50557        -            207    0.0005   18.5   0.0   3   3   3.4e-05    0.0062   14.9   0.0   127   166   218   257   193   294 0.83 -
129956at50557_441921_0:0017da|STRG.17660.1:1205-1435|+ -             77 104832at50557        -            207    0.0014   17.0   0.0   1   1   9.1e-06    0.0016   16.8   0.0   124   165    16    62     9    71 0.79 -
129956at50557_441921_0:0017da|STRG.17660.2:1205-1435|+ -             77 104832at50557        -            207    0.0014   17.0   0.0   1   1   9.1e-06    0.0016   16.8   0.0   124   165    16    62     9    71 0.79 -
129956at50557_441921_0:0017da|STRG.17660.3:1205-1435|+ -             77 104832at50557        -            207    0.0014   17.0   0.0   1   1   9.1e-06    0.0016   16.8   0.0   124   165    16    62     9    71 0.79 -
129956at50557_13686_0:0011f5|STRG.2869.1:774-1001|+    -             76 104832at50557        -            207    0.0014   17.0   0.0   1   1   9.4e-06    0.0017   16.8   0.0   121   164     9    62     4    72 0.73 -
129956at50557_13686_0:0011f5|STRG.2869.2:674-901|+     -             76 104832at50557        -            207    0.0014   17.0   0.0   1   1   9.4e-06    0.0017   16.8   0.0   121   164     9    62     4    72 0.73 -
83433at50557_1507135_0:0010eb|STRG.17441.6:234-1223|-  -            294 104832at50557        -            207    0.0024   16.3   0.0   1   2    0.0037      0.67    8.3   0.0   127   166    30    67    25    91 0.82 -
83433at50557_1507135_0:0010eb|STRG.17441.6:234-1223|-  -            294 104832at50557        -            207    0.0024   16.3   0.0   2   2     0.016       2.9    6.2   0.0   125   173   107   157    73   170 0.75 -
83433at50557_1507135_0:0010eb|STRG.17441.7:56-1051|-   -            296 104832at50557        -            207    0.0024   16.3   0.0   1   2    0.0037      0.67    8.3   0.0   127   166    30    67    25    91 0.82 -
83433at50557_1507135_0:0010eb|STRG.17441.7:56-1051|-   -            296 104832at50557        -            207    0.0024   16.3   0.0   2   2     0.016       2.9    6.2   0.0   125   173   107   157    73   170 0.75 -
83433at50557_13686_0:000d60|STRG.17441.2:603-1622|-    -            304 104832at50557        -            207    0.0026   16.2   0.0   1   2     0.004      0.71    8.2   0.0   127   166    30    67    25    90 0.82 -
83433at50557_13686_0:000d60|STRG.17441.2:603-1622|-    -            304 104832at50557        -            207    0.0026   16.2   0.0   2   2     0.016       2.9    6.2   0.0   125   173   107   157    71   171 0.75 -
83433at50557_156304_0:001c1d|STRG.17441.3:3196-4257|-  -            318 104832at50557        -            207    0.0029   16.0   0.0   1   2    0.0042      0.76    8.1   0.0   127   166    30    67    25    90 0.82 -
83433at50557_156304_0:001c1d|STRG.17441.3:3196-4257|-  -            318 104832at50557        -            207    0.0029   16.0   0.0   2   2     0.018       3.2    6.1   0.0   125   173   107   157    73   171 0.75 -
83433at50557_103372_0:0000fa|STRG.17441.1:270-1361|-   -            328 104832at50557        -            207    0.0031   15.9   0.0   1   2    0.0044       0.8    8.0   0.0   127   166    30    67    25    90 0.82 -
83433at50557_103372_0:0000fa|STRG.17441.1:270-1361|-   -            328 104832at50557        -            207    0.0031   15.9   0.0   2   2     0.018       3.3    6.0   0.0   125   173   107   157    71   171 0.75 -
83433at50557_286306_0:001317|STRG.17441.4:3001-4227|-  -            328 104832at50557        -            207    0.0032   15.9   0.0   1   2    0.0044       0.8    8.0   0.0   127   166    36    73    31    96 0.82 -
83433at50557_286306_0:001317|STRG.17441.4:3001-4227|-  -            328 104832at50557        -            207    0.0032   15.9   0.0   2   2     0.018       3.3    6.0   0.0   125   173   113   163    77   177 0.75 -
83433at50557_286306_0:001317|STRG.17441.5:3105-5015|-  -            353 104832at50557        -            207    0.0038   15.6   0.0   1   2    0.0049      0.89    7.9   0.0   127   166    36    73    31    96 0.82 -
83433at50557_286306_0:001317|STRG.17441.5:3105-5015|-  -            353 104832at50557        -            207    0.0038   15.6   0.0   2   2      0.02       3.7    5.9   0.0   125   173   113   163    77   177 0.75 -
117816at50557_121225_0:000cee|STRG.3372.1:27-530|+     -            168 104832at50557        -            207    0.0046   15.4   0.1   1   2    0.0081       1.5    7.2   0.0   114   167     4    69     1    88 0.70 -
117816at50557_121225_0:000cee|STRG.3372.1:27-530|+     -            168 104832at50557        -            207    0.0046   15.4   0.1   2   2    0.0098       1.8    6.9   0.0   141   166   132   157    77   168 0.80 -
49780at50557_13686_0:001eb7|STRG.15239.1:0-2315|+      -            772 104832at50557        -            207    0.0054   15.1   0.0   1   3      0.17        31    2.8   0.0   128   160   129   162   116   198 0.82 -
49780at50557_13686_0:001eb7|STRG.15239.1:0-2315|+      -            772 104832at50557        -            207    0.0054   15.1   0.0   2   3      0.86   1.5e+02    0.6   0.0   143   166   349   372   304   392 0.80 -
49780at50557_13686_0:001eb7|STRG.15239.1:0-2315|+      -            772 104832at50557        -            207    0.0054   15.1   0.0   3   3    0.0085       1.5    7.1   0.0   128   164   410   446   404   458 0.92 -
129956at50557_29053_0:00060a|STRG.14793.1:422-676|+    -             85 104832at50557        -            207     0.015   13.7   0.0   1   1   8.4e-05     0.015   13.7   0.0   128   178    24    77     6    85 0.69 -
129956at50557_29053_0:00060a|STRG.14793.2:422-676|+    -             85 104832at50557        -            207     0.015   13.7   0.0   1   1   8.4e-05     0.015   13.7   0.0   128   178    24    77     6    85 0.69 -
129956at50557_7159_0:0030fc|STRG.14535.1:291-530|+     -             80 104832at50557        -            207      0.02   13.3   0.0   1   1   0.00011      0.02   13.3   0.0   140   166    38    64     7    79 0.72 -
129956at50557_7536_0:0043e4|STRG.13011.2:2-355|+       -            118 104832at50557        -            207     0.029   12.7   0.0   1   1   0.00023     0.042   12.2   0.0   141   164    39    62     5    78 0.77 -
83433at50557_133901_0:001dd1|STRG.14793.1:149-670|+    -            174 104832at50557        -            207     0.031   12.7   0.0   1   2       1.8   3.2e+02   -0.4   0.0   137   153    34    52    13    65 0.67 -
83433at50557_133901_0:001dd1|STRG.14793.1:149-670|+    -            174 104832at50557        -            207     0.031   12.7   0.0   2   2   0.00073      0.13   10.6   0.0   128   177   115   167    92   173 0.71 -
83433at50557_133901_0:001dd1|STRG.14793.2:149-670|+    -            174 104832at50557        -            207     0.031   12.7   0.0   1   2       1.8   3.2e+02   -0.4   0.0   137   153    34    52    13    65 0.67 -
83433at50557_133901_0:001dd1|STRG.14793.2:149-670|+    -            174 104832at50557        -            207     0.031   12.7   0.0   2   2   0.00073      0.13   10.6   0.0   128   177   115   167    92   173 0.71 -
135254at50557_13249_0:000902|STRG.23921.1:159-374|+    -             72 104832at50557        -            207     0.043   12.2   0.1   1   1   0.00024     0.043   12.2   0.1   124   164    34    72    13    72 0.87 -
135254at50557_13249_0:000902|STRG.23921.2:159-374|+    -             72 104832at50557        -            207     0.043   12.2   0.1   1   1   0.00024     0.043   12.2   0.1   124   164    34    72    13    72 0.87 -
129956at50557_7176_0:003daf|STRG.21837.1:1399-1638|+   -             80 104832at50557        -            207     0.058   11.7   0.0   1   1   0.00032     0.058   11.7   0.0   140   165    38    63    10    79 0.80 -
129956at50557_64838_0:000c3c|STRG.24179.4:277-498|+    -             74 104832at50557        -            207     0.074   11.4   0.0   1   2       1.3   2.4e+02   -0.1   0.0    81   101     4    24     2    38 0.80 -
129956at50557_64838_0:000c3c|STRG.24179.4:277-498|+    -             74 104832at50557        -            207     0.074   11.4   0.0   2   2    0.0013      0.24    9.7   0.0   144   168    42    65    25    73 0.84 -
129956at50557_64838_0:000c3c|STRG.24179.5:766-987|+    -             74 104832at50557        -            207     0.074   11.4   0.0   1   2       1.3   2.4e+02   -0.1   0.0    81   101     4    24     2    38 0.80 -
129956at50557_64838_0:000c3c|STRG.24179.5:766-987|+    -             74 104832at50557        -            207     0.074   11.4   0.0   2   2    0.0013      0.24    9.7   0.0   144   168    42    65    25    73 0.84 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/justine/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/104832at50557.hmm
# Target file:     annotation_analysis/annotation_gca/T_cornetzi/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas
# Option settings: hmmsearch --domtblout annotation_analysis/annotation_gca/T_cornetzi/busco_output/run_insecta_odb10/hmmer_output/initial_run_results/104832at50557.out --cpu 1 /home/justine/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/104832at50557.hmm annotation_analysis/annotation_gca/T_cornetzi/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas 
# Current dir:     /home/justine/projet_tutore
# Date:            Sun Dec  1 22:14:09 2024
# [ok]
