#                                                                                                             --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                         accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                 ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
132744at50557_103372_0:0003f0|STRG.19418.1:266-637|+  -            124 132744at50557        -             95   4.6e-51  169.9   0.8   1   1   4.5e-53   1.7e-50  168.1   0.8     1    95    14   124    14   124 0.94 -
48837at50557_166423_0:0025f8|STRG.16707.1:1517-2209|+ -            231 132744at50557        -             95     0.012   14.8   0.0   1   1   4.7e-05     0.018   14.2   0.0    40    81    91   133    61   146 0.85 -
48837at50557_166423_0:0025f8|STRG.16707.2:1544-2236|+ -            231 132744at50557        -             95     0.012   14.8   0.0   1   1   4.7e-05     0.018   14.2   0.0    40    81    91   133    61   146 0.85 -
37657at50557_307658_0:001de5|STRG.5444.1:107-1756|+   -            550 132744at50557        -             95     0.042   13.0   0.0   1   1   0.00025     0.098   11.8   0.0    46    87   114   158    72   163 0.85 -
37657at50557_76194_0:0021a4|STRG.23608.1:2656-2958|+  -            101 132744at50557        -             95     0.071   12.3   0.0   1   1   0.00029      0.11   11.7   0.0    47    81    56    91    39   100 0.86 -
37657at50557_76194_0:0021a4|STRG.23608.2:2674-2976|+  -            101 132744at50557        -             95     0.071   12.3   0.0   1   1   0.00029      0.11   11.7   0.0    47    81    56    91    39   100 0.86 -
37657at50557_76194_0:0021a4|STRG.23608.3:1658-1960|+  -            101 132744at50557        -             95     0.071   12.3   0.0   1   1   0.00029      0.11   11.7   0.0    47    81    56    91    39   100 0.86 -
110125at50557_7539_0:00092e|STRG.10317.1:537-893|+    -            119 132744at50557        -             95     0.071   12.3   0.0   1   1   0.00027      0.11   11.7   0.0    43    88    18    66    11    72 0.83 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/justine/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/132744at50557.hmm
# Target file:     annotation_analysis/annotation_gca/T_cornetzi/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas
# Option settings: hmmsearch --domtblout annotation_analysis/annotation_gca/T_cornetzi/busco_output/run_insecta_odb10/hmmer_output/initial_run_results/132744at50557.out --cpu 1 /home/justine/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/132744at50557.hmm annotation_analysis/annotation_gca/T_cornetzi/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas 
# Current dir:     /home/justine/projet_tutore
# Date:            Sun Dec  1 22:14:58 2024
# [ok]
