#                                                                                                              --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                          accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                  ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
46658at50557_83485_0:000f8c|STRG.6283.3:0-1331|+       -            444 46658at50557         -            373    1e-239  793.8   1.4   1   1  1.2e-241  1.2e-239  793.6   1.4     1   373    30   428    30   428 0.97 -
35385at50557_37001_0:001231|STRG.6592.3:872-2179|+     -            436 46658at50557         -            373   2.2e-47  160.8   0.0   1   1   3.1e-49     3e-47  160.4   0.0    33   348    67   410    54   433 0.82 -
35385at50557_37001_0:001231|STRG.10460.1:335-1669|+    -            445 46658at50557         -            373   1.5e-46  158.1   0.0   1   1   2.1e-48   2.1e-46  157.6   0.0    25   339    51   397    36   427 0.82 -
65449at50557_7237_0:000776|STRG.16102.2:15-1172|+      -            386 46658at50557         -            373   3.2e-46  157.0   1.1   1   1   4.1e-48     4e-46  156.7   1.1    25   361     3   370     1   380 0.81 -
18450at50557_144034_0:001371|STRG.17485.1:176-3265|+   -           1030 46658at50557         -            373   4.8e-46  156.5   0.0   1   1   7.6e-48   7.4e-46  155.8   0.0    40   344   385   722   372   741 0.82 -
35385at50557_37001_0:001231|STRG.10460.2:335-2492|+    -            445 46658at50557         -            373   7.2e-46  155.9   0.0   1   1     1e-47     1e-45  155.4   0.0    25   339    51   397    36   427 0.82 -
35385at50557_37001_0:001231|STRG.10460.3:335-2492|+    -            445 46658at50557         -            373   7.2e-46  155.9   0.0   1   1     1e-47     1e-45  155.4   0.0    25   339    51   397    36   427 0.82 -
46658at50557_1155016_0:0008f1|STRG.17784.2:107-1146|+  -            318 46658at50557         -            373   1.2e-45  155.1   2.4   1   2   3.6e-29   3.5e-27   94.4   0.2    43   203     1   184     1   189 0.78 -
46658at50557_1155016_0:0008f1|STRG.17784.2:107-1146|+  -            318 46658at50557         -            373   1.2e-45  155.1   2.4   2   2   4.4e-19   4.3e-17   61.2   0.1   239   359   190   311   185   317 0.85 -
18450at50557_1155016_0:0026c2|STRG.18869.1:1193-2395|+ -            401 46658at50557         -            373   8.4e-44  149.1   0.0   1   1   1.2e-45   1.2e-43  148.5   0.0    24   339    14   370     8   390 0.79 -
35385at50557_35570_0:00290c|STRG.10294.1:998-2242|+    -            415 46658at50557         -            373   5.8e-43  146.3   0.0   1   2   8.5e-13   8.3e-11   40.5   0.0    25    87    11    73     7    78 0.90 -
35385at50557_35570_0:00290c|STRG.10294.1:998-2242|+    -            415 46658at50557         -            373   5.8e-43  146.3   0.0   2   2   4.8e-32   4.6e-30  103.8   0.0    91   351    95   385    86   403 0.81 -
29312at50557_116153_0:001f21|STRG.24001.1:453-1592|+   -            380 46658at50557         -            373   2.4e-42  144.3   0.2   1   1   2.9e-44   2.9e-42  144.0   0.2    25   358     2   367     1   379 0.82 -
65449at50557_174628_0:0019f8|STRG.12210.1:246-1213|+   -            312 46658at50557         -            373   2.9e-42  144.0   0.0   1   2   4.7e-20   4.6e-18   64.4   0.0    32   114     7    94     1   128 0.83 -
65449at50557_174628_0:0019f8|STRG.12210.1:246-1213|+   -            312 46658at50557         -            373   2.9e-42  144.0   0.0   2   2   2.7e-24   2.6e-22   78.3   0.0   173   347   128   305   101   310 0.91 -
65449at50557_7274_0:002e60|STRG.19083.1:290-1603|+     -            438 46658at50557         -            373   7.9e-42  142.6   0.2   1   1     1e-43     1e-41  142.2   0.2    26   353     2   361     1   380 0.83 -
65449at50557_7274_0:002e60|STRG.19083.2:408-1721|+     -            438 46658at50557         -            373   7.9e-42  142.6   0.2   1   1     1e-43     1e-41  142.2   0.2    26   353     2   361     1   380 0.83 -
29312at50557_34720_0:0009c1|STRG.1227.1:0-2300|+       -            767 46658at50557         -            373   2.1e-41  141.2   0.0   1   1   3.2e-43   3.1e-41  140.6   0.0    25   364   256   627   251   635 0.80 -
68043at50557_34720_0:001307|STRG.4770.1:0-1676|+       -            559 46658at50557         -            373   6.8e-41  139.5   0.0   1   1   1.2e-42   1.2e-40  138.7   0.0    27   356   138   500   130   512 0.81 -
35385at50557_37001_0:001231|STRG.20482.1:1294-2523|+   -            410 46658at50557         -            373   3.8e-39  133.7   0.1   1   2   7.4e-17   7.2e-15   53.8   0.1    31   175    27   199    19   204 0.73 -
35385at50557_37001_0:001231|STRG.20482.1:1294-2523|+   -            410 46658at50557         -            373   3.8e-39  133.7   0.1   2   2   5.3e-24   5.2e-22   77.3   0.0   173   347   225   400   215   409 0.90 -
35385at50557_37001_0:001231|STRG.20482.2:1242-2471|+   -            410 46658at50557         -            373   3.8e-39  133.7   0.1   1   2   7.4e-17   7.2e-15   53.8   0.1    31   175    27   199    19   204 0.73 -
35385at50557_37001_0:001231|STRG.20482.2:1242-2471|+   -            410 46658at50557         -            373   3.8e-39  133.7   0.1   2   2   5.3e-24   5.2e-22   77.3   0.0   173   347   225   400   215   409 0.90 -
35385at50557_37001_0:001231|STRG.20482.3:1242-2471|+   -            410 46658at50557         -            373   3.8e-39  133.7   0.1   1   2   7.4e-17   7.2e-15   53.8   0.1    31   175    27   199    19   204 0.73 -
35385at50557_37001_0:001231|STRG.20482.3:1242-2471|+   -            410 46658at50557         -            373   3.8e-39  133.7   0.1   2   2   5.3e-24   5.2e-22   77.3   0.0   173   347   225   400   215   409 0.90 -
35385at50557_37001_0:001231|STRG.20482.4:1242-2471|+   -            410 46658at50557         -            373   3.8e-39  133.7   0.1   1   2   7.4e-17   7.2e-15   53.8   0.1    31   175    27   199    19   204 0.73 -
35385at50557_37001_0:001231|STRG.20482.4:1242-2471|+   -            410 46658at50557         -            373   3.8e-39  133.7   0.1   2   2   5.3e-24   5.2e-22   77.3   0.0   173   347   225   400   215   409 0.90 -
65449at50557_34720_0:000b83|STRG.10112.1:2-1669|+      -            556 46658at50557         -            373   1.2e-38  132.1   0.2   1   1   1.6e-40   1.6e-38  131.7   0.2    52   366     2   353     1   359 0.81 -
65449at50557_34720_0:000b83|STRG.10112.3:2-1917|+      -            556 46658at50557         -            373   1.2e-38  132.1   0.2   1   1   1.6e-40   1.6e-38  131.7   0.2    52   366     2   353     1   359 0.81 -
35385at50557_37001_0:001231|STRG.10459.2:188-1380|+    -            360 46658at50557         -            373     2e-37  128.1   0.0   1   1     3e-39   2.9e-37  127.5   0.0    33   302    61   360    48   360 0.82 -
18450at50557_197043_0:00065e|STRG.16102.1:1090-2196|+  -            304 46658at50557         -            373   2.6e-37  127.7   0.5   1   2   2.3e-22   2.2e-20   72.0   0.0    25   170     4   169     2   181 0.76 -
18450at50557_197043_0:00065e|STRG.16102.1:1090-2196|+  -            304 46658at50557         -            373   2.6e-37  127.7   0.5   2   2   6.9e-17   6.8e-15   53.9   0.2   241   340   201   300   186   303 0.94 -
35385at50557_37001_0:001231|STRG.3703.4:296-1375|+     -            360 46658at50557         -            373   3.6e-36  123.9   0.0   1   1   5.7e-38   5.6e-36  123.3   0.0    25   302    51   360    46   360 0.82 -
35385at50557_37001_0:001231|STRG.3703.5:236-1315|+     -            360 46658at50557         -            373   3.6e-36  123.9   0.0   1   1   5.7e-38   5.6e-36  123.3   0.0    25   302    51   360    46   360 0.82 -
41619at50557_34720_0:0004fb|STRG.3402.1:90-1721|+      -            544 46658at50557         -            373   1.1e-32  112.5   3.5   1   1   6.7e-33   6.5e-31  106.6   3.5    22   358    11   401     4   413 0.79 -
41619at50557_34720_0:0004fb|STRG.3402.2:90-1955|+      -            544 46658at50557         -            373   1.1e-32  112.5   3.5   1   1   6.7e-33   6.5e-31  106.6   3.5    22   358    11   401     4   413 0.79 -
41619at50557_34720_0:0004fb|STRG.3402.3:90-2170|+      -            544 46658at50557         -            373   1.1e-32  112.5   3.5   1   1   6.7e-33   6.5e-31  106.6   3.5    22   358    11   401     4   413 0.79 -
25910at50557_103372_0:001a63|STRG.12378.1:114-2363|+   -            728 46658at50557         -            373   1.8e-30  105.2   0.8   1   3   4.5e-12   4.4e-10   38.1   0.0    24    90     3    69     1    99 0.94 -
25910at50557_103372_0:001a63|STRG.12378.1:114-2363|+   -            728 46658at50557         -            373   1.8e-30  105.2   0.8   2   3   9.6e-08   9.4e-06   23.8   0.1    85   204   283   431   278   455 0.70 -
25910at50557_103372_0:001a63|STRG.12378.1:114-2363|+   -            728 46658at50557         -            373   1.8e-30  105.2   0.8   3   3   1.2e-12   1.2e-10   40.0   0.0   236   341   503   611   491   620 0.88 -
25910at50557_103372_0:001a63|STRG.12378.2:114-2297|+   -            728 46658at50557         -            373   1.8e-30  105.2   0.8   1   3   4.5e-12   4.4e-10   38.1   0.0    24    90     3    69     1    99 0.94 -
25910at50557_103372_0:001a63|STRG.12378.2:114-2297|+   -            728 46658at50557         -            373   1.8e-30  105.2   0.8   2   3   9.6e-08   9.4e-06   23.8   0.1    85   204   283   431   278   455 0.70 -
25910at50557_103372_0:001a63|STRG.12378.2:114-2297|+   -            728 46658at50557         -            373   1.8e-30  105.2   0.8   3   3   1.2e-12   1.2e-10   40.0   0.0   236   341   503   611   491   620 0.88 -
35385at50557_88501_0:000e58|STRG.24363.1:1-930|+       -            310 46658at50557         -            373   5.9e-30  103.5   0.2   1   1   7.6e-32   7.4e-30  103.2   0.2   130   341     5   223     2   249 0.87 -
65449at50557_42026_0:002fbc|STRG.7438.1:1334-3142|+    -            603 46658at50557         -            373     7e-30  103.3   0.3   1   2   3.4e-18   3.3e-16   58.2   0.0    42   173     4   162     1   167 0.72 -
65449at50557_42026_0:002fbc|STRG.7438.1:1334-3142|+    -            603 46658at50557         -            373     7e-30  103.3   0.3   2   2   2.1e-13     2e-11   42.5   0.0   266   361   400   495   394   507 0.87 -
25910at50557_103372_0:001a63|STRG.12378.3:3-2177|+     -            725 46658at50557         -            373   1.4e-29  102.3   0.8   1   3   3.4e-11   3.3e-09   35.2   0.0    36    90    12    66     1    96 0.90 -
25910at50557_103372_0:001a63|STRG.12378.3:3-2177|+     -            725 46658at50557         -            373   1.4e-29  102.3   0.8   2   3   9.5e-08   9.3e-06   23.9   0.1    85   204   280   428   275   452 0.70 -
25910at50557_103372_0:001a63|STRG.12378.3:3-2177|+     -            725 46658at50557         -            373   1.4e-29  102.3   0.8   3   3   1.2e-12   1.2e-10   40.0   0.0   236   341   500   608   488   617 0.88 -
43304at50557_34720_0:00174e|STRG.8305.1:74-2281|+      -            736 46658at50557         -            373   7.7e-24   83.4   2.4   1   3   2.3e-06   0.00022   19.3   0.0    37    87   154   205   129   247 0.87 -
43304at50557_34720_0:00174e|STRG.8305.1:74-2281|+      -            736 46658at50557         -            373   7.7e-24   83.4   2.4   2   3   0.00016     0.016   13.2   0.1    90   184   257   379   249   401 0.63 -
43304at50557_34720_0:00174e|STRG.8305.1:74-2281|+      -            736 46658at50557         -            373   7.7e-24   83.4   2.4   3   3   1.8e-15   1.8e-13   49.3   0.2   233   343   456   566   409   598 0.87 -
43304at50557_34720_0:00174e|STRG.8305.2:0-2207|+       -            736 46658at50557         -            373   7.7e-24   83.4   2.4   1   3   2.3e-06   0.00022   19.3   0.0    37    87   154   205   129   247 0.87 -
43304at50557_34720_0:00174e|STRG.8305.2:0-2207|+       -            736 46658at50557         -            373   7.7e-24   83.4   2.4   2   3   0.00016     0.016   13.2   0.1    90   184   257   379   249   401 0.63 -
43304at50557_34720_0:00174e|STRG.8305.2:0-2207|+       -            736 46658at50557         -            373   7.7e-24   83.4   2.4   3   3   1.8e-15   1.8e-13   49.3   0.2   233   343   456   566   409   598 0.87 -
123578at50557_7168_0:0013fb|STRG.13638.1:408-1772|+    -            455 46658at50557         -            373   1.2e-23   82.8   0.4   1   1   1.8e-25   1.8e-23   82.2   0.4    18   353    67   451    54   455 0.76 -
65449at50557_103372_0:002499|STRG.10112.4:2-583|+      -            194 46658at50557         -            373   2.5e-22   78.4   0.2   1   1   3.2e-24   3.1e-22   78.1   0.2    52   206     2   187     1   192 0.77 -
29312at50557_29031_0:001a6d|STRG.12210.1:641-1189|+    -            183 46658at50557         -            373   1.1e-21   76.3   0.0   1   1   1.3e-23   1.3e-21   76.0   0.0   175   344     9   181     6   183 0.92 -
57791at50557_34720_0:001e64|STRG.11632.1:76-2064|+     -            663 46658at50557         -            373     2e-20   72.1   0.4   1   2   1.1e-05     0.001   17.1   0.1    61   118   238   299   232   368 0.71 -
57791at50557_34720_0:001e64|STRG.11632.1:76-2064|+     -            663 46658at50557         -            373     2e-20   72.1   0.4   2   2   6.1e-16     6e-14   50.8   0.0   238   366   478   608   463   615 0.81 -
57791at50557_34720_0:001e64|STRG.11632.2:0-1988|+      -            663 46658at50557         -            373     2e-20   72.1   0.4   1   2   1.1e-05     0.001   17.1   0.1    61   118   238   299   232   368 0.71 -
57791at50557_34720_0:001e64|STRG.11632.2:0-1988|+      -            663 46658at50557         -            373     2e-20   72.1   0.4   2   2   6.1e-16     6e-14   50.8   0.0   238   366   478   608   463   615 0.81 -
46658at50557_56086_0:000311|STRG.13047.1:177-671|+     -            165 46658at50557         -            373   6.1e-20   70.5   0.1   1   1   6.7e-22   6.6e-20   70.4   0.1    11   147     3   154     1   165 0.79 -
29312at50557_34720_0:0009c1|STRG.1227.2:255-1672|+     -            418 46658at50557         -            373   2.6e-18   65.2   0.0   1   1   3.8e-20   3.7e-18   64.7   0.0    25   161   256   416   251   418 0.75 -
35385at50557_1155016_0:002498|STRG.17784.2:700-1089|+  -            130 46658at50557         -            373   1.3e-17   62.8   0.2   1   1   1.5e-19   1.5e-17   62.7   0.2   225   341    11   123     3   130 0.86 -
68043at50557_197043_0:0006b9|STRG.19083.3:167-607|+    -            147 46658at50557         -            373   1.2e-14   53.1   0.0   1   1   1.5e-16   1.5e-14   52.8   0.0    10   106    29   130    20   144 0.83 -
35385at50557_1155016_0:002498|STRG.10628.1:160-534|+   -            125 46658at50557         -            373   2.7e-14   52.0   0.0   1   1   2.9e-16   2.8e-14   51.9   0.0   242   348     2   106     1   124 0.86 -
35385at50557_1155016_0:002498|STRG.10628.2:39-404|+    -            122 46658at50557         -            373     3e-14   51.8   0.0   1   1   3.4e-16   3.3e-14   51.7   0.0   242   347     2   105     1   119 0.87 -
35385at50557_1155016_0:002498|STRG.10628.3:160-525|+   -            122 46658at50557         -            373     3e-14   51.8   0.0   1   1   3.4e-16   3.3e-14   51.7   0.0   242   347     2   105     1   119 0.87 -
35385at50557_1155016_0:002498|STRG.10628.4:39-404|+    -            122 46658at50557         -            373     3e-14   51.8   0.0   1   1   3.4e-16   3.3e-14   51.7   0.0   242   347     2   105     1   119 0.87 -
29312at50557_29031_0:001a6d|STRG.11872.1:181-730|+     -            178 46658at50557         -            373   3.9e-14   51.4   0.1   1   1   4.3e-16   4.2e-14   51.3   0.1   149   318     3   176     1   178 0.88 -
65449at50557_34720_0:000b83|STRG.10112.2:326-1258|+    -            311 46658at50557         -            373   1.1e-12   46.6   0.0   1   1   1.8e-14   1.7e-12   46.0   0.0   268   366    10   108     5   114 0.88 -
29312at50557_29031_0:001a6d|STRG.11872.2:2-530|+       -            171 46658at50557         -            373   4.7e-12   44.6   0.0   1   1     5e-14   4.9e-12   44.5   0.0   174   318    19   169     1   171 0.85 -
19244at50557_29053_0:002948|STRG.9934.1:1760-2947|+    -            396 46658at50557         -            373   2.8e-09   35.4   1.6   1   2      0.18        18    3.2   0.0    48   111     9    69     3    90 0.86 -
19244at50557_29053_0:002948|STRG.9934.1:1760-2947|+    -            396 46658at50557         -            373   2.8e-09   35.4   1.6   2   2   6.8e-10   6.7e-08   30.9   0.7   230   366   219   356   202   362 0.86 -
19244at50557_29053_0:002948|STRG.9934.2:1566-2753|+    -            396 46658at50557         -            373   2.8e-09   35.4   1.6   1   2      0.18        18    3.2   0.0    48   111     9    69     3    90 0.86 -
19244at50557_29053_0:002948|STRG.9934.2:1566-2753|+    -            396 46658at50557         -            373   2.8e-09   35.4   1.6   2   2   6.8e-10   6.7e-08   30.9   0.7   230   366   219   356   202   362 0.86 -
19244at50557_29053_0:002948|STRG.9934.3:1539-2726|+    -            396 46658at50557         -            373   2.8e-09   35.4   1.6   1   2      0.18        18    3.2   0.0    48   111     9    69     3    90 0.86 -
19244at50557_29053_0:002948|STRG.9934.3:1539-2726|+    -            396 46658at50557         -            373   2.8e-09   35.4   1.6   2   2   6.8e-10   6.7e-08   30.9   0.7   230   366   219   356   202   362 0.86 -
19244at50557_116153_0:001e22|STRG.5665.1:3-1052|+      -            350 46658at50557         -            373   4.6e-08   31.5   0.1   1   2      0.36        35    2.2   0.0    50   116    20    82     9   106 0.74 -
19244at50557_116153_0:001e22|STRG.5665.1:3-1052|+      -            350 46658at50557         -            373   4.6e-08   31.5   0.1   2   2   1.3e-08   1.2e-06   26.8   0.0   237   334   246   343   125   349 0.82 -
19244at50557_116153_0:001e22|STRG.5665.2:222-1193|+    -            324 46658at50557         -            373   3.3e-07   28.6   0.1   1   2       8.9   8.6e+02   -2.4   0.0    61   115     5    55     2    76 0.63 -
19244at50557_116153_0:001e22|STRG.5665.2:222-1193|+    -            324 46658at50557         -            373   3.3e-07   28.6   0.1   2   2     1e-08     1e-06   27.0   0.1   237   334   220   317    99   323 0.81 -
19244at50557_116153_0:001e22|STRG.3397.3:318-1253|+    -            312 46658at50557         -            373   1.4e-06   26.6   0.4   1   2         5   4.9e+02   -1.5   0.0   166   210    72   116    10   122 0.64 -
19244at50557_116153_0:001e22|STRG.3397.3:318-1253|+    -            312 46658at50557         -            373   1.4e-06   26.6   0.4   2   2     3e-08     3e-06   25.5   0.1   230   337   204   311   183   312 0.88 -
19244at50557_34720_0:002014|STRG.595.1:0-4565|+        -           1522 46658at50557         -            373   3.5e-06   25.3   0.4   1   2    0.0053      0.52    8.2   0.0    44   139   827   924   816   934 0.84 -
19244at50557_34720_0:002014|STRG.595.1:0-4565|+        -           1522 46658at50557         -            373   3.5e-06   25.3   0.4   2   2   5.7e-05    0.0055   14.7   0.1   267   333  1096  1162  1084  1203 0.81 -
65449at50557_42026_0:002fbc|STRG.12646.3:220-1631|+    -            351 46658at50557         -            373   0.00027   19.0   0.0   1   2   9.8e-05    0.0096   13.9   0.0    37   113    20   103     7   153 0.80 -
65449at50557_42026_0:002fbc|STRG.12646.3:220-1631|+    -            351 46658at50557         -            373   0.00027   19.0   0.0   2   2       1.5   1.5e+02    0.1   0.0   307   334   199   226   182   249 0.81 -
65449at50557_42026_0:002fbc|STRG.12646.5:292-1703|+    -            351 46658at50557         -            373   0.00027   19.0   0.0   1   2   9.8e-05    0.0096   13.9   0.0    37   113    20   103     7   153 0.80 -
65449at50557_42026_0:002fbc|STRG.12646.5:292-1703|+    -            351 46658at50557         -            373   0.00027   19.0   0.0   2   2       1.5   1.5e+02    0.1   0.0   307   334   199   226   182   249 0.81 -
65449at50557_7220_0:002055|STRG.12646.6:98-1509|+      -            351 46658at50557         -            373   0.00027   19.0   0.0   1   2   9.8e-05    0.0096   13.9   0.0    37   113    20   103     7   153 0.80 -
65449at50557_7220_0:002055|STRG.12646.6:98-1509|+      -            351 46658at50557         -            373   0.00027   19.0   0.0   2   2       1.5   1.5e+02    0.1   0.0   307   334   199   226   182   249 0.81 -
101190at50557_166361_0:00062e|STRG.2320.1:90-647|+     -            186 46658at50557         -            373     0.019   13.0   0.0   1   2       9.6   9.3e+02   -2.5   0.0   257   278    37    58    28    65 0.73 -
101190at50557_166361_0:00062e|STRG.2320.1:90-647|+     -            186 46658at50557         -            373     0.019   13.0   0.0   2   2    0.0004     0.039   11.9   0.0    17    57    76   118    69   138 0.84 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/justine/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/46658at50557.hmm
# Target file:     annotation_analysis/annotation_gca/T_cornetzi/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas
# Option settings: hmmsearch --domtblout annotation_analysis/annotation_gca/T_cornetzi/busco_output/run_insecta_odb10/hmmer_output/initial_run_results/46658at50557.out --cpu 1 /home/justine/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/46658at50557.hmm annotation_analysis/annotation_gca/T_cornetzi/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas 
# Current dir:     /home/justine/projet_tutore
# Date:            Sun Dec  1 22:17:40 2024
# [ok]
