#                                                                                                             --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                         accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                 ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
40260at50557_56086_0:002a93|STRG.7556.1:17-319|-      -            101 40260at50557         -            408   3.4e-62  209.7   3.2   1   1     2e-64   3.7e-62  209.5   3.2   240   338     1    99     1   101 0.98 -
26432at50557_1507135_0:0025ae|STRG.18997.1:193-570|+  -            126 40260at50557         -            408   1.1e-05   23.5   7.1   1   2   1.6e-05    0.0029   15.6   2.3   160   220    14    74     4    82 0.71 -
26432at50557_1507135_0:0025ae|STRG.18997.1:193-570|+  -            126 40260at50557         -            408   1.1e-05   23.5   7.1   2   2   0.00038     0.069   11.0   1.1    11    46    77   111    69   126 0.61 -
26432at50557_1507135_0:0025ae|STRG.18997.3:115-438|+  -            108 40260at50557         -            408   2.2e-05   22.5   6.5   1   2     3e-05    0.0054   14.7   0.6   174   219    12    55     1    58 0.52 -
26432at50557_1507135_0:0025ae|STRG.18997.3:115-438|+  -            108 40260at50557         -            408   2.2e-05   22.5   6.5   2   2   0.00022      0.04   11.8   0.9    10    46    58    93    49   108 0.62 -
26432at50557_2015173_0:000a04|STRG.8721.4:14-1816|+   -            601 40260at50557         -            408   2.9e-05   22.2  25.5   1   4    0.0005     0.091   10.7   0.2    10    61   234   284   217   299 0.70 -
26432at50557_2015173_0:000a04|STRG.8721.4:14-1816|+   -            601 40260at50557         -            408   2.9e-05   22.2  25.5   2   4     0.038       6.8    4.5   1.3   280   324   441   486   418   488 0.66 -
26432at50557_2015173_0:000a04|STRG.8721.4:14-1816|+   -            601 40260at50557         -            408   2.9e-05   22.2  25.5   3   4    0.0083       1.5    6.6   6.0     8    72   485   548   480   551 0.79 -
26432at50557_2015173_0:000a04|STRG.8721.4:14-1816|+   -            601 40260at50557         -            408   2.9e-05   22.2  25.5   4   4   4.5e-05    0.0081   14.1   2.4     8    63   544   599   537   601 0.83 -
26432at50557_2015173_0:000a04|STRG.8721.2:379-2283|+  -            635 40260at50557         -            408   3.7e-05   21.8  25.5   1   4   0.00054     0.098   10.5   0.2    10    61   268   318   251   333 0.70 -
26432at50557_2015173_0:000a04|STRG.8721.2:379-2283|+  -            635 40260at50557         -            408   3.7e-05   21.8  25.5   2   4      0.04       7.1    4.4   1.3   280   324   475   520   452   522 0.66 -
26432at50557_2015173_0:000a04|STRG.8721.2:379-2283|+  -            635 40260at50557         -            408   3.7e-05   21.8  25.5   3   4     0.014       2.4    5.9   5.9     9    72   520   582   517   585 0.80 -
26432at50557_2015173_0:000a04|STRG.8721.2:379-2283|+  -            635 40260at50557         -            408   3.7e-05   21.8  25.5   4   4   4.8e-05    0.0087   14.0   2.4     8    63   578   633   571   635 0.83 -
26432at50557_2015173_0:000a04|STRG.8721.5:277-1584|+  -            436 40260at50557         -            408   5.1e-05   21.4  28.0   1   4   0.00083      0.15    9.9   0.9    11    61     6    55     2    70 0.70 -
26432at50557_2015173_0:000a04|STRG.8721.5:277-1584|+  -            436 40260at50557         -            408   5.1e-05   21.4  28.0   2   4     0.026       4.6    5.0   1.2   280   324   276   321   259   323 0.66 -
26432at50557_2015173_0:000a04|STRG.8721.5:277-1584|+  -            436 40260at50557         -            408   5.1e-05   21.4  28.0   3   4    0.0043      0.77    7.6   5.2     9    73   321   384   319   388 0.81 -
26432at50557_2015173_0:000a04|STRG.8721.5:277-1584|+  -            436 40260at50557         -            408   5.1e-05   21.4  28.0   4   4   2.9e-05    0.0052   14.7   2.3     8    63   379   434   372   436 0.83 -
40260at50557_315563_0:002def|STRG.9289.1:713-1453|+   -            247 40260at50557         -            408   8.6e-05   20.6  31.3   1   2   9.7e-07   0.00017   19.6  26.2    30   222    13   194     4   204 0.79 -
40260at50557_315563_0:002def|STRG.9289.1:713-1453|+   -            247 40260at50557         -            408   8.6e-05   20.6  31.3   2   2      0.35        63    1.3   0.9    10    42   194   226   193   238 0.73 -
40260at50557_315563_0:002def|STRG.9289.4:713-1453|+   -            247 40260at50557         -            408   8.6e-05   20.6  31.3   1   2   9.7e-07   0.00017   19.6  26.2    30   222    13   194     4   204 0.79 -
40260at50557_315563_0:002def|STRG.9289.4:713-1453|+   -            247 40260at50557         -            408   8.6e-05   20.6  31.3   2   2      0.35        63    1.3   0.9    10    42   194   226   193   238 0.73 -
40260at50557_315563_0:002def|STRG.9289.6:713-1453|+   -            247 40260at50557         -            408   8.6e-05   20.6  31.3   1   2   9.7e-07   0.00017   19.6  26.2    30   222    13   194     4   204 0.79 -
40260at50557_315563_0:002def|STRG.9289.6:713-1453|+   -            247 40260at50557         -            408   8.6e-05   20.6  31.3   2   2      0.35        63    1.3   0.9    10    42   194   226   193   238 0.73 -
40260at50557_315563_0:002def|STRG.9289.8:713-1453|+   -            247 40260at50557         -            408   8.6e-05   20.6  31.3   1   2   9.7e-07   0.00017   19.6  26.2    30   222    13   194     4   204 0.79 -
40260at50557_315563_0:002def|STRG.9289.8:713-1453|+   -            247 40260at50557         -            408   8.6e-05   20.6  31.3   2   2      0.35        63    1.3   0.9    10    42   194   226   193   238 0.73 -
40260at50557_315563_0:002def|STRG.9289.7:160-918|+    -            253 40260at50557         -            408   0.00023   19.2  34.4   1   2   2.5e-06   0.00045   18.2  29.5    11   221     1   199     1   204 0.78 -
40260at50557_315563_0:002def|STRG.9289.7:160-918|+    -            253 40260at50557         -            408   0.00023   19.2  34.4   2   2      0.34        61    1.3   1.0    10    42   200   232   198   242 0.72 -
40260at50557_315563_0:002def|STRG.9289.9:160-918|+    -            253 40260at50557         -            408   0.00023   19.2  34.4   1   2   2.5e-06   0.00045   18.2  29.5    11   221     1   199     1   204 0.78 -
40260at50557_315563_0:002def|STRG.9289.9:160-918|+    -            253 40260at50557         -            408   0.00023   19.2  34.4   2   2      0.34        61    1.3   1.0    10    42   200   232   198   242 0.72 -
40260at50557_77166_0:00128c|STRG.9289.2:160-918|+     -            253 40260at50557         -            408   0.00023   19.2  34.4   1   2   2.5e-06   0.00045   18.2  29.5    11   221     1   199     1   204 0.78 -
40260at50557_77166_0:00128c|STRG.9289.2:160-918|+     -            253 40260at50557         -            408   0.00023   19.2  34.4   2   2      0.34        61    1.3   1.0    10    42   200   232   198   242 0.72 -
40260at50557_77166_0:00128c|STRG.9289.5:160-918|+     -            253 40260at50557         -            408   0.00023   19.2  34.4   1   2   2.5e-06   0.00045   18.2  29.5    11   221     1   199     1   204 0.78 -
40260at50557_77166_0:00128c|STRG.9289.5:160-918|+     -            253 40260at50557         -            408   0.00023   19.2  34.4   2   2      0.34        61    1.3   1.0    10    42   200   232   198   242 0.72 -
26432at50557_29031_0:002738|STRG.11410.1:6-428|+      -            141 40260at50557         -            408   0.00046   18.2   2.4   1   2   2.5e-06   0.00046   18.2   2.4     8    66    27    85    20    88 0.80 -
26432at50557_29031_0:002738|STRG.11410.1:6-428|+      -            141 40260at50557         -            408   0.00046   18.2   2.4   2   2     0.026       4.7    5.0   1.6   263   298    88   126    82   132 0.56 -
65449at50557_88501_0:00074b|STRG.10111.2:756-3337|+   -            837 40260at50557         -            408    0.0035   15.3  23.8   1   3   0.00056       0.1   10.5   2.0     7    59   649   705   643   714 0.69 -
65449at50557_88501_0:00074b|STRG.10111.2:756-3337|+   -            837 40260at50557         -            408    0.0035   15.3  23.8   2   3   7.9e-05     0.014   13.3   2.7   162   219   718   774   697   777 0.68 -
65449at50557_88501_0:00074b|STRG.10111.2:756-3337|+   -            837 40260at50557         -            408    0.0035   15.3  23.8   3   3       1.1     2e+02   -0.3   7.7    10    62   777   833   769   837 0.50 -
65449at50557_88501_0:00074b|STRG.10111.1:643-3150|+   -            836 40260at50557         -            408    0.0041   15.1  23.8   1   3   0.00056       0.1   10.5   2.0     7    59   648   704   642   713 0.69 -
65449at50557_88501_0:00074b|STRG.10111.1:643-3150|+   -            836 40260at50557         -            408    0.0041   15.1  23.8   2   3   7.9e-05     0.014   13.3   2.7   162   219   717   773   696   776 0.68 -
65449at50557_88501_0:00074b|STRG.10111.1:643-3150|+   -            836 40260at50557         -            408    0.0041   15.1  23.8   3   3       1.1     2e+02   -0.3   7.7    10    62   776   832   768   836 0.50 -
26432at50557_132113_0:002b60|STRG.8721.1:379-1683|+   -            435 40260at50557         -            408     0.035   12.0   0.2   1   1   0.00032     0.058   11.3   0.2    10    61   268   318   251   333 0.70 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/justine/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/40260at50557.hmm
# Target file:     annotation_analysis/annotation_gca/T_cornetzi/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas
# Option settings: hmmsearch --domtblout annotation_analysis/annotation_gca/T_cornetzi/busco_output/run_insecta_odb10/hmmer_output/initial_run_results/40260at50557.out --cpu 1 /home/justine/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/40260at50557.hmm annotation_analysis/annotation_gca/T_cornetzi/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas 
# Current dir:     /home/justine/projet_tutore
# Date:            Sun Dec  1 22:17:14 2024
# [ok]
