#                                                                                                             --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                         accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                 ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
119132at50557_103372_0:001108|STRG.13750.1:35-1220|+  -            283 119132at50557        -            257   1.6e-88  295.1   3.4   1   1   4.8e-89     2e-87  291.5   3.4    35   256    22   283    17   283 0.87 -
40115at50557_1629725_0:001335|STRG.17179.2:621-1424|+ -            268 119132at50557        -            257   1.1e-14   53.2  10.5   4   5   1.3e-08   5.7e-07   27.9   0.1    84   136   165   222   160   245 0.86 -
40115at50557_1629725_0:001335|STRG.17179.2:621-1424|+ -            268 119132at50557        -            257   1.1e-14   53.2  10.5   5   5       1.3        54    1.8   0.1   117   133   252   268   228   268 0.72 -
57752at50557_103372_0:000c5a|STRG.2014.2:0-1361|+     -            454 119132at50557        -            257   5.7e-14   50.8   1.2   1   5       2.7   1.1e+02    0.7   0.0   121   144   160   183   135   190 0.58 -
57752at50557_103372_0:000c5a|STRG.2014.2:0-1361|+     -            454 119132at50557        -            257   5.7e-14   50.8   1.2   2   5   0.00089     0.038   12.1   0.1    86   139   160   220   153   225 0.84 -
57752at50557_103372_0:000c5a|STRG.2014.2:0-1361|+     -            454 119132at50557        -            257   5.7e-14   50.8   1.2   3   5   4.3e-06   0.00018   19.7   0.2    88   143   203   266   198   273 0.82 -
57752at50557_103372_0:000c5a|STRG.2014.2:0-1361|+     -            454 119132at50557        -            257   5.7e-14   50.8   1.2   4   5     0.054       2.3    6.3   0.0   107   143   265   308   262   316 0.74 -
57752at50557_103372_0:000c5a|STRG.2014.2:0-1361|+     -            454 119132at50557        -            257   5.7e-14   50.8   1.2   5   5   3.9e-06   0.00017   19.8   0.0    85   148   326   395   322   430 0.85 -
57752at50557_103372_0:000c5a|STRG.2014.1:555-1919|+   -            455 119132at50557        -            257   5.8e-14   50.8   1.2   1   5       2.7   1.1e+02    0.7   0.0   121   144   161   184   136   191 0.58 -
57752at50557_103372_0:000c5a|STRG.2014.1:555-1919|+   -            455 119132at50557        -            257   5.8e-14   50.8   1.2   2   5   0.00089     0.038   12.1   0.1    86   139   161   221   154   226 0.84 -
57752at50557_103372_0:000c5a|STRG.2014.1:555-1919|+   -            455 119132at50557        -            257   5.8e-14   50.8   1.2   3   5   4.3e-06   0.00018   19.7   0.2    88   143   204   267   199   274 0.82 -
57752at50557_103372_0:000c5a|STRG.2014.1:555-1919|+   -            455 119132at50557        -            257   5.8e-14   50.8   1.2   4   5     0.055       2.3    6.2   0.0   107   143   266   309   263   317 0.74 -
57752at50557_103372_0:000c5a|STRG.2014.1:555-1919|+   -            455 119132at50557        -            257   5.8e-14   50.8   1.2   5   5     4e-06   0.00017   19.8   0.0    85   148   327   396   323   431 0.85 -
43553at50557_319348_0:003bc4|STRG.10646.2:527-1252|+  -            242 119132at50557        -            257   1.2e-11   43.2   1.8   1   4      0.12       5.2    5.1   0.0     5    35     1    31     1    51 0.81 -
43553at50557_319348_0:003bc4|STRG.10646.2:527-1252|+  -            242 119132at50557        -            257   1.2e-11   43.2   1.8   2   4   4.2e-05    0.0018   16.5   0.0    85   141    60   123    57   133 0.89 -
43553at50557_319348_0:003bc4|STRG.10646.2:527-1252|+  -            242 119132at50557        -            257   1.2e-11   43.2   1.8   3   4    0.0018     0.076   11.1   0.0   121   146   145   170   142   178 0.89 -
43553at50557_319348_0:003bc4|STRG.10646.2:527-1252|+  -            242 119132at50557        -            257   1.2e-11   43.2   1.8   4   4     0.034       1.4    6.9   0.2    84   132   187   242   182   242 0.76 -
40115at50557_29053_0:0017ce|STRG.10646.3:162-1034|+   -            291 119132at50557        -            257   1.8e-11   42.6   5.5   1   5       1.2        51    1.8   0.1   120   143    20    43     4    46 0.83 -
40115at50557_29053_0:0017ce|STRG.10646.3:162-1034|+   -            291 119132at50557        -            257   1.8e-11   42.6   5.5   2   5     0.085       3.6    5.6   0.0     5    34    50    79    45    99 0.82 -
40115at50557_29053_0:0017ce|STRG.10646.3:162-1034|+   -            291 119132at50557        -            257   1.8e-11   42.6   5.5   3   5   5.8e-05    0.0024   16.0   0.0    85   141   109   172   106   182 0.89 -
40115at50557_29053_0:0017ce|STRG.10646.3:162-1034|+   -            291 119132at50557        -            257   1.8e-11   42.6   5.5   4   5    0.0023     0.098   10.7   0.0   121   146   194   219   191   227 0.89 -
40115at50557_29053_0:0017ce|STRG.10646.3:162-1034|+   -            291 119132at50557        -            257   1.8e-11   42.6   5.5   5   5     0.046       1.9    6.5   0.2    84   132   236   291   231   291 0.76 -
43553at50557_136037_0:001d49|STRG.10646.1:84-893|+    -            270 119132at50557        -            257   3.3e-11   41.8   4.9   1   5         6   2.5e+02   -0.4   0.1   123   143     2    22     1    27 0.84 -
43553at50557_136037_0:001d49|STRG.10646.1:84-893|+    -            270 119132at50557        -            257   3.3e-11   41.8   4.9   2   5     0.077       3.3    5.8   0.0     5    35    29    59    25    78 0.82 -
43553at50557_136037_0:001d49|STRG.10646.1:84-893|+    -            270 119132at50557        -            257   3.3e-11   41.8   4.9   3   5   5.1e-05    0.0021   16.2   0.0    85   141    88   151    85   161 0.89 -
43553at50557_136037_0:001d49|STRG.10646.1:84-893|+    -            270 119132at50557        -            257   3.3e-11   41.8   4.9   4   5    0.0021     0.088   10.9   0.0   121   146   173   198   170   206 0.89 -
43553at50557_136037_0:001d49|STRG.10646.1:84-893|+    -            270 119132at50557        -            257   3.3e-11   41.8   4.9   5   5     0.041       1.7    6.7   0.2    84   132   215   270   210   270 0.76 -
57752at50557_69319_0:000ee5|STRG.11571.1:79-882|+     -            268 119132at50557        -            257   4.9e-11   41.2   3.4   1   4   2.1e-05   0.00087   17.5   0.1    85   138    45   105    33   111 0.84 -
57752at50557_69319_0:000ee5|STRG.11571.1:79-882|+     -            268 119132at50557        -            257   4.9e-11   41.2   3.4   2   4     0.018      0.77    7.8   0.1    90   140    92   151    86   158 0.74 -
57752at50557_69319_0:000ee5|STRG.11571.1:79-882|+     -            268 119132at50557        -            257   4.9e-11   41.2   3.4   3   4    0.0024       0.1   10.7   0.2    83   143   129   198   114   208 0.74 -
57752at50557_69319_0:000ee5|STRG.11571.1:79-882|+     -            268 119132at50557        -            257   4.9e-11   41.2   3.4   4   4   3.1e-05    0.0013   16.9   0.1    85   140   175   237   171   248 0.80 -
49370at50557_2015173_0:001990|STRG.14034.2:465-1451|+ -            329 119132at50557        -            257   5.5e-11   41.1   1.5   1   5     0.054       2.3    6.3   0.1   119   143    55    79     7   102 0.78 -
49370at50557_2015173_0:001990|STRG.14034.2:465-1451|+ -            329 119132at50557        -            257   5.5e-11   41.1   1.5   2   5     0.034       1.4    6.9   0.1    89   137   100   161    96   165 0.71 -
49370at50557_2015173_0:001990|STRG.14034.2:465-1451|+ -            329 119132at50557        -            257   5.5e-11   41.1   1.5   3   5   0.00042     0.018   13.2   0.0    85   135   144   203   137   203 0.82 -
49370at50557_2015173_0:001990|STRG.14034.2:465-1451|+ -            329 119132at50557        -            257   5.5e-11   41.1   1.5   4   5   0.00016    0.0068   14.5   0.0    82   140   186   250   176   255 0.80 -
49370at50557_2015173_0:001990|STRG.14034.2:465-1451|+ -            329 119132at50557        -            257   5.5e-11   41.1   1.5   5   5      0.45        19    3.2   0.0    84   121   273   310   264   329 0.73 -
49370at50557_2015173_0:001990|STRG.14034.4:60-1046|+  -            329 119132at50557        -            257   5.5e-11   41.1   1.5   1   5     0.054       2.3    6.3   0.1   119   143    55    79     7   102 0.78 -
49370at50557_2015173_0:001990|STRG.14034.4:60-1046|+  -            329 119132at50557        -            257   5.5e-11   41.1   1.5   2   5     0.034       1.4    6.9   0.1    89   137   100   161    96   165 0.71 -
49370at50557_2015173_0:001990|STRG.14034.4:60-1046|+  -            329 119132at50557        -            257   5.5e-11   41.1   1.5   3   5   0.00042     0.018   13.2   0.0    85   135   144   203   137   203 0.82 -
49370at50557_2015173_0:001990|STRG.14034.4:60-1046|+  -            329 119132at50557        -            257   5.5e-11   41.1   1.5   4   5   0.00016    0.0068   14.5   0.0    82   140   186   250   176   255 0.80 -
49370at50557_2015173_0:001990|STRG.14034.4:60-1046|+  -            329 119132at50557        -            257   5.5e-11   41.1   1.5   5   5      0.45        19    3.2   0.0    84   121   273   310   264   329 0.73 -
40115at50557_108931_0:001d6b|STRG.22478.1:942-1979|+  -            346 119132at50557        -            257   5.7e-11   41.0   5.1   1   4         1        43    2.1   0.0   120   139    27    46     6    54 0.86 -
40115at50557_108931_0:001d6b|STRG.22478.1:942-1979|+  -            346 119132at50557        -            257   5.7e-11   41.0   5.1   2   4       1.8        77    1.3   0.0   102   141    98   144    80   158 0.59 -
40115at50557_108931_0:001d6b|STRG.22478.1:942-1979|+  -            346 119132at50557        -            257   5.7e-11   41.0   5.1   3   4   5.6e-07   2.4e-05   22.6   0.6    86   145   164   231   153   243 0.86 -
40115at50557_108931_0:001d6b|STRG.22478.1:942-1979|+  -            346 119132at50557        -            257   5.7e-11   41.0   5.1   4   4    0.0005     0.021   12.9   0.0    78   139   250   318   232   324 0.84 -
40115at50557_108931_0:001d6b|STRG.22478.2:438-1475|+  -            346 119132at50557        -            257   5.7e-11   41.0   5.1   1   4         1        43    2.1   0.0   120   139    27    46     6    54 0.86 -
40115at50557_108931_0:001d6b|STRG.22478.2:438-1475|+  -            346 119132at50557        -            257   5.7e-11   41.0   5.1   2   4       1.8        77    1.3   0.0   102   141    98   144    80   158 0.59 -
40115at50557_108931_0:001d6b|STRG.22478.2:438-1475|+  -            346 119132at50557        -            257   5.7e-11   41.0   5.1   3   4   5.6e-07   2.4e-05   22.6   0.6    86   145   164   231   153   243 0.86 -
40115at50557_108931_0:001d6b|STRG.22478.2:438-1475|+  -            346 119132at50557        -            257   5.7e-11   41.0   5.1   4   4    0.0005     0.021   12.9   0.0    78   139   250   318   232   324 0.84 -
69548at50557_609295_0:0005e7|STRG.6601.2:310-1152|+   -            281 119132at50557        -            257   7.6e-11   40.6   0.8   1   5       1.4        60    1.6   0.0   118   139    23    44    18    54 0.86 -
69548at50557_609295_0:0005e7|STRG.6601.2:310-1152|+   -            281 119132at50557        -            257   7.6e-11   40.6   0.8   2   5      0.18       7.5    4.6   0.0   121   139    71    89    67    95 0.86 -
69548at50557_609295_0:0005e7|STRG.6601.2:310-1152|+   -            281 119132at50557        -            257   7.6e-11   40.6   0.8   3   5     0.014      0.59    8.2   0.0   120   145   135   161   120   171 0.84 -
69548at50557_609295_0:0005e7|STRG.6601.2:310-1152|+   -            281 119132at50557        -            257   7.6e-11   40.6   0.8   4   5   2.2e-05   0.00093   17.4   0.3    84   133   189   249   183   253 0.72 -
69548at50557_609295_0:0005e7|STRG.6601.2:310-1152|+   -            281 119132at50557        -            257   7.6e-11   40.6   0.8   5   5      0.34        14    3.6   0.0    87   126   238   278   234   281 0.81 -
69548at50557_609295_0:0005e7|STRG.6601.1:207-1064|+   -            286 119132at50557        -            257   7.6e-11   40.6   0.6   1   5       1.5        65    1.5   0.0   118   139    28    49    26    59 0.85 -
69548at50557_609295_0:0005e7|STRG.6601.1:207-1064|+   -            286 119132at50557        -            257   7.6e-11   40.6   0.6   2   5      0.18       7.7    4.5   0.0   121   139    76    94    72   100 0.86 -
69548at50557_609295_0:0005e7|STRG.6601.1:207-1064|+   -            286 119132at50557        -            257   7.6e-11   40.6   0.6   3   5     0.014       0.6    8.2   0.0   120   145   140   166   125   176 0.84 -
69548at50557_609295_0:0005e7|STRG.6601.1:207-1064|+   -            286 119132at50557        -            257   7.6e-11   40.6   0.6   4   5   2.3e-05   0.00096   17.3   0.3    84   133   194   254   188   258 0.72 -
69548at50557_609295_0:0005e7|STRG.6601.1:207-1064|+   -            286 119132at50557        -            257   7.6e-11   40.6   0.6   5   5      0.35        15    3.6   0.0    87   126   243   283   239   286 0.81 -
80377at50557_456900_0:000374|STRG.10678.2:98-1102|+   -            335 119132at50557        -            257   1.6e-10   39.5   0.0   1   3         2        86    1.1   0.0     5    32    60    87    57    97 0.87 -
80377at50557_456900_0:000374|STRG.10678.2:98-1102|+   -            335 119132at50557        -            257   1.6e-10   39.5   0.0   2   3   6.1e-06   0.00026   19.2   0.0    85   140   115   178   102   183 0.86 -
80377at50557_456900_0:000374|STRG.10678.2:98-1102|+   -            335 119132at50557        -            257   1.6e-10   39.5   0.0   3   3   0.00015    0.0064   14.6   0.0    70   136   184   257   177   266 0.81 -
80377at50557_456900_0:000374|STRG.10678.3:0-1046|+    -            349 119132at50557        -            257   1.7e-10   39.5   0.0   1   3       2.2        91    1.0   0.0     5    31    60    86    57    97 0.87 -
80377at50557_456900_0:000374|STRG.10678.3:0-1046|+    -            349 119132at50557        -            257   1.7e-10   39.5   0.0   2   3   6.5e-06   0.00027   19.1   0.0    85   140   115   178   102   183 0.86 -
80377at50557_456900_0:000374|STRG.10678.3:0-1046|+    -            349 119132at50557        -            257   1.7e-10   39.5   0.0   3   3   0.00016    0.0069   14.5   0.0    70   136   184   257   177   266 0.81 -
80377at50557_7220_0:002af5|STRG.21442.3:143-1000|+    -            286 119132at50557        -            257   2.5e-10   38.9   1.0   1   4         8   3.4e+02   -0.9   0.0   119   136    20    37     2    50 0.69 -
80377at50557_7220_0:002af5|STRG.21442.3:143-1000|+    -            286 119132at50557        -            257   2.5e-10   38.9   1.0   2   4   0.00025      0.01   13.9   0.0    81   139    59   123    39   130 0.80 -
80377at50557_7220_0:002af5|STRG.21442.3:143-1000|+    -            286 119132at50557        -            257   2.5e-10   38.9   1.0   3   4   0.00065     0.027   12.5   0.0    88   147   107   173   102   180 0.83 -
80377at50557_7220_0:002af5|STRG.21442.3:143-1000|+    -            286 119132at50557        -            257   2.5e-10   38.9   1.0   4   4     1e-05   0.00042   18.5   0.3     5   133   134   283   132   286 0.68 -
40115at50557_123851_0:00295a|STRG.18638.1:136-1104|+  -            323 119132at50557        -            257   2.6e-10   38.8   0.0   1   2   1.8e-10   7.8e-09   34.0   0.0    83   190   131   248   120   256 0.75 -
40115at50557_123851_0:00295a|STRG.18638.1:136-1104|+  -            323 119132at50557        -            257   2.6e-10   38.8   0.0   2   2       3.7   1.6e+02    0.2   0.0     5    54   253   302   249   307 0.83 -
40115at50557_123851_0:00295a|STRG.18638.2:1782-2750|+ -            323 119132at50557        -            257   2.6e-10   38.8   0.0   1   2   1.8e-10   7.8e-09   34.0   0.0    83   190   131   248   120   256 0.75 -
40115at50557_123851_0:00295a|STRG.18638.2:1782-2750|+ -            323 119132at50557        -            257   2.6e-10   38.8   0.0   2   2       3.7   1.6e+02    0.2   0.0     5    54   253   302   249   307 0.83 -
14512at50557_103372_0:0005b9|STRG.3816.1:368-2947|+   -            860 119132at50557        -            257   3.7e-10   38.3   0.5   1   5    0.0027      0.12   10.5   0.0    84   143    33    99     3   102 0.76 -
14512at50557_103372_0:0005b9|STRG.3816.1:368-2947|+   -            860 119132at50557        -            257   3.7e-10   38.3   0.5   2   5   5.4e-05    0.0023   16.1   0.0    83   138    74   136    70   142 0.87 -
14512at50557_103372_0:0005b9|STRG.3816.1:368-2947|+   -            860 119132at50557        -            257   3.7e-10   38.3   0.5   3   5   8.4e-05    0.0036   15.5   0.0    84   139   117   179   116   186 0.86 -
14512at50557_103372_0:0005b9|STRG.3816.1:368-2947|+   -            860 119132at50557        -            257   3.7e-10   38.3   0.5   4   5      0.17       7.1    4.6   0.0   115   140   197   222   174   230 0.71 -
14512at50557_103372_0:0005b9|STRG.3816.1:368-2947|+   -            860 119132at50557        -            257   3.7e-10   38.3   0.5   5   5      0.26        11    4.0   0.0   116   141   198   223   195   252 0.68 -
14512at50557_103372_0:0005b9|STRG.3816.2:368-3004|+   -            879 119132at50557        -            257   4.1e-10   38.2   0.5   1   5    0.0028      0.12   10.5   0.0    84   143    33    99     3   102 0.76 -
14512at50557_103372_0:0005b9|STRG.3816.2:368-3004|+   -            879 119132at50557        -            257   4.1e-10   38.2   0.5   2   5   5.5e-05    0.0023   16.1   0.0    83   138    74   136    70   142 0.87 -
14512at50557_103372_0:0005b9|STRG.3816.2:368-3004|+   -            879 119132at50557        -            257   4.1e-10   38.2   0.5   3   5   8.7e-05    0.0037   15.4   0.0    84   139   117   179   116   186 0.86 -
14512at50557_103372_0:0005b9|STRG.3816.2:368-3004|+   -            879 119132at50557        -            257   4.1e-10   38.2   0.5   4   5      0.17       7.3    4.6   0.0   115   140   197   222   174   230 0.71 -
14512at50557_103372_0:0005b9|STRG.3816.2:368-3004|+   -            879 119132at50557        -            257   4.1e-10   38.2   0.5   5   5      0.33        14    3.7   0.0   117   141   199   223   198   248 0.61 -
33043at50557_103372_0:000263|STRG.20912.1:0-1922|+    -            641 119132at50557        -            257   4.8e-10   38.0   5.8   1   4     0.051       2.1    6.4   0.0    83   140    10    74     5    78 0.80 -
33043at50557_103372_0:000263|STRG.20912.1:0-1922|+    -            641 119132at50557        -            257   4.8e-10   38.0   5.8   2   4     0.023      0.96    7.5   0.0   118   140   106   128   103   138 0.87 -
33043at50557_103372_0:000263|STRG.20912.1:0-1922|+    -            641 119132at50557        -            257   4.8e-10   38.0   5.8   3   4         4   1.7e+02    0.1   0.1   120   139   244   263   197   277 0.70 -
33043at50557_103372_0:000263|STRG.20912.1:0-1922|+    -            641 119132at50557        -            257   4.8e-10   38.0   5.8   4   4   7.8e-07   3.3e-05   22.1   0.6    80   178   380   482   360   546 0.80 -
