#                                                                                                               --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                           accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                   ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
60092at50557_103372_0:00284b|STRG.22910.1:842-2152|+    -            437 60092at50557         -            372    7e-202  668.9   0.0   1   1  1.7e-203  9.9e-202  668.4   0.0     7   371    32   434    24   435 0.94 -
2648at50557_535359_0:0002c6|STRG.12356.1:885-6024|+     -            856 60092at50557         -            372   2.7e-49  166.8   3.4  10  11   7.5e-08   4.3e-06   24.6   0.0    12    69   715   772   703   779 0.85 -
2648at50557_535359_0:0002c6|STRG.12356.1:885-6024|+     -            856 60092at50557         -            372   2.7e-49  166.8   3.4  11  11   0.00021     0.012   13.3   0.0    17    68   788   839   777   844 0.88 -
2648at50557_535359_0:0002c6|STRG.12356.2:885-6024|+     -            856 60092at50557         -            372   2.7e-49  166.8   3.4   1  11   0.00011    0.0061   14.2   0.0     7    70    83   147    77   151 0.90 -
2648at50557_535359_0:0002c6|STRG.12356.2:885-6024|+     -            856 60092at50557         -            372   2.7e-49  166.8   3.4   2  11   3.3e-08   1.9e-06   25.8   0.0     9    70   152   213   146   218 0.94 -
2648at50557_535359_0:0002c6|STRG.12356.2:885-6024|+     -            856 60092at50557         -            372   2.7e-49  166.8   3.4   3  11     0.094       5.3    4.5   0.0    15    65   225   275   218   282 0.85 -
2648at50557_535359_0:0002c6|STRG.12356.2:885-6024|+     -            856 60092at50557         -            372   2.7e-49  166.8   3.4   4  11   0.00013    0.0076   13.9   0.0    18    83   294   359   284   394 0.81 -
2648at50557_535359_0:0002c6|STRG.12356.2:885-6024|+     -            856 60092at50557         -            372   2.7e-49  166.8   3.4   5  11     7e-05     0.004   14.8   0.0     6    80   412   486   406   491 0.90 -
2648at50557_535359_0:0002c6|STRG.12356.2:885-6024|+     -            856 60092at50557         -            372   2.7e-49  166.8   3.4   6  11     0.034       1.9    6.0   0.0    14    70   487   543   480   548 0.85 -
2648at50557_535359_0:0002c6|STRG.12356.2:885-6024|+     -            856 60092at50557         -            372   2.7e-49  166.8   3.4   7  11   2.8e-05    0.0016   16.2   0.0    18    71   552   605   546   609 0.91 -
2648at50557_535359_0:0002c6|STRG.12356.2:885-6024|+     -            856 60092at50557         -            372   2.7e-49  166.8   3.4   8  11   1.2e-06   6.8e-05   20.6   0.0    12    71   613   672   608   681 0.91 -
2648at50557_535359_0:0002c6|STRG.12356.2:885-6024|+     -            856 60092at50557         -            372   2.7e-49  166.8   3.4   9  11      0.75        43    1.6   0.0    14    44   683   713   675   717 0.86 -
2648at50557_535359_0:0002c6|STRG.12356.2:885-6024|+     -            856 60092at50557         -            372   2.7e-49  166.8   3.4  10  11   7.5e-08   4.3e-06   24.6   0.0    12    69   715   772   703   779 0.85 -
2648at50557_535359_0:0002c6|STRG.12356.2:885-6024|+     -            856 60092at50557         -            372   2.7e-49  166.8   3.4  11  11   0.00021     0.012   13.3   0.0    17    68   788   839   777   844 0.88 -
2648at50557_7539_0:00235a|STRG.7540.1:341-2614|+        -            758 60092at50557         -            372   4.7e-49  166.0  13.3   1  15      0.77        44    1.5   0.0     9    44    41    76    31    81 0.88 -
2648at50557_7539_0:00235a|STRG.7540.1:341-2614|+        -            758 60092at50557         -            372   4.7e-49  166.0  13.3   2  15   4.2e-08   2.4e-06   25.4   0.1    10    59    75   124    66   135 0.86 -
2648at50557_7539_0:00235a|STRG.7540.1:341-2614|+        -            758 60092at50557         -            372   4.7e-49  166.0  13.3   3  15   7.8e-05    0.0044   14.7   0.0    11    71   109   169   108   177 0.93 -
2648at50557_7539_0:00235a|STRG.7540.1:341-2614|+        -            758 60092at50557         -            372   4.7e-49  166.0  13.3   4  15    0.0033      0.19    9.3   0.0     9    69   169   229   161   232 0.80 -
2648at50557_7539_0:00235a|STRG.7540.1:341-2614|+        -            758 60092at50557         -            372   4.7e-49  166.0  13.3   5  15   1.2e-06     7e-05   20.6   0.1     9    72   235   298   229   300 0.94 -
2648at50557_7539_0:00235a|STRG.7540.1:341-2614|+        -            758 60092at50557         -            372   4.7e-49  166.0  13.3   6  15   4.7e-05    0.0027   15.4   0.0     9    62   268   320   267   329 0.89 -
2648at50557_7539_0:00235a|STRG.7540.1:341-2614|+        -            758 60092at50557         -            372   4.7e-49  166.0  13.3   7  15      0.31        18    2.8   0.0    10    64   302   356   299   365 0.82 -
2648at50557_7539_0:00235a|STRG.7540.1:341-2614|+        -            758 60092at50557         -            372   4.7e-49  166.0  13.3   8  15    0.0015     0.086   10.4   0.1    19    73   344   397   333   407 0.62 -
2648at50557_7539_0:00235a|STRG.7540.1:341-2614|+        -            758 60092at50557         -            372   4.7e-49  166.0  13.3   9  15   1.7e-05     0.001   16.8   0.0    11    70   369   428   359   430 0.87 -
2648at50557_7539_0:00235a|STRG.7540.1:341-2614|+        -            758 60092at50557         -            372   4.7e-49  166.0  13.3  10  15   0.00021     0.012   13.2   0.0    10    71   401   462   398   466 0.91 -
2648at50557_7539_0:00235a|STRG.7540.1:341-2614|+        -            758 60092at50557         -            372   4.7e-49  166.0  13.3  11  15   4.5e-06   0.00026   18.7   0.0     9    71   466   528   465   533 0.93 -
2648at50557_7539_0:00235a|STRG.7540.1:341-2614|+        -            758 60092at50557         -            372   4.7e-49  166.0  13.3  12  15   5.4e-07   3.1e-05   21.8   0.0    10    70   533   593   527   598 0.88 -
2648at50557_7539_0:00235a|STRG.7540.1:341-2614|+        -            758 60092at50557         -            372   4.7e-49  166.0  13.3  13  15    0.0029      0.17    9.5   0.0    13    69   602   658   594   668 0.85 -
2648at50557_7539_0:00235a|STRG.7540.1:341-2614|+        -            758 60092at50557         -            372   4.7e-49  166.0  13.3  14  15   0.00068     0.039   11.6   0.0    10    67   632   688   623   697 0.80 -
2648at50557_7539_0:00235a|STRG.7540.1:341-2614|+        -            758 60092at50557         -            372   4.7e-49  166.0  13.3  15  15   2.8e-07   1.6e-05   22.7   0.0     9    69   697   757   688   758 0.93 -
2648at50557_1629725_0:0018e5|STRG.2812.2:81-2423|+      -            781 60092at50557         -            372   6.9e-48  162.1   0.0   1   9   1.3e-07   7.5e-06   23.8   0.0     9    70    27    90    18    96 0.88 -
2648at50557_1629725_0:0018e5|STRG.2812.2:81-2423|+      -            781 60092at50557         -            372   6.9e-48  162.1   0.0   2   9   0.00012    0.0066   14.1   0.0    12    57    98   143    94   182 0.81 -
2648at50557_1629725_0:0018e5|STRG.2812.2:81-2423|+      -            781 60092at50557         -            372   6.9e-48  162.1   0.0   3   9   8.2e-09   4.7e-07   27.8   0.0     9    71   182   244   170   247 0.90 -
2648at50557_1629725_0:0018e5|STRG.2812.2:81-2423|+      -            781 60092at50557         -            372   6.9e-48  162.1   0.0   4   9     5e-06   0.00029   18.6   0.0     9    70   215   276   215   295 0.90 -
2648at50557_1629725_0:0018e5|STRG.2812.2:81-2423|+      -            781 60092at50557         -            372   6.9e-48  162.1   0.0   5   9    0.0069      0.39    8.3   0.0     9    52   371   414   328   448 0.68 -
2648at50557_1629725_0:0018e5|STRG.2812.2:81-2423|+      -            781 60092at50557         -            372   6.9e-48  162.1   0.0   6   9   4.3e-08   2.5e-06   25.4   0.0    13    71   502   560   489   566 0.89 -
2648at50557_1629725_0:0018e5|STRG.2812.2:81-2423|+      -            781 60092at50557         -            372   6.9e-48  162.1   0.0   7   9   0.00012    0.0071   14.0   0.0    13    63   568   617   563   627 0.83 -
2648at50557_1629725_0:0018e5|STRG.2812.2:81-2423|+      -            781 60092at50557         -            372   6.9e-48  162.1   0.0   8   9     5e-06   0.00028   18.6   0.0     9    71   649   713   639   717 0.86 -
2648at50557_1629725_0:0018e5|STRG.2812.2:81-2423|+      -            781 60092at50557         -            372   6.9e-48  162.1   0.0   9   9   2.4e-05    0.0013   16.4   0.0     9    55   717   763   709   775 0.89 -
60092at50557_1629725_0:000b2b|STRG.4327.2:368-844|+     -            159 60092at50557         -            372   1.4e-44  151.2   0.0   1   1   2.7e-46   1.5e-44  151.1   0.0     5   156     8   159     3   159 0.96 -
2648at50557_1629725_0:0018e5|STRG.2812.1:108-2408|+     -            767 60092at50557         -            372   9.6e-44  148.5   0.0   1   9   1.1e-07   6.3e-06   24.0   0.0     9    71    27    91    18   103 0.88 -
2648at50557_1629725_0:0018e5|STRG.2812.1:108-2408|+     -            767 60092at50557         -            372   9.6e-44  148.5   0.0   2   9       2.9   1.6e+02   -0.4   0.0    37    57   112   132   105   171 0.75 -
2648at50557_1629725_0:0018e5|STRG.2812.1:108-2408|+     -            767 60092at50557         -            372   9.6e-44  148.5   0.0   3   9   8.6e-09   4.9e-07   27.7   0.0     9    71   171   233   160   235 0.90 -
2648at50557_1629725_0:0018e5|STRG.2812.1:108-2408|+     -            767 60092at50557         -            372   9.6e-44  148.5   0.0   4   9     0.082       4.7    4.7   0.0    31    70   226   265   223   285 0.81 -
2648at50557_1629725_0:0018e5|STRG.2812.1:108-2408|+     -            767 60092at50557         -            372   9.6e-44  148.5   0.0   5   9    0.0091      0.52    7.9   0.0    31    72   349   390   317   414 0.57 -
2648at50557_1629725_0:0018e5|STRG.2812.1:108-2408|+     -            767 60092at50557         -            372   9.6e-44  148.5   0.0   6   9   4.2e-08   2.4e-06   25.4   0.0    13    71   488   546   475   552 0.89 -
2648at50557_1629725_0:0018e5|STRG.2812.1:108-2408|+     -            767 60092at50557         -            372   9.6e-44  148.5   0.0   7   9   0.00012    0.0069   14.0   0.0    13    63   554   603   549   613 0.83 -
2648at50557_1629725_0:0018e5|STRG.2812.1:108-2408|+     -            767 60092at50557         -            372   9.6e-44  148.5   0.0   8   9   4.9e-06   0.00028   18.6   0.0     9    71   635   699   625   703 0.86 -
2648at50557_1629725_0:0018e5|STRG.2812.1:108-2408|+     -            767 60092at50557         -            372   9.6e-44  148.5   0.0   9   9   2.3e-05    0.0013   16.4   0.0     9    55   703   749   695   761 0.89 -
2648at50557_103372_0:001fc5|STRG.21544.1:283-5340|+     -           1686 60092at50557         -            372   3.5e-34  117.0   8.7   1  14     0.025       1.5    6.4   0.0     6    39   135   168   130   173 0.87 -
2648at50557_103372_0:001fc5|STRG.21544.1:283-5340|+     -           1686 60092at50557         -            372   3.5e-34  117.0   8.7   2  14       3.2   1.8e+02   -0.5   0.0    13    46   215   248   207   252 0.87 -
2648at50557_103372_0:001fc5|STRG.21544.1:283-5340|+     -           1686 60092at50557         -            372   3.5e-34  117.0   8.7   3  14   0.00054     0.031   11.9   0.0    14    67   251   304   240   334 0.87 -
2648at50557_103372_0:001fc5|STRG.21544.1:283-5340|+     -           1686 60092at50557         -            372   3.5e-34  117.0   8.7   4  14     1e-05   0.00059   17.6   0.0     9    72   346   409   337   415 0.93 -
2648at50557_103372_0:001fc5|STRG.21544.1:283-5340|+     -           1686 60092at50557         -            372   3.5e-34  117.0   8.7   5  14      0.16       9.2    3.8   0.0    14    49   417   452   411   477 0.72 -
2648at50557_103372_0:001fc5|STRG.21544.1:283-5340|+     -           1686 60092at50557         -            372   3.5e-34  117.0   8.7   6  14      0.25        14    3.2   0.0    17    70   454   508   449   511 0.87 -
2648at50557_103372_0:001fc5|STRG.21544.1:283-5340|+     -           1686 60092at50557         -            372   3.5e-34  117.0   8.7   7  14       1.8     1e+02    0.3   0.0    13    39   517   543   511   556 0.88 -
2648at50557_103372_0:001fc5|STRG.21544.1:283-5340|+     -           1686 60092at50557         -            372   3.5e-34  117.0   8.7   8  14     0.016      0.91    7.1   0.0     8    70   637   699   631   703 0.90 -
2648at50557_103372_0:001fc5|STRG.21544.1:283-5340|+     -           1686 60092at50557         -            372   3.5e-34  117.0   8.7   9  14    0.0015     0.083   10.5   0.1    10    68   705   764   696   768 0.85 -
2648at50557_103372_0:001fc5|STRG.21544.1:283-5340|+     -           1686 60092at50557         -            372   3.5e-34  117.0   8.7  10  14     0.042       2.4    5.7   0.0     5    71   767   834   760   840 0.79 -
2648at50557_103372_0:001fc5|STRG.21544.1:283-5340|+     -           1686 60092at50557         -            372   3.5e-34  117.0   8.7  11  14     0.028       1.6    6.3   0.0    16    69   848   901   840   913 0.86 -
2648at50557_103372_0:001fc5|STRG.21544.1:283-5340|+     -           1686 60092at50557         -            372   3.5e-34  117.0   8.7  12  14       1.6        89    0.5   0.0    14    40   912   938   903   956 0.80 -
2648at50557_103372_0:001fc5|STRG.21544.1:283-5340|+     -           1686 60092at50557         -            372   3.5e-34  117.0   8.7  13  14    0.0017     0.099   10.2   0.0    15    70   959  1016   951  1022 0.76 -
2648at50557_103372_0:001fc5|STRG.21544.1:283-5340|+     -           1686 60092at50557         -            372   3.5e-34  117.0   8.7  14  14   4.8e-07   2.8e-05   21.9   0.0     8    71  1021  1084  1014  1093 0.91 -
2648at50557_103372_0:001fc5|STRG.21544.5:0-5040|+       -           1677 60092at50557         -            372   1.4e-33  115.1   8.4   1  13     0.025       1.4    6.4   0.0     6    39   135   168   130   173 0.87 -
2648at50557_103372_0:001fc5|STRG.21544.5:0-5040|+       -           1677 60092at50557         -            372   1.4e-33  115.1   8.4   2  13       2.9   1.6e+02   -0.4   0.0    12    46   214   248   204   252 0.86 -
2648at50557_103372_0:001fc5|STRG.21544.5:0-5040|+       -           1677 60092at50557         -            372   1.4e-33  115.1   8.4   3  13   0.00063     0.036   11.7   0.0    15    67   252   304   244   328 0.88 -
2648at50557_103372_0:001fc5|STRG.21544.5:0-5040|+       -           1677 60092at50557         -            372   1.4e-33  115.1   8.4   4  13   1.1e-05   0.00061   17.5   0.0     9    72   346   409   339   416 0.93 -
2648at50557_103372_0:001fc5|STRG.21544.5:0-5040|+       -           1677 60092at50557         -            372   1.4e-33  115.1   8.4   5  13      0.19        11    3.5   0.0    14    49   417   452   411   475 0.74 -
2648at50557_103372_0:001fc5|STRG.21544.5:0-5040|+       -           1677 60092at50557         -            372   1.4e-33  115.1   8.4   6  13      0.23        13    3.2   0.0    17    70   454   508   449   521 0.88 -
2648at50557_103372_0:001fc5|STRG.21544.5:0-5040|+       -           1677 60092at50557         -            372   1.4e-33  115.1   8.4   7  13     0.015      0.88    7.1   0.0     8    70   632   694   626   699 0.90 -
2648at50557_103372_0:001fc5|STRG.21544.5:0-5040|+       -           1677 60092at50557         -            372   1.4e-33  115.1   8.4   8  13    0.0014     0.082   10.5   0.1    10    68   700   759   691   763 0.85 -
2648at50557_103372_0:001fc5|STRG.21544.5:0-5040|+       -           1677 60092at50557         -            372   1.4e-33  115.1   8.4   9  13     0.042       2.4    5.7   0.0     5    71   762   829   755   835 0.79 -
2648at50557_103372_0:001fc5|STRG.21544.5:0-5040|+       -           1677 60092at50557         -            372   1.4e-33  115.1   8.4  10  13     0.028       1.6    6.3   0.0    16    69   843   896   835   908 0.86 -
2648at50557_103372_0:001fc5|STRG.21544.5:0-5040|+       -           1677 60092at50557         -            372   1.4e-33  115.1   8.4  11  13       1.6        88    0.5   0.0    14    40   907   933   898   951 0.80 -
2648at50557_103372_0:001fc5|STRG.21544.5:0-5040|+       -           1677 60092at50557         -            372   1.4e-33  115.1   8.4  12  13    0.0017     0.094   10.3   0.0    15    70   954  1011   946  1019 0.77 -
2648at50557_103372_0:001fc5|STRG.21544.5:0-5040|+       -           1677 60092at50557         -            372   1.4e-33  115.1   8.4  13  13   4.8e-07   2.7e-05   21.9   0.0     8    71  1016  1079  1009  1088 0.91 -
2648at50557_64793_0:001655|STRG.1785.1:1146-2867|+      -            574 60092at50557         -            372   1.7e-33  114.8   1.1   1  11   4.4e-07   2.5e-05   22.1   0.0    10    72    43   105    39   118 0.93 -
2648at50557_64793_0:001655|STRG.1785.1:1146-2867|+      -            574 60092at50557         -            372   1.7e-33  114.8   1.1   2  11    0.0014     0.077   10.6   0.0    12    70   111   169   107   171 0.91 -
2648at50557_64793_0:001655|STRG.1785.1:1146-2867|+      -            574 60092at50557         -            372   1.7e-33  114.8   1.1   3  11   0.00091     0.052   11.2   0.0     8    57   140   189   132   206 0.90 -
2648at50557_64793_0:001655|STRG.1785.1:1146-2867|+      -            574 60092at50557         -            372   1.7e-33  114.8   1.1   4  11    0.0042      0.24    9.0   0.0     8    70   173   240   166   243 0.82 -
2648at50557_64793_0:001655|STRG.1785.1:1146-2867|+      -            574 60092at50557         -            372   1.7e-33  114.8   1.1   5  11   3.1e-05    0.0017   16.0   0.0     9    70   212   273   201   275 0.92 -
2648at50557_64793_0:001655|STRG.1785.1:1146-2867|+      -            574 60092at50557         -            372   1.7e-33  114.8   1.1   6  11   2.6e-05    0.0015   16.2   0.0     9    78   245   315   238   316 0.89 -
2648at50557_64793_0:001655|STRG.1785.1:1146-2867|+      -            574 60092at50557         -            372   1.7e-33  114.8   1.1   7  11    0.0035       0.2    9.2   0.0    11    72   313   374   309   378 0.93 -
2648at50557_64793_0:001655|STRG.1785.1:1146-2867|+      -            574 60092at50557         -            372   1.7e-33  114.8   1.1   8  11     1e-05   0.00059   17.6   0.0     9    54   378   423   370   431 0.90 -
2648at50557_64793_0:001655|STRG.1785.1:1146-2867|+      -            574 60092at50557         -            372   1.7e-33  114.8   1.1   9  11   0.00021     0.012   13.2   0.0     8    70   444   507   437   509 0.87 -
2648at50557_64793_0:001655|STRG.1785.1:1146-2867|+      -            574 60092at50557         -            372   1.7e-33  114.8   1.1  10  11   0.00016    0.0092   13.6   0.0     9    70   479   540   477   542 0.93 -
2648at50557_64793_0:001655|STRG.1785.1:1146-2867|+      -            574 60092at50557         -            372   1.7e-33  114.8   1.1  11  11     0.029       1.7    6.2   0.0    15    65   518   568   511   573 0.85 -
2648at50557_64793_0:001655|STRG.1785.2:897-2618|+       -            574 60092at50557         -            372   1.7e-33  114.8   1.1   1  11   4.4e-07   2.5e-05   22.1   0.0    10    72    43   105    39   118 0.93 -
2648at50557_64793_0:001655|STRG.1785.2:897-2618|+       -            574 60092at50557         -            372   1.7e-33  114.8   1.1   2  11    0.0014     0.077   10.6   0.0    12    70   111   169   107   171 0.91 -
2648at50557_64793_0:001655|STRG.1785.2:897-2618|+       -            574 60092at50557         -            372   1.7e-33  114.8   1.1   3  11   0.00091     0.052   11.2   0.0     8    57   140   189   132   206 0.90 -
2648at50557_64793_0:001655|STRG.1785.2:897-2618|+       -            574 60092at50557         -            372   1.7e-33  114.8   1.1   4  11    0.0042      0.24    9.0   0.0     8    70   173   240   166   243 0.82 -
2648at50557_64793_0:001655|STRG.1785.2:897-2618|+       -            574 60092at50557         -            372   1.7e-33  114.8   1.1   5  11   3.1e-05    0.0017   16.0   0.0     9    70   212   273   201   275 0.92 -
2648at50557_64793_0:001655|STRG.1785.2:897-2618|+       -            574 60092at50557         -            372   1.7e-33  114.8   1.1   6  11   2.6e-05    0.0015   16.2   0.0     9    78   245   315   238   316 0.89 -
2648at50557_64793_0:001655|STRG.1785.2:897-2618|+       -            574 60092at50557         -            372   1.7e-33  114.8   1.1   7  11    0.0035       0.2    9.2   0.0    11    72   313   374   309   378 0.93 -
2648at50557_64793_0:001655|STRG.1785.2:897-2618|+       -            574 60092at50557         -            372   1.7e-33  114.8   1.1   8  11     1e-05   0.00059   17.6   0.0     9    54   378   423   370   431 0.90 -
2648at50557_64793_0:001655|STRG.1785.2:897-2618|+       -            574 60092at50557         -            372   1.7e-33  114.8   1.1   9  11   0.00021     0.012   13.2   0.0     8    70   444   507   437   509 0.87 -
2648at50557_64793_0:001655|STRG.1785.2:897-2618|+       -            574 60092at50557         -            372   1.7e-33  114.8   1.1  10  11   0.00016    0.0092   13.6   0.0     9    70   479   540   477   542 0.93 -
2648at50557_64793_0:001655|STRG.1785.2:897-2618|+       -            574 60092at50557         -            372   1.7e-33  114.8   1.1  11  11     0.029       1.7    6.2   0.0    15    65   518   568   511   573 0.85 -
2648at50557_38123_0:000f4f|STRG.13085.1:175-1293|+      -            373 60092at50557         -            372   7.2e-27   93.0   5.6   1   7      0.71        40    1.6   0.0     9    44     6    41     4    43 0.89 -
2648at50557_38123_0:000f4f|STRG.13085.1:175-1293|+      -            373 60092at50557         -            372   7.2e-27   93.0   5.6   2   7   5.8e-09   3.3e-07   28.3   0.0     9    56    39    86    31    89 0.90 -
2648at50557_38123_0:000f4f|STRG.13085.1:175-1293|+      -            373 60092at50557         -            372   7.2e-27   93.0   5.6   3   7   5.8e-06   0.00033   18.4   0.0    16    71    79   134    77   142 0.93 -
2648at50557_38123_0:000f4f|STRG.13085.1:175-1293|+      -            373 60092at50557         -            372   7.2e-27   93.0   5.6   4   7    0.0012     0.066   10.8   0.0    14    71   139   196   133   200 0.85 -
2648at50557_38123_0:000f4f|STRG.13085.1:175-1293|+      -            373 60092at50557         -            372   7.2e-27   93.0   5.6   5   7   8.9e-08   5.1e-06   24.3   0.1     9    71   200   262   193   266 0.93 -
2648at50557_38123_0:000f4f|STRG.13085.1:175-1293|+      -            373 60092at50557         -            372   7.2e-27   93.0   5.6   6   7      0.11       6.4    4.3   0.0    10    69   267   326   264   337 0.83 -
2648at50557_38123_0:000f4f|STRG.13085.1:175-1293|+      -            373 60092at50557         -            372   7.2e-27   93.0   5.6   7   7    0.0019      0.11   10.1   0.0    11    44   334   367   324   371 0.87 -
2648at50557_38123_0:000f4f|STRG.13085.3:200-1318|+      -            373 60092at50557         -            372   7.2e-27   93.0   5.6   1   7      0.71        40    1.6   0.0     9    44     6    41     4    43 0.89 -
2648at50557_38123_0:000f4f|STRG.13085.3:200-1318|+      -            373 60092at50557         -            372   7.2e-27   93.0   5.6   2   7   5.8e-09   3.3e-07   28.3   0.0     9    56    39    86    31    89 0.90 -
2648at50557_38123_0:000f4f|STRG.13085.3:200-1318|+      -            373 60092at50557         -            372   7.2e-27   93.0   5.6   3   7   5.8e-06   0.00033   18.4   0.0    16    71    79   134    77   142 0.93 -
2648at50557_38123_0:000f4f|STRG.13085.3:200-1318|+      -            373 60092at50557         -            372   7.2e-27   93.0   5.6   4   7    0.0012     0.066   10.8   0.0    14    71   139   196   133   200 0.85 -
2648at50557_38123_0:000f4f|STRG.13085.3:200-1318|+      -            373 60092at50557         -            372   7.2e-27   93.0   5.6   5   7   8.9e-08   5.1e-06   24.3   0.1     9    71   200   262   193   266 0.93 -
2648at50557_38123_0:000f4f|STRG.13085.3:200-1318|+      -            373 60092at50557         -            372   7.2e-27   93.0   5.6   6   7      0.11       6.4    4.3   0.0    10    69   267   326   264   337 0.83 -
2648at50557_38123_0:000f4f|STRG.13085.3:200-1318|+      -            373 60092at50557         -            372   7.2e-27   93.0   5.6   7   7    0.0019      0.11   10.1   0.0    11    44   334   367   324   371 0.87 -
2648at50557_6973_0:005209|STRG.12356.1:5137-6036|+      -            300 60092at50557         -            372     4e-25   87.2   1.2   1   5   3.5e-05     0.002   15.8   0.0     8    45    15    52     6    56 0.89 -
2648at50557_6973_0:005209|STRG.12356.1:5137-6036|+      -            300 60092at50557         -            372     4e-25   87.2   1.2   2   5   3.7e-07   2.1e-05   22.3   0.0    12    71    53   112    50   121 0.92 -
2648at50557_6973_0:005209|STRG.12356.1:5137-6036|+      -            300 60092at50557         -            372     4e-25   87.2   1.2   3   5      0.18        10    3.6   0.0    14    44   123   153   114   159 0.86 -
2648at50557_6973_0:005209|STRG.12356.1:5137-6036|+      -            300 60092at50557         -            372     4e-25   87.2   1.2   4   5   2.3e-08   1.3e-06   26.3   0.0    13    70   156   213   150   222 0.87 -
2648at50557_6973_0:005209|STRG.12356.1:5137-6036|+      -            300 60092at50557         -            372     4e-25   87.2   1.2   5   5   4.3e-05    0.0025   15.5   0.0    17    69   228   280   219   295 0.88 -
2648at50557_6973_0:005209|STRG.12356.2:5137-6036|+      -            300 60092at50557         -            372     4e-25   87.2   1.2   1   5   3.5e-05     0.002   15.8   0.0     8    45    15    52     6    56 0.89 -
2648at50557_6973_0:005209|STRG.12356.2:5137-6036|+      -            300 60092at50557         -            372     4e-25   87.2   1.2   2   5   3.7e-07   2.1e-05   22.3   0.0    12    71    53   112    50   121 0.92 -
2648at50557_6973_0:005209|STRG.12356.2:5137-6036|+      -            300 60092at50557         -            372     4e-25   87.2   1.2   3   5      0.18        10    3.6   0.0    14    44   123   153   114   159 0.86 -
2648at50557_6973_0:005209|STRG.12356.2:5137-6036|+      -            300 60092at50557         -            372     4e-25   87.2   1.2   4   5   2.3e-08   1.3e-06   26.3   0.0    13    70   156   213   150   222 0.87 -
2648at50557_6973_0:005209|STRG.12356.2:5137-6036|+      -            300 60092at50557         -            372     4e-25   87.2   1.2   5   5   4.3e-05    0.0025   15.5   0.0    17    69   228   280   219   295 0.88 -
2648at50557_6973_0:005209|STRG.12356.3:3571-4443|+      -            291 60092at50557         -            372   4.1e-25   87.2   1.3   1   5   3.1e-05    0.0018   16.0   0.0     8    46    15    53     6    57 0.89 -
2648at50557_6973_0:005209|STRG.12356.3:3571-4443|+      -            291 60092at50557         -            372   4.1e-25   87.2   1.3   2   5   2.8e-07   1.6e-05   22.7   0.0    12    71    53   112    49   122 0.91 -
