#                                                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
38815at50557_520822_0:00044d|STRG.760.1:0-1886|+     -            629 38815at50557         -            491    2e-141  470.6   0.2   1   1  1.3e-143  3.3e-141  469.9   0.2     2   491    49   629    48   629 0.86 -
56276at50557_520822_0:0021da|STRG.695.3:0-887|+      -            296 38815at50557         -            491   3.9e-17   60.7   0.0   1   1   2.8e-19   7.2e-17   59.8   0.0    78   263    62   278    18   279 0.73 -
56276at50557_456900_0:000b7d|STRG.695.2:128-1284|+   -            320 38815at50557         -            491   4.6e-17   60.4   0.0   1   1   3.6e-19   9.1e-17   59.5   0.0    78   263    86   302    40   303 0.73 -
56276at50557_456900_0:000b7d|STRG.6563.3:85-1095|+   -            320 38815at50557         -            491   5.2e-16   57.0   0.0   1   1   3.6e-18   9.1e-16   56.2   0.0    78   262    86   301    40   303 0.74 -
56276at50557_456900_0:000b7d|STRG.6563.1:4-1167|+    -            350 38815at50557         -            491     7e-16   56.6   0.0   1   1   4.8e-18   1.2e-15   55.8   0.0    79   262   117   331    71   333 0.74 -
56276at50557_520822_0:0021da|STRG.2634.4:64-1255|+   -            364 38815at50557         -            491     2e-15   55.1   0.0   1   1   1.3e-17   3.2e-15   54.4   0.0    79   263    94   296    47   297 0.75 -
56276at50557_456900_0:000b7d|STRG.2634.1:17-1342|+   -            387 38815at50557         -            491   2.3e-15   54.8   0.0   1   1   1.5e-17   3.8e-15   54.1   0.0    79   263   117   319    70   320 0.75 -
56276at50557_1218281_0:0005b3|STRG.7018.1:2-716|+    -            224 38815at50557         -            491   6.1e-15   53.5   0.0   1   1   4.2e-17   1.1e-14   52.6   0.0    92   263    11   209     4   210 0.81 -
56276at50557_1218281_0:0005b3|STRG.7018.2:2-681|+    -            220 38815at50557         -            491     2e-14   51.7   0.0   1   1   1.4e-16   3.6e-14   50.9   0.0    92   263    11   205     4   206 0.78 -
56276at50557_456900_0:000b7d|STRG.695.1:128-1118|+   -            318 38815at50557         -            491   6.2e-14   50.1   0.0   1   1   4.2e-16   1.1e-13   49.4   0.0    78   263    86   300    22   301 0.73 -
56276at50557_13037_0:00181b|STRG.15702.1:819-1319|+  -            167 38815at50557         -            491   6.3e-14   50.1   0.0   1   1   2.9e-16   7.3e-14   49.9   0.0   189   324     2   149     1   160 0.85 -
56276at50557_520822_0:0021da|STRG.695.4:107-921|+    -            250 38815at50557         -            491   3.8e-11   40.9   0.0   1   1   3.1e-13   7.9e-11   39.9   0.0    78   203    93   245    50   249 0.69 -
56276at50557_520822_0:0021da|STRG.2634.2:64-842|+    -            237 38815at50557         -            491   6.7e-11   40.1   0.0   1   1   4.1e-13     1e-10   39.5   0.0    78   203    93   232    50   236 0.72 -
56276at50557_286306_0:003bd6|STRG.6563.2:94-702|+    -            194 38815at50557         -            491   1.1e-10   39.4   0.0   1   1   7.5e-13   1.9e-10   38.6   0.0   130   262    24   175    21   177 0.74 -
56276at50557_520822_0:0021da|STRG.2634.3:64-837|+    -            258 38815at50557         -            491   3.3e-07   27.9   0.0   1   2     0.023       5.7    4.1   0.0    78   116    93   131    45   139 0.71 -
56276at50557_520822_0:0021da|STRG.2634.3:64-837|+    -            258 38815at50557         -            491   3.3e-07   27.9   0.0   2   2   1.1e-07   2.7e-05   21.7   0.0   136   203   172   253   163   257 0.66 -
56276at50557_52612_0:004710|STRG.3516.1:0-335|+      -            112 38815at50557         -            491   1.6e-06   25.7   0.0   1   1   9.9e-09   2.5e-06   25.0   0.0   130   203    19   107    15   111 0.68 -
56276at50557_6973_0:003c00|STRG.1857.1:94-396|+      -            101 38815at50557         -            491   2.1e-06   25.3   0.0   1   1     1e-08   2.6e-06   25.0   0.0   130   184    24    82    21    87 0.79 -
56276at50557_6973_0:003c00|STRG.8247.1:24-352|+      -            105 38815at50557         -            491   8.7e-06   23.3   0.0   1   1   4.1e-08     1e-05   23.0   0.0   131   178    23    74    19    84 0.78 -
56276at50557_52612_0:004710|STRG.7018.3:163-796|+    -            151 38815at50557         -            491   2.1e-05   22.0   0.3   1   2   6.8e-06    0.0017   15.7   0.0   131   183    18    69    16   103 0.68 -
56276at50557_52612_0:004710|STRG.7018.3:163-796|+    -            151 38815at50557         -            491   2.1e-05   22.0   0.3   2   2    0.0092       2.3    5.4   0.1   227   263    96   133    88   134 0.84 -
56276at50557_88501_0:001309|STRG.22351.2:5-626|+     -            200 38815at50557         -            491   2.4e-05   21.8   0.0   1   1   1.3e-07   3.2e-05   21.4   0.0    53   178    47   191    17   197 0.76 -
56276at50557_52612_0:004710|STRG.3416.1:1-450|+      -            150 38815at50557         -            491   2.8e-05   21.6   0.0   1   1   1.9e-07   4.8e-05   20.8   0.0   155   263     7   132     3   133 0.70 -
56276at50557_6973_0:003c00|STRG.766.1:88-472|+       -            107 38815at50557         -            491   0.00056   17.3   0.0   1   1   2.7e-06   0.00067   17.0   0.0   130   183    24    81    20    87 0.77 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/justine/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/38815at50557.hmm
# Target file:     annotation_analysis/annotation_gca/T_cornetzi/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas
# Option settings: hmmsearch --domtblout annotation_analysis/annotation_gca/T_cornetzi/busco_output/run_insecta_odb10/hmmer_output/initial_run_results/38815at50557.out --cpu 1 /home/justine/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/38815at50557.hmm annotation_analysis/annotation_gca/T_cornetzi/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas 
# Current dir:     /home/justine/projet_tutore
# Date:            Sun Dec  1 22:17:08 2024
# [ok]
