#                                                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
138527at50557_103372_0:00284e|STRG.23411.1:0-416|+   -            139 138527at50557        -             95   1.8e-44  148.7   0.3   1   1   9.7e-47   2.8e-44  148.1   0.3     1    95    35   136    35   136 0.96 -
60961at50557_54969_0:0007af|STRG.5880.2:957-1655|+   -            233 138527at50557        -             95   2.2e-10   39.4   0.0   2   2   6.5e-05     0.019   14.0   0.0    27    93   162   232   135   233 0.82 -
60961at50557_54969_0:0007af|STRG.5880.3:294-992|+    -            233 138527at50557        -             95   2.2e-10   39.4   0.0   1   2     7e-08     2e-05   23.5   0.0     8    94    13   106     8   107 0.82 -
60961at50557_54969_0:0007af|STRG.5880.3:294-992|+    -            233 138527at50557        -             95   2.2e-10   39.4   0.0   2   2   6.5e-05     0.019   14.0   0.0    27    93   162   232   135   233 0.82 -
65618at50557_64459_0:000660|STRG.19361.1:238-1083|+  -            282 138527at50557        -             95   4.9e-08   31.9   0.0   1   1   4.3e-10   1.2e-07   30.6   0.0     6    94     5   106     2   107 0.77 -
65618at50557_64459_0:000660|STRG.19361.2:102-995|+   -            298 138527at50557        -             95   5.7e-08   31.7   0.0   1   1   4.8e-10   1.4e-07   30.4   0.0     6    94     5   106     2   107 0.77 -
60961at50557_30025_0:002fae|STRG.5880.4:530-1210|+   -            227 138527at50557        -             95   1.5e-07   30.4   0.0   1   2   7.9e-06    0.0023   16.9   0.0    31    94    59   123    25   124 0.84 -
60961at50557_30025_0:002fae|STRG.5880.4:530-1210|+   -            227 138527at50557        -             95   1.5e-07   30.4   0.0   2   2   0.00038      0.11   11.5   0.0     8    75   152   226   147   227 0.79 -
4137at50557_378494_0:00213c|STRG.21499.3:887-1516|+  -            210 138527at50557        -             95   5.3e-05   22.2   1.1   1   2   2.3e-05    0.0066   15.4   0.1    32    94    59   119    21   120 0.82 -
4137at50557_378494_0:00213c|STRG.21499.3:887-1516|+  -            210 138527at50557        -             95   5.3e-05   22.2   1.1   2   2     0.041        12    5.0   0.1    37    72   168   202   136   205 0.84 -
4137at50557_378494_0:00213c|STRG.21499.5:892-1521|+  -            210 138527at50557        -             95   5.3e-05   22.2   1.1   1   2   2.3e-05    0.0066   15.4   0.1    32    94    59   119    21   120 0.82 -
4137at50557_378494_0:00213c|STRG.21499.5:892-1521|+  -            210 138527at50557        -             95   5.3e-05   22.2   1.1   2   2     0.041        12    5.0   0.1    37    72   168   202   136   205 0.84 -
138527at50557_7029_0:001a95|STRG.19970.1:18-317|+    -            100 138527at50557        -             95     9e-05   21.4   0.0   1   1   3.8e-07   0.00011   21.1   0.0     4    72     2    77     1    95 0.76 -
138527at50557_217634_0:002b14|STRG.17857.1:151-390|+ -             80 138527at50557        -             95   0.00074   18.5   0.1   1   1   2.7e-06   0.00077   18.4   0.1    32    80    28    77     3    80 0.83 -
60961at50557_7536_0:0031ae|STRG.4504.1:581-934|+     -            118 138527at50557        -             95   0.00076   18.4   0.0   1   1   3.5e-06     0.001   18.0   0.0     6    93    13   108     9   110 0.83 -
65618at50557_29031_0:0021aa|STRG.5880.4:1351-1644|+  -             98 138527at50557        -             95    0.0019   17.2   0.0   1   1   7.2e-06    0.0021   17.1   0.0    26    93    26    97     2    98 0.83 -
65618at50557_29031_0:0021aa|STRG.17835.1:580-939|+   -            120 138527at50557        -             95    0.0052   15.8   0.0   1   1   2.1e-05     0.006   15.6   0.0    26    78    33    86     9   102 0.82 -
65618at50557_29031_0:0021aa|STRG.17835.2:87-446|+    -            120 138527at50557        -             95    0.0052   15.8   0.0   1   1   2.1e-05     0.006   15.6   0.0    26    78    33    86     9   102 0.82 -
4137at50557_197043_0:004137|STRG.21499.2:10-1512|+   -            501 138527at50557        -             95    0.0055   15.7  13.3   1   5      0.71   2.1e+02    1.0   0.0    47    74    30    56    14    77 0.77 -
4137at50557_197043_0:004137|STRG.21499.2:10-1512|+   -            501 138527at50557        -             95    0.0055   15.7  13.3   2   5      0.19        54    2.9   0.0    36    72   139   174   133   194 0.84 -
4137at50557_197043_0:004137|STRG.21499.2:10-1512|+   -            501 138527at50557        -             95    0.0055   15.7  13.3   3   5       2.3   6.6e+02   -0.6   0.2    46    74   258   285   241   305 0.72 -
4137at50557_197043_0:004137|STRG.21499.2:10-1512|+   -            501 138527at50557        -             95    0.0055   15.7  13.3   4   5   0.00013     0.038   13.0   0.3    33    94   351   410   313   411 0.83 -
4137at50557_197043_0:004137|STRG.21499.2:10-1512|+   -            501 138527at50557        -             95    0.0055   15.7  13.3   5   5      0.16        46    3.1   0.2    38    72   460   493   421   496 0.84 -
4137at50557_197043_0:004137|STRG.21499.1:10-1476|+   -            489 138527at50557        -             95     0.006   15.6  13.8   1   5      0.68     2e+02    1.1   0.0    47    74    30    56    13    77 0.77 -
4137at50557_197043_0:004137|STRG.21499.1:10-1476|+   -            489 138527at50557        -             95     0.006   15.6  13.8   2   5      0.11        33    3.6   0.0    36    72   127   162    87   182 0.81 -
4137at50557_197043_0:004137|STRG.21499.1:10-1476|+   -            489 138527at50557        -             95     0.006   15.6  13.8   3   5       2.2   6.4e+02   -0.5   0.2    46    74   246   273   229   293 0.72 -
4137at50557_197043_0:004137|STRG.21499.1:10-1476|+   -            489 138527at50557        -             95     0.006   15.6  13.8   4   5   0.00013     0.036   13.1   0.3    33    94   339   398   301   399 0.83 -
4137at50557_197043_0:004137|STRG.21499.1:10-1476|+   -            489 138527at50557        -             95     0.006   15.6  13.8   5   5      0.15        45    3.2   0.2    38    72   448   481   409   484 0.84 -
4137at50557_197043_0:004137|STRG.21499.4:10-1525|+   -            500 138527at50557        -             95    0.0063   15.5  13.4   1   5      0.71   2.1e+02    1.0   0.0    47    74    30    56    14    77 0.77 -
4137at50557_197043_0:004137|STRG.21499.4:10-1525|+   -            500 138527at50557        -             95    0.0063   15.5  13.4   2   5      0.21        60    2.8   0.0    36    72   139   174   133   180 0.81 -
4137at50557_197043_0:004137|STRG.21499.4:10-1525|+   -            500 138527at50557        -             95    0.0063   15.5  13.4   3   5       2.3   6.5e+02   -0.6   0.2    46    74   257   284   240   304 0.72 -
4137at50557_197043_0:004137|STRG.21499.4:10-1525|+   -            500 138527at50557        -             95    0.0063   15.5  13.4   4   5   0.00013     0.038   13.0   0.3    33    94   350   409   312   410 0.83 -
4137at50557_197043_0:004137|STRG.21499.4:10-1525|+   -            500 138527at50557        -             95    0.0063   15.5  13.4   5   5      0.16        46    3.1   0.2    38    72   459   492   420   495 0.84 -
92898at50557_103372_0:00055a|STRG.3812.1:518-1321|+  -            268 138527at50557        -             95    0.0067   15.4   0.0   1   1   3.6e-05      0.01   14.8   0.0    40    91   174   231   132   235 0.77 -
138527at50557_7070_0:000af3|STRG.5880.1:868-1104|+   -             79 138527at50557        -             95     0.036   13.1   0.0   1   1   0.00013     0.037   13.1   0.0    28    89    14    79     2    79 0.82 -
138527at50557_7070_0:000af3|STRG.5880.3:741-977|+    -             79 138527at50557        -             95     0.036   13.1   0.0   1   1   0.00013     0.037   13.1   0.0    28    89    14    79     2    79 0.82 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/justine/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/138527at50557.hmm
# Target file:     annotation_analysis/annotation_gca/T_cornetzi/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas
# Option settings: hmmsearch --domtblout annotation_analysis/annotation_gca/T_cornetzi/busco_output/run_insecta_odb10/hmmer_output/initial_run_results/138527at50557.out --cpu 1 /home/justine/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/138527at50557.hmm annotation_analysis/annotation_gca/T_cornetzi/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas 
# Current dir:     /home/justine/projet_tutore
# Date:            Sun Dec  1 22:15:12 2024
# [ok]
