#                                                                                                              --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                          accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                  ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
8280at50557_166423_0:002d2f|STRG.12134.1:9-3240|+      -            868 8280at50557          -           1153         0 1201.6  46.2   1   1         0         0 1201.5  46.2     2   810     2   868     1   868 0.96 -
8280at50557_74869_0:001375|STRG.4312.3:194-1756|+      -            521 8280at50557          -           1153   2.1e-53  180.0  35.5   1   3   5.8e-17   4.5e-15   53.1   0.7   120   250     5   130     2   132 0.92 -
8280at50557_74869_0:001375|STRG.4312.3:194-1756|+      -            521 8280at50557          -           1153   2.1e-53  180.0  35.5   2   3   1.4e-31   1.1e-29  101.5  20.0   545   856   124   426   122   438 0.88 -
8280at50557_74869_0:001375|STRG.4312.3:194-1756|+      -            521 8280at50557          -           1153   2.1e-53  180.0  35.5   3   3   4.1e-16   3.2e-14   50.2   5.7   476   619   372   520   368   521 0.91 -
25718at50557_1629725_0:002070|STRG.5764.1:106-1182|+   -            359 8280at50557          -           1153   5.3e-52  175.3  11.7   1   3   6.3e-14   4.9e-12   43.0   0.1   165   268     2   108     1   109 0.88 -
25718at50557_1629725_0:002070|STRG.5764.1:106-1182|+   -            359 8280at50557          -           1153   5.3e-52  175.3  11.7   2   3     5e-25   3.9e-23   79.8   0.8   485   625    92   233    89   235 0.95 -
25718at50557_1629725_0:002070|STRG.5764.1:106-1182|+   -            359 8280at50557          -           1153   5.3e-52  175.3  11.7   3   3   5.3e-21   4.1e-19   66.4   1.7   474   607   227   358   225   359 0.79 -
25718at50557_197043_0:00510d|STRG.16035.1:222-1487|+   -            422 8280at50557          -           1153   2.5e-51  173.1  48.4   1   4     8e-20   6.2e-18   62.5  15.8   472   621    13   159     7   163 0.95 -
25718at50557_197043_0:00510d|STRG.16035.1:222-1487|+   -            422 8280at50557          -           1153   2.5e-51  173.1  48.4   2   4   1.3e-18   9.7e-17   58.6   5.9   478   602   160   283   158   284 0.96 -
25718at50557_197043_0:00510d|STRG.16035.1:222-1487|+   -            422 8280at50557          -           1153   2.5e-51  173.1  48.4   3   4   3.8e-23   2.9e-21   73.5   6.6   486   613   264   393   261   397 0.93 -
25718at50557_197043_0:00510d|STRG.16035.1:222-1487|+   -            422 8280at50557          -           1153   2.5e-51  173.1  48.4   4   4   0.00033     0.025   10.8   0.8  1087  1113   387   413   382   420 0.90 -
8280at50557_113334_0:00096f|STRG.10252.1:902-2122|+    -            407 8280at50557          -           1153   7.6e-50  168.2  24.8   1   3   3.6e-15   2.8e-13   47.1   6.6   115   248     2   138     1   142 0.82 -
8280at50557_113334_0:00096f|STRG.10252.1:902-2122|+    -            407 8280at50557          -           1153   7.6e-50  168.2  24.8   2   3   1.4e-14   1.1e-12   45.1   4.7   136   225   143   232   137   260 0.90 -
8280at50557_113334_0:00096f|STRG.10252.1:902-2122|+    -            407 8280at50557          -           1153   7.6e-50  168.2  24.8   3   3   7.4e-26   5.7e-24   82.5   0.4   473   618   257   401   244   407 0.95 -
8280at50557_113334_0:00096f|STRG.10252.2:893-2113|+    -            407 8280at50557          -           1153   7.6e-50  168.2  24.8   1   3   3.6e-15   2.8e-13   47.1   6.6   115   248     2   138     1   142 0.82 -
8280at50557_113334_0:00096f|STRG.10252.2:893-2113|+    -            407 8280at50557          -           1153   7.6e-50  168.2  24.8   2   3   1.4e-14   1.1e-12   45.1   4.7   136   225   143   232   137   260 0.90 -
8280at50557_113334_0:00096f|STRG.10252.2:893-2113|+    -            407 8280at50557          -           1153   7.6e-50  168.2  24.8   3   3   7.4e-26   5.7e-24   82.5   0.4   473   618   257   401   244   407 0.95 -
8280at50557_113334_0:00096f|STRG.10252.4:1157-2377|+   -            407 8280at50557          -           1153   7.6e-50  168.2  24.8   1   3   3.6e-15   2.8e-13   47.1   6.6   115   248     2   138     1   142 0.82 -
8280at50557_113334_0:00096f|STRG.10252.4:1157-2377|+   -            407 8280at50557          -           1153   7.6e-50  168.2  24.8   2   3   1.4e-14   1.1e-12   45.1   4.7   136   225   143   232   137   260 0.90 -
8280at50557_113334_0:00096f|STRG.10252.4:1157-2377|+   -            407 8280at50557          -           1153   7.6e-50  168.2  24.8   3   3   7.4e-26   5.7e-24   82.5   0.4   473   618   257   401   244   407 0.95 -
8280at50557_113334_0:00096f|STRG.10252.5:883-2103|+    -            407 8280at50557          -           1153   7.6e-50  168.2  24.8   1   3   3.6e-15   2.8e-13   47.1   6.6   115   248     2   138     1   142 0.82 -
8280at50557_113334_0:00096f|STRG.10252.5:883-2103|+    -            407 8280at50557          -           1153   7.6e-50  168.2  24.8   2   3   1.4e-14   1.1e-12   45.1   4.7   136   225   143   232   137   260 0.90 -
8280at50557_113334_0:00096f|STRG.10252.5:883-2103|+    -            407 8280at50557          -           1153   7.6e-50  168.2  24.8   3   3   7.4e-26   5.7e-24   82.5   0.4   473   618   257   401   244   407 0.95 -
8280at50557_116153_0:002979|STRG.16582.2:162-1946|+    -            595 8280at50557          -           1153   5.7e-49  165.3  39.9   1   4   1.2e-10     9e-09   32.2   8.4   441   579     3   141     1   159 0.62 -
8280at50557_116153_0:002979|STRG.16582.2:162-1946|+    -            595 8280at50557          -           1153   5.7e-49  165.3  39.9   2   4   1.5e-11   1.2e-09   35.1   5.4   140   225   252   335   225   339 0.77 -
8280at50557_116153_0:002979|STRG.16582.2:162-1946|+    -            595 8280at50557          -           1153   5.7e-49  165.3  39.9   3   4   5.6e-29   4.3e-27   92.8  11.5    59   246   291   474   289   477 0.96 -
8280at50557_116153_0:002979|STRG.16582.2:162-1946|+    -            595 8280at50557          -           1153   5.7e-49  165.3  39.9   4   4   1.2e-13   9.2e-12   42.1   1.0   510   626   462   575   460   595 0.81 -
8280at50557_121225_0:0005bf|STRG.16582.1:72-1877|+     -            602 8280at50557          -           1153     6e-49  165.2  40.6   1   4   1.2e-10   9.1e-09   32.2   8.4   441   579     3   141     1   159 0.62 -
8280at50557_121225_0:0005bf|STRG.16582.1:72-1877|+     -            602 8280at50557          -           1153     6e-49  165.2  40.6   2   4   1.9e-11   1.5e-09   34.8   5.3   140   225   252   335   243   337 0.81 -
8280at50557_121225_0:0005bf|STRG.16582.1:72-1877|+     -            602 8280at50557          -           1153     6e-49  165.2  40.6   3   4   1.1e-28   8.3e-27   91.9  12.1    59   246   291   474   290   477 0.96 -
8280at50557_121225_0:0005bf|STRG.16582.1:72-1877|+     -            602 8280at50557          -           1153     6e-49  165.2  40.6   4   4   1.4e-13   1.1e-11   41.9   1.4   510   626   462   575   459   595 0.82 -
7376at50557_139723_0:002c9a|STRG.15098.1:30-1910|+     -            627 8280at50557          -           1153   9.2e-49  164.6  30.1   1   4   5.8e-38   4.5e-36  122.6  15.9   413   707     1   292     1   299 0.91 -
7376at50557_139723_0:002c9a|STRG.15098.1:30-1910|+     -            627 8280at50557          -           1153   9.2e-49  164.6  30.1   2   4      0.05       3.8    3.6   0.0  1080  1131   302   352   296   362 0.73 -
7376at50557_139723_0:002c9a|STRG.15098.1:30-1910|+     -            627 8280at50557          -           1153   9.2e-49  164.6  30.1   3   4     5e-14   3.9e-12   43.3   4.3   490   594   437   540   428   547 0.95 -
7376at50557_139723_0:002c9a|STRG.15098.1:30-1910|+     -            627 8280at50557          -           1153   9.2e-49  164.6  30.1   4   4       3.6   2.8e+02   -2.6   0.0  1085  1102   551   568   543   570 0.86 -
54603at50557_103372_0:00290d|STRG.8711.1:0-1844|+      -            615 8280at50557          -           1153   1.2e-42  144.3  32.8   1   4   0.00048     0.037   10.3   0.0   907   943   136   172   134   178 0.94 -
54603at50557_103372_0:00290d|STRG.8711.1:0-1844|+      -            615 8280at50557          -           1153   1.2e-42  144.3  32.8   2   4   5.7e-11   4.4e-09   33.2   6.1   879   947   178   245   172   250 0.92 -
54603at50557_103372_0:00290d|STRG.8711.1:0-1844|+      -            615 8280at50557          -           1153   1.2e-42  144.3  32.8   3   4   1.2e-23   9.4e-22   75.2   7.1   714   945   247   476   243   479 0.86 -
54603at50557_103372_0:00290d|STRG.8711.1:0-1844|+      -            615 8280at50557          -           1153   1.2e-42  144.3  32.8   4   4   2.7e-15   2.1e-13   47.5  10.1    91   243   440   586   438   596 0.86 -
25718at50557_13249_0:001bb5|STRG.7524.1:417-1703|+     -            429 8280at50557          -           1153   3.2e-41  139.7  26.4   1   4   3.7e-18   2.8e-16   57.0   5.3   740   847     3   114     1   124 0.87 -
25718at50557_13249_0:001bb5|STRG.7524.1:417-1703|+     -            429 8280at50557          -           1153   3.2e-41  139.7  26.4   2   4     4e-13   3.1e-11   40.3   0.1   806   919   121   233   114   234 0.94 -
25718at50557_13249_0:001bb5|STRG.7524.1:417-1703|+     -            429 8280at50557          -           1153   3.2e-41  139.7  26.4   3   4   5.5e-17   4.2e-15   53.1   8.1    91   217   223   344   215   351 0.92 -
25718at50557_13249_0:001bb5|STRG.7524.1:417-1703|+     -            429 8280at50557          -           1153   3.2e-41  139.7  26.4   4   4     0.005      0.38    6.9   0.1   778   820   388   429   362   429 0.54 -
54603at50557_116153_0:001d7a|STRG.22447.1:316-1761|+   -            482 8280at50557          -           1153   1.3e-40  137.6  39.4   1   3   2.1e-15   1.6e-13   47.9  14.5   112   247    14   144     1   166 0.66 -
54603at50557_116153_0:001d7a|STRG.22447.1:316-1761|+   -            482 8280at50557          -           1153   1.3e-40  137.6  39.4   2   3     2e-12   1.5e-10   38.0   1.8   169   268   159   260   150   269 0.76 -
54603at50557_116153_0:001d7a|STRG.22447.1:316-1761|+   -            482 8280at50557          -           1153   1.3e-40  137.6  39.4   3   3   2.4e-24   1.8e-22   77.5  12.8   646   915   221   482   220   482 0.81 -
109776at50557_83485_0:00245b|STRG.16467.3:19-1029|+    -            337 8280at50557          -           1153   2.8e-40  136.5  10.7   1   2   1.5e-22   1.2e-20   71.5   1.8   436   601    53   213    48   215 0.81 -
109776at50557_83485_0:00245b|STRG.16467.3:19-1029|+    -            337 8280at50557          -           1153   2.8e-40  136.5  10.7   2   2   2.6e-23     2e-21   74.1   0.8   474   593   207   325   205   332 0.96 -
109776at50557_83485_0:00245b|STRG.16468.1:632-1642|-   -            337 8280at50557          -           1153   2.8e-40  136.5  10.7   1   2   1.5e-22   1.2e-20   71.5   1.8   436   601    53   213    48   215 0.81 -
109776at50557_83485_0:00245b|STRG.16468.1:632-1642|-   -            337 8280at50557          -           1153   2.8e-40  136.5  10.7   2   2   2.6e-23     2e-21   74.1   0.8   474   593   207   325   205   332 0.96 -
8280at50557_7160_0:00112a|STRG.3047.1:102-1001|+       -            300 8280at50557          -           1153   3.2e-40  136.3  36.9   1   3   1.9e-23   1.5e-21   74.5  15.9   459   616    33   189    25   190 0.95 -
8280at50557_7160_0:00112a|STRG.3047.1:102-1001|+       -            300 8280at50557          -           1153   3.2e-40  136.3  36.9   2   3   1.2e-23   9.3e-22   75.2  13.0   485   628   131   273   131   282 0.96 -
8280at50557_7160_0:00112a|STRG.3047.1:102-1001|+       -            300 8280at50557          -           1153   3.2e-40  136.3  36.9   3   3      0.03       2.3    4.3   0.4  1089  1106   283   300   279   300 0.93 -
8280at50557_7160_0:00112a|STRG.13990.1:1303-2487|+     -            395 8280at50557          -           1153   3.7e-39  132.8  20.7   1   4   4.8e-18   3.7e-16   56.6   0.4   138   246     3   111     1   112 0.82 -
8280at50557_7160_0:00112a|STRG.13990.1:1303-2487|+     -            395 8280at50557          -           1153   3.7e-39  132.8  20.7   2   4   1.1e-16   8.9e-15   52.1   0.4   112   206    97   190    95   191 0.95 -
8280at50557_7160_0:00112a|STRG.13990.1:1303-2487|+     -            395 8280at50557          -           1153   3.7e-39  132.8  20.7   3   4   2.2e-12   1.7e-10   37.9   1.9   130   226   187   282   182   288 0.94 -
8280at50557_7160_0:00112a|STRG.13990.1:1303-2487|+     -            395 8280at50557          -           1153   3.7e-39  132.8  20.7   4   4   0.00022     0.017   11.4   1.4  1085  1113   288   316   282   349 0.78 -
8280at50557_7160_0:00112a|STRG.13990.2:1244-2428|+     -            395 8280at50557          -           1153   3.7e-39  132.8  20.7   1   4   4.8e-18   3.7e-16   56.6   0.4   138   246     3   111     1   112 0.82 -
8280at50557_7160_0:00112a|STRG.13990.2:1244-2428|+     -            395 8280at50557          -           1153   3.7e-39  132.8  20.7   2   4   1.1e-16   8.9e-15   52.1   0.4   112   206    97   190    95   191 0.95 -
8280at50557_7160_0:00112a|STRG.13990.2:1244-2428|+     -            395 8280at50557          -           1153   3.7e-39  132.8  20.7   3   4   2.2e-12   1.7e-10   37.9   1.9   130   226   187   282   182   288 0.94 -
8280at50557_7160_0:00112a|STRG.13990.2:1244-2428|+     -            395 8280at50557          -           1153   3.7e-39  132.8  20.7   4   4   0.00022     0.017   11.4   1.4  1085  1113   288   316   282   349 0.78 -
25718at50557_13249_0:001bb5|STRG.10255.2:102-1400|+    -            433 8280at50557          -           1153     6e-39  132.1  37.8   1   4   1.4e-10   1.1e-08   31.9   6.5   742   846    11   112     6   125 0.80 -
25718at50557_13249_0:001bb5|STRG.10255.2:102-1400|+    -            433 8280at50557          -           1153     6e-39  132.1  37.8   2   4   1.6e-12   1.2e-10   38.3   3.5   740   917   101   272    90   273 0.89 -
25718at50557_13249_0:001bb5|STRG.10255.2:102-1400|+    -            433 8280at50557          -           1153     6e-39  132.1  37.8   3   4   2.6e-13     2e-11   40.9   4.4   162   248   261   344   257   346 0.93 -
25718at50557_13249_0:001bb5|STRG.10255.2:102-1400|+    -            433 8280at50557          -           1153     6e-39  132.1  37.8   4   4     3e-14   2.3e-12   44.1   6.3   130   219   346   433   343   433 0.94 -
8280at50557_7160_0:00112a|STRG.4311.1:347-1375|+       -            343 8280at50557          -           1153   1.8e-38  130.5  20.2   1   3   6.5e-09     5e-07   26.4   2.4   740   802    21    84    11    87 0.93 -
8280at50557_7160_0:00112a|STRG.4311.1:347-1375|+       -            343 8280at50557          -           1153   1.8e-38  130.5  20.2   2   3     8e-26   6.1e-24   82.4  11.3   473   619    80   225    79   226 0.97 -
8280at50557_7160_0:00112a|STRG.4311.1:347-1375|+       -            343 8280at50557          -           1153   1.8e-38  130.5  20.2   3   3   3.7e-10   2.8e-08   30.5   0.0   471   591   222   341   220   343 0.78 -
25718at50557_13249_0:001bb5|STRG.10255.1:428-1627|+    -            400 8280at50557          -           1153   2.1e-37  127.0  37.7   1   4   1.2e-08   9.6e-07   25.5   5.5   886   960     1    74     1    81 0.51 -
25718at50557_13249_0:001bb5|STRG.10255.1:428-1627|+    -            400 8280at50557          -           1153   2.1e-37  127.0  37.7   2   4   1.5e-12   1.2e-10   38.4   3.6   740   917    68   239    59   240 0.89 -
25718at50557_13249_0:001bb5|STRG.10255.1:428-1627|+    -            400 8280at50557          -           1153   2.1e-37  127.0  37.7   3   4   2.3e-13   1.8e-11   41.1   4.4   162   248   228   311   224   313 0.93 -
25718at50557_13249_0:001bb5|STRG.10255.1:428-1627|+    -            400 8280at50557          -           1153   2.1e-37  127.0  37.7   4   4   2.6e-14     2e-12   44.3   6.3   130   219   313   400   309   400 0.94 -
54603at50557_224129_0:0029b4|STRG.15062.1:867-1997|+   -            377 8280at50557          -           1153   6.6e-37  125.3  35.1   1   2   1.2e-32   8.9e-31  105.0  29.2   713   984     5   276     1   279 0.83 -
