#                                                                                                              --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                          accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                  ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
129956at50557_34720_0:00189a|STRG.12488.1:0-416|+      -            139 129956at50557        -            110     3e-63  209.4   0.1   1   1   6.8e-65   3.5e-63  209.2   0.1     1   108     1   112     1   117 0.94 -
83433at50557_133901_0:001dd1|STRG.23394.1:173-688|+    -            172 129956at50557        -            110   1.1e-19   69.2   0.0   1   2     4e-10     2e-08   32.9   0.0    32    80     2    50     1    70 0.92 -
83433at50557_133901_0:001dd1|STRG.23394.1:173-688|+    -            172 129956at50557        -            110   1.1e-19   69.2   0.0   2   2   1.2e-10   6.2e-09   34.6   0.0    32    81    93   142    88   164 0.94 -
117816at50557_123851_0:00306e|STRG.24179.1:1392-2000|+ -            203 129956at50557        -            110   1.8e-19   68.5   0.0   1   2   2.6e-11   1.3e-09   36.8   0.0    42   107     2    67     1    70 0.94 -
117816at50557_123851_0:00306e|STRG.24179.1:1392-2000|+ -            203 129956at50557        -            110   1.8e-19   68.5   0.0   2   2   3.3e-09   1.7e-07   30.0   0.0    30    94    76   140    71   152 0.95 -
117816at50557_7200_0:0014c2|STRG.24179.3:1392-2135|+   -            248 129956at50557        -            110   3.4e-19   67.6   0.0   1   2   3.8e-11   1.9e-09   36.2   0.0    42   107     2    67     1    70 0.94 -
117816at50557_7200_0:0014c2|STRG.24179.3:1392-2135|+   -            248 129956at50557        -            110   3.4e-19   67.6   0.0   2   2   4.9e-09   2.5e-07   29.4   0.0    30    94    76   140    71   152 0.95 -
129956at50557_37344_0:0029cb|STRG.12907.1:167-502|+    -            112 129956at50557        -            110   8.7e-18   63.1   0.0   1   1   1.9e-19   9.8e-18   62.9   0.0    29   106    24   101     2   105 0.90 -
117816at50557_29058_0:000b65|STRG.15439.1:928-1401|+   -            158 129956at50557        -            110   1.1e-17   62.8   0.0   1   2   1.2e-08   6.1e-07   28.2   0.0    37   106     1    70     1    74 0.95 -
117816at50557_29058_0:000b65|STRG.15439.1:928-1401|+   -            158 129956at50557        -            110   1.1e-17   62.8   0.0   2   2   4.1e-10   2.1e-08   32.9   0.0    32    93    82   143    75   145 0.92 -
117816at50557_29058_0:000b65|STRG.15439.2:481-954|+    -            158 129956at50557        -            110   1.1e-17   62.8   0.0   1   2   1.2e-08   6.1e-07   28.2   0.0    37   106     1    70     1    74 0.95 -
117816at50557_29058_0:000b65|STRG.15439.2:481-954|+    -            158 129956at50557        -            110   1.1e-17   62.8   0.0   2   2   4.1e-10   2.1e-08   32.9   0.0    32    93    82   143    75   145 0.92 -
117816at50557_29058_0:000b65|STRG.15439.3:400-873|+    -            158 129956at50557        -            110   1.1e-17   62.8   0.0   1   2   1.2e-08   6.1e-07   28.2   0.0    37   106     1    70     1    74 0.95 -
117816at50557_29058_0:000b65|STRG.15439.3:400-873|+    -            158 129956at50557        -            110   1.1e-17   62.8   0.0   2   2   4.1e-10   2.1e-08   32.9   0.0    32    93    82   143    75   145 0.92 -
117816at50557_29058_0:000b65|STRG.15439.5:876-1349|+   -            158 129956at50557        -            110   1.1e-17   62.8   0.0   1   2   1.2e-08   6.1e-07   28.2   0.0    37   106     1    70     1    74 0.95 -
117816at50557_29058_0:000b65|STRG.15439.5:876-1349|+   -            158 129956at50557        -            110   1.1e-17   62.8   0.0   2   2   4.1e-10   2.1e-08   32.9   0.0    32    93    82   143    75   145 0.92 -
117816at50557_29058_0:000b65|STRG.15439.6:518-991|+    -            158 129956at50557        -            110   1.1e-17   62.8   0.0   1   2   1.2e-08   6.1e-07   28.2   0.0    37   106     1    70     1    74 0.95 -
117816at50557_29058_0:000b65|STRG.15439.6:518-991|+    -            158 129956at50557        -            110   1.1e-17   62.8   0.0   2   2   4.1e-10   2.1e-08   32.9   0.0    32    93    82   143    75   145 0.92 -
129956at50557_286306_0:000be5|STRG.12907.2:54-314|+    -             87 129956at50557        -            110   1.9e-17   62.0   0.0   1   1   4.1e-19   2.1e-17   61.8   0.0    32   106     1    75     1    79 0.97 -
24138at50557_103372_0:001296|STRG.3619.1:156-2819|+    -            888 129956at50557        -            110   6.7e-17   60.2   0.0   1   3   0.00038      0.02   13.6   0.1    33   104     5    75     2    79 0.86 -
24138at50557_103372_0:001296|STRG.3619.1:156-2819|+    -            888 129956at50557        -            110   6.7e-17   60.2   0.0   2   3   1.4e-07   7.4e-06   24.7   0.0     9   102   328   420   321   427 0.83 -
24138at50557_103372_0:001296|STRG.3619.1:156-2819|+    -            888 129956at50557        -            110   6.7e-17   60.2   0.0   3   3    0.0002      0.01   14.5   0.0    30    88   764   823   752   843 0.83 -
83433at50557_166361_0:0030d8|STRG.15439.4:2552-3112|+  -            187 129956at50557        -            110   1.4e-16   59.2   0.0   1   2   1.3e-07   6.7e-06   24.8   0.0    41   106     2    67     1    71 0.93 -
83433at50557_166361_0:0030d8|STRG.15439.4:2552-3112|+  -            187 129956at50557        -            110   1.4e-16   59.2   0.0   2   2   5.6e-10   2.9e-08   32.4   0.0    32    93    79   140    72   143 0.92 -
129956at50557_112268_0:002589|STRG.6625.7:365-718|+    -            118 129956at50557        -            110   3.2e-16   58.1   0.0   1   2   1.7e-10   8.8e-09   34.1   0.0    32    83     1    52     1    79 0.87 -
129956at50557_112268_0:002589|STRG.6625.7:365-718|+    -            118 129956at50557        -            110   3.2e-16   58.1   0.0   2   2     6e-07   3.1e-05   22.7   0.0    31    67    80   116    64   118 0.90 -
129956at50557_64459_0:001a3e|STRG.18348.1:2336-2749|+  -            138 129956at50557        -            110   7.1e-15   53.7   0.0   1   2   6.1e-12   3.1e-10   38.8   0.0    32   103     1    72     1    79 0.97 -
129956at50557_64459_0:001a3e|STRG.18348.1:2336-2749|+  -            138 129956at50557        -            110   7.1e-15   53.7   0.0   2   2   0.00046     0.024   13.4   0.0    25    64    92   131    81   138 0.85 -
129956at50557_64459_0:001a3e|STRG.18348.2:505-918|+    -            138 129956at50557        -            110   7.1e-15   53.7   0.0   1   2   6.1e-12   3.1e-10   38.8   0.0    32   103     1    72     1    79 0.97 -
129956at50557_64459_0:001a3e|STRG.18348.2:505-918|+    -            138 129956at50557        -            110   7.1e-15   53.7   0.0   2   2   0.00046     0.024   13.4   0.0    25    64    92   131    81   138 0.85 -
129956at50557_64459_0:001a3e|STRG.18348.3:1431-1844|+  -            138 129956at50557        -            110   7.1e-15   53.7   0.0   1   2   6.1e-12   3.1e-10   38.8   0.0    32   103     1    72     1    79 0.97 -
129956at50557_64459_0:001a3e|STRG.18348.3:1431-1844|+  -            138 129956at50557        -            110   7.1e-15   53.7   0.0   2   2   0.00046     0.024   13.4   0.0    25    64    92   131    81   138 0.85 -
129956at50557_64459_0:001a3e|STRG.18348.4:1409-1822|+  -            138 129956at50557        -            110   7.1e-15   53.7   0.0   1   2   6.1e-12   3.1e-10   38.8   0.0    32   103     1    72     1    79 0.97 -
129956at50557_64459_0:001a3e|STRG.18348.4:1409-1822|+  -            138 129956at50557        -            110   7.1e-15   53.7   0.0   2   2   0.00046     0.024   13.4   0.0    25    64    92   131    81   138 0.85 -
129956at50557_64459_0:001a3e|STRG.18348.5:672-1085|+   -            138 129956at50557        -            110   7.1e-15   53.7   0.0   1   2   6.1e-12   3.1e-10   38.8   0.0    32   103     1    72     1    79 0.97 -
129956at50557_64459_0:001a3e|STRG.18348.5:672-1085|+   -            138 129956at50557        -            110   7.1e-15   53.7   0.0   2   2   0.00046     0.024   13.4   0.0    25    64    92   131    81   138 0.85 -
83433at50557_133901_0:001dd1|STRG.4100.1:716-1231|+    -            172 129956at50557        -            110   2.8e-14   51.8   0.1   1   2   1.7e-06   8.8e-05   21.2   0.0    32    83     2    53     1    78 0.89 -
83433at50557_133901_0:001dd1|STRG.4100.1:716-1231|+    -            172 129956at50557        -            110   2.8e-14   51.8   0.1   2   2   6.2e-09   3.2e-07   29.1   0.1    29    82    87   140    73   165 0.87 -
101501at50557_103372_0:00154d|STRG.6004.1:497-2818|+   -            774 129956at50557        -            110   3.9e-14   51.3   0.8   1   4   0.00053     0.027   13.2   0.0    30   102    41   111    23   117 0.88 -
101501at50557_103372_0:00154d|STRG.6004.1:497-2818|+   -            774 129956at50557        -            110   3.9e-14   51.3   0.8   2   4   1.9e-08   9.8e-07   27.5   0.0     5   105   160   258   156   263 0.82 -
101501at50557_103372_0:00154d|STRG.6004.1:497-2818|+   -            774 129956at50557        -            110   3.9e-14   51.3   0.8   3   4       1.7        88    1.9   0.0    29    79   385   435   375   464 0.84 -
101501at50557_103372_0:00154d|STRG.6004.1:497-2818|+   -            774 129956at50557        -            110   3.9e-14   51.3   0.8   4   4      0.77        39    3.0   0.0    61    92   573   604   560   615 0.75 -
101501at50557_103372_0:00154d|STRG.6004.2:0-2339|+     -            780 129956at50557        -            110   4.1e-14   51.3   0.8   1   4   0.00054     0.028   13.2   0.0    30   102    47   117    29   123 0.88 -
101501at50557_103372_0:00154d|STRG.6004.2:0-2339|+     -            780 129956at50557        -            110   4.1e-14   51.3   0.8   2   4   1.9e-08   9.9e-07   27.5   0.0     5   105   166   264   162   269 0.81 -
101501at50557_103372_0:00154d|STRG.6004.2:0-2339|+     -            780 129956at50557        -            110   4.1e-14   51.3   0.8   3   4       1.7        89    1.9   0.0    29    79   391   441   381   470 0.84 -
101501at50557_103372_0:00154d|STRG.6004.2:0-2339|+     -            780 129956at50557        -            110   4.1e-14   51.3   0.8   4   4      0.78        40    3.0   0.0    61    92   579   610   566   621 0.75 -
59099at50557_64793_0:000fa7|STRG.1381.1:180-1115|+     -            312 129956at50557        -            110   9.7e-13   46.8   0.1   1   2   4.2e-06   0.00021   20.0   0.0    31   104    55   128    43   133 0.90 -
59099at50557_64793_0:000fa7|STRG.1381.1:180-1115|+     -            312 129956at50557        -            110   9.7e-13   46.8   0.1   2   2   1.3e-07   6.8e-06   24.8   0.0    32   103   225   295   222   304 0.89 -
129956at50557_286306_0:000be5|STRG.21359.8:37-324|+    -             96 129956at50557        -            110   1.1e-12   46.6   0.0   1   1   2.5e-14   1.3e-12   46.4   0.0    31    97     4    70     1    82 0.91 -
129956at50557_13686_0:0011f5|STRG.2869.1:774-1001|+    -             76 129956at50557        -            110   1.2e-12   46.6   0.0   1   1   2.4e-14   1.2e-12   46.5   0.0    32   104     1    73     1    76 0.97 -
129956at50557_13686_0:0011f5|STRG.2869.2:674-901|+     -             76 129956at50557        -            110   1.2e-12   46.6   0.0   1   1   2.4e-14   1.2e-12   46.5   0.0    32   104     1    73     1    76 0.97 -
129956at50557_7395_0:00347a|STRG.21359.1:49-303|+      -             85 129956at50557        -            110   1.9e-12   45.9   0.0   1   1   4.2e-14   2.2e-12   45.7   0.0    32    97     1    66     1    77 0.93 -
129956at50557_7395_0:00347a|STRG.21359.2:49-303|+      -             85 129956at50557        -            110   1.9e-12   45.9   0.0   1   1   4.2e-14   2.2e-12   45.7   0.0    32    97     1    66     1    77 0.93 -
129956at50557_7395_0:00347a|STRG.21359.3:49-303|+      -             85 129956at50557        -            110   1.9e-12   45.9   0.0   1   1   4.2e-14   2.2e-12   45.7   0.0    32    97     1    66     1    77 0.93 -
129956at50557_7395_0:00347a|STRG.21359.4:49-303|+      -             85 129956at50557        -            110   1.9e-12   45.9   0.0   1   1   4.2e-14   2.2e-12   45.7   0.0    32    97     1    66     1    77 0.93 -
129956at50557_7395_0:00347a|STRG.21359.5:49-303|+      -             85 129956at50557        -            110   1.9e-12   45.9   0.0   1   1   4.2e-14   2.2e-12   45.7   0.0    32    97     1    66     1    77 0.93 -
129956at50557_7395_0:00347a|STRG.21359.6:49-303|+      -             85 129956at50557        -            110   1.9e-12   45.9   0.0   1   1   4.2e-14   2.2e-12   45.7   0.0    32    97     1    66     1    77 0.93 -
129956at50557_7395_0:00347a|STRG.21359.7:49-303|+      -             85 129956at50557        -            110   1.9e-12   45.9   0.0   1   1   4.2e-14   2.2e-12   45.7   0.0    32    97     1    66     1    77 0.93 -
129956at50557_7395_0:00347a|STRG.21359.9:49-303|+      -             85 129956at50557        -            110   1.9e-12   45.9   0.0   1   1   4.2e-14   2.2e-12   45.7   0.0    32    97     1    66     1    77 0.93 -
129956at50557_64838_0:000c3c|STRG.24179.4:277-498|+    -             74 129956at50557        -            110   4.5e-12   44.7   0.0   1   1   9.4e-14   4.8e-12   44.6   0.0    33   104     2    73     1    74 0.96 -
129956at50557_64838_0:000c3c|STRG.24179.5:766-987|+    -             74 129956at50557        -            110   4.5e-12   44.7   0.0   1   1   9.4e-14   4.8e-12   44.6   0.0    33   104     2    73     1    74 0.96 -
129956at50557_38123_0:0017f4|STRG.8009.1:521-673|+     -             51 129956at50557        -            110   5.1e-12   44.5   0.2   1   1     1e-13   5.4e-12   44.4   0.2    32    81     1    50     1    51 0.97 -
129956at50557_38123_0:0017f4|STRG.8009.2:521-673|+     -             51 129956at50557        -            110   5.1e-12   44.5   0.2   1   1     1e-13   5.4e-12   44.4   0.2    32    81     1    50     1    51 0.97 -
129956at50557_38123_0:0017f4|STRG.8009.3:521-673|+     -             51 129956at50557        -            110   5.1e-12   44.5   0.2   1   1     1e-13   5.4e-12   44.4   0.2    32    81     1    50     1    51 0.97 -
129956at50557_7425_0:001fb1|STRG.22970.1:809-1051|+    -             81 129956at50557        -            110   7.4e-12   44.0   0.0   1   1   1.7e-13   8.5e-12   43.8   0.0    32   105     1    74     1    78 0.96 -
129956at50557_7425_0:001fb1|STRG.22970.4:771-1013|+    -             81 129956at50557        -            110   7.4e-12   44.0   0.0   1   1   1.7e-13   8.5e-12   43.8   0.0    32   105     1    74     1    78 0.96 -
129956at50557_38123_0:0017f4|STRG.6625.4:569-721|+     -             51 129956at50557        -            110   9.5e-12   43.6   0.2   1   1     2e-13     1e-11   43.6   0.2    32    81     1    50     1    51 0.97 -
129956at50557_38123_0:0017f4|STRG.6625.5:1114-1266|+   -             51 129956at50557        -            110   9.5e-12   43.6   0.2   1   1     2e-13     1e-11   43.6   0.2    32    81     1    50     1    51 0.97 -
129956at50557_38123_0:0017f4|STRG.6625.6:1020-1172|+   -             51 129956at50557        -            110   9.5e-12   43.6   0.2   1   1     2e-13     1e-11   43.6   0.2    32    81     1    50     1    51 0.97 -
129956at50557_199890_0:001386|STRG.5925.2:600-884|+    -             95 129956at50557        -            110   2.4e-11   42.4   0.0   1   1     5e-13   2.6e-11   42.3   0.0    28   102    20    94     9    95 0.93 -
129956at50557_199890_0:001386|STRG.5925.3:600-884|+    -             95 129956at50557        -            110   2.4e-11   42.4   0.0   1   1     5e-13   2.6e-11   42.3   0.0    28   102    20    94     9    95 0.93 -
129956at50557_199890_0:001386|STRG.5925.1:849-1127|+   -             93 129956at50557        -            110   2.9e-11   42.1   0.0   1   1   6.1e-13   3.1e-11   42.0   0.0    28   100    20    92     9    93 0.94 -
129956at50557_7160_0:003f5c|STRG.17827.1:392-604|+     -             71 129956at50557        -            110   2.9e-11   42.1   0.1   1   1   6.1e-13   3.1e-11   42.0   0.1    36   104     3    71     1    71 0.96 -
129956at50557_7160_0:003f5c|STRG.17827.2:392-604|+     -             71 129956at50557        -            110   2.9e-11   42.1   0.1   1   1   6.1e-13   3.1e-11   42.0   0.1    36   104     3    71     1    71 0.96 -
129956at50557_7160_0:003f5c|STRG.17827.3:392-604|+     -             71 129956at50557        -            110   2.9e-11   42.1   0.1   1   1   6.1e-13   3.1e-11   42.0   0.1    36   104     3    71     1    71 0.96 -
129956at50557_7160_0:003f5c|STRG.17827.4:392-604|+     -             71 129956at50557        -            110   2.9e-11   42.1   0.1   1   1   6.1e-13   3.1e-11   42.0   0.1    36   104     3    71     1    71 0.96 -
129956at50557_29053_0:00060a|STRG.14793.1:422-676|+    -             85 129956at50557        -            110   3.3e-11   41.9   0.0   1   1   7.4e-13   3.8e-11   41.7   0.0    32    96     1    69     1    79 0.86 -
129956at50557_29053_0:00060a|STRG.14793.2:422-676|+    -             85 129956at50557        -            110   3.3e-11   41.9   0.0   1   1   7.4e-13   3.8e-11   41.7   0.0    32    96     1    69     1    79 0.86 -
129956at50557_51655_0:0033b8|STRG.10268.1:612-923|+    -            104 129956at50557        -            110   3.2e-10   38.7   0.0   1   1   7.1e-12   3.7e-10   38.5   0.0    26    92     2    70     1    82 0.88 -
129956at50557_51655_0:0033b8|STRG.10268.3:612-923|+    -            104 129956at50557        -            110   3.2e-10   38.7   0.0   1   1   7.1e-12   3.7e-10   38.5   0.0    26    92     2    70     1    82 0.88 -
129956at50557_7176_0:003daf|STRG.21837.1:1399-1638|+   -             80 129956at50557        -            110     4e-10   38.4   0.0   1   1   8.7e-12   4.5e-10   38.3   0.0    32   104     1    73     1    79 0.95 -
117816at50557_13249_0:002086|STRG.1565.2:62-478|+      -            139 129956at50557        -            110   1.7e-09   36.4   0.0   1   2     0.015      0.76    8.5   0.0    61    90     3    34     1    57 0.76 -
117816at50557_13249_0:002086|STRG.1565.2:62-478|+      -            139 129956at50557        -            110   1.7e-09   36.4   0.0   2   2   4.1e-08   2.1e-06   26.4   0.0    31    81    62   112    51   136 0.88 -
129956at50557_7159_0:0030fc|STRG.14535.1:291-530|+     -             80 129956at50557        -            110   2.1e-09   36.1   0.0   1   1   4.6e-11   2.3e-09   35.9   0.0    32   104     1    73     1    79 0.95 -
129956at50557_29031_0:001f45|STRG.7704.1:892-1035|+    -             48 129956at50557        -            110   2.4e-09   35.9   0.1   1   1     5e-11   2.6e-09   35.8   0.1    32    79     1    48     1    48 0.98 -
129956at50557_29031_0:001f45|STRG.7704.2:420-563|+     -             48 129956at50557        -            110   2.4e-09   35.9   0.1   1   1     5e-11   2.6e-09   35.8   0.1    32    79     1    48     1    48 0.98 -
135254at50557_103372_0:002a85|STRG.8240.1:0-374|+      -            125 129956at50557        -            110   5.8e-09   34.7   0.2   1   1   1.6e-10   8.4e-09   34.2   0.2    32   109    22    96    19    97 0.92 -
129956at50557_441921_0:0017da|STRG.17660.4:1205-1435|+ -             77 129956at50557        -            110   5.9e-09   34.6   0.0   1   1   1.3e-10   6.4e-09   34.5   0.0    32    98     1    66     1    76 0.89 -
129956at50557_441921_0:0017da|STRG.17660.5:1166-1396|+ -             77 129956at50557        -            110   5.9e-09   34.6   0.0   1   1   1.3e-10   6.4e-09   34.5   0.0    32    98     1    66     1    76 0.89 -
101501at50557_1218281_0:0033ae|STRG.8896.1:252-470|+   -             73 129956at50557        -            110   1.1e-08   33.8   0.0   1   1   2.2e-10   1.1e-08   33.8   0.0    37   105     2    70     1    73 0.95 -
101501at50557_1218281_0:0033ae|STRG.8896.2:252-470|+   -             73 129956at50557        -            110   1.1e-08   33.8   0.0   1   1   2.2e-10   1.1e-08   33.8   0.0    37   105     2    70     1    73 0.95 -
101501at50557_1218281_0:0033ae|STRG.8896.3:252-470|+   -             73 129956at50557        -            110   1.1e-08   33.8   0.0   1   1   2.2e-10   1.1e-08   33.8   0.0    37   105     2    70     1    73 0.95 -
129956at50557_104688_0:0004d5|STRG.2266.1:69-335|+     -             89 129956at50557        -            110   1.2e-08   33.6   0.1   1   1   2.8e-10   1.4e-08   33.4   0.1    27   104    12    89     5    89 0.96 -
129956at50557_7176_0:003daf|STRG.24179.4:1005-1232|+   -             76 129956at50557        -            110   1.4e-08   33.5   0.0   1   1   2.8e-10   1.4e-08   33.4   0.0    32   103     5    76     1    76 0.93 -
129956at50557_7176_0:003daf|STRG.24179.5:1494-1721|+   -             76 129956at50557        -            110   1.4e-08   33.5   0.0   1   1   2.8e-10   1.4e-08   33.4   0.0    32   103     5    76     1    76 0.93 -
117816at50557_307658_0:0005e3|STRG.17701.1:0-884|+     -            295 129956at50557        -            110   1.4e-08   33.4   0.0   1   2   5.4e-07   2.8e-05   22.8   0.0    32    96    10    75     8    88 0.90 -
117816at50557_307658_0:0005e3|STRG.17701.1:0-884|+     -            295 129956at50557        -            110   1.4e-08   33.4   0.0   2   2     0.019      0.98    8.2   0.0    32    95   103   166    98   178 0.74 -
129956at50557_441921_0:0017da|STRG.17660.1:1205-1435|+ -             77 129956at50557        -            110   1.6e-08   33.3   0.0   1   1   3.3e-10   1.7e-08   33.2   0.0    32    98     1    66     1    76 0.88 -
129956at50557_441921_0:0017da|STRG.17660.2:1205-1435|+ -             77 129956at50557        -            110   1.6e-08   33.3   0.0   1   1   3.3e-10   1.7e-08   33.2   0.0    32    98     1    66     1    76 0.88 -
129956at50557_441921_0:0017da|STRG.17660.3:1205-1435|+ -             77 129956at50557        -            110   1.6e-08   33.3   0.0   1   1   3.3e-10   1.7e-08   33.2   0.0    32    98     1    66     1    76 0.88 -
129956at50557_7536_0:0043e4|STRG.13011.2:2-355|+       -            118 129956at50557        -            110   3.9e-08   32.0   0.0   1   1   1.3e-09   6.5e-08   31.3   0.0    32   103     1    73     1    79 0.90 -
117816at50557_7397_0:002a90|STRG.17406.2:506-664|+     -             53 129956at50557        -            110     7e-08   31.2   0.0   1   1   1.4e-09   7.2e-08   31.2   0.0    32    81     1    49     1    53 0.93 -
