#                                                                                                             --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                         accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                 ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
102968at50557_34720_0:0002ad|STRG.5936.1:147-5828|+   -           1894 102968at50557        -            278  2.4e-121  403.3   0.8   1   1  1.5e-123  4.4e-121  402.5   0.8     1   273     1   306     1   311 0.91 -
31141at50557_34720_0:0021d7|STRG.20882.2:477-2522|+   -            682 102968at50557        -            278   0.00036   19.0   0.3   1   2      0.89   2.7e+02   -0.3   0.0    12    60   162   212   160   223 0.77 -
31141at50557_34720_0:0021d7|STRG.20882.2:477-2522|+   -            682 102968at50557        -            278   0.00036   19.0   0.3   2   2     7e-06    0.0021   16.4   0.5    12    71   231   293   217   303 0.84 -
31141at50557_34720_0:0021d7|STRG.20882.1:149-2527|+   -            793 102968at50557        -            278   0.00048   18.5   0.3   1   2       1.1   3.2e+02   -0.6   0.0    12    60   273   323   271   334 0.77 -
31141at50557_34720_0:0021d7|STRG.20882.1:149-2527|+   -            793 102968at50557        -            278   0.00048   18.5   0.3   2   2   8.4e-06    0.0025   16.2   0.5    12    71   342   404   328   414 0.84 -
31141at50557_34720_0:0021d7|STRG.20882.3:0-2378|+     -            793 102968at50557        -            278   0.00048   18.5   0.3   1   2       1.1   3.2e+02   -0.6   0.0    12    60   273   323   271   334 0.77 -
31141at50557_34720_0:0021d7|STRG.20882.3:0-2378|+     -            793 102968at50557        -            278   0.00048   18.5   0.3   2   2   8.4e-06    0.0025   16.2   0.5    12    71   342   404   328   414 0.84 -
10394at50557_7536_0:0020dc|STRG.14395.3:226-753|+     -            176 102968at50557        -            278    0.0033   15.8   0.0   1   2    0.0069       2.1    6.6   0.0   185   232    38    85    21   105 0.80 -
10394at50557_7536_0:0020dc|STRG.14395.3:226-753|+     -            176 102968at50557        -            278    0.0033   15.8   0.0   2   2    0.0037       1.1    7.5   0.0   185   226   136   176   124   176 0.89 -
10394at50557_7536_0:0020dc|STRG.14395.4:126-653|+     -            176 102968at50557        -            278    0.0033   15.8   0.0   1   2    0.0069       2.1    6.6   0.0   185   232    38    85    21   105 0.80 -
10394at50557_7536_0:0020dc|STRG.14395.4:126-653|+     -            176 102968at50557        -            278    0.0033   15.8   0.0   2   2    0.0037       1.1    7.5   0.0   185   226   136   176   124   176 0.89 -
102616at50557_197043_0:0010e9|STRG.14424.1:270-515|+  -             82 102968at50557        -            278    0.0045   15.3   0.0   1   1   1.5e-05    0.0045   15.3   0.0   186   250    12    78     2    82 0.84 -
110125at50557_69820_0:0005bb|STRG.1271.1:1558-1890|+  -            111 102968at50557        -            278     0.005   15.2   0.0   1   1     2e-05    0.0061   14.9   0.0   195   250    33    88    24    96 0.92 -
110125at50557_69820_0:0005bb|STRG.1271.2:1218-1550|+  -            111 102968at50557        -            278     0.005   15.2   0.0   1   1     2e-05    0.0061   14.9   0.0   195   250    33    88    24    96 0.92 -
102616at50557_456900_0:0023c2|STRG.14891.4:146-865|+  -            240 102968at50557        -            278    0.0073   14.6   0.0   1   1   3.5e-05     0.011   14.1   0.0   173   246    35   107    34   130 0.83 -
102616at50557_456900_0:0023c2|STRG.14891.1:245-1636|+ -            354 102968at50557        -            278     0.015   13.6   0.0   1   1   7.5e-05     0.022   13.1   0.0   173   246   149   221   148   243 0.83 -
102616at50557_456900_0:0023c2|STRG.14891.2:37-1098|+  -            354 102968at50557        -            278     0.015   13.6   0.0   1   1   7.5e-05     0.022   13.1   0.0   173   246   149   221   148   243 0.83 -
102616at50557_456900_0:0023c2|STRG.14891.3:174-1235|+ -            354 102968at50557        -            278     0.015   13.6   0.0   1   1   7.5e-05     0.022   13.1   0.0   173   246   149   221   148   243 0.83 -
102616at50557_456900_0:0023c2|STRG.14891.5:266-1327|+ -            354 102968at50557        -            278     0.015   13.6   0.0   1   1   7.5e-05     0.022   13.1   0.0   173   246   149   221   148   243 0.83 -
10394at50557_7536_0:0020dc|STRG.12225.1:339-851|+     -            171 102968at50557        -            278     0.018   13.4   0.0   1   2   0.00016     0.048   12.0   0.0   201   258    32    92    11   104 0.86 -
10394at50557_7536_0:0020dc|STRG.12225.1:339-851|+     -            171 102968at50557        -            278     0.018   13.4   0.0   2   2       1.6   4.8e+02   -1.1   0.0   201   225   125   149   100   161 0.72 -
10394at50557_7536_0:0020dc|STRG.8449.1:3794-4381|+    -            196 102968at50557        -            278      0.11   10.8   0.0   1   2    0.0081       2.4    6.4   0.0   180   249     7    79     3    85 0.78 -
10394at50557_7536_0:0020dc|STRG.8449.1:3794-4381|+    -            196 102968at50557        -            278      0.11   10.8   0.0   2   2      0.12        35    2.6   0.0   206   229   158   181   129   196 0.71 -
10394at50557_7536_0:0020dc|STRG.8449.2:1879-2466|+    -            196 102968at50557        -            278      0.11   10.8   0.0   1   2    0.0081       2.4    6.4   0.0   180   249     7    79     3    85 0.78 -
10394at50557_7536_0:0020dc|STRG.8449.2:1879-2466|+    -            196 102968at50557        -            278      0.11   10.8   0.0   2   2      0.12        35    2.6   0.0   206   229   158   181   129   196 0.71 -
10394at50557_7536_0:0020dc|STRG.8449.3:2280-2867|+    -            196 102968at50557        -            278      0.11   10.8   0.0   1   2    0.0081       2.4    6.4   0.0   180   249     7    79     3    85 0.78 -
10394at50557_7536_0:0020dc|STRG.8449.3:2280-2867|+    -            196 102968at50557        -            278      0.11   10.8   0.0   2   2      0.12        35    2.6   0.0   206   229   158   181   129   196 0.71 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/justine/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/102968at50557.hmm
# Target file:     annotation_analysis/annotation_gca/T_cornetzi/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas
# Option settings: hmmsearch --domtblout annotation_analysis/annotation_gca/T_cornetzi/busco_output/run_insecta_odb10/hmmer_output/initial_run_results/102968at50557.out --cpu 1 /home/justine/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/102968at50557.hmm annotation_analysis/annotation_gca/T_cornetzi/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas 
# Current dir:     /home/justine/projet_tutore
# Date:            Sun Dec  1 22:14:07 2024
# [ok]
