#                                                                                                              --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                          accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                  ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
48053at50557_121845_0:002b56|STRG.5987.1:7-345|+       -            113 48053at50557         -            417   1.1e-57  194.5   0.0   1   1   2.7e-59   1.3e-57  194.3   0.0   281   377     7   113     3   113 0.94 -
49370at50557_456900_0:00265d|STRG.24170.3:0-1568|+     -            523 48053at50557         -            417   4.3e-21   74.0   0.0   3   4   2.2e-07     1e-05   23.3   0.0   286   345   331   397   324   404 0.85 -
49370at50557_456900_0:00265d|STRG.24170.3:0-1568|+     -            523 48053at50557         -            417   4.3e-21   74.0   0.0   4   4   1.5e-17   6.8e-16   56.8   0.0   285   417   372   520   365   520 0.81 -
40115at50557_28612_0:000941|STRG.21446.1:0-911|+       -            304 48053at50557         -            417   8.5e-17   59.8   0.1   1   2   4.4e-05     0.002   15.7   0.1   252   343    76   181    16   194 0.47 -
40115at50557_28612_0:000941|STRG.21446.1:0-911|+       -            304 48053at50557         -            417   8.5e-17   59.8   0.1   2   2   1.1e-12     5e-11   40.8   0.0   218   378   147   302   143   304 0.64 -
40115at50557_28612_0:000941|STRG.21446.3:39-890|+      -            284 48053at50557         -            417   9.1e-17   59.7   0.1   1   2   4.3e-05     0.002   15.8   0.1   253   343    57   161     1   175 0.46 -
40115at50557_28612_0:000941|STRG.21446.3:39-890|+      -            284 48053at50557         -            417   9.1e-17   59.7   0.1   2   2     9e-13   4.2e-11   41.1   0.1   218   378   127   282   123   284 0.64 -
43553at50557_136037_0:001d49|STRG.10646.1:84-893|+     -            270 48053at50557         -            417   2.3e-16   58.4   0.8   1   4       2.4   1.1e+02    0.1   0.0   299   343     4    55     1    67 0.52 -
43553at50557_136037_0:001d49|STRG.10646.1:84-893|+     -            270 48053at50557         -            417   2.3e-16   58.4   0.8   2   4   1.5e-08   7.2e-07   27.1   0.0   286   374    81   177    73   178 0.80 -
43553at50557_136037_0:001d49|STRG.10646.1:84-893|+     -            270 48053at50557         -            417   2.3e-16   58.4   0.8   3   4   1.3e-07   6.2e-06   24.0   0.0   286   351   122   194   116   197 0.82 -
43553at50557_136037_0:001d49|STRG.10646.1:84-893|+     -            270 48053at50557         -            417   2.3e-16   58.4   0.8   4   4   6.8e-06   0.00032   18.4   0.0   286   376   164   265   158   270 0.74 -
40115at50557_29053_0:0017ce|STRG.10646.3:162-1034|+    -            291 48053at50557         -            417   3.9e-16   57.7   1.2   1   4      0.19       8.9    3.8   0.1   219   253     1    39     1    58 0.83 -
40115at50557_29053_0:0017ce|STRG.10646.3:162-1034|+    -            291 48053at50557         -            417   3.9e-16   57.7   1.2   2   4   1.2e-08   5.8e-07   27.4   0.1   287   375   103   199    95   201 0.80 -
40115at50557_29053_0:0017ce|STRG.10646.3:162-1034|+    -            291 48053at50557         -            417   3.9e-16   57.7   1.2   3   4   1.5e-07   7.2e-06   23.8   0.0   286   351   143   215   137   218 0.82 -
40115at50557_29053_0:0017ce|STRG.10646.3:162-1034|+    -            291 48053at50557         -            417   3.9e-16   57.7   1.2   4   4   8.4e-06    0.0004   18.1   0.0   286   376   185   286   180   291 0.74 -
57752at50557_121225_0:0018b6|STRG.12706.1:309-1223|+   -            305 48053at50557         -            417   1.3e-15   56.0   4.2   1   3   6.1e-09   2.9e-07   28.4   0.5   329   417    20   117     6   117 0.81 -
57752at50557_121225_0:0018b6|STRG.12706.1:309-1223|+   -            305 48053at50557         -            417   1.3e-15   56.0   4.2   2   3   0.00064      0.03   11.9   0.1   215   254    82   125    75   129 0.83 -
57752at50557_121225_0:0018b6|STRG.12706.1:309-1223|+   -            305 48053at50557         -            417   1.3e-15   56.0   4.2   3   3   9.5e-08   4.5e-06   24.5   0.1   236   378   149   301   120   305 0.73 -
57752at50557_103372_0:000c5a|STRG.2014.2:0-1361|+      -            454 48053at50557         -            417   1.3e-15   55.9   0.4   1   3   1.3e-05   0.00062   17.5   0.0   288   347   153   219   134   227 0.77 -
57752at50557_103372_0:000c5a|STRG.2014.2:0-1361|+      -            454 48053at50557         -            417   1.3e-15   55.9   0.4   2   3   1.7e-07     8e-06   23.7   0.2   188   253   235   304   216   316 0.83 -
57752at50557_103372_0:000c5a|STRG.2014.2:0-1361|+      -            454 48053at50557         -            417   1.3e-15   55.9   0.4   3   3   0.00068     0.032   11.8   0.0   282   383   315   431   307   443 0.68 -
57752at50557_103372_0:000c5a|STRG.2014.1:555-1919|+    -            455 48053at50557         -            417   1.3e-15   55.9   0.4   1   3   1.3e-05   0.00062   17.4   0.0   288   347   154   220   135   228 0.77 -
57752at50557_103372_0:000c5a|STRG.2014.1:555-1919|+    -            455 48053at50557         -            417   1.3e-15   55.9   0.4   2   3   1.7e-07   8.1e-06   23.7   0.2   188   253   236   305   217   317 0.83 -
57752at50557_103372_0:000c5a|STRG.2014.1:555-1919|+    -            455 48053at50557         -            417   1.3e-15   55.9   0.4   3   3   0.00068     0.032   11.8   0.0   282   383   316   432   308   444 0.68 -
80377at50557_7220_0:002af5|STRG.21442.3:143-1000|+     -            286 48053at50557         -            417   1.5e-15   55.8   1.0   1   3   3.5e-05    0.0016   16.1   0.1   249   346     9   121     6   130 0.60 -
80377at50557_7220_0:002af5|STRG.21442.3:143-1000|+     -            286 48053at50557         -            417   1.5e-15   55.8   1.0   2   3   7.2e-05    0.0034   15.0   0.0   279   318   131   170   123   177 0.91 -
80377at50557_7220_0:002af5|STRG.21442.3:143-1000|+     -            286 48053at50557         -            417   1.5e-15   55.8   1.0   3   3   5.7e-07   2.7e-05   21.9   0.0   286   381   179   282   171   285 0.82 -
43553at50557_319348_0:003bc4|STRG.10646.2:527-1252|+   -            242 48053at50557         -            417   1.1e-14   52.9   1.5   1   3   7.2e-07   3.4e-05   21.6   0.0   285   352    52   125    35   133 0.81 -
43553at50557_319348_0:003bc4|STRG.10646.2:527-1252|+   -            242 48053at50557         -            417   1.1e-14   52.9   1.5   2   3   1.3e-07   6.1e-06   24.1   0.0   286   351    94   166    90   168 0.82 -
43553at50557_319348_0:003bc4|STRG.10646.2:527-1252|+   -            242 48053at50557         -            417   1.1e-14   52.9   1.5   3   3   5.4e-06   0.00025   18.7   0.1   286   376   136   237   130   242 0.74 -
80377at50557_121845_0:0030d4|STRG.11971.1:117-983|+    -            289 48053at50557         -            417   1.5e-14   52.5   2.1   1   3    0.0045      0.21    9.1   0.0   317   352     8    43     4    49 0.84 -
80377at50557_121845_0:0030d4|STRG.11971.1:117-983|+    -            289 48053at50557         -            417   1.5e-14   52.5   2.1   2   3   1.4e-07   6.4e-06   24.0   0.2   195   353    61   213    53   230 0.72 -
80377at50557_121845_0:0030d4|STRG.11971.1:117-983|+    -            289 48053at50557         -            417   1.5e-14   52.5   2.1   3   3    0.0026      0.12    9.9   0.1   195   236   233   274   221   288 0.87 -
14512at50557_103372_0:0005b9|STRG.3816.1:368-2947|+    -            860 48053at50557         -            417   3.1e-14   51.4   0.0   1   2     5e-09   2.3e-07   28.7   0.0   282   348   106   179    13   187 0.74 -
14512at50557_103372_0:0005b9|STRG.3816.1:368-2947|+    -            860 48053at50557         -            417   3.1e-14   51.4   0.0   2   2   0.00031     0.014   12.9   0.0   283   382   191   300   188   329 0.73 -
14512at50557_103372_0:0005b9|STRG.3816.2:368-3004|+    -            879 48053at50557         -            417   3.4e-14   51.2   0.0   1   2   5.1e-09   2.4e-07   28.7   0.0   282   348   106   179    13   187 0.74 -
14512at50557_103372_0:0005b9|STRG.3816.2:368-3004|+    -            879 48053at50557         -            417   3.4e-14   51.2   0.0   2   2   0.00032     0.015   12.9   0.0   283   382   191   300   188   328 0.73 -
13625at50557_34720_0:001854|STRG.23081.1:24-2051|+     -            676 48053at50557         -            417   3.4e-14   51.2   1.7   1   7       9.2   4.3e+02   -1.8   0.0   288   335    18    71     4    89 0.69 -
13625at50557_34720_0:001854|STRG.23081.1:24-2051|+     -            676 48053at50557         -            417   3.4e-14   51.2   1.7   2   7    0.0086       0.4    8.2   0.0   314   358   140   184   121   212 0.85 -
13625at50557_34720_0:001854|STRG.23081.1:24-2051|+     -            676 48053at50557         -            417   3.4e-14   51.2   1.7   3   7       7.9   3.7e+02   -1.6   0.0   281   307   309   335   300   350 0.81 -
13625at50557_34720_0:001854|STRG.23081.1:24-2051|+     -            676 48053at50557         -            417   3.4e-14   51.2   1.7   4   7   0.00019    0.0091   13.6   0.0   304   354   382   430   376   435 0.86 -
13625at50557_34720_0:001854|STRG.23081.1:24-2051|+     -            676 48053at50557         -            417   3.4e-14   51.2   1.7   5   7   9.4e-06   0.00044   17.9   0.0   316   382   436   506   431   548 0.70 -
13625at50557_34720_0:001854|STRG.23081.1:24-2051|+     -            676 48053at50557         -            417   3.4e-14   51.2   1.7   6   7    0.0059      0.28    8.7   0.0   187   261   483   564   480   574 0.81 -
13625at50557_34720_0:001854|STRG.23081.1:24-2051|+     -            676 48053at50557         -            417   3.4e-14   51.2   1.7   7   7       2.7   1.3e+02   -0.1   0.0   278   310   625   657   613   667 0.58 -
31374at50557_103372_0:0017b9|STRG.5061.1:0-1955|+      -            652 48053at50557         -            417   6.5e-14   50.3   0.1   1   5      0.15         7    4.1   0.0   281   312   326   357   319   394 0.79 -
31374at50557_103372_0:0017b9|STRG.5061.1:0-1955|+      -            652 48053at50557         -            417   6.5e-14   50.3   0.1   2   5   0.00061     0.028   12.0   0.0   287   342   405   467   400   472 0.82 -
31374at50557_103372_0:0017b9|STRG.5061.1:0-1955|+      -            652 48053at50557         -            417   6.5e-14   50.3   0.1   3   5   5.1e-07   2.4e-05   22.1   0.0   200   255   458   517   456   533 0.84 -
31374at50557_103372_0:0017b9|STRG.5061.1:0-1955|+      -            652 48053at50557         -            417   6.5e-14   50.3   0.1   4   5   9.1e-06   0.00043   18.0   0.0   285   343   487   552   477   562 0.69 -
31374at50557_103372_0:0017b9|STRG.5061.1:0-1955|+      -            652 48053at50557         -            417   6.5e-14   50.3   0.1   5   5   0.00011     0.005   14.5   0.0   287   352   531   603   525   611 0.80 -
40115at50557_1629725_0:001335|STRG.17179.1:654-1457|+  -            268 48053at50557         -            417   8.7e-14   49.9   3.9   1   4   7.6e-08   3.6e-06   24.8   0.2   195   252     2    61     1    70 0.90 -
40115at50557_1629725_0:001335|STRG.17179.1:654-1457|+  -            268 48053at50557         -            417   8.7e-14   49.9   3.9   2   4       2.9   1.4e+02   -0.1   0.0   296   315    85   104    72   110 0.73 -
40115at50557_1629725_0:001335|STRG.17179.1:654-1457|+  -            268 48053at50557         -            417   8.7e-14   49.9   3.9   3   4   8.4e-07     4e-05   21.4   0.0   186   254   116   186   109   189 0.89 -
40115at50557_1629725_0:001335|STRG.17179.1:654-1457|+  -            268 48053at50557         -            417   8.7e-14   49.9   3.9   4   4    0.0049      0.23    9.0   0.0   185   252   155   224   154   234 0.86 -
40115at50557_1629725_0:001335|STRG.17179.2:621-1424|+  -            268 48053at50557         -            417   8.7e-14   49.9   3.9   1   4   7.6e-08   3.6e-06   24.8   0.2   195   252     2    61     1    70 0.90 -
40115at50557_1629725_0:001335|STRG.17179.2:621-1424|+  -            268 48053at50557         -            417   8.7e-14   49.9   3.9   2   4       2.9   1.4e+02   -0.1   0.0   296   315    85   104    72   110 0.73 -
40115at50557_1629725_0:001335|STRG.17179.2:621-1424|+  -            268 48053at50557         -            417   8.7e-14   49.9   3.9   3   4   8.4e-07     4e-05   21.4   0.0   186   254   116   186   109   189 0.89 -
40115at50557_1629725_0:001335|STRG.17179.2:621-1424|+  -            268 48053at50557         -            417   8.7e-14   49.9   3.9   4   4    0.0049      0.23    9.0   0.0   185   252   155   224   154   234 0.86 -
40115at50557_103372_0:0021d6|STRG.12708.2:0-1445|+     -            482 48053at50557         -            417   8.8e-14   49.9   0.1   1   3     1e-10   4.7e-09   34.3   0.0   284   416   126   278   114   279 0.77 -
40115at50557_103372_0:0021d6|STRG.12708.2:0-1445|+     -            482 48053at50557         -            417   8.8e-14   49.9   0.1   2   3     0.036       1.7    6.1   0.0   193   254   338   404   334   420 0.73 -
40115at50557_103372_0:0021d6|STRG.12708.2:0-1445|+     -            482 48053at50557         -            417   8.8e-14   49.9   0.1   3   3      0.05       2.3    5.7   0.0   290   342   422   481   411   482 0.72 -
80377at50557_456900_0:000374|STRG.10678.3:0-1046|+     -            349 48053at50557         -            417   2.7e-13   48.3   0.0   1   4   0.00021    0.0097   13.5   0.0   195   254    71   135    42   150 0.67 -
80377at50557_456900_0:000374|STRG.10678.3:0-1046|+     -            349 48053at50557         -            417   2.7e-13   48.3   0.0   2   4   5.9e-08   2.8e-06   25.2   0.1   320   417   148   253   134   253 0.78 -
80377at50557_456900_0:000374|STRG.10678.3:0-1046|+     -            349 48053at50557         -            417   2.7e-13   48.3   0.0   3   4   5.3e-05    0.0025   15.4   0.0   297   346   202   258   198   277 0.77 -
80377at50557_456900_0:000374|STRG.10678.3:0-1046|+     -            349 48053at50557         -            417   2.7e-13   48.3   0.0   4   4     0.056       2.6    5.5   0.0   192   236   287   331   263   348 0.86 -
80377at50557_456900_0:000374|STRG.10678.2:98-1102|+    -            335 48053at50557         -            417   5.4e-13   47.3   0.0   1   4   0.00024     0.011   13.3   0.0   196   254    72   135    56   149 0.63 -
80377at50557_456900_0:000374|STRG.10678.2:98-1102|+    -            335 48053at50557         -            417   5.4e-13   47.3   0.0   2   4   5.2e-08   2.4e-06   25.4   0.1   320   417   148   253   133   253 0.78 -
80377at50557_456900_0:000374|STRG.10678.2:98-1102|+    -            335 48053at50557         -            417   5.4e-13   47.3   0.0   3   4   5.2e-05    0.0024   15.5   0.0   297   347   202   259   199   278 0.78 -
80377at50557_456900_0:000374|STRG.10678.2:98-1102|+    -            335 48053at50557         -            417   5.4e-13   47.3   0.0   4   4      0.16       7.5    4.0   0.0   192   235   287   330   279   333 0.93 -
33043at50557_103372_0:000263|STRG.20912.1:0-1922|+     -            641 48053at50557         -            417   6.1e-13   47.1   0.3   1   5   5.6e-05    0.0026   15.4   0.0   291   357    10    82     6   102 0.76 -
33043at50557_103372_0:000263|STRG.20912.1:0-1922|+     -            641 48053at50557         -            417   6.1e-13   47.1   0.3   2   5      0.29        14    3.1   0.0   323   348   102   127    94   132 0.83 -
33043at50557_103372_0:000263|STRG.20912.1:0-1922|+     -            641 48053at50557         -            417   6.1e-13   47.1   0.3   3   5     0.063       2.9    5.3   0.0   315   344   276   306   246   330 0.80 -
33043at50557_103372_0:000263|STRG.20912.1:0-1922|+     -            641 48053at50557         -            417   6.1e-13   47.1   0.3   4   5   0.00016    0.0075   13.9   0.0   192   249   339   400   318   411 0.84 -
33043at50557_103372_0:000263|STRG.20912.1:0-1922|+     -            641 48053at50557         -            417   6.1e-13   47.1   0.3   5   5      0.63        30    2.0   0.0   324   398   422   498   413   508 0.74 -
57752at50557_69319_0:000ee5|STRG.11571.1:79-882|+      -            268 48053at50557         -            417   8.8e-13   46.6   0.1   1   3   0.00075     0.035   11.7   0.0   194   247    43   100    26   105 0.91 -
57752at50557_69319_0:000ee5|STRG.11571.1:79-882|+      -            268 48053at50557         -            417   8.8e-13   46.6   0.1   2   3     0.015      0.73    7.3   0.0   218   248   110   145   102   154 0.75 -
57752at50557_69319_0:000ee5|STRG.11571.1:79-882|+      -            268 48053at50557         -            417   8.8e-13   46.6   0.1   3   3   1.3e-07   6.1e-06   24.1   0.0   193   247   172   230   157   237 0.90 -
80377at50557_166361_0:002fc1|STRG.21442.2:1270-2037|+  -            256 48053at50557         -            417     3e-12   44.8   0.8   1   3   2.1e-05   0.00099   16.8   0.1   249   346    25   137     4   145 0.64 -
80377at50557_166361_0:002fc1|STRG.21442.2:1270-2037|+  -            256 48053at50557         -            417     3e-12   44.8   0.8   2   3   6.7e-05    0.0032   15.1   0.0   279   318   147   186   142   193 0.91 -
80377at50557_166361_0:002fc1|STRG.21442.2:1270-2037|+  -            256 48053at50557         -            417     3e-12   44.8   0.8   3   3    0.0028      0.13    9.8   0.0   286   339   195   254   187   255 0.82 -
14512at50557_29053_0:0002b6|STRG.9710.1:49-759|+       -            237 48053at50557         -            417   7.7e-12   43.5   0.1   1   3   1.6e-05   0.00074   17.2   0.0   196   247    23    78     6    82 0.87 -
14512at50557_29053_0:0002b6|STRG.9710.1:49-759|+       -            237 48053at50557         -            417   7.7e-12   43.5   0.1   2   3   0.00058     0.027   12.0   0.0   212   250    81   122    78   131 0.79 -
14512at50557_29053_0:0002b6|STRG.9710.1:49-759|+       -            237 48053at50557         -            417   7.7e-12   43.5   0.1   3   3    0.0012     0.055   11.0   0.0   196   247   179   236   174   237 0.78 -
80377at50557_568069_0:004eea|STRG.6000.1:60-914|+      -            285 48053at50557         -            417   2.6e-11   41.8   0.3   1   3       0.2       9.2    3.7   0.0   310   343     4    37     1    62 0.79 -
80377at50557_568069_0:004eea|STRG.6000.1:60-914|+      -            285 48053at50557         -            417   2.6e-11   41.8   0.3   2   3   0.00012    0.0055   14.3   0.1   295   373    69   155    55   165 0.80 -
80377at50557_568069_0:004eea|STRG.6000.1:60-914|+      -            285 48053at50557         -            417   2.6e-11   41.8   0.3   3   3   1.4e-06   6.8e-05   20.6   0.0   319   381   182   246   173   282 0.72 -
40115at50557_144034_0:000898|STRG.15013.1:1204-2073|+  -            290 48053at50557         -            417   2.6e-11   41.7   0.1   1   3      0.21       9.7    3.6   0.0   315   409     7   112     3   120 0.69 -
40115at50557_144034_0:000898|STRG.15013.1:1204-2073|+  -            290 48053at50557         -            417   2.6e-11   41.7   0.1   2   3   1.4e-09   6.4e-08   30.6   0.0   268   349   118   212   106   235 0.72 -
40115at50557_144034_0:000898|STRG.15013.1:1204-2073|+  -            290 48053at50557         -            417   2.6e-11   41.7   0.1   3   3      0.07       3.3    5.2   0.0   179   246   217   290   212   290 0.72 -
80377at50557_39758_0:001a6c|STRG.1371.1:753-1514|+     -            254 48053at50557         -            417   4.1e-11   41.1   0.3   1   3     0.021         1    6.9   0.0   285   330    22    67    16    75 0.74 -
80377at50557_39758_0:001a6c|STRG.1371.1:753-1514|+     -            254 48053at50557         -            417   4.1e-11   41.1   0.3   2   3   3.2e-08   1.5e-06   26.0   0.1   288   414    69   208    65   211 0.79 -
80377at50557_39758_0:001a6c|STRG.1371.1:753-1514|+     -            254 48053at50557         -            417   4.1e-11   41.1   0.3   3   3     0.022         1    6.9   0.0   164   209   206   253   202   254 0.80 -
80377at50557_39758_0:001a6c|STRG.1371.2:534-1295|+     -            254 48053at50557         -            417   4.1e-11   41.1   0.3   1   3     0.021         1    6.9   0.0   285   330    22    67    16    75 0.74 -
80377at50557_39758_0:001a6c|STRG.1371.2:534-1295|+     -            254 48053at50557         -            417   4.1e-11   41.1   0.3   2   3   3.2e-08   1.5e-06   26.0   0.1   288   414    69   208    65   211 0.79 -
80377at50557_39758_0:001a6c|STRG.1371.2:534-1295|+     -            254 48053at50557         -            417   4.1e-11   41.1   0.3   3   3     0.022         1    6.9   0.0   164   209   206   253   202   254 0.80 -
80377at50557_39758_0:001a6c|STRG.1371.3:561-1322|+     -            254 48053at50557         -            417   4.1e-11   41.1   0.3   1   3     0.021         1    6.9   0.0   285   330    22    67    16    75 0.74 -
80377at50557_39758_0:001a6c|STRG.1371.3:561-1322|+     -            254 48053at50557         -            417   4.1e-11   41.1   0.3   2   3   3.2e-08   1.5e-06   26.0   0.1   288   414    69   208    65   211 0.79 -
80377at50557_39758_0:001a6c|STRG.1371.3:561-1322|+     -            254 48053at50557         -            417   4.1e-11   41.1   0.3   3   3     0.022         1    6.9   0.0   164   209   206   253   202   254 0.80 -
80377at50557_319348_0:0016a3|STRG.11953.1:1691-2449|+  -            253 48053at50557         -            417   5.2e-11   40.8   0.5   1   3     0.021      0.99    6.9   0.0   285   330    21    66    15    74 0.74 -
80377at50557_319348_0:0016a3|STRG.11953.1:1691-2449|+  -            253 48053at50557         -            417   5.2e-11   40.8   0.5   2   3   2.5e-08   1.2e-06   26.4   0.1   288   414    68   207    63   210 0.79 -
80377at50557_319348_0:0016a3|STRG.11953.1:1691-2449|+  -            253 48053at50557         -            417   5.2e-11   40.8   0.5   3   3     0.041       1.9    5.9   0.0   177   209   218   252   203   253 0.69 -
80377at50557_319348_0:0016a3|STRG.11953.2:1434-2192|+  -            253 48053at50557         -            417   5.2e-11   40.8   0.5   1   3     0.021      0.99    6.9   0.0   285   330    21    66    15    74 0.74 -
80377at50557_319348_0:0016a3|STRG.11953.2:1434-2192|+  -            253 48053at50557         -            417   5.2e-11   40.8   0.5   2   3   2.5e-08   1.2e-06   26.4   0.1   288   414    68   207    63   210 0.79 -
80377at50557_319348_0:0016a3|STRG.11953.2:1434-2192|+  -            253 48053at50557         -            417   5.2e-11   40.8   0.5   3   3     0.041       1.9    5.9   0.0   177   209   218   252   203   253 0.69 -
