#                                                                                                             --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                         accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                 ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
94143at50557_35570_0:003387|STRG.18971.1:39-1523|+    -            495 94143at50557         -            358     5e-35  117.9   0.1   1   1     7e-33   1.1e-31  107.0   0.1     2   334    65   493    64   495 0.72 -
94143at50557_7029_0:006933|STRG.17625.5:102-1454|+    -            451 94143at50557         -            358   4.6e-16   55.6   0.3   2   2   4.5e-14   6.8e-13   45.1   0.0   212   343   271   435   257   440 0.74 -
94143at50557_125945_0:00352d|STRG.11094.3:93-1511|+   -            473 94143at50557         -            358   2.3e-15   53.2   0.3   1   2      0.61       9.3    1.9   0.0    27    52    41    66    14   181 0.57 -
94143at50557_125945_0:00352d|STRG.11094.3:93-1511|+   -            473 94143at50557         -            358   2.3e-15   53.2   0.3   2   2   2.7e-14   4.1e-13   45.9   0.1   235   343   325   448   274   461 0.78 -
94143at50557_40932_0:002d0f|STRG.17625.1:57-908|+     -            284 94143at50557         -            358   5.6e-15   52.0   0.0   1   1   2.8e-14   4.3e-13   45.8   0.0   212   343    99   263    84   268 0.74 -
94143at50557_40932_0:002d0f|STRG.17625.3:48-899|+     -            284 94143at50557         -            358   5.6e-15   52.0   0.0   1   1   2.8e-14   4.3e-13   45.8   0.0   212   343    99   263    84   268 0.74 -
94143at50557_93721_0:002ec0|STRG.7824.1:334-930|+     -            199 94143at50557         -            358   7.2e-15   51.6   0.1   1   2     0.023      0.35    6.6   0.1   212   247    11    47     3    60 0.80 -
94143at50557_93721_0:002ec0|STRG.7824.1:334-930|+     -            199 94143at50557         -            358   7.2e-15   51.6   0.1   2   2   1.7e-13   2.6e-12   43.2   0.0   243   343    64   178    59   192 0.77 -
94143at50557_7536_0:002739|STRG.10579.3:306-1604|+    -            433 94143at50557         -            358   4.2e-14   49.1   0.9   1   2      0.21       3.2    3.4   0.0    31   156     6   137     4   174 0.70 -
94143at50557_7536_0:002739|STRG.10579.3:306-1604|+    -            433 94143at50557         -            358   4.2e-14   49.1   0.9   2   2   2.3e-12   3.4e-11   39.5   0.2   239   343   289   408   229   422 0.78 -
94143at50557_93721_0:002ec0|STRG.2927.6:910-1449|+    -            180 94143at50557         -            358   3.4e-13   46.1   0.0   1   2       1.3        19    0.9   0.0   219   244     3    29     1    35 0.77 -
94143at50557_93721_0:002ec0|STRG.2927.6:910-1449|+    -            180 94143at50557         -            358   3.4e-13   46.1   0.0   2   2   1.5e-13   2.2e-12   43.4   0.0   239   343    43   162    30   176 0.77 -
94143at50557_93721_0:002ec0|STRG.10921.3:422-1009|+   -            196 94143at50557         -            358   4.1e-13   45.9   0.0   1   2      0.15       2.2    4.0   0.0   213   244    13    45     4    58 0.78 -
94143at50557_93721_0:002ec0|STRG.10921.3:422-1009|+   -            196 94143at50557         -            358   4.1e-13   45.9   0.0   2   2   1.3e-12   1.9e-11   40.4   0.0   240   343    60   178    46   192 0.79 -
94143at50557_7536_0:002739|STRG.10579.1:101-1303|+    -            401 94143at50557         -            358   4.1e-13   45.9   0.9   1   2       3.9        59   -0.7   0.0   115   155    61   104    10   137 0.59 -
94143at50557_7536_0:002739|STRG.10579.1:101-1303|+    -            401 94143at50557         -            358   4.1e-13   45.9   0.9   2   2   1.9e-12   2.9e-11   39.8   0.2   239   343   257   376   198   390 0.78 -
94143at50557_307491_0:000794|STRG.10921.1:229-1632|+  -            468 94143at50557         -            358   4.7e-13   45.7   0.2   1   3      0.48       7.4    2.3   0.0     4    48    17    62    14   182 0.84 -
94143at50557_307491_0:000794|STRG.10921.1:229-1632|+  -            468 94143at50557         -            358   4.7e-13   45.7   0.2   2   3      0.45       6.9    2.3   0.0   212   244   282   315   270   323 0.76 -
94143at50557_307491_0:000794|STRG.10921.1:229-1632|+  -            468 94143at50557         -            358   4.7e-13   45.7   0.2   3   3     1e-11   1.6e-10   37.4   0.0   240   343   330   448   318   462 0.79 -
94143at50557_7536_0:002739|STRG.10579.4:15-1169|+     -            385 94143at50557         -            358   4.9e-13   45.6   1.1   1   2       5.8        89   -1.3   0.0   116   155    46    88     8   119 0.62 -
94143at50557_7536_0:002739|STRG.10579.4:15-1169|+     -            385 94143at50557         -            358   4.9e-13   45.6   1.1   2   2   1.7e-12   2.7e-11   39.9   0.2   239   343   241   360   181   374 0.78 -
94143at50557_54969_0:002985|STRG.10579.2:49-1224|+    -            392 94143at50557         -            358   5.3e-13   45.5   1.1   1   2       5.8        88   -1.3   0.0   115   155    48    91    10   122 0.62 -
94143at50557_54969_0:002985|STRG.10579.2:49-1224|+    -            392 94143at50557         -            358   5.3e-13   45.5   1.1   2   2   1.8e-12   2.8e-11   39.8   0.2   239   343   244   363   184   377 0.78 -
94143at50557_7536_0:002739|STRG.2927.7:46-1338|+      -            431 94143at50557         -            358   7.4e-13   45.0   0.3   1   1   6.5e-13   9.9e-12   41.3   0.0   236   343   291   413   240   426 0.76 -
94143at50557_7536_0:002739|STRG.2927.9:46-1338|+      -            431 94143at50557         -            358   7.4e-13   45.0   0.3   1   1   6.5e-13   9.9e-12   41.3   0.0   236   343   291   413   240   426 0.76 -
94143at50557_7536_0:002739|STRG.2927.13:46-1338|+     -            431 94143at50557         -            358   8.2e-13   44.9   0.3   1   2      0.57       8.7    2.0   0.0   216   245   251   281   239   288 0.77 -
94143at50557_7536_0:002739|STRG.2927.13:46-1338|+     -            431 94143at50557         -            358   8.2e-13   44.9   0.3   2   2   1.2e-12   1.8e-11   40.5   0.0   238   343   293   413   281   426 0.78 -
94143at50557_7536_0:002739|STRG.2927.8:46-1338|+      -            431 94143at50557         -            358   8.2e-13   44.9   0.3   1   2      0.57       8.7    2.0   0.0   216   245   251   281   239   288 0.77 -
94143at50557_7536_0:002739|STRG.2927.8:46-1338|+      -            431 94143at50557         -            358   8.2e-13   44.9   0.3   2   2   1.2e-12   1.8e-11   40.5   0.0   238   343   293   413   281   426 0.78 -
94143at50557_7038_0:001312|STRG.2927.4:92-1510|+      -            473 94143at50557         -            358   9.4e-13   44.7   0.0   1   3       4.4        67   -0.9   0.0    82   119   101   137    23   187 0.53 -
94143at50557_7038_0:001312|STRG.2927.4:92-1510|+      -            473 94143at50557         -            358   9.4e-13   44.7   0.0   2   3       1.2        18    1.0   0.0   215   244   292   322   281   327 0.76 -
94143at50557_7038_0:001312|STRG.2927.4:92-1510|+      -            473 94143at50557         -            358   9.4e-13   44.7   0.0   3   3   1.6e-12   2.5e-11   40.0   0.0   239   343   336   455   320   468 0.77 -
94143at50557_7038_0:001312|STRG.2927.5:597-2015|+     -            473 94143at50557         -            358   9.4e-13   44.7   0.0   1   3       4.4        67   -0.9   0.0    82   119   101   137    23   187 0.53 -
94143at50557_7038_0:001312|STRG.2927.5:597-2015|+     -            473 94143at50557         -            358   9.4e-13   44.7   0.0   2   3       1.2        18    1.0   0.0   215   244   292   322   281   327 0.76 -
94143at50557_7038_0:001312|STRG.2927.5:597-2015|+     -            473 94143at50557         -            358   9.4e-13   44.7   0.0   3   3   1.6e-12   2.5e-11   40.0   0.0   239   343   336   455   320   468 0.77 -
94143at50557_125945_0:00352d|STRG.2927.6:116-1449|+   -            429 94143at50557         -            358     1e-12   44.5   0.0   1   3       9.2   1.4e+02   -2.0   0.0    31    48    45    62    16   154 0.56 -
94143at50557_125945_0:00352d|STRG.2927.6:116-1449|+   -            429 94143at50557         -            358     1e-12   44.5   0.0   2   3      0.94        14    1.3   0.0   215   244   248   278   237   286 0.76 -
94143at50557_125945_0:00352d|STRG.2927.6:116-1449|+   -            429 94143at50557         -            358     1e-12   44.5   0.0   3   3   1.5e-12   2.2e-11   40.2   0.0   240   343   293   411   280   424 0.77 -
94143at50557_125945_0:00352d|STRG.2927.2:299-1489|+   -            397 94143at50557         -            358     1e-12   44.5   0.1   1   1   9.6e-13   1.5e-11   40.7   0.0   239   343   260   379   205   392 0.81 -
94143at50557_7130_0:00208a|STRG.8041.1:192-1466|+     -            425 94143at50557         -            358   1.2e-12   44.3   0.0   1   1   3.3e-13   5.1e-12   42.3   0.0   169   343   208   425   175   425 0.68 -
94143at50557_7536_0:002739|STRG.2927.1:46-1335|+      -            430 94143at50557         -            358   1.4e-12   44.1   0.2   1   2      0.94        14    1.3   0.0   215   244   249   279   238   287 0.76 -
94143at50557_7536_0:002739|STRG.2927.1:46-1335|+      -            430 94143at50557         -            358   1.4e-12   44.1   0.2   2   2   1.5e-12   2.2e-11   40.1   0.0   240   343   294   412   281   425 0.77 -
94143at50557_93721_0:002ec0|STRG.19506.1:462-1100|+   -            213 94143at50557         -            358   1.5e-12   44.0   0.1   1   1   5.3e-12   8.1e-11   38.3   0.1   208   342    32   201     9   204 0.74 -
94143at50557_319348_0:0040ff|STRG.10922.2:332-1489|+  -            386 94143at50557         -            358   1.8e-12   43.7   0.0   1   1   3.3e-13   5.1e-12   42.3   0.0   242   343   241   357   220   368 0.80 -
94143at50557_40932_0:002d0f|STRG.10922.1:138-1496|+   -            453 94143at50557         -            358   4.2e-12   42.5   0.0   1   1   7.7e-13   1.2e-11   41.1   0.0   242   343   337   453   287   453 0.82 -
94143at50557_79782_0:001eeb|STRG.11885.1:167-1660|+   -            498 94143at50557         -            358   5.8e-12   42.1   0.0   1   1   6.5e-13     1e-11   41.3   0.0   243   344   356   474   303   485 0.80 -
94143at50557_79782_0:001eeb|STRG.11885.2:167-1660|+   -            498 94143at50557         -            358   5.8e-12   42.1   0.0   1   1   6.5e-13     1e-11   41.3   0.0   243   344   356   474   303   485 0.80 -
94143at50557_319348_0:0040ff|STRG.1233.1:304-1185|+   -            294 94143at50557         -            358   7.7e-12   41.7   0.2   1   1     9e-13   1.4e-11   40.8   0.2    10   149    39   202    33   278 0.69 -
94143at50557_125945_0:00352d|STRG.11094.1:357-1637|+  -            427 94143at50557         -            358     8e-12   41.6   0.1   1   2      0.51       7.8    2.2   0.0    27    57    41    69    14   181 0.56 -
94143at50557_125945_0:00352d|STRG.11094.1:357-1637|+  -            427 94143at50557         -            358     8e-12   41.6   0.1   2   2   1.2e-10   1.8e-09   33.8   0.0   235   323   325   427   276   427 0.75 -
94143at50557_93721_0:002ec0|STRG.20111.2:301-804|+    -            168 94143at50557         -            358   1.4e-11   40.8   0.3   1   1   1.5e-12   2.2e-11   40.2   0.3   238   342    47   162     3   166 0.83 -
94143at50557_54969_0:002985|STRG.2927.3:335-1432|+    -            366 94143at50557         -            358   1.8e-11   40.4   0.2   1   1   1.7e-11   2.5e-10   36.7   0.0   239   343   247   366   195   366 0.79 -
94143at50557_143948_0:002d19|STRG.11094.2:758-1159|+  -            134 94143at50557         -            358   5.9e-11   38.7   0.0   1   2       4.8        73   -1.0   0.0   224   244     1    22     1    27 0.74 -
94143at50557_143948_0:002d19|STRG.11094.2:758-1159|+  -            134 94143at50557         -            358   5.9e-11   38.7   0.0   2   2     1e-11   1.6e-10   37.3   0.0   235   323    32   134    21   134 0.74 -
94143at50557_286706_0:002f5f|STRG.6185.1:1427-2590|+  -            388 94143at50557         -            358   1.1e-10   37.8   0.1   1   2   0.00078     0.012   11.4   0.0    81   175    18   122     6   172 0.77 -
94143at50557_286706_0:002f5f|STRG.6185.1:1427-2590|+  -            388 94143at50557         -            358   1.1e-10   37.8   0.1   2   2   1.5e-06   2.2e-05   20.4   0.0   193   329   188   357   164   375 0.70 -
94143at50557_79782_0:001eeb|STRG.3668.1:198-1481|+    -            428 94143at50557         -            358   4.2e-10   35.9   0.2   1   2      0.43       6.6    2.4   0.2     2   114     8   122     7   150 0.67 -
94143at50557_79782_0:001eeb|STRG.3668.1:198-1481|+    -            428 94143at50557         -            358   4.2e-10   35.9   0.2   2   2   7.1e-10   1.1e-08   31.3   0.0   209   342   276   427   250   428 0.66 -
94143at50557_79782_0:001eeb|STRG.3668.2:87-1370|+     -            428 94143at50557         -            358   4.2e-10   35.9   0.2   1   2      0.43       6.6    2.4   0.2     2   114     8   122     7   150 0.67 -
94143at50557_79782_0:001eeb|STRG.3668.2:87-1370|+     -            428 94143at50557         -            358   4.2e-10   35.9   0.2   2   2   7.1e-10   1.1e-08   31.3   0.0   209   342   276   427   250   428 0.66 -
94143at50557_13249_0:002e7e|STRG.22810.1:51-1094|+    -            348 94143at50557         -            358   1.1e-09   34.5   0.3   1   2       2.9        44   -0.3   0.1   209   243   169   204   147   212 0.78 -
94143at50557_13249_0:002e7e|STRG.22810.1:51-1094|+    -            348 94143at50557         -            358   1.1e-09   34.5   0.3   2   2     5e-10   7.6e-09   31.8   0.0   243   345   226   342   218   346 0.77 -
94143at50557_93721_0:002ec0|STRG.18063.2:273-1127|+   -            285 94143at50557         -            358   1.3e-09   34.3   0.2   1   1   8.1e-09   1.2e-07   27.8   0.1   202   340   111   284   102   285 0.71 -
94143at50557_54969_0:00353b|STRG.18074.1:129-1589|+   -            487 94143at50557         -            358   1.4e-09   34.3   0.1   1   2       1.4        21    0.8   0.0     9    50    25    66     8   152 0.73 -
94143at50557_54969_0:00353b|STRG.18074.1:129-1589|+   -            487 94143at50557         -            358   1.4e-09   34.3   0.1   2   2   8.1e-10   1.2e-08   31.1   0.0   243   342   362   478   345   483 0.77 -
94143at50557_7038_0:001312|STRG.1491.1:709-1842|+     -            378 94143at50557         -            358     2e-09   33.7   0.3   1   3       1.3        19    0.9   0.0    77   119    13    54     5    72 0.78 -
94143at50557_7038_0:001312|STRG.1491.1:709-1842|+     -            378 94143at50557         -            358     2e-09   33.7   0.3   2   3      0.83        13    1.5   0.0   201   244   175   219   174   228 0.84 -
94143at50557_7038_0:001312|STRG.1491.1:709-1842|+     -            378 94143at50557         -            358     2e-09   33.7   0.3   3   3   1.2e-08   1.8e-07   27.3   0.0   240   343   234   357   223   363 0.74 -
94143at50557_319348_0:0040ff|STRG.10919.1:208-1296|+  -            363 94143at50557         -            358   2.4e-09   33.4   0.1   1   3       7.4   1.1e+02   -1.7   0.0   125   156    58    92     8   119 0.50 -
94143at50557_319348_0:0040ff|STRG.10919.1:208-1296|+  -            363 94143at50557         -            358   2.4e-09   33.4   0.1   2   3       2.3        35    0.0   0.0   212   253   198   237   183   241 0.73 -
94143at50557_319348_0:0040ff|STRG.10919.1:208-1296|+  -            363 94143at50557         -            358   2.4e-09   33.4   0.1   3   3   1.4e-09   2.2e-08   30.3   0.0   240   340   246   363   232   363 0.71 -
94143at50557_319348_0:0040ff|STRG.10919.2:81-1169|+   -            363 94143at50557         -            358   2.4e-09   33.4   0.1   1   3       7.4   1.1e+02   -1.7   0.0   125   156    58    92     8   119 0.50 -
94143at50557_319348_0:0040ff|STRG.10919.2:81-1169|+   -            363 94143at50557         -            358   2.4e-09   33.4   0.1   2   3       2.3        35    0.0   0.0   212   253   198   237   183   241 0.73 -
94143at50557_319348_0:0040ff|STRG.10919.2:81-1169|+   -            363 94143at50557         -            358   2.4e-09   33.4   0.1   3   3   1.4e-09   2.2e-08   30.3   0.0   240   340   246   363   232   363 0.71 -
94143at50557_319348_0:0009e2|STRG.4232.1:348-938|+    -            197 94143at50557         -            358   3.3e-09   33.0   0.0   1   1   1.2e-09   1.9e-08   30.5   0.0   243   345    52   168    39   192 0.68 -
94143at50557_7536_0:002739|STRG.1475.1:633-1970|-     -            446 94143at50557         -            358   4.3e-09   32.6   0.0   1   2      0.63       9.6    1.9   0.0    75   128    84   139    73   144 0.76 -
94143at50557_7536_0:002739|STRG.1475.1:633-1970|-     -            446 94143at50557         -            358   4.3e-09   32.6   0.0   2   2   4.9e-07   7.4e-06   22.0   0.0   242   328   312   416   205   436 0.70 -
94143at50557_680683_0:0012e3|STRG.3784.1:81-1448|+    -            456 94143at50557         -            358     1e-08   31.4   0.0   1   1   2.6e-09     4e-08   29.4   0.0   241   345   322   446   267   454 0.78 -
94143at50557_93721_0:002ec0|STRG.1488.1:704-1225|+    -            174 94143at50557         -            358   1.1e-08   31.3   0.1   1   2      0.08       1.2    4.8   0.0   201   245     2    47     1    58 0.84 -
94143at50557_93721_0:002ec0|STRG.1488.1:704-1225|+    -            174 94143at50557         -            358   1.1e-08   31.3   0.1   2   2   7.2e-08   1.1e-06   24.7   0.0   242   328    63   168    49   174 0.67 -
94143at50557_568069_0:0030c5|STRG.16045.1:26-937|+    -            304 94143at50557         -            358   1.4e-08   31.0   2.8   1   2       1.8        28    0.4   3.1   194   245   110   170     5   180 0.78 -
94143at50557_568069_0:0030c5|STRG.16045.1:26-937|+    -            304 94143at50557         -            358   1.4e-08   31.0   2.8   2   2   1.1e-08   1.6e-07   27.4   0.0   243   340   190   304   180   304 0.72 -
94143at50557_7038_0:001312|STRG.1488.2:360-1361|+     -            334 94143at50557         -            358   1.4e-08   31.0   0.2   1   2       0.8        12    1.5   0.0    81   116     5    39     1    47 0.80 -
94143at50557_7038_0:001312|STRG.1488.2:360-1361|+     -            334 94143at50557         -            358   1.4e-08   31.0   0.2   2   2   1.7e-07   2.6e-06   23.5   0.1   240   328   221   328   160   334 0.64 -
94143at50557_13164_0:00252e|STRG.6185.3:1451-2535|+   -            358 94143at50557         -            358   1.6e-08   30.7   0.0   1   2   0.00081     0.012   11.4   0.1    81   175    10   114     1   162 0.78 -
94143at50557_13164_0:00252e|STRG.6185.3:1451-2535|+   -            358 94143at50557         -            358   1.6e-08   30.7   0.0   2   2   1.2e-05   0.00018   17.4   0.0   192   326   179   340   129   357 0.73 -
94143at50557_7536_0:002739|STRG.8350.1:205-1305|+     -            367 94143at50557         -            358   1.8e-08   30.6   0.0   1   3         6        92   -1.3   0.0    81   115    17    50     3    62 0.60 -
94143at50557_7536_0:002739|STRG.8350.1:205-1305|+     -            367 94143at50557         -            358   1.8e-08   30.6   0.0   2   3      0.16       2.4    3.8   0.0   202   244   176   219   174   225 0.82 -
94143at50557_7536_0:002739|STRG.8350.1:205-1305|+     -            367 94143at50557         -            358   1.8e-08   30.6   0.0   3   3   3.1e-07   4.7e-06   22.6   0.0   241   332   235   345   223   359 0.70 -
94143at50557_40932_0:002d0f|STRG.1497.1:637-1866|+    -            410 94143at50557         -            358   2.2e-08   30.3   0.3   1   2       2.2        33    0.1   0.0    77   101    45    69    30    93 0.71 -
94143at50557_40932_0:002d0f|STRG.1497.1:637-1866|+    -            410 94143at50557         -            358   2.2e-08   30.3   0.3   2   2   1.4e-07   2.2e-06   23.7   0.1   238   342   263   387   205   392 0.69 -
94143at50557_7029_0:002728|STRG.1492.2:204-1367|+     -            388 94143at50557         -            358   2.3e-08   30.2   0.2   1   2       2.4        37   -0.0   0.0    77   116    45    83    34   112 0.78 -
94143at50557_7029_0:002728|STRG.1492.2:204-1367|+     -            388 94143at50557         -            358   2.3e-08   30.2   0.2   2   2   8.2e-08   1.2e-06   24.5   0.1   241   338   267   384   206   388 0.71 -
94143at50557_1155016_0:001007|STRG.1492.1:1336-1995|+ -            220 94143at50557         -            358   4.2e-08   29.4   0.3   1   1   7.7e-08   1.2e-06   24.6   0.3   241   326   104   207    42   219 0.71 -
94143at50557_319348_0:0040ff|STRG.18307.1:204-1415|+  -            404 94143at50557         -            358   4.3e-08   29.4   1.0   1   3       3.2        49   -0.5   0.0    77   116    61    99    48   113 0.79 -
94143at50557_319348_0:0040ff|STRG.18307.1:204-1415|+  -            404 94143at50557         -            358   4.3e-08   29.4   1.0   2   3      0.16       2.5    3.8   0.1   201   244   222   266   220   273 0.85 -
94143at50557_319348_0:0040ff|STRG.18307.1:204-1415|+  -            404 94143at50557         -            358   4.3e-08   29.4   1.0   3   3     5e-07   7.6e-06   21.9   0.0   236   341   277   402   269   404 0.70 -
94143at50557_319348_0:0040ff|STRG.18286.1:189-1397|+  -            403 94143at50557         -            358   5.2e-08   29.1   0.5   1   2       3.5        53   -0.6   0.0    78   116    61    98    53   112 0.78 -
94143at50557_319348_0:0040ff|STRG.18286.1:189-1397|+  -            403 94143at50557         -            358   5.2e-08   29.1   0.5   2   2   2.9e-07   4.5e-06   22.7   0.2   234   341   274   401   219   403 0.65 -
94143at50557_7536_0:002739|STRG.8351.1:680-1783|+     -            368 94143at50557         -            358   5.4e-08   29.0   0.2   1   2         7   1.1e+02   -1.6   0.0    81   114    17    49     4    65 0.59 -
94143at50557_7536_0:002739|STRG.8351.1:680-1783|+     -            368 94143at50557         -            358   5.4e-08   29.0   0.2   2   2   6.9e-07   1.1e-05   21.5   0.1   230   332   226   346   159   361 0.66 -
94143at50557_7038_0:001312|STRG.1490.1:326-1555|+     -            410 94143at50557         -            358   6.9e-08   28.7   0.3   1   2       1.7        26    0.5   0.0    77   119    45    86    37   103 0.77 -
94143at50557_7038_0:001312|STRG.1490.1:326-1555|+     -            410 94143at50557         -            358   6.9e-08   28.7   0.3   2   2   1.5e-07   2.2e-06   23.7   0.1   238   343   264   389   206   395 0.78 -
94143at50557_7038_0:001312|STRG.15010.1:120-1430|+    -            437 94143at50557         -            358   8.4e-08   28.4   0.0   1   1   8.8e-09   1.3e-07   27.7   0.0   244   341   326   436   313   437 0.76 -
94143at50557_7038_0:001312|STRG.1489.1:348-1364|+     -            339 94143at50557         -            358   9.7e-08   28.2   0.8   1   3       4.1        62   -0.8   0.0    78   115     7    43     2    77 0.70 -
94143at50557_7038_0:001312|STRG.1489.1:348-1364|+     -            339 94143at50557         -            358   9.7e-08   28.2   0.8   2   3      0.45       6.8    2.4   0.0   201   244   167   211   164   220 0.84 -
94143at50557_7038_0:001312|STRG.1489.1:348-1364|+     -            339 94143at50557         -            358   9.7e-08   28.2   0.8   3   3   2.5e-07   3.8e-06   22.9   0.0   242   327   228   332   216   339 0.74 -
94143at50557_108931_0:001e97|STRG.3786.1:63-1412|+    -            450 94143at50557         -            358   1.5e-07   27.5   0.0   1   1   3.5e-08   5.4e-07   25.7   0.0   241   342   328   449   270   450 0.77 -
94143at50557_6973_0:004c45|STRG.4808.1:697-1647|+     -            317 94143at50557         -            358   2.3e-07   26.9   0.0   1   2      0.78        12    1.6   0.0   315   342    46    73    38    80 0.90 -
94143at50557_6973_0:004c45|STRG.4808.1:697-1647|+     -            317 94143at50557         -            358   2.3e-07   26.9   0.0   2   2   5.5e-07   8.4e-06   21.8   0.0   244   340   206   317   145   317 0.77 -
94143at50557_54969_0:002985|STRG.22735.1:335-1471|+   -            379 94143at50557         -            358   2.5e-07   26.8   0.9   1   2         2        30    0.2   0.0    75   116    40    80    36    92 0.79 -
94143at50557_54969_0:002985|STRG.22735.1:335-1471|+   -            379 94143at50557         -            358   2.5e-07   26.8   0.9   2   2   1.2e-06   1.9e-05   20.7   0.2   236   326   258   367   201   378 0.63 -
94143at50557_7536_0:002739|STRG.1479.1:117-1220|-     -            368 94143at50557         -            358   3.3e-07   26.4   0.1   1   1   9.4e-07   1.4e-05   21.0   0.0   234   340   230   354   161   364 0.73 -
94143at50557_319348_0:0009e2|STRG.18063.1:797-1231|+  -            145 94143at50557         -            358   4.4e-07   26.0   0.0   1   1   2.2e-06   3.4e-05   19.8   0.0   209   308     3   127     1   145 0.69 -
94143at50557_121845_0:0041d2|STRG.1477.1:247-1542|-   -            432 94143at50557         -            358   4.9e-07   25.9   0.1   1   1   3.6e-06   5.5e-05   19.1   0.0   242   326   322   424   196   431 0.75 -
94143at50557_54969_0:002985|STRG.3792.1:751-1455|+    -            235 94143at50557         -            358   4.9e-07   25.9   0.0   1   1   4.3e-08   6.6e-07   25.4   0.0   224   342    97   234    59   235 0.70 -
