#                                                                                                              --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                          accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                  ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
107216at50557_34720_0:000049|STRG.20984.1:1-273|-      -             91 107216at50557        -            149   1.9e-51  170.4   0.2   1   1   1.4e-52   2.1e-51  170.3   0.2    55   138     1    91     1    91 0.96 -
107216at50557_39758_0:004d90|STRG.9502.2:596-997|+     -            134 107216at50557        -            149   5.5e-35  117.0   1.1   2   2   7.4e-30   1.1e-28   96.5   0.3    27   109    45   129    29   133 0.92 -
107216at50557_13037_0:003198|STRG.24272.1:6-653|+      -            216 107216at50557        -            149     2e-34  115.1   0.2   1   2   2.9e-05   0.00042   16.7   0.1     3    31     4    29     3    37 0.90 -
107216at50557_13037_0:003198|STRG.24272.1:6-653|+      -            216 107216at50557        -            149     2e-34  115.1   0.2   2   2   7.2e-30     1e-28   96.6   0.0    24   144    46   177    31   181 0.82 -
107216at50557_39758_0:004d90|STRG.2103.1:196-735|+     -            180 107216at50557        -            149   2.2e-34  115.0   3.3   1   2   7.3e-05    0.0011   15.4   0.1     2    27     3    28     2    43 0.89 -
107216at50557_39758_0:004d90|STRG.2103.1:196-735|+     -            180 107216at50557        -            149   2.2e-34  115.0   3.3   2   2     5e-31   7.4e-30  100.3   0.8    29   141    50   169    33   175 0.88 -
107216at50557_54969_0:001d91|STRG.8622.1:997-1458|+    -            154 107216at50557        -            149   3.6e-31  104.6   1.3   1   2    0.0069       0.1    9.0   0.0     7    27     1    21     1    35 0.91 -
107216at50557_54969_0:001d91|STRG.8622.1:997-1458|+    -            154 107216at50557        -            149   3.6e-31  104.6   1.3   2   2     2e-29     3e-28   95.1   0.2    26   133    40   154    25   154 0.88 -
107216at50557_54969_0:001d91|STRG.8622.2:60-521|+      -            154 107216at50557        -            149   3.6e-31  104.6   1.3   1   2    0.0069       0.1    9.0   0.0     7    27     1    21     1    35 0.91 -
107216at50557_54969_0:001d91|STRG.8622.2:60-521|+      -            154 107216at50557        -            149   3.6e-31  104.6   1.3   2   2     2e-29     3e-28   95.1   0.2    26   133    40   154    25   154 0.88 -
107216at50557_166423_0:003aab|STRG.13165.2:144-524|+   -            127 107216at50557        -            149   6.9e-31  103.7   0.4   1   1   5.6e-32   8.2e-31  103.4   0.4    45   144     1   107     1   111 0.92 -
107216at50557_139723_0:001fab|STRG.9789.2:0-551|+      -            184 107216at50557        -            149   2.3e-30  102.0   1.3   1   1     5e-31   7.2e-30  100.4   1.3    26   143    31   154     1   161 0.88 -
107216at50557_54969_0:001d91|STRG.2854.2:6-578|+       -            191 107216at50557        -            149     3e-30  101.6   0.6   1   2   0.00049    0.0072   12.7   0.1     3    27     1    25     1    47 0.83 -
107216at50557_54969_0:001d91|STRG.2854.2:6-578|+       -            191 107216at50557        -            149     3e-30  101.6   0.6   2   2     3e-27   4.4e-26   88.1   0.1    31   142    54   173    26   178 0.81 -
107216at50557_28612_0:00371f|STRG.10720.1:179-685|+    -            169 107216at50557        -            149   1.4e-28   96.2   0.7   1   2   0.00024    0.0035   13.8   0.0     2    27     4    29     1    41 0.88 -
107216at50557_28612_0:00371f|STRG.10720.1:179-685|+    -            169 107216at50557        -            149   1.4e-28   96.2   0.7   2   2   3.5e-25   5.2e-24   81.4   0.2    27   139    49   168    36   169 0.85 -
107216at50557_28612_0:00371f|STRG.10720.2:138-644|+    -            169 107216at50557        -            149   1.4e-28   96.2   0.7   1   2   0.00024    0.0035   13.8   0.0     2    27     4    29     1    41 0.88 -
107216at50557_28612_0:00371f|STRG.10720.2:138-644|+    -            169 107216at50557        -            149   1.4e-28   96.2   0.7   2   2   3.5e-25   5.2e-24   81.4   0.2    27   139    49   168    36   169 0.85 -
107216at50557_51655_0:0016fc|STRG.19056.1:36-521|+     -            162 107216at50557        -            149   1.4e-27   93.0   0.0   1   2    0.0001    0.0015   15.0   0.1     2    25     4    27     3    35 0.91 -
107216at50557_51655_0:0016fc|STRG.19056.1:36-521|+     -            162 107216at50557        -            149   1.4e-27   93.0   0.0   2   2   1.2e-23   1.8e-22   76.4   0.0    24   134    44   160    31   162 0.87 -
107216at50557_7038_0:002032|STRG.16916.2:185-673|+     -            163 107216at50557        -            149   1.6e-25   86.2   1.0   1   1   1.3e-24   1.9e-23   79.5   1.0    26   144    37   162     1   163 0.82 -
107216at50557_28612_0:00371f|STRG.21730.1:114-677|+    -            188 107216at50557        -            149   2.2e-25   85.8   0.0   1   2   0.00028     0.004   13.5   0.1     6    38     1    33     1    40 0.78 -
107216at50557_28612_0:00371f|STRG.21730.1:114-677|+    -            188 107216at50557        -            149   2.2e-25   85.8   0.0   2   2   6.4e-22   9.3e-21   70.8   0.0    27   138    42   164    27   172 0.83 -
107216at50557_28612_0:00371f|STRG.21730.2:666-1229|+   -            188 107216at50557        -            149   2.2e-25   85.8   0.0   1   2   0.00028     0.004   13.5   0.1     6    38     1    33     1    40 0.78 -
107216at50557_28612_0:00371f|STRG.21730.2:666-1229|+   -            188 107216at50557        -            149   2.2e-25   85.8   0.0   2   2   6.4e-22   9.3e-21   70.8   0.0    27   138    42   164    27   172 0.83 -
107216at50557_28612_0:00371f|STRG.21730.3:21-584|+     -            188 107216at50557        -            149   2.2e-25   85.8   0.0   1   2   0.00028     0.004   13.5   0.1     6    38     1    33     1    40 0.78 -
107216at50557_28612_0:00371f|STRG.21730.3:21-584|+     -            188 107216at50557        -            149   2.2e-25   85.8   0.0   2   2   6.4e-22   9.3e-21   70.8   0.0    27   138    42   164    27   172 0.83 -
107216at50557_610380_0:0008de|STRG.16916.3:351-854|+   -            168 107216at50557        -            149   1.7e-24   82.9   0.6   1   2      0.61       8.9    2.7   0.0     9    29     7    27     3    42 0.72 -
107216at50557_610380_0:0008de|STRG.16916.3:351-854|+   -            168 107216at50557        -            149   1.7e-24   82.9   0.6   2   2   1.9e-24   2.7e-23   79.0   0.3    27   144    43   167    34   168 0.88 -
107216at50557_37001_0:0036b4|STRG.915.3:6-389|+        -            128 107216at50557        -            149   2.3e-24   82.5   0.3   1   1   1.8e-25   2.7e-24   82.3   0.3    27   135    12   127     4   128 0.87 -
107216at50557_37001_0:0036b4|STRG.915.1:155-595|+      -            147 107216at50557        -            149   2.4e-24   82.5   0.6   1   1   3.1e-25   4.5e-24   81.6   0.5    27   135    31   146    20   147 0.87 -
107216at50557_28612_0:00371f|STRG.10720.3:261-710|+    -            150 107216at50557        -            149     3e-24   82.1   0.2   1   1   2.4e-25   3.6e-24   81.9   0.2    27   139    30   149    17   150 0.85 -
107216at50557_7038_0:002032|STRG.16916.1:379-863|+     -            161 107216at50557        -            149   3.1e-24   82.1   1.0   1   1   1.6e-23   2.4e-22   76.0   1.0    24   144    33   160     1   161 0.80 -
107216at50557_37001_0:0036b4|STRG.915.2:1-438|+        -            146 107216at50557        -            149   3.1e-24   82.1   0.4   1   1   2.4e-25   3.5e-24   81.9   0.4    27   135    30   145     2   146 0.88 -
107216at50557_51655_0:0016fc|STRG.21646.2:27-638|+     -            204 107216at50557        -            149   6.4e-24   81.1   1.0   1   2     0.027       0.4    7.1   0.0     5    27     1    23     1    38 0.80 -
107216at50557_51655_0:0016fc|STRG.21646.2:27-638|+     -            204 107216at50557        -            149   6.4e-24   81.1   1.0   2   2   1.3e-22   1.9e-21   73.0   0.2    27   142    43   165    31   172 0.86 -
107216at50557_7038_0:002032|STRG.16916.4:0-464|+       -            155 107216at50557        -            149   1.1e-23   80.3   0.3   1   1   1.2e-24   1.7e-23   79.6   0.2    27   144    30   154    17   155 0.88 -
107216at50557_121225_0:0005b8|STRG.20985.1:2-205|-     -             68 107216at50557        -            149   1.7e-21   73.2   1.6   1   1   6.7e-19   9.7e-18   61.0   1.6     7    54     1    68     1    68 0.85 -
107216at50557_39758_0:004d90|STRG.6440.1:5430-6272|+   -            177 107216at50557        -            149   2.9e-21   72.5   1.3   1   1   3.4e-20     5e-19   65.2   1.3     5   138     2   164     1   170 0.75 -
107216at50557_116153_0:001c3c|STRG.23319.1:95-610|+    -            172 107216at50557        -            149   3.5e-21   72.2   0.3   1   1   4.1e-20     6e-19   64.9   0.3    25   140    49   172     7   172 0.77 -
107216at50557_116153_0:001c3c|STRG.23319.2:670-1185|+  -            172 107216at50557        -            149   3.5e-21   72.2   0.3   1   1   4.1e-20     6e-19   64.9   0.3    25   140    49   172     7   172 0.77 -
107216at50557_116153_0:001c3c|STRG.23319.3:0-515|+     -            172 107216at50557        -            149   3.5e-21   72.2   0.3   1   1   4.1e-20     6e-19   64.9   0.3    25   140    49   172     7   172 0.77 -
107216at50557_121225_0:0005b8|STRG.11564.1:158-457|+   -            100 107216at50557        -            149   6.8e-21   71.2   0.2   1   2     0.026      0.38    7.1   0.0     7    27     1    21     1    36 0.87 -
107216at50557_121225_0:0005b8|STRG.11564.1:158-457|+   -            100 107216at50557        -            149   6.8e-21   71.2   0.2   2   2   1.8e-19   2.6e-18   62.9   0.1    27    83    41    99    27   100 0.88 -
107216at50557_51655_0:0016fc|STRG.6522.1:601-1104|+    -            168 107216at50557        -            149   3.9e-20   68.8   0.0   1   2   0.00014    0.0021   14.5   0.0     5    27     7    29     3    46 0.86 -
107216at50557_51655_0:0016fc|STRG.6522.1:601-1104|+    -            168 107216at50557        -            149   3.9e-20   68.8   0.0   2   2   2.6e-16   3.8e-15   52.6   0.0    27   133    49   168    41   168 0.79 -
107216at50557_197043_0:004b88|STRG.18922.2:210-728|+   -            173 107216at50557        -            149   4.8e-20   68.5   0.3   1   2     0.002     0.029   10.8   0.1     5    27    10    32     6    51 0.85 -
107216at50557_197043_0:004b88|STRG.18922.2:210-728|+   -            173 107216at50557        -            149   4.8e-20   68.5   0.3   2   2   1.8e-17   2.6e-16   56.4   0.0    28   137    52   170    37   173 0.86 -
107216at50557_197043_0:004b88|STRG.18922.1:223-741|+   -            173 107216at50557        -            149   7.9e-20   67.8   0.3   1   2    0.0021      0.03   10.7   0.1     5    27    10    32     6    48 0.86 -
107216at50557_197043_0:004b88|STRG.18922.1:223-741|+   -            173 107216at50557        -            149   7.9e-20   67.8   0.3   2   2     3e-17   4.4e-16   55.6   0.0    28   136    52   169    37   173 0.86 -
107216at50557_79782_0:001283|STRG.21070.2:21-714|+     -            185 107216at50557        -            149   6.5e-18   61.6   0.8   1   1   1.1e-17   1.6e-16   57.1   0.8    20   103    28   112     1   162 0.71 -
107216at50557_79782_0:001283|STRG.21070.1:21-596|+     -            192 107216at50557        -            149   9.9e-18   61.0   0.9   1   2      0.27       3.9    3.8   0.0     8    27     1    20     1    34 0.91 -
107216at50557_79782_0:001283|STRG.21070.1:21-596|+     -            192 107216at50557        -            149   9.9e-18   61.0   0.9   2   2   3.3e-17   4.9e-16   55.5   0.3    25   103    40   119    30   169 0.78 -
107216at50557_7038_0:002032|STRG.10063.2:2100-2630|+   -            177 107216at50557        -            149   1.1e-17   60.9   0.0   1   2    0.0092      0.13    8.6   0.0     3    37     6    40     4    48 0.84 -
107216at50557_7038_0:002032|STRG.10063.2:2100-2630|+   -            177 107216at50557        -            149   1.1e-17   60.9   0.0   2   2   1.3e-15   1.9e-14   50.3   0.0    33   137    57   174    44   177 0.78 -
107216at50557_7038_0:002032|STRG.10063.3:338-868|+     -            177 107216at50557        -            149   1.1e-17   60.9   0.0   1   2    0.0092      0.13    8.6   0.0     3    37     6    40     4    48 0.84 -
107216at50557_7038_0:002032|STRG.10063.3:338-868|+     -            177 107216at50557        -            149   1.1e-17   60.9   0.0   2   2   1.3e-15   1.9e-14   50.3   0.0    33   137    57   174    44   177 0.78 -
107216at50557_51655_0:0016fc|STRG.10063.1:253-765|+    -            171 107216at50557        -            149   2.1e-17   59.9   0.0   1   2     0.019      0.28    7.6   0.0     5    38     2    35     1    43 0.85 -
107216at50557_51655_0:0016fc|STRG.10063.1:253-765|+    -            171 107216at50557        -            149   2.1e-17   59.9   0.0   2   2   9.3e-16   1.4e-14   50.8   0.0    33   137    51   168    33   171 0.77 -
107216at50557_51655_0:0016fc|STRG.11232.1:322-669|+    -            116 107216at50557        -            149   3.2e-17   59.3   0.0   1   2   0.00085     0.012   12.0   0.0     8    49     1    42     1    49 0.88 -
107216at50557_51655_0:0016fc|STRG.11232.1:322-669|+    -            116 107216at50557        -            149   3.2e-17   59.3   0.0   2   2   2.3e-14   3.3e-13   46.3   0.0    36   101    49   116    39   116 0.88 -
107216at50557_51655_0:0016fc|STRG.11232.2:318-665|+    -            116 107216at50557        -            149   3.2e-17   59.3   0.0   1   2   0.00085     0.012   12.0   0.0     8    49     1    42     1    49 0.88 -
107216at50557_51655_0:0016fc|STRG.11232.2:318-665|+    -            116 107216at50557        -            149   3.2e-17   59.3   0.0   2   2   2.3e-14   3.3e-13   46.3   0.0    36   101    49   116    39   116 0.88 -
107216at50557_28612_0:00371f|STRG.9199.1:27-479|+      -            151 107216at50557        -            149   3.6e-17   59.2   0.1   1   1   1.7e-16   2.5e-15   53.2   0.1    33   133    47   151     1   151 0.83 -
107216at50557_40932_0:00045d|STRG.9199.2:380-832|+     -            151 107216at50557        -            149   3.6e-17   59.2   0.1   1   1   1.7e-16   2.5e-15   53.2   0.1    33   133    47   151     1   151 0.83 -
107216at50557_40932_0:00045d|STRG.9199.3:1385-1837|+   -            151 107216at50557        -            149   3.6e-17   59.2   0.1   1   1   1.7e-16   2.5e-15   53.2   0.1    33   133    47   151     1   151 0.83 -
107216at50557_40932_0:00045d|STRG.9199.4:993-1445|+    -            151 107216at50557        -            149   3.6e-17   59.2   0.1   1   1   1.7e-16   2.5e-15   53.2   0.1    33   133    47   151     1   151 0.83 -
107216at50557_79782_0:001283|STRG.2259.1:0-548|+       -            183 107216at50557        -            149   8.5e-17   58.0   0.2   1   1   3.9e-16   5.7e-15   52.0   0.2    29   140    55   173     8   180 0.73 -
107216at50557_1155016_0:002124|STRG.15417.1:2-226|+    -             75 107216at50557        -            149   1.5e-15   53.9   0.0   1   1   1.2e-16   1.7e-15   53.7   0.0    56   123     1    75     1    75 0.91 -
107216at50557_224129_0:00130a|STRG.4787.3:614-1183|+   -            190 107216at50557        -            149   1.9e-15   53.5   0.2   1   2    0.0097      0.14    8.5   0.0     2    28     4    30     3    45 0.80 -
107216at50557_224129_0:00130a|STRG.4787.3:614-1183|+   -            190 107216at50557        -            149   1.9e-15   53.5   0.2   2   2   1.8e-13   2.7e-12   43.4   0.0    27   113    49   137    42   173 0.79 -
107216at50557_123851_0:0000ad|STRG.4787.1:614-1213|+   -            200 107216at50557        -            149   2.4e-15   53.3   0.2   1   2      0.01      0.15    8.5   0.0     2    28     4    30     3    47 0.80 -
107216at50557_123851_0:0000ad|STRG.4787.1:614-1213|+   -            200 107216at50557        -            149   2.4e-15   53.3   0.2   2   2   2.1e-13   3.1e-12   43.2   0.0    27   109    49   132    42   173 0.79 -
107216at50557_51655_0:0016fc|STRG.9703.2:144-629|+     -            162 107216at50557        -            149   3.5e-15   52.7   0.1   1   1   3.8e-14   5.6e-13   45.6   0.1     7   138     2   160     1   162 0.73 -
107216at50557_139723_0:001fab|STRG.11743.1:9-491|+     -            161 107216at50557        -            149     4e-15   52.5   1.2   1   2     0.025      0.37    7.2   0.1     7    30     1    24     1    37 0.85 -
107216at50557_139723_0:001fab|STRG.11743.1:9-491|+     -            161 107216at50557        -            149     4e-15   52.5   1.2   2   2   6.5e-14   9.4e-13   44.8   0.1    25   139    38   160    30   161 0.82 -
107216at50557_51655_0:0016fc|STRG.4787.2:614-985|+     -            124 107216at50557        -            149   4.3e-15   52.4   0.2   1   2    0.0044     0.065    9.6   0.0     2    28     4    30     3    47 0.80 -
107216at50557_51655_0:0016fc|STRG.4787.2:614-985|+     -            124 107216at50557        -            149   4.3e-15   52.4   0.2   2   2   7.1e-13     1e-11   41.4   0.0    27   101    49   124    41   124 0.82 -
107216at50557_121225_0:0005b8|STRG.21646.1:1153-1434|+ -             94 107216at50557        -            149   5.8e-15   52.0   0.2   1   2    0.0075      0.11    8.9   0.0     5    28     1    24     1    37 0.80 -
107216at50557_121225_0:0005b8|STRG.21646.1:1153-1434|+ -             94 107216at50557        -            149   5.8e-15   52.0   0.2   2   2   5.2e-13   7.6e-12   41.9   0.0    27    69    43    85    32    94 0.87 -
107216at50557_39758_0:004d90|STRG.2933.2:9-491|+       -            161 107216at50557        -            149     2e-14   50.2   0.3   1   2     0.019      0.28    7.6   0.1     7    27     1    21     1    28 0.92 -
107216at50557_39758_0:004d90|STRG.2933.2:9-491|+       -            161 107216at50557        -            149     2e-14   50.2   0.3   2   2     9e-13   1.3e-11   41.1   0.0    25   139    38   160    31   161 0.85 -
107216at50557_7394_0:0010f2|STRG.2854.1:422-918|+      -            162 107216at50557        -            149   2.5e-14   49.9   1.4   1   3   0.00036    0.0052   13.2   0.1     3    27     1    25     1    49 0.82 -
107216at50557_7394_0:0010f2|STRG.2854.1:422-918|+      -            162 107216at50557        -            149   2.5e-14   49.9   1.4   2   3     0.029      0.43    7.0   0.1    31    46    54    69    28    73 0.71 -
107216at50557_7394_0:0010f2|STRG.2854.1:422-918|+      -            162 107216at50557        -            149   2.5e-14   49.9   1.4   3   3     8e-09   1.2e-07   28.3   0.0    92   142    76   131    71   136 0.85 -
107216at50557_79782_0:001283|STRG.19337.1:27-521|+     -            165 107216at50557        -            149   3.2e-14   49.6   0.1   1   1   1.3e-13   1.9e-12   43.8   0.1    15   105    32   121     1   163 0.84 -
107216at50557_104452_0:000bc4|STRG.9703.1:714-1091|+   -            126 107216at50557        -            149     8e-13   45.0   0.4   1   2    0.0099      0.14    8.5   0.1     7    26     2    21     1    34 0.89 -
107216at50557_104452_0:000bc4|STRG.9703.1:714-1091|+   -            126 107216at50557        -            149     8e-13   45.0   0.4   2   2   5.2e-11   7.5e-10   35.4   0.0    27   108    41   125    29   126 0.83 -
107216at50557_51655_0:0016fc|STRG.5112.1:100-597|+     -            166 107216at50557        -            149   1.1e-11   41.4   0.0   1   1   7.5e-12   1.1e-10   38.1   0.0    26   103    38   117     1   130 0.86 -
107216at50557_51655_0:0016fc|STRG.5112.2:696-1193|+    -            166 107216at50557        -            149   1.1e-11   41.4   0.0   1   1   7.5e-12   1.1e-10   38.1   0.0    26   103    38   117     1   130 0.86 -
107216at50557_51655_0:0016fc|STRG.5112.3:235-732|+     -            166 107216at50557        -            149   1.1e-11   41.4   0.0   1   1   7.5e-12   1.1e-10   38.1   0.0    26   103    38   117     1   130 0.86 -
107216at50557_51655_0:0016fc|STRG.5112.4:1787-2284|+   -            166 107216at50557        -            149   1.1e-11   41.4   0.0   1   1   7.5e-12   1.1e-10   38.1   0.0    26   103    38   117     1   130 0.86 -
107216at50557_51655_0:0016fc|STRG.5112.5:18-515|+      -            166 107216at50557        -            149   1.1e-11   41.4   0.0   1   1   7.5e-12   1.1e-10   38.1   0.0    26   103    38   117     1   130 0.86 -
107216at50557_37001_0:0036b4|STRG.8886.1:231-710|+     -            160 107216at50557        -            149   2.2e-11   40.4   0.6   1   1   3.8e-12   5.5e-11   39.1   0.6    28   140    40   160     1   160 0.87 -
107216at50557_37001_0:0036b4|STRG.8886.2:238-717|+     -            160 107216at50557        -            149   2.2e-11   40.4   0.6   1   1   3.8e-12   5.5e-11   39.1   0.6    28   140    40   160     1   160 0.87 -
107216at50557_37001_0:0036b4|STRG.8886.3:18-497|+      -            160 107216at50557        -            149   2.2e-11   40.4   0.6   1   1   3.8e-12   5.5e-11   39.1   0.6    28   140    40   160     1   160 0.87 -
107216at50557_51655_0:0016fc|STRG.18561.1:6-506|+      -            167 107216at50557        -            149   3.5e-11   39.7   0.0   1   2     0.045      0.65    6.4   0.1     7    27     6    26     1    35 0.89 -
107216at50557_51655_0:0016fc|STRG.18561.1:6-506|+      -            167 107216at50557        -            149   3.5e-11   39.7   0.0   2   2   7.6e-10   1.1e-08   31.6   0.0    25   138    43   167    30   167 0.77 -
107216at50557_103372_0:00094d|STRG.13616.1:12-527|+    -            172 107216at50557        -            149   9.3e-11   38.3   0.0   1   3      0.22       3.3    4.1   0.0     8    28     1    21     1    34 0.89 -
107216at50557_103372_0:00094d|STRG.13616.1:12-527|+    -            172 107216at50557        -            149   9.3e-11   38.3   0.0   2   3   9.4e-10   1.4e-08   31.3   0.0    27   105    39   119    29   135 0.77 -
107216at50557_103372_0:00094d|STRG.13616.1:12-527|+    -            172 107216at50557        -            149   9.3e-11   38.3   0.0   3   3       7.8   1.1e+02   -0.9   0.0   113   136   145   168   137   172 0.78 -
107216at50557_197043_0:004b88|STRG.6867.1:229-720|+    -            164 107216at50557        -            149   1.3e-09   34.6   0.0   1   2       4.6        68   -0.2   0.0     8    27     1    20     1    26 0.86 -
107216at50557_197043_0:004b88|STRG.6867.1:229-720|+    -            164 107216at50557        -            149   1.3e-09   34.6   0.0   2   2   4.6e-10   6.7e-09   32.3   0.0    28   133    40   157    29   164 0.73 -
107216at50557_197043_0:004b88|STRG.6867.2:30-521|+     -            164 107216at50557        -            149   1.3e-09   34.6   0.0   1   2       4.6        68   -0.2   0.0     8    27     1    20     1    26 0.86 -
107216at50557_197043_0:004b88|STRG.6867.2:30-521|+     -            164 107216at50557        -            149   1.3e-09   34.6   0.0   2   2   4.6e-10   6.7e-09   32.3   0.0    28   133    40   157    29   164 0.73 -
107216at50557_7397_0:000bcf|STRG.8133.1:399-941|+      -            181 107216at50557        -            149   1.5e-09   34.5   0.0   1   1   4.4e-09   6.4e-08   29.1   0.0    28   120    40   134     1   180 0.86 -
107216at50557_7397_0:000bcf|STRG.8133.2:21-563|+       -            181 107216at50557        -            149   1.5e-09   34.5   0.0   1   1   4.4e-09   6.4e-08   29.1   0.0    28   120    40   134     1   180 0.86 -
117348at50557_79782_0:001424|STRG.22061.1:33-533|+     -            167 107216at50557        -            149     5e-09   32.7   0.0   1   1     4e-10   5.8e-09   32.5   0.0    31   120    50   142    25   161 0.84 -
107216at50557_79782_0:001283|STRG.7757.1:678-1160|+    -            161 107216at50557        -            149   9.5e-08   28.6   0.0   1   1   6.1e-07   8.9e-06   22.2   0.0    20   110    32   125     1   161 0.79 -
107216at50557_79782_0:001283|STRG.7757.2:57-539|+      -            161 107216at50557        -            149   9.5e-08   28.6   0.0   1   1   6.1e-07   8.9e-06   22.2   0.0    20   110    32   125     1   161 0.79 -
