#                                                                                                             --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                         accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                 ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
35897at50557_456900_0:001f92|STRG.4764.1:146-1321|+   -            392 35897at50557         -            554  4.4e-143  474.1   8.8   1   1  6.4e-145  6.4e-143  473.6   8.8   212   554     3   386     1   386 0.89 -
35897at50557_568069_0:0003b4|STRG.14724.4:1126-2538|+ -            471 35897at50557         -            554   9.6e-15   50.5  10.9   5   5   8.8e-06   0.00089   14.3   0.1   272   346   370   449   340   452 0.80 -
35897at50557_568069_0:0003b4|STRG.14724.5:1545-2957|+ -            471 35897at50557         -            554   9.6e-15   50.5  10.9   1   5     0.032       3.2    2.6   0.0   314   346     8    43     1    56 0.71 -
35897at50557_568069_0:0003b4|STRG.14724.5:1545-2957|+ -            471 35897at50557         -            554   9.6e-15   50.5  10.9   2   5   2.6e-06   0.00026   16.1   0.5   250   359    67   184    63   189 0.76 -
35897at50557_568069_0:0003b4|STRG.14724.5:1545-2957|+ -            471 35897at50557         -            554   9.6e-15   50.5  10.9   3   5   0.00061     0.062    8.2   1.1   290   343   190   247   178   252 0.83 -
35897at50557_568069_0:0003b4|STRG.14724.5:1545-2957|+ -            471 35897at50557         -            554   9.6e-15   50.5  10.9   4   5   7.6e-05    0.0077   11.2   0.0   246   308   275   339   268   347 0.72 -
35897at50557_568069_0:0003b4|STRG.14724.5:1545-2957|+ -            471 35897at50557         -            554   9.6e-15   50.5  10.9   5   5   8.8e-06   0.00089   14.3   0.1   272   346   370   449   340   452 0.80 -
35897at50557_568069_0:0003b4|STRG.14724.6:636-2048|+  -            471 35897at50557         -            554   9.6e-15   50.5  10.9   1   5     0.032       3.2    2.6   0.0   314   346     8    43     1    56 0.71 -
35897at50557_568069_0:0003b4|STRG.14724.6:636-2048|+  -            471 35897at50557         -            554   9.6e-15   50.5  10.9   2   5   2.6e-06   0.00026   16.1   0.5   250   359    67   184    63   189 0.76 -
35897at50557_568069_0:0003b4|STRG.14724.6:636-2048|+  -            471 35897at50557         -            554   9.6e-15   50.5  10.9   3   5   0.00061     0.062    8.2   1.1   290   343   190   247   178   252 0.83 -
35897at50557_568069_0:0003b4|STRG.14724.6:636-2048|+  -            471 35897at50557         -            554   9.6e-15   50.5  10.9   4   5   7.6e-05    0.0077   11.2   0.0   246   308   275   339   268   347 0.72 -
35897at50557_568069_0:0003b4|STRG.14724.6:636-2048|+  -            471 35897at50557         -            554   9.6e-15   50.5  10.9   5   5   8.8e-06   0.00089   14.3   0.1   272   346   370   449   340   452 0.80 -
35897at50557_125945_0:002f6e|STRG.3445.1:1484-2569|+  -            362 35897at50557         -            554   9.5e-08   27.4   1.7   1   1   8.3e-06   0.00083   14.4   0.0   196   343    44   208    24   220 0.77 -
35897at50557_125945_0:002f6e|STRG.3445.2:1374-2459|+  -            362 35897at50557         -            554   9.5e-08   27.4   1.7   1   1   8.3e-06   0.00083   14.4   0.0   196   343    44   208    24   220 0.77 -
35897at50557_125945_0:002f6e|STRG.3445.4:1506-2591|+  -            362 35897at50557         -            554   9.5e-08   27.4   1.7   1   1   8.3e-06   0.00083   14.4   0.0   196   343    44   208    24   220 0.77 -
35897at50557_125945_0:002f6e|STRG.3445.3:257-1345|+   -            363 35897at50557         -            554   1.8e-07   26.5   3.0   1   3   0.00024     0.024    9.6   0.4   121   199    13    90     2   103 0.81 -
35897at50557_125945_0:002f6e|STRG.3445.3:257-1345|+   -            363 35897at50557         -            554   1.8e-07   26.5   3.0   2   3   2.7e-05    0.0027   12.7   0.0   197   342    45   208    42   218 0.73 -
35897at50557_125945_0:002f6e|STRG.3445.3:257-1345|+   -            363 35897at50557         -            554   1.8e-07   26.5   3.0   3   3   7.3e-05    0.0073   11.3   0.3   251   357   238   350   221   361 0.72 -
35897at50557_7029_0:002886|STRG.11181.2:550-1590|+    -            347 35897at50557         -            554   1.9e-05   19.8  11.4   1   3   2.6e-05    0.0026   12.7   0.3   297   360    12    81     5    86 0.81 -
35897at50557_7029_0:002886|STRG.11181.2:550-1590|+    -            347 35897at50557         -            554   1.9e-05   19.8  11.4   2   3      0.13        13    0.6   2.1    64   142   108   189    79   222 0.56 -
35897at50557_7029_0:002886|STRG.11181.2:550-1590|+    -            347 35897at50557         -            554   1.9e-05   19.8  11.4   3   3   4.4e-05    0.0044   12.0   1.9    55   174   182   312   154   337 0.69 -
35897at50557_7029_0:002886|STRG.11181.3:550-1590|+    -            347 35897at50557         -            554   1.9e-05   19.8  11.4   1   3   2.6e-05    0.0026   12.7   0.3   297   360    12    81     5    86 0.81 -
35897at50557_7029_0:002886|STRG.11181.3:550-1590|+    -            347 35897at50557         -            554   1.9e-05   19.8  11.4   2   3      0.13        13    0.6   2.1    64   142   108   189    79   222 0.56 -
35897at50557_7029_0:002886|STRG.11181.3:550-1590|+    -            347 35897at50557         -            554   1.9e-05   19.8  11.4   3   3   4.4e-05    0.0044   12.0   1.9    55   174   182   312   154   337 0.69 -
35897at50557_7536_0:000f2f|STRG.12251.1:520-1188|+    -            223 35897at50557         -            554   2.2e-05   19.6   0.4   1   3    0.0018      0.18    6.7   0.0   298   348    28    82    14   136 0.59 -
35897at50557_7536_0:000f2f|STRG.12251.1:520-1188|+    -            223 35897at50557         -            554   2.2e-05   19.6   0.4   2   3   0.00028     0.028    9.3   0.4   381   462    86   168    77   184 0.80 -
35897at50557_7536_0:000f2f|STRG.12251.1:520-1188|+    -            223 35897at50557         -            554   2.2e-05   19.6   0.4   3   3   0.00064     0.065    8.1   0.1    54   127   148   223   140   223 0.83 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/justine/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/35897at50557.hmm
# Target file:     annotation_analysis/annotation_gca/T_cornetzi/busco_output/run_insecta_odb10/metaeuk_output/rerun_results/assembled_transcripts.fasta.modified.fas
# Option settings: hmmsearch --domtblout annotation_analysis/annotation_gca/T_cornetzi/busco_output/run_insecta_odb10/hmmer_output/rerun_results/35897at50557.out --cpu 1 /home/justine/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/35897at50557.hmm annotation_analysis/annotation_gca/T_cornetzi/busco_output/run_insecta_odb10/metaeuk_output/rerun_results/assembled_transcripts.fasta.modified.fas 
# Current dir:     /home/justine/projet_tutore
# Date:            Sun Dec  1 22:56:29 2024
# [ok]
