#                                                                                                               --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                           accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                   ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
91571at50557_77166_0:000987|STRG.1391.1:177-617|+       -            147 91571at50557         -            211   3.5e-19   65.9   0.0   1   1   2.4e-20   4.4e-19   65.6   0.0     3   141     1   147     1   147 0.81 -
91571at50557_38123_0:00178c|STRG.16106.1:1311-1703|+    -            131 91571at50557         -            211   1.8e-12   43.9   0.0   1   1   1.2e-13   2.1e-12   43.7   0.0    96   209     3   115     1   117 0.86 -
91571at50557_38123_0:00178c|STRG.16106.2:1311-1703|+    -            131 91571at50557         -            211   1.8e-12   43.9   0.0   1   1   1.2e-13   2.1e-12   43.7   0.0    96   209     3   115     1   117 0.86 -
91571at50557_38123_0:00178c|STRG.16106.3:1472-1864|+    -            131 91571at50557         -            211   1.8e-12   43.9   0.0   1   1   1.2e-13   2.1e-12   43.7   0.0    96   209     3   115     1   117 0.86 -
91571at50557_38123_0:00178c|STRG.16106.4:1311-1703|+    -            131 91571at50557         -            211   1.8e-12   43.9   0.0   1   1   1.2e-13   2.1e-12   43.7   0.0    96   209     3   115     1   117 0.86 -
91571at50557_104452_0:000822|STRG.18487.2:196-498|+     -            101 91571at50557         -            211   3.2e-12   43.2   0.0   1   1   1.9e-13   3.5e-12   43.0   0.0     3    74     1    78     1    94 0.85 -
91571at50557_104452_0:000822|STRG.18487.3:230-532|+     -            101 91571at50557         -            211   3.2e-12   43.2   0.0   1   1   1.9e-13   3.5e-12   43.0   0.0     3    74     1    78     1    94 0.85 -
91571at50557_454923_0:00001e|STRG.12452.1:3691-4239|+   -            183 91571at50557         -            211   4.8e-12   42.6   0.1   1   2   2.8e-07   5.1e-06   22.9   0.1    95   184     5    87     1   103 0.68 -
91571at50557_454923_0:00001e|STRG.12452.1:3691-4239|+   -            183 91571at50557         -            211   4.8e-12   42.6   0.1   2   2   7.8e-06   0.00014   18.2   0.0   165   207   135   182   109   183 0.72 -
91571at50557_197043_0:003076|STRG.4785.3:1599-1901|+    -            101 91571at50557         -            211   1.3e-11   41.1   0.0   1   1   8.3e-13   1.5e-11   41.0   0.0     3    74     1    80     1   100 0.80 -
91571at50557_7227_0:002c31|STRG.4785.2:1599-1958|+      -            120 91571at50557         -            211   2.3e-11   40.3   0.0   1   1   1.4e-12   2.6e-11   40.2   0.0     3    73     1    79     1   115 0.82 -
91571at50557_7227_0:002c31|STRG.4785.1:1599-2054|+      -            152 91571at50557         -            211   3.2e-11   39.9   0.0   1   1   2.1e-12   3.7e-11   39.7   0.0     3    75     1    81     1   122 0.81 -
91571at50557_7230_0:001374|STRG.13585.1:1208-1771|+     -            188 91571at50557         -            211   6.8e-11   38.8   0.3   1   3   1.2e-05   0.00022   17.6   0.0    93   146    10    65     3    84 0.83 -
91571at50557_7230_0:001374|STRG.13585.1:1208-1771|+     -            188 91571at50557         -            211   6.8e-11   38.8   0.3   2   3    0.0099      0.18    8.0   0.0    90   120   122   153   111   158 0.85 -
91571at50557_7230_0:001374|STRG.13585.1:1208-1771|+     -            188 91571at50557         -            211   6.8e-11   38.8   0.3   3   3   4.1e-05   0.00075   15.8   0.4   172   208   138   178   129   180 0.77 -
91571at50557_7230_0:001374|STRG.13585.3:1208-1771|+     -            188 91571at50557         -            211   6.8e-11   38.8   0.3   1   3   1.2e-05   0.00022   17.6   0.0    93   146    10    65     3    84 0.83 -
91571at50557_7230_0:001374|STRG.13585.3:1208-1771|+     -            188 91571at50557         -            211   6.8e-11   38.8   0.3   2   3    0.0099      0.18    8.0   0.0    90   120   122   153   111   158 0.85 -
91571at50557_7230_0:001374|STRG.13585.3:1208-1771|+     -            188 91571at50557         -            211   6.8e-11   38.8   0.3   3   3   4.1e-05   0.00075   15.8   0.4   172   208   138   178   129   180 0.77 -
91571at50557_116153_0:00092a|STRG.11560.1:290-706|+     -            139 91571at50557         -            211   1.5e-10   37.7   0.0   1   2   2.2e-08   3.9e-07   26.5   0.0   167   211    13    57     2    57 0.87 -
91571at50557_116153_0:00092a|STRG.11560.1:290-706|+     -            139 91571at50557         -            211   1.5e-10   37.7   0.0   2   2     0.003     0.054    9.7   0.0   185   206   117   138    65   139 0.75 -
91571at50557_116153_0:00092a|STRG.11560.2:476-892|+     -            139 91571at50557         -            211   1.5e-10   37.7   0.0   1   2   2.2e-08   3.9e-07   26.5   0.0   167   211    13    57     2    57 0.87 -
91571at50557_116153_0:00092a|STRG.11560.2:476-892|+     -            139 91571at50557         -            211   1.5e-10   37.7   0.0   2   2     0.003     0.054    9.7   0.0   185   206   117   138    65   139 0.75 -
91571at50557_2015173_0:000792|STRG.1583.5:1088-1648|+   -            187 91571at50557         -            211   2.6e-10   36.9   0.1   1   2   8.8e-07   1.6e-05   21.3   0.0     2   102     7   111     6   116 0.81 -
91571at50557_2015173_0:000792|STRG.1583.5:1088-1648|+   -            187 91571at50557         -            211   2.6e-10   36.9   0.1   2   2   0.00016    0.0028   13.9   0.1    88   143   128   184   118   187 0.83 -
91571at50557_34740_0:000b29|STRG.3726.1:2185-2622|+     -            146 91571at50557         -            211   3.5e-10   36.5   0.0   1   1   2.4e-11   4.3e-10   36.2   0.0    93   210    23   144    12   145 0.78 -
91571at50557_34740_0:000b29|STRG.3726.3:4854-5291|+     -            146 91571at50557         -            211   3.5e-10   36.5   0.0   1   1   2.4e-11   4.3e-10   36.2   0.0    93   210    23   144    12   145 0.78 -
91571at50557_34740_0:000b29|STRG.3726.4:4902-5339|+     -            146 91571at50557         -            211   3.5e-10   36.5   0.0   1   1   2.4e-11   4.3e-10   36.2   0.0    93   210    23   144    12   145 0.78 -
91571at50557_34740_0:000b29|STRG.3726.5:4602-5039|+     -            146 91571at50557         -            211   3.5e-10   36.5   0.0   1   1   2.4e-11   4.3e-10   36.2   0.0    93   210    23   144    12   145 0.78 -
91571at50557_34740_0:000b29|STRG.3726.6:1745-2182|+     -            146 91571at50557         -            211   3.5e-10   36.5   0.0   1   1   2.4e-11   4.3e-10   36.2   0.0    93   210    23   144    12   145 0.78 -
91571at50557_34740_0:000b29|STRG.3726.7:742-1179|+      -            146 91571at50557         -            211   3.5e-10   36.5   0.0   1   1   2.4e-11   4.3e-10   36.2   0.0    93   210    23   144    12   145 0.78 -
91571at50557_34740_0:000b29|STRG.3726.8:2736-3173|+     -            146 91571at50557         -            211   3.5e-10   36.5   0.0   1   1   2.4e-11   4.3e-10   36.2   0.0    93   210    23   144    12   145 0.78 -
91571at50557_34740_0:000b29|STRG.3726.9:1321-1758|+     -            146 91571at50557         -            211   3.5e-10   36.5   0.0   1   1   2.4e-11   4.3e-10   36.2   0.0    93   210    23   144    12   145 0.78 -
91571at50557_1155016_0:0060c2|STRG.10902.1:575-838|+    -             88 91571at50557         -            211   2.8e-09   33.6   0.0   1   1   1.7e-10   3.1e-09   33.4   0.0    92   145    13    76     4    87 0.78 -
91571at50557_7227_0:002c31|STRG.5060.1:343-618|+        -             92 91571at50557         -            211   3.1e-09   33.4   0.0   1   1     2e-10   3.6e-09   33.2   0.0    68   147     6    88     2    91 0.85 -
91571at50557_143948_0:002f00|STRG.12452.1:4306-4491|+   -             62 91571at50557         -            211   4.1e-09   33.0   0.0   1   1   2.6e-10   4.6e-09   32.8   0.0    89   144     3    58     1    62 0.86 -
91571at50557_143948_0:002f00|STRG.9420.5:3336-3512|+    -             59 91571at50557         -            211   1.5e-08   31.2   0.0   1   1   8.8e-10   1.6e-08   31.1   0.0    91   143     6    58     1    59 0.53 -
91571at50557_133901_0:002632|STRG.10902.2:347-805|+     -            153 91571at50557         -            211   2.5e-08   30.4   0.0   1   1   2.1e-09   3.7e-08   29.9   0.0    92   142    91   151    79   153 0.78 -
91571at50557_166361_0:002dca|STRG.16467.1:1188-1658|+   -            157 91571at50557         -            211   6.8e-08   29.0   0.0   1   1   4.4e-09   7.8e-08   28.8   0.0     2    72     3    82     2   120 0.69 -
91571at50557_166361_0:002dca|STRG.16467.2:899-1369|+    -            157 91571at50557         -            211   6.8e-08   29.0   0.0   1   1   4.4e-09   7.8e-08   28.8   0.0     2    72     3    82     2   120 0.69 -
91571at50557_166361_0:002dca|STRG.16467.3:1333-1803|+   -            157 91571at50557         -            211   6.8e-08   29.0   0.0   1   1   4.4e-09   7.8e-08   28.8   0.0     2    72     3    82     2   120 0.69 -
91571at50557_166361_0:002dca|STRG.16467.4:1361-1831|+   -            157 91571at50557         -            211   6.8e-08   29.0   0.0   1   1   4.4e-09   7.8e-08   28.8   0.0     2    72     3    82     2   120 0.69 -
91571at50557_166361_0:002dca|STRG.16467.5:1663-2133|+   -            157 91571at50557         -            211   6.8e-08   29.0   0.0   1   1   4.4e-09   7.8e-08   28.8   0.0     2    72     3    82     2   120 0.69 -
91571at50557_166361_0:002dca|STRG.16467.6:1020-1490|+   -            157 91571at50557         -            211   6.8e-08   29.0   0.0   1   1   4.4e-09   7.8e-08   28.8   0.0     2    72     3    82     2   120 0.69 -
91571at50557_1155016_0:0060c2|STRG.24326.1:332-553|+    -             74 91571at50557         -            211   1.3e-07   28.1   0.0   1   1   7.6e-09   1.4e-07   28.0   0.0   102   144     2    43     1    62 0.69 -
91571at50557_168631_0:00063b|STRG.21448.1:1098-1220|+   -             41 91571at50557         -            211   1.8e-07   27.6   0.0   1   1   1.1e-08   1.9e-07   27.6   0.0     2    40     1    41     1    41 0.87 -
91571at50557_168631_0:00063b|STRG.21448.2:1098-1220|+   -             41 91571at50557         -            211   1.8e-07   27.6   0.0   1   1   1.1e-08   1.9e-07   27.6   0.0     2    40     1    41     1    41 0.87 -
91571at50557_7375_0:003066|STRG.18724.2:1461-1745|+     -             95 91571at50557         -            211   4.8e-07   26.2   1.4   1   1   1.3e-07   2.3e-06   24.0   1.4    87   141    40    94    16    95 0.80 -
91571at50557_7375_0:003066|STRG.15773.1:1463-1753|+     -             97 91571at50557         -            211   6.6e-07   25.8   0.0   1   1   3.8e-08   6.8e-07   25.8   0.0     2    73     4    81     3    97 0.75 -
91571at50557_7375_0:003066|STRG.15773.2:1463-1753|+     -             97 91571at50557         -            211   6.6e-07   25.8   0.0   1   1   3.8e-08   6.8e-07   25.8   0.0     2    73     4    81     3    97 0.75 -
91571at50557_7375_0:003066|STRG.15773.3:507-797|+       -             97 91571at50557         -            211   6.6e-07   25.8   0.0   1   1   3.8e-08   6.8e-07   25.8   0.0     2    73     4    81     3    97 0.75 -
91571at50557_143948_0:002f00|STRG.22025.1:1753-1869|+   -             39 91571at50557         -            211     1e-06   25.2   0.0   1   1   5.7e-08     1e-06   25.2   0.0   173   210     2    39     1    39 0.93 -
91571at50557_143948_0:002f00|STRG.22025.2:1761-1877|+   -             39 91571at50557         -            211     1e-06   25.2   0.0   1   1   5.7e-08     1e-06   25.2   0.0   173   210     2    39     1    39 0.93 -
91571at50557_143948_0:002f00|STRG.22025.3:3339-3455|+   -             39 91571at50557         -            211     1e-06   25.2   0.0   1   1   5.7e-08     1e-06   25.2   0.0   173   210     2    39     1    39 0.93 -
91571at50557_143948_0:002f00|STRG.18724.1:52-219|+      -             56 91571at50557         -            211   1.2e-06   24.9   0.7   1   2   8.3e-05    0.0015   14.8   0.2   101   124     2    25     1    26 0.88 -
91571at50557_143948_0:002f00|STRG.18724.1:52-219|+      -             56 91571at50557         -            211   1.2e-06   24.9   0.7   2   2   0.00053    0.0095   12.2   0.0   191   211    25    45    23    45 0.95 -
91571at50557_7375_0:003066|STRG.22273.1:1920-2249|+     -            110 91571at50557         -            211     2e-06   24.3   0.1   1   1     3e-07   5.4e-06   22.8   0.1     3    74     1    86     1    98 0.73 -
91571at50557_7375_0:003066|STRG.22273.2:1707-2036|+     -            110 91571at50557         -            211     2e-06   24.3   0.1   1   1     3e-07   5.4e-06   22.8   0.1     3    74     1    86     1    98 0.73 -
91571at50557_7375_0:003066|STRG.22273.3:1718-2047|+     -            110 91571at50557         -            211     2e-06   24.3   0.1   1   1     3e-07   5.4e-06   22.8   0.1     3    74     1    86     1    98 0.73 -
91571at50557_7375_0:003066|STRG.22273.4:2120-2449|+     -            110 91571at50557         -            211     2e-06   24.3   0.1   1   1     3e-07   5.4e-06   22.8   0.1     3    74     1    86     1    98 0.73 -
91571at50557_7375_0:003066|STRG.22273.5:1169-1498|+     -            110 91571at50557         -            211     2e-06   24.3   0.1   1   1     3e-07   5.4e-06   22.8   0.1     3    74     1    86     1    98 0.73 -
91571at50557_211228_0:0020d7|STRG.8796.1:2033-2521|+    -            163 91571at50557         -            211   5.3e-06   22.8   0.0   1   1   8.1e-07   1.5e-05   21.4   0.0     3   142     1   162     1   163 0.64 -
91571at50557_211228_0:0020d7|STRG.8796.2:1588-2076|+    -            163 91571at50557         -            211   5.3e-06   22.8   0.0   1   1   8.1e-07   1.5e-05   21.4   0.0     3   142     1   162     1   163 0.64 -
91571at50557_211228_0:0020d7|STRG.8796.4:1306-1794|+    -            163 91571at50557         -            211   5.3e-06   22.8   0.0   1   1   8.1e-07   1.5e-05   21.4   0.0     3   142     1   162     1   163 0.64 -
91571at50557_168631_0:00063b|STRG.2912.1:2508-2618|+    -             37 91571at50557         -            211   7.9e-06   22.3   0.0   1   1   4.6e-07   8.3e-06   22.2   0.0     3    40     1    37     1    37 0.91 -
91571at50557_51655_0:001f02|STRG.13585.2:1194-1610|+    -            139 91571at50557         -            211   2.2e-05   20.8   0.4   1   2    0.0058       0.1    8.8   0.0    90   120    83   114    71   119 0.85 -
91571at50557_51655_0:001f02|STRG.13585.2:1194-1610|+    -            139 91571at50557         -            211   2.2e-05   20.8   0.4   2   2   3.2e-05   0.00057   16.2   0.4   172   208    99   139    91   139 0.76 -
91571at50557_143948_0:002f00|STRG.1422.1:1219-1335|+    -             39 91571at50557         -            211   2.6e-05   20.6   0.1   1   1   1.6e-06   2.8e-05   20.5   0.1   176   210     5    39     1    39 0.74 -
91571at50557_143948_0:002f00|STRG.1422.2:1147-1263|+    -             39 91571at50557         -            211   2.6e-05   20.6   0.1   1   1   1.6e-06   2.8e-05   20.5   0.1   176   210     5    39     1    39 0.74 -
91571at50557_143948_0:002f00|STRG.1422.3:1162-1278|+    -             39 91571at50557         -            211   2.6e-05   20.6   0.1   1   1   1.6e-06   2.8e-05   20.5   0.1   176   210     5    39     1    39 0.74 -
91571at50557_143948_0:002f00|STRG.1422.4:1518-1634|+    -             39 91571at50557         -            211   2.6e-05   20.6   0.1   1   1   1.6e-06   2.8e-05   20.5   0.1   176   210     5    39     1    39 0.74 -
91571at50557_143948_0:002f00|STRG.1422.5:289-405|+      -             39 91571at50557         -            211   2.6e-05   20.6   0.1   1   1   1.6e-06   2.8e-05   20.5   0.1   176   210     5    39     1    39 0.74 -
91571at50557_143948_0:002f00|STRG.11585.1:1413-1523|+   -             37 91571at50557         -            211   3.7e-05   20.1   0.0   1   1   2.1e-06   3.7e-05   20.1   0.0   174   208     3    37     1    37 0.90 -
91571at50557_143948_0:002f00|STRG.11585.2:1236-1346|+   -             37 91571at50557         -            211   3.7e-05   20.1   0.0   1   1   2.1e-06   3.7e-05   20.1   0.0   174   208     3    37     1    37 0.90 -
91571at50557_143948_0:002f00|STRG.11585.3:1038-1148|+   -             37 91571at50557         -            211   3.7e-05   20.1   0.0   1   1   2.1e-06   3.7e-05   20.1   0.0   174   208     3    37     1    37 0.90 -
91571at50557_7460_0:00211c|STRG.14669.1:3096-3572|+     -            159 91571at50557         -            211     5e-05   19.7   0.0   1   1   4.3e-06   7.7e-05   19.0   0.0    90   141   103   159    94   159 0.83 -
91571at50557_7038_0:0022a9|STRG.3726.6:2294-2599|+      -            102 91571at50557         -            211   0.00011   18.6   0.0   1   1   6.3e-06   0.00011   18.5   0.0    94   143    50   101    26   102 0.84 -
91571at50557_7091_0:00151c|STRG.4353.1:374-835|+        -            154 91571at50557         -            211   0.00013   18.3   0.0   1   1   9.3e-06   0.00017   17.9   0.0   103   132   117   146    91   154 0.82 -
91571at50557_7091_0:00151c|STRG.4353.4:374-835|+        -            154 91571at50557         -            211   0.00013   18.3   0.0   1   1   9.3e-06   0.00017   17.9   0.0   103   132   117   146    91   154 0.82 -
91571at50557_1155016_0:002a7c|STRG.23863.10:2164-2280|+ -             39 91571at50557         -            211   0.00019   17.8   0.0   1   1   1.1e-05   0.00019   17.7   0.0     3    41     1    38     1    39 0.89 -
91571at50557_1155016_0:002a7c|STRG.23863.11:1858-1974|+ -             39 91571at50557         -            211   0.00019   17.8   0.0   1   1   1.1e-05   0.00019   17.7   0.0     3    41     1    38     1    39 0.89 -
91571at50557_1155016_0:002a7c|STRG.23863.12:1948-2064|+ -             39 91571at50557         -            211   0.00019   17.8   0.0   1   1   1.1e-05   0.00019   17.7   0.0     3    41     1    38     1    39 0.89 -
91571at50557_1155016_0:002a7c|STRG.23863.13:1554-1670|+ -             39 91571at50557         -            211   0.00019   17.8   0.0   1   1   1.1e-05   0.00019   17.7   0.0     3    41     1    38     1    39 0.89 -
91571at50557_1155016_0:002a7c|STRG.23863.14:880-996|+   -             39 91571at50557         -            211   0.00019   17.8   0.0   1   1   1.1e-05   0.00019   17.7   0.0     3    41     1    38     1    39 0.89 -
91571at50557_1155016_0:002a7c|STRG.23863.1:5829-5945|+  -             39 91571at50557         -            211   0.00019   17.8   0.0   1   1   1.1e-05   0.00019   17.7   0.0     3    41     1    38     1    39 0.89 -
91571at50557_1155016_0:002a7c|STRG.23863.2:4403-4519|+  -             39 91571at50557         -            211   0.00019   17.8   0.0   1   1   1.1e-05   0.00019   17.7   0.0     3    41     1    38     1    39 0.89 -
91571at50557_1155016_0:002a7c|STRG.23863.3:4288-4404|+  -             39 91571at50557         -            211   0.00019   17.8   0.0   1   1   1.1e-05   0.00019   17.7   0.0     3    41     1    38     1    39 0.89 -
91571at50557_1155016_0:002a7c|STRG.23863.4:3938-4054|+  -             39 91571at50557         -            211   0.00019   17.8   0.0   1   1   1.1e-05   0.00019   17.7   0.0     3    41     1    38     1    39 0.89 -
91571at50557_1155016_0:002a7c|STRG.23863.5:3800-3916|+  -             39 91571at50557         -            211   0.00019   17.8   0.0   1   1   1.1e-05   0.00019   17.7   0.0     3    41     1    38     1    39 0.89 -
91571at50557_1155016_0:002a7c|STRG.23863.6:2674-2790|+  -             39 91571at50557         -            211   0.00019   17.8   0.0   1   1   1.1e-05   0.00019   17.7   0.0     3    41     1    38     1    39 0.89 -
91571at50557_1155016_0:002a7c|STRG.23863.7:2182-2298|+  -             39 91571at50557         -            211   0.00019   17.8   0.0   1   1   1.1e-05   0.00019   17.7   0.0     3    41     1    38     1    39 0.89 -
91571at50557_1155016_0:002a7c|STRG.23863.8:2778-2894|+  -             39 91571at50557         -            211   0.00019   17.8   0.0   1   1   1.1e-05   0.00019   17.7   0.0     3    41     1    38     1    39 0.89 -
91571at50557_1155016_0:002a7c|STRG.23863.9:2671-2787|+  -             39 91571at50557         -            211   0.00019   17.8   0.0   1   1   1.1e-05   0.00019   17.7   0.0     3    41     1    38     1    39 0.89 -
91571at50557_143948_0:002f00|STRG.16106.1:3471-3587|+   -             39 91571at50557         -            211    0.0008   15.7   0.0   1   1   4.6e-05   0.00083   15.7   0.0   173   208     2    39     1    39 0.50 -
91571at50557_143948_0:002f00|STRG.16106.2:3468-3584|+   -             39 91571at50557         -            211    0.0008   15.7   0.0   1   1   4.6e-05   0.00083   15.7   0.0   173   208     2    39     1    39 0.50 -
91571at50557_143948_0:002f00|STRG.16106.3:3461-3577|+   -             39 91571at50557         -            211    0.0008   15.7   0.0   1   1   4.6e-05   0.00083   15.7   0.0   173   208     2    39     1    39 0.50 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/justine/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/91571at50557.hmm
# Target file:     annotation_analysis/annotation_gca/T_cornetzi/busco_output/run_insecta_odb10/metaeuk_output/rerun_results/assembled_transcripts.fasta.modified.fas
# Option settings: hmmsearch --domtblout annotation_analysis/annotation_gca/T_cornetzi/busco_output/run_insecta_odb10/hmmer_output/rerun_results/91571at50557.out --cpu 1 /home/justine/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/91571at50557.hmm annotation_analysis/annotation_gca/T_cornetzi/busco_output/run_insecta_odb10/metaeuk_output/rerun_results/assembled_transcripts.fasta.modified.fas 
# Current dir:     /home/justine/projet_tutore
# Date:            Sun Dec  1 22:56:18 2024
# [ok]
