#                                                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
35385at50557_88501_0:000e58|STRG.24363.1:1-930|+     -            310 35385at50557         -            530  1.1e-182  605.3   0.6   1   1  6.3e-184  1.4e-182  604.9   0.6   245   530     1   310     1   310 0.95 -
35385at50557_37001_0:001231|STRG.6592.2:585-1892|+   -            436 35385at50557         -            530   9.3e-77  255.7   0.1   1   1   4.9e-78   1.1e-76  255.5   0.1   127   483    54   432    27   436 0.86 -
35385at50557_37001_0:001231|STRG.6592.3:872-2179|+   -            436 35385at50557         -            530   9.3e-77  255.7   0.1   1   1   4.9e-78   1.1e-76  255.5   0.1   127   483    54   432    27   436 0.86 -
35385at50557_13037_0:0036b8|STRG.18869.1:1184-2449|+ -            422 35385at50557         -            530   1.4e-74  248.5   0.0   1   1   7.8e-76   1.7e-74  248.2   0.0   126   485    13   405     2   421 0.84 -
35385at50557_35570_0:00290c|STRG.17485.1:1151-2482|+ -            444 35385at50557         -            530   1.1e-72  242.2   0.0   1   1   6.6e-74   1.5e-72  241.9   0.0   126   489    40   426    16   438 0.85 -
35385at50557_123851_0:00322b|STRG.24364.1:168-779|+  -            204 35385at50557         -            530   5.9e-72  239.9   1.7   1   1   3.4e-73   7.6e-72  239.5   1.7     5   162    17   204    14   204 0.92 -
35385at50557_37001_0:001231|STRG.3703.4:296-1375|+   -            360 35385at50557         -            530   6.3e-61  203.5   0.0   1   1   3.4e-62   7.6e-61  203.2   0.0   106   420    30   360    17   360 0.84 -
35385at50557_37001_0:001231|STRG.3703.5:236-1315|+   -            360 35385at50557         -            530   6.3e-61  203.5   0.0   1   1   3.4e-62   7.6e-61  203.2   0.0   106   420    30   360    17   360 0.84 -
35385at50557_211228_0:00079e|STRG.10459.2:287-1380|+ -            327 35385at50557         -            530   3.3e-60  201.1   0.0   1   1   1.6e-61   3.6e-60  201.0   0.0   126   420    15   327     1   327 0.85 -
35385at50557_7370_0:001aad|STRG.17784.1:203-1273|+   -            357 35385at50557         -            530   3.8e-58  194.3   0.6   1   1   2.1e-59   4.7e-58  194.0   0.6   149   471    15   352     4   356 0.86 -
35385at50557_219809_0:001164|STRG.24001.1:453-1592|+ -            380 35385at50557         -            530     5e-58  193.9   0.7   1   1   2.7e-59   5.9e-58  193.7   0.7   130   479     1   369     1   374 0.87 -
35385at50557_319348_0:002dcd|STRG.12210.2:190-1332|+ -            381 35385at50557         -            530   4.7e-56  187.4   0.0   1   1   2.4e-57   5.3e-56  187.2   0.0   131   472     1   360     1   380 0.84 -
35385at50557_319348_0:002dcd|STRG.12210.3:111-1253|+ -            381 35385at50557         -            530   4.7e-56  187.4   0.0   1   1   2.4e-57   5.3e-56  187.2   0.0   131   472     1   360     1   380 0.84 -
35385at50557_37001_0:001231|STRG.17784.2:65-1128|+   -            330 35385at50557         -            530   1.1e-54  182.9   0.6   1   2   1.4e-38   3.1e-37  125.3   0.1   149   330    15   200     4   214 0.88 -
35385at50557_37001_0:001231|STRG.17784.2:65-1128|+   -            330 35385at50557         -            530   1.1e-54  182.9   0.6   2   2   1.1e-17   2.5e-16   56.3   0.1   389   471   237   325   218   329 0.85 -
35385at50557_7375_0:0001af|STRG.7643.1:179-1246|+    -            356 35385at50557         -            530     2e-52  175.5   1.4   1   1   9.8e-54   2.2e-52  175.3   1.4   131   468     2   354     1   356 0.85 -
35385at50557_7375_0:0001af|STRG.7643.2:179-1246|+    -            356 35385at50557         -            530     2e-52  175.5   1.4   1   1   9.8e-54   2.2e-52  175.3   1.4   131   468     2   354     1   356 0.85 -
35385at50557_7375_0:0001af|STRG.7643.3:132-1199|+    -            356 35385at50557         -            530     2e-52  175.5   1.4   1   1   9.8e-54   2.2e-52  175.3   1.4   131   468     2   354     1   356 0.85 -
35385at50557_64459_0:00189c|STRG.4770.1:300-1541|+   -            414 35385at50557         -            530   4.8e-51  170.9   0.0   1   1   2.7e-52     6e-51  170.5   0.0   114   485    11   413     3   414 0.82 -
35385at50557_37001_0:001231|STRG.12629.1:90-1181|+   -            364 35385at50557         -            530   1.1e-50  169.7   0.7   1   1   5.7e-52   1.3e-50  169.5   0.7   131   469     1   354     1   360 0.86 -
35385at50557_13164_0:000c70|STRG.16102.2:12-1088|+   -            359 35385at50557         -            530   4.8e-50  167.6   0.2   1   1     3e-51   6.6e-50  167.1   0.2   128   453     1   344     1   359 0.81 -
35385at50557_136037_0:001143|STRG.19083.1:290-1387|+ -            366 35385at50557         -            530   2.2e-49  165.4   0.0   1   1   1.2e-50   2.7e-49  165.1   0.0   132   449     2   338     1   358 0.85 -
35385at50557_136037_0:001143|STRG.19083.2:408-1505|+ -            366 35385at50557         -            530   2.2e-49  165.4   0.0   1   1   1.2e-50   2.7e-49  165.1   0.0   132   449     2   338     1   358 0.85 -
35385at50557_13164_0:000c70|STRG.16102.1:1090-2214|+ -            336 35385at50557         -            530   1.7e-48  162.5   0.1   1   2   1.6e-35   3.5e-34  115.2   0.0   128   310     1   187     1   197 0.88 -
35385at50557_13164_0:000c70|STRG.16102.1:1090-2214|+ -            336 35385at50557         -            530   1.7e-48  162.5   0.1   2   2     2e-14   4.4e-13   45.6   0.0   389   453   254   321   220   336 0.85 -
35385at50557_37001_0:001231|STRG.6283.1:694-1818|+   -            375 35385at50557         -            530   8.4e-47  156.9   1.0   1   1   4.5e-48   9.9e-47  156.6   1.0   131   468     2   352     1   368 0.85 -
35385at50557_37001_0:001231|STRG.6283.3:165-1289|+   -            375 35385at50557         -            530   8.4e-47  156.9   1.0   1   1   4.5e-48   9.9e-47  156.6   1.0   131   468     2   352     1   368 0.85 -
35385at50557_7224_0:002c70|STRG.17951.1:93-1247|+    -            385 35385at50557         -            530   1.3e-44  149.6   2.0   1   1   7.8e-46   1.7e-44  149.2   2.0   130   469    12   370     4   379 0.83 -
35385at50557_7224_0:002c70|STRG.17951.3:93-1247|+    -            385 35385at50557         -            530   1.3e-44  149.6   2.0   1   1   7.8e-46   1.7e-44  149.2   2.0   130   469    12   370     4   379 0.83 -
35385at50557_7224_0:002c70|STRG.17951.2:93-2435|+    -            385 35385at50557         -            530   2.8e-44  148.5   2.8   1   1   1.6e-45   3.7e-44  148.1   2.8   130   469    12   370     4   379 0.83 -
35385at50557_456900_0:001092|STRG.7438.1:1286-2785|+ -            500 35385at50557         -            530     4e-44  148.0   0.6   1   3   8.4e-30   1.9e-28   96.3   0.0   131   297     2   180     1   185 0.83 -
35385at50557_456900_0:001092|STRG.7438.1:1286-2785|+ -            500 35385at50557         -            530     4e-44  148.0   0.6   2   3     0.091         2    3.8   0.0   298   329   287   318   265   326 0.82 -
35385at50557_456900_0:001092|STRG.7438.1:1286-2785|+ -            500 35385at50557         -            530     4e-44  148.0   0.6   3   3   3.8e-14   8.4e-13   44.7   0.0   389   457   418   492   401   499 0.78 -
35385at50557_77166_0:001eb6|STRG.10112.1:11-1009|+   -            333 35385at50557         -            530     8e-44  147.0   0.0   1   1   4.4e-45   9.7e-44  146.8   0.0   160   451     1   316     1   330 0.86 -
35385at50557_74873_0:001fcf|STRG.10112.3:11-1257|+   -            309 35385at50557         -            530   2.2e-42  142.3   0.0   1   2   1.2e-32   2.7e-31  105.7   0.0   160   356     1   211     1   229 0.86 -
35385at50557_74873_0:001fcf|STRG.10112.3:11-1257|+   -            309 35385at50557         -            530   2.2e-42  142.3   0.0   2   2   2.9e-11   6.4e-10   35.1   0.0   391   451   229   292   211   306 0.88 -
35385at50557_319348_0:002dcd|STRG.12210.1:243-1285|+ -            338 35385at50557         -            530   1.6e-41  139.4   0.1   1   2   2.5e-18   5.5e-17   58.5   0.0   131   257     1   131     1   132 0.85 -
35385at50557_319348_0:002dcd|STRG.12210.1:243-1285|+ -            338 35385at50557         -            530   1.6e-41  139.4   0.1   2   2   8.3e-25   1.8e-23   79.8   0.0   300   472   132   317   131   337 0.80 -
35385at50557_30069_0:000933|STRG.8305.1:497-1786|+   -            430 35385at50557         -            530     1e-39  133.5   0.3   1   3   1.9e-10   4.2e-09   32.5   0.0   132   192     2    63     1    75 0.88 -
35385at50557_30069_0:000933|STRG.8305.1:497-1786|+   -            430 35385at50557         -            530     1e-39  133.5   0.3   2   3   7.9e-14   1.7e-12   43.6   0.0   203   310   114   239    94   262 0.77 -
35385at50557_30069_0:000933|STRG.8305.1:497-1786|+   -            430 35385at50557         -            530     1e-39  133.5   0.3   3   3   5.7e-17   1.3e-15   54.0   0.0   389   450   350   414   303   429 0.78 -
35385at50557_30069_0:000933|STRG.8305.2:423-1712|+   -            430 35385at50557         -            530     1e-39  133.5   0.3   1   3   1.9e-10   4.2e-09   32.5   0.0   132   192     2    63     1    75 0.88 -
35385at50557_30069_0:000933|STRG.8305.2:423-1712|+   -            430 35385at50557         -            530     1e-39  133.5   0.3   2   3   7.9e-14   1.7e-12   43.6   0.0   203   310   114   239    94   262 0.77 -
35385at50557_30069_0:000933|STRG.8305.2:423-1712|+   -            430 35385at50557         -            530     1e-39  133.5   0.3   3   3   5.7e-17   1.3e-15   54.0   0.0   389   450   350   414   303   429 0.78 -
35385at50557_1218281_0:001c7f|STRG.11872.1:187-856|+ -            216 35385at50557         -            530   9.4e-38  127.0   0.4   1   1   4.8e-39   1.1e-37  126.8   0.4   271   477     1   216     1   216 0.87 -
35385at50557_609295_0:00253c|STRG.3402.1:102-1292|+  -            397 35385at50557         -            530   9.7e-38  127.0   0.2   1   2   1.8e-30     4e-29   98.5   0.1   126   327     5   217     2   281 0.87 -
35385at50557_609295_0:00253c|STRG.3402.1:102-1292|+  -            397 35385at50557         -            530   9.7e-38  127.0   0.2   2   2   8.3e-09   1.8e-07   27.0   0.0   417   457   337   377   284   397 0.84 -
35385at50557_609295_0:00253c|STRG.3402.2:102-1292|+  -            397 35385at50557         -            530   9.7e-38  127.0   0.2   1   2   1.8e-30     4e-29   98.5   0.1   126   327     5   217     2   281 0.87 -
35385at50557_609295_0:00253c|STRG.3402.2:102-1292|+  -            397 35385at50557         -            530   9.7e-38  127.0   0.2   2   2   8.3e-09   1.8e-07   27.0   0.0   417   457   337   377   284   397 0.84 -
35385at50557_7130_0:00384d|STRG.1227.2:967-1678|+    -            211 35385at50557         -            530     4e-37  124.9   0.0   1   1   2.1e-38   4.6e-37  124.7   0.0   114   287    27   211    13   211 0.86 -
35385at50557_609295_0:00253c|STRG.3402.3:395-1507|+  -            371 35385at50557         -            530   3.8e-34  115.1   1.1   1   1   4.9e-33   1.1e-31  107.0   1.1   150   457     3   351     1   371 0.75 -
35385at50557_77166_0:001eb6|STRG.12378.1:960-1952|+  -            331 35385at50557         -            530     1e-33  113.7   0.0   1   2   1.5e-18   3.4e-17   59.2   0.0   202   292     3   105     1   158 0.82 -
35385at50557_77166_0:001eb6|STRG.12378.1:960-1952|+  -            331 35385at50557         -            530     1e-33  113.7   0.0   2   2   1.2e-16   2.7e-15   52.9   0.0   364   457   224   330   191   331 0.84 -
35385at50557_77166_0:001eb6|STRG.12378.2:960-1952|+  -            331 35385at50557         -            530     1e-33  113.7   0.0   1   2   1.5e-18   3.4e-17   59.2   0.0   202   292     3   105     1   158 0.82 -
35385at50557_77166_0:001eb6|STRG.12378.2:960-1952|+  -            331 35385at50557         -            530     1e-33  113.7   0.0   2   2   1.2e-16   2.7e-15   52.9   0.0   364   457   224   330   191   331 0.84 -
35385at50557_77166_0:001eb6|STRG.12378.3:840-1832|+  -            331 35385at50557         -            530     1e-33  113.7   0.0   1   2   1.5e-18   3.4e-17   59.2   0.0   202   292     3   105     1   158 0.82 -
35385at50557_77166_0:001eb6|STRG.12378.3:840-1832|+  -            331 35385at50557         -            530     1e-33  113.7   0.0   2   2   1.2e-16   2.7e-15   52.9   0.0   364   457   224   330   191   331 0.84 -
35385at50557_45779_0:00189d|STRG.10112.4:11-622|+    -            204 35385at50557         -            530   2.4e-31  105.8   0.0   1   1   1.2e-32   2.6e-31  105.8   0.0   160   337     1   190     1   204 0.87 -
35385at50557_7370_0:001aad|STRG.13638.1:627-1691|+   -            355 35385at50557         -            530   1.5e-30  103.2   0.1   1   1   1.3e-31     3e-30  102.2   0.1   136   451     6   354     1   355 0.79 -
35385at50557_37001_0:001231|STRG.10755.1:249-1286|+  -            346 35385at50557         -            530   2.4e-29   99.3   0.3   1   1   1.5e-30   3.3e-29   98.8   0.3   142   460     3   341     1   345 0.80 -
35385at50557_1155016_0:002498|STRG.10628.1:160-534|+ -            125 35385at50557         -            530     8e-29   97.5   0.2   1   1     4e-30   8.8e-29   97.4   0.2   366   480     1   125     1   125 0.91 -
35385at50557_1155016_0:002498|STRG.10628.2:39-404|+  -            122 35385at50557         -            530     3e-27   92.3   0.3   1   1   1.5e-28   3.3e-27   92.2   0.3   366   477     1   122     1   122 0.90 -
35385at50557_1155016_0:002498|STRG.10628.3:160-525|+ -            122 35385at50557         -            530     3e-27   92.3   0.3   1   1   1.5e-28   3.3e-27   92.2   0.3   366   477     1   122     1   122 0.90 -
35385at50557_1155016_0:002498|STRG.10628.4:39-404|+  -            122 35385at50557         -            530     3e-27   92.3   0.3   1   1   1.5e-28   3.3e-27   92.2   0.3   366   477     1   122     1   122 0.90 -
35385at50557_1049336_0:001ce8|STRG.11872.2:2-530|+   -            167 35385at50557         -            530   2.3e-25   86.1   0.6   1   1   1.2e-26   2.6e-25   85.9   0.6   276   438     1   167     1   167 0.87 -
35385at50557_35570_0:00290c|STRG.11632.1:766-1908|+  -            381 35385at50557         -            530   2.4e-24   82.7   0.0   1   2   8.7e-12   1.9e-10   36.9   0.0   167   282     8   137     4   196 0.70 -
35385at50557_35570_0:00290c|STRG.11632.1:766-1908|+  -            381 35385at50557         -            530   2.4e-24   82.7   0.0   2   2   8.1e-14   1.8e-12   43.6   0.0   396   481   289   377   233   380 0.76 -
35385at50557_35570_0:00290c|STRG.11632.2:690-1832|+  -            381 35385at50557         -            530   2.4e-24   82.7   0.0   1   2   8.7e-12   1.9e-10   36.9   0.0   167   282     8   137     4   196 0.70 -
35385at50557_35570_0:00290c|STRG.11632.2:690-1832|+  -            381 35385at50557         -            530   2.4e-24   82.7   0.0   2   2   8.1e-14   1.8e-12   43.6   0.0   396   481   289   377   233   380 0.76 -
35385at50557_7130_0:00384d|STRG.6283.2:697-1173|+    -            159 35385at50557         -            530   7.4e-23   77.8   0.3   1   1   3.7e-24   8.1e-23   77.7   0.3   131   285     1   158     1   159 0.87 -
35385at50557_7536_0:003207|STRG.13047.1:219-626|+    -            136 35385at50557         -            530   5.8e-14   48.5   0.5   1   1   2.9e-15   6.4e-14   48.3   0.5   130   262     2   136     1   136 0.85 -
35385at50557_319348_0:002dcd|STRG.3912.3:927-2015|+  -            363 35385at50557         -            530   7.9e-10   34.8   0.1   1   1   6.3e-11   1.4e-09   34.0   0.1   123   433    10   357     2   363 0.59 -
35385at50557_35570_0:00290c|STRG.595.1:2439-3515|+   -            359 35385at50557         -            530   5.3e-07   25.5   0.1   1   2      0.19       4.3    2.7   0.0   156   190    20    54     2    66 0.84 -
35385at50557_35570_0:00290c|STRG.595.1:2439-3515|+   -            359 35385at50557         -            530   5.3e-07   25.5   0.1   2   2   7.7e-07   1.7e-05   20.5   0.1   408   453   306   351   282   356 0.88 -
35385at50557_69319_0:00045e|STRG.3397.3:294-1250|+   -            319 35385at50557         -            530   1.7e-05   20.5   0.1   1   2     0.012      0.27    6.7   0.0   156   189     2    35     1   132 0.93 -
35385at50557_69319_0:00045e|STRG.3397.3:294-1250|+   -            319 35385at50557         -            530   1.7e-05   20.5   0.1   2   2   0.00025    0.0056   12.2   0.0   407   451   271   315   247   319 0.90 -
35385at50557_37001_0:001231|STRG.9934.1:1781-2830|+  -            350 35385at50557         -            530     3e-05   19.7   0.1   1   2      0.13       2.8    3.3   0.0   154   188     2    36     1    48 0.91 -
35385at50557_37001_0:001231|STRG.9934.1:1781-2830|+  -            350 35385at50557         -            530     3e-05   19.7   0.1   2   2   5.7e-05    0.0013   14.4   0.0   409   452   273   316   239   330 0.85 -
35385at50557_37001_0:001231|STRG.9934.2:1587-2636|+  -            350 35385at50557         -            530     3e-05   19.7   0.1   1   2      0.13       2.8    3.3   0.0   154   188     2    36     1    48 0.91 -
35385at50557_37001_0:001231|STRG.9934.2:1587-2636|+  -            350 35385at50557         -            530     3e-05   19.7   0.1   2   2   5.7e-05    0.0013   14.4   0.0   409   452   273   316   239   330 0.85 -
35385at50557_37001_0:001231|STRG.9934.3:1560-2609|+  -            350 35385at50557         -            530     3e-05   19.7   0.1   1   2      0.13       2.8    3.3   0.0   154   188     2    36     1    48 0.91 -
35385at50557_37001_0:001231|STRG.9934.3:1560-2609|+  -            350 35385at50557         -            530     3e-05   19.7   0.1   2   2   5.7e-05    0.0013   14.4   0.0   409   452   273   316   239   330 0.85 -
35385at50557_69319_0:00045e|STRG.5665.1:54-1337|+    -            428 35385at50557         -            530   0.00047   15.8   0.0   1   2     0.061       1.4    4.4   0.0   155   190     1    37     1    53 0.75 -
35385at50557_69319_0:00045e|STRG.5665.1:54-1337|+    -            428 35385at50557         -            530   0.00047   15.8   0.0   2   2    0.0022     0.049    9.1   0.0   367   451   234   325   227   338 0.80 -
35385at50557_69319_0:00045e|STRG.5665.2:219-1478|+   -            420 35385at50557         -            530   0.00096   14.8   0.0   1   2      0.13       2.9    3.3   0.0   162   193     1    30     1    45 0.81 -
35385at50557_69319_0:00045e|STRG.5665.2:219-1478|+   -            420 35385at50557         -            530   0.00096   14.8   0.0   2   2    0.0021     0.048    9.2   0.0   367   451   226   317   219   330 0.80 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/justine/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/35385at50557.hmm
# Target file:     annotation_analysis/annotation_gca/T_cornetzi/busco_output/run_insecta_odb10/metaeuk_output/rerun_results/assembled_transcripts.fasta.modified.fas
# Option settings: hmmsearch --domtblout annotation_analysis/annotation_gca/T_cornetzi/busco_output/run_insecta_odb10/hmmer_output/rerun_results/35385at50557.out --cpu 1 /home/justine/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/35385at50557.hmm annotation_analysis/annotation_gca/T_cornetzi/busco_output/run_insecta_odb10/metaeuk_output/rerun_results/assembled_transcripts.fasta.modified.fas 
# Current dir:     /home/justine/projet_tutore
# Date:            Sun Dec  1 22:56:28 2024
# [ok]
