#                                                                                                             --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                         accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                 ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
966at50557_51655_0:00313f|STRG.4410.1:1579-2010|+     -            144 966at50557           -           1751   6.6e-49  162.7   0.8   1   1   4.9e-50   7.7e-49  162.5   0.8  1641  1745     1   118     1   122 0.92 -
966at50557_1218281_0:0025fb|STRG.21544.1:2224-3639|+  -            472 966at50557           -           1751   2.4e-30  101.2   4.2   5   5   9.8e-07   1.5e-05   19.0   0.0    27   115   382   470   371   472 0.83 -
966at50557_1218281_0:0025fb|STRG.21544.5:1936-3351|+  -            472 966at50557           -           1751   2.4e-30  101.2   4.2   1   5   1.2e-06   1.9e-05   18.6   0.1    30   115     1    86     1    90 0.93 -
966at50557_1218281_0:0025fb|STRG.21544.5:1936-3351|+  -            472 966at50557           -           1751   2.4e-30  101.2   4.2   2   5   1.4e-09   2.2e-08   28.4   0.1    25   118    96   190    88   199 0.91 -
966at50557_1218281_0:0025fb|STRG.21544.5:1936-3351|+  -            472 966at50557           -           1751   2.4e-30  101.2   4.2   3   5   0.00012    0.0019   12.0   0.1    25   114   199   288   190   298 0.73 -
966at50557_1218281_0:0025fb|STRG.21544.5:1936-3351|+  -            472 966at50557           -           1751   2.4e-30  101.2   4.2   4   5   1.4e-07   2.2e-06   21.7   0.0    61   116   314   371   268   382 0.80 -
966at50557_1218281_0:0025fb|STRG.21544.5:1936-3351|+  -            472 966at50557           -           1751   2.4e-30  101.2   4.2   5   5   9.8e-07   1.5e-05   19.0   0.0    27   115   382   470   371   472 0.83 -
966at50557_1218281_0:0025fb|STRG.12356.1:1146-2213|+  -            356 966at50557           -           1751   1.7e-29   98.4   3.3   1   4   1.3e-08   2.1e-07   25.2   0.0    28   115     6    94     2   102 0.83 -
966at50557_1218281_0:0025fb|STRG.12356.1:1146-2213|+  -            356 966at50557           -           1751   1.7e-29   98.4   3.3   2   4   2.3e-10   3.6e-09   31.0   0.1    26   115   104   194    95   198 0.88 -
966at50557_1218281_0:0025fb|STRG.12356.1:1146-2213|+  -            356 966at50557           -           1751   1.7e-29   98.4   3.3   3   4   2.8e-07   4.3e-06   20.8   0.0    21   115   199   294   194   298 0.86 -
966at50557_1218281_0:0025fb|STRG.12356.1:1146-2213|+  -            356 966at50557           -           1751   1.7e-29   98.4   3.3   4   4   5.4e-07   8.5e-06   19.8   0.1    26    80   301   356   297   356 0.92 -
966at50557_1218281_0:0025fb|STRG.12356.2:1146-2213|+  -            356 966at50557           -           1751   1.7e-29   98.4   3.3   1   4   1.3e-08   2.1e-07   25.2   0.0    28   115     6    94     2   102 0.83 -
966at50557_1218281_0:0025fb|STRG.12356.2:1146-2213|+  -            356 966at50557           -           1751   1.7e-29   98.4   3.3   2   4   2.3e-10   3.6e-09   31.0   0.1    26   115   104   194    95   198 0.88 -
966at50557_1218281_0:0025fb|STRG.12356.2:1146-2213|+  -            356 966at50557           -           1751   1.7e-29   98.4   3.3   3   4   2.8e-07   4.3e-06   20.8   0.0    21   115   199   294   194   298 0.86 -
966at50557_1218281_0:0025fb|STRG.12356.2:1146-2213|+  -            356 966at50557           -           1751   1.7e-29   98.4   3.3   4   4   5.4e-07   8.5e-06   19.8   0.1    26    80   301   356   297   356 0.92 -
25718at50557_121845_0:004b22|STRG.22447.1:166-1770|+  -            535 966at50557           -           1751   2.9e-29   97.6  38.3   1   5   0.00029    0.0046   10.7   1.1   580   622    43    84    41    84 0.93 -
25718at50557_121845_0:004b22|STRG.22447.1:166-1770|+  -            535 966at50557           -           1751   2.9e-29   97.6  38.3   2   5   1.3e-16   2.1e-15   51.7  10.3   341   512    66   235    63   236 0.82 -
25718at50557_121845_0:004b22|STRG.22447.1:166-1770|+  -            535 966at50557           -           1751   2.9e-29   97.6  38.3   3   5   1.6e-07   2.5e-06   21.6   1.9   339   440   201   308   198   322 0.83 -
25718at50557_121845_0:004b22|STRG.22447.1:166-1770|+  -            535 966at50557           -           1751   2.9e-29   97.6  38.3   4   5   5.3e-11   8.3e-10   33.1   0.7   292   455   334   481   310   494 0.75 -
25718at50557_121845_0:004b22|STRG.22447.1:166-1770|+  -            535 966at50557           -           1751   2.9e-29   97.6  38.3   5   5    0.0017     0.027    8.2   2.8   586   635   483   532   475   535 0.76 -
966at50557_1218281_0:0025fb|STRG.12356.3:3523-4443|+  -            307 966at50557           -           1751   3.5e-29   97.3   0.1   1   2   3.8e-08   5.9e-07   23.7   0.0    25    87     4    67     2    72 0.87 -
966at50557_1218281_0:0025fb|STRG.12356.3:3523-4443|+  -            307 966at50557           -           1751   3.5e-29   97.3   0.1   2   2   3.3e-21   5.2e-20   66.9   0.0    26   256    72   304    66   307 0.83 -
25718at50557_13249_0:001bb5|STRG.15062.1:894-1778|+   -            295 966at50557           -           1751   6.1e-29   96.5  36.1   1   3   2.7e-17   4.2e-16   54.0   6.6   344   489     4   152     1   152 0.90 -
25718at50557_13249_0:001bb5|STRG.15062.1:894-1778|+   -            295 966at50557           -           1751   6.1e-29   96.5  36.1   2   3   1.5e-13   2.4e-12   41.5  13.3   338   489   116   270   112   275 0.83 -
25718at50557_13249_0:001bb5|STRG.15062.1:894-1778|+   -            295 966at50557           -           1751   6.1e-29   96.5  36.1   3   3   4.1e-09   6.5e-08   26.8   1.1   338   414   211   295   209   295 0.90 -
25718at50557_54969_0:001d6b|STRG.22786.1:837-3482|+   -            882 966at50557           -           1751   6.9e-29   96.4  34.6   1   6   7.7e-08   1.2e-06   22.6   1.0   365   489     3   132     1   138 0.79 -
25718at50557_54969_0:001d6b|STRG.22786.1:837-3482|+   -            882 966at50557           -           1751   6.9e-29   96.4  34.6   2   6    0.0012     0.019    8.7   0.1   403   441   145   184   140   211 0.86 -
25718at50557_54969_0:001d6b|STRG.22786.1:837-3482|+   -            882 966at50557           -           1751   6.9e-29   96.4  34.6   3   6   6.9e-08   1.1e-06   22.8   1.5   385   514   223   354   211   363 0.83 -
25718at50557_54969_0:001d6b|STRG.22786.1:837-3482|+   -            882 966at50557           -           1751   6.9e-29   96.4  34.6   4   6   2.4e-06   3.8e-05   17.7   0.0   345   420   371   452   368   456 0.77 -
25718at50557_54969_0:001d6b|STRG.22786.1:837-3482|+   -            882 966at50557           -           1751   6.9e-29   96.4  34.6   5   6   2.6e-12   4.1e-11   37.4  10.8   359   560   455   658   451   661 0.84 -
25718at50557_54969_0:001d6b|STRG.22786.1:837-3482|+   -            882 966at50557           -           1751   6.9e-29   96.4  34.6   6   6     0.012      0.18    5.5   4.4   338   441   576   683   571   707 0.78 -
25718at50557_54969_0:001d6b|STRG.22786.2:1025-3670|+  -            882 966at50557           -           1751   6.9e-29   96.4  34.6   1   6   7.7e-08   1.2e-06   22.6   1.0   365   489     3   132     1   138 0.79 -
25718at50557_54969_0:001d6b|STRG.22786.2:1025-3670|+  -            882 966at50557           -           1751   6.9e-29   96.4  34.6   2   6    0.0012     0.019    8.7   0.1   403   441   145   184   140   211 0.86 -
25718at50557_54969_0:001d6b|STRG.22786.2:1025-3670|+  -            882 966at50557           -           1751   6.9e-29   96.4  34.6   3   6   6.9e-08   1.1e-06   22.8   1.5   385   514   223   354   211   363 0.83 -
25718at50557_54969_0:001d6b|STRG.22786.2:1025-3670|+  -            882 966at50557           -           1751   6.9e-29   96.4  34.6   4   6   2.4e-06   3.8e-05   17.7   0.0   345   420   371   452   368   456 0.77 -
25718at50557_54969_0:001d6b|STRG.22786.2:1025-3670|+  -            882 966at50557           -           1751   6.9e-29   96.4  34.6   5   6   2.6e-12   4.1e-11   37.4  10.8   359   560   455   658   451   661 0.84 -
25718at50557_54969_0:001d6b|STRG.22786.2:1025-3670|+  -            882 966at50557           -           1751   6.9e-29   96.4  34.6   6   6     0.012      0.18    5.5   4.4   338   441   576   683   571   707 0.78 -
966at50557_1218281_0:0025fb|STRG.13085.2:351-1277|+   -            309 966at50557           -           1751     7e-29   96.3   3.9   1   4   6.7e-08     1e-06   22.8   0.1    39   115     1    77     1    80 0.79 -
966at50557_1218281_0:0025fb|STRG.13085.2:351-1277|+   -            309 966at50557           -           1751     7e-29   96.3   3.9   2   4   4.2e-05   0.00066   13.6   0.1   203   256    58   112    51   118 0.87 -
966at50557_1218281_0:0025fb|STRG.13085.2:351-1277|+   -            309 966at50557           -           1751     7e-29   96.3   3.9   3   4     3e-13   4.7e-12   40.5   0.0    23   119   113   209    95   238 0.86 -
966at50557_1218281_0:0025fb|STRG.13085.2:351-1277|+   -            309 966at50557           -           1751     7e-29   96.3   3.9   4   4     3e-10   4.7e-09   30.6   0.1   199   254   248   308   233   309 0.82 -
25718at50557_38123_0:002c3f|STRG.19126.1:638-1639|+   -            334 966at50557           -           1751   9.7e-29   95.9  17.0   1   3     2e-08   3.2e-07   24.6   0.8   346   430     8    98     2   113 0.78 -
25718at50557_38123_0:002c3f|STRG.19126.1:638-1639|+   -            334 966at50557           -           1751   9.7e-29   95.9  17.0   2   3   1.3e-14   2.1e-13   45.0   0.5   337   421   114   204    91   206 0.91 -
25718at50557_38123_0:002c3f|STRG.19126.1:638-1639|+   -            334 966at50557           -           1751   9.7e-29   95.9  17.0   3   3   2.2e-11   3.5e-10   34.4   4.5   338   442   207   317   203   334 0.89 -
25718at50557_38123_0:002c3f|STRG.19126.2:208-1209|+   -            334 966at50557           -           1751   9.7e-29   95.9  17.0   1   3     2e-08   3.2e-07   24.6   0.8   346   430     8    98     2   113 0.78 -
25718at50557_38123_0:002c3f|STRG.19126.2:208-1209|+   -            334 966at50557           -           1751   9.7e-29   95.9  17.0   2   3   1.3e-14   2.1e-13   45.0   0.5   337   421   114   204    91   206 0.91 -
25718at50557_38123_0:002c3f|STRG.19126.2:208-1209|+   -            334 966at50557           -           1751   9.7e-29   95.9  17.0   3   3   2.2e-11   3.5e-10   34.4   4.5   338   442   207   317   203   334 0.89 -
25718at50557_38123_0:002c3f|STRG.8711.1:486-1553|+    -            356 966at50557           -           1751     2e-28   94.8  24.1   1   3     6e-18   9.3e-17   56.1   8.0   339   515    18   194     5   196 0.88 -
25718at50557_38123_0:002c3f|STRG.8711.1:486-1553|+    -            356 966at50557           -           1751     2e-28   94.8  24.1   2   3   3.5e-08   5.4e-07   23.8   0.1   380   487   133   237   128   237 0.88 -
25718at50557_38123_0:002c3f|STRG.8711.1:486-1553|+    -            356 966at50557           -           1751     2e-28   94.8  24.1   3   3   2.7e-12   4.3e-11   37.4   4.8   344   449   232   344   225   356 0.85 -
966at50557_1218281_0:0025fb|STRG.13085.1:136-1167|+   -            344 966at50557           -           1751   3.8e-26   87.3   7.4   1   4   7.8e-12   1.2e-10   35.9   0.3    22   116    54   148    51   151 0.88 -
966at50557_1218281_0:0025fb|STRG.13085.1:136-1167|+   -            344 966at50557           -           1751   3.8e-26   87.3   7.4   2   4   4.7e-05   0.00074   13.4   0.0   203   256   128   182   121   189 0.87 -
966at50557_1218281_0:0025fb|STRG.13085.1:136-1167|+   -            344 966at50557           -           1751   3.8e-26   87.3   7.4   3   4     5e-13   7.8e-12   39.8   0.1    22   119   182   279   163   286 0.85 -
966at50557_1218281_0:0025fb|STRG.13085.1:136-1167|+   -            344 966at50557           -           1751   3.8e-26   87.3   7.4   4   4   1.1e-07   1.7e-06   22.1   0.1    29   115   255   341   247   344 0.87 -
966at50557_1218281_0:0025fb|STRG.13085.3:161-1192|+   -            344 966at50557           -           1751   3.8e-26   87.3   7.4   1   4   7.8e-12   1.2e-10   35.9   0.3    22   116    54   148    51   151 0.88 -
966at50557_1218281_0:0025fb|STRG.13085.3:161-1192|+   -            344 966at50557           -           1751   3.8e-26   87.3   7.4   2   4   4.7e-05   0.00074   13.4   0.0   203   256   128   182   121   189 0.87 -
966at50557_1218281_0:0025fb|STRG.13085.3:161-1192|+   -            344 966at50557           -           1751   3.8e-26   87.3   7.4   3   4     5e-13   7.8e-12   39.8   0.1    22   119   182   279   163   286 0.85 -
966at50557_1218281_0:0025fb|STRG.13085.3:161-1192|+   -            344 966at50557           -           1751   3.8e-26   87.3   7.4   4   4   1.1e-07   1.7e-06   22.1   0.1    29   115   255   341   247   344 0.87 -
25718at50557_45779_0:0018d4|STRG.7495.1:30-1781|+     -            584 966at50557           -           1751   5.8e-25   83.4  29.8   1   4   4.4e-10   6.9e-09   30.1   1.0   317   423     2   116     1   136 0.78 -
25718at50557_45779_0:0018d4|STRG.7495.1:30-1781|+     -            584 966at50557           -           1751   5.8e-25   83.4  29.8   2   4   2.3e-10   3.6e-09   31.0   8.3   341   516   145   326   135   329 0.87 -
25718at50557_45779_0:0018d4|STRG.7495.1:30-1781|+     -            584 966at50557           -           1751   5.8e-25   83.4  29.8   3   4   2.1e-11   3.3e-10   34.4   2.6   341   513   336   517   331   523 0.78 -
25718at50557_45779_0:0018d4|STRG.7495.1:30-1781|+     -            584 966at50557           -           1751   5.8e-25   83.4  29.8   4   4      0.13         2    2.0   0.2   338   388   503   554   500   566 0.76 -
966at50557_1218281_0:0025fb|STRG.1237.1:1468-2514|+   -            349 966at50557           -           1751   6.4e-25   83.2   7.1   1   4   2.6e-07   4.1e-06   20.9   0.0    21    82    25    87     1    98 0.75 -
966at50557_1218281_0:0025fb|STRG.1237.1:1468-2514|+   -            349 966at50557           -           1751   6.4e-25   83.2   7.1   2   4   4.4e-07   6.9e-06   20.1   0.0   203   258   100   160    89   165 0.88 -
966at50557_1218281_0:0025fb|STRG.1237.1:1468-2514|+   -            349 966at50557           -           1751   6.4e-25   83.2   7.1   3   4   4.8e-06   7.5e-05   16.7   0.4   203   256   166   224   161   227 0.86 -
966at50557_1218281_0:0025fb|STRG.1237.1:1468-2514|+   -            349 966at50557           -           1751   6.4e-25   83.2   7.1   4   4   2.7e-08   4.2e-07   24.2   0.9   136   249   223   349   223   349 0.64 -
966at50557_1218281_0:0025fb|STRG.1237.2:1028-2074|+   -            349 966at50557           -           1751   6.4e-25   83.2   7.1   1   4   2.6e-07   4.1e-06   20.9   0.0    21    82    25    87     1    98 0.75 -
966at50557_1218281_0:0025fb|STRG.1237.2:1028-2074|+   -            349 966at50557           -           1751   6.4e-25   83.2   7.1   2   4   4.4e-07   6.9e-06   20.1   0.0   203   258   100   160    89   165 0.88 -
966at50557_1218281_0:0025fb|STRG.1237.2:1028-2074|+   -            349 966at50557           -           1751   6.4e-25   83.2   7.1   3   4   4.8e-06   7.5e-05   16.7   0.4   203   256   166   224   161   227 0.86 -
966at50557_1218281_0:0025fb|STRG.1237.2:1028-2074|+   -            349 966at50557           -           1751   6.4e-25   83.2   7.1   4   4   2.7e-08   4.2e-07   24.2   0.9   136   249   223   349   223   349 0.64 -
966at50557_1218281_0:0025fb|STRG.1237.3:256-1302|+    -            349 966at50557           -           1751   6.4e-25   83.2   7.1   1   4   2.6e-07   4.1e-06   20.9   0.0    21    82    25    87     1    98 0.75 -
966at50557_1218281_0:0025fb|STRG.1237.3:256-1302|+    -            349 966at50557           -           1751   6.4e-25   83.2   7.1   2   4   4.4e-07   6.9e-06   20.1   0.0   203   258   100   160    89   165 0.88 -
966at50557_1218281_0:0025fb|STRG.1237.3:256-1302|+    -            349 966at50557           -           1751   6.4e-25   83.2   7.1   3   4   4.8e-06   7.5e-05   16.7   0.4   203   256   166   224   161   227 0.86 -
966at50557_1218281_0:0025fb|STRG.1237.3:256-1302|+    -            349 966at50557           -           1751   6.4e-25   83.2   7.1   4   4   2.7e-08   4.2e-07   24.2   0.9   136   249   223   349   223   349 0.64 -
966at50557_1218281_0:0025fb|STRG.1237.4:1028-2074|+   -            349 966at50557           -           1751   6.4e-25   83.2   7.1   1   4   2.6e-07   4.1e-06   20.9   0.0    21    82    25    87     1    98 0.75 -
966at50557_1218281_0:0025fb|STRG.1237.4:1028-2074|+   -            349 966at50557           -           1751   6.4e-25   83.2   7.1   2   4   4.4e-07   6.9e-06   20.1   0.0   203   258   100   160    89   165 0.88 -
966at50557_1218281_0:0025fb|STRG.1237.4:1028-2074|+   -            349 966at50557           -           1751   6.4e-25   83.2   7.1   3   4   4.8e-06   7.5e-05   16.7   0.4   203   256   166   224   161   227 0.86 -
966at50557_1218281_0:0025fb|STRG.1237.4:1028-2074|+   -            349 966at50557           -           1751   6.4e-25   83.2   7.1   4   4   2.7e-08   4.2e-07   24.2   0.9   136   249   223   349   223   349 0.64 -
25718at50557_315563_0:0017b7|STRG.21028.1:258-2966|+  -            903 966at50557           -           1751   7.9e-24   79.6  21.0   1   5   0.00011    0.0018   12.1   0.0   454   517    69   137    56   140 0.86 -
25718at50557_315563_0:0017b7|STRG.21028.1:258-2966|+  -            903 966at50557           -           1751   7.9e-24   79.6  21.0   2   5   2.8e-05   0.00044   14.1   0.1   338   415   143   230   138   236 0.82 -
25718at50557_315563_0:0017b7|STRG.21028.1:258-2966|+  -            903 966at50557           -           1751   7.9e-24   79.6  21.0   3   5   1.2e-08   1.9e-07   25.3   3.4   338   470   242   379   235   393 0.80 -
25718at50557_315563_0:0017b7|STRG.21028.1:258-2966|+  -            903 966at50557           -           1751   7.9e-24   79.6  21.0   4   5     3e-10   4.7e-09   30.6   1.0   344   513   391   563   384   570 0.77 -
25718at50557_315563_0:0017b7|STRG.21028.1:258-2966|+  -            903 966at50557           -           1751   7.9e-24   79.6  21.0   5   5    0.0046     0.071    6.8   0.1   360   430   750   826   697   833 0.71 -
966at50557_1218281_0:0025fb|STRG.6436.1:555-1394|+    -            280 966at50557           -           1751   2.2e-23   78.1   0.1   1   4   3.6e-08   5.6e-07   23.7   0.0   194   259    23    94    11    97 0.75 -
966at50557_1218281_0:0025fb|STRG.6436.1:555-1394|+    -            280 966at50557           -           1751   2.2e-23   78.1   0.1   2   4   3.8e-08   5.9e-07   23.7   0.0   203   258    99   159    94   164 0.61 -
966at50557_1218281_0:0025fb|STRG.6436.1:555-1394|+    -            280 966at50557           -           1751   2.2e-23   78.1   0.1   3   4   1.3e-08     2e-07   25.2   0.0    28   113   163   247   157   249 0.90 -
966at50557_1218281_0:0025fb|STRG.6436.1:555-1394|+    -            280 966at50557           -           1751   2.2e-23   78.1   0.1   4   4   0.00032    0.0051   10.6   0.0   193   247   220   279   210   280 0.79 -
966at50557_1218281_0:0025fb|STRG.17527.1:50-1087|+    -            346 966at50557           -           1751   3.3e-23   77.6   0.2   1   3   4.8e-08   7.5e-07   23.3   0.1    29   116     5    92     1    96 0.88 -
966at50557_1218281_0:0025fb|STRG.17527.1:50-1087|+    -            346 966at50557           -           1751   3.3e-23   77.6   0.2   2   3   3.3e-10   5.1e-09   30.5   0.0    20   118    95   193    92   221 0.84 -
966at50557_1218281_0:0025fb|STRG.17527.1:50-1087|+    -            346 966at50557           -           1751   3.3e-23   77.6   0.2   3   3   2.5e-07   3.9e-06   20.9   0.0    19   117   227   325   214   333 0.90 -
966at50557_1218281_0:0025fb|STRG.17527.2:29-991|+     -            321 966at50557           -           1751   2.8e-21   71.1   0.3   1   3   4.8e-09   7.6e-08   26.6   0.1    21   117     4   100     1   109 0.87 -
966at50557_1218281_0:0025fb|STRG.17527.2:29-991|+     -            321 966at50557           -           1751   2.8e-21   71.1   0.3   2   3   2.2e-10   3.5e-09   31.1   0.1    19   118   101   200    98   234 0.83 -
966at50557_1218281_0:0025fb|STRG.17527.2:29-991|+     -            321 966at50557           -           1751   2.8e-21   71.1   0.3   3   3   0.00015    0.0024   11.7   0.0    19   106   234   321   221   321 0.90 -
966at50557_1218281_0:0025fb|STRG.17526.2:56-1099|+    -            348 966at50557           -           1751   1.3e-20   68.9   1.9   1   3   0.00055    0.0086    9.8   0.0    27   117     4    99     1   108 0.79 -
966at50557_1218281_0:0025fb|STRG.17526.2:56-1099|+    -            348 966at50557           -           1751   1.3e-20   68.9   1.9   2   3     6e-09   9.4e-08   26.3   0.0    29   115   122   209   109   215 0.91 -
966at50557_1218281_0:0025fb|STRG.17526.2:56-1099|+    -            348 966at50557           -           1751   1.3e-20   68.9   1.9   3   3   2.7e-10   4.3e-09   30.7   0.3    20   165   216   347   209   348 0.87 -
25718at50557_54969_0:001d6b|STRG.20998.1:501-2948|+   -            816 966at50557           -           1751   4.7e-20   67.1  44.4   1   5   2.7e-09   4.2e-08   27.5   5.5   343   513     3   161     1   165 0.80 -
25718at50557_54969_0:001d6b|STRG.20998.1:501-2948|+   -            816 966at50557           -           1751   4.7e-20   67.1  44.4   2   5     8e-11   1.3e-09   32.5   4.8   343   517    56   239    47   245 0.81 -
25718at50557_54969_0:001d6b|STRG.20998.1:501-2948|+   -            816 966at50557           -           1751   4.7e-20   67.1  44.4   3   5   9.1e-09   1.4e-07   25.7   1.5   337   468   172   308   161   310 0.82 -
25718at50557_54969_0:001d6b|STRG.20998.1:501-2948|+   -            816 966at50557           -           1751   4.7e-20   67.1  44.4   4   5   1.4e-08   2.2e-07   25.0   9.4   336   515   267   450   241   497 0.62 -
25718at50557_54969_0:001d6b|STRG.20998.1:501-2948|+   -            816 966at50557           -           1751   4.7e-20   67.1  44.4   5   5      0.99        15   -0.9   0.1   351   414   670   742   654   751 0.63 -
966at50557_1218281_0:0025fb|STRG.2812.1:1026-2312|+   -            429 966at50557           -           1751   6.2e-20   66.7   0.5   1   3   0.00029    0.0046   10.8   0.2   194   273    19   107     5   122 0.71 -
966at50557_1218281_0:0025fb|STRG.2812.1:1026-2312|+   -            429 966at50557           -           1751   6.2e-20   66.7   0.5   2   3   4.5e-11   7.1e-10   33.3   0.0    26   164   184   326   151   339 0.80 -
966at50557_1218281_0:0025fb|STRG.2812.1:1026-2312|+   -            429 966at50557           -           1751   6.2e-20   66.7   0.5   3   3     3e-07   4.7e-06   20.7   0.0    24   115   335   426   306   429 0.65 -
966at50557_1218281_0:0025fb|STRG.2812.2:1032-2327|+   -            432 966at50557           -           1751   1.2e-19   65.7   0.7   1   3   0.00059    0.0093    9.7   0.2   199   269    24   107     5   125 0.61 -
966at50557_1218281_0:0025fb|STRG.2812.2:1032-2327|+   -            432 966at50557           -           1751   1.2e-19   65.7   0.7   2   3   5.9e-11   9.3e-10   32.9   0.0    26   163   187   328   154   339 0.80 -
966at50557_1218281_0:0025fb|STRG.2812.2:1032-2327|+   -            432 966at50557           -           1751   1.2e-19   65.7   0.7   3   3   3.1e-07   4.8e-06   20.6   0.0    24   115   338   429   309   432 0.65 -
966at50557_1218281_0:0025fb|STRG.13083.1:1082-1876|+  -            265 966at50557           -           1751   2.4e-19   64.7   2.3   1   3   5.5e-05   0.00086   13.2   0.0    53   115     7    69     1    79 0.47 -
966at50557_1218281_0:0025fb|STRG.13083.1:1082-1876|+  -            265 966at50557           -           1751   2.4e-19   64.7   2.3   2   3   2.9e-07   4.6e-06   20.7   0.0   200   259    80   144    71   150 0.84 -
966at50557_1218281_0:0025fb|STRG.13083.1:1082-1876|+  -            265 966at50557           -           1751   2.4e-19   64.7   2.3   3   3   2.7e-10   4.3e-09   30.7   0.2    29   118   148   237   141   254 0.86 -
966at50557_1218281_0:0025fb|STRG.17526.1:17-961|+     -            315 966at50557           -           1751   4.9e-19   63.7   0.8   1   3   0.00018    0.0029   11.4   0.0    23   117    13   112     6   120 0.82 -
966at50557_1218281_0:0025fb|STRG.17526.1:17-961|+     -            315 966at50557           -           1751   4.9e-19   63.7   0.8   2   3   5.3e-09   8.3e-08   26.5   0.0    29   115   135   222   128   228 0.91 -
966at50557_1218281_0:0025fb|STRG.17526.1:17-961|+     -            315 966at50557           -           1751   4.9e-19   63.7   0.8   3   3   5.7e-08     9e-07   23.0   0.1    20   101   229   311   223   315 0.83 -
