#                                                                                                              --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                          accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                  ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
116934at50557_103372_0:000d14|STRG.809.1:159-719|+     -            187 116934at50557        -            140   2.3e-74  246.9   0.0   1   1   1.7e-76   3.1e-74  246.4   0.0     3   139    23   166    21   167 0.94 -
120473at50557_535359_0:000a36|STRG.4210.2:406-864|+    -            153 116934at50557        -            140   1.4e-24   85.6   0.1   1   1   4.1e-26   7.7e-24   83.1   0.1    21   136     3   135     1   139 0.88 -
116934at50557_121225_0:000e6c|STRG.19654.1:694-1080|+  -            129 116934at50557        -            140   8.1e-22   76.6   0.0   1   1   4.9e-24   9.3e-22   76.4   0.0    11   117    15   128     6   129 0.87 -
116934at50557_108931_0:001c95|STRG.13554.1:270-692|+   -            141 116934at50557        -            140   1.2e-21   76.0   0.0   1   1   7.7e-24   1.5e-21   75.7   0.0    31   138    21   130     2   132 0.86 -
116934at50557_121225_0:000e6c|STRG.19654.3:168-503|+   -            112 116934at50557        -            140   2.6e-21   74.9   0.0   1   1   1.5e-23   2.9e-21   74.8   0.0    14   117     1   111     1   112 0.89 -
116934at50557_121225_0:000e6c|STRG.19654.2:240-620|+   -            127 116934at50557        -            140   2.6e-21   74.9   0.0   1   1   1.6e-23     3e-21   74.7   0.0    11   116    15   127     6   127 0.87 -
117699at50557_7394_0:002ded|STRG.17400.1:864-1256|+    -            131 116934at50557        -            140   7.9e-21   73.4   0.0   1   1   4.9e-23   9.3e-21   73.1   0.0    46   134    20   113    12   123 0.87 -
117699at50557_7394_0:002ded|STRG.17400.2:1544-1936|+   -            131 116934at50557        -            140   7.9e-21   73.4   0.0   1   1   4.9e-23   9.3e-21   73.1   0.0    46   134    20   113    12   123 0.87 -
117699at50557_7394_0:002ded|STRG.17400.3:864-1256|+    -            131 116934at50557        -            140   7.9e-21   73.4   0.0   1   1   4.9e-23   9.3e-21   73.1   0.0    46   134    20   113    12   123 0.87 -
117699at50557_7394_0:002ded|STRG.17400.4:886-1278|+    -            131 116934at50557        -            140   7.9e-21   73.4   0.0   1   1   4.9e-23   9.3e-21   73.1   0.0    46   134    20   113    12   123 0.87 -
117699at50557_7394_0:002ded|STRG.17400.5:868-1260|+    -            131 116934at50557        -            140   7.9e-21   73.4   0.0   1   1   4.9e-23   9.3e-21   73.1   0.0    46   134    20   113    12   123 0.87 -
117699at50557_7394_0:002ded|STRG.17400.6:887-1279|+    -            131 116934at50557        -            140   7.9e-21   73.4   0.0   1   1   4.9e-23   9.3e-21   73.1   0.0    46   134    20   113    12   123 0.87 -
117699at50557_7394_0:002ded|STRG.17400.7:906-1298|+    -            131 116934at50557        -            140   7.9e-21   73.4   0.0   1   1   4.9e-23   9.3e-21   73.1   0.0    46   134    20   113    12   123 0.87 -
117699at50557_7394_0:002ded|STRG.17400.8:458-850|+     -            131 116934at50557        -            140   7.9e-21   73.4   0.0   1   1   4.9e-23   9.3e-21   73.1   0.0    46   134    20   113    12   123 0.87 -
120473at50557_43041_0:000212|STRG.4353.2:633-1019|+    -            129 116934at50557        -            140   2.8e-20   71.6   0.0   1   1   1.8e-22   3.5e-20   71.3   0.0    34   135    11   118     8   125 0.89 -
120473at50557_1049336_0:000626|STRG.4353.1:277-726|+   -            150 116934at50557        -            140   3.9e-20   71.1   0.0   1   1   2.3e-22   4.4e-20   71.0   0.0    34   135    32   139     7   146 0.90 -
120473at50557_1049336_0:000626|STRG.7951.2:305-745|+   -            147 116934at50557        -            140   1.8e-19   69.0   0.0   1   1   1.1e-21     2e-19   68.8   0.0    11   134     6   132     1   138 0.93 -
117699at50557_28612_0:004e72|STRG.20614.1:85-465|+     -            127 116934at50557        -            140   5.1e-19   67.5   0.0   1   1   2.9e-21   5.5e-19   67.4   0.0    13   131     3   125     1   127 0.90 -
120473at50557_28612_0:003609|STRG.7951.1:266-685|+     -            140 116934at50557        -            140   5.1e-19   67.5   0.0   1   1   3.1e-21   5.8e-19   67.3   0.0    15   134     3   125     1   131 0.93 -
117925at50557_37001_0:0022f0|STRG.18444.1:287-739|+    -            151 116934at50557        -            140   1.3e-12   46.7   0.0   1   1   8.1e-15   1.5e-12   46.5   0.0     5   119    11   128     7   150 0.88 -
117925at50557_103372_0:00113b|STRG.19048.1:569-1267|+  -            233 116934at50557        -            140   1.1e-11   43.8   0.0   1   1   8.1e-14   1.5e-11   43.3   0.0     7   120     7   124     1   142 0.87 -
117925at50557_103372_0:00113b|STRG.19048.2:480-1178|+  -            233 116934at50557        -            140   1.1e-11   43.8   0.0   1   1   8.1e-14   1.5e-11   43.3   0.0     7   120     7   124     1   142 0.87 -
117699at50557_7493_0:0020c6|STRG.5718.6:236-673|+      -            146 116934at50557        -            140     8e-11   40.9   0.0   1   1   5.2e-13   9.8e-11   40.7   0.0    32   137    17   131     3   134 0.87 -
117699at50557_7493_0:0020c6|STRG.5718.5:236-565|+      -            110 116934at50557        -            140   1.7e-08   33.4   0.1   1   1   8.8e-11   1.7e-08   33.4   0.1    32    97    17    84     2   109 0.89 -
117699at50557_7493_0:0020c6|STRG.5718.1:336-665|+      -            110 116934at50557        -            140   1.8e-08   33.3   0.1   1   1   9.4e-11   1.8e-08   33.3   0.1    32    97    17    84     4   109 0.89 -
117699at50557_7493_0:0020c6|STRG.5718.3:156-485|+      -            110 116934at50557        -            140   1.8e-08   33.3   0.1   1   1   9.4e-11   1.8e-08   33.3   0.1    32    97    17    84     4   109 0.89 -
117699at50557_7244_0:002000|STRG.17248.1:792-1160|+    -            123 116934at50557        -            140   1.8e-08   33.3   0.0   1   1   1.5e-10   2.8e-08   32.7   0.0    58   114    61   121    53   123 0.85 -
117699at50557_7244_0:002000|STRG.17248.2:793-1161|+    -            123 116934at50557        -            140   1.8e-08   33.3   0.0   1   1   1.5e-10   2.8e-08   32.7   0.0    58   114    61   121    53   123 0.85 -
128261at50557_103372_0:000077|STRG.8284.1:350-781|+    -            144 116934at50557        -            140   9.1e-08   31.0   0.0   1   1   8.7e-10   1.6e-07   30.2   0.0    36   120    41   131    31   138 0.79 -
120473at50557_28612_0:003609|STRG.17646.1:7963-8256|+  -             98 116934at50557        -            140   1.6e-07   30.2   0.0   1   1     1e-09     2e-07   30.0   0.0    46   116     2    88     1    98 0.78 -
120473at50557_56086_0:003e88|STRG.5718.4:591-740|+     -             50 116934at50557        -            140   2.4e-05   23.2   0.0   1   1   1.4e-07   2.7e-05   23.0   0.0    72    97     1    28     1    34 0.93 -
117925at50557_307491_0:0033e6|STRG.10588.1:494-943|+   -            150 116934at50557        -            140   0.00016   20.5   0.0   1   1   1.2e-06   0.00023   20.0   0.0    59   114    58   117     1   140 0.70 -
117925at50557_307491_0:0033e6|STRG.10588.2:549-998|+   -            150 116934at50557        -            140   0.00016   20.5   0.0   1   1   1.2e-06   0.00023   20.0   0.0    59   114    58   117     1   140 0.70 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/justine/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/116934at50557.hmm
# Target file:     annotation_analysis/annotation_gcf/T_cornetzi/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas
# Option settings: hmmsearch --domtblout annotation_analysis/annotation_gcf/T_cornetzi/busco_output/run_insecta_odb10/hmmer_output/initial_run_results/116934at50557.out --cpu 1 /home/justine/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/116934at50557.hmm annotation_analysis/annotation_gcf/T_cornetzi/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas 
# Current dir:     /home/justine/projet_tutore
# Date:            Sun Dec  1 20:02:32 2024
# [ok]
