#                                                                                                             --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                         accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                 ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
98900at50557_104421_0:0000b7|STRG.13779.1:439-1254|+  -            272 98900at50557         -            220  4.8e-106  351.9   0.1   1   1  7.9e-108  3.2e-105  349.3   0.1     1   220    12   270    12   270 0.90 -
98900at50557_7165_0:002bb6|STRG.13779.2:513-746|+     -             78 98900at50557         -            220   2.9e-35  120.5   0.1   1   1   7.9e-38   3.2e-35  120.4   0.1   152   220     1    76     1    76 0.94 -
98900at50557_197043_0:000c99|STRG.3742.2:381-1049|+   -            223 98900at50557         -            220   5.7e-35  119.5   0.1   1   1   3.3e-36   1.3e-33  115.1   0.1     1   190     3   223     3   223 0.80 -
98900at50557_197043_0:000c99|STRG.3742.1:381-1061|+   -            227 98900at50557         -            220   1.2e-34  118.5   0.1   1   1   3.5e-35   1.4e-32  111.7   0.1     1   190     3   227     3   227 0.79 -
124342at50557_121225_0:00131d|STRG.12853.1:145-852|+  -            236 98900at50557         -            220     1e-31  108.9   1.1   1   1   1.3e-33     5e-31  106.7   1.1    32   216    42   232     3   235 0.79 -
124342at50557_121225_0:00131d|STRG.12853.2:173-880|+  -            236 98900at50557         -            220     1e-31  108.9   1.1   1   1   1.3e-33     5e-31  106.7   1.1    32   216    42   232     3   235 0.79 -
124342at50557_121225_0:00131d|STRG.12853.3:173-880|+  -            236 98900at50557         -            220     1e-31  108.9   1.1   1   1   1.3e-33     5e-31  106.7   1.1    32   216    42   232     3   235 0.79 -
98900at50557_110193_0:00104d|STRG.3743.1:252-881|+    -            210 98900at50557         -            220   5.1e-29  100.1   0.2   1   1   6.7e-31   2.7e-28   97.7   0.2    34   190    34   210     1   210 0.84 -
98900at50557_217634_0:00105f|STRG.12527.1:39-812|+    -            258 98900at50557         -            220   1.1e-27   95.8   0.1   1   1   2.5e-29     1e-26   92.6   0.1    47   217    76   258     7   258 0.83 -
98900at50557_217634_0:00105f|STRG.12527.2:27-800|+    -            258 98900at50557         -            220   1.1e-27   95.8   0.1   1   1   2.5e-29     1e-26   92.6   0.1    47   217    76   258     7   258 0.83 -
98900at50557_217634_0:00105f|STRG.12527.3:27-800|+    -            258 98900at50557         -            220   1.1e-27   95.8   0.1   1   1   2.5e-29     1e-26   92.6   0.1    47   217    76   258     7   258 0.83 -
98900at50557_7159_0:00183e|STRG.16207.2:156-877|+     -            227 98900at50557         -            220   1.3e-27   95.5   0.0   1   1   4.7e-30   1.9e-27   95.0   0.0    26   215    28   226    16   227 0.83 -
98900at50557_168631_0:00223e|STRG.16207.1:160-849|+   -            230 98900at50557         -            220   1.4e-26   92.1   0.0   1   1   5.2e-29   2.1e-26   91.5   0.0    26   215    28   229    16   230 0.82 -
98900at50557_7159_0:00183e|STRG.16207.3:156-866|+     -            221 98900at50557         -            220   3.6e-25   87.5   0.0   1   1   1.3e-27   5.1e-25   87.0   0.0    26   215    28   220    16   221 0.81 -
98900at50557_116153_0:001f59|STRG.16209.4:1-411|+     -            137 98900at50557         -            220     3e-15   55.1   0.0   1   1   1.3e-17   5.2e-15   54.3   0.0    94   213     1   134     1   137 0.81 -
98900at50557_7165_0:002bb6|STRG.16207.2:575-886|+     -            104 98900at50557         -            220   3.3e-09   35.3   0.0   1   1   8.7e-12   3.5e-09   35.2   0.0   151   216    39   101     2   104 0.82 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/justine/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/98900at50557.hmm
# Target file:     annotation_analysis/annotation_gcf/T_cornetzi/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas
# Option settings: hmmsearch --domtblout annotation_analysis/annotation_gcf/T_cornetzi/busco_output/run_insecta_odb10/hmmer_output/initial_run_results/98900at50557.out --cpu 1 /home/justine/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/98900at50557.hmm annotation_analysis/annotation_gcf/T_cornetzi/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas 
# Current dir:     /home/justine/projet_tutore
# Date:            Sun Dec  1 20:11:01 2024
# [ok]
