#                                                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
120478at50557_103372_0:000c5c|STRG.1731.1:175-657|+  -            161 120478at50557        -            136   4.7e-71  236.2   0.1   1   1   1.7e-73   5.5e-71  235.9   0.1     1   136     3   160     3   160 0.94 -
92898at50557_62324_0:001787|STRG.13939.2:381-875|+   -            165 120478at50557        -            136   2.5e-18   65.4   0.1   1   1   1.4e-20   4.5e-18   64.6   0.1     1   114     3   139     3   156 0.81 -
92898at50557_62324_0:001787|STRG.13939.3:196-690|+   -            165 120478at50557        -            136   2.5e-18   65.4   0.1   1   1   1.4e-20   4.5e-18   64.6   0.1     1   114     3   139     3   156 0.81 -
27737at50557_67767_0:00339d|STRG.506.1:28-495|+      -            156 120478at50557        -            136   1.8e-15   56.2   0.2   1   1   7.6e-18   2.5e-15   55.7   0.2     7   109    13   134     8   148 0.75 -
27737at50557_67767_0:00339d|STRG.506.2:28-495|+      -            156 120478at50557        -            136   1.8e-15   56.2   0.2   1   1   7.6e-18   2.5e-15   55.7   0.2     7   109    13   134     8   148 0.75 -
42193at50557_123851_0:000a5d|STRG.11974.1:184-627|+  -            148 120478at50557        -            136     1e-14   53.8   0.2   1   1   2.6e-16   8.5e-14   50.8   0.2     7   114     1   134     1   145 0.75 -
42193at50557_123851_0:000a5d|STRG.11974.2:184-627|+  -            148 120478at50557        -            136     1e-14   53.8   0.2   1   1   2.6e-16   8.5e-14   50.8   0.2     7   114     1   134     1   145 0.75 -
27737at50557_67767_0:00339d|STRG.4388.4:454-852|+    -            133 120478at50557        -            136   6.1e-14   51.2   0.0   1   2     1e-05    0.0034   16.4   0.0     6    50    15    68    11    72 0.80 -
27737at50557_67767_0:00339d|STRG.4388.4:454-852|+    -            133 120478at50557        -            136   6.1e-14   51.2   0.0   2   2   5.8e-11   1.9e-08   33.4   0.0    72   115    72   118    68   132 0.85 -
42193at50557_7539_0:00337e|STRG.4388.3:514-744|+     -             77 120478at50557        -            136   9.9e-10   37.6   0.2   1   1   3.5e-12   1.2e-09   37.4   0.2    17    68     6    67     1    74 0.75 -
42193at50557_7539_0:00337e|STRG.2282.1:501-863|+     -            121 120478at50557        -            136   1.1e-08   34.2   0.1   1   1   3.9e-11   1.3e-08   34.0   0.1    22   114    12   120     1   121 0.76 -
42193at50557_7539_0:00337e|STRG.2282.2:539-901|+     -            121 120478at50557        -            136   1.1e-08   34.2   0.1   1   1   3.9e-11   1.3e-08   34.0   0.1    22   114    12   120     1   121 0.76 -
42193at50557_7539_0:00337e|STRG.2282.3:536-814|+     -             93 120478at50557        -            136   6.6e-08   31.7   0.1   1   1   2.6e-10   8.5e-08   31.3   0.1    34   114     3    92     2    93 0.83 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/justine/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/120478at50557.hmm
# Target file:     annotation_analysis/annotation_gcf/T_cornetzi/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas
# Option settings: hmmsearch --domtblout annotation_analysis/annotation_gcf/T_cornetzi/busco_output/run_insecta_odb10/hmmer_output/initial_run_results/120478at50557.out --cpu 1 /home/justine/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/120478at50557.hmm annotation_analysis/annotation_gcf/T_cornetzi/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas 
# Current dir:     /home/justine/projet_tutore
# Date:            Sun Dec  1 20:02:41 2024
# [ok]
