#                                                                                                             --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                         accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                 ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
31374at50557_103372_0:0017b9|STRG.4407.1:91-2046|+    -            652 31374at50557         -            569  2.2e-289  959.7  17.0   1   1  1.3e-289  3.8e-288  955.5  17.0     1   569     4   647     4   647 0.93 -
14512at50557_103372_0:0005b9|STRG.3349.1:363-2942|+   -            860 31374at50557         -            569   1.4e-38  131.6   0.0   2   3   1.2e-23   3.4e-22   77.5   0.0   353   461   109   217   106   224 0.96 -
14512at50557_103372_0:0005b9|STRG.3349.1:363-2942|+   -            860 31374at50557         -            569   1.4e-38  131.6   0.0   3   3      0.24       7.1    3.8   0.0   501   530   227   255   219   266 0.83 -
14512at50557_103372_0:0005b9|STRG.3349.2:363-2999|+   -            879 31374at50557         -            569   1.6e-38  131.4   0.0   1   3   1.2e-18   3.6e-17   60.9   0.0   341   460    12   132     5   136 0.92 -
14512at50557_103372_0:0005b9|STRG.3349.2:363-2999|+   -            879 31374at50557         -            569   1.6e-38  131.4   0.0   2   3   1.2e-23   3.6e-22   77.4   0.0   353   461   109   217   106   223 0.96 -
14512at50557_103372_0:0005b9|STRG.3349.2:363-2999|+   -            879 31374at50557         -            569   1.6e-38  131.4   0.0   3   3      0.24       7.1    3.8   0.0   501   530   227   255   218   266 0.83 -
57752at50557_103372_0:000c5a|STRG.1783.1:490-1854|+   -            455 31374at50557         -            569   7.3e-36  122.6   4.2   1   3   4.6e-08   1.4e-06   26.0   0.0   424   474   138   188   131   189 0.93 -
57752at50557_103372_0:000c5a|STRG.1783.1:490-1854|+   -            455 31374at50557         -            569   7.3e-36  122.6   4.2   2   3   2.2e-30   6.4e-29   99.7   2.6   341   534   181   383   178   391 0.92 -
57752at50557_103372_0:000c5a|STRG.1783.1:490-1854|+   -            455 31374at50557         -            569   7.3e-36  122.6   4.2   3   3         9   2.7e+02   -1.4   0.0   392   420   406   434   402   439 0.67 -
57752at50557_103372_0:000c5a|STRG.1783.2:483-1847|+   -            455 31374at50557         -            569   7.3e-36  122.6   4.2   1   3   4.6e-08   1.4e-06   26.0   0.0   424   474   138   188   131   189 0.93 -
57752at50557_103372_0:000c5a|STRG.1783.2:483-1847|+   -            455 31374at50557         -            569   7.3e-36  122.6   4.2   2   3   2.2e-30   6.4e-29   99.7   2.6   341   534   181   383   178   391 0.92 -
57752at50557_103372_0:000c5a|STRG.1783.2:483-1847|+   -            455 31374at50557         -            569   7.3e-36  122.6   4.2   3   3         9   2.7e+02   -1.4   0.0   392   420   406   434   402   439 0.67 -
57752at50557_103372_0:000c5a|STRG.1783.3:68-1432|+    -            455 31374at50557         -            569   7.3e-36  122.6   4.2   1   3   4.6e-08   1.4e-06   26.0   0.0   424   474   138   188   131   189 0.93 -
57752at50557_103372_0:000c5a|STRG.1783.3:68-1432|+    -            455 31374at50557         -            569   7.3e-36  122.6   4.2   2   3   2.2e-30   6.4e-29   99.7   2.6   341   534   181   383   178   391 0.92 -
57752at50557_103372_0:000c5a|STRG.1783.3:68-1432|+    -            455 31374at50557         -            569   7.3e-36  122.6   4.2   3   3         9   2.7e+02   -1.4   0.0   392   420   406   434   402   439 0.67 -
78072at50557_34720_0:000cf9|STRG.14617.2:29-1042|+    -            338 31374at50557         -            569   1.4e-35  121.7  18.9   1   4   3.9e-14   1.1e-12   46.0   0.4   341   420    12    94     7    97 0.91 -
78072at50557_34720_0:000cf9|STRG.14617.2:29-1042|+    -            338 31374at50557         -            569   1.4e-35  121.7  18.9   2   4   8.1e-14   2.4e-12   45.0   0.2   379   459    97   179    94   186 0.93 -
78072at50557_34720_0:000cf9|STRG.14617.2:29-1042|+    -            338 31374at50557         -            569   1.4e-35  121.7  18.9   3   4   2.7e-06   7.9e-05   20.2   0.7   379   418   187   226   183   230 0.95 -
78072at50557_34720_0:000cf9|STRG.14617.2:29-1042|+    -            338 31374at50557         -            569   1.4e-35  121.7  18.9   4   4   5.2e-07   1.5e-05   22.5   1.0   378   458   243   334   241   337 0.86 -
80377at50557_456900_0:000374|STRG.9321.3:127-1173|+   -            349 31374at50557         -            569   1.5e-35  121.6   0.6   1   2   3.2e-21   9.5e-20   69.4   0.1   381   538    49   218    25   221 0.86 -
80377at50557_456900_0:000374|STRG.9321.3:127-1173|+   -            349 31374at50557         -            569   1.5e-35  121.6   0.6   2   2   5.7e-16   1.7e-14   52.1   0.0   337   457   216   344   214   349 0.90 -
80377at50557_166361_0:002fc1|STRG.18366.2:1525-2292|+ -            256 31374at50557         -            569   3.7e-35  120.3   4.3   1   2   4.7e-23   1.4e-21   75.5   1.7   344   475    19   149     3   154 0.94 -
80377at50557_166361_0:002fc1|STRG.18366.2:1525-2292|+ -            256 31374at50557         -            569   3.7e-35  120.3   4.3   2   2   2.1e-15   6.3e-14   50.2   0.4   343   456   143   254   138   255 0.89 -
49370at50557_2015173_0:001990|STRG.12010.1:578-1564|+ -            329 31374at50557         -            569     5e-35  119.9   3.9   1   2   1.4e-05   0.00042   17.8   0.0   420   465    30    75    21   103 0.90 -
49370at50557_2015173_0:001990|STRG.12010.1:578-1564|+ -            329 31374at50557         -            569     5e-35  119.9   3.9   2   2   6.5e-31   1.9e-29  101.4   2.2   333   531   115   328   103   329 0.88 -
49370at50557_2015173_0:001990|STRG.12010.2:661-1647|+ -            329 31374at50557         -            569     5e-35  119.9   3.9   1   2   1.4e-05   0.00042   17.8   0.0   420   465    30    75    21   103 0.90 -
49370at50557_2015173_0:001990|STRG.12010.2:661-1647|+ -            329 31374at50557         -            569     5e-35  119.9   3.9   2   2   6.5e-31   1.9e-29  101.4   2.2   333   531   115   328   103   329 0.88 -
49370at50557_2015173_0:001990|STRG.12010.3:575-1561|+ -            329 31374at50557         -            569     5e-35  119.9   3.9   1   2   1.4e-05   0.00042   17.8   0.0   420   465    30    75    21   103 0.90 -
49370at50557_2015173_0:001990|STRG.12010.3:575-1561|+ -            329 31374at50557         -            569     5e-35  119.9   3.9   2   2   6.5e-31   1.9e-29  101.4   2.2   333   531   115   328   103   329 0.88 -
31374at50557_197043_0:003de5|STRG.18368.2:82-588|+    -            169 31374at50557         -            569   5.3e-34  116.5   2.0   1   2   9.5e-14   2.8e-12   44.8   0.1   342   416     8    83     2    91 0.92 -
31374at50557_197043_0:003de5|STRG.18368.2:82-588|+    -            169 31374at50557         -            569   5.3e-34  116.5   2.0   2   2   8.2e-24   2.4e-22   78.0   0.2   345   460    54   169    52   169 0.98 -
33043at50557_454923_0:001231|STRG.9785.1:3528-4898|+  -            457 31374at50557         -            569   9.3e-34  115.7   9.0   1   5   6.6e-07     2e-05   22.2   0.0   346   479     1   133     1   144 0.90 -
33043at50557_454923_0:001231|STRG.9785.1:3528-4898|+  -            457 31374at50557         -            569   9.3e-34  115.7   9.0   2   5       4.7   1.4e+02   -0.4   0.0   486   536   107   159   101   164 0.80 -
33043at50557_454923_0:001231|STRG.9785.1:3528-4898|+  -            457 31374at50557         -            569   9.3e-34  115.7   9.0   3   5   6.2e-05    0.0018   15.7   0.0   503   537   177   211   169   215 0.90 -
33043at50557_454923_0:001231|STRG.9785.1:3528-4898|+  -            457 31374at50557         -            569   9.3e-34  115.7   9.0   4   5     2e-11   5.8e-10   37.1   0.1   342   459   215   328   212   336 0.91 -
33043at50557_454923_0:001231|STRG.9785.1:3528-4898|+  -            457 31374at50557         -            569   9.3e-34  115.7   9.0   5   5     1e-14   3.1e-13   47.9   4.1   345   533   259   456   257   457 0.85 -
40115at50557_1629725_0:001335|STRG.14750.1:618-1421|+ -            268 31374at50557         -            569   4.9e-33  113.3  10.1   1   2   3.3e-12   9.7e-11   39.7   0.4   406   476     5    73     2    78 0.90 -
40115at50557_1629725_0:001335|STRG.14750.1:618-1421|+ -            268 31374at50557         -            569   4.9e-33  113.3  10.1   2   2     0.043       1.3    6.3   0.1   342   374   237   267   230   268 0.88 -
80377at50557_30019_0:0008bb|STRG.6179.1:1374-2234|+   -            287 31374at50557         -            569     1e-32  112.3  16.0   1   2   6.3e-20   1.9e-18   65.2   4.1   343   476    11   139     6   141 0.91 -
80377at50557_30019_0:0008bb|STRG.6179.1:1374-2234|+   -            287 31374at50557         -            569     1e-32  112.3  16.0   2   2   6.1e-07   1.8e-05   22.3   0.7   405   460   230   286   228   287 0.93 -
80377at50557_30019_0:0008bb|STRG.6179.2:1343-2203|+   -            287 31374at50557         -            569     1e-32  112.3  16.0   1   2   6.3e-20   1.9e-18   65.2   4.1   343   476    11   139     6   141 0.91 -
80377at50557_30019_0:0008bb|STRG.6179.2:1343-2203|+   -            287 31374at50557         -            569     1e-32  112.3  16.0   2   2   6.1e-07   1.8e-05   22.3   0.7   405   460   230   286   228   287 0.93 -
80377at50557_30019_0:0008bb|STRG.6179.3:1895-2755|+   -            287 31374at50557         -            569     1e-32  112.3  16.0   1   2   6.3e-20   1.9e-18   65.2   4.1   343   476    11   139     6   141 0.91 -
80377at50557_30019_0:0008bb|STRG.6179.3:1895-2755|+   -            287 31374at50557         -            569     1e-32  112.3  16.0   2   2   6.1e-07   1.8e-05   22.3   0.7   405   460   230   286   228   287 0.93 -
80377at50557_30019_0:0008bb|STRG.6179.4:1895-2755|+   -            287 31374at50557         -            569     1e-32  112.3  16.0   1   2   6.3e-20   1.9e-18   65.2   4.1   343   476    11   139     6   141 0.91 -
80377at50557_30019_0:0008bb|STRG.6179.4:1895-2755|+   -            287 31374at50557         -            569     1e-32  112.3  16.0   2   2   6.1e-07   1.8e-05   22.3   0.7   405   460   230   286   228   287 0.93 -
80377at50557_454923_0:001015|STRG.16929.1:141-920|+   -            260 31374at50557         -            569   1.2e-32  112.0   7.1   1   2     1e-18     3e-17   61.2   0.5   343   462     1   126     1   132 0.89 -
80377at50557_454923_0:001015|STRG.16929.1:141-920|+   -            260 31374at50557         -            569   1.2e-32  112.0   7.1   2   2   8.5e-19   2.5e-17   61.4   1.2   339   502    87   260    84   260 0.86 -
40115at50557_77166_0:00051d|STRG.18366.1:283-705|+    -            141 31374at50557         -            569   1.3e-32  111.9   3.2   1   2   7.6e-21   2.3e-19   68.2   0.2   362   472     3   113     1   113 0.96 -
40115at50557_77166_0:00051d|STRG.18366.1:283-705|+    -            141 31374at50557         -            569   1.3e-32  111.9   3.2   2   2   1.5e-15   4.5e-14   50.7   0.3   346   416    71   141    71   141 0.58 -
40115at50557_77166_0:00051d|STRG.18366.2:283-705|+    -            141 31374at50557         -            569   1.3e-32  111.9   3.2   1   2   7.6e-21   2.3e-19   68.2   0.2   362   472     3   113     1   113 0.96 -
40115at50557_77166_0:00051d|STRG.18366.2:283-705|+    -            141 31374at50557         -            569   1.3e-32  111.9   3.2   2   2   1.5e-15   4.5e-14   50.7   0.3   346   416    71   141    71   141 0.58 -
40115at50557_29053_0:0017ce|STRG.9291.1:268-1140|+    -            291 31374at50557         -            569   1.3e-32  111.9   4.2   1   3   1.3e-05   0.00039   17.9   0.1   428   487     2    66     1    67 0.79 -
40115at50557_29053_0:0017ce|STRG.9291.1:268-1140|+    -            291 31374at50557         -            569   1.3e-32  111.9   4.2   2   3    0.0002     0.006   14.0   0.0   392   460    50   123    46   125 0.85 -
40115at50557_29053_0:0017ce|STRG.9291.1:268-1140|+    -            291 31374at50557         -            569   1.3e-32  111.9   4.2   3   3   5.4e-28   1.6e-26   91.8   0.5   339   531    87   291    74   291 0.88 -
80377at50557_456900_0:000374|STRG.9321.2:98-1102|+    -            335 31374at50557         -            569   1.9e-31  108.0   0.6   1   2   2.8e-21   8.4e-20   69.6   0.1   381   538    49   218    25   221 0.86 -
80377at50557_456900_0:000374|STRG.9321.2:98-1102|+    -            335 31374at50557         -            569   1.9e-31  108.0   0.6   2   2   9.3e-12   2.8e-10   38.2   0.0   337   442   216   329   214   332 0.89 -
80377at50557_7070_0:0023da|STRG.18368.1:447-1094|+    -            216 31374at50557         -            569   3.7e-31  107.1   1.7   1   3   1.3e-10   3.9e-09   34.4   0.1   385   441     4    60     1    61 0.96 -
80377at50557_7070_0:0023da|STRG.18368.1:447-1094|+    -            216 31374at50557         -            569   3.7e-31  107.1   1.7   2   3     6e-22   1.8e-20   71.8   0.2   343   464    46   166    41   172 0.94 -
80377at50557_7070_0:0023da|STRG.18368.1:447-1094|+    -            216 31374at50557         -            569   3.7e-31  107.1   1.7   3   3   0.00021    0.0061   13.9   0.0   384   419   170   205   166   213 0.87 -
25500at50557_13686_0:0020f5|STRG.16127.1:138-1943|+   -            602 31374at50557         -            569   9.8e-31  105.7   1.0   1   5   1.9e-05   0.00056   17.4   0.0   384   422    53    91    47   118 0.89 -
25500at50557_13686_0:0020f5|STRG.16127.1:138-1943|+   -            602 31374at50557         -            569   9.8e-31  105.7   1.0   2   5   5.5e-05    0.0016   15.8   0.0   335   413   134   213   124   224 0.88 -
25500at50557_13686_0:0020f5|STRG.16127.1:138-1943|+   -            602 31374at50557         -            569   9.8e-31  105.7   1.0   3   5   1.5e-12   4.4e-11   40.8   0.0   346   473   232   362   226   399 0.86 -
25500at50557_13686_0:0020f5|STRG.16127.1:138-1943|+   -            602 31374at50557         -            569   9.8e-31  105.7   1.0   4   5   8.4e-08   2.5e-06   25.1   0.1   388   468   482   564   480   572 0.88 -
25500at50557_13686_0:0020f5|STRG.16127.1:138-1943|+   -            602 31374at50557         -            569   9.8e-31  105.7   1.0   5   5       4.5   1.3e+02   -0.4   0.0   498   534   564   600   558   601 0.67 -
14512at50557_29053_0:0002b6|STRG.8472.1:214-924|+     -            237 31374at50557         -            569   3.6e-30  103.9   5.7   1   2   7.5e-23   2.2e-21   74.8   1.5   344   461     5   122     2   130 0.96 -
14512at50557_29053_0:0002b6|STRG.8472.1:214-924|+     -            237 31374at50557         -            569   3.6e-30  103.9   5.7   2   2   1.3e-09   3.8e-08   31.1   0.1   404   460   179   237   154   237 0.84 -
40115at50557_144034_0:000898|STRG.12872.1:741-1610|+  -            290 31374at50557         -            569   4.9e-30  103.4   6.6   1   3   7.8e-11   2.3e-09   35.1   1.7   343   465     2   127     1   130 0.83 -
40115at50557_144034_0:000898|STRG.12872.1:741-1610|+  -            290 31374at50557         -            569   4.9e-30  103.4   6.6   2   3   1.1e-20   3.3e-19   67.7   0.1   341   474   129   264   127   267 0.93 -
40115at50557_144034_0:000898|STRG.12872.1:741-1610|+  -            290 31374at50557         -            569   4.9e-30  103.4   6.6   3   3   3.4e-05     0.001   16.5   0.1   391   458   223   290   213   290 0.94 -
48053at50557_104421_0:0017a2|STRG.5225.2:58-1565|+    -            489 31374at50557         -            569   3.9e-29  100.4   0.1   1   3      0.41        12    3.1   0.0   406   436   232   262   229   264 0.90 -
48053at50557_104421_0:0017a2|STRG.5225.2:58-1565|+    -            489 31374at50557         -            569   3.9e-29  100.4   0.1   2   3   9.2e-13   2.7e-11   41.5   0.0   359   465   261   368   256   370 0.86 -
48053at50557_104421_0:0017a2|STRG.5225.2:58-1565|+    -            489 31374at50557         -            569   3.9e-29  100.4   0.1   3   3   7.5e-17   2.2e-15   55.0   0.0   338   458   367   486   364   489 0.93 -
48053at50557_104421_0:0017a2|STRG.5225.1:1-1532|+     -            497 31374at50557         -            569   4.1e-29  100.3   0.1   1   3      0.33       9.7    3.4   0.0   406   437   240   271   237   273 0.90 -
48053at50557_104421_0:0017a2|STRG.5225.1:1-1532|+     -            497 31374at50557         -            569   4.1e-29  100.3   0.1   2   3   9.2e-13   2.7e-11   41.5   0.0   359   466   269   377   265   379 0.86 -
48053at50557_104421_0:0017a2|STRG.5225.1:1-1532|+     -            497 31374at50557         -            569   4.1e-29  100.3   0.1   3   3   7.7e-17   2.3e-15   55.0   0.0   338   458   375   494   372   497 0.93 -
13625at50557_103372_0:00203b|STRG.19774.2:0-2783|+    -            928 31374at50557         -            569   4.5e-29  100.2  11.5   1   5   2.5e-05   0.00073   17.0   0.1   354   470    62   184    39   194 0.79 -
13625at50557_103372_0:00203b|STRG.19774.2:0-2783|+    -            928 31374at50557         -            569   4.5e-29  100.2  11.5   2   5   0.00015    0.0046   14.4   1.2   343   416   141   216   136   221 0.66 -
13625at50557_103372_0:00203b|STRG.19774.2:0-2783|+    -            928 31374at50557         -            569   4.5e-29  100.2  11.5   3   5         1        30    1.7   0.8   205   304   245   341   238   357 0.70 -
13625at50557_103372_0:00203b|STRG.19774.2:0-2783|+    -            928 31374at50557         -            569   4.5e-29  100.2  11.5   4   5   1.7e-15     5e-14   50.5   0.8   361   473   369   481   348   507 0.86 -
13625at50557_103372_0:00203b|STRG.19774.2:0-2783|+    -            928 31374at50557         -            569   4.5e-29  100.2  11.5   5   5   2.5e-10   7.5e-09   33.4   0.0   360   533   495   660   485   676 0.82 -
13625at50557_103372_0:00203b|STRG.19774.1:24-2792|+   -            923 31374at50557         -            569   4.8e-29  100.1  11.7   1   5   2.4e-05   0.00073   17.0   0.1   354   470    57   179    34   189 0.79 -
13625at50557_103372_0:00203b|STRG.19774.1:24-2792|+   -            923 31374at50557         -            569   4.8e-29  100.1  11.7   2   5   0.00017     0.005   14.2   1.2   343   416   136   211   132   216 0.66 -
13625at50557_103372_0:00203b|STRG.19774.1:24-2792|+   -            923 31374at50557         -            569   4.8e-29  100.1  11.7   3   5         1        30    1.8   0.8   205   304   240   336   233   352 0.70 -
13625at50557_103372_0:00203b|STRG.19774.1:24-2792|+   -            923 31374at50557         -            569   4.8e-29  100.1  11.7   4   5   1.7e-15   4.9e-14   50.6   0.8   361   473   364   476   343   502 0.86 -
13625at50557_103372_0:00203b|STRG.19774.1:24-2792|+   -            923 31374at50557         -            569   4.8e-29  100.1  11.7   5   5   2.5e-10   7.5e-09   33.5   0.0   360   533   490   655   480   671 0.82 -
49370at50557_79782_0:001886|STRG.16130.1:1562-2551|+  -            330 31374at50557         -            569   2.1e-28   98.0   8.9   1   2   5.1e-16   1.5e-14   52.2   1.4   322   462    19   160    17   220 0.91 -
