#                                                                                                             --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                         accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                 ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
75144at50557_34720_0:000d74|STRG.12326.1:130-1302|+   -            391 75144at50557         -            307  6.7e-148  490.7   1.1   1   1  8.2e-149  3.1e-146  485.2   1.1     1   307     7   381     7   381 0.87 -
75144at50557_132113_0:003254|STRG.20788.1:851-1636|+  -            262 75144at50557         -            307   1.5e-09   36.4   0.0   1   1   4.6e-12   1.8e-09   36.1   0.0    65   283     3   247     1   259 0.75 -
150643at50557_315563_0:0000a6|STRG.3684.1:997-1293|+  -             99 75144at50557         -            307     2e-06   26.1   0.0   1   1   1.1e-08   4.3e-06   25.0   0.0   251   307    17    90     5    90 0.73 -
45419at50557_51655_0:002e4f|STRG.16960.6:1607-1861|+  -             85 75144at50557         -            307     0.029   12.4   0.0   1   1   7.5e-05     0.029   12.4   0.0    85   132     2    49     1    81 0.73 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/justine/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/75144at50557.hmm
# Target file:     annotation_analysis/annotation_gcf/T_cornetzi/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas
# Option settings: hmmsearch --domtblout annotation_analysis/annotation_gcf/T_cornetzi/busco_output/run_insecta_odb10/hmmer_output/initial_run_results/75144at50557.out --cpu 1 /home/justine/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/75144at50557.hmm annotation_analysis/annotation_gcf/T_cornetzi/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas 
# Current dir:     /home/justine/projet_tutore
# Date:            Sun Dec  1 20:09:33 2024
# [ok]
