#                                                                                                              --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                          accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                  ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
98621at50557_7038_0:0003d0|STRG.16457.2:1739-2497|+    -            253 98621at50557         -            140   5.7e-32  109.7   0.2   1   1   1.9e-33   1.6e-31  108.2   0.2    10   138    91   253    84   253 0.75 -
98621at50557_136037_0:0009c4|STRG.18513.3:2874-3569|+  -            232 98621at50557         -            140   3.4e-23   81.2   0.0   1   1   8.6e-25   7.2e-23   80.2   0.0    13   130    81   232    69   232 0.75 -
98621at50557_136037_0:0009c4|STRG.18513.4:2310-3005|+  -            232 98621at50557         -            140   3.4e-23   81.2   0.0   1   1   8.6e-25   7.2e-23   80.2   0.0    13   130    81   232    69   232 0.75 -
98621at50557_136037_0:0009c4|STRG.18513.5:2802-3497|+  -            232 98621at50557         -            140   3.4e-23   81.2   0.0   1   1   8.6e-25   7.2e-23   80.2   0.0    13   130    81   232    69   232 0.75 -
107413at50557_91411_0:001705|STRG.4763.1:1221-1928|+   -            236 98621at50557         -            140   2.2e-22   78.6   0.3   1   1   5.6e-24   4.7e-22   77.5   0.3    23   138    93   231    69   233 0.75 -
107413at50557_91411_0:001705|STRG.4763.2:503-1210|+    -            236 98621at50557         -            140   2.2e-22   78.6   0.3   1   1   5.6e-24   4.7e-22   77.5   0.3    23   138    93   231    69   233 0.75 -
107413at50557_91411_0:001705|STRG.4763.3:738-1445|+    -            236 98621at50557         -            140   2.2e-22   78.6   0.3   1   1   5.6e-24   4.7e-22   77.5   0.3    23   138    93   231    69   233 0.75 -
98621at50557_79782_0:0026bc|STRG.5492.2:85-762|+       -            226 98621at50557         -            140   4.2e-22   77.7   3.6   1   1     1e-23   8.4e-22   76.7   3.4    36   138   118   226    70   226 0.85 -
98621at50557_110193_0:0027e7|STRG.10680.1:206-1009|+   -            268 98621at50557         -            140   4.2e-22   77.7   2.6   1   1   8.6e-23   7.2e-21   73.7   2.6    40   139   159   265   100   266 0.70 -
98621at50557_110193_0:0027e7|STRG.10680.2:200-1003|+   -            268 98621at50557         -            140   4.2e-22   77.7   2.6   1   1   8.6e-23   7.2e-21   73.7   2.6    40   139   159   265   100   266 0.70 -
107413at50557_211228_0:00176b|STRG.2739.1:25-585|+     -            187 98621at50557         -            140   7.1e-22   76.9   0.3   1   1     3e-23   2.5e-21   75.2   0.3    23   139    35   183     9   184 0.72 -
93746at50557_54969_0:0026b9|STRG.11175.1:1182-2060|+   -            293 98621at50557         -            140   8.8e-22   76.6   0.4   1   1   2.4e-23     2e-21   75.5   0.4    21   139   139   289   119   290 0.75 -
93746at50557_54969_0:0026b9|STRG.11175.3:268-1146|+    -            293 98621at50557         -            140   8.8e-22   76.6   0.4   1   1   2.4e-23     2e-21   75.5   0.4    21   139   139   289   119   290 0.75 -
93746at50557_54969_0:0026b9|STRG.11175.4:515-1393|+    -            293 98621at50557         -            140   8.8e-22   76.6   0.4   1   1   2.4e-23     2e-21   75.5   0.4    21   139   139   289   119   290 0.75 -
93746at50557_54969_0:0026b9|STRG.11175.2:241-1128|+    -            296 98621at50557         -            140   8.9e-22   76.6   0.4   1   1   2.4e-23     2e-21   75.5   0.4    21   139   142   292   122   293 0.75 -
45935at50557_6973_0:001b70|STRG.16365.1:2804-3577|+    -            258 98621at50557         -            140   1.1e-21   76.3   0.9   1   1   3.3e-23   2.8e-21   75.0   0.9    23   140   103   252    82   252 0.68 -
45935at50557_6973_0:001b70|STRG.16365.2:1745-2518|+    -            258 98621at50557         -            140   1.1e-21   76.3   0.9   1   1   3.3e-23   2.8e-21   75.0   0.9    23   140   103   252    82   252 0.68 -
98621at50557_516756_0:0020aa|STRG.4841.1:206-946|+     -            247 98621at50557         -            140   1.2e-21   76.3   0.1   1   1   5.3e-23   4.4e-21   74.4   0.0    14   139    85   244    76   245 0.77 -
98621at50557_516756_0:0020aa|STRG.4841.2:271-1011|+    -            247 98621at50557         -            140   1.2e-21   76.3   0.1   1   1   5.3e-23   4.4e-21   74.4   0.0    14   139    85   244    76   245 0.77 -
98621at50557_219809_0:001395|STRG.13915.1:358-1062|+   -            235 98621at50557         -            140   1.3e-21   76.1   1.4   1   2       4.6   3.9e+02    0.0   0.0    16    45    76   118    69   124 0.59 -
98621at50557_219809_0:001395|STRG.13915.1:358-1062|+   -            235 98621at50557         -            140   1.3e-21   76.1   1.4   2   2   5.8e-23   4.9e-21   74.2   0.4    32   139   122   234   120   235 0.85 -
45935at50557_67767_0:003589|STRG.16365.3:2393-3298|+   -            302 98621at50557         -            140   1.4e-21   76.0   0.6   1   1   4.2e-23   3.5e-21   74.7   0.6    23   140   147   296   126   296 0.68 -
45935at50557_67767_0:003589|STRG.16365.4:2288-3193|+   -            302 98621at50557         -            140   1.4e-21   76.0   0.6   1   1   4.2e-23   3.5e-21   74.7   0.6    23   140   147   296   126   296 0.68 -
107413at50557_454923_0:0008d7|STRG.10679.1:496-1251|+  -            252 98621at50557         -            140   2.5e-21   75.2   0.1   1   1   1.1e-22   9.1e-21   73.4   0.1    41   139   138   249    82   250 0.83 -
98621at50557_166361_0:000283|STRG.1485.1:59-523|+      -            155 98621at50557         -            140   2.7e-21   75.1   1.0   1   1     3e-22   2.5e-20   71.9   1.0    36   138    48   155     2   155 0.70 -
17536at50557_116153_0:000f8b|STRG.7537.1:3965-5740|+   -            592 98621at50557         -            140   3.2e-21   74.8   0.0   1   1   9.8e-23   8.2e-21   73.5   0.0    11   139   423   585   418   586 0.79 -
98621at50557_7245_0:001f09|STRG.13915.2:358-1193|+     -            222 98621at50557         -            140   3.7e-21   74.6   2.9   1   2       1.6   1.4e+02    1.5   0.1    10    43    59   105    49   112 0.65 -
98621at50557_7245_0:001f09|STRG.13915.2:358-1193|+     -            222 98621at50557         -            140   3.7e-21   74.6   2.9   2   2   1.3e-22   1.1e-20   73.1   0.5    32   138   111   222   109   222 0.86 -
98621at50557_38123_0:000655|STRG.16475.1:237-548|+     -            104 98621at50557         -            140   5.3e-21   74.1   0.2   1   1   8.5e-23   7.1e-21   73.7   0.2    58   140     6   101     2   101 0.82 -
98621at50557_79782_0:0026bc|STRG.2749.2:166-882|+      -            239 98621at50557         -            140   1.7e-20   72.5   0.2   1   1   4.1e-22   3.4e-20   71.5   0.2    21   138   100   239    80   239 0.77 -
98621at50557_79782_0:0026bc|STRG.2749.1:131-904|+      -            258 98621at50557         -            140     2e-20   72.2   0.2   1   1     5e-22   4.2e-20   71.2   0.2    21   138   119   258    99   258 0.77 -
98621at50557_38123_0:000655|STRG.1485.2:329-646|+      -            106 98621at50557         -            140   3.5e-20   71.5   0.7   1   1   5.1e-22   4.3e-20   71.2   0.7    41   138     4   106     2   106 0.82 -
93746at50557_568069_0:0045cd|STRG.4099.2:82-1164|+     -            361 98621at50557         -            140   3.8e-20   71.4   0.3   1   1   1.2e-21     1e-19   70.0   0.3    22   138   218   361   198   361 0.76 -
93746at50557_568069_0:0045cd|STRG.4099.1:166-1296|+    -            377 98621at50557         -            140   4.2e-20   71.2   0.3   1   1   1.3e-21   1.1e-19   69.8   0.3    22   138   234   377   214   377 0.76 -
98621at50557_1041015_0:000047|STRG.10051.1:276-1004|+  -            243 98621at50557         -            140   2.8e-19   68.5   0.2   1   1   6.8e-21   5.7e-19   67.5   0.2    21   139    95   240    74   241 0.74 -
107413at50557_79782_0:001336|STRG.12110.2:1292-2044|+  -            251 98621at50557         -            140   2.9e-19   68.5   0.4   1   1   6.5e-20   5.5e-18   64.3   0.4    10   138    88   251    70   251 0.73 -
98621at50557_156304_0:000097|STRG.5444.1:115-801|+     -            229 98621at50557         -            140   5.7e-19   67.5   2.5   1   2         1        85    2.2   0.0     9    31    68    97    60   108 0.71 -
98621at50557_156304_0:000097|STRG.5444.1:115-801|+     -            229 98621at50557         -            140   5.7e-19   67.5   2.5   2   2   4.6e-20   3.8e-18   64.8   0.8    39   139   122   227   114   228 0.91 -
98621at50557_166361_0:000283|STRG.4096.2:616-1413|+    -            266 98621at50557         -            140   6.7e-19   67.3   1.4   1   1   7.5e-20   6.3e-18   64.2   1.4     9   139    97   263    88   264 0.75 -
107413at50557_103372_0:00285a|STRG.7846.1:151-1050|+   -            300 98621at50557         -            140     1e-18   66.7   0.2   1   1     4e-20   3.4e-18   65.0   0.2     8   139   129   289   125   290 0.79 -
98621at50557_7160_0:003e24|STRG.5492.1:74-355|+        -             94 98621at50557         -            140   3.6e-18   65.0   1.1   1   1   4.6e-20   3.8e-18   64.9   1.1    55   139     3    93     1    94 0.84 -
93746at50557_568069_0:0045cd|STRG.4096.1:337-1416|+    -            360 98621at50557         -            140   4.3e-18   64.7   1.3   1   1   3.8e-19   3.2e-17   61.9   1.3     9   138   195   360   187   360 0.75 -
98621at50557_7460_0:000221|STRG.4100.1:177-956|+       -            260 98621at50557         -            140   6.9e-18   64.0   2.3   1   1   1.5e-18   1.2e-16   60.0   2.3    25   138   132   260    91   260 0.71 -
45935at50557_34720_0:00050a|STRG.5044.1:258-2534|+     -            759 98621at50557         -            140   2.8e-17   62.0   1.0   1   1   1.2e-18     1e-16   60.2   1.0    33   140   634   752   584   752 0.78 -
98621at50557_286706_0:000660|STRG.16939.1:82-750|+     -            223 98621at50557         -            140   5.7e-17   61.1   0.5   1   1   1.4e-18   1.2e-16   60.0   0.5    41   139   121   218    67   219 0.86 -
93746at50557_568069_0:0045cd|STRG.4840.1:180-1307|+    -            376 98621at50557         -            140   1.1e-16   60.2   0.3   1   1   3.6e-18     3e-16   58.7   0.3    15   139   214   372   201   373 0.72 -
107413at50557_136037_0:000dc2|STRG.17041.1:5696-6427|+ -            244 98621at50557         -            140   7.6e-16   57.4   0.6   1   1   1.9e-17   1.6e-15   56.4   0.6    40   139   129   238    73   239 0.77 -
107413at50557_136037_0:000dc2|STRG.17041.2:5693-6424|+ -            244 98621at50557         -            140   7.6e-16   57.4   0.6   1   1   1.9e-17   1.6e-15   56.4   0.6    40   139   129   238    73   239 0.77 -
107413at50557_136037_0:000dc2|STRG.17041.3:5087-5818|+ -            244 98621at50557         -            140   7.6e-16   57.4   0.6   1   1   1.9e-17   1.6e-15   56.4   0.6    40   139   129   238    73   239 0.77 -
98621at50557_28612_0:002b49|STRG.2951.1:117-860|+      -            248 98621at50557         -            140   1.1e-15   56.9   0.6   1   1   2.1e-17   1.8e-15   56.2   0.6     6   139   103   247    98   248 0.79 -
45935at50557_136037_0:001135|STRG.15410.1:878-1549|+   -            224 98621at50557         -            140   1.8e-15   56.2   1.9   1   1   1.1e-16   9.1e-15   53.9   1.8    39   140   109   224    54   224 0.68 -
98621at50557_38123_0:000655|STRG.19917.1:19-465|+      -            149 98621at50557         -            140   2.4e-15   55.8   0.3   1   1   5.3e-17   4.4e-15   54.9   0.3    39   139    42   146     2   147 0.76 -
98621at50557_199890_0:001c5b|STRG.2951.3:645-1977|+    -            209 98621at50557         -            140   3.3e-15   55.3   0.4   1   1   6.4e-17   5.4e-15   54.7   0.4     6   138    68   209    63   209 0.79 -
45935at50557_104452_0:001a48|STRG.15410.2:469-813|+    -            115 98621at50557         -            140     4e-15   55.1   1.2   1   1     6e-17   5.1e-15   54.7   1.2    42   140     3   115     1   115 0.78 -
98621at50557_6973_0:005d28|STRG.20442.1:64-402|+       -            113 98621at50557         -            140   5.2e-15   54.7   0.2   1   1     7e-17   5.9e-15   54.5   0.2    41   139     1   112     1   113 0.81 -
107413at50557_64838_0:000425|STRG.5442.1:162-887|+     -            242 98621at50557         -            140   6.6e-15   54.4   0.1   1   1   2.7e-16   2.3e-14   52.6   0.1    39   139   126   236    73   237 0.83 -
107413at50557_64838_0:000425|STRG.5442.2:154-879|+     -            242 98621at50557         -            140   6.6e-15   54.4   0.1   1   1   2.7e-16   2.3e-14   52.6   0.1    39   139   126   236    73   237 0.83 -
98621at50557_28612_0:002b49|STRG.16940.1:82-747|+      -            222 98621at50557         -            140   7.1e-15   54.3   0.4   1   1   2.3e-16     2e-14   52.8   0.2    41   139   121   218    70   219 0.85 -
98621at50557_28612_0:002b49|STRG.16940.2:265-930|+     -            222 98621at50557         -            140   7.1e-15   54.3   0.4   1   1   2.3e-16     2e-14   52.8   0.2    41   139   121   218    70   219 0.85 -
98621at50557_286706_0:000660|STRG.19434.1:1308-1982|+  -            225 98621at50557         -            140   1.1e-14   53.6   0.1   1   1     2e-16   1.7e-14   53.1   0.1    40   139   122   220    73   221 0.83 -
98621at50557_286706_0:000660|STRG.19434.2:354-1028|+   -            225 98621at50557         -            140   1.1e-14   53.6   0.1   1   1     2e-16   1.7e-14   53.1   0.1    40   139   122   220    73   221 0.83 -
98621at50557_166361_0:000283|STRG.4097.1:263-1244|+    -            236 98621at50557         -            140   2.1e-14   52.7   0.4   1   1   2.4e-15     2e-13   49.6   0.4    10   139    68   233    62   234 0.70 -
98621at50557_166361_0:000283|STRG.20798.1:288-995|+    -            236 98621at50557         -            140   2.3e-14   52.6   0.2   1   1   4.8e-16     4e-14   51.8   0.1    23   139   121   236   106   236 0.78 -
98621at50557_166361_0:000283|STRG.3122.1:382-1140|+    -            253 98621at50557         -            140   7.1e-14   51.0   1.8   1   1   2.5e-15   2.1e-13   49.5   1.8    42   138   153   253    97   253 0.78 -
93746at50557_568069_0:0045cd|STRG.4097.2:198-1292|+    -            365 98621at50557         -            140   1.4e-13   50.1   0.3   1   1     1e-14   8.8e-13   47.5   0.3     9   138   200   365   192   365 0.71 -
98621at50557_108931_0:00213d|STRG.11635.1:556-1266|+   -            237 98621at50557         -            140   1.5e-13   50.0   1.7   1   1   9.1e-15   7.6e-13   47.7   1.7    39   139   136   233    78   234 0.71 -
107413at50557_1155016_0:001042|STRG.2951.4:548-799|+   -             84 98621at50557         -            140   5.1e-13   48.2   0.6   1   1   6.4e-15   5.3e-13   48.2   0.6    69   139     8    81     1    82 0.82 -
107413at50557_1155016_0:001042|STRG.2951.5:385-636|+   -             84 98621at50557         -            140   5.1e-13   48.2   0.6   1   1   6.4e-15   5.3e-13   48.2   0.6    69   139     8    81     1    82 0.82 -
93746at50557_568069_0:0045cd|STRG.14088.2:507-1541|+   -            345 98621at50557         -            140   9.6e-13   47.4   0.1   1   1   1.4e-13   1.2e-11   43.8   0.1     8   139   170   341   163   342 0.69 -
107413at50557_108931_0:000e8f|STRG.5443.1:136-780|+    -            215 98621at50557         -            140     1e-12   47.3   0.1   1   1   6.4e-14   5.4e-12   44.9   0.1    40   138   106   214    48   215 0.81 -
98621at50557_28612_0:00515f|STRG.16945.1:19-669|+      -            217 98621at50557         -            140   1.1e-12   47.2   0.1   1   2       6.3   5.3e+02   -0.4   0.0    58    92    30    64    23    84 0.82 -
98621at50557_28612_0:00515f|STRG.16945.1:19-669|+      -            217 98621at50557         -            140   1.1e-12   47.2   0.1   2   2     5e-14   4.2e-12   45.3   0.0    31   134   115   216    87   217 0.80 -
93746at50557_568069_0:0045cd|STRG.14088.1:261-1343|+   -            361 98621at50557         -            140   1.1e-12   47.1   0.1   1   1   1.6e-13   1.3e-11   43.7   0.1     8   139   186   357   179   358 0.69 -
107413at50557_108931_0:000e8f|STRG.5443.2:181-870|+    -            230 98621at50557         -            140   1.3e-12   46.9   0.1   1   1   7.9e-14   6.7e-12   44.6   0.1    40   138   121   229    65   230 0.81 -
107413at50557_1155016_0:001042|STRG.10112.1:5-154|+    -             50 98621at50557         -            140   2.2e-12   46.2   0.4   1   1     3e-14   2.5e-12   46.0   0.4    96   138     1    50     1    50 0.87 -
98621at50557_568069_0:004daa|STRG.16937.1:87-761|+     -            225 98621at50557         -            140   7.3e-12   44.5   2.3   1   1   2.1e-12   1.8e-10   40.0   2.3    41   139   125   222    63   223 0.76 -
107413at50557_91411_0:001705|STRG.20801.1:413-1123|+   -            237 98621at50557         -            140   1.2e-11   43.7   0.9   1   1   2.9e-13   2.4e-11   42.8   0.4    37   139   123   232    71   233 0.84 -
45935at50557_136037_0:001135|STRG.4807.1:509-1351|+    -            281 98621at50557         -            140   2.3e-11   42.9   1.6   1   2       7.3   6.2e+02   -0.6   0.0     9    26   104   121    77   136 0.65 -
45935at50557_136037_0:001135|STRG.4807.1:509-1351|+    -            281 98621at50557         -            140   2.3e-11   42.9   1.6   2   2   1.1e-12   9.2e-11   40.9   1.2    39   139   156   273   101   274 0.73 -
45935at50557_136037_0:001135|STRG.4807.2:545-1387|+    -            281 98621at50557         -            140   2.3e-11   42.9   1.6   1   2       7.3   6.2e+02   -0.6   0.0     9    26   104   121    77   136 0.65 -
45935at50557_136037_0:001135|STRG.4807.2:545-1387|+    -            281 98621at50557         -            140   2.3e-11   42.9   1.6   2   2   1.1e-12   9.2e-11   40.9   1.2    39   139   156   273   101   274 0.73 -
107413at50557_166361_0:000318|STRG.20444.1:27-677|+    -            217 98621at50557         -            140   3.6e-11   42.3   0.2   1   1   1.2e-12     1e-10   40.8   0.2    21   140    79   215    39   215 0.68 -
107413at50557_1155016_0:001042|STRG.5493.1:2-187|+     -             62 98621at50557         -            140   4.8e-11   41.9   0.0   1   1   6.1e-13   5.1e-11   41.8   0.0    85   138     3    58     1    60 0.88 -
98621at50557_28612_0:002b49|STRG.16941.1:150-788|+     -            213 98621at50557         -            140   1.4e-10   40.3   1.3   1   1     1e-11   8.4e-10   37.8   1.3    11   139    65   209    57   210 0.65 -
107413at50557_29053_0:002c88|STRG.16937.1:468-782|+    -            105 98621at50557         -            140   1.9e-10   39.9   1.0   1   1   2.8e-12   2.3e-10   39.6   1.0    44   139     1    95     1    96 0.79 -
98621at50557_139723_0:00116f|STRG.8095.1:345-1088|+    -            248 98621at50557         -            140   4.8e-10   38.6   1.5   1   2       4.6   3.9e+02    0.0   0.1   107   128    70    92    60    99 0.80 -
98621at50557_139723_0:00116f|STRG.8095.1:345-1088|+    -            248 98621at50557         -            140   4.8e-10   38.6   1.5   2   2   1.6e-11   1.3e-09   37.2   0.2    25   139   129   246    93   247 0.79 -
98621at50557_29029_0:001d93|STRG.7556.1:1230-1988|+    -            253 98621at50557         -            140   2.6e-09   36.2   1.1   1   1   8.1e-11   6.8e-09   34.9   1.1    41   139   137   250    73   251 0.82 -
98621at50557_29029_0:001d93|STRG.7556.2:1176-1934|+    -            253 98621at50557         -            140   2.6e-09   36.2   1.1   1   1   8.1e-11   6.8e-09   34.9   1.1    41   139   137   250    73   251 0.82 -
107413at50557_29053_0:002c88|STRG.7556.3:1790-2131|+   -            114 98621at50557         -            140   9.4e-09   34.4   0.5   1   1   1.7e-10   1.4e-08   33.9   0.5    45   139     2   111     1   112 0.74 -
98621at50557_7260_0:001c8c|STRG.7556.3:1362-2131|+     -            247 98621at50557         -            140   1.2e-08   34.1   0.7   1   1   3.5e-10     3e-08   32.8   0.7    38   139   128   244    74   245 0.76 -
98621at50557_30019_0:0019d5|STRG.9938.1:1600-2388|+    -            263 98621at50557         -            140   2.1e-08   33.3   0.6   1   1   8.8e-10   7.4e-08   31.5   0.3    41   139   145   260   136   261 0.74 -
107413at50557_13164_0:0005d0|STRG.9674.1:81-728|+      -            216 98621at50557         -            140   1.2e-07   30.8   2.7   1   1   2.3e-08     2e-06   26.9   2.7    29   131   110   213    59   216 0.76 -
107413at50557_13164_0:0005d0|STRG.9674.2:139-786|+     -            216 98621at50557         -            140   1.2e-07   30.8   2.7   1   1   2.3e-08     2e-06   26.9   2.7    29   131   110   213    59   216 0.76 -
107413at50557_211228_0:00176b|STRG.16938.1:63-755|+    -            231 98621at50557         -            140   1.9e-07   30.2   0.2   1   1   4.3e-09   3.6e-07   29.3   0.2    41   139   134   231    74   231 0.78 -
107413at50557_1155016_0:001042|STRG.2951.2:1915-2058|+ -             48 98621at50557         -            140   2.1e-07   30.0   0.0   1   1   2.6e-09   2.2e-07   30.0   0.0   100   139     3    45     1    46 0.89 -
98621at50557_28612_0:002b49|STRG.16942.1:119-742|+     -            208 98621at50557         -            140   9.3e-07   28.0   0.7   1   1   2.8e-08   2.3e-06   26.7   0.7    10   139    62   204    47   205 0.69 -
98621at50557_28612_0:00515f|STRG.8095.2:162-833|+      -            224 98621at50557         -            140   3.6e-06   26.1   1.4   1   2       3.8   3.2e+02    0.3   0.1   107   128    56    78    46    87 0.80 -
98621at50557_28612_0:00515f|STRG.8095.2:162-833|+      -            224 98621at50557         -            140   3.6e-06   26.1   1.4   2   2   1.3e-07   1.1e-05   24.5   0.1    25   131   115   224    81   224 0.78 -
98621at50557_454923_0:00128e|STRG.5373.1:942-1736|+    -            265 98621at50557         -            140   0.00019   20.5   0.1   1   1   9.4e-06   0.00079   18.5   0.1    34   140   143   263    87   263 0.75 -
98621at50557_454923_0:00128e|STRG.5373.2:1265-2059|+   -            265 98621at50557         -            140   0.00019   20.5   0.1   1   1   9.4e-06   0.00079   18.5   0.1    34   140   143   263    87   263 0.75 -
98621at50557_7460_0:000221|STRG.2745.1:191-916|+       -            242 98621at50557         -            140    0.0015   17.6   0.0   1   1   0.00019     0.016   14.2   0.0     6   139    75   240    70   241 0.69 -
107413at50557_2015173_0:00166d|STRG.5432.1:1598-2368|+ -            257 98621at50557         -            140    0.0059   15.7   0.4   1   1   0.00022     0.019   14.0   0.4    40   139   141   251    99   252 0.73 -
17536at50557_103372_0:00299d|STRG.10006.1:462-2786|+   -            775 98621at50557         -            140     0.031   13.3   0.1   1   1   0.00064     0.054   12.5   0.1    55   139   678   771   649   772 0.64 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/justine/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/98621at50557.hmm
# Target file:     annotation_analysis/annotation_gcf/T_cornetzi/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas
# Option settings: hmmsearch --domtblout annotation_analysis/annotation_gcf/T_cornetzi/busco_output/run_insecta_odb10/hmmer_output/initial_run_results/98621at50557.out --cpu 1 /home/justine/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/98621at50557.hmm annotation_analysis/annotation_gcf/T_cornetzi/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas 
# Current dir:     /home/justine/projet_tutore
# Date:            Sun Dec  1 20:11:00 2024
# [ok]
