#                                                                                                             --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                         accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                 ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
13778at50557_103372_0:00133a|STRG.19425.1:0-2387|+    -            796 13778at50557         -            745         0 1059.2  22.8   1   1         0         0 1058.8  22.8    99   745     8   749     4   749 0.90 -
41065at50557_133901_0:001440|STRG.17666.2:162-1514|+  -            451 13778at50557         -            745     0.011   13.0  16.6   3   3   2.6e-05    0.0078   13.5   6.5    22   102   262   353   227   373 0.65 -
41065at50557_103372_0:000e4c|STRG.8980.1:139-1581|+   -            481 13778at50557         -            745     0.038   11.2   7.0   1   3     0.019       5.7    4.0   0.0    29    93    75   142    39   167 0.76 -
41065at50557_103372_0:000e4c|STRG.8980.1:139-1581|+   -            481 13778at50557         -            745     0.038   11.2   7.0   2   3     0.094        28    1.7   0.1    35    92   195   255   188   273 0.83 -
41065at50557_103372_0:000e4c|STRG.8980.1:139-1581|+   -            481 13778at50557         -            745     0.038   11.2   7.0   3   3    0.0033      0.98    6.5   2.1    22    95   300   372   289   404 0.77 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/justine/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/13778at50557.hmm
# Target file:     annotation_analysis/annotation_gcf/T_cornetzi/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas
# Option settings: hmmsearch --domtblout annotation_analysis/annotation_gcf/T_cornetzi/busco_output/run_insecta_odb10/hmmer_output/initial_run_results/13778at50557.out --cpu 1 /home/justine/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/13778at50557.hmm annotation_analysis/annotation_gcf/T_cornetzi/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas 
# Current dir:     /home/justine/projet_tutore
# Date:            Sun Dec  1 20:03:12 2024
# [ok]
