#                                                                                                              --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                          accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                  ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
111744at50557_103372_0:001abd|STRG.15751.1:0-1172|+    -            391 111744at50557        -            301  3.9e-123  409.5  16.1   1   1  1.5e-122  4.3e-120  399.5  16.1     1   301    22   387    22   387 0.86 -
111744at50557_39758_0:0024da|STRG.14440.3:640-1569|+   -            310 111744at50557        -            301   1.4e-07   30.1   0.3   1   2      0.88   2.5e+02   -0.3   9.7     2    83    10    78     9    88 0.77 -
111744at50557_39758_0:0024da|STRG.14440.3:640-1569|+   -            310 111744at50557        -            301   1.4e-07   30.1   0.3   2   2   4.9e-10   1.4e-07   30.1   0.3   216   285   236   309   213   310 0.80 -
111744at50557_13037_0:000a98|STRG.19096.10:2340-3473|+ -            378 111744at50557        -            301   1.7e-07   29.8   1.9   1   2     0.036        10    4.3   2.1     2    83    10    83     9    89 0.77 -
111744at50557_13037_0:000a98|STRG.19096.10:2340-3473|+ -            378 111744at50557        -            301   1.7e-07   29.8   1.9   2   2   7.5e-08   2.1e-05   22.9   0.0   216   289   289   366   280   377 0.85 -
111744at50557_13037_0:000a98|STRG.19096.11:1435-2568|+ -            378 111744at50557        -            301   1.7e-07   29.8   1.9   1   2     0.036        10    4.3   2.1     2    83    10    83     9    89 0.77 -
111744at50557_13037_0:000a98|STRG.19096.11:1435-2568|+ -            378 111744at50557        -            301   1.7e-07   29.8   1.9   2   2   7.5e-08   2.1e-05   22.9   0.0   216   289   289   366   280   377 0.85 -
111744at50557_13037_0:000a98|STRG.19096.6:1528-2661|+  -            378 111744at50557        -            301   1.7e-07   29.8   1.9   1   2     0.036        10    4.3   2.1     2    83    10    83     9    89 0.77 -
111744at50557_13037_0:000a98|STRG.19096.6:1528-2661|+  -            378 111744at50557        -            301   1.7e-07   29.8   1.9   2   2   7.5e-08   2.1e-05   22.9   0.0   216   289   289   366   280   377 0.85 -
111744at50557_13037_0:000a98|STRG.19096.1:1528-2751|+  -            408 111744at50557        -            301   2.2e-07   29.4   1.9   1   2     0.041        11    4.1   2.1     2    83    10    83     9    89 0.77 -
111744at50557_13037_0:000a98|STRG.19096.1:1528-2751|+  -            408 111744at50557        -            301   2.2e-07   29.4   1.9   2   2   8.5e-08   2.4e-05   22.7   0.0   216   289   319   396   310   407 0.85 -
111744at50557_13037_0:000a98|STRG.19096.2:1763-2986|+  -            408 111744at50557        -            301   2.2e-07   29.4   1.9   1   2     0.041        11    4.1   2.1     2    83    10    83     9    89 0.77 -
111744at50557_13037_0:000a98|STRG.19096.2:1763-2986|+  -            408 111744at50557        -            301   2.2e-07   29.4   1.9   2   2   8.5e-08   2.4e-05   22.7   0.0   216   289   319   396   310   407 0.85 -
111744at50557_13037_0:000a98|STRG.19096.3:1531-2754|+  -            408 111744at50557        -            301   2.2e-07   29.4   1.9   1   2     0.041        11    4.1   2.1     2    83    10    83     9    89 0.77 -
111744at50557_13037_0:000a98|STRG.19096.3:1531-2754|+  -            408 111744at50557        -            301   2.2e-07   29.4   1.9   2   2   8.5e-08   2.4e-05   22.7   0.0   216   289   319   396   310   407 0.85 -
111744at50557_13037_0:000a98|STRG.19096.4:1024-2247|+  -            408 111744at50557        -            301   2.2e-07   29.4   1.9   1   2     0.041        11    4.1   2.1     2    83    10    83     9    89 0.77 -
111744at50557_13037_0:000a98|STRG.19096.4:1024-2247|+  -            408 111744at50557        -            301   2.2e-07   29.4   1.9   2   2   8.5e-08   2.4e-05   22.7   0.0   216   289   319   396   310   407 0.85 -
111744at50557_13037_0:000a98|STRG.19096.5:992-2215|+   -            408 111744at50557        -            301   2.2e-07   29.4   1.9   1   2     0.041        11    4.1   2.1     2    83    10    83     9    89 0.77 -
111744at50557_13037_0:000a98|STRG.19096.5:992-2215|+   -            408 111744at50557        -            301   2.2e-07   29.4   1.9   2   2   8.5e-08   2.4e-05   22.7   0.0   216   289   319   396   310   407 0.85 -
111744at50557_13037_0:000a98|STRG.19096.7:1513-2736|+  -            408 111744at50557        -            301   2.2e-07   29.4   1.9   1   2     0.041        11    4.1   2.1     2    83    10    83     9    89 0.77 -
111744at50557_13037_0:000a98|STRG.19096.7:1513-2736|+  -            408 111744at50557        -            301   2.2e-07   29.4   1.9   2   2   8.5e-08   2.4e-05   22.7   0.0   216   289   319   396   310   407 0.85 -
111744at50557_13037_0:000a98|STRG.19096.8:1528-2751|+  -            408 111744at50557        -            301   2.2e-07   29.4   1.9   1   2     0.041        11    4.1   2.1     2    83    10    83     9    89 0.77 -
111744at50557_13037_0:000a98|STRG.19096.8:1528-2751|+  -            408 111744at50557        -            301   2.2e-07   29.4   1.9   2   2   8.5e-08   2.4e-05   22.7   0.0   216   289   319   396   310   407 0.85 -
92128at50557_62324_0:000249|STRG.11308.2:45-785|+      -            247 111744at50557        -            301   3.2e-05   22.3   0.2   1   2   2.7e-07   7.5e-05   21.1   0.0   217   288    12    90     7    95 0.77 -
92128at50557_62324_0:000249|STRG.11308.2:45-785|+      -            247 111744at50557        -            301   3.2e-05   22.3   0.2   2   2       3.9   1.1e+03   -2.4   0.0    39    70   124   157   119   166 0.59 -
92128at50557_30069_0:001008|STRG.11308.1:543-1721|+    -            393 111744at50557        -            301   4.8e-05   21.7   0.2   1   1   5.9e-07   0.00016   20.0   0.0   217   288   158   236   149   241 0.78 -
111744at50557_39758_0:0024da|STRG.14440.2:718-1733|+   -            243 111744at50557        -            301   0.00086   17.6  10.2   1   2      0.43   1.2e+02    0.7   9.3     2    83    20    88    19    99 0.77 -
111744at50557_39758_0:0024da|STRG.14440.2:718-1733|+   -            243 111744at50557        -            301   0.00086   17.6  10.2   2   2     2e-05    0.0057   14.9   0.0   216   254   199   241   154   243 0.75 -
26388at50557_123851_0:0008a6|STRG.9008.1:3093-3584|+   -            164 111744at50557        -            301    0.0023   16.2   0.1   1   2      0.23        64    1.6   0.1   241   281    62   105    58   119 0.68 -
26388at50557_123851_0:0008a6|STRG.9008.1:3093-3584|+   -            164 111744at50557        -            301    0.0023   16.2   0.1   2   2   0.00012     0.034   12.4   0.0   222   257   121   164   118   164 0.71 -
26388at50557_123851_0:0008a6|STRG.9008.2:2972-3463|+   -            164 111744at50557        -            301    0.0023   16.2   0.1   1   2      0.23        64    1.6   0.1   241   281    62   105    58   119 0.68 -
26388at50557_123851_0:0008a6|STRG.9008.2:2972-3463|+   -            164 111744at50557        -            301    0.0023   16.2   0.1   2   2   0.00012     0.034   12.4   0.0   222   257   121   164   118   164 0.71 -
26388at50557_123851_0:0008a6|STRG.9008.3:3104-3595|+   -            164 111744at50557        -            301    0.0023   16.2   0.1   1   2      0.23        64    1.6   0.1   241   281    62   105    58   119 0.68 -
26388at50557_123851_0:0008a6|STRG.9008.3:3104-3595|+   -            164 111744at50557        -            301    0.0023   16.2   0.1   2   2   0.00012     0.034   12.4   0.0   222   257   121   164   118   164 0.71 -
26388at50557_123851_0:0008a6|STRG.9008.4:3093-3584|+   -            164 111744at50557        -            301    0.0023   16.2   0.1   1   2      0.23        64    1.6   0.1   241   281    62   105    58   119 0.68 -
26388at50557_123851_0:0008a6|STRG.9008.4:3093-3584|+   -            164 111744at50557        -            301    0.0023   16.2   0.1   2   2   0.00012     0.034   12.4   0.0   222   257   121   164   118   164 0.71 -
26388at50557_56086_0:004349|STRG.12946.1:10037-10387|+ -            117 111744at50557        -            301    0.0038   15.5   0.1   1   2       0.2        56    1.8   0.0   240   274     7    40     2    54 0.66 -
26388at50557_56086_0:004349|STRG.12946.1:10037-10387|+ -            117 111744at50557        -            301    0.0038   15.5   0.1   2   2   0.00017     0.048   11.9   0.0   224   253    68   105    59   110 0.63 -
26388at50557_56086_0:004349|STRG.12946.2:9133-9483|+   -            117 111744at50557        -            301    0.0038   15.5   0.1   1   2       0.2        56    1.8   0.0   240   274     7    40     2    54 0.66 -
26388at50557_56086_0:004349|STRG.12946.2:9133-9483|+   -            117 111744at50557        -            301    0.0038   15.5   0.1   2   2   0.00017     0.048   11.9   0.0   224   253    68   105    59   110 0.63 -
92128at50557_7224_0:00002f|STRG.10257.1:530-1549|+     -            340 111744at50557        -            301    0.0049   15.2   0.0   1   1   1.7e-05    0.0049   15.2   0.0   217   289   176   252   151   261 0.77 -
26388at50557_56086_0:004349|STRG.13839.1:5605-5961|+   -            119 111744at50557        -            301     0.011   14.0   0.1   1   2       2.1   5.9e+02   -1.5   0.0   242   260    16    33    11    58 0.63 -
26388at50557_56086_0:004349|STRG.13839.1:5605-5961|+   -            119 111744at50557        -            301     0.011   14.0   0.1   2   2   8.8e-05     0.025   12.8   0.1   222   247    74    99    66   117 0.80 -
26388at50557_123851_0:0008a6|STRG.7779.1:4249-4734|+   -            162 111744at50557        -            301     0.015   13.6   0.8   1   2      0.53   1.5e+02    0.4   0.0     1    37    55    93    55   103 0.59 -
26388at50557_123851_0:0008a6|STRG.7779.1:4249-4734|+   -            162 111744at50557        -            301     0.015   13.6   0.8   2   2   0.00032      0.09   11.0   0.0   225   257   120   160   109   161 0.74 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/justine/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/111744at50557.hmm
# Target file:     annotation_analysis/annotation_gcf/T_cornetzi/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas
# Option settings: hmmsearch --domtblout annotation_analysis/annotation_gcf/T_cornetzi/busco_output/run_insecta_odb10/hmmer_output/initial_run_results/111744at50557.out --cpu 1 /home/justine/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/111744at50557.hmm annotation_analysis/annotation_gcf/T_cornetzi/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas 
# Current dir:     /home/justine/projet_tutore
# Date:            Sun Dec  1 20:02:24 2024
# [ok]
