#                                                                                                               --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                           accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                   ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
129956at50557_34720_0:00189a|STRG.10911.1:159-575|+     -            139 129956at50557        -            110   3.4e-63  209.4   0.1   1   1   8.7e-65     4e-63  209.2   0.1     1   108     1   112     1   117 0.94 -
117816at50557_69004_0:00324f|STRG.15171.1:684-1727|+    -            348 129956at50557        -            110   3.1e-27   93.7   0.4   1   4   1.2e-06   5.6e-05   22.0   0.0    32   103     2    73     1    80 0.95 -
117816at50557_69004_0:00324f|STRG.15171.1:684-1727|+    -            348 129956at50557        -            110   3.1e-27   93.7   0.4   2   4   3.8e-07   1.7e-05   23.7   0.1    32   107    90   164    83   167 0.91 -
117816at50557_69004_0:00324f|STRG.15171.1:684-1727|+    -            348 129956at50557        -            110   3.1e-27   93.7   0.4   3   4   4.7e-09   2.1e-07   29.8   0.0    30    98   181   248   164   261 0.86 -
117816at50557_69004_0:00324f|STRG.15171.1:684-1727|+    -            348 129956at50557        -            110   3.1e-27   93.7   0.4   4   4   0.00043      0.02   13.8   0.0    44    93   299   346   265   348 0.77 -
100341at50557_319348_0:001dc7|STRG.20705.6:1364-2371|+  -            336 129956at50557        -            110   4.5e-26   89.9   0.0   1   3   1.2e-12   5.3e-11   41.4   0.0    32   107     6    81     2    84 0.94 -
100341at50557_319348_0:001dc7|STRG.20705.6:1364-2371|+  -            336 129956at50557        -            110   4.5e-26   89.9   0.0   2   3    0.0013     0.061   12.2   0.0    30    93    90   166    85   173 0.72 -
100341at50557_319348_0:001dc7|STRG.20705.6:1364-2371|+  -            336 129956at50557        -            110   4.5e-26   89.9   0.0   3   3   2.8e-09   1.3e-07   30.5   0.0    31   104   256   330   248   335 0.91 -
100341at50557_319348_0:001dc7|STRG.20705.13:1513-2547|+ -            345 129956at50557        -            110   5.3e-26   89.7   0.0   1   3   1.2e-12   5.6e-11   41.3   0.0    32   107     6    81     2    84 0.94 -
100341at50557_319348_0:001dc7|STRG.20705.13:1513-2547|+ -            345 129956at50557        -            110   5.3e-26   89.7   0.0   2   3    0.0014     0.064   12.2   0.0    30    93    90   166    85   173 0.72 -
100341at50557_319348_0:001dc7|STRG.20705.13:1513-2547|+ -            345 129956at50557        -            110   5.3e-26   89.7   0.0   3   3   2.9e-09   1.3e-07   30.5   0.0    31   104   265   339   257   344 0.91 -
100341at50557_319348_0:001dc7|STRG.20705.14:1687-2721|+ -            345 129956at50557        -            110   5.3e-26   89.7   0.0   1   3   1.2e-12   5.6e-11   41.3   0.0    32   107     6    81     2    84 0.94 -
100341at50557_319348_0:001dc7|STRG.20705.14:1687-2721|+ -            345 129956at50557        -            110   5.3e-26   89.7   0.0   2   3    0.0014     0.064   12.2   0.0    30    93    90   166    85   173 0.72 -
100341at50557_319348_0:001dc7|STRG.20705.14:1687-2721|+ -            345 129956at50557        -            110   5.3e-26   89.7   0.0   3   3   2.9e-09   1.3e-07   30.5   0.0    31   104   265   339   257   344 0.91 -
100341at50557_319348_0:001dc7|STRG.20705.15:1684-2718|+ -            345 129956at50557        -            110   5.3e-26   89.7   0.0   1   3   1.2e-12   5.6e-11   41.3   0.0    32   107     6    81     2    84 0.94 -
100341at50557_319348_0:001dc7|STRG.20705.15:1684-2718|+ -            345 129956at50557        -            110   5.3e-26   89.7   0.0   2   3    0.0014     0.064   12.2   0.0    30    93    90   166    85   173 0.72 -
100341at50557_319348_0:001dc7|STRG.20705.15:1684-2718|+ -            345 129956at50557        -            110   5.3e-26   89.7   0.0   3   3   2.9e-09   1.3e-07   30.5   0.0    31   104   265   339   257   344 0.91 -
100341at50557_319348_0:001dc7|STRG.20705.16:749-1783|+  -            345 129956at50557        -            110   5.3e-26   89.7   0.0   1   3   1.2e-12   5.6e-11   41.3   0.0    32   107     6    81     2    84 0.94 -
100341at50557_319348_0:001dc7|STRG.20705.16:749-1783|+  -            345 129956at50557        -            110   5.3e-26   89.7   0.0   2   3    0.0014     0.064   12.2   0.0    30    93    90   166    85   173 0.72 -
100341at50557_319348_0:001dc7|STRG.20705.16:749-1783|+  -            345 129956at50557        -            110   5.3e-26   89.7   0.0   3   3   2.9e-09   1.3e-07   30.5   0.0    31   104   265   339   257   344 0.91 -
100341at50557_319348_0:001dc7|STRG.20705.1:700-1734|+   -            345 129956at50557        -            110   5.3e-26   89.7   0.0   1   3   1.2e-12   5.6e-11   41.3   0.0    32   107     6    81     2    84 0.94 -
100341at50557_319348_0:001dc7|STRG.20705.1:700-1734|+   -            345 129956at50557        -            110   5.3e-26   89.7   0.0   2   3    0.0014     0.064   12.2   0.0    30    93    90   166    85   173 0.72 -
100341at50557_319348_0:001dc7|STRG.20705.1:700-1734|+   -            345 129956at50557        -            110   5.3e-26   89.7   0.0   3   3   2.9e-09   1.3e-07   30.5   0.0    31   104   265   339   257   344 0.91 -
100341at50557_319348_0:001dc7|STRG.20705.9:1364-2398|+  -            345 129956at50557        -            110   5.3e-26   89.7   0.0   1   3   1.2e-12   5.6e-11   41.3   0.0    32   107     6    81     2    84 0.94 -
100341at50557_319348_0:001dc7|STRG.20705.9:1364-2398|+  -            345 129956at50557        -            110   5.3e-26   89.7   0.0   2   3    0.0014     0.064   12.2   0.0    30    93    90   166    85   173 0.72 -
100341at50557_319348_0:001dc7|STRG.20705.9:1364-2398|+  -            345 129956at50557        -            110   5.3e-26   89.7   0.0   3   3   2.9e-09   1.3e-07   30.5   0.0    31   104   265   339   257   344 0.91 -
117816at50557_7200_0:0014c2|STRG.20705.7:1406-2338|+    -            311 129956at50557        -            110   2.1e-24   84.6   0.0   1   3   7.2e-11   3.3e-09   35.7   0.0    42   107     2    67     1    70 0.94 -
117816at50557_7200_0:0014c2|STRG.20705.7:1406-2338|+    -            311 129956at50557        -            110   2.1e-24   84.6   0.0   2   3    0.0012     0.053   12.4   0.0    30    93    76   152    71   159 0.72 -
117816at50557_7200_0:0014c2|STRG.20705.7:1406-2338|+    -            311 129956at50557        -            110   2.1e-24   84.6   0.0   3   3   2.4e-09   1.1e-07   30.8   0.0    31   104   228   302   221   308 0.91 -
83433at50557_133901_0:001dd1|STRG.12667.1:143-664|+     -            174 129956at50557        -            110   3.6e-21   74.2   0.0   1   2   5.5e-10   2.5e-08   32.8   0.0    32    90     2    60     1    71 0.93 -
83433at50557_133901_0:001dd1|STRG.12667.1:143-664|+     -            174 129956at50557        -            110   3.6e-21   74.2   0.0   2   2   4.5e-12     2e-10   39.5   0.0    32    96    92   160    86   168 0.86 -
83433at50557_133901_0:001dd1|STRG.12667.2:143-664|+     -            174 129956at50557        -            110   3.6e-21   74.2   0.0   1   2   5.5e-10   2.5e-08   32.8   0.0    32    90     2    60     1    71 0.93 -
83433at50557_133901_0:001dd1|STRG.12667.2:143-664|+     -            174 129956at50557        -            110   3.6e-21   74.2   0.0   2   2   4.5e-12     2e-10   39.5   0.0    32    96    92   160    86   168 0.86 -
83433at50557_133901_0:001dd1|STRG.12667.3:143-664|+     -            174 129956at50557        -            110   3.6e-21   74.2   0.0   1   2   5.5e-10   2.5e-08   32.8   0.0    32    90     2    60     1    71 0.93 -
83433at50557_133901_0:001dd1|STRG.12667.3:143-664|+     -            174 129956at50557        -            110   3.6e-21   74.2   0.0   2   2   4.5e-12     2e-10   39.5   0.0    32    96    92   160    86   168 0.86 -
117816at50557_121225_0:000cee|STRG.2963.1:157-660|+     -            168 129956at50557        -            110   3.6e-20   71.0   0.0   1   2   6.3e-12   2.9e-10   39.1   0.0    29   106     3    80     1    85 0.95 -
117816at50557_121225_0:000cee|STRG.2963.1:157-660|+     -            168 129956at50557        -            110   3.6e-20   71.0   0.0   2   2   1.3e-09   6.1e-08   31.6   0.0    19   104    79   166    78   168 0.90 -
117816at50557_121225_0:000cee|STRG.2963.2:106-609|+     -            168 129956at50557        -            110   3.6e-20   71.0   0.0   1   2   6.3e-12   2.9e-10   39.1   0.0    29   106     3    80     1    85 0.95 -
117816at50557_121225_0:000cee|STRG.2963.2:106-609|+     -            168 129956at50557        -            110   3.6e-20   71.0   0.0   2   2   1.3e-09   6.1e-08   31.6   0.0    19   104    79   166    78   168 0.90 -
117816at50557_121225_0:000cee|STRG.2963.3:506-1009|+    -            168 129956at50557        -            110   3.6e-20   71.0   0.0   1   2   6.3e-12   2.9e-10   39.1   0.0    29   106     3    80     1    85 0.95 -
117816at50557_121225_0:000cee|STRG.2963.3:506-1009|+    -            168 129956at50557        -            110   3.6e-20   71.0   0.0   2   2   1.3e-09   6.1e-08   31.6   0.0    19   104    79   166    78   168 0.90 -
117816at50557_7200_0:000429|STRG.20705.10:1406-1918|+   -            171 129956at50557        -            110     1e-19   69.5   0.0   1   2   2.3e-11     1e-09   37.3   0.0    42   107     2    67     1    70 0.94 -
117816at50557_7200_0:000429|STRG.20705.10:1406-1918|+   -            171 129956at50557        -            110     1e-19   69.5   0.0   2   2   2.8e-09   1.3e-07   30.5   0.0    30    94    76   140    71   153 0.94 -
83433at50557_133901_0:001dd1|STRG.20042.1:170-685|+     -            172 129956at50557        -            110   1.2e-19   69.2   0.0   1   2   5.1e-10   2.3e-08   32.9   0.0    32    80     2    50     1    70 0.92 -
83433at50557_133901_0:001dd1|STRG.20042.1:170-685|+     -            172 129956at50557        -            110   1.2e-19   69.2   0.0   2   2   1.6e-10   7.1e-09   34.6   0.0    32    81    93   142    88   164 0.94 -
117816at50557_123851_0:00306e|STRG.20705.2:1616-2224|+  -            203 129956at50557        -            110     2e-19   68.5   0.0   1   2   3.3e-11   1.5e-09   36.8   0.0    42   107     2    67     1    70 0.94 -
117816at50557_123851_0:00306e|STRG.20705.2:1616-2224|+  -            203 129956at50557        -            110     2e-19   68.5   0.0   2   2   4.2e-09   1.9e-07   30.0   0.0    30    94    76   140    71   152 0.95 -
117816at50557_123851_0:00306e|STRG.20705.4:1406-2014|+  -            203 129956at50557        -            110     2e-19   68.5   0.0   1   2   3.3e-11   1.5e-09   36.8   0.0    42   107     2    67     1    70 0.94 -
117816at50557_123851_0:00306e|STRG.20705.4:1406-2014|+  -            203 129956at50557        -            110     2e-19   68.5   0.0   2   2   4.2e-09   1.9e-07   30.0   0.0    30    94    76   140    71   152 0.95 -
117816at50557_7200_0:0014c2|STRG.20705.12:1406-2149|+   -            248 129956at50557        -            110   3.9e-19   67.6   0.0   1   2   4.8e-11   2.2e-09   36.2   0.0    42   107     2    67     1    70 0.94 -
117816at50557_7200_0:0014c2|STRG.20705.12:1406-2149|+   -            248 129956at50557        -            110   3.9e-19   67.6   0.0   2   2   6.3e-09   2.9e-07   29.4   0.0    30    94    76   140    71   152 0.95 -
129956at50557_37344_0:0029cb|STRG.11253.1:162-497|+     -            112 129956at50557        -            110     1e-17   63.1   0.0   1   1   2.5e-19   1.1e-17   62.9   0.0    29   106    24   101     2   105 0.90 -
129956at50557_37344_0:0029cb|STRG.11253.2:162-497|+     -            112 129956at50557        -            110     1e-17   63.1   0.0   1   1   2.5e-19   1.1e-17   62.9   0.0    29   106    24   101     2   105 0.90 -
129956at50557_37344_0:0029cb|STRG.11253.3:162-497|+     -            112 129956at50557        -            110     1e-17   63.1   0.0   1   1   2.5e-19   1.1e-17   62.9   0.0    29   106    24   101     2   105 0.90 -
129956at50557_37344_0:0029cb|STRG.11253.4:162-497|+     -            112 129956at50557        -            110     1e-17   63.1   0.0   1   1   2.5e-19   1.1e-17   62.9   0.0    29   106    24   101     2   105 0.90 -
117816at50557_29058_0:000b65|STRG.13243.1:911-1384|+    -            158 129956at50557        -            110   1.2e-17   62.8   0.0   1   2   1.5e-08   6.9e-07   28.2   0.0    37   106     1    70     1    74 0.95 -
117816at50557_29058_0:000b65|STRG.13243.1:911-1384|+    -            158 129956at50557        -            110   1.2e-17   62.8   0.0   2   2   5.2e-10   2.4e-08   32.9   0.0    32    93    82   143    75   145 0.92 -
117816at50557_29058_0:000b65|STRG.13243.2:378-851|+     -            158 129956at50557        -            110   1.2e-17   62.8   0.0   1   2   1.5e-08   6.9e-07   28.2   0.0    37   106     1    70     1    74 0.95 -
117816at50557_29058_0:000b65|STRG.13243.2:378-851|+     -            158 129956at50557        -            110   1.2e-17   62.8   0.0   2   2   5.2e-10   2.4e-08   32.9   0.0    32    93    82   143    75   145 0.92 -
117816at50557_29058_0:000b65|STRG.13243.3:481-954|+     -            158 129956at50557        -            110   1.2e-17   62.8   0.0   1   2   1.5e-08   6.9e-07   28.2   0.0    37   106     1    70     1    74 0.95 -
117816at50557_29058_0:000b65|STRG.13243.3:481-954|+     -            158 129956at50557        -            110   1.2e-17   62.8   0.0   2   2   5.2e-10   2.4e-08   32.9   0.0    32    93    82   143    75   145 0.92 -
117816at50557_29058_0:000b65|STRG.13243.4:626-1099|+    -            158 129956at50557        -            110   1.2e-17   62.8   0.0   1   2   1.5e-08   6.9e-07   28.2   0.0    37   106     1    70     1    74 0.95 -
117816at50557_29058_0:000b65|STRG.13243.4:626-1099|+    -            158 129956at50557        -            110   1.2e-17   62.8   0.0   2   2   5.2e-10   2.4e-08   32.9   0.0    32    93    82   143    75   145 0.92 -
117816at50557_29058_0:000b65|STRG.13243.5:387-860|+     -            158 129956at50557        -            110   1.2e-17   62.8   0.0   1   2   1.5e-08   6.9e-07   28.2   0.0    37   106     1    70     1    74 0.95 -
117816at50557_29058_0:000b65|STRG.13243.5:387-860|+     -            158 129956at50557        -            110   1.2e-17   62.8   0.0   2   2   5.2e-10   2.4e-08   32.9   0.0    32    93    82   143    75   145 0.92 -
117816at50557_29058_0:000b65|STRG.13243.7:1202-1675|+   -            158 129956at50557        -            110   1.2e-17   62.8   0.0   1   2   1.5e-08   6.9e-07   28.2   0.0    37   106     1    70     1    74 0.95 -
117816at50557_29058_0:000b65|STRG.13243.7:1202-1675|+   -            158 129956at50557        -            110   1.2e-17   62.8   0.0   2   2   5.2e-10   2.4e-08   32.9   0.0    32    93    82   143    75   145 0.92 -
117816at50557_29058_0:000b65|STRG.13243.8:961-1434|+    -            158 129956at50557        -            110   1.2e-17   62.8   0.0   1   2   1.5e-08   6.9e-07   28.2   0.0    37   106     1    70     1    74 0.95 -
117816at50557_29058_0:000b65|STRG.13243.8:961-1434|+    -            158 129956at50557        -            110   1.2e-17   62.8   0.0   2   2   5.2e-10   2.4e-08   32.9   0.0    32    93    82   143    75   145 0.92 -
24138at50557_103372_0:001296|STRG.3170.1:152-2815|+     -            888 129956at50557        -            110   7.6e-17   60.2   0.0   1   3   0.00049     0.022   13.6   0.1    33   104     5    75     2    79 0.86 -
24138at50557_103372_0:001296|STRG.3170.1:152-2815|+     -            888 129956at50557        -            110   7.6e-17   60.2   0.0   2   3   1.8e-07   8.4e-06   24.7   0.0     9   102   328   420   321   427 0.83 -
24138at50557_103372_0:001296|STRG.3170.1:152-2815|+     -            888 129956at50557        -            110   7.6e-17   60.2   0.0   3   3   0.00026     0.012   14.5   0.0    30    88   764   823   752   843 0.83 -
83433at50557_166361_0:0030d8|STRG.13243.6:396-956|+     -            187 129956at50557        -            110   1.6e-16   59.2   0.0   1   2   1.7e-07   7.6e-06   24.8   0.0    41   106     2    67     1    71 0.93 -
83433at50557_166361_0:0030d8|STRG.13243.6:396-956|+     -            187 129956at50557        -            110   1.6e-16   59.2   0.0   2   2   7.2e-10   3.3e-08   32.4   0.0    32    93    79   140    72   143 0.92 -
129956at50557_112268_0:002589|STRG.5763.2:268-621|+     -            118 129956at50557        -            110   3.6e-16   58.1   0.0   1   2   2.2e-10     1e-08   34.1   0.0    32    83     1    52     1    79 0.87 -
129956at50557_112268_0:002589|STRG.5763.2:268-621|+     -            118 129956at50557        -            110   3.6e-16   58.1   0.0   2   2   7.7e-07   3.5e-05   22.7   0.0    31    67    80   116    64   118 0.90 -
129956at50557_112268_0:002589|STRG.5763.3:268-621|+     -            118 129956at50557        -            110   3.6e-16   58.1   0.0   1   2   2.2e-10     1e-08   34.1   0.0    32    83     1    52     1    79 0.87 -
129956at50557_112268_0:002589|STRG.5763.3:268-621|+     -            118 129956at50557        -            110   3.6e-16   58.1   0.0   2   2   7.7e-07   3.5e-05   22.7   0.0    31    67    80   116    64   118 0.90 -
129956at50557_112268_0:002589|STRG.5763.4:268-621|+     -            118 129956at50557        -            110   3.6e-16   58.1   0.0   1   2   2.2e-10     1e-08   34.1   0.0    32    83     1    52     1    79 0.87 -
129956at50557_112268_0:002589|STRG.5763.4:268-621|+     -            118 129956at50557        -            110   3.6e-16   58.1   0.0   2   2   7.7e-07   3.5e-05   22.7   0.0    31    67    80   116    64   118 0.90 -
83433at50557_35570_0:00301f|STRG.1391.1:800-1336|+      -            179 129956at50557        -            110   1.6e-15   56.0   0.0   1   2   1.1e-08   4.9e-07   28.7   0.0    32    90     2    62     1    83 0.86 -
83433at50557_35570_0:00301f|STRG.1391.1:800-1336|+      -            179 129956at50557        -            110   1.6e-15   56.0   0.0   2   2   8.2e-08   3.8e-06   25.8   0.0    31    81    90   140    77   167 0.87 -
129956at50557_64459_0:001a3e|STRG.15750.1:2335-2748|+   -            138 129956at50557        -            110   8.1e-15   53.7   0.0   1   2   7.8e-12   3.5e-10   38.8   0.0    32   103     1    72     1    79 0.97 -
129956at50557_64459_0:001a3e|STRG.15750.1:2335-2748|+   -            138 129956at50557        -            110   8.1e-15   53.7   0.0   2   2   0.00059     0.027   13.4   0.0    25    64    92   131    81   138 0.85 -
129956at50557_64459_0:001a3e|STRG.15750.2:671-1084|+    -            138 129956at50557        -            110   8.1e-15   53.7   0.0   1   2   7.8e-12   3.5e-10   38.8   0.0    32   103     1    72     1    79 0.97 -
129956at50557_64459_0:001a3e|STRG.15750.2:671-1084|+    -            138 129956at50557        -            110   8.1e-15   53.7   0.0   2   2   0.00059     0.027   13.4   0.0    25    64    92   131    81   138 0.85 -
129956at50557_64459_0:001a3e|STRG.15750.3:504-917|+     -            138 129956at50557        -            110   8.1e-15   53.7   0.0   1   2   7.8e-12   3.5e-10   38.8   0.0    32   103     1    72     1    79 0.97 -
129956at50557_64459_0:001a3e|STRG.15750.3:504-917|+     -            138 129956at50557        -            110   8.1e-15   53.7   0.0   2   2   0.00059     0.027   13.4   0.0    25    64    92   131    81   138 0.85 -
117816at50557_7200_0:0014c2|STRG.20705.11:1406-2188|+   -            261 129956at50557        -            110     1e-14   53.4   0.0   1   2   5.3e-11   2.4e-09   36.1   0.0    42   107     2    67     1    70 0.94 -
117816at50557_7200_0:0014c2|STRG.20705.11:1406-2188|+   -            261 129956at50557        -            110     1e-14   53.4   0.0   2   2   0.00084     0.039   12.9   0.0    30    93    76   152    71   159 0.73 -
117816at50557_7200_0:0014c2|STRG.20705.8:1406-2191|+    -            262 129956at50557        -            110     1e-14   53.4   0.0   1   2   5.3e-11   2.4e-09   36.1   0.0    42   107     2    67     1    70 0.94 -
117816at50557_7200_0:0014c2|STRG.20705.8:1406-2191|+    -            262 129956at50557        -            110     1e-14   53.4   0.0   2   2   0.00085     0.039   12.9   0.0    30    93    76   152    71   159 0.73 -
83433at50557_133901_0:001dd1|STRG.3595.1:716-1231|+     -            172 129956at50557        -            110   3.2e-14   51.8   0.1   1   2   2.2e-06    0.0001   21.2   0.0    32    83     2    53     1    78 0.89 -
83433at50557_133901_0:001dd1|STRG.3595.1:716-1231|+     -            172 129956at50557        -            110   3.2e-14   51.8   0.1   2   2     8e-09   3.6e-07   29.1   0.1    29    82    87   140    73   165 0.87 -
101501at50557_103372_0:00154d|STRG.5239.1:395-2734|+    -            780 129956at50557        -            110   4.6e-14   51.3   0.8   1   4   0.00069     0.031   13.2   0.0    30   102    47   117    29   123 0.88 -
101501at50557_103372_0:00154d|STRG.5239.1:395-2734|+    -            780 129956at50557        -            110   4.6e-14   51.3   0.8   2   4   2.5e-08   1.1e-06   27.5   0.0     5   105   166   264   162   269 0.81 -
101501at50557_103372_0:00154d|STRG.5239.1:395-2734|+    -            780 129956at50557        -            110   4.6e-14   51.3   0.8   3   4       2.2     1e+02    1.9   0.0    29    79   391   441   381   470 0.84 -
101501at50557_103372_0:00154d|STRG.5239.1:395-2734|+    -            780 129956at50557        -            110   4.6e-14   51.3   0.8   4   4      0.99        45    3.0   0.0    61    92   579   610   566   621 0.75 -
117816at50557_7493_0:002cdd|STRG.12442.1:850-1326|+     -            159 129956at50557        -            110   2.3e-13   49.0   0.0   1   2   0.00029     0.013   14.4   0.0    32   105     1    71     1    76 0.90 -
117816at50557_7493_0:002cdd|STRG.12442.1:850-1326|+     -            159 129956at50557        -            110   2.3e-13   49.0   0.0   2   2     5e-10   2.3e-08   32.9   0.0    30   102    87   159    80   159 0.94 -
117816at50557_7493_0:002cdd|STRG.12442.2:850-1326|+     -            159 129956at50557        -            110   2.3e-13   49.0   0.0   1   2   0.00029     0.013   14.4   0.0    32   105     1    71     1    76 0.90 -
117816at50557_7493_0:002cdd|STRG.12442.2:850-1326|+     -            159 129956at50557        -            110   2.3e-13   49.0   0.0   2   2     5e-10   2.3e-08   32.9   0.0    30   102    87   159    80   159 0.94 -
100341at50557_319348_0:001dc7|STRG.19296.15:537-1604|+  -            356 129956at50557        -            110   2.8e-13   48.7   0.0   1   2   0.00033     0.015   14.2   0.0    31    95    24    87    15    99 0.90 -
100341at50557_319348_0:001dc7|STRG.19296.15:537-1604|+  -            356 129956at50557        -            110   2.8e-13   48.7   0.0   2   2   7.5e-10   3.4e-08   32.4   0.0    32   104   282   354   277   356 0.95 -
100341at50557_319348_0:001dc7|STRG.19296.8:1333-2496|+  -            388 129956at50557        -            110   2.9e-13   48.7   0.0   1   2   0.00037     0.017   14.0   0.0    31    95    47   110    38   122 0.90 -
100341at50557_319348_0:001dc7|STRG.19296.8:1333-2496|+  -            388 129956at50557        -            110   2.9e-13   48.7   0.0   2   2   8.6e-10   3.9e-08   32.2   0.0    32   104   314   386   309   388 0.95 -
100341at50557_319348_0:001dc7|STRG.19296.4:1333-2535|+  -            401 129956at50557        -            110   3.4e-13   48.5   0.0   1   2    0.0004     0.018   14.0   0.0    31    95    47   110    38   122 0.90 -
100341at50557_319348_0:001dc7|STRG.19296.4:1333-2535|+  -            401 129956at50557        -            110   3.4e-13   48.5   0.0   2   2   9.1e-10   4.1e-08   32.1   0.0    32   104   327   399   322   401 0.95 -
129956at50557_286306_0:000be5|STRG.18297.8:37-324|+     -             96 129956at50557        -            110   1.3e-12   46.6   0.0   1   1   3.2e-14   1.5e-12   46.4   0.0    31    97     4    70     1    82 0.91 -
129956at50557_13686_0:0011f5|STRG.2538.1:1985-2212|+    -             76 129956at50557        -            110   1.3e-12   46.6   0.0   1   1   3.1e-14   1.4e-12   46.5   0.0    32   104     1    73     1    76 0.97 -
129956at50557_13686_0:0011f5|STRG.2538.2:2046-2273|+    -             76 129956at50557        -            110   1.3e-12   46.6   0.0   1   1   3.1e-14   1.4e-12   46.5   0.0    32   104     1    73     1    76 0.97 -
129956at50557_13686_0:0011f5|STRG.2538.3:804-1031|+     -             76 129956at50557        -            110   1.3e-12   46.6   0.0   1   1   3.1e-14   1.4e-12   46.5   0.0    32   104     1    73     1    76 0.97 -
129956at50557_13686_0:0011f5|STRG.2538.4:1444-1671|+    -             76 129956at50557        -            110   1.3e-12   46.6   0.0   1   1   3.1e-14   1.4e-12   46.5   0.0    32   104     1    73     1    76 0.97 -
129956at50557_13686_0:0011f5|STRG.2538.5:1505-1732|+    -             76 129956at50557        -            110   1.3e-12   46.6   0.0   1   1   3.1e-14   1.4e-12   46.5   0.0    32   104     1    73     1    76 0.97 -
129956at50557_13686_0:0011f5|STRG.2538.6:951-1178|+     -             76 129956at50557        -            110   1.3e-12   46.6   0.0   1   1   3.1e-14   1.4e-12   46.5   0.0    32   104     1    73     1    76 0.97 -
129956at50557_13686_0:0011f5|STRG.2538.7:957-1184|+     -             76 129956at50557        -            110   1.3e-12   46.6   0.0   1   1   3.1e-14   1.4e-12   46.5   0.0    32   104     1    73     1    76 0.97 -
129956at50557_7395_0:00347a|STRG.18297.10:49-303|+      -             85 129956at50557        -            110   2.2e-12   45.9   0.0   1   1   5.4e-14   2.5e-12   45.7   0.0    32    97     1    66     1    77 0.93 -
129956at50557_7395_0:00347a|STRG.18297.1:49-303|+       -             85 129956at50557        -            110   2.2e-12   45.9   0.0   1   1   5.4e-14   2.5e-12   45.7   0.0    32    97     1    66     1    77 0.93 -
129956at50557_7395_0:00347a|STRG.18297.2:49-303|+       -             85 129956at50557        -            110   2.2e-12   45.9   0.0   1   1   5.4e-14   2.5e-12   45.7   0.0    32    97     1    66     1    77 0.93 -
129956at50557_7395_0:00347a|STRG.18297.3:49-303|+       -             85 129956at50557        -            110   2.2e-12   45.9   0.0   1   1   5.4e-14   2.5e-12   45.7   0.0    32    97     1    66     1    77 0.93 -
129956at50557_7395_0:00347a|STRG.18297.4:49-303|+       -             85 129956at50557        -            110   2.2e-12   45.9   0.0   1   1   5.4e-14   2.5e-12   45.7   0.0    32    97     1    66     1    77 0.93 -
