#                                                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
118659at50557_143995_0:001dd5|STRG.20286.1:220-708|+ -            163 118659at50557        -            141   1.2e-87  290.0   2.1   1   1   5.5e-90   3.4e-87  288.5   2.1     1   141     8   163     8   163 0.97 -
45452at50557_211228_0:001c06|STRG.20650.3:193-1347|+ -            385 118659at50557        -            141   1.2e-05   24.2   1.1   1   2   4.2e-06    0.0026   16.6   0.1    12    74    12    74     4    78 0.88 -
45452at50557_211228_0:001c06|STRG.20650.3:193-1347|+ -            385 118659at50557        -            141   1.2e-05   24.2   1.1   2   2     0.011         7    5.5   0.1   101   125   135   159    94   170 0.84 -
45452at50557_45779_0:0017c6|STRG.2853.1:744-1478|+   -            245 118659at50557        -            141   0.00055   18.8   0.0   1   1   1.4e-06   0.00085   18.2   0.0    54   124    21    93    10   106 0.87 -
118659at50557_121845_0:0048fb|STRG.17478.1:500-790|+ -             97 118659at50557        -            141    0.0014   17.5   0.0   1   1   2.9e-06    0.0018   17.2   0.0    56   123    20    91     1    96 0.78 -
118659at50557_121845_0:0048fb|STRG.17478.2:576-866|+ -             97 118659at50557        -            141    0.0014   17.5   0.0   1   1   2.9e-06    0.0018   17.2   0.0    56   123    20    91     1    96 0.78 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/justine/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/118659at50557.hmm
# Target file:     annotation_analysis/annotation_gcf/T_cornetzi/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas
# Option settings: hmmsearch --domtblout annotation_analysis/annotation_gcf/T_cornetzi/busco_output/run_insecta_odb10/hmmer_output/initial_run_results/118659at50557.out --cpu 1 /home/justine/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/118659at50557.hmm annotation_analysis/annotation_gcf/T_cornetzi/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas 
# Current dir:     /home/justine/projet_tutore
# Date:            Sun Dec  1 20:02:38 2024
# [ok]
