#                                                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
4137at50557_326594_0:001d34|STRG.18408.2:1-2592|+    -            864 4137at50557          -           1387         0 1506.0  93.9   1   1         0         0 1500.9  93.9     2   796     2   864     1   864 0.94 -
4137at50557_7375_0:001239|STRG.18407.3:2-3561|+      -            781 4137at50557          -           1387         0 1071.2  56.0   1   4   3.5e-33   3.2e-30  103.3   0.3   814   866     9    61     6    63 0.97 -
4137at50557_7375_0:001239|STRG.18407.3:2-3561|+      -            781 4137at50557          -           1387         0 1071.2  56.0   2   4   1.4e-17   1.3e-14   51.6   3.3   289   372    64   147    60   149 0.95 -
4137at50557_7375_0:001239|STRG.18407.3:2-3561|+      -            781 4137at50557          -           1387         0 1071.2  56.0   3   4     1e-45   9.4e-43  144.9   2.4    21   162   114   253   112   253 0.98 -
4137at50557_7375_0:001239|STRG.18407.3:2-3561|+      -            781 4137at50557          -           1387         0 1071.2  56.0   4   4  2.7e-247  2.5e-244  812.8  28.9   873  1386   154   764   154   765 0.89 -
4137at50557_103372_0:001fba|STRG.18407.2:2-2404|+    -            801 4137at50557          -           1387         0 1061.8  57.2   1   5   3.4e-33   3.2e-30  103.3   0.3   814   866     9    61     6    64 0.97 -
4137at50557_103372_0:001fba|STRG.18407.2:2-2404|+    -            801 4137at50557          -           1387         0 1061.8  57.2   2   5   2.1e-17   1.9e-14   51.0   2.9   289   372    64   147    62   149 0.97 -
4137at50557_103372_0:001fba|STRG.18407.2:2-2404|+    -            801 4137at50557          -           1387         0 1061.8  57.2   3   5   9.4e-46   8.7e-43  145.0   2.7    21   162   114   253   113   254 0.98 -
4137at50557_103372_0:001fba|STRG.18407.2:2-2404|+    -            801 4137at50557          -           1387         0 1061.8  57.2   4   5   3.8e-60   3.5e-57  192.7   3.9   873  1021   154   331   154   339 0.87 -
4137at50557_103372_0:001fba|STRG.18407.2:2-2404|+    -            801 4137at50557          -           1387         0 1061.8  57.2   5   5  6.4e-191  5.9e-188  626.0  18.3  1016  1386   361   784   359   785 0.91 -
4137at50557_378494_0:00213c|STRG.18408.4:947-1699|+  -            251 4137at50557          -           1387  2.9e-121  405.0  29.6   1   1  1.1e-123  9.8e-121  403.2  29.7   288   509     2   243     1   247 0.93 -
4137at50557_123851_0:003e6e|STRG.18407.7:11-940|+    -            310 4137at50557          -           1387   2.2e-30  103.9  12.6   1   2   2.4e-33   2.2e-30  103.9  12.6   814   892     6    87     3   105 0.83 -
4137at50557_123851_0:003e6e|STRG.18407.7:11-940|+    -            310 4137at50557          -           1387   2.2e-30  103.9  12.6   2   2       7.3   6.8e+03   -7.1   6.8   428   447   188   207   161   216 0.64 -
65618at50557_110193_0:0020cd|STRG.15177.1:336-1025|+ -            230 4137at50557          -           1387   1.1e-05   22.0   0.3   1   1   1.5e-08   1.4e-05   21.7   0.3   106   295     4   192     2   220 0.74 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/justine/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/4137at50557.hmm
# Target file:     annotation_analysis/annotation_gcf/T_cornetzi/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas
# Option settings: hmmsearch --domtblout annotation_analysis/annotation_gcf/T_cornetzi/busco_output/run_insecta_odb10/hmmer_output/initial_run_results/4137at50557.out --cpu 1 /home/justine/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/4137at50557.hmm annotation_analysis/annotation_gcf/T_cornetzi/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas 
# Current dir:     /home/justine/projet_tutore
# Date:            Sun Dec  1 20:06:01 2024
# [ok]
