#                                                                                                               --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                           accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                   ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
106896at50557_34720_0:0025d6|STRG.5420.2:864-2300|+     -            479 106896at50557        -             70   2.1e-34  116.3   4.0   1   1   6.2e-36   2.1e-34  116.3   4.0    12    70   384   443   377   443 0.93 -
14133at50557_286706_0:001942|STRG.17924.1:2142-3497|+   -            452 106896at50557        -             70   2.6e-22   77.6  93.9  10  11   0.00031      0.01   14.8   8.2    22    68   368   414   361   416 0.92 -
14133at50557_286706_0:001942|STRG.17924.1:2142-3497|+   -            452 106896at50557        -             70   2.6e-22   77.6  93.9  11  11      0.18         6    5.9   0.0    18    46   420   448   413   451 0.90 -
14133at50557_286706_0:001942|STRG.17924.2:1645-3000|+   -            452 106896at50557        -             70   2.6e-22   77.6  93.9   1  11     0.063       2.1    7.4   1.9    23    67     5    49     3    52 0.95 -
14133at50557_286706_0:001942|STRG.17924.2:1645-3000|+   -            452 106896at50557        -             70   2.6e-22   77.6  93.9   2  11     0.009       0.3   10.1   2.6    17    70    27    80    25    80 0.96 -
14133at50557_286706_0:001942|STRG.17924.2:1645-3000|+   -            452 106896at50557        -             70   2.6e-22   77.6  93.9   3  11   0.00044     0.015   14.3   7.7    17    69    83   135    81   136 0.93 -
14133at50557_286706_0:001942|STRG.17924.2:1645-3000|+   -            452 106896at50557        -             70   2.6e-22   77.6  93.9   4  11    0.0013     0.042   12.8   7.9    23    68   117   162   116   164 0.96 -
14133at50557_286706_0:001942|STRG.17924.2:1645-3000|+   -            452 106896at50557        -             70   2.6e-22   77.6  93.9   5  11   0.00033     0.011   14.7   4.3    22    69   172   219   166   220 0.95 -
14133at50557_286706_0:001942|STRG.17924.2:1645-3000|+   -            452 106896at50557        -             70   2.6e-22   77.6  93.9   6  11   1.6e-06   5.3e-05   22.1   4.6    22    69   228   275   223   276 0.94 -
14133at50557_286706_0:001942|STRG.17924.2:1645-3000|+   -            452 106896at50557        -             70   2.6e-22   77.6  93.9   7  11   5.9e-07     2e-05   23.5   7.3     3    68   268   330   267   332 0.89 -
14133at50557_286706_0:001942|STRG.17924.2:1645-3000|+   -            452 106896at50557        -             70   2.6e-22   77.6  93.9   8  11   5.7e-06   0.00019   20.3   8.3    22    68   312   358   307   361 0.94 -
14133at50557_286706_0:001942|STRG.17924.2:1645-3000|+   -            452 106896at50557        -             70   2.6e-22   77.6  93.9   9  11   0.00012     0.004   16.1  10.5    22    68   340   386   326   388 0.88 -
14133at50557_286706_0:001942|STRG.17924.2:1645-3000|+   -            452 106896at50557        -             70   2.6e-22   77.6  93.9  10  11   0.00031      0.01   14.8   8.2    22    68   368   414   361   416 0.92 -
14133at50557_286706_0:001942|STRG.17924.2:1645-3000|+   -            452 106896at50557        -             70   2.6e-22   77.6  93.9  11  11      0.18         6    5.9   0.0    18    46   420   448   413   451 0.90 -
14133at50557_286706_0:001942|STRG.17924.3:1622-2977|+   -            452 106896at50557        -             70   2.6e-22   77.6  93.9   1  11     0.063       2.1    7.4   1.9    23    67     5    49     3    52 0.95 -
14133at50557_286706_0:001942|STRG.17924.3:1622-2977|+   -            452 106896at50557        -             70   2.6e-22   77.6  93.9   2  11     0.009       0.3   10.1   2.6    17    70    27    80    25    80 0.96 -
14133at50557_286706_0:001942|STRG.17924.3:1622-2977|+   -            452 106896at50557        -             70   2.6e-22   77.6  93.9   3  11   0.00044     0.015   14.3   7.7    17    69    83   135    81   136 0.93 -
14133at50557_286706_0:001942|STRG.17924.3:1622-2977|+   -            452 106896at50557        -             70   2.6e-22   77.6  93.9   4  11    0.0013     0.042   12.8   7.9    23    68   117   162   116   164 0.96 -
14133at50557_286706_0:001942|STRG.17924.3:1622-2977|+   -            452 106896at50557        -             70   2.6e-22   77.6  93.9   5  11   0.00033     0.011   14.7   4.3    22    69   172   219   166   220 0.95 -
14133at50557_286706_0:001942|STRG.17924.3:1622-2977|+   -            452 106896at50557        -             70   2.6e-22   77.6  93.9   6  11   1.6e-06   5.3e-05   22.1   4.6    22    69   228   275   223   276 0.94 -
14133at50557_286706_0:001942|STRG.17924.3:1622-2977|+   -            452 106896at50557        -             70   2.6e-22   77.6  93.9   7  11   5.9e-07     2e-05   23.5   7.3     3    68   268   330   267   332 0.89 -
14133at50557_286706_0:001942|STRG.17924.3:1622-2977|+   -            452 106896at50557        -             70   2.6e-22   77.6  93.9   8  11   5.7e-06   0.00019   20.3   8.3    22    68   312   358   307   361 0.94 -
14133at50557_286706_0:001942|STRG.17924.3:1622-2977|+   -            452 106896at50557        -             70   2.6e-22   77.6  93.9   9  11   0.00012     0.004   16.1  10.5    22    68   340   386   326   388 0.88 -
14133at50557_286706_0:001942|STRG.17924.3:1622-2977|+   -            452 106896at50557        -             70   2.6e-22   77.6  93.9  10  11   0.00031      0.01   14.8   8.2    22    68   368   414   361   416 0.92 -
14133at50557_286706_0:001942|STRG.17924.3:1622-2977|+   -            452 106896at50557        -             70   2.6e-22   77.6  93.9  11  11      0.18         6    5.9   0.0    18    46   420   448   413   451 0.90 -
14133at50557_286706_0:001942|STRG.17924.4:2365-3720|+   -            452 106896at50557        -             70   2.6e-22   77.6  93.9   1  11     0.063       2.1    7.4   1.9    23    67     5    49     3    52 0.95 -
14133at50557_286706_0:001942|STRG.17924.4:2365-3720|+   -            452 106896at50557        -             70   2.6e-22   77.6  93.9   2  11     0.009       0.3   10.1   2.6    17    70    27    80    25    80 0.96 -
14133at50557_286706_0:001942|STRG.17924.4:2365-3720|+   -            452 106896at50557        -             70   2.6e-22   77.6  93.9   3  11   0.00044     0.015   14.3   7.7    17    69    83   135    81   136 0.93 -
14133at50557_286706_0:001942|STRG.17924.4:2365-3720|+   -            452 106896at50557        -             70   2.6e-22   77.6  93.9   4  11    0.0013     0.042   12.8   7.9    23    68   117   162   116   164 0.96 -
14133at50557_286706_0:001942|STRG.17924.4:2365-3720|+   -            452 106896at50557        -             70   2.6e-22   77.6  93.9   5  11   0.00033     0.011   14.7   4.3    22    69   172   219   166   220 0.95 -
14133at50557_286706_0:001942|STRG.17924.4:2365-3720|+   -            452 106896at50557        -             70   2.6e-22   77.6  93.9   6  11   1.6e-06   5.3e-05   22.1   4.6    22    69   228   275   223   276 0.94 -
14133at50557_286706_0:001942|STRG.17924.4:2365-3720|+   -            452 106896at50557        -             70   2.6e-22   77.6  93.9   7  11   5.9e-07     2e-05   23.5   7.3     3    68   268   330   267   332 0.89 -
14133at50557_286706_0:001942|STRG.17924.4:2365-3720|+   -            452 106896at50557        -             70   2.6e-22   77.6  93.9   8  11   5.7e-06   0.00019   20.3   8.3    22    68   312   358   307   361 0.94 -
14133at50557_286706_0:001942|STRG.17924.4:2365-3720|+   -            452 106896at50557        -             70   2.6e-22   77.6  93.9   9  11   0.00012     0.004   16.1  10.5    22    68   340   386   326   388 0.88 -
14133at50557_286706_0:001942|STRG.17924.4:2365-3720|+   -            452 106896at50557        -             70   2.6e-22   77.6  93.9  10  11   0.00031      0.01   14.8   8.2    22    68   368   414   361   416 0.92 -
14133at50557_286706_0:001942|STRG.17924.4:2365-3720|+   -            452 106896at50557        -             70   2.6e-22   77.6  93.9  11  11      0.18         6    5.9   0.0    18    46   420   448   413   451 0.90 -
14133at50557_286706_0:001942|STRG.17924.5:1833-3188|+   -            452 106896at50557        -             70   2.6e-22   77.6  93.9   1  11     0.063       2.1    7.4   1.9    23    67     5    49     3    52 0.95 -
14133at50557_286706_0:001942|STRG.17924.5:1833-3188|+   -            452 106896at50557        -             70   2.6e-22   77.6  93.9   2  11     0.009       0.3   10.1   2.6    17    70    27    80    25    80 0.96 -
14133at50557_286706_0:001942|STRG.17924.5:1833-3188|+   -            452 106896at50557        -             70   2.6e-22   77.6  93.9   3  11   0.00044     0.015   14.3   7.7    17    69    83   135    81   136 0.93 -
14133at50557_286706_0:001942|STRG.17924.5:1833-3188|+   -            452 106896at50557        -             70   2.6e-22   77.6  93.9   4  11    0.0013     0.042   12.8   7.9    23    68   117   162   116   164 0.96 -
14133at50557_286706_0:001942|STRG.17924.5:1833-3188|+   -            452 106896at50557        -             70   2.6e-22   77.6  93.9   5  11   0.00033     0.011   14.7   4.3    22    69   172   219   166   220 0.95 -
14133at50557_286706_0:001942|STRG.17924.5:1833-3188|+   -            452 106896at50557        -             70   2.6e-22   77.6  93.9   6  11   1.6e-06   5.3e-05   22.1   4.6    22    69   228   275   223   276 0.94 -
14133at50557_286706_0:001942|STRG.17924.5:1833-3188|+   -            452 106896at50557        -             70   2.6e-22   77.6  93.9   7  11   5.9e-07     2e-05   23.5   7.3     3    68   268   330   267   332 0.89 -
14133at50557_286706_0:001942|STRG.17924.5:1833-3188|+   -            452 106896at50557        -             70   2.6e-22   77.6  93.9   8  11   5.7e-06   0.00019   20.3   8.3    22    68   312   358   307   361 0.94 -
14133at50557_286706_0:001942|STRG.17924.5:1833-3188|+   -            452 106896at50557        -             70   2.6e-22   77.6  93.9   9  11   0.00012     0.004   16.1  10.5    22    68   340   386   326   388 0.88 -
14133at50557_286706_0:001942|STRG.17924.5:1833-3188|+   -            452 106896at50557        -             70   2.6e-22   77.6  93.9  10  11   0.00031      0.01   14.8   8.2    22    68   368   414   361   416 0.92 -
14133at50557_286706_0:001942|STRG.17924.5:1833-3188|+   -            452 106896at50557        -             70   2.6e-22   77.6  93.9  11  11      0.18         6    5.9   0.0    18    46   420   448   413   451 0.90 -
14133at50557_286706_0:001942|STRG.17924.6:2258-3613|+   -            452 106896at50557        -             70   2.6e-22   77.6  93.9   1  11     0.063       2.1    7.4   1.9    23    67     5    49     3    52 0.95 -
14133at50557_286706_0:001942|STRG.17924.6:2258-3613|+   -            452 106896at50557        -             70   2.6e-22   77.6  93.9   2  11     0.009       0.3   10.1   2.6    17    70    27    80    25    80 0.96 -
14133at50557_286706_0:001942|STRG.17924.6:2258-3613|+   -            452 106896at50557        -             70   2.6e-22   77.6  93.9   3  11   0.00044     0.015   14.3   7.7    17    69    83   135    81   136 0.93 -
14133at50557_286706_0:001942|STRG.17924.6:2258-3613|+   -            452 106896at50557        -             70   2.6e-22   77.6  93.9   4  11    0.0013     0.042   12.8   7.9    23    68   117   162   116   164 0.96 -
14133at50557_286706_0:001942|STRG.17924.6:2258-3613|+   -            452 106896at50557        -             70   2.6e-22   77.6  93.9   5  11   0.00033     0.011   14.7   4.3    22    69   172   219   166   220 0.95 -
14133at50557_286706_0:001942|STRG.17924.6:2258-3613|+   -            452 106896at50557        -             70   2.6e-22   77.6  93.9   6  11   1.6e-06   5.3e-05   22.1   4.6    22    69   228   275   223   276 0.94 -
14133at50557_286706_0:001942|STRG.17924.6:2258-3613|+   -            452 106896at50557        -             70   2.6e-22   77.6  93.9   7  11   5.9e-07     2e-05   23.5   7.3     3    68   268   330   267   332 0.89 -
14133at50557_286706_0:001942|STRG.17924.6:2258-3613|+   -            452 106896at50557        -             70   2.6e-22   77.6  93.9   8  11   5.7e-06   0.00019   20.3   8.3    22    68   312   358   307   361 0.94 -
14133at50557_286706_0:001942|STRG.17924.6:2258-3613|+   -            452 106896at50557        -             70   2.6e-22   77.6  93.9   9  11   0.00012     0.004   16.1  10.5    22    68   340   386   326   388 0.88 -
14133at50557_286706_0:001942|STRG.17924.6:2258-3613|+   -            452 106896at50557        -             70   2.6e-22   77.6  93.9  10  11   0.00031      0.01   14.8   8.2    22    68   368   414   361   416 0.92 -
14133at50557_286706_0:001942|STRG.17924.6:2258-3613|+   -            452 106896at50557        -             70   2.6e-22   77.6  93.9  11  11      0.18         6    5.9   0.0    18    46   420   448   413   451 0.90 -
35806at50557_217634_0:001dec|STRG.4102.1:1039-1980|+    -            314 106896at50557        -             70   2.1e-17   61.9  42.4   1   5   3.2e-05    0.0011   17.9   4.2     9    68    18    82    12    84 0.84 -
35806at50557_217634_0:001dec|STRG.4102.1:1039-1980|+    -            314 106896at50557        -             70   2.1e-17   61.9  42.4   2   5    0.0011     0.038   13.0   2.7    11    59    84   132    81   141 0.86 -
35806at50557_217634_0:001dec|STRG.4102.1:1039-1980|+    -            314 106896at50557        -             70   2.1e-17   61.9  42.4   3   5   0.00032     0.011   14.7   4.4    17    68   146   197   134   199 0.90 -
35806at50557_217634_0:001dec|STRG.4102.1:1039-1980|+    -            314 106896at50557        -             70   2.1e-17   61.9  42.4   4   5   1.4e-05   0.00048   19.1   0.4    21    67   206   253   201   256 0.92 -
35806at50557_217634_0:001dec|STRG.4102.1:1039-1980|+    -            314 106896at50557        -             70   2.1e-17   61.9  42.4   5   5   6.5e-06   0.00022   20.2   2.2    16    69   258   311   251   312 0.91 -
35806at50557_217634_0:001dec|STRG.4102.2:1112-2053|+    -            314 106896at50557        -             70   2.1e-17   61.9  42.4   1   5   3.2e-05    0.0011   17.9   4.2     9    68    18    82    12    84 0.84 -
35806at50557_217634_0:001dec|STRG.4102.2:1112-2053|+    -            314 106896at50557        -             70   2.1e-17   61.9  42.4   2   5    0.0011     0.038   13.0   2.7    11    59    84   132    81   141 0.86 -
35806at50557_217634_0:001dec|STRG.4102.2:1112-2053|+    -            314 106896at50557        -             70   2.1e-17   61.9  42.4   3   5   0.00032     0.011   14.7   4.4    17    68   146   197   134   199 0.90 -
35806at50557_217634_0:001dec|STRG.4102.2:1112-2053|+    -            314 106896at50557        -             70   2.1e-17   61.9  42.4   4   5   1.4e-05   0.00048   19.1   0.4    21    67   206   253   201   256 0.92 -
35806at50557_217634_0:001dec|STRG.4102.2:1112-2053|+    -            314 106896at50557        -             70   2.1e-17   61.9  42.4   5   5   6.5e-06   0.00022   20.2   2.2    16    69   258   311   251   312 0.91 -
45419at50557_315563_0:0022b9|STRG.702.1:1052-2563|+     -            504 106896at50557        -             70   9.8e-13   46.9  56.6   1   6   0.00075     0.025   13.6   3.4    12    68    17    76    11    78 0.89 -
45419at50557_315563_0:0022b9|STRG.702.1:1052-2563|+     -            504 106896at50557        -             70   9.8e-13   46.9  56.6   2   6       0.1       3.4    6.7   4.0    17    70   166   218   160   218 0.85 -
45419at50557_315563_0:0022b9|STRG.702.1:1052-2563|+     -            504 106896at50557        -             70   9.8e-13   46.9  56.6   3   6   1.3e-05   0.00043   19.2   0.4    16    54   255   293   243   297 0.89 -
45419at50557_315563_0:0022b9|STRG.702.1:1052-2563|+     -            504 106896at50557        -             70   9.8e-13   46.9  56.6   4   6      0.69        23    4.1   0.4    50    68   315   333   305   335 0.86 -
45419at50557_315563_0:0022b9|STRG.702.1:1052-2563|+     -            504 106896at50557        -             70   9.8e-13   46.9  56.6   5   6   9.7e-06   0.00033   19.6   4.7    12    66   341   395   334   398 0.85 -
45419at50557_315563_0:0022b9|STRG.702.1:1052-2563|+     -            504 106896at50557        -             70   9.8e-13   46.9  56.6   6   6    0.0048      0.16   11.0   6.4     9    67   394   452   391   455 0.92 -
45419at50557_51655_0:002e4f|STRG.1619.1:3438-3689|+     -             84 106896at50557        -             70   1.4e-11   43.2   5.5   1   2   1.2e-10     4e-09   35.3   1.2    15    68     3    56     1    58 0.92 -
45419at50557_51655_0:002e4f|STRG.1619.1:3438-3689|+     -             84 106896at50557        -             70   1.4e-11   43.2   5.5   2   2    0.0013     0.043   12.8   0.4    36    67    52    83    50    84 0.90 -
45419at50557_51655_0:002e4f|STRG.6502.1:2006-2317|+     -            104 106896at50557        -             70     2e-11   42.7   6.9   1   3      0.24         8    5.5   0.1    51    68     2    19     1    21 0.66 -
45419at50557_51655_0:002e4f|STRG.6502.1:2006-2317|+     -            104 106896at50557        -             70     2e-11   42.7   6.9   2   3   3.4e-06   0.00011   21.1   0.3    18    45    25    52    19    53 0.90 -
45419at50557_51655_0:002e4f|STRG.6502.1:2006-2317|+     -            104 106896at50557        -             70     2e-11   42.7   6.9   3   3   1.2e-05   0.00039   19.4   0.2    18    41    54    77    52    82 0.89 -
45419at50557_51655_0:002e4f|STRG.6503.1:3101-3376|+     -             92 106896at50557        -             70   3.3e-11   42.0   7.2   1   2      0.19       6.5    5.8   0.1    51    68     2    19     1    21 0.66 -
45419at50557_51655_0:002e4f|STRG.6503.1:3101-3376|+     -             92 106896at50557        -             70   3.3e-11   42.0   7.2   2   2   1.7e-10   5.6e-09   34.9   3.5    18    69    25    77    20    78 0.91 -
45419at50557_51655_0:002e4f|STRG.6503.2:2814-3089|+     -             92 106896at50557        -             70   3.3e-11   42.0   7.2   1   2      0.19       6.5    5.8   0.1    51    68     2    19     1    21 0.66 -
45419at50557_51655_0:002e4f|STRG.6503.2:2814-3089|+     -             92 106896at50557        -             70   3.3e-11   42.0   7.2   2   2   1.7e-10   5.6e-09   34.9   3.5    18    69    25    77    20    78 0.91 -
14133at50557_7536_0:001741|STRG.19415.1:522-1886|+      -            455 106896at50557        -             70   9.1e-11   40.6  40.3   1   7   0.00053     0.018   14.0   2.3    15    69     6    60     2    61 0.90 -
14133at50557_7536_0:001741|STRG.19415.1:522-1886|+      -            455 106896at50557        -             70   9.1e-11   40.6  40.3   2   7   2.7e-05   0.00089   18.2   0.7    18    70    37    89    33    89 0.92 -
14133at50557_7536_0:001741|STRG.19415.1:522-1886|+      -            455 106896at50557        -             70   9.1e-11   40.6  40.3   3   7    0.0025     0.083   11.9   0.9    22    70    69   121    64   121 0.85 -
14133at50557_7536_0:001741|STRG.19415.1:522-1886|+      -            455 106896at50557        -             70   9.1e-11   40.6  40.3   4   7      0.35        12    5.0   0.1    49    68   245   264   217   266 0.78 -
14133at50557_7536_0:001741|STRG.19415.1:522-1886|+      -            455 106896at50557        -             70   9.1e-11   40.6  40.3   5   7   4.8e-06   0.00016   20.6   3.6    17    67   269   319   265   322 0.86 -
14133at50557_7536_0:001741|STRG.19415.1:522-1886|+      -            455 106896at50557        -             70   9.1e-11   40.6  40.3   6   7       1.5        52    2.9   0.1    16    41   322   347   318   351 0.83 -
14133at50557_7536_0:001741|STRG.19415.1:522-1886|+      -            455 106896at50557        -             70   9.1e-11   40.6  40.3   7   7     0.075       2.5    7.2   3.1    22    68   405   451   397   453 0.81 -
14133at50557_7536_0:001741|STRG.19415.2:1488-2852|+     -            455 106896at50557        -             70   9.1e-11   40.6  40.3   1   7   0.00053     0.018   14.0   2.3    15    69     6    60     2    61 0.90 -
14133at50557_7536_0:001741|STRG.19415.2:1488-2852|+     -            455 106896at50557        -             70   9.1e-11   40.6  40.3   2   7   2.7e-05   0.00089   18.2   0.7    18    70    37    89    33    89 0.92 -
14133at50557_7536_0:001741|STRG.19415.2:1488-2852|+     -            455 106896at50557        -             70   9.1e-11   40.6  40.3   3   7    0.0025     0.083   11.9   0.9    22    70    69   121    64   121 0.85 -
14133at50557_7536_0:001741|STRG.19415.2:1488-2852|+     -            455 106896at50557        -             70   9.1e-11   40.6  40.3   4   7      0.35        12    5.0   0.1    49    68   245   264   217   266 0.78 -
14133at50557_7536_0:001741|STRG.19415.2:1488-2852|+     -            455 106896at50557        -             70   9.1e-11   40.6  40.3   5   7   4.8e-06   0.00016   20.6   3.6    17    67   269   319   265   322 0.86 -
14133at50557_7536_0:001741|STRG.19415.2:1488-2852|+     -            455 106896at50557        -             70   9.1e-11   40.6  40.3   6   7       1.5        52    2.9   0.1    16    41   322   347   318   351 0.83 -
14133at50557_7536_0:001741|STRG.19415.2:1488-2852|+     -            455 106896at50557        -             70   9.1e-11   40.6  40.3   7   7     0.075       2.5    7.2   3.1    22    68   405   451   397   453 0.81 -
45419at50557_51655_0:002e4f|STRG.6589.1:1822-2073|+     -             84 106896at50557        -             70   5.1e-10   38.2   7.9   1   2     4e-07   1.3e-05   24.0   2.7    18    68     6    56     2    58 0.89 -
45419at50557_51655_0:002e4f|STRG.6589.1:1822-2073|+     -             84 106896at50557        -             70   5.1e-10   38.2   7.9   2   2   1.6e-05   0.00054   18.9   0.4    36    68    52    84    49    84 0.86 -
14133at50557_7536_0:001741|STRG.20797.1:747-1889|+      -            381 106896at50557        -             70   5.8e-10   38.0  56.4   1   9     0.032       1.1    8.3   1.1    20    68     1    47     1    49 0.88 -
14133at50557_7536_0:001741|STRG.20797.1:747-1889|+      -            381 106896at50557        -             70   5.8e-10   38.0  56.4   2   9     0.093       3.1    6.8   0.1    20    40    55    75    48    79 0.89 -
14133at50557_7536_0:001741|STRG.20797.1:747-1889|+      -            381 106896at50557        -             70   5.8e-10   38.0  56.4   3   9     0.093       3.1    6.9   1.2    13    67   103   158    95   160 0.79 -
14133at50557_7536_0:001741|STRG.20797.1:747-1889|+      -            381 106896at50557        -             70   5.8e-10   38.0  56.4   4   9     0.039       1.3    8.1   4.5     4    68   123   187   120   188 0.82 -
14133at50557_7536_0:001741|STRG.20797.1:747-1889|+      -            381 106896at50557        -             70   5.8e-10   38.0  56.4   5   9   3.4e-05    0.0011   17.9   5.5     9    67   157   214   150   217 0.83 -
14133at50557_7536_0:001741|STRG.20797.1:747-1889|+      -            381 106896at50557        -             70   5.8e-10   38.0  56.4   6   9    0.0034      0.11   11.5   2.8    19    68   194   243   188   245 0.83 -
14133at50557_7536_0:001741|STRG.20797.1:747-1889|+      -            381 106896at50557        -             70   5.8e-10   38.0  56.4   7   9    0.0062      0.21   10.6   3.6    18    67   249   297   234   300 0.88 -
14133at50557_7536_0:001741|STRG.20797.1:747-1889|+      -            381 106896at50557        -             70   5.8e-10   38.0  56.4   8   9   8.1e-05    0.0027   16.7   2.0    18    68   304   354   299   356 0.92 -
14133at50557_7536_0:001741|STRG.20797.1:747-1889|+      -            381 106896at50557        -             70   5.8e-10   38.0  56.4   9   9       4.2   1.4e+02    1.5   0.4    50    67   364   381   357   381 0.82 -
14133at50557_7536_0:001741|STRG.20797.2:829-1971|+      -            381 106896at50557        -             70   5.8e-10   38.0  56.4   1   9     0.032       1.1    8.3   1.1    20    68     1    47     1    49 0.88 -
14133at50557_7536_0:001741|STRG.20797.2:829-1971|+      -            381 106896at50557        -             70   5.8e-10   38.0  56.4   2   9     0.093       3.1    6.8   0.1    20    40    55    75    48    79 0.89 -
14133at50557_7536_0:001741|STRG.20797.2:829-1971|+      -            381 106896at50557        -             70   5.8e-10   38.0  56.4   3   9     0.093       3.1    6.9   1.2    13    67   103   158    95   160 0.79 -
14133at50557_7536_0:001741|STRG.20797.2:829-1971|+      -            381 106896at50557        -             70   5.8e-10   38.0  56.4   4   9     0.039       1.3    8.1   4.5     4    68   123   187   120   188 0.82 -
14133at50557_7536_0:001741|STRG.20797.2:829-1971|+      -            381 106896at50557        -             70   5.8e-10   38.0  56.4   5   9   3.4e-05    0.0011   17.9   5.5     9    67   157   214   150   217 0.83 -
14133at50557_7536_0:001741|STRG.20797.2:829-1971|+      -            381 106896at50557        -             70   5.8e-10   38.0  56.4   6   9    0.0034      0.11   11.5   2.8    19    68   194   243   188   245 0.83 -
14133at50557_7536_0:001741|STRG.20797.2:829-1971|+      -            381 106896at50557        -             70   5.8e-10   38.0  56.4   7   9    0.0062      0.21   10.6   3.6    18    67   249   297   234   300 0.88 -
14133at50557_7536_0:001741|STRG.20797.2:829-1971|+      -            381 106896at50557        -             70   5.8e-10   38.0  56.4   8   9   8.1e-05    0.0027   16.7   2.0    18    68   304   354   299   356 0.92 -
14133at50557_7536_0:001741|STRG.20797.2:829-1971|+      -            381 106896at50557        -             70   5.8e-10   38.0  56.4   9   9       4.2   1.4e+02    1.5   0.4    50    67   364   381   357   381 0.82 -
14133at50557_7536_0:001741|STRG.20797.3:843-1985|+      -            381 106896at50557        -             70   5.8e-10   38.0  56.4   1   9     0.032       1.1    8.3   1.1    20    68     1    47     1    49 0.88 -
14133at50557_7536_0:001741|STRG.20797.3:843-1985|+      -            381 106896at50557        -             70   5.8e-10   38.0  56.4   2   9     0.093       3.1    6.8   0.1    20    40    55    75    48    79 0.89 -
14133at50557_7536_0:001741|STRG.20797.3:843-1985|+      -            381 106896at50557        -             70   5.8e-10   38.0  56.4   3   9     0.093       3.1    6.9   1.2    13    67   103   158    95   160 0.79 -
14133at50557_7536_0:001741|STRG.20797.3:843-1985|+      -            381 106896at50557        -             70   5.8e-10   38.0  56.4   4   9     0.039       1.3    8.1   4.5     4    68   123   187   120   188 0.82 -
14133at50557_7536_0:001741|STRG.20797.3:843-1985|+      -            381 106896at50557        -             70   5.8e-10   38.0  56.4   5   9   3.4e-05    0.0011   17.9   5.5     9    67   157   214   150   217 0.83 -
14133at50557_7536_0:001741|STRG.20797.3:843-1985|+      -            381 106896at50557        -             70   5.8e-10   38.0  56.4   6   9    0.0034      0.11   11.5   2.8    19    68   194   243   188   245 0.83 -
14133at50557_7536_0:001741|STRG.20797.3:843-1985|+      -            381 106896at50557        -             70   5.8e-10   38.0  56.4   7   9    0.0062      0.21   10.6   3.6    18    67   249   297   234   300 0.88 -
14133at50557_7536_0:001741|STRG.20797.3:843-1985|+      -            381 106896at50557        -             70   5.8e-10   38.0  56.4   8   9   8.1e-05    0.0027   16.7   2.0    18    68   304   354   299   356 0.92 -
