#                                                                                                             --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                         accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                 ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
110603at50557_103372_0:00177b|STRG.16053.1:181-927|+  -            249 110603at50557        -            183   8.6e-67  223.2   5.9   1   1   1.3e-68   2.6e-66  221.6   5.9     4   168    24   217    21   229 0.86 -
117348at50557_7539_0:000af2|STRG.13477.1:471-980|+    -            170 110603at50557        -            183   0.00012   20.7   0.0   1   1   9.6e-07    0.0002   20.0   0.0    29   135     2   122     1   129 0.74 -
117348at50557_7539_0:000af2|STRG.13477.2:879-1388|+   -            170 110603at50557        -            183   0.00012   20.7   0.0   1   1   9.6e-07    0.0002   20.0   0.0    29   135     2   122     1   129 0.74 -
117348at50557_7539_0:000af2|STRG.13477.3:471-980|+    -            170 110603at50557        -            183   0.00012   20.7   0.0   1   1   9.6e-07    0.0002   20.0   0.0    29   135     2   122     1   129 0.74 -
117348at50557_7539_0:000af2|STRG.13477.4:245-754|+    -            170 110603at50557        -            183   0.00012   20.7   0.0   1   1   9.6e-07    0.0002   20.0   0.0    29   135     2   122     1   129 0.74 -
117348at50557_7539_0:000af2|STRG.13477.5:249-758|+    -            170 110603at50557        -            183   0.00012   20.7   0.0   1   1   9.6e-07    0.0002   20.0   0.0    29   135     2   122     1   129 0.74 -
117348at50557_28612_0:0051eb|STRG.11350.1:2458-2682|+ -             75 110603at50557        -            183     0.001   17.6   0.0   1   1   5.5e-06    0.0011   17.5   0.0    58    99    12    52     3    68 0.84 -
58203at50557_28612_0:0055dd|STRG.17842.1:1383-2189|+  -            269 110603at50557        -            183    0.0046   15.5   0.0   1   1     4e-05    0.0081   14.7   0.0    26    92    38   105    31   113 0.88 -
58203at50557_28612_0:0055dd|STRG.17842.2:967-1773|+   -            269 110603at50557        -            183    0.0046   15.5   0.0   1   1     4e-05    0.0081   14.7   0.0    26    92    38   105    31   113 0.88 -
58203at50557_28612_0:0055dd|STRG.17842.3:967-1773|+   -            269 110603at50557        -            183    0.0046   15.5   0.0   1   1     4e-05    0.0081   14.7   0.0    26    92    38   105    31   113 0.88 -
108755at50557_28612_0:002c6d|STRG.16603.1:340-933|+   -            198 110603at50557        -            183    0.0048   15.5   0.0   1   1   0.00066      0.14   10.7   0.0    28   123     2   116     1   174 0.66 -
107216at50557_110193_0:000c8b|STRG.4110.1:329-907|+   -            193 110603at50557        -            183    0.0093   14.5   0.6   1   1   0.00046     0.093   11.3   0.4    28    96    15    96    10   140 0.68 -
107216at50557_39758_0:004d90|STRG.18782.2:536-1042|+  -            169 110603at50557        -            183     0.019   13.5   0.1   1   1   0.00027     0.055   12.0   0.1    52    95    47    89     4   122 0.81 -
107216at50557_7004_0:001b36|STRG.18782.1:536-1099|+   -            188 110603at50557        -            183     0.021   13.3   0.1   1   1   0.00034     0.071   11.7   0.1    52    95    47    89     5   122 0.81 -
81145at50557_104421_0:001dae|STRG.8991.1:458-1375|+   -            306 110603at50557        -            183     0.024   13.2   0.3   1   1    0.0006      0.12   10.9   0.3    25   112     2   109     1   125 0.68 -
81145at50557_104421_0:001dae|STRG.8991.2:362-1279|+   -            306 110603at50557        -            183     0.024   13.2   0.3   1   1    0.0006      0.12   10.9   0.3    25   112     2   109     1   125 0.68 -
81145at50557_104421_0:001dae|STRG.8991.3:374-1291|+   -            306 110603at50557        -            183     0.024   13.2   0.3   1   1    0.0006      0.12   10.9   0.3    25   112     2   109     1   125 0.68 -
67606at50557_29053_0:000ae8|STRG.11984.1:1034-1711|+  -            226 110603at50557        -            183      0.03   12.9   0.0   1   1   0.00022     0.044   12.3   0.0    22    99    34   112    12   118 0.83 -
67606at50557_29053_0:000ae8|STRG.11984.2:1242-1919|+  -            226 110603at50557        -            183      0.03   12.9   0.0   1   1   0.00022     0.044   12.3   0.0    22    99    34   112    12   118 0.83 -
117348at50557_121845_0:0023e7|STRG.2948.2:106-698|+   -            170 110603at50557        -            183     0.035   12.6   0.1   1   2     0.052        11    4.5   0.0    23    41    15    33     2    68 0.77 -
117348at50557_121845_0:0023e7|STRG.2948.2:106-698|+   -            170 110603at50557        -            183     0.035   12.6   0.1   2   2     0.018       3.7    6.0   0.0   113   143    96   126    81   135 0.84 -
104262at50557_88501_0:0010fe|STRG.10553.1:207-824|+   -            206 110603at50557        -            183     0.036   12.6   0.1   1   2    0.0029       0.6    8.6   0.0    23    52    25    54    15    72 0.81 -
104262at50557_88501_0:0010fe|STRG.10553.1:207-824|+   -            206 110603at50557        -            183     0.036   12.6   0.1   2   2      0.35        71    1.9   0.0    67    96   110   138    99   194 0.71 -
104262at50557_88501_0:0010fe|STRG.8792.4:187-744|+    -            186 110603at50557        -            183     0.037   12.6   0.1   1   1    0.0032      0.66    8.5   0.1    20    56    13    49     9   117 0.62 -
104262at50557_88501_0:0010fe|STRG.8792.2:624-1199|+   -            192 110603at50557        -            183     0.041   12.4   0.1   1   1    0.0035      0.71    8.4   0.1    20    56    19    55    15   123 0.62 -
67606at50557_29053_0:000ae8|STRG.11984.3:987-1829|+   -            281 110603at50557        -            183     0.045   12.3   0.0   1   1   0.00034      0.07   11.7   0.0    22    99    89   167    67   173 0.83 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/justine/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/110603at50557.hmm
# Target file:     annotation_analysis/annotation_gcf/T_cornetzi/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas
# Option settings: hmmsearch --domtblout annotation_analysis/annotation_gcf/T_cornetzi/busco_output/run_insecta_odb10/hmmer_output/initial_run_results/110603at50557.out --cpu 1 /home/justine/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/110603at50557.hmm annotation_analysis/annotation_gcf/T_cornetzi/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas 
# Current dir:     /home/justine/projet_tutore
# Date:            Sun Dec  1 20:02:22 2024
# [ok]
