#                                                                                                             --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                         accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                 ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
42026at50557_520822_0:00241a|STRG.4092.1:299-1867|+   -            523 42026at50557         -            429  5.1e-204  676.8   7.5   1   1  3.8e-205  1.1e-202  672.5   7.5     5   416    28   473    24   504 0.91 -
57980at50557_108931_0:000186|STRG.11144.1:120-875|+   -            252 42026at50557         -            429   6.9e-06   24.0   1.3   2   2   9.4e-08   2.6e-05   22.1   0.1   219   299    67   150    47   158 0.82 -
58206at50557_1629725_0:0005e4|STRG.7470.1:277-1056|+  -            260 42026at50557         -            429     9e-05   20.3   0.1   1   2       3.8   1.1e+03   -3.0   0.0   121   143     7    30     6    51 0.69 -
58206at50557_1629725_0:0005e4|STRG.7470.1:277-1056|+  -            260 42026at50557         -            429     9e-05   20.3   0.1   2   2   5.6e-07   0.00016   19.6   0.0   225   301    70   150    55   163 0.86 -
58206at50557_1629725_0:0005e4|STRG.7470.2:277-1056|+  -            260 42026at50557         -            429     9e-05   20.3   0.1   1   2       3.8   1.1e+03   -3.0   0.0   121   143     7    30     6    51 0.69 -
58206at50557_1629725_0:0005e4|STRG.7470.2:277-1056|+  -            260 42026at50557         -            429     9e-05   20.3   0.1   2   2   5.6e-07   0.00016   19.6   0.0   225   301    70   150    55   163 0.86 -
65033at50557_139723_0:000232|STRG.15238.1:2081-3079|+ -            333 42026at50557         -            429   0.00044   18.1   0.5   1   1   2.8e-06   0.00078   17.3   0.3   262   303   153   195   130   208 0.82 -
65033at50557_139723_0:000232|STRG.15238.2:2081-3079|+ -            333 42026at50557         -            429   0.00044   18.1   0.5   1   1   2.8e-06   0.00078   17.3   0.3   262   303   153   195   130   208 0.82 -
65033at50557_139723_0:000232|STRG.15238.3:1944-2942|+ -            333 42026at50557         -            429   0.00044   18.1   0.5   1   1   2.8e-06   0.00078   17.3   0.3   262   303   153   195   130   208 0.82 -
63962at50557_568069_0:00441d|STRG.1292.1:907-1929|+   -            341 42026at50557         -            429   0.00072   17.4   0.1   1   1   3.5e-06   0.00098   16.9   0.1   225   304    83   165    48   171 0.80 -
63962at50557_568069_0:00441d|STRG.1292.2:2372-3394|+  -            341 42026at50557         -            429   0.00072   17.4   0.1   1   1   3.5e-06   0.00098   16.9   0.1   225   304    83   165    48   171 0.80 -
63962at50557_568069_0:00441d|STRG.1292.3:2414-3436|+  -            341 42026at50557         -            429   0.00072   17.4   0.1   1   1   3.5e-06   0.00098   16.9   0.1   225   304    83   165    48   171 0.80 -
63962at50557_568069_0:00441d|STRG.1292.4:1179-2201|+  -            341 42026at50557         -            429   0.00072   17.4   0.1   1   1   3.5e-06   0.00098   16.9   0.1   225   304    83   165    48   171 0.80 -
63962at50557_568069_0:00441d|STRG.1292.5:680-1702|+   -            341 42026at50557         -            429   0.00072   17.4   0.1   1   1   3.5e-06   0.00098   16.9   0.1   225   304    83   165    48   171 0.80 -
63962at50557_568069_0:00441d|STRG.1292.6:1039-2061|+  -            341 42026at50557         -            429   0.00072   17.4   0.1   1   1   3.5e-06   0.00098   16.9   0.1   225   304    83   165    48   171 0.80 -
57980at50557_56086_0:004c1e|STRG.7002.1:729-1568|+    -            280 42026at50557         -            429    0.0012   16.7   0.1   1   1   5.6e-06    0.0016   16.2   0.1   218   283    71   137    26   140 0.71 -
17813at50557_378494_0:006207|STRG.20807.1:1328-1921|+ -            198 42026at50557         -            429     0.002   15.9   0.0   1   1   8.2e-06    0.0023   15.7   0.0   226   301    83   160    36   173 0.84 -
17813at50557_378494_0:006207|STRG.20807.2:1254-1847|+ -            198 42026at50557         -            429     0.002   15.9   0.0   1   1   8.2e-06    0.0023   15.7   0.0   226   301    83   160    36   173 0.84 -
63962at50557_45779_0:000a34|STRG.11346.1:2793-3737|+  -            315 42026at50557         -            429    0.0023   15.7   0.1   1   1   1.1e-05     0.003   15.3   0.1   226   297    72   146    36   157 0.78 -
63962at50557_45779_0:000a34|STRG.11346.2:2306-3250|+  -            315 42026at50557         -            429    0.0023   15.7   0.1   1   1   1.1e-05     0.003   15.3   0.1   226   297    72   146    36   157 0.78 -
65033at50557_13686_0:0008e0|STRG.18877.1:91-1380|+    -            430 42026at50557         -            429    0.0052   14.5   0.0   1   1   2.9e-05    0.0082   13.9   0.0   216   283   135   204   100   224 0.84 -
65033at50557_13686_0:0008e0|STRG.18877.2:0-1292|+     -            431 42026at50557         -            429    0.0053   14.5   0.0   1   1   2.9e-05    0.0082   13.9   0.0   216   283   135   204   100   224 0.84 -
125117at50557_54969_0:0029cc|STRG.4381.1:2108-3031|+  -            308 42026at50557         -            429     0.017   12.8   0.1   1   1     8e-05     0.022   12.5   0.1   223   293    74   147    32   178 0.75 -
84764at50557_91411_0:001d03|STRG.17720.1:298-1176|+   -            293 42026at50557         -            429     0.033   11.9   0.7   1   2       1.8   4.9e+02   -1.9   0.0   119   144     6    32     5    56 0.79 -
84764at50557_91411_0:001d03|STRG.17720.1:298-1176|+   -            293 42026at50557         -            429     0.033   11.9   0.7   2   2   0.00019     0.055   11.2   0.1   262   310   117   167    73   209 0.67 -
84764at50557_319348_0:00198b|STRG.17720.2:295-1179|+  -            295 42026at50557         -            429     0.034   11.9   0.9   1   2       1.8     5e+02   -1.9   0.0   119   144     7    33     6    57 0.79 -
84764at50557_319348_0:00198b|STRG.17720.2:295-1179|+  -            295 42026at50557         -            429     0.034   11.9   0.9   2   2   0.00018      0.05   11.3   0.2   262   311   118   169    74   219 0.68 -
58206at50557_103372_0:002486|STRG.8833.1:650-1894|+   -            415 42026at50557         -            429      0.06   11.0   0.0   1   1    0.0003     0.085   10.5   0.0   226   303   158   239   126   248 0.85 -
58206at50557_103372_0:002486|STRG.8833.2:650-1894|+   -            415 42026at50557         -            429      0.06   11.0   0.0   1   1    0.0003     0.085   10.5   0.0   226   303   158   239   126   248 0.85 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/justine/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/42026at50557.hmm
# Target file:     annotation_analysis/annotation_gcf/T_cornetzi/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas
# Option settings: hmmsearch --domtblout annotation_analysis/annotation_gcf/T_cornetzi/busco_output/run_insecta_odb10/hmmer_output/initial_run_results/42026at50557.out --cpu 1 /home/justine/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/42026at50557.hmm annotation_analysis/annotation_gcf/T_cornetzi/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas 
# Current dir:     /home/justine/projet_tutore
# Date:            Sun Dec  1 20:06:04 2024
# [ok]
